state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2012 - 2013,1.1
,,2013 - 2014,0.75
,,2014 - 2015,0.35
,,2015 - 2016,0.2
,,2016 - 2017,0.44
,,2017 - 2018,7.48
,,2018 - 2019,0.52
,,2019 - 2020,0.57
,,2020 - 2021,1.0
,Raigarh,2000 - 2001,0.24
,,2001 - 2002,0.53
,,2002 - 2003,0.87
,,2003 - 2004,0.65
,,2004 - 2005,0.53
,,2005 - 2006,0.27
,,2006 - 2007,0.39
,,2007 - 2008,0.73
,,2008 - 2009,0.57
,,2009 - 2010,0.79
,,2010 - 2011,0.51
,,2011 - 2012,1.04
,,2012 - 2013,1.06
,,2013 - 2014,0.77
,,2014 - 2015,0.56
,,2015 - 2016,0.45
,,2016 - 2017,0.66
,,2017 - 2018,0.03
,,2018 - 2019,0.72
,,2019 - 2020,0.61
,,2020 - 2021,0.55
,,2021 - 2022,0.71
,,2022 - 2023,0.78
,Raipur,2000 - 2001,0.28
,,2001 - 2002,0.59
,,2002 - 2003,1.0
,,2003 - 2004,0.72
,,2004 - 2005,0.64
,,2005 - 2006,0.3
,,2006 - 2007,0.41
,,2007 - 2008,0.75
,,2008 - 2009,0.58
,,2009 - 2010,0.8
,,2010 - 2011,0.45
,,2011 - 2012,0.91
,,2012 - 2013,1.14
,,2013 - 2014,0.82
,,2014 - 2015,0.64
,,2015 - 2016,0.49
,,2016 - 2017,0.77
,,2017 - 2018,0.01
,,2018 - 2019,0.8
,,2019 - 2020,0.69
,,2020 - 2021,0.59
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Rajnandgaon,2000 - 2001,0.37
,,2001 - 2002,0.64
,,2002 - 2003,1.05
,,2003 - 2004,0.75
,,2004 - 2005,0.71
,,2005 - 2006,0.32
,,2006 - 2007,0.11
,,2007 - 2008,0.81
,,2008 - 2009,0.58
,,2009 - 2010,0.87
,,2010 - 2011,0.57
,,2011 - 2012,1.1
,,2012 - 2013,1.14
,,2013 - 2014,0.88
,,2014 - 2015,0.67
,,2015 - 2016,0.43
,,2016 - 2017,0.79
,,2017 - 2018,0.0
,,2018 - 2019,0.77
,,2019 - 2020,0.77
,,2020 - 2021,0.6
,,2021 - 2022,0.8
,,2022 - 2023,0.9
,Sakti,2022 - 2023,0.76
,Sarangarh bilaigarh,2022 - 2023,0.77
,Sukma,2011 - 2012,0.69
,,2012 - 2013,1.02
,,2013 - 2014,0.69
,,2014 - 2015,0.36
,,2015 - 2016,0.39
,,2016 - 2017,0.56
,,2017 - 2018,0.14
,,2018 - 2019,0.63
,,2019 - 2020,0.67
,,2020 - 2021,0.5
,,2021 - 2022,0.69
,,2022 - 2023,0.63
,Surajpur,2011 - 2012,0.96
,,2012 - 2013,0.95
,,2013 - 2014,0.8
,,2014 - 2015,0.5
,,2015 - 2016,0.51
,,2016 - 2017,0.79
,,2017 - 2018,0.32
,,2018 - 2019,0.88
,,2019 - 2020,0.81
,,2020 - 2021,0.74
,,2021 - 2022,0.91
,,2022 - 2023,0.9
,Surguja,2000 - 2001,0.24
,,2001 - 2002,0.52
,,2002 - 2003,0.79
,,2003 - 2004,0.6
,,2004 - 2005,0.51
,,2005 - 2006,0.24
,,2006 - 2007,0.34
,,2007 - 2008,0.64
,,2008 - 2009,0.49
,,2009 - 2010,0.45
,,2010 - 2011,0.54
,,2011 - 2012,0.96
,,2012 - 2013,1.01
,,2013 - 2014,0.71
,,2014 - 2015,0.52
,,2015 - 2016,0.38
,,2016 - 2017,0.55
,,2017 - 2018,0.14
,,2018 - 2019,0.7
,,2019 - 2020,0.53
,,2020 - 2021,0.99
,,2021 - 2022,0.63
,,2022 - 2023,0.61
Gujarat,Ahmadabad,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2016 - 2017,0.98
,Amreli,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.67
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Anand,2003 - 2004,1.0
,,2004 - 2005,1.21
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.94
,,2009 - 2010,1.0
,,2010 - 2011,1.1
,,2011 - 2012,1.05
,,2012 - 2013,1.08
,,2013 - 2014,1.07
,,2014 - 2015,1.07
,,2015 - 2016,1.07
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.98
,,2019 - 2020,3.13
,,2020 - 2021,2.2
,Banas kantha,2000 - 2001,1.18
,,2001 - 2002,1.33
,,2002 - 2003,1.25
,,2003 - 2004,1.25
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.17
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.91
,,2015 - 2016,0.98
,,2016 - 2017,1.92
,,2017 - 2018,1.25
,Bharuch,2000 - 2001,1.0
,,2001 - 2002,0.75
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,Bhavnagar,2000 - 2001,0.5
,,2001 - 2002,0.75
,,2002 - 2003,0.8
,,2003 - 2004,1.0
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2014 - 2015,0.98
,,2015 - 2016,1.0
,Botad,2014 - 2015,0.9
,,2018 - 2019,0.0
,,2020 - 2021,2.25
,Chhotaudepur,2014 - 2015,0.85
,,2015 - 2016,0.85
,,2016 - 2017,0.86
,,2017 - 2018,0.89
,,2018 - 2019,0.86
,Dang,2000 - 2001,1.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,Devbhumi dwarka,2017 - 2018,0.98
,Dohad,2003 - 2004,0.6
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2013 - 2014,1.0
,,2015 - 2016,0.93
,Gandhinagar,2000 - 2001,1.25
,,2001 - 2002,1.5
,,2002 - 2003,0.91
,,2003 - 2004,1.2
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,Jamnagar,2000 - 2001,0.14
,,2001 - 2002,0.27
,,2002 - 2003,0.45
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,1.0
,,2006 - 2007,0.63
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.82
,,2010 - 2011,0.17
,,2011 - 2012,0.75
,,2014 - 2015,0.76
,,2015 - 2016,0.75
,,2016 - 2017,2.5
,,2017 - 2018,2.55
,Junagadh,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,Kachchh,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,Kheda,2000 - 2001,1.43
,,2001 - 2002,1.45
,,2002 - 2003,1.13
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.17
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.08
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.04
,,2014 - 2015,1.01
,,2015 - 2016,1.03
,,2016 - 2017,0.64
,,2017 - 2018,0.68
,Mahesana,2000 - 2001,0.39
,,2001 - 2002,0.79
,,2002 - 2003,0.74
,,2003 - 2004,0.5
,,2004 - 2005,1.33
,,2005 - 2006,0.86
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.01
,,2015 - 2016,1.0
,,2016 - 2017,1.64
,,2020 - 2021,2.39
,Mahisagar,2014 - 2015,0.89
,,2015 - 2016,0.92
,Navsari,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.03
,,2014 - 2015,1.03
,,2015 - 2016,1.05
,,2016 - 2017,1.0
,Panch mahals,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2003 - 2004,0.67
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.75
,,2007 - 2008,0.75
,,2008 - 2009,0.8
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2013 - 2014,0.88
,Patan,2003 - 2004,0.5
,,2004 - 2005,0.67
,,2005 - 2006,0.75
,,2006 - 2007,0.67
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.99
,,2014 - 2015,0.99
,,2015 - 2016,0.98
,,2016 - 2017,0.97
,,2017 - 2018,0.62
,Porbandar,2013 - 2014,0.95
,,2014 - 2015,0.95
,,2015 - 2016,1.0
,Rajkot,2000 - 2001,1.0
,,2001 - 2002,1.08
,,2002 - 2003,1.5
,,2003 - 2004,1.33
,,2004 - 2005,1.33
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.17
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.91
,Sabar kantha,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.01
,Surat,2000 - 2001,1.18
,,2001 - 2002,1.1
,,2002 - 2003,1.14
,,2003 - 2004,1.13
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.93
,,2014 - 2015,0.9
,,2015 - 2016,0.91
,,2016 - 2017,1.0
,,2017 - 2018,0.98
,Surendranagar,2000 - 2001,1.33
,,2001 - 2002,1.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.01
,,2015 - 2016,1.02
,,2016 - 2017,1.11
,,2017 - 2018,1.05
,,2018 - 2019,1.04
,,2019 - 2020,3.12
,Tapi,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Vadodara,2000 - 2001,0.38
,,2001 - 2002,0.46
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.67
,,2005 - 2006,0.6
,,2006 - 2007,0.8
,,2007 - 2008,0.83
,,2008 - 2009,0.75
,,2009 - 2010,0.71
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.84
,,2014 - 2015,0.85
,,2016 - 2017,0.85
,Valsad,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,0.89
,,2003 - 2004,0.88
,,2004 - 2005,0.83
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,0.99
Haryana,Ambala,2000 - 2001,1.23
,,2001 - 2002,1.06
,,2003 - 2004,0.96
,,2004 - 2005,8.42
,,2005 - 2006,0.79
,,2006 - 2007,0.54
,,2007 - 2008,9.3
,,2008 - 2009,6.71
,,2009 - 2010,0.0
,,2010 - 2011,7.91
,,2012 - 2013,9.49
,,2021 - 2022,6.03
,Bhiwani,2000 - 2001,0.96
,,2001 - 2002,0.79
,,2003 - 2004,0.91
,,2005 - 2006,1.12
,,2007 - 2008,14.29
,,2008 - 2009,11.76
,,2012 - 2013,10.0
,Faridabad,2000 - 2001,0.73
,,2001 - 2002,1.8
,,2006 - 2007,0.0
,Fatehabad,2000 - 2001,1.23
,,2001 - 2002,1.64
,,2003 - 2004,2.04
,,2004 - 2005,8.57
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,3.03
,,2008 - 2009,10.53
,,2009 - 2010,0.0
,,2010 - 2011,6.25
,,2012 - 2013,11.11
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.97
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,Hisar,2000 - 2001,0.85
,,2001 - 2002,1.13
,,2003 - 2004,1.09
,,2004 - 2005,11.92
,,2005 - 2006,0.79
,,2006 - 2007,0.87
,,2007 - 2008,9.86
,,2008 - 2009,10.74
,,2009 - 2010,2.19
,,2010 - 2011,11.06
,,2012 - 2013,8.33
,,2021 - 2022,6.5
,Jind,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2007 - 2008,10.53
,,2008 - 2009,12.5
,,2010 - 2011,10.34
,,2012 - 2013,12.5
,,2021 - 2022,6.0
,Kaithal,2000 - 2001,2.27
,,2001 - 2002,0.0
,,2003 - 2004,1.72
,,2004 - 2005,8.57
,,2005 - 2006,0.0
,,2006 - 2007,1.69
,,2007 - 2008,5.0
,,2008 - 2009,7.14
,,2009 - 2010,0.0
,,2010 - 2011,12.5
,,2012 - 2013,10.53
,,2021 - 2022,8.0
,Karnal,2000 - 2001,1.27
,,2001 - 2002,0.84
,,2003 - 2004,0.83
,,2004 - 2005,6.42
,,2005 - 2006,0.93
,,2006 - 2007,1.18
,,2007 - 2008,5.66
,,2008 - 2009,0.72
,,2009 - 2010,1.69
,,2010 - 2011,8.14
,,2012 - 2013,12.9
,,2021 - 2022,6.33
,Kurukshetra,2000 - 2001,0.7
,,2001 - 2002,0.79
,,2003 - 2004,0.86
,,2004 - 2005,10.81
,,2005 - 2006,1.18
,,2006 - 2007,1.05
,,2007 - 2008,7.62
,,2008 - 2009,11.59
,,2009 - 2010,2.94
,,2010 - 2011,9.09
,,2012 - 2013,9.52
,,2021 - 2022,5.64
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,9.09
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2021 - 2022,6.0
,Mewat,2008 - 2009,10.03
,,2010 - 2011,0.0
,Palwal,2021 - 2022,6.0
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,1.69
,,2003 - 2004,1.61
,,2004 - 2005,4.92
,,2005 - 2006,0.0
,,2006 - 2007,1.39
,,2007 - 2008,12.16
,,2008 - 2009,4.35
,,2009 - 2010,1.61
,,2010 - 2011,11.54
,,2012 - 2013,16.67
,,2021 - 2022,7.6
,Panipat,2000 - 2001,1.0
,,2001 - 2002,0.94
,,2003 - 2004,0.88
,,2004 - 2005,0.0
,,2005 - 2006,1.07
,,2006 - 2007,0.55
,,2007 - 2008,24.82
,,2008 - 2009,9.3
,,2009 - 2010,1.71
,,2010 - 2011,9.77
,,2012 - 2013,9.09
,,2021 - 2022,8.0
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,5.0
,,2005 - 2006,1.69
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2012 - 2013,11.11
,,2021 - 2022,2.0
,Rohtak,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2004 - 2005,0.0
,Sirsa,2000 - 2001,2.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,6.25
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,8.33
,,2008 - 2009,9.38
,,2009 - 2010,0.0
,,2010 - 2011,7.69
,,2012 - 2013,0.0
,,2021 - 2022,0.0
,Sonipat,2000 - 2001,0.63
,,2001 - 2002,2.08
,,2003 - 2004,5.26
,,2004 - 2005,10.53
,,2005 - 2006,0.65
,,2006 - 2007,0.82
,,2007 - 2008,6.67
,,2008 - 2009,9.38
,,2009 - 2010,1.39
,,2010 - 2011,9.89
,,2012 - 2013,15.79
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,1.75
,,2003 - 2004,0.0
,,2004 - 2005,4.35
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,4.76
,,2008 - 2009,5.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,9.09
,,2021 - 2022,6.0
Himachal Pradesh,Bilaspur,2001 - 2002,0.15
,,2002 - 2003,0.2
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,0.23
,,2002 - 2003,0.03
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,0.27
,,2002 - 2003,0.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,0.16
,,2002 - 2003,0.07
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Lahul and spiti,2018 - 2019,
,,2019 - 2020,
,Mandi,2001 - 2002,0.14
,,2002 - 2003,0.23
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,0.22
,,2002 - 2003,0.17
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,0.21
,,2002 - 2003,0.04
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,0.17
,,2002 - 2003,1.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,0.14
,,2002 - 2003,0.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Anantnag,2000 - 2001,1.19
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Badgam,2000 - 2001,1.18
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Baramulla,2007 - 2008,
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Jammu,2007 - 2008,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kathua,2000 - 2001,0.38
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kulgam,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kupwara,2020 - 2021,
,Poonch,2000 - 2001,1.18
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Pulwama,2000 - 2001,1.18
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Rajauri,2000 - 2001,0.62
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Reasi,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2016 - 2017,
,Samba,2017 - 2018,
,Srinagar,2000 - 2001,0.71
,,2005 - 2006,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Udhampur,2000 - 2001,0.92
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Karnataka,Bagalkot,2000 - 2001,0.87
,,2001 - 2002,0.86
,,2002 - 2003,0.54
,,2003 - 2004,1.68
,,2004 - 2005,0.76
,,2005 - 2006,
,,2006 - 2007,1.71
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,0.81
,,2001 - 2002,0.78
,,2002 - 2003,0.47
,,2003 - 2004,1.17
,,2004 - 2005,0.66
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2022 - 2023,
,Belgaum,2000 - 2001,1.23
,,2001 - 2002,0.96
,,2002 - 2003,0.76
,,2003 - 2004,0.66
,,2004 - 2005,0.75
,,2005 - 2006,
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,1.66
,,2001 - 2002,0.97
,,2002 - 2003,2.38
,,2003 - 2004,3.24
,,2004 - 2005,0.96
,,2005 - 2006,
,,2006 - 2007,1.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bengaluru urban,2000 - 2001,1.09
,,2001 - 2002,2.95
,,2002 - 2003,1.86
,,2003 - 2004,0.83
