state,district,year,onion_summer_yield_tonne_per_hectare
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chengalpattu,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuddalore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindigul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kallakurichi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanchipuram,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kanniyakumari,2004 - 2005,
,Karur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishnagiri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madurai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagapattinam,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Namakkal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranipet,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2004 - 2005,
,,2008 - 2009,
,,2009 - 2010,
,,2014 - 2015,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2002 - 2003,
,,2007 - 2008,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2002 - 2003,11.16
,,2003 - 2004,9.88
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,16.44
,,2008 - 2009,
,,2009 - 2010,14.0
,,2010 - 2011,
,,2011 - 2012,11.68
,,2012 - 2013,9.49
,,2013 - 2014,12.13
,,2014 - 2015,16.15
,,2015 - 2016,14.58
,,2016 - 2017,11.61
,,2017 - 2018,18.09
,,2018 - 2019,17.06
,,2019 - 2020,20.45
,,2020 - 2021,16.84
,,2021 - 2022,16.03
,,2022 - 2023,16.57
,Aligarh,2002 - 2003,11.17
,,2003 - 2004,9.87
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.65
,,2007 - 2008,16.44
,,2008 - 2009,
,,2009 - 2010,13.89
,,2010 - 2011,
,,2011 - 2012,10.83
,,2012 - 2013,10.88
,,2013 - 2014,13.46
,,2014 - 2015,15.12
,,2015 - 2016,13.58
,,2016 - 2017,13.53
,,2017 - 2018,14.38
,,2018 - 2019,11.77
,,2019 - 2020,16.36
,,2020 - 2021,16.42
,,2021 - 2022,16.03
,,2022 - 2023,16.74
,Allahabad,2003 - 2004,9.86
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.65
,,2007 - 2008,13.5
,,2008 - 2009,
,,2009 - 2010,13.9
,,2010 - 2011,
,,2011 - 2012,10.83
,,2012 - 2013,10.88
,,2013 - 2014,13.45
,,2014 - 2015,15.12
,,2015 - 2016,13.57
,,2016 - 2017,13.52
,,2017 - 2018,14.38
,,2018 - 2019,11.78
,,2019 - 2020,16.37
,,2020 - 2021,16.42
,,2021 - 2022,16.02
,,2022 - 2023,16.18
,Ambedkar nagar,2002 - 2003,11.17
,,2003 - 2004,10.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,19.15
,,2008 - 2009,
,,2009 - 2010,14.05
,,2010 - 2011,
,,2011 - 2012,6.23
,,2012 - 2013,8.21
,,2013 - 2014,12.43
,,2014 - 2015,8.71
,,2015 - 2016,12.87
,,2016 - 2017,12.85
,,2017 - 2018,12.65
,,2018 - 2019,7.25
,,2019 - 2020,12.05
,,2020 - 2021,13.76
,,2021 - 2022,15.64
,,2022 - 2023,17.61
,Amethi,2011 - 2012,6.23
,,2012 - 2013,8.21
,,2013 - 2014,12.43
,,2014 - 2015,8.71
,,2015 - 2016,12.86
,,2016 - 2017,12.85
,,2017 - 2018,12.65
,,2018 - 2019,7.25
,,2019 - 2020,12.05
,,2020 - 2021,13.76
,,2021 - 2022,15.63
,,2022 - 2023,18.99
,Amroha,2002 - 2003,11.19
,,2003 - 2004,9.8
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.75
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,14.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,15.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,16.33
,,2022 - 2023,
,Auraiya,2002 - 2003,11.18
,,2003 - 2004,10.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.65
,,2007 - 2008,11.35
,,2008 - 2009,
,,2009 - 2010,14.76
,,2010 - 2011,
,,2011 - 2012,11.33
,,2012 - 2013,11.39
,,2013 - 2014,12.8
,,2014 - 2015,14.3
,,2015 - 2016,16.73
,,2016 - 2017,15.1
,,2017 - 2018,11.27
,,2018 - 2019,10.56
,,2019 - 2020,15.0
,,2020 - 2021,14.38
,,2021 - 2022,15.79
,,2022 - 2023,15.54
,Azamgarh,2002 - 2003,11.18
,,2003 - 2004,10.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,8.34
,,2008 - 2009,
,,2009 - 2010,7.68
,,2010 - 2011,
,,2011 - 2012,8.09
,,2012 - 2013,9.49
,,2013 - 2014,13.46
,,2014 - 2015,19.16
,,2015 - 2016,18.48
,,2016 - 2017,12.76
,,2017 - 2018,14.38
,,2018 - 2019,8.93
,,2019 - 2020,15.08
,,2020 - 2021,14.7
,,2021 - 2022,15.42
,,2022 - 2023,15.28
,Baghpat,2002 - 2003,11.18
,,2003 - 2004,9.88
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,13.5
,,2008 - 2009,
,,2009 - 2010,13.9
,,2010 - 2011,
,,2011 - 2012,10.83
,,2012 - 2013,10.88
,,2013 - 2014,12.75
,,2014 - 2015,15.12
,,2015 - 2016,13.58
,,2016 - 2017,13.52
,,2017 - 2018,14.38
,,2018 - 2019,11.77
,,2019 - 2020,
,,2020 - 2021,16.42
,,2021 - 2022,16.03
,,2022 - 2023,16.72
,Bahraich,2002 - 2003,11.18
,,2003 - 2004,9.87
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,19.15
,,2008 - 2009,
,,2009 - 2010,15.37
,,2010 - 2011,
,,2011 - 2012,9.16
,,2012 - 2013,11.69
,,2013 - 2014,13.46
,,2014 - 2015,18.96
,,2015 - 2016,15.01
,,2016 - 2017,17.5
,,2017 - 2018,16.45
,,2018 - 2019,10.68
,,2019 - 2020,22.12
,,2020 - 2021,23.82
,,2021 - 2022,15.55
,,2022 - 2023,22.15
,Ballia,2002 - 2003,11.18
,,2003 - 2004,10.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,8.34
,,2008 - 2009,
,,2009 - 2010,7.68
,,2010 - 2011,
,,2011 - 2012,8.09
,,2012 - 2013,9.49
,,2013 - 2014,13.46
,,2014 - 2015,18.44
,,2015 - 2016,6.65
,,2016 - 2017,6.53
,,2017 - 2018,
,,2018 - 2019,6.68
,,2019 - 2020,12.9
,,2020 - 2021,7.38
,,2021 - 2022,15.42
,,2022 - 2023,15.28
,Balrampur,2002 - 2003,11.17
,,2003 - 2004,9.86
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.65
,,2007 - 2008,19.15
,,2008 - 2009,
,,2009 - 2010,15.37
,,2010 - 2011,
,,2011 - 2012,9.17
,,2012 - 2013,11.7
,,2013 - 2014,13.46
,,2014 - 2015,18.96
,,2015 - 2016,15.01
,,2016 - 2017,17.49
,,2017 - 2018,16.45
,,2018 - 2019,10.68
,,2019 - 2020,22.13
,,2020 - 2021,23.81
,,2021 - 2022,15.55
,,2022 - 2023,22.15
,Banda,2002 - 2003,11.19
,,2003 - 2004,9.85
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.64
,,2007 - 2008,13.5
,,2008 - 2009,
,,2009 - 2010,13.75
,,2010 - 2011,
,,2011 - 2012,10.81
,,2012 - 2013,10.88
,,2013 - 2014,13.5
,,2014 - 2015,15.14
,,2015 - 2016,13.58
,,2016 - 2017,13.5
,,2017 - 2018,14.38
,,2018 - 2019,11.71
,,2019 - 2020,16.0
,,2020 - 2021,16.44
,,2021 - 2022,16.0
,,2022 - 2023,
,Barabanki,2002 - 2003,11.18
,,2003 - 2004,10.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,11.65
,,2007 - 2008,19.15
,,2008 - 2009,
,,2009 - 2010,14.05
,,2010 - 2011,
,,2011 - 2012,6.23
