state,district,year,groundnut_summer_yield_tonne_per_hectare
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.8
,,2018 - 2019,
,,2019 - 2020,2.2
,,2020 - 2021,2.2
,,2021 - 2022,1.8
,,2022 - 2023,1.8
,Niwari,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raisen,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ratlam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.45
,,2020 - 2021,1.45
,,2021 - 2022,1.45
,,2022 - 2023,1.48
,Rewa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sehore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Seoni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.9
,,2018 - 2019,
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.05
,Shahdol,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.6
,,2020 - 2021,1.4
,,2021 - 2022,1.3
,,2022 - 2023,1.3
,Sidhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Singrauli,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tikamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ujjain,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,2.0
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Umaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Vidisha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Maharashtra,Ahilyanagar,2000 - 2001,1.66
,,2001 - 2002,1.56
,,2002 - 2003,1.71
,,2003 - 2004,1.85
,,2004 - 2005,1.23
,,2005 - 2006,1.71
,,2006 - 2007,1.58
,,2007 - 2008,1.65
,,2008 - 2009,1.64
,,2009 - 2010,1.41
,,2010 - 2011,1.4
,,2011 - 2012,1.54
,,2012 - 2013,1.2
,,2013 - 2014,1.6
,,2014 - 2015,1.44
,,2015 - 2016,1.0
,,2016 - 2017,1.77
,,2017 - 2018,1.77
,,2018 - 2019,1.08
,,2019 - 2020,1.62
,,2020 - 2021,1.41
,,2021 - 2022,1.42
,,2022 - 2023,1.28
,Akola,2000 - 2001,0.71
,,2001 - 2002,1.14
,,2002 - 2003,2.0
,,2003 - 2004,1.0
,,2004 - 2005,0.6
,,2005 - 2006,1.5
,,2006 - 2007,1.27
,,2007 - 2008,1.44
,,2008 - 2009,1.13
,,2009 - 2010,1.63
,,2010 - 2011,1.77
,,2011 - 2012,1.92
,,2012 - 2013,2.4
,,2013 - 2014,1.67
,,2014 - 2015,1.42
,,2015 - 2016,0.9
,,2016 - 2017,1.41
,,2017 - 2018,1.47
,,2018 - 2019,1.16
,,2019 - 2020,2.76
,,2020 - 2021,1.23
,,2021 - 2022,1.45
,,2022 - 2023,1.61
,Amravati,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.33
,,2004 - 2005,1.67
,,2005 - 2006,2.0
,,2006 - 2007,2.5
,,2007 - 2008,1.5
,,2008 - 2009,1.0
,,2009 - 2010,1.56
,,2010 - 2011,1.5
,,2011 - 2012,1.4
,,2012 - 2013,1.82
,,2013 - 2014,1.71
,,2014 - 2015,1.53
,,2015 - 2016,1.53
,,2016 - 2017,1.44
,,2017 - 2018,1.18
,,2018 - 2019,1.01
,,2019 - 2020,1.66
,,2020 - 2021,0.92
,,2021 - 2022,0.86
,,2022 - 2023,0.5
,Beed,2000 - 2001,0.89
,,2001 - 2002,0.92
,,2002 - 2003,0.95
,,2003 - 2004,1.33
,,2004 - 2005,1.13
,,2005 - 2006,0.78
,,2006 - 2007,0.97
,,2007 - 2008,1.04
,,2008 - 2009,0.91
,,2009 - 2010,0.9
,,2010 - 2011,0.95
,,2011 - 2012,1.14
,,2012 - 2013,0.93
,,2013 - 2014,1.11
,,2014 - 2015,0.63
,,2015 - 2016,0.44
,,2016 - 2017,1.1
,,2017 - 2018,0.97
,,2018 - 2019,
,,2019 - 2020,1.16
,,2020 - 2021,1.31
,,2021 - 2022,1.21
,,2022 - 2023,1.53
,Bhandara,2000 - 2001,2.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.4
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.4
,,2018 - 2019,1.6
,,2021 - 2022,1.88
,,2022 - 2023,1.55
,Buldhana,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2002 - 2003,1.14
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.18
,,2007 - 2008,1.5
,,2008 - 2009,0.88
,,2009 - 2010,1.2
,,2010 - 2011,1.14
,,2011 - 2012,1.73
,,2012 - 2013,1.44
,,2013 - 2014,1.61
,,2014 - 2015,1.3
,,2015 - 2016,0.93
,,2016 - 2017,1.17
,,2017 - 2018,1.54
,,2018 - 2019,1.0
,,2019 - 2020,1.96
,,2020 - 2021,1.95
,,2021 - 2022,1.42
,,2022 - 2023,1.56
,Chandrapur,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,2.0
,,2015 - 2016,1.6
,,2016 - 2017,0.6
,,2017 - 2018,1.17
,,2018 - 2019,1.0
,,2019 - 2020,0.76
,,2020 - 2021,0.51
,,2021 - 2022,1.97
,,2022 - 2023,1.89
,Chhatrapati Sambhajinagar,2000 - 2001,1.0
,,2001 - 2002,1.25
,,2002 - 2003,2.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.5
,,2006 - 2007,1.0
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,1.5
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.2
,,2016 - 2017,1.0
,,2017 - 2018,0.68
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,1.31
,,2021 - 2022,1.21
,,2022 - 2023,1.53
,Dharashiv,2000 - 2001,1.1
,,2001 - 2002,1.0
,,2002 - 2003,1.6
,,2003 - 2004,1.0
,,2004 - 2005,1.63
,,2005 - 2006,1.27
,,2006 - 2007,1.06
,,2007 - 2008,1.12
,,2008 - 2009,1.31
,,2009 - 2010,1.0
,,2010 - 2011,1.08
,,2011 - 2012,0.54
,,2012 - 2013,0.4
,,2013 - 2014,1.15
,,2014 - 2015,0.42
,,2015 - 2016,0.36
,,2016 - 2017,0.94
,,2017 - 2018,0.83
,,2018 - 2019,0.82
,,2019 - 2020,0.95
,,2020 - 2021,1.48
,,2021 - 2022,1.4
,,2022 - 2023,1.18
,Dhule,2000 - 2001,1.11
,,2001 - 2002,1.56
,,2002 - 2003,1.24
,,2003 - 2004,1.13
,,2004 - 2005,1.38
,,2005 - 2006,1.03
,,2006 - 2007,1.16
,,2007 - 2008,1.48
,,2008 - 2009,1.28
,,2009 - 2010,1.58
,,2010 - 2011,1.63
,,2011 - 2012,1.38
,,2012 - 2013,1.47
,,2013 - 2014,1.88
,,2014 - 2015,1.63
,,2015 - 2016,1.06
,,2016 - 2017,1.3
,,2017 - 2018,1.07
,,2018 - 2019,0.8
,,2019 - 2020,1.7
,,2020 - 2021,1.01
,,2021 - 2022,0.84
,,2022 - 2023,1.03
,Gadchiroli,2003 - 2004,1.0
,,2012 - 2013,2.0
,,2016 - 2017,
,,2017 - 2018,1.0
,,2019 - 2020,2.0
,,2020 - 2021,1.49
,,2021 - 2022,2.0
,,2022 - 2023,
,Gondia,2001 - 2002,1.0
,,2019 - 2020,0.0
,,2020 - 2021,
,,2021 - 2022,1.88
,Hingoli,2000 - 2001,0.87
,,2001 - 2002,1.36
,,2002 - 2003,1.29
,,2003 - 2004,1.19
,,2004 - 2005,1.0
,,2005 - 2006,1.24
,,2006 - 2007,1.09
,,2007 - 2008,1.33
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2010 - 2011,0.87
,,2011 - 2012,0.82
,,2012 - 2013,1.09
,,2013 - 2014,1.0
,,2014 - 2015,0.95
,,2015 - 2016,0.57
,,2016 - 2017,1.11
,,2017 - 2018,0.87
,,2018 - 2019,0.84
,,2019 - 2020,2.31
,,2020 - 2021,1.07
,,2021 - 2022,1.29
,,2022 - 2023,1.2
,Jalgaon,2000 - 2001,0.86
,,2001 - 2002,1.16
,,2002 - 2003,1.35
,,2003 - 2004,1.23
,,2004 - 2005,1.34
,,2005 - 2006,1.61
,,2006 - 2007,1.61
,,2007 - 2008,1.27
,,2008 - 2009,1.31
,,2009 - 2010,1.63
,,2010 - 2011,1.55
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.15
,,2014 - 2015,1.29
,,2015 - 2016,1.05
,,2016 - 2017,1.45
,,2017 - 2018,1.22
,,2018 - 2019,1.24
,,2019 - 2020,2.31
,,2020 - 2021,1.8
,,2021 - 2022,1.68
,,2022 - 2023,1.66
,Jalna,2000 - 2001,1.0
,,2001 - 2002,1.29
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.8
,,2005 - 2006,1.2
,,2006 - 2007,0.86
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,
,,2015 - 2016,0.5
,,2016 - 2017,1.5
,,2017 - 2018,1.1
,,2018 - 2019,0.82
,,2019 - 2020,1.0
,,2020 - 2021,1.31
,,2021 - 2022,1.21
,,2022 - 2023,1.53
,Kolhapur,2000 - 2001,3.0
,,2001 - 2002,2.25
,,2002 - 2003,2.71
,,2003 - 2004,2.68
,,2004 - 2005,2.4
,,2005 - 2006,2.67
,,2006 - 2007,2.68
,,2007 - 2008,2.52
,,2008 - 2009,2.58
,,2009 - 2010,2.52
,,2010 - 2011,1.76
,,2011 - 2012,2.45
,,2012 - 2013,2.18
,,2013 - 2014,2.35
,,2014 - 2015,2.06
,,2015 - 2016,1.85
,,2016 - 2017,2.78
,,2017 - 2018,2.43
,,2018 - 2019,2.39
,,2019 - 2020,2.25
,,2020 - 2021,2.33
,,2021 - 2022,1.78
,,2022 - 2023,1.72
,Latur,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.13
,,2006 - 2007,0.5
,,2007 - 2008,0.88
,,2008 - 2009,0.88
,,2009 - 2010,1.0
,,2010 - 2011,1.3
,,2011 - 2012,1.06
,,2012 - 2013,1.27
,,2013 - 2014,1.45
,,2014 - 2015,0.73
,,2015 - 2016,0.13
,,2016 - 2017,1.21
,,2017 - 2018,1.19
,,2018 - 2019,1.0
,,2019 - 2020,1.34
,,2020 - 2021,1.19
,,2021 - 2022,1.24
,,2022 - 2023,1.3
,Nagpur,2000 - 2001,1.25
,,2001 - 2002,1.2
,,2002 - 2003,2.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.17
,,2007 - 2008,1.33
,,2008 - 2009,1.5
,,2009 - 2010,2.0
,,2010 - 2011,1.0
,,2011 - 2012,1.5
,,2012 - 2013,2.6
,,2013 - 2014,1.8
,,2014 - 2015,2.4
,,2015 - 2016,1.36
,,2016 - 2017,1.62
,,2017 - 2018,1.51
,,2018 - 2019,1.35
,,2019 - 2020,2.16
,,2020 - 2021,1.4
,,2021 - 2022,1.61
,,2022 - 2023,1.26
,Nanded,2000 - 2001,0.59
,,2001 - 2002,1.11
,,2002 - 2003,1.42
,,2003 - 2004,1.47
,,2004 - 2005,1.2
,,2005 - 2006,1.37
,,2006 - 2007,1.21
,,2007 - 2008,1.0
,,2008 - 2009,1.11
,,2009 - 2010,1.35
,,2010 - 2011,1.09
,,2011 - 2012,1.0
,,2012 - 2013,1.12
,,2013 - 2014,1.23
,,2014 - 2015,0.86
,,2015 - 2016,0.54
,,2016 - 2017,0.88
,,2017 - 2018,0.7
,,2018 - 2019,0.83
,,2019 - 2020,1.18
,,2020 - 2021,1.31
,,2021 - 2022,1.19
,,2022 - 2023,1.65
,Nandurbar,2000 - 2001,1.12
,,2001 - 2002,1.05
,,2002 - 2003,1.89
,,2003 - 2004,1.52
,,2004 - 2005,1.29
,,2005 - 2006,1.98
,,2006 - 2007,1.62
,,2007 - 2008,1.97
,,2008 - 2009,1.88
,,2009 - 2010,1.87
,,2010 - 2011,1.12
,,2011 - 2012,1.36
,,2012 - 2013,1.01
,,2013 - 2014,1.29
,,2014 - 2015,1.13
,,2015 - 2016,1.16
,,2016 - 2017,0.83
,,2017 - 2018,1.22
,,2018 - 2019,0.81
,,2019 - 2020,1.36
,,2020 - 2021,1.84
,,2021 - 2022,1.28
,,2022 - 2023,1.07
,Nashik,2000 - 2001,1.25
,,2001 - 2002,1.0
,,2002 - 2003,1.6
,,2003 - 2004,1.71
,,2004 - 2005,1.0
,,2005 - 2006,1.11
,,2006 - 2007,1.15
,,2007 - 2008,1.54
,,2008 - 2009,1.36
,,2009 - 2010,1.43
,,2010 - 2011,1.09
,,2011 - 2012,1.07
,,2012 - 2013,2.0
,,2013 - 2014,1.4
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,1.74
,,2017 - 2018,2.1
,,2018 - 2019,1.49
,,2019 - 2020,2.02
,,2020 - 2021,1.55
,,2021 - 2022,1.5
,,2022 - 2023,1.71
,Palghar,2011 - 2012,1.0
,,2014 - 2015,
,,2015 - 2016,3.33
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Parbhani,2000 - 2001,0.88
,,2001 - 2002,1.0
,,2002 - 2003,1.31
,,2003 - 2004,1.13
,,2004 - 2005,0.68
,,2005 - 2006,0.75
,,2006 - 2007,1.06
,,2007 - 2008,1.02
,,2008 - 2009,1.07
,,2009 - 2010,1.33
,,2010 - 2011,1.26
,,2011 - 2012,1.05
,,2012 - 2013,0.6
,,2013 - 2014,1.03
,,2014 - 2015,0.84
,,2015 - 2016,1.0
,,2016 - 2017,1.13
,,2017 - 2018,1.21
,,2018 - 2019,0.84
,,2019 - 2020,1.98
,,2020 - 2021,1.31
,,2021 - 2022,1.77
,,2022 - 2023,1.4
,Pune,2000 - 2001,1.82
,,2001 - 2002,1.96
,,2002 - 2003,2.21
,,2003 - 2004,1.52
,,2004 - 2005,1.81
,,2005 - 2006,2.04
,,2006 - 2007,1.84
,,2007 - 2008,1.98
,,2008 - 2009,1.74
,,2009 - 2010,1.98
,,2010 - 2011,1.88
,,2011 - 2012,1.64
,,2012 - 2013,1.46
,,2013 - 2014,1.8
,,2014 - 2015,2.27
,,2015 - 2016,2.29
,,2016 - 2017,2.26
,,2017 - 2018,1.62
,,2018 - 2019,1.8
,,2019 - 2020,2.35
,,2020 - 2021,1.88
,,2021 - 2022,2.12
,,2022 - 2023,1.46
,Raigad,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,1.5
,,2010 - 2011,1.5
,,2011 - 2012,2.0
,,2012 - 2013,1.5
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.63
,,2018 - 2019,4.04
,,2019 - 2020,3.3
,,2020 - 2021,3.99
,,2021 - 2022,3.56
,,2022 - 2023,5.91
,Ratnagiri,2000 - 2001,2.8
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,,2003 - 2004,2.67
,,2004 - 2005,2.33
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.5
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,
,,2015 - 2016,1.0
,,2016 - 2017,0.7
,,2017 - 2018,1.48
,,2018 - 2019,3.0
,,2019 - 2020,2.42
,,2020 - 2021,1.49
,,2021 - 2022,1.63
,,2022 - 2023,2.34
,Sangli,2000 - 2001,1.83
,,2001 - 2002,1.8
,,2002 - 2003,2.11
,,2003 - 2004,2.5
,,2004 - 2005,1.88
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.11
,,2008 - 2009,1.67
,,2009 - 2010,1.71
,,2010 - 2011,1.56
,,2011 - 2012,1.25
,,2012 - 2013,1.23
,,2013 - 2014,1.13
,,2014 - 2015,1.33
,,2015 - 2016,1.08
,,2016 - 2017,1.2
,,2017 - 2018,1.47
,,2018 - 2019,1.65
,,2019 - 2020,1.52
,,2020 - 2021,1.48
,,2021 - 2022,1.3
,,2022 - 2023,1.16
,Satara,2000 - 2001,1.98
,,2001 - 2002,2.63
,,2002 - 2003,3.34
,,2003 - 2004,2.33
,,2004 - 2005,2.43
,,2005 - 2006,2.43
,,2006 - 2007,2.41
,,2007 - 2008,2.59
,,2008 - 2009,1.94
,,2009 - 2010,2.23
,,2010 - 2011,1.72
,,2011 - 2012,2.09
,,2012 - 2013,2.22
,,2013 - 2014,2.12
,,2014 - 2015,2.63
,,2015 - 2016,2.49
,,2016 - 2017,2.2
,,2017 - 2018,1.9
,,2018 - 2019,1.92
,,2019 - 2020,2.02
,,2020 - 2021,2.11
,,2021 - 2022,1.82
,,2022 - 2023,1.71
,Sindhudurg,2000 - 2001,2.24
,,2001 - 2002,2.24
,,2002 - 2003,2.62
,,2003 - 2004,2.15
,,2004 - 2005,2.24
,,2005 - 2006,2.24
,,2006 - 2007,2.12
,,2007 - 2008,2.71
,,2008 - 2009,1.89
,,2009 - 2010,1.76
,,2010 - 2011,1.91
,,2011 - 2012,2.03
,,2012 - 2013,1.95
,,2013 - 2014,2.14
,,2014 - 2015,1.9
,,2015 - 2016,1.86
,,2016 - 2017,1.63
,,2017 - 2018,2.36
,,2018 - 2019,3.83
,,2019 - 2020,2.25
,,2020 - 2021,2.55
,,2021 - 2022,2.37
,,2022 - 2023,2.29
,Solapur,2000 - 2001,1.1
,,2001 - 2002,1.47
,,2002 - 2003,0.96
,,2003 - 2004,1.0
,,2004 - 2005,1.22
,,2005 - 2006,1.25
,,2006 - 2007,1.35
,,2007 - 2008,1.48
,,2008 - 2009,1.46
,,2009 - 2010,1.54
,,2010 - 2011,1.51
,,2011 - 2012,1.14
,,2012 - 2013,1.44
,,2013 - 2014,1.34
,,2014 - 2015,1.48
,,2015 - 2016,1.0
,,2016 - 2017,1.44
,,2017 - 2018,1.39
,,2018 - 2019,1.14
,,2019 - 2020,1.48
,,2020 - 2021,1.51
,,2021 - 2022,1.31
,,2022 - 2023,1.38
,Thane,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,3.5
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,1.5
,,2008 - 2009,3.0
,,2009 - 2010,2.5
,,2010 - 2011,2.0
,,2012 - 2013,2.0
,,2015 - 2016,2.5
,,2017 - 2018,1.5
,,2019 - 2020,1.86
,,2020 - 2021,2.7
,,2021 - 2022,3.94
,,2022 - 2023,2.33
,Wardha,2000 - 2001,3.0
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2003 - 2004,1.17
,,2004 - 2005,1.27
,,2005 - 2006,1.16
,,2006 - 2007,1.29
,,2007 - 2008,1.48
,,2008 - 2009,1.0
,,2009 - 2010,1.22
,,2010 - 2011,1.81
,,2011 - 2012,1.42
,,2012 - 2013,1.46
,,2013 - 2014,1.53
,,2014 - 2015,1.73
,,2015 - 2016,1.83
,,2016 - 2017,1.82
,,2017 - 2018,1.17
,,2018 - 2019,1.53
,,2019 - 2020,2.5
,,2020 - 2021,1.61
,,2021 - 2022,2.06
,,2022 - 2023,1.81
