State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2006 - 2007,"38,279.00","54,148.00",1.41,,,,,,,,,,,,,,,
,,2007 - 2008,"37,121.00","53,986.00",1.45,,,,,,,,,,,,,,,
,,2008 - 2009,"36,855.00","55,836.00",1.52,,,,,,,,,,,,,,,
,,2009 - 2010,"35,650.00","51,049.00",1.43,,,,,,,,,,,,,,,
,,2010 - 2011,"35,294.00","53,199.00",1.51,,,,,,,,,,,,,,,
,,2011 - 2012,"35,115.00","52,930.00",1.51,,,,,,,,,,,,,,,
,,2012 - 2013,"35,273.00","53,688.00",1.52,,,,,,,,,,,,,,,
,,2013 - 2014,"34,224.00","51,587.00",1.51,,,,,,,,,,,,,,,
,,2014 - 2015,"33,868.00","56,154.00",1.66,,,,,,,,,,,,,,,
,,2015 - 2016,"33,511.00","50,512.00",1.51,,,,,,,,,,,,,,,
,,2016 - 2017,"33,155.00","49,974.00",1.51,,,,,,,,,,,,,,,
,,2017 - 2018,"33,511.00","50,512.00",1.51,,,,,,,,,,,,,,,
,,2018 - 2019,"33,915.00","51,511.00",1.52,,,,,,,,,,,,,,,
,,2019 - 2020,"34,080.00","52,824.00",1.55,,,,,,,,,,,,,,,
,,2020 - 2021,"33,593.00","61,993.00",1.85,,,,,,,,,,,,,,,
,,2021 - 2022,"32,389.00","82,702.00",2.55,,,,,,,,,,,,,,,
,,2022 - 2023,"33,699.00","70,641.00",2.1,,,,,,,,,,,,,,,
,5. Kinnaur,2000 - 2001,23,35,1.52,,,,,,,,,,,,,,,
,,2001 - 2002,29,49,1.69,,,,,,,,,,,,,,,
,,2002 - 2003,31,32,1.03,,,,,,,,,,,,,,,
,,2003 - 2004,27,40,1.48,,,,,,,,,,,,,,,
,,2004 - 2005,31,43,1.39,,,,,,,,,,,,,,,
,,2005 - 2006,22,31,1.41,,,,,,,,,,,,,,,
,,2006 - 2007,28,44,1.57,,,,,,,,,,,,,,,
,,2007 - 2008,13,20,1.54,,,,,,,,,,,,,,,
,,2008 - 2009,16,24,1.5,,,,,,,,,,,,,,,
,,2009 - 2010,15,22,1.47,,,,,,,,,,,,,,,
,,2010 - 2011,15,23,1.53,,,,,,,,,,,,,,,
,,2011 - 2012,15,23,1.53,,,,,,,,,,,,,,,
,,2012 - 2013,15,23,1.53,,,,,,,,,,,,,,,
,,2013 - 2014,14,22,1.57,,,,,,,,,,,,,,,
,,2014 - 2015,14,24,1.71,,,,,,,,,,,,,,,
,,2015 - 2016,14,22,1.57,,,,,,,,,,,,,,,
,,2016 - 2017,14,21,1.5,,,,,,,,,,,,,,,
,,2017 - 2018,14,22,1.57,,,,,,,,,,,,,,,
,,2018 - 2019,8,13,1.63,,,,,,,,,,,,,,,
,,2019 - 2020,10,15,1.5,,,,,,,,,,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,,,,,,,,,,
,,2022 - 2023,9,9,1,,,,,,,,,,,,,,,
,6. Kullu,2000 - 2001,"1,507.00","2,287.00",1.52,,,,,,,,,,,,,,,
,,2001 - 2002,"1,618.00","2,417.00",1.49,,,,,,,,,,,,,,,
,,2002 - 2003,"1,719.00","2,776.00",1.61,,,,,,,,,,,,,,,
,,2003 - 2004,"1,558.00","2,046.00",1.31,,,,,,,,,,,,,,,
,,2004 - 2005,"1,546.00","2,571.00",1.66,,,,,,,,,,,,,,,
,,2005 - 2006,"1,513.00","1,449.00",0.96,,,,,,,,,,,,,,,
,,2006 - 2007,"1,478.00","1,928.00",1.3,,,,,,,,,,,,,,,
,,2007 - 2008,"1,469.00","1,984.00",1.35,,,,,,,,,,,,,,,
,,2008 - 2009,"1,439.00","1,972.00",1.37,,,,,,,,,,,,,,,
,,2009 - 2010,"1,430.00","1,777.00",1.24,,,,,,,,,,,,,,,
,,2010 - 2011,"1,416.00","1,851.00",1.31,,,,,,,,,,,,,,,
,,2011 - 2012,"1,409.00","1,842.00",1.31,,,,,,,,,,,,,,,
,,2012 - 2013,"1,415.00","1,868.00",1.32,,,,,,,,,,,,,,,
,,2013 - 2014,"1,373.00","1,795.00",1.31,,,,,,,,,,,,,,,
,,2014 - 2015,"1,359.00","1,955.00",1.44,,,,,,,,,,,,,,,
,,2015 - 2016,"1,344.00","1,758.00",1.31,,,,,,,,,,,,,,,
,,2016 - 2017,"1,330.00","1,739.00",1.31,,,,,,,,,,,,,,,
,,2017 - 2018,"1,344.00","1,758.00",1.31,,,,,,,,,,,,,,,
,,2018 - 2019,"1,258.00","1,648.00",1.31,,,,,,,,,,,,,,,
,,2019 - 2020,"1,328.00","1,763.00",1.33,,,,,,,,,,,,,,,
,,2020 - 2021,276,336,1.22,,,,,,,,,,,,,,,
,,2021 - 2022,279,412,1.48,,,,,,,,,,,,,,,
,,2022 - 2023,234,294,1.26,,,,,,,,,,,,,,,
,7. Mandi,2000 - 2001,"20,083.00","31,474.00",1.57,,,,,,,,,,,,,,,
,,2001 - 2002,"19,762.00","33,767.00",1.71,,,,,,,,,,,,,,,
,,2002 - 2003,"20,942.00","22,461.00",1.07,,,,,,,,,,,,,,,
,,2003 - 2004,"19,783.00","28,981.00",1.46,,,,,,,,,,,,,,,
,,2004 - 2005,"20,092.00","25,275.00",1.26,,,,,,,,,,,,,,,
,,2005 - 2006,"20,276.00","29,167.00",1.44,,,,,,,,,,,,,,,
,,2006 - 2007,"19,566.00","27,068.00",1.38,,,,,,,,,,,,,,,
,,2007 - 2008,"19,469.00","25,002.00",1.28,,,,,,,,,,,,,,,
,,2008 - 2009,"20,171.00","27,410.00",1.36,,,,,,,,,,,,,,,
,,2009 - 2010,"20,160.00","23,085.00",1.15,,,,,,,,,,,,,,,
,,2010 - 2011,"19,958.00","24,057.00",1.21,,,,,,,,,,,,,,,
,,2011 - 2012,"19,858.00","23,936.00",1.21,,,,,,,,,,,,,,,
,,2012 - 2013,"19,946.00","24,278.00",1.22,,,,,,,,,,,,,,,
,,2013 - 2014,"19,354.00","23,328.00",1.21,,,,,,,,,,,,,,,
,,2014 - 2015,"19,152.00","25,394.00",1.33,,,,,,,,,,,,,,,
,,2015 - 2016,"18,950.00","32,842.00",1.73,,,,,,,,,,,,,,,
,,2016 - 2017,"18,749.00","22,599.00",1.21,,,,,,,,,,,,,,,
,,2017 - 2018,"18,950.00","32,842.00",1.73,,,,,,,,,,,,,,,
,,2018 - 2019,"17,717.00","30,630.00",1.73,,,,,,,,,,,,,,,
,,2019 - 2020,"17,924.00","29,216.00",1.63,,,,,,,,,,,,,,,
,,2020 - 2021,"17,939.00","37,280.00",2.08,,,,,,,,,,,,,,,
,,2021 - 2022,"17,412.00","33,850.00",1.94,,,,,,,,,,,,,,,
,,2022 - 2023,"17,554.00","36,125.00",2.06,,,,,,,,,,,,,,,
,8. Shimla,2000 - 2001,"2,579.00","2,370.00",0.92,,,,,,,,,,,,,,,
,,2001 - 2002,"2,368.00","2,978.00",1.26,,,,,,,,,,,,,,,
,,2002 - 2003,"3,087.00","2,636.00",0.85,,,,,,,,,,,,,,,
,,2003 - 2004,"2,261.00","2,207.00",0.98,,,,,,,,,,,,,,,
,,2004 - 2005,"1,981.00","2,122.00",1.07,,,,,,,,,,,,,,,
,,2005 - 2006,"1,810.00","1,966.00",1.09,,,,,,,,,,,,,,,
,,2006 - 2007,"1,651.00","1,887.00",1.14,,,,,,,,,,,,,,,
,,2007 - 2008,"1,640.00","1,602.00",0.98,,,,,,,,,,,,,,,
,,2008 - 2009,"1,214.00","1,209.00",1,,,,,,,,,,,,,,,
,,2009 - 2010,"1,209.00","1,054.00",0.87,,,,,,,,,,,,,,,
,,2010 - 2011,"1,197.00","1,098.00",0.92,,,,,,,,,,,,,,,
,,2011 - 2012,"1,191.00","1,092.00",0.92,,,,,,,,,,,,,,,
,,2012 - 2013,"1,196.00","1,108.00",0.93,,,,,,,,,,,,,,,
,,2013 - 2014,"1,161.00","1,065.00",0.92,,,,,,,,,,,,,,,
,,2014 - 2015,"1,149.00","1,159.00",1.01,,,,,,,,,,,,,,,
,,2015 - 2016,"1,136.00","1,042.00",0.92,,,,,,,,,,,,,,,
,,2016 - 2017,"1,124.00","1,031.00",0.92,,,,,,,,,,,,,,,
,,2017 - 2018,"1,136.00","1,042.00",0.92,,,,,,,,,,,,,,,
,,2018 - 2019,757,689,0.91,,,,,,,,,,,,,,,
,,2019 - 2020,765,780,1.02,,,,,,,,,,,,,,,
,,2020 - 2021,217,258,1.19,,,,,,,,,,,,,,,
,,2021 - 2022,155,212,1.37,,,,,,,,,,,,,,,
,,2022 - 2023,158,311,1.97,,,,,,,,,,,,,,,
,9. Sirmaur,2000 - 2001,"5,974.00","9,829.00",1.65,,,,,,,,,,,,,,,
,,2001 - 2002,"5,884.00","11,236.00",1.91,,,,,,,,,,,,,,,
,,2002 - 2003,"5,270.00","5,278.00",1,,,,,,,,,,,,,,,
,,2003 - 2004,"5,383.00","8,729.00",1.62,,,,,,,,,,,,,,,
,,2004 - 2005,"5,509.00","7,881.00",1.43,,,,,,,,,,,,,,,
,,2005 - 2006,"5,435.00","7,223.00",1.33,,,,,,,,,,,,,,,
,,2006 - 2007,"5,328.00","12,012.00",2.25,,,,,,,,,,,,,,,
,,2007 - 2008,"5,634.00","12,805.00",2.27,,,,,,,,,,,,,,,
,,2008 - 2009,"5,730.00","7,778.00",1.36,,,,,,,,,,,,,,,
,,2009 - 2010,"5,710.00","6,422.00",1.12,,,,,,,,,,,,,,,
,,2010 - 2011,"5,653.00","6,692.00",1.18,,,,,,,,,,,,,,,
,,2011 - 2012,"5,624.00","5,624.00",1,,,,,,,,,,,,,,,
,,2012 - 2013,"5,650.00","6,754.00",1.2,,,,,,,,,,,,,,,
,,2013 - 2014,"5,482.00","6,490.00",1.18,,,,,,,,,,,,,,,
,,2014 - 2015,"5,425.00","7,064.00",1.3,,,,,,,,,,,,,,,
,,2015 - 2016,"5,367.00","6,354.00",1.18,,,,,,,,,,,,,,,
,,2016 - 2017,"5,310.00","6,287.00",1.18,,,,,,,,,,,,,,,
,,2017 - 2018,"5,367.00","6,354.00",1.18,,,,,,,,,,,,,,,
,,2018 - 2019,"6,410.00","7,564.00",1.18,,,,,,,,,,,,,,,
,,2019 - 2020,"6,555.00","7,932.00",1.21,,,,,,,,,,,,,,,
,,2020 - 2021,"7,483.00","20,709.00",2.77,,,,,,,,,,,,,,,
,,2021 - 2022,"8,648.00","36,347.00",4.2,,,,,,,,,,,,,,,
,,2022 - 2023,"8,210.00","7,744.00",0.94,,,,,,,,,,,,,,,
,10. Solan,2000 - 2001,"3,552.00","7,510.00",2.11,,,,,,,,,,,,,,,
,,2001 - 2002,"3,305.00","6,156.00",1.86,,,,,,,,,,,,,,,
,,2002 - 2003,"3,377.00","5,377.00",1.59,,,,,,,,,,,,,,,
,,2003 - 2004,"5,355.00","7,866.00",1.47,,,,,,,,,,,,,,,
,,2004 - 2005,"4,742.00","10,401.00",2.19,,,,,,,,,,,,,,,
,,2005 - 2006,"4,721.00","8,283.00",1.75,,,,,,,,,,,,,,,
,,2006 - 2007,"4,634.00","10,968.00",2.37,,,,,,,,,,,,,,,
,,2007 - 2008,"4,351.00","10,126.00",2.33,,,,,,,,,,,,,,,
,,2008 - 2009,"4,260.00","10,565.00",2.48,,,,,,,,,,,,,,,
,,2009 - 2010,"4,150.00","9,941.00",2.4,,,,,,,,,,,,,,,
,,2010 - 2011,"4,109.00","10,359.00",2.52,,,,,,,,,,,,,,,
,,2011 - 2012,"4,088.00","10,307.00",2.52,,,,,,,,,,,,,,,
,,2012 - 2013,"4,107.00","10,455.00",2.55,,,,,,,,,,,,,,,
,,2013 - 2014,"3,984.00","10,045.00",2.52,,,,,,,,,,,,,,,
,,2014 - 2015,"3,943.00","10,935.00",2.77,,,,,,,,,,,,,,,
,,2015 - 2016,"3,901.00","9,836.00",2.52,,,,,,,,,,,,,,,
,,2016 - 2017,"3,860.00","9,732.00",2.52,,,,,,,,,,,,,,,
,,2017 - 2018,"3,901.00","9,836.00",2.52,,,,,,,,,,,,,,,
,,2018 - 2019,"3,901.00","9,813.00",2.52,,,,,,,,,,,,,,,
,,2019 - 2020,"3,978.00","9,985.00",2.51,,,,,,,,,,,,,,,
,,2020 - 2021,"1,762.00","4,087.00",2.32,,,,,,,,,,,,,,,
,,2021 - 2022,"1,560.00","2,335.00",1.5,,,,,,,,,,,,,,,
,,2022 - 2023,"1,566.00","4,653.00",2.97,,,,,,,,,,,,,,,
,11. Una,2000 - 2001,"2,611.00","5,405.00",2.07,,,,,,,,,,,,,,,
,,2001 - 2002,"3,248.00","7,795.00",2.4,,,,,,,,,,,,,,,
,,2002 - 2003,"2,744.00","4,205.00",1.53,,,,,,,,,,,,,,,
,,2003 - 2004,"2,520.00","4,633.00",1.84,,,,,,,,,,,,,,,
,,2004 - 2005,"2,021.00","3,572.00",1.77,,,,,,,,,,,,,,,
,,2005 - 2006,"2,019.00","3,311.00",1.64,,,,,,,,,,,,,,,
,,2006 - 2007,"1,976.00","4,464.00",2.26,,,,,,,,,,,,,,,
,,2007 - 2008,"2,023.00","4,651.00",2.3,,,,,,,,,,,,,,,
,,2008 - 2009,"1,803.00","4,029.00",2.23,,,,,,,,,,,,,,,
,,2009 - 2010,"1,702.00","3,734.00",2.19,,,,,,,,,,,,,,,
,,2010 - 2011,"1,685.00","3,891.00",2.31,,,,,,,,,,,,,,,
,,2011 - 2012,"1,676.00","3,871.00",2.31,,,,,,,,,,,,,,,
,,2012 - 2013,"1,684.00","3,926.00",2.33,,,,,,,,,,,,,,,
,,2013 - 2014,"1,634.00","3,773.00",2.31,,,,,,,,,,,,,,,
,,2014 - 2015,"1,617.00","4,107.00",2.54,,,,,,,,,,,,,,,
,,2015 - 2016,"1,600.00","3,694.00",2.31,,,,,,,,,,,,,,,
,,2016 - 2017,"1,583.00","3,655.00",2.31,,,,,,,,,,,,,,,
,,2017 - 2018,"1,600.00","3,694.00",2.31,,,,,,,,,,,,,,,
,,2018 - 2019,"1,685.00","3,892.00",2.31,,,,,,,,,,,,,,,
,,2019 - 2020,"1,710.00","4,121.00",2.41,,,,,,,,,,,,,,,
,,2020 - 2021,"1,895.00","4,630.00",2.44,,,,,,,,,,,,,,,
,,2021 - 2022,"1,871.00","4,435.00",2.37,,,,,,,,,,,,,,,
,,2022 - 2023,"1,904.00","4,640.00",2.44,,,,,,,,,,,,,,,
15. Jammu and Kashmir,1. Anantnag,2000 - 2001,"37,577.00","69,551.80",1.85,,,,,,,,,,,,,,,
,,2001 - 2002,"38,893.00","56,910.00",1.46,,,,,,,,,,,,,,,
,,2002 - 2003,"39,013.00","80,077.00",2.05,,,,,,,,,,,,,,,
,,2003 - 2004,"40,375.00","94,313.00",2.34,,,,,,,,,,,,,,,
,,2004 - 2005,"40,375.00","1,05,726.00",2.62,,,,,,,,,,,,,,,
,,2005 - 2006,"40,927.00","1,17,980.00",2.88,,,,,,,,,,,,,,,
,,2006 - 2007,"39,595.00","1,11,555.80",2.82,,,,,,,,,,,,,,,
,,2007 - 2008,"25,086.00","64,867.00",2.59,,,,,,,,,,,,,,,
,,2009 - 2010,"24,440.00","53,557.30",2.19,,,,,,,,,,,,,,,
,,2010 - 2011,"24,480.00","51,802.00",2.12,,,,,,,,,,,,,,,
,,2011 - 2012,"25,147.00","54,152.60",2.15,,,,,,,,,,,,,,,
,,2012 - 2013,"25,147.00","55,814.60",2.22,,,,,,,,,,,,,,,
,,2014 - 2015,"23,904.00","19,403.00",0.81,,,,,,,,,,,,,,,
,,2015 - 2016,"23,860.00","73,371.30",3.08,,,,,,,,,,,,,,,
,,2016 - 2017,"23,074.00","69,686.60",3.02,,,,,,,,,,,,,,,
,,2017 - 2018,"22,829.00","68,740.87",3.01,,,,,,,,,,,,,,,
,,2018 - 2019,"21,668.00","60,728.00",2.8,,,,,,,,,,,,,,,
,,2019 - 2020,"21,811.00","64,882.00",2.97,,,,,,,,,,,,,,,
,,2020 - 2021,"21,730.00","66,002.53",3.04,,,,,,,,,,,,,,,
,2. Badgam,2000 - 2001,"24,907.00","39,978.40",1.61,,,,,,,,,,,,,,,
,,2001 - 2002,"25,245.00","44,757.00",1.77,,,,,,,,,,,,,,,
,,2002 - 2003,"24,858.00","55,256.00",2.22,,,,,,,,,,,,,,,
,,2003 - 2004,"24,617.00","43,876.00",1.78,,,,,,,,,,,,,,,
,,2004 - 2005,"23,734.00","40,372.00",1.7,,,,,,,,,,,,,,,
,,2005 - 2006,"24,176.00","61,700.00",2.55,,,,,,,,,,,,,,,
,,2006 - 2007,"23,923.00","59,443.10",2.48,,,,,,,,,,,,,,,
,,2007 - 2008,"23,092.00","51,080.00",2.21,,,,,,,,,,,,,,,
,,2009 - 2010,"26,188.00","64,967.30",2.48,,,,,,,,,,,,,,,
,,2010 - 2011,"24,580.00","54,244.60",2.21,,,,,,,,,,,,,,,
,,2011 - 2012,"24,496.00","54,119.30",2.21,,,,,,,,,,,,,,,
,,2012 - 2013,"24,665.00","69,590.60",2.82,,,,,,,,,,,,,,,
,,2014 - 2015,"26,183.00","23,727.00",0.91,,,,,,,,,,,,,,,
,,2015 - 2016,"31,803.00","73,416.00",2.31,,,,,,,,,,,,,,,
,,2016 - 2017,"24,567.00","59,684.60",2.43,,,,,,,,,,,,,,,
,,2017 - 2018,"25,680.00","60,147.53",2.34,,,,,,,,,,,,,,,
,,2018 - 2019,"25,315.00","50,762.67",2.01,,,,,,,,,,,,,,,
,,2019 - 2020,"22,630.00","59,648.00",2.64,,,,,,,,,,,,,,,
,,2020 - 2021,"27,269.00","68,420.53",2.51,,,,,,,,,,,,,,,
,3. Bandipora,2007 - 2008,"9,588.00","26,293.00",2.74,,,,,,,,,,,,,,,
,,2009 - 2010,"9,902.00","30,467.30",3.08,,,,,,,,,,,,,,,
,,2010 - 2011,"9,905.00","30,786.60",3.11,,,,,,,,,,,,,,,
,,2011 - 2012,"9,660.00","26,538.60",2.75,,,,,,,,,,,,,,,
,,2012 - 2013,"9,486.00","21,656.00",2.28,,,,,,,,,,,,,,,
,,2014 - 2015,"9,203.00","11,049.00",1.2,,,,,,,,,,,,,,,
,,2015 - 2016,"12,726.00","38,427.30",3.02,,,,,,,,,,,,,,,
,,2016 - 2017,"11,746.00","33,602.60",2.86,,,,,,,,,,,,,,,
,,2017 - 2018,"12,942.00","41,760.67",3.23,,,,,,,,,,,,,,,
,,2018 - 2019,"9,272.00","29,582.00",3.19,,,,,,,,,,,,,,,
,,2019 - 2020,"9,264.00","28,626.66",3.09,,,,,,,,,,,,,,,
,,2020 - 2021,"9,399.00","33,605.93",3.58,,,,,,,,,,,,,,,
,4. Baramulla,2000 - 2001,"27,176.00","45,918.50",1.69,,,,,,,,,,,,,,,
,,2001 - 2002,"29,930.00","49,275.00",1.65,,,,,,,,,,,,,,,
,,2002 - 2003,"32,014.00","66,822.00",2.09,,,,,,,,,,,,,,,
,,2003 - 2004,"31,628.00","64,280.00",2.03,,,,,,,,,,,,,,,
,,2004 - 2005,"31,049.00","62,904.00",2.03,,,,,,,,,,,,,,,
,,2005 - 2006,"29,918.00","74,787.00",2.5,,,,,,,,,,,,,,,
,,2006 - 2007,"31,350.00","77,878.90",2.48,,,,,,,,,,,,,,,
,,2007 - 2008,"21,205.00","58,140.00",2.74,,,,,,,,,,,,,,,
,,2009 - 2010,"21,221.00","58,306.00",2.75,,,,,,,,,,,,,,,
,,2010 - 2011,"20,163.00","45,309.30",2.25,,,,,,,,,,,,,,,
,,2011 - 2012,"20,235.00","51,837.30",2.56,,,,,,,,,,,,,,,
,,2012 - 2013,"20,236.00","45,136.60",2.23,,,,,,,,,,,,,,,
,,2014 - 2015,"21,265.00","23,376.00",1.1,,,,,,,,,,,,,,,
,,2015 - 2016,"20,540.00","48,002.60",2.34,,,,,,,,,,,,,,,
,,2016 - 2017,"20,941.00","55,784.00",2.66,,,,,,,,,,,,,,,
,,2017 - 2018,"20,567.00","46,538.60",2.26,,,,,,,,,,,,,,,
,,2018 - 2019,"20,506.00","49,910.00",2.43,,,,,,,,,,,,,,,
,,2019 - 2020,"20,523.00","59,493.33",2.9,,,,,,,,,,,,,,,
,,2020 - 2021,"20,612.00","40,787.60",1.98,,,,,,,,,,,,,,,
,5. Doda,2000 - 2001,"3,503.00","3,403.80",0.97,,,,,,,,,,,,,,,
,,2001 - 2002,"3,879.00","3,310.00",0.85,,,,,,,,,,,,,,,
,,2002 - 2003,"4,155.00","4,412.00",1.06,,,,,,,,,,,,,,,
,,2003 - 2004,"4,050.00","7,455.00",1.84,,,,,,,,,,,,,,,
,,2004 - 2005,"4,203.00","4,758.00",1.13,,,,,,,,,,,,,,,
,,2005 - 2006,"3,781.00","5,640.00",1.49,,,,,,,,,,,,,,,
,,2006 - 2007,"3,672.00","3,655.20",1,,,,,,,,,,,,,,,
,,2007 - 2008,"1,868.00","1,760.00",0.94,,,,,,,,,,,,,,,
,,2009 - 2010,"1,905.00","2,892.00",1.52,,,,,,,,,,,,,,,
,,2010 - 2011,"1,929.00","2,194.60",1.14,,,,,,,,,,,,,,,
,,2011 - 2012,"1,930.00","3,397.30",1.76,,,,,,,,,,,,,,,
,,2012 - 2013,"1,890.00","3,773.30",2,,,,,,,,,,,,,,,
,,2014 - 2015,"1,911.00","1,893.00",0.99,,,,,,,,,,,,,,,
,,2015 - 2016,"1,401.00","2,148.60",1.53,,,,,,,,,,,,,,,
,,2016 - 2017,"1,509.00","2,191.30",1.45,,,,,,,,,,,,,,,
,,2017 - 2018,"1,570.00","3,115.87",1.98,,,,,,,,,,,,,,,
,,2018 - 2019,"1,382.00","2,979.33",2.16,,,,,,,,,,,,,,,
,,2019 - 2020,"1,438.00","2,061.33",1.43,,,,,,,,,,,,,,,
,,2020 - 2021,"2,271.00","3,295.67",1.45,,,,,,,,,,,,,,,
,6. Ganderbal,2007 - 2008,"8,363.00","22,313.00",2.67,,,,,,,,,,,,,,,
,,2009 - 2010,"8,078.00","20,208.00",2.5,,,,,,,,,,,,,,,
,,2010 - 2011,"7,511.00","15,406.60",2.05,,,,,,,,,,,,,,,
,,2011 - 2012,"7,684.00","18,201.30",2.37,,,,,,,,,,,,,,,
,,2012 - 2013,"7,684.00","14,120.00",1.84,,,,,,,,,,,,,,,
,,2014 - 2015,"7,684.00","8,684.00",1.13,,,,,,,,,,,,,,,
,,2015 - 2016,"7,831.00","19,157.30",2.45,,,,,,,,,,,,,,,
,,2016 - 2017,"7,832.00","19,386.00",2.48,,,,,,,,,,,,,,,
,,2017 - 2018,"7,791.00","22,455.87",2.88,,,,,,,,,,,,,,,
,,2018 - 2019,"8,032.00","23,665.33",2.95,,,,,,,,,,,,,,,
,,2019 - 2020,"7,746.00","24,385.33",3.15,,,,,,,,,,,,,,,
,,2020 - 2021,"7,852.00","24,040.27",3.06,,,,,,,,,,,,,,,
,7. Jammu,2000 - 2001,"50,161.00","97,243.10",1.94,,,,,,,,,,,,,,,
,,2001 - 2002,"50,176.00","87,378.00",1.74,,,,,,,,,,,,,,,
,,2002 - 2003,"46,885.00","66,348.00",1.42,,,,,,,,,,,,,,,
,,2003 - 2004,"58,426.00","1,06,547.00",1.82,,,,,,,,,,,,,,,
,,2004 - 2005,"53,706.00","90,148.00",1.68,,,,,,,,,,,,,,,
,,2005 - 2006,"57,336.00","94,780.00",1.65,,,,,,,,,,,,,,,
,,2006 - 2007,"57,324.00","98,602.60",1.72,,,,,,,,,,,,,,,
,,2007 - 2008,"50,716.00","93,887.00",1.85,,,,,,,,,,,,,,,
,,2009 - 2010,"53,986.00","99,511.30",1.84,,,,,,,,,,,,,,,
,,2010 - 2011,"55,061.00","83,462.60",1.52,,,,,,,,,,,,,,,
,,2011 - 2012,"55,553.00","1,08,473.30",1.95,,,,,,,,,,,,,,,
,,2012 - 2013,"56,451.00","1,12,890.00",2,,,,,,,,,,,,,,,
,,2014 - 2015,"65,470.00","1,16,969.00",1.79,,,,,,,,,,,,,,,
,,2015 - 2016,"79,153.00","1,35,044.60",1.71,,,,,,,,,,,,,,,
,,2016 - 2017,"67,551.00","1,00,046.60",1.48,,,,,,,,,,,,,,,
,,2017 - 2018,"64,348.00","1,67,348.00",2.6,,,,,,,,,,,,,,,
,,2018 - 2019,"63,882.00","1,45,866.66",2.28,,,,,,,,,,,,,,,
,,2019 - 2020,"50,684.00","97,906.66",1.93,,,,,,,,,,,,,,,
,,2020 - 2021,"58,430.00","1,12,660.10",1.93,,,,,,,,,,,,,,,
,8. Kathua,2000 - 2001,"34,303.00","57,398.10",1.67,,,,,,,,,,,,,,,
,,2001 - 2002,"36,591.00","64,733.00",1.77,,,,,,,,,,,,,,,
,,2002 - 2003,"29,420.00","43,402.00",1.48,,,,,,,,,,,,,,,
,,2003 - 2004,"30,628.00","55,677.00",1.82,,,,,,,,,,,,,,,
,,2004 - 2005,"30,611.00","51,805.00",1.69,,,,,,,,,,,,,,,
,,2005 - 2006,"30,747.00","51,393.00",1.67,,,,,,,,,,,,,,,
,,2006 - 2007,"31,286.00","54,754.00",1.75,,,,,,,,,,,,,,,
,,2007 - 2008,"27,573.00","52,647.00",1.91,,,,,,,,,,,,,,,
,,2009 - 2010,"28,488.00","29,596.00",1.04,,,,,,,,,,,,,,,
,,2010 - 2011,"31,380.00","57,943.30",1.85,,,,,,,,,,,,,,,
,,2011 - 2012,"31,243.00","63,427.30",2.03,,,,,,,,,,,,,,,
,,2012 - 2013,"31,861.00","56,250.60",1.77,,,,,,,,,,,,,,,
,,2014 - 2015,"33,206.00","51,180.00",1.54,,,,,,,,,,,,,,,
,,2015 - 2016,"36,137.00","59,910.00",1.66,,,,,,,,,,,,,,,
,,2016 - 2017,"35,913.00","52,686.60",1.47,,,,,,,,,,,,,,,
,,2017 - 2018,"33,925.00","85,781.60",2.53,,,,,,,,,,,,,,,
,,2018 - 2019,"29,962.00","72,371.33",2.42,,,,,,,,,,,,,,,
,,2019 - 2020,"34,329.00","57,943.33",1.69,,,,,,,,,,,,,,,
,,2020 - 2021,"34,066.00","67,937.67",1.99,,,,,,,,,,,,,,,
,9. Kishtwar,2007 - 2008,943,887,0.94,,,,,,,,,,,,,,,
,,2009 - 2010,997,"1,518.00",1.52,,,,,,,,,,,,,,,
,,2010 - 2011,"1,010.00","2,242.00",2.22,,,,,,,,,,,,,,,
,,2011 - 2012,"1,138.00",882.6,0.78,,,,,,,,,,,,,,,
,,2012 - 2013,"1,450.00","1,113.30",0.77,,,,,,,,,,,,,,,
,,2014 - 2015,"1,196.00",144,0.12,,,,,,,,,,,,,,,
,,2015 - 2016,"1,729.00","1,516.60",0.88,,,,,,,,,,,,,,,
,,2016 - 2017,"1,174.00","1,704.60",1.45,,,,,,,,,,,,,,,
,,2017 - 2018,"1,170.00","3,441.27",2.94,,,,,,,,,,,,,,,
,,2018 - 2019,"1,221.00","3,512.00",2.88,,,,,,,,,,,,,,,
,,2019 - 2020,"1,206.00","2,172.66",1.8,,,,,,,,,,,,,,,
,,2020 - 2021,"1,188.00","1,453.20",1.22,,,,,,,,,,,,,,,
,10. Kulgam,2007 - 2008,"17,961.00","46,447.00",2.59,,,,,,,,,,,,,,,
,,2009 - 2010,"19,537.00","49,531.30",2.54,,,,,,,,,,,,,,,
,,2010 - 2011,"18,123.00","49,272.00",2.72,,,,,,,,,,,,,,,
,,2011 - 2012,"16,729.00","40,486.60",2.42,,,,,,,,,,,,,,,
,,2012 - 2013,"16,812.00","38,338.00",2.28,,,,,,,,,,,,,,,
,,2014 - 2015,"18,344.00","18,025.00",0.98,,,,,,,,,,,,,,,
,,2015 - 2016,"12,979.00","25,060.00",1.93,,,,,,,,,,,,,,,
,,2016 - 2017,"12,957.00","25,897.30",2,,,,,,,,,,,,,,,
