State,District,Year,Arecanut,,,,,,,,
,,2008 - 2009,,,,"3,566.00","4,634.00",1.3,,,
,,2009 - 2010,,,,"4,284.00","7,428.00",1.73,,,
,,2010 - 2011,,,,,,,"4,284.00","7,428.00",1.73
,,2011 - 2012,,,,,,,"4,250.00","4,802.00",1.13
,,2012 - 2013,,,,,,,"4,318.00","4,716.00",1.09
,,2013 - 2014,,,,,,,"3,978.00","3,720.00",0.94
,,2014 - 2015,,,,,,,"3,966.00","6,984.00",1.76
,,2015 - 2016,,,,,,,"3,880.00","4,529.00",1.17
,,2016 - 2017,,,,,,,"3,825.00","4,145.00",1.08
,,2017 - 2018,,,,,,,"3,811.00","3,562.00",0.93
,,2018 - 2019,,,,,,,"3,811.00","4,809.00",1.26
,,2019 - 2020,,,,,,,"3,782.00","2,376.00",0.63
,,2020 - 2021,,,,,,,"3,982.00","3,905.00",0.98
,,2021 - 2022,,,,,,,"3,982.00","3,905.00",0.98
,,2022 - 2023,,,,,,,"5,980.00","6,090.00",1.02
,19. Kamrup metro,2006 - 2007,,,,519,304,0.59,,,
,,2007 - 2008,,,,540,456,0.84,,,
,,2008 - 2009,,,,650,831,1.28,,,
,,2009 - 2010,,,,850,"1,393.00",1.64,,,
,,2010 - 2011,,,,,,,850,"1,393.00",1.64
,,2011 - 2012,,,,,,,662,704,1.06
,,2012 - 2013,,,,,,,675,91,0.13
,,2013 - 2014,,,,,,,684,692,1.01
,,2014 - 2015,,,,,,,693,527,0.76
,,2015 - 2016,,,,,,,670,559,0.83
,,2016 - 2017,,,,,,,639,770,1.21
,,2017 - 2018,,,,,,,634,631,1
,,2018 - 2019,,,,,,,631,517,0.82
,,2019 - 2020,,,,,,,629,528,0.84
,,2020 - 2021,,,,,,,654,556,0.85
,,2021 - 2022,,,,,,,654,556,0.85
,,2022 - 2023,,,,,,,759,646,0.85
,20. Karbi anglong,2000 - 2001,,,,"1,198.00",739,0.62,,,
,,2001 - 2002,,,,"1,209.00","1,142.00",0.94,,,
,,2002 - 2003,,,,"1,216.00",582,0.48,,,
,,2003 - 2004,,,,"1,226.00","1,536.00",1.25,,,
,,2005 - 2006,,,,"1,240.00",689,0.56,,,
,,2006 - 2007,,,,"1,302.00","1,310.00",1.01,,,
,,2007 - 2008,,,,"1,287.00",984,0.76,,,
,,2008 - 2009,,,,"1,332.00",894,0.67,,,
,,2009 - 2010,,,,"1,346.00","1,861.00",1.38,,,
,,2010 - 2011,,,,,,,"1,346.00","1,861.00",1.38
,,2011 - 2012,,,,,,,"1,440.00","1,091.00",0.76
,,2012 - 2013,,,,,,,"1,447.00","1,418.00",0.98
,,2013 - 2014,,,,,,,"1,487.00",460,0.31
,,2014 - 2015,,,,,,,"1,539.00",647,0.42
,,2015 - 2016,,,,,,,"1,567.00","1,182.00",0.75
,,2016 - 2017,,,,,,,"1,565.00",842,0.54
,,2017 - 2018,,,,,,,"1,620.00",872,0.54
,,2018 - 2019,,,,,,,"1,659.00",921,0.56
,,2019 - 2020,,,,,,,"1,129.00",584,0.52
,,2020 - 2021,,,,,,,"1,149.00",587,0.51
,,2021 - 2022,,,,,,,"1,149.00",587,0.51
,,2022 - 2023,,,,,,,"1,742.00",889,0.51
,21. Karimganj,2000 - 2001,,,,"2,196.00",827,0.38,,,
,,2001 - 2002,,,,"2,200.00","2,127.00",0.97,,,
,,2002 - 2003,,,,"2,215.00",739,0.33,,,
,,2003 - 2004,,,,"2,231.00",992,0.44,,,
,,2005 - 2006,,,,"2,231.00","1,009.00",0.45,,,
,,2006 - 2007,,,,"2,285.00",906,0.4,,,
,,2007 - 2008,,,,"2,299.00","1,071.00",0.47,,,
,,2008 - 2009,,,,"2,070.00",786,0.38,,,
,,2009 - 2010,,,,"2,120.00",641,0.3,,,
,,2010 - 2011,,,,,,,"2,120.00",641,0.3
,,2011 - 2012,,,,,,,"2,242.00",803,0.36
,,2012 - 2013,,,,,,,"2,292.00",784,0.34
,,2013 - 2014,,,,,,,"2,338.00",938,0.4
,,2014 - 2015,,,,,,,"2,347.00","2,896.00",1.23
,,2015 - 2016,,,,,,,"2,349.00",552,0.23
,,2016 - 2017,,,,,,,"2,335.00",242,0.1
,,2017 - 2018,,,,,,,"2,342.00",766,0.33
,,2018 - 2019,,,,,,,"2,352.00",673,0.29
,,2019 - 2020,,,,,,,"2,352.00","1,133.00",0.48
,,2020 - 2021,,,,,,,"2,376.00",835,0.35
,,2021 - 2022,,,,,,,"2,376.00",835,0.35
,,2022 - 2023,,,,,,,"2,358.00",164,0.07
,22. Kokrajhar,2000 - 2001,,,,"1,341.00","3,671.00",2.74,,,
,,2001 - 2002,,,,"1,433.00","1,331.00",0.93,,,
,,2002 - 2003,,,,"1,455.00","1,484.00",1.02,,,
,,2003 - 2004,,,,"1,466.00","3,105.00",2.12,,,
,,2005 - 2006,,,,"1,473.00",935,0.63,,,
,,2006 - 2007,,,,"1,719.00","2,201.00",1.28,,,
,,2007 - 2008,,,,"1,668.00","3,546.00",2.13,,,
,,2008 - 2009,,,,"1,681.00","3,143.00",1.87,,,
,,2009 - 2010,,,,"1,568.00","2,552.00",1.63,,,
,,2010 - 2011,,,,,,,"1,568.00","2,552.00",1.63
,,2011 - 2012,,,,,,,"1,650.00","2,788.00",1.69
,,2012 - 2013,,,,,,,"1,630.00","31,459.00",19.3
,,2013 - 2014,,,,,,,"1,790.00","1,441.00",0.81
,,2014 - 2015,,,,,,,"1,789.00","2,641.00",1.48
,,2015 - 2016,,,,,,,"1,689.00","1,367.00",0.81
,,2016 - 2017,,,,,,,"1,575.00","1,310.00",0.83
,,2017 - 2018,,,,,,,"1,597.00",807,0.51
,,2018 - 2019,,,,,,,"1,727.00","1,436.00",0.83
,,2019 - 2020,,,,,,,"1,863.00","1,152.00",0.62
,,2020 - 2021,,,,,,,"1,890.00","1,185.00",0.63
,,2021 - 2022,,,,,,,"1,890.00","1,185.00",0.63
,,2022 - 2023,,,,,,,"2,335.00","1,523.00",0.65
,23. Lakhimpur,2000 - 2001,,,,"2,319.00","1,649.00",0.71,,,
,,2001 - 2002,,,,"2,291.00","1,781.00",0.78,,,
,,2002 - 2003,,,,"2,322.00","1,064.00",0.46,,,
,,2003 - 2004,,,,"2,893.00","2,788.00",0.96,,,
,,2005 - 2006,,,,"2,893.00","2,880.00",1,,,
,,2006 - 2007,,,,"3,307.00","3,507.00",1.06,,,
,,2007 - 2008,,,,"3,009.00","2,900.00",0.96,,,
,,2008 - 2009,,,,"2,791.00","2,563.00",0.92,,,
,,2009 - 2010,,,,"3,013.00","3,964.00",1.32,,,
,,2010 - 2011,,,,,,,"3,013.00","3,964.00",1.32
,,2011 - 2012,,,,,,,"2,457.00","1,654.00",0.67
,,2012 - 2013,,,,,,,"2,675.00","1,743.00",0.65
,,2013 - 2014,,,,,,,"2,677.00","1,818.00",0.68
,,2014 - 2015,,,,,,,"2,718.00","1,219.00",0.45
,,2015 - 2016,,,,,,,"2,775.00","1,373.00",0.49
,,2016 - 2017,,,,,,,"2,880.00",970,0.34
,,2017 - 2018,,,,,,,"2,388.00",726,0.3
,,2018 - 2019,,,,,,,"2,375.00","1,268.00",0.53
,,2019 - 2020,,,,,,,"2,165.00",555,0.26
,,2020 - 2021,,,,,,,"2,053.00",999,0.49
,,2021 - 2022,,,,,,,"2,053.00",999,0.49
,,2022 - 2023,,,,,,,"1,440.00",555,0.39
,24. Majuli,2019 - 2020,,,,,,,380,174,0.46
,,2020 - 2021,,,,,,,315,148,0.47
,,2021 - 2022,,,,,,,315,148,0.47
,,2022 - 2023,,,,,,,330,155,0.47
,25. Marigaon,2000 - 2001,,,,"1,400.00",478,0.34,,,
,,2001 - 2002,,,,"1,400.00","1,148.00",0.82,,,
,,2002 - 2003,,,,"1,400.00",734,0.52,,,
,,2003 - 2004,,,,"1,400.00","1,358.00",0.97,,,
,,2005 - 2006,,,,"1,398.00","1,460.00",1.04,,,
,,2006 - 2007,,,,"1,250.00",848,0.68,,,
,,2007 - 2008,,,,"1,250.00",945,0.76,,,
,,2008 - 2009,,,,"1,296.00","1,480.00",1.14,,,
,,2009 - 2010,,,,"1,331.00","1,347.00",1.01,,,
,,2010 - 2011,,,,,,,"1,331.00","1,347.00",1.01
,,2011 - 2012,,,,,,,"1,385.00","1,014.00",0.73
,,2012 - 2013,,,,,,,"1,438.00",856,0.6
,,2013 - 2014,,,,,,,"1,451.00","1,073.00",0.74
,,2014 - 2015,,,,,,,"1,400.00","1,355.00",0.97
,,2015 - 2016,,,,,,,"1,329.00",938,0.71
,,2016 - 2017,,,,,,,"1,330.00","1,021.00",0.77
,,2017 - 2018,,,,,,,"1,355.00","1,112.00",0.82
,,2018 - 2019,,,,,,,"1,445.00","1,105.00",0.76
,,2019 - 2020,,,,,,,"1,445.00","1,088.00",0.75
,,2020 - 2021,,,,,,,"1,465.00","1,051.00",0.72
,,2021 - 2022,,,,,,,"1,465.00","1,051.00",0.72
,,2022 - 2023,,,,,,,"1,443.00","1,036.00",0.72
,26. Nagaon,2000 - 2001,,,,"6,288.00","6,305.00",1,,,
,,2001 - 2002,,,,"6,309.00","8,944.00",1.42,,,
,,2002 - 2003,,,,"6,350.00","4,947.00",0.78,,,
,,2003 - 2004,,,,"6,137.00","7,606.00",1.24,,,
,,2005 - 2006,,,,"5,026.00","6,622.00",1.32,,,
,,2006 - 2007,,,,"5,413.00","5,061.00",0.93,,,
,,2007 - 2008,,,,"5,463.00","5,398.00",0.99,,,
,,2008 - 2009,,,,"5,544.00","7,708.00",1.39,,,
,,2009 - 2010,,,,"5,276.00","6,516.00",1.24,,,
,,2010 - 2011,,,,,,,"5,276.00","6,516.00",1.24
,,2011 - 2012,,,,,,,"5,473.00","7,264.00",1.33
,,2012 - 2013,,,,,,,"4,889.00","4,753.00",0.97
,,2013 - 2014,,,,,,,"5,340.00","8,605.00",1.61
,,2014 - 2015,,,,,,,"5,245.00","9,490.00",1.81
,,2015 - 2016,,,,,,,"4,963.00","4,632.00",0.93
,,2016 - 2017,,,,,,,"5,116.00","2,828.00",0.55
,,2017 - 2018,,,,,,,"5,040.00","2,826.00",0.56
,,2018 - 2019,,,,,,,"5,068.00","2,404.00",0.47
,,2019 - 2020,,,,,,,"4,409.00","2,962.00",0.67
,,2020 - 2021,,,,,,,"4,393.00","1,185.00",0.27
,,2021 - 2022,,,,,,,"4,393.00","1,185.00",0.27
,,2022 - 2023,,,,,,,"4,436.00",956,0.22
,27. Nalbari,2000 - 2001,,,,"3,998.00","4,548.00",1.14,,,
,,2001 - 2002,,,,"3,998.00","3,788.00",0.95,,,
,,2002 - 2003,,,,"3,950.00","3,910.00",0.99,,,
,,2003 - 2004,,,,"3,945.00","6,073.00",1.54,,,
,,2005 - 2006,,,,"3,950.00","4,114.00",1.04,,,
,,2006 - 2007,,,,"1,900.00","1,853.00",0.98,,,
,,2007 - 2008,,,,"1,950.00","1,965.00",1.01,,,
,,2008 - 2009,,,,"1,960.00","1,828.00",0.93,,,
,,2009 - 2010,,,,"1,980.00","2,147.00",1.08,,,
,,2010 - 2011,,,,,,,"1,980.00","2,147.00",1.08
,,2011 - 2012,,,,,,,"2,010.00","1,604.00",0.8
,,2012 - 2013,,,,,,,"1,450.00","1,433.00",0.99
,,2013 - 2014,,,,,,,"1,390.00","1,413.00",1.02
,,2014 - 2015,,,,,,,"1,965.00","2,477.00",1.26
,,2015 - 2016,,,,,,,"1,405.00","1,531.00",1.09
,,2016 - 2017,,,,,,,"1,490.00","1,340.00",0.9
,,2017 - 2018,,,,,,,"1,564.00","1,504.00",0.96
,,2018 - 2019,,,,,,,"1,530.00","1,279.00",0.84
,,2019 - 2020,,,,,,,"1,532.00","1,380.00",0.9
,,2020 - 2021,,,,,,,"1,450.00","1,083.00",0.75
,,2021 - 2022,,,,,,,"1,450.00","1,083.00",0.75
,,2022 - 2023,,,,,,,"1,390.00",32,0.02
,28. Sivasagar,2000 - 2001,,,,"4,347.00","7,385.00",1.7,,,
,,2001 - 2002,,,,"4,356.00","4,795.00",1.1,,,
,,2002 - 2003,,,,"4,353.00","2,752.00",0.63,,,
,,2003 - 2004,,,,"3,913.00","3,301.00",0.84,,,
,,2005 - 2006,,,,"3,532.00","2,884.00",0.82,,,
,,2006 - 2007,,,,"3,441.00","2,288.00",0.66,,,
,,2007 - 2008,,,,"3,435.00","2,574.00",0.75,,,
,,2008 - 2009,,,,"3,175.00","2,438.00",0.77,,,
,,2009 - 2010,,,,"3,108.00","2,266.00",0.73,,,
,,2010 - 2011,,,,,,,"3,108.00","2,266.00",0.73
,,2011 - 2012,,,,,,,"2,271.00","1,274.00",0.56
,,2012 - 2013,,,,,,,"2,299.00","1,693.00",0.74
,,2013 - 2014,,,,,,,"2,268.00","1,802.00",0.79
,,2014 - 2015,,,,,,,"2,295.00","1,318.00",0.57
,,2015 - 2016,,,,,,,"2,180.00","1,232.00",0.57
,,2016 - 2017,,,,,,,"2,162.00","1,286.00",0.59
,,2017 - 2018,,,,,,,"2,180.00","1,555.00",0.71
,,2018 - 2019,,,,,,,"2,132.00","1,315.00",0.62
,,2019 - 2020,,,,,,,795,363,0.46
,,2020 - 2021,,,,,,,810,415,0.51
,,2021 - 2022,,,,,,,810,415,0.51
,,2022 - 2023,,,,,,,738,379,0.51
,29. Sonitpur,2000 - 2001,,,,"4,313.00","2,785.00",0.65,,,
,,2001 - 2002,,,,"4,335.00","5,187.00",1.2,,,
,,2002 - 2003,,,,"4,490.00","4,141.00",0.92,,,
,,2003 - 2004,,,,"4,600.00","3,411.00",0.74,,,
,,2005 - 2006,,,,"4,620.00","4,133.00",0.89,,,
,,2006 - 2007,,,,"4,624.00","5,758.00",1.25,,,
,,2007 - 2008,,,,"4,604.00","3,344.00",0.73,,,
,,2008 - 2009,,,,"4,649.00","5,268.00",1.13,,,
,,2009 - 2010,,,,"4,927.00","6,473.00",1.31,,,
,,2010 - 2011,,,,,,,"4,927.00","6,473.00",1.31
,,2011 - 2012,,,,,,,"4,880.00","3,367.00",0.69
,,2012 - 2013,,,,,,,"4,757.00","5,628.00",1.18
,,2013 - 2014,,,,,,,"4,783.00","3,108.00",0.65
,,2014 - 2015,,,,,,,"5,439.00","4,368.00",0.8
,,2015 - 2016,,,,,,,"5,081.00","2,005.00",0.39
,,2016 - 2017,,,,,,,"5,425.00","3,265.00",0.6
,,2017 - 2018,,,,,,,"5,350.00","2,933.00",0.55
,,2018 - 2019,,,,,,,"5,357.00","3,427.00",0.64
,,2019 - 2020,,,,,,,"2,920.00","1,838.00",0.63
,,2020 - 2021,,,,,,,"2,665.00",849,0.32
,,2021 - 2022,,,,,,,"2,665.00",849,0.32
,,2022 - 2023,,,,,,,"3,061.00",975,0.32
,30. South salmara mancachar,2019 - 2020,,,,,,,227,108,0.48
,,2020 - 2021,,,,,,,226,188,0.83
,,2021 - 2022,,,,,,,226,188,0.83
,,2022 - 2023,,,,,,,225,184,0.82
,31. Tinsukia,2000 - 2001,,,,"2,120.00","1,691.00",0.8,,,
,,2001 - 2002,,,,"2,134.00","2,626.00",1.23,,,
,,2002 - 2003,,,,"2,144.00","2,297.00",1.07,,,
,,2003 - 2004,,,,"2,161.00","3,011.00",1.39,,,
,,2005 - 2006,,,,"2,152.00","1,074.00",0.5,,,
,,2006 - 2007,,,,"1,720.00","1,160.00",0.67,,,
,,2007 - 2008,,,,"1,646.00","1,229.00",0.75,,,
,,2008 - 2009,,,,"2,092.00","1,292.00",0.62,,,
,,2009 - 2010,,,,"2,079.00","1,009.00",0.49,,,
,,2010 - 2011,,,,,,,"2,079.00","1,009.00",0.49
,,2011 - 2012,,,,,,,"1,881.00","1,563.00",0.83
,,2012 - 2013,,,,,,,"1,896.00","1,705.00",0.9
,,2013 - 2014,,,,,,,"1,903.00","1,784.00",0.94
,,2014 - 2015,,,,,,,"1,844.00","5,545.00",3.01
,,2015 - 2016,,,,,,,"1,807.00","8,026.00",4.44
,,2016 - 2017,,,,,,,"1,807.00","3,299.00",1.83
,,2017 - 2018,,,,,,,"1,785.00","3,221.00",1.8
,,2018 - 2019,,,,,,,"1,786.00","2,118.00",1.19
,,2019 - 2020,,,,,,,"1,793.00","4,982.00",2.78
,,2020 - 2021,,,,,,,"1,786.00","3,249.00",1.82
,,2021 - 2022,,,,,,,"1,786.00","3,249.00",1.82
,,2022 - 2023,,,,,,,"1,772.00","3,224.00",1.82
,32. Udalguri,2006 - 2007,,,,"1,995.00","1,046.00",0.52,,,
,,2007 - 2008,,,,"1,951.00","1,648.00",0.84,,,
,,2008 - 2009,,,,"2,098.00","2,024.00",0.96,,,
,,2009 - 2010,,,,"2,200.00","1,841.00",0.84,,,
,,2010 - 2011,,,,,,,"2,200.00","1,841.00",0.84
,,2011 - 2012,,,,,,,"2,110.00","1,273.00",0.6
,,2012 - 2013,,,,,,,"2,075.00","1,834.00",0.88
,,2013 - 2014,,,,,,,"2,215.00","1,503.00",0.68
,,2014 - 2015,,,,,,,"2,350.00","2,189.00",0.93
,,2015 - 2016,,,,,,,"2,450.00","1,862.00",0.76
,,2016 - 2017,,,,,,,"2,458.00","1,677.00",0.68
,,2017 - 2018,,,,,,,"2,459.00","1,995.00",0.81
,,2018 - 2019,,,,,,,"2,451.00","1,711.00",0.7
,,2019 - 2020,,,,,,,"2,451.00","1,742.00",0.71
,,2020 - 2021,,,,,,,"2,685.00","1,981.00",0.74
,,2021 - 2022,,,,,,,"2,685.00","1,981.00",0.74
,,2022 - 2023,,,,,,,"2,740.00","2,022.00",0.74
,33. West karbi anglong,2019 - 2020,,,,,,,580,342,0.59
,,2020 - 2021,,,,,,,699,357,0.51
,,2021 - 2022,,,,,,,699,357,0.51
,,2022 - 2023,,,,,,,699,357,0.51
4. Goa,1. North goa,2013 - 2014,,,,"1,468.00","2,458.00",1.67,,,
,,2014 - 2015,,,,"1,472.00","2,443.00",1.66,,,
,,2015 - 2016,,,,496,830,1.67,,,
,,2016 - 2017,,,,514,897,1.75,,,
,,2017 - 2018,,,,526,"1,156.00",2.2,,,
,,2018 - 2019,,,,526,"1,120.00",2.13,,,
,,2019 - 2020,,,,557,"1,204.00",2.16,,,
,,2020 - 2021,,,,559,"1,308.00",2.34,,,
,,2021 - 2022,,,,562,"1,320.00",2.35,,,
,,2022 - 2023,,,,565,"1,105.00",1.96,,,
,2. South goa,2013 - 2014,,,,272,437,1.61,,,
,,2014 - 2015,,,,278,452,1.63,,,
,,2015 - 2016,,,,"1,287.00","2,130.00",1.66,,,
,,2016 - 2017,,,,"1,296.00","2,204.00",1.7,,,
,,2017 - 2018,,,,"1,310.00","2,143.00",1.64,,,
,,2018 - 2019,,,,"1,310.00","2,176.00",1.66,,,
,,2019 - 2020,,,,"1,414.00","2,500.00",1.77,,,
,,2020 - 2021,,,,"1,504.00","2,735.00",1.82,,,
,,2021 - 2022,,,,"1,510.00","2,815.00",1.86,,,
,,2022 - 2023,,,,"1,516.00","2,861.00",1.89,,,
5. Karnataka,1. Bagalkot,2000 - 2001,,,,4,6,1.5,,,
,,2001 - 2002,,,,4,6,1.5,,,
,,2003 - 2004,,,,6,8,1.33,,,
,,2004 - 2005,,,,2,3,1.5,,,
,,2019 - 2020,,,,4,43,10.75,,,
,,2020 - 2021,,,,5,56,11.2,,,
,,2021 - 2022,,,,2,22,11,,,
,,2022 - 2023,,,,1,7,7,,,
,2. Bangalore rural,2000 - 2001,,,,514,719,1.4,,,
,,2001 - 2002,,,,"1,828.00","2,557.00",1.4,,,
,,2003 - 2004,,,,"1,998.00","2,795.00",1.4,,,
,,2004 - 2005,,,,"1,975.00","2,763.00",1.4,,,
,,2005 - 2006,,,,"2,099.00","14,137.00",6.74,,,
,,2006 - 2007,,,,"2,257.00","3,157.00",1.4,,,
,,2007 - 2008,,,,"1,377.00","9,274.00",6.73,,,
,,2008 - 2009,,,,"1,338.00","9,011.00",6.73,,,
,,2009 - 2010,,,,"1,100.00","7,408.00",6.73,,,
,,2010 - 2011,,,,"1,213.00","13,116.00",10.81,,,
,,2011 - 2012,,,,"1,615.00","13,079.00",8.1,,,
,,2012 - 2013,,,,"1,380.00","11,076.00",8.03,,,
,,2013 - 2014,,,,"1,695.00","18,880.00",11.14,,,
,,2014 - 2015,,,,"1,519.00","14,055.00",9.25,,,
,,2015 - 2016,,,,"1,569.00","15,379.00",9.8,,,
,,2016 - 2017,,,,"2,322.00","23,588.00",10.16,,,
,,2017 - 2018,,,,"1,911.00","20,726.00",10.85,,,
,,2018 - 2019,,,,"2,924.00","26,108.00",8.93,,,
,,2019 - 2020,,,,"2,780.00","30,046.00",10.81,,,
,,2020 - 2021,,,,"3,014.00","33,944.00",11.26,,,
,,2021 - 2022,,,,"3,451.00","38,588.00",11.18,,,
,,2022 - 2023,,,,"4,028.00","38,063.00",9.45,,,
,3. Belgaum,2003 - 2004,,,,2,3,1.5,,,
,,2004 - 2005,,,,8,11,1.38,,,
,,2005 - 2006,,,,9,58,6.44,,,
,,2006 - 2007,,,,9,12,1.33,,,
,,2007 - 2008,,,,7,45,6.43,,,
,,2008 - 2009,,,,7,45,6.43,,,
,,2009 - 2010,,,,7,45,6.43,,,
,,2010 - 2011,,,,1,11,11,,,
,,2011 - 2012,,,,4,32,8,,,
,,2013 - 2014,,,,2,22,11,,,
,,2014 - 2015,,,,7,65,9.29,,,
,,2015 - 2016,,,,4,39,9.75,,,
,,2016 - 2017,,,,3,30,10,,,
,,2018 - 2019,,,,12,107,8.92,,,
,,2019 - 2020,,,,9,97,10.78,,,
,,2020 - 2021,,,,14,158,11.29,,,
,,2021 - 2022,,,,22,241,10.95,,,
,,2022 - 2023,,,,38,371,9.76,,,
,4. Bellary,2000 - 2001,,,,19,27,1.42,,,
,,2001 - 2002,,,,26,37,1.42,,,
,,2003 - 2004,,,,30,43,1.43,,,
,,2004 - 2005,,,,32,46,1.44,,,
,,2005 - 2006,,,,58,389,6.71,,,
,,2006 - 2007,,,,62,89,1.44,,,
,,2007 - 2008,,,,62,416,6.71,,,
,,2008 - 2009,,,,62,416,6.71,,,
,,2009 - 2010,,,,74,496,6.7,,,
,,2010 - 2011,,,,103,"1,114.00",10.82,,,
,,2011 - 2012,,,,108,875,8.1,,,
,,2012 - 2013,,,,132,"1,059.00",8.02,,,
,,2013 - 2014,,,,10,111,11.1,,,
,,2014 - 2015,,,,1,9,9,,,
,,2016 - 2017,,,,11,112,10.18,,,
,,2017 - 2018,,,,14,152,10.86,,,
,,2018 - 2019,,,,"1,558.00","13,911.00",8.93,,,
,,2019 - 2020,,,,"1,263.00","13,650.00",10.81,,,
,,2020 - 2021,,,,"1,477.00","16,634.00",11.26,,,
,,2021 - 2022,,,,"2,036.00","22,774.00",11.19,,,
,,2022 - 2023,,,,134,806,6.01,,,
,5. Bengaluru urban,2000 - 2001,,,,81,113,1.4,,,
,,2001 - 2002,,,,81,113,1.4,,,
,,2003 - 2004,,,,216,302,1.4,,,
,,2004 - 2005,,,,233,326,1.4,,,
,,2005 - 2006,,,,274,"1,845.00",6.73,,,
,,2006 - 2007,,,,247,346,1.4,,,
,,2007 - 2008,,,,326,"2,196.00",6.74,,,
,,2008 - 2009,,,,315,"2,122.00",6.74,,,
,,2009 - 2010,,,,384,"2,586.00",6.73,,,
,,2010 - 2011,,,,383,"4,141.00",10.81,,,
,,2011 - 2012,,,,401,"3,247.00",8.1,,,
,,2012 - 2013,,,,346,"2,777.00",8.03,,,
,,2013 - 2014,,,,464,"5,168.00",11.14,,,
,,2014 - 2015,,,,231,"2,137.00",9.25,,,
,,2015 - 2016,,,,222,"2,176.00",9.8,,,
,,2016 - 2017,,,,264,"2,682.00",10.16,,,
,,2017 - 2018,,,,297,"3,221.00",10.85,,,
,,2018 - 2019,,,,401,"3,580.00",8.93,,,
,,2019 - 2020,,,,651,"7,036.00",10.81,,,
,,2020 - 2021,,,,834,"9,393.00",11.26,,,
,,2021 - 2022,,,,836,"9,348.00",11.18,,,
,,2022 - 2023,,,,901,"6,439.00",7.15,,,
,6. Bijapur,2018 - 2019,,,,3,27,9,,,
,,2019 - 2020,,,,3,32,10.67,,,
,,2020 - 2021,,,,7,79,11.29,,,
,,2022 - 2023,,,,1,7,7,,,
,7. Chamarajanagar,2000 - 2001,,,,329,234,0.71,,,
,,2001 - 2002,,,,279,198,0.71,,,
,,2003 - 2004,,,,309,219,0.71,,,
,,2004 - 2005,,,,309,219,0.71,,,
,,2005 - 2006,,,,311,"1,091.00",3.51,,,
,,2006 - 2007,,,,311,221,0.71,,,
,,2007 - 2008,,,,317,"1,112.00",3.51,,,
,,2008 - 2009,,,,317,"1,112.00",3.51,,,
,,2009 - 2010,,,,331,"1,161.00",3.51,,,
,,2010 - 2011,,,,332,"3,590.00",10.81,,,
,,2011 - 2012,,,,332,"2,689.00",8.1,,,
,,2012 - 2013,,,,332,"2,665.00",8.03,,,
,,2013 - 2014,,,,297,"3,308.00",11.14,,,
,,2014 - 2015,,,,300,"2,776.00",9.25,,,
,,2015 - 2016,,,,301,"2,950.00",9.8,,,
,,2016 - 2017,,,,347,"3,525.00",10.16,,,
,,2017 - 2018,,,,351,"3,807.00",10.85,,,
,,2018 - 2019,,,,703,"6,277.00",8.93,,,
,,2019 - 2020,,,,793,"8,571.00",10.81,,,
,,2020 - 2021,,,,"1,083.00","12,197.00",11.26,,,
,,2021 - 2022,,,,992,"11,091.00",11.18,,,
,,2022 - 2023,,,,"1,332.00","8,324.00",6.25,,,
,8. Chikballapur,2010 - 2011,,,,296,"3,201.00",10.81,,,
,,2011 - 2012,,,,159,"1,288.00",8.1,,,
,,2012 - 2013,,,,159,"1,276.00",8.03,,,
,,2013 - 2014,,,,159,"1,771.00",11.14,,,
,,2014 - 2015,,,,140,"1,295.00",9.25,,,
,,2015 - 2016,,,,182,"1,784.00",9.8,,,
,,2016 - 2017,,,,108,"1,097.00",10.16,,,
,,2017 - 2018,,,,110,"1,193.00",10.85,,,
,,2018 - 2019,,,,422,"3,768.00",8.93,,,
,,2019 - 2020,,,,413,"4,464.00",10.81,,,
,,2020 - 2021,,,,469,"5,282.00",11.26,,,
,,2021 - 2022,,,,618,"6,915.00",11.19,,,
,,2022 - 2023,,,,746,"5,705.00",7.65,,,
,9. Chikmagalur,2000 - 2001,,,,"14,186.00","16,249.00",1.15,,,
,,2001 - 2002,,,,"15,796.00","18,093.00",1.15,,,
,,2003 - 2004,,,,"16,347.00","18,724.00",1.15,,,
,,2004 - 2005,,,,"16,616.00","19,032.00",1.15,,,
,,2005 - 2006,,,,"18,192.00","1,10,600.00",6.08,,,
,,2006 - 2007,,,,"19,046.00","21,816.00",1.15,,,
,,2007 - 2008,,,,"19,453.00","1,18,266.00",6.08,,,
,,2008 - 2009,,,,"19,751.00","1,20,078.00",6.08,,,
,,2009 - 2010,,,,"20,563.00","1,25,015.00",6.08,,,
,,2010 - 2011,,,,"21,517.00","2,32,659.00",10.81,,,
,,2011 - 2012,,,,"23,085.00","1,20,327.00",5.21,,,
,,2012 - 2013,,,,"26,470.00","1,37,971.00",5.21,,,
,,2013 - 2014,,,,"26,814.00","2,98,667.00",11.14,,,
,,2014 - 2015,,,,"27,765.00","1,47,882.00",5.33,,,
,,2015 - 2016,,,,"29,322.00","1,52,691.00",5.21,,,
,,2016 - 2017,,,,"29,045.00","1,66,201.00",5.72,,,
,,2017 - 2018,,,,"29,298.00","1,98,104.00",6.76,,,
,,2018 - 2019,,,,"60,660.00","3,35,699.00",5.53,,,
,,2019 - 2020,,,,"63,587.00","6,50,915.00",10.24,,,
,,2020 - 2021,,,,"71,539.00","4,24,226.00",5.93,,,
,,2021 - 2022,,,,"75,912.00","4,61,923.00",6.08,,,
,,2022 - 2023,,,,"83,867.00","6,66,746.00",7.95,,,
,10. Chitradurga,2000 - 2001,,,,"9,827.00","9,466.00",0.96,,,
