State,District,Year,Cotton(lint),,,,,,,,,,,
,,2019 - 2020,700,"2,100.00",3,,,,,,,,,
,,2020 - 2021,"66,400.00",248.41,0,,,,,,,,,
,,2021 - 2022,780,"2,800.00",3.59,,,,,,,,,
,,2022 - 2023,380,760,2,,,,,,,,,
,5. Fatehabad,2000 - 2001,"1,07,704.00","2,89,000.00",2.68,,,,,,,,,
,,2001 - 2002,"1,14,880.00","1,36,000.00",1.18,,,,,,,,,
,,2002 - 2003,"80,297.00","1,70,000.00",2.12,,,,,,,,,
,,2003 - 2004,"87,142.00","2,68,000.00",3.08,,,,,,,,,
,,2004 - 2005,"1,01,065.00","4,24,000.00",4.2,,,,,,,,,
,,2005 - 2006,"94,951.00","3,06,000.00",3.22,,,,,,,,,
,,2006 - 2007,"90,886.00","3,73,000.00",4.1,,,,,,,,,
,,2007 - 2008,"85,976.00","3,79,000.00",4.41,,,,,,,,,
,,2008 - 2009,"84,341.00","3,78,000.00",4.48,,,,,,,,,
,,2009 - 2010,"85,750.00","3,74,000.00",4.36,,,,,,,,,
,,2010 - 2011,"83,976.00","3,08,000.00",3.67,,,,,,,,,
,,2011 - 2012,"90,757.00","4,39,000.00",4.84,,,,,,,,,
,,2012 - 2013,"85,542.00","3,58,000.00",4.19,,,,,,,,,
,,2013 - 2014,"77,000.00","3,48,000.00",4.52,,,,,,,,,
,,2014 - 2015,"79,000.00","3,03,000.00",3.84,,,,,,,,,
,,2015 - 2016,"73,000.00","89,000.00",1.22,,,,,,,,,
,,2016 - 2017,"67,400.00","2,72,000.00",4.04,,,,,,,,,
,,2017 - 2018,"71,200.00","1,89,500.00",2.66,,,,,,,,,
,,2018 - 2019,"66,700.00","2,31,900.00",3.48,,,,,,,,,
,,2019 - 2020,"65,700.00","2,52,400.00",3.84,,,,,,,,,
,,2020 - 2021,"66,940.00",237.44,0,,,,,,,,,
,,2021 - 2022,"63,353.00","2,24,700.00",3.55,,,,,,,,,
,,2022 - 2023,"53,340.00","1,15,060.00",2.16,,,,,,,,,
,6. Gurgaon,2000 - 2001,71,0,0,,,,,,,,,
,,2001 - 2002,183,,0,,,,,,,,,
,,2002 - 2003,207,0,0,,,,,,,,,
,,2003 - 2004,339,0,0,,,,,,,,,
,,2004 - 2005,196,,0,,,,,,,,,
,,2005 - 2006,50,,0,,,,,,,,,
,,2006 - 2007,48,,0,,,,,,,,,
,,2007 - 2008,5,,0,,,,,,,,,
,,2008 - 2009,12,,0,,,,,,,,,
,,2009 - 2010,12,,0,,,,,,,,,
,,2010 - 2011,8,,0,,,,,,,,,
,,2012 - 2013,181,,0,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2016 - 2017,700,"1,200.00",1.71,,,,,,,,,
,,2017 - 2018,"1,800.00","4,300.00",2.39,,,,,,,,,
,,2018 - 2019,"2,500.00","7,500.00",3,,,,,,,,,
,,2019 - 2020,"5,800.00","18,400.00",3.17,,,,,,,,,
,,2020 - 2021,"4,700.00",14.9,0,,,,,,,,,
,,2021 - 2022,"4,845.00","15,400.00",3.18,,,,,,,,,
,,2022 - 2023,"1,850.00","4,740.00",2.56,,,,,,,,,
,7. Hisar,2000 - 2001,"1,41,906.00","3,49,000.00",2.46,,,,,,,,,
,,2001 - 2002,"1,66,958.00","1,75,000.00",1.05,,,,,,,,,
,,2002 - 2003,"1,42,580.00","3,30,000.00",2.31,,,,,,,,,
,,2003 - 2004,"1,41,674.00","3,54,000.00",2.5,,,,,,,,,
,,2004 - 2005,"1,53,627.00","4,61,000.00",3,,,,,,,,,
,,2005 - 2006,"1,46,956.00","3,15,000.00",2.14,,,,,,,,,
,,2006 - 2007,"1,29,660.00","3,96,000.00",3.05,,,,,,,,,
,,2007 - 2008,"1,18,126.00","4,66,000.00",3.94,,,,,,,,,
,,2008 - 2009,"1,12,152.00","4,68,000.00",4.17,,,,,,,,,
,,2009 - 2010,"1,32,751.00","4,77,000.00",3.59,,,,,,,,,
,,2010 - 2011,"1,24,277.00","4,31,000.00",3.47,,,,,,,,,
,,2011 - 2012,"1,53,514.00","6,67,000.00",4.34,,,,,,,,,
,,2012 - 2013,"1,45,604.00","5,28,000.00",3.63,,,,,,,,,
,,2013 - 2014,"1,42,000.00","4,19,000.00",2.95,,,,,,,,,
,,2014 - 2015,"1,55,000.00","3,40,000.00",2.19,,,,,,,,,
,,2015 - 2016,"1,30,000.00","2,11,000.00",1.62,,,,,,,,,
,,2016 - 2017,"1,14,200.00","4,18,500.00",3.66,,,,,,,,,
,,2017 - 2018,"1,31,600.00","3,78,400.00",2.88,,,,,,,,,
,,2018 - 2019,"1,42,800.00","4,20,800.00",2.95,,,,,,,,,
,,2019 - 2020,"1,43,600.00","4,60,400.00",3.21,,,,,,,,,
,,2020 - 2021,"1,45,720.00",324.87,0,,,,,,,,,
,,2021 - 2022,"1,27,688.00","2,84,600.00",2.23,,,,,,,,,
,,2022 - 2023,"1,18,300.00","1,52,280.00",1.29,,,,,,,,,
,8. Jhajjar,2000 - 2001,"1,577.00","2,000.00",1.27,,,,,,,,,
,,2001 - 2002,"1,261.00","2,000.00",1.59,,,,,,,,,
,,2002 - 2003,"3,657.00","4,000.00",1.09,,,,,,,,,
,,2003 - 2004,"3,397.00","8,000.00",2.36,,,,,,,,,
,,2004 - 2005,"5,325.00","7,000.00",1.31,,,,,,,,,
,,2005 - 2006,"3,617.00","7,000.00",1.94,,,,,,,,,
,,2006 - 2007,"1,736.00","5,000.00",2.88,,,,,,,,,
,,2007 - 2008,923,"2,000.00",2.17,,,,,,,,,
,,2008 - 2009,559,"3,000.00",5.37,,,,,,,,,
,,2009 - 2010,910,"3,000.00",3.3,,,,,,,,,
,,2010 - 2011,513,"1,000.00",1.95,,,,,,,,,
,,2011 - 2012,952,"3,000.00",3.15,,,,,,,,,
,,2012 - 2013,"2,872.00","7,000.00",2.44,,,,,,,,,
,,2013 - 2014,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2014 - 2015,"5,000.00","15,000.00",3,,,,,,,,,
,,2015 - 2016,"7,000.00","18,000.00",2.57,,,,,,,,,
,,2016 - 2017,"5,500.00","16,900.00",3.07,,,,,,,,,
,,2017 - 2018,"7,500.00","22,100.00",2.95,,,,,,,,,
,,2018 - 2019,"10,600.00","32,200.00",3.04,,,,,,,,,
,,2019 - 2020,"13,300.00","39,000.00",2.93,,,,,,,,,
,,2020 - 2021,"14,970.00",47.99,0,,,,,,,,,
,,2021 - 2022,"11,712.00","37,500.00",3.2,,,,,,,,,
,,2022 - 2023,"8,510.00","22,360.00",2.63,,,,,,,,,
,9. Jind,2000 - 2001,"38,866.00","77,000.00",1.98,,,,,,,,,
,,2001 - 2002,"46,826.00","77,000.00",1.64,,,,,,,,,
,,2002 - 2003,"37,753.00","49,000.00",1.3,,,,,,,,,
,,2003 - 2004,"43,210.00","1,11,000.00",2.57,,,,,,,,,
,,2004 - 2005,"49,970.00","1,48,000.00",2.96,,,,,,,,,
,,2005 - 2006,"49,688.00","1,29,000.00",2.6,,,,,,,,,
,,2006 - 2007,"45,777.00","1,37,000.00",2.99,,,,,,,,,
,,2007 - 2008,"44,338.00","1,65,000.00",3.72,,,,,,,,,
,,2008 - 2009,"45,062.00","1,53,000.00",3.4,,,,,,,,,
,,2009 - 2010,"45,989.00","1,41,000.00",3.07,,,,,,,,,
,,2010 - 2011,"47,272.00","1,61,000.00",3.41,,,,,,,,,
,,2011 - 2012,"63,012.00","2,55,000.00",4.05,,,,,,,,,
,,2012 - 2013,"66,780.00","2,44,000.00",3.65,,,,,,,,,
,,2013 - 2014,"73,000.00","2,31,000.00",3.16,,,,,,,,,
,,2014 - 2015,"76,000.00","2,14,000.00",2.82,,,,,,,,,
,,2015 - 2016,"72,000.00","75,000.00",1.04,,,,,,,,,
,,2016 - 2017,"58,400.00","1,72,800.00",2.96,,,,,,,,,
,,2017 - 2018,"62,500.00","1,72,200.00",2.76,,,,,,,,,
,,2018 - 2019,"61,200.00","1,62,400.00",2.65,,,,,,,,,
,,2019 - 2020,"61,600.00","2,09,400.00",3.4,,,,,,,,,
,,2020 - 2021,70,0.23,0,,,,,,,,,
,,2021 - 2022,"49,677.00","1,63,600.00",3.29,,,,,,,,,
,,2022 - 2023,"26,230.00","38,330.00",1.46,,,,,,,,,
,10. Kaithal,2000 - 2001,783,"2,000.00",2.55,,,,,,,,,
,,2001 - 2002,"1,110.00","1,000.00",0.9,,,,,,,,,
,,2002 - 2003,"1,312.00","2,000.00",1.52,,,,,,,,,
,,2003 - 2004,"1,673.00","5,000.00",2.99,,,,,,,,,
,,2004 - 2005,"2,611.00","10,000.00",3.83,,,,,,,,,
,,2005 - 2006,"4,012.00","9,000.00",2.24,,,,,,,,,
,,2006 - 2007,"3,122.00","8,000.00",2.56,,,,,,,,,
,,2007 - 2008,"2,418.00","7,000.00",2.89,,,,,,,,,
,,2008 - 2009,"2,524.00","12,000.00",4.75,,,,,,,,,
,,2009 - 2010,"3,475.00","12,000.00",3.45,,,,,,,,,
,,2010 - 2011,"4,276.00","14,000.00",3.27,,,,,,,,,
,,2011 - 2012,"8,448.00","37,000.00",4.38,,,,,,,,,
,,2012 - 2013,"10,148.00","47,000.00",4.63,,,,,,,,,
,,2013 - 2014,"11,000.00","47,000.00",4.27,,,,,,,,,
,,2014 - 2015,"10,000.00","33,000.00",3.3,,,,,,,,,
,,2015 - 2016,"11,000.00","14,000.00",1.27,,,,,,,,,
,,2016 - 2017,"8,000.00","18,100.00",2.26,,,,,,,,,
,,2017 - 2018,"7,200.00","22,200.00",3.08,,,,,,,,,
,,2018 - 2019,"6,500.00","18,500.00",2.85,,,,,,,,,
,,2019 - 2020,"4,800.00","13,500.00",2.81,,,,,,,,,
,,2020 - 2021,"6,100.00",20.56,0,,,,,,,,,
,,2021 - 2022,"5,558.00","18,700.00",3.36,,,,,,,,,
,,2022 - 2023,"2,600.00","6,550.00",2.52,,,,,,,,,
,11. Karnal,2000 - 2001,59,0,0,,,,,,,,,
,,2001 - 2002,64,,0,,,,,,,,,
,,2003 - 2004,46,0,0,,,,,,,,,
,,2004 - 2005,58,,0,,,,,,,,,
,,2005 - 2006,51,,0,,,,,,,,,
,,2006 - 2007,27,,0,,,,,,,,,
,,2007 - 2008,25,,0,,,,,,,,,
,,2008 - 2009,58,,0,,,,,,,,,
,,2010 - 2011,9,,0,,,,,,,,,
,,2011 - 2012,27,,0,,,,,,,,,
,,2012 - 2013,14,,0,,,,,,,,,
,,2016 - 2017,100,400,4,,,,,,,,,
,,2021 - 2022,28,100,3.57,,,,,,,,,
,,2022 - 2023,10,20,2,,,,,,,,,
,12. Kurukshetra,2000 - 2001,2,0,0,,,,,,,,,
,,2001 - 2002,1,,0,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2003 - 2004,1,0,0,,,,,,,,,
,,2005 - 2006,11,,0,,,,,,,,,
,,2011 - 2012,4,,0,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,13. Mahendragarh,2000 - 2001,"1,493.00","2,000.00",1.34,,,,,,,,,
,,2001 - 2002,"1,683.00","5,000.00",2.97,,,,,,,,,
,,2002 - 2003,"3,613.00","5,000.00",1.38,,,,,,,,,
,,2003 - 2004,"5,432.00","18,000.00",3.31,,,,,,,,,
,,2004 - 2005,"13,686.00","29,000.00",2.12,,,,,,,,,
,,2005 - 2006,"9,511.00","11,000.00",1.16,,,,,,,,,
,,2006 - 2007,"4,076.00","8,000.00",1.96,,,,,,,,,
,,2007 - 2008,"1,410.00","2,000.00",1.42,,,,,,,,,
,,2008 - 2009,898,"2,000.00",2.23,,,,,,,,,
,,2009 - 2010,898,"2,000.00",2.23,,,,,,,,,
,,2010 - 2011,566,"4,000.00",7.07,,,,,,,,,
,,2011 - 2012,"1,921.00","5,000.00",2.6,,,,,,,,,
,,2012 - 2013,"4,461.00","10,000.00",2.24,,,,,,,,,
,,2013 - 2014,"4,000.00","12,000.00",3,,,,,,,,,
,,2014 - 2015,"7,000.00","22,000.00",3.14,,,,,,,,,
,,2015 - 2016,"17,000.00","35,000.00",2.06,,,,,,,,,
,,2016 - 2017,"14,500.00","50,200.00",3.46,,,,,,,,,
,,2017 - 2018,"25,900.00","78,100.00",3.02,,,,,,,,,
,,2018 - 2019,"32,400.00","1,01,200.00",3.12,,,,,,,,,
,,2019 - 2020,"23,400.00","74,600.00",3.19,,,,,,,,,
,,2020 - 2021,"18,400.00",38.32,0,,,,,,,,,
,,2021 - 2022,"16,884.00","35,200.00",2.08,,,,,,,,,
,,2022 - 2023,"17,170.00","53,070.00",3.09,,,,,,,,,
,14. Mewat,2005 - 2006,85,,0,,,,,,,,,
,,2006 - 2007,41,,0,,,,,,,,,
,,2007 - 2008,27,,0,,,,,,,,,
,,2008 - 2009,20,,0,,,,,,,,,
,,2009 - 2010,15,,0,,,,,,,,,
,,2010 - 2011,7,,0,,,,,,,,,
,,2011 - 2012,53,,0,,,,,,,,,
,,2012 - 2013,79,,0,,,,,,,,,
,,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,,2015 - 2016,"3,000.00","5,000.00",1.67,,,,,,,,,
,,2016 - 2017,"2,900.00","7,200.00",2.48,,,,,,,,,
,,2017 - 2018,"5,100.00","15,900.00",3.12,,,,,,,,,
,,2018 - 2019,"5,600.00","18,600.00",3.32,,,,,,,,,
,,2019 - 2020,"8,200.00","28,600.00",3.49,,,,,,,,,
,,2020 - 2021,"5,490.00",18.05,0,,,,,,,,,
,,2021 - 2022,"3,592.00","11,800.00",3.29,,,,,,,,,
,,2022 - 2023,"1,730.00","5,430.00",3.14,,,,,,,,,
,15. Palwal,2008 - 2009,173,,0,,,,,,,,,
,,2009 - 2010,341,,0,,,,,,,,,
,,2010 - 2011,360,,0,,,,,,,,,
,,2011 - 2012,326,,0,,,,,,,,,
,,2012 - 2013,876,"4,000.00",4.57,,,,,,,,,
,,2013 - 2014,"1,000.00","4,000.00",4,,,,,,,,,
,,2014 - 2015,"4,000.00","12,000.00",3,,,,,,,,,
,,2015 - 2016,"6,000.00","10,000.00",1.67,,,,,,,,,
,,2016 - 2017,"9,800.00","30,400.00",3.1,,,,,,,,,
,,2017 - 2018,"16,600.00","38,500.00",2.32,,,,,,,,,
,,2018 - 2019,"17,600.00","54,900.00",3.12,,,,,,,,,
,,2019 - 2020,"26,600.00","90,900.00",3.42,,,,,,,,,
,,2020 - 2021,"29,880.00",102.47,0,,,,,,,,,
,,2021 - 2022,"23,419.00","80,300.00",3.43,,,,,,,,,
,,2022 - 2023,"17,210.00","31,920.00",1.85,,,,,,,,,
,16. Panchkula,2000 - 2001,19,0,0,,,,,,,,,
,,2001 - 2002,19,,0,,,,,,,,,
,,2002 - 2003,16,0,0,,,,,,,,,
,,2003 - 2004,11,0,0,,,,,,,,,
,,2004 - 2005,4,,0,,,,,,,,,
,,2005 - 2006,17,,0,,,,,,,,,
,,2006 - 2007,3,,0,,,,,,,,,
,,2007 - 2008,9,,0,,,,,,,,,
,,2008 - 2009,3,,0,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,17. Panipat,2000 - 2001,56,0,0,,,,,,,,,
,,2001 - 2002,41,,0,,,,,,,,,
,,2002 - 2003,72,0,0,,,,,,,,,
,,2003 - 2004,222,0,0,,,,,,,,,
,,2004 - 2005,67,,0,,,,,,,,,
,,2005 - 2006,56,,0,,,,,,,,,
,,2006 - 2007,48,,0,,,,,,,,,
,,2007 - 2008,31,,0,,,,,,,,,
,,2008 - 2009,22,,0,,,,,,,,,
,,2009 - 2010,17,,0,,,,,,,,,
,,2010 - 2011,35,,0,,,,,,,,,
,,2011 - 2012,54,,0,,,,,,,,,
,,2012 - 2013,66,,0,,,,,,,,,
,,2016 - 2017,100,400,4,,,,,,,,,
,,2020 - 2021,100,0.33,0,,,,,,,,,
,,2021 - 2022,77,300,3.9,,,,,,,,,
,,2022 - 2023,50,170,3.4,,,,,,,,,
,18. Rewari,2000 - 2001,"1,628.00","5,000.00",3.07,,,,,,,,,
,,2001 - 2002,"1,777.00","3,000.00",1.69,,,,,,,,,
,,2002 - 2003,"2,103.00","3,000.00",1.43,,,,,,,,,
,,2003 - 2004,"4,318.00","12,000.00",2.78,,,,,,,,,
,,2004 - 2005,"7,794.00","27,000.00",3.46,,,,,,,,,
,,2005 - 2006,"5,934.00","12,000.00",2.02,,,,,,,,,
,,2006 - 2007,"2,886.00","6,000.00",2.08,,,,,,,,,
,,2007 - 2008,"1,302.00","3,000.00",2.3,,,,,,,,,
,,2008 - 2009,"1,019.00","2,000.00",1.96,,,,,,,,,
,,2009 - 2010,594,"1,000.00",1.68,,,,,,,,,
,,2010 - 2011,478,"3,000.00",6.28,,,,,,,,,
,,2011 - 2012,"1,074.00","2,000.00",1.86,,,,,,,,,
,,2012 - 2013,"1,788.00","6,000.00",3.36,,,,,,,,,
,,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2014 - 2015,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2015 - 2016,"7,000.00","8,000.00",1.14,,,,,,,,,
,,2016 - 2017,"4,800.00","13,100.00",2.73,,,,,,,,,
,,2017 - 2018,"7,800.00","22,100.00",2.83,,,,,,,,,
,,2018 - 2019,"12,800.00","16,700.00",1.3,,,,,,,,,
,,2019 - 2020,"18,900.00","46,800.00",2.48,,,,,,,,,
,,2020 - 2021,"12,490.00",21.16,0,,,,,,,,,
,,2021 - 2022,"9,416.00","16,000.00",1.7,,,,,,,,,
,,2022 - 2023,"7,250.00","13,950.00",1.92,,,,,,,,,
,19. Rohtak,2000 - 2001,"12,825.00","15,000.00",1.17,,,,,,,,,
,,2001 - 2002,"13,729.00","10,000.00",0.73,,,,,,,,,
,,2002 - 2003,"13,675.00","17,000.00",1.24,,,,,,,,,
,,2003 - 2004,"11,472.00","20,000.00",1.74,,,,,,,,,
,,2004 - 2005,"13,053.00","23,000.00",1.76,,,,,,,,,
,,2005 - 2006,"12,854.00","23,000.00",1.79,,,,,,,,,
,,2006 - 2007,"8,702.00","22,000.00",2.53,,,,,,,,,
,,2007 - 2008,"7,762.00","21,000.00",2.71,,,,,,,,,
,,2008 - 2009,"6,527.00","16,000.00",2.45,,,,,,,,,
,,2009 - 2010,"7,836.00","17,000.00",2.17,,,,,,,,,
,,2010 - 2011,"7,197.00","13,000.00",1.81,,,,,,,,,
,,2011 - 2012,"9,869.00","37,000.00",3.75,,,,,,,,,
,,2012 - 2013,"10,757.00","35,000.00",3.25,,,,,,,,,
,,2013 - 2014,"14,000.00","29,000.00",2.07,,,,,,,,,
,,2014 - 2015,"17,000.00","34,000.00",2,,,,,,,,,
,,2015 - 2016,"17,000.00","32,000.00",1.88,,,,,,,,,
,,2016 - 2017,"15,000.00","36,500.00",2.43,,,,,,,,,
,,2017 - 2018,"14,500.00","39,300.00",2.71,,,,,,,,,
,,2018 - 2019,"12,700.00","37,400.00",2.94,,,,,,,,,
,,2019 - 2020,"14,500.00","40,900.00",2.82,,,,,,,,,
,,2020 - 2021,"15,470.00",47.59,0,,,,,,,,,
,,2021 - 2022,"13,411.00","41,300.00",3.08,,,,,,,,,
,,2022 - 2023,"9,510.00","19,530.00",2.05,,,,,,,,,
,20. Sirsa,2000 - 2001,"1,99,970.00","1,64,700.00",0.82,,,,,,,,,
,,2001 - 2002,"2,15,369.00","2,32,000.00",1.08,,,,,,,,,
,,2002 - 2003,"1,66,003.00","3,68,000.00",2.22,,,,,,,,,
,,2003 - 2004,"1,63,128.00","4,88,000.00",2.99,,,,,,,,,
,,2004 - 2005,"1,98,560.00","7,63,000.00",3.84,,,,,,,,,
,,2005 - 2006,"1,93,063.00","5,81,000.00",3.01,,,,,,,,,
,,2006 - 2007,"1,90,436.00","7,45,000.00",3.91,,,,,,,,,
,,2007 - 2008,"1,81,552.00","7,34,000.00",4.04,,,,,,,,,
,,2008 - 2009,"1,72,300.00","7,54,000.00",4.38,,,,,,,,,
,,2009 - 2010,"1,93,075.00","8,01,000.00",4.15,,,,,,,,,
,,2010 - 2011,"1,89,006.00","7,06,000.00",3.74,,,,,,,,,
,,2011 - 2012,"2,11,317.00","9,56,000.00",4.52,,,,,,,,,
,,2012 - 2013,"1,98,745.00","8,99,000.00",4.52,,,,,,,,,
,,2013 - 2014,"1,79,000.00","7,34,000.00",4.1,,,,,,,,,
,,2014 - 2015,"1,90,000.00","6,95,000.00",3.66,,,,,,,,,
,,2015 - 2016,"1,74,000.00","3,03,000.00",1.74,,,,,,,,,
,,2016 - 2017,"1,78,600.00","7,29,100.00",4.08,,,,,,,,,
,,2017 - 2018,"1,98,800.00","3,74,700.00",1.88,,,,,,,,,
,,2018 - 2019,"1,93,200.00","6,35,300.00",3.29,,,,,,,,,
,,2019 - 2020,"1,98,900.00","8,35,400.00",4.2,,,,,,,,,
,,2020 - 2021,"2,09,190.00",499.59,0,,,,,,,,,
,,2021 - 2022,"1,87,543.00","4,47,800.00",2.39,,,,,,,,,
,,2022 - 2023,"1,91,550.00","2,97,570.00",1.55,,,,,,,,,
,21. Sonipat,2000 - 2001,825,"2,000.00",2.42,,,,,,,,,
,,2001 - 2002,818,"1,000.00",1.22,,,,,,,,,
,,2002 - 2003,"2,157.00","6,000.00",2.78,,,,,,,,,
,,2003 - 2004,"1,952.00","2,000.00",1.02,,,,,,,,,
,,2004 - 2005,"1,952.00","7,000.00",3.59,,,,,,,,,
,,2005 - 2006,"2,170.00","4,000.00",1.84,,,,,,,,,
,,2006 - 2007,"1,443.00","2,000.00",1.39,,,,,,,,,
,,2007 - 2008,"1,098.00","4,000.00",3.64,,,,,,,,,
,,2008 - 2009,582,,0,,,,,,,,,
,,2009 - 2010,579,"2,000.00",3.45,,,,,,,,,
,,2010 - 2011,357,,0,,,,,,,,,
,,2011 - 2012,804,"4,000.00",4.98,,,,,,,,,
,,2012 - 2013,"1,987.00","9,000.00",4.53,,,,,,,,,
,,2013 - 2014,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2014 - 2015,"4,000.00","11,000.00",2.75,,,,,,,,,
,,2015 - 2016,"4,000.00","10,000.00",2.5,,,,,,,,,
,,2016 - 2017,"3,400.00","12,200.00",3.59,,,,,,,,,
,,2017 - 2018,"3,800.00","15,200.00",4,,,,,,,,,
,,2018 - 2019,"4,600.00","15,100.00",3.28,,,,,,,,,
,,2019 - 2020,"3,700.00","10,400.00",2.81,,,,,,,,,
,,2020 - 2021,"5,790.00",20.88,0,,,,,,,,,
,,2021 - 2022,"5,791.00","20,900.00",3.61,,,,,,,,,
,,2022 - 2023,"2,820.00","7,080.00",2.51,,,,,,,,,
,22. Yamunanagar,2000 - 2001,11,0,0,,,,,,,,,
,,2001 - 2002,5,,0,,,,,,,,,
,,2002 - 2003,2,0,0,,,,,,,,,
,,2003 - 2004,3,0,0,,,,,,,,,
,,2004 - 2005,5,,0,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2007 - 2008,4,,0,,,,,,,,,
,,2008 - 2009,8,,0,,,,,,,,,
,,2009 - 2010,7,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
6. Himachal Pradesh,1. Bilaspur,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,2. Hamirpur,2002 - 2003,3,2,0.67,,,,,,,,,
,3. Kangra,2001 - 2002,17,10,0.59,,,,,,,,,
,,2002 - 2003,15,9,0.6,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,5,1,0.2,,,,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,7,14,2,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,1,0.5,0.5,,,,,,,,,
,,2014 - 2015,4,1.57,0.39,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2018 - 2019,25,9,0.36,,,,,,,,,
,,2019 - 2020,15,7,0.47,,,,,,,,,
,4. Mandi,2001 - 2002,1,1,1,,,,,,,,,
,5. Sirmaur,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,,,,
,6. Solan,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,9,4,0.44,,,,,,,,,
,,2005 - 2006,51,23,0.45,,,,,,,,,
,,2006 - 2007,47,20,0.43,,,,,,,,,
,,2007 - 2008,55,25,0.45,,,,,,,,,
,,2008 - 2009,39,18,0.46,,,,,,,,,
,,2009 - 2010,6,1,0.17,,,,,,,,,
,,2010 - 2011,7,12,1.71,,,,,,,,,
,,2011 - 2012,12,29,2.42,,,,,,,,,
,,2012 - 2013,1,0.5,0.5,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2016 - 2017,27,11,0.41,,,,,,,,,
7. Jammu and Kashmir,1. Jammu,2001 - 2002,44,22,0.5,,,,,,,,,
,,2002 - 2003,33,17,0.52,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2005 - 2006,31,15.5,0.5,,,,,,,,,
,,2006 - 2007,23,11.5,0.5,,,,,,,,,
,,2007 - 2008,57,28.5,0.5,,,,,,,,,
,,2009 - 2010,16,8.2,0.51,,,,,,,,,
,,2010 - 2011,16,8.2,0.51,,,,,,,,,
,2. Kathua,2001 - 2002,13,6,0.46,,,,,,,,,
,,2002 - 2003,4,2,0.5,,,,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2009 - 2010,1,0.6,0.6,,,,,,,,,
,,2010 - 2011,1,0.6,0.6,,,,,,,,,
,,2011 - 2012,2,1.2,0.6,,,,,,,,,
,3. Rajauri,2001 - 2002,10,5,0.5,,,,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,
,,2011 - 2012,3,1.8,0.6,,,,,,,,,
,4. Reasi,2010 - 2011,10,6,0.6,,,,,,,,,
,5. Samba,2007 - 2008,5,2.5,0.5,,,,,,,,,
,,2011 - 2012,8,4.1,0.51,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2017 - 2018,5,2.6,0.52,,,,,,,,,
,6. Udhampur,2001 - 2002,2,1,0.5,,,,,,,,,
,,2002 - 2003,1,0.1,0.1,,,,,,,,,
,,2006 - 2007,17,8.5,0.5,,,,,,,,,
8. Karnataka,1. Bagalkot,2000 - 2001,"15,767.00","23,002.00",1.46,,,,,,,,,
,,2001 - 2002,"14,104.00","22,539.00",1.6,,,,,,,,,
,,2002 - 2003,"3,511.00","5,149.00",1.47,,,,,,,,,
,,2003 - 2004,"3,226.00","6,374.00",1.98,,,,,,,,,
,,2004 - 2005,"7,315.00","12,172.00",1.66,,,,,,,,,
,,2005 - 2006,,,,,,,"5,632.00","9,351.00",1.66,,,
,,2006 - 2007,,,,,,,"2,974.00","4,695.00",1.58,,,
,,2007 - 2008,,,,,,,"2,660.00","3,791.00",1.43,,,
,,2008 - 2009,,,,,,,"2,466.00","5,901.00",2.39,,,
,,2009 - 2010,,,,,,,"2,824.00","4,402.00",1.56,,,
,,2010 - 2011,"1,034.00","2,338.00",2.26,"1,357.00","1,938.00",1.43,,,,,,
,,2011 - 2012,"1,007.00","2,450.00",2.43,874,928,1.06,,,,,,
