state,district,year,sunflower_summer_yield_tonne_per_hectare
,,2022 - 2023,
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2017 - 2018,
,Madurai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagapattinam,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,Namakkal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2000 - 2001,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,Thanjavur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,The nilgiris,2000 - 2001,
,Theni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2019 - 2020,
,,2020 - 2021,
,Thoothukudi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mulugu,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2020 - 2021,
,,2021 - 2022,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2019 - 2020,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2021 - 2022,
Uttar Pradesh,Agra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.0
,,2007 - 2008,2.83
,,2011 - 2012,1.5
,Aligarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.21
,,2006 - 2007,1.5
,,2007 - 2008,2.82
,,2008 - 2009,1.78
,,2009 - 2010,2.2
,,2010 - 2011,1.52
,,2011 - 2012,1.7
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2014 - 2015,1.72
,,2016 - 2017,1.0
,,2017 - 2018,1.44
,,2018 - 2019,1.36
,,2019 - 2020,1.4
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.36
,Allahabad,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,2.0
,,2006 - 2007,1.51
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Ambedkar nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.27
,,2006 - 2007,1.49
,,2012 - 2013,0.67
,,2015 - 2016,1.63
,,2020 - 2021,1.37
,,2022 - 2023,1.0
,Amethi,2011 - 2012,1.73
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2014 - 2015,1.75
,,2015 - 2016,1.6
,,2016 - 2017,1.18
,,2017 - 2018,1.44
,,2018 - 2019,1.37
,,2019 - 2020,1.38
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.38
,Auraiya,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.95
,,2005 - 2006,1.35
,,2006 - 2007,1.38
,,2007 - 2008,1.15
,,2008 - 2009,1.82
,,2009 - 2010,2.27
,,2010 - 2011,2.18
,,2017 - 2018,2.0
,Azamgarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.33
,,2006 - 2007,1.5
,,2008 - 2009,1.89
,,2009 - 2010,2.22
,,2010 - 2011,2.13
,,2011 - 2012,1.67
,,2012 - 2013,0.76
,,2013 - 2014,1.75
,,2014 - 2015,1.69
,,2015 - 2016,1.63
,,2016 - 2017,1.25
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.33
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,,2022 - 2023,1.36
,Baghpat,2001 - 2002,
,,2002 - 2003,
,,2019 - 2020,1.0
,Bahraich,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,2.0
,,2007 - 2008,1.6
,,2008 - 2009,1.87
,,2010 - 2011,2.14
,,2012 - 2013,0.75
,,2013 - 2014,1.59
,,2014 - 2015,1.67
,,2015 - 2016,1.62
,,2016 - 2017,1.18
,,2019 - 2020,1.35
,Ballia,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.29
,,2006 - 2007,1.5
,,2007 - 2008,1.64
,,2008 - 2009,1.85
,,2009 - 2010,2.2
,,2010 - 2011,2.13
,,2011 - 2012,1.72
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2014 - 2015,1.72
,,2015 - 2016,1.6
,,2016 - 2017,1.17
,,2018 - 2019,1.36
,,2019 - 2020,1.43
,,2020 - 2021,1.36
,,2021 - 2022,1.36
,,2022 - 2023,1.33
,Balrampur,2013 - 2014,1.61
,,2014 - 2015,1.74
,,2015 - 2016,1.58
,,2016 - 2017,1.16
,,2019 - 2020,1.39
,,2022 - 2023,1.36
,Banda,2003 - 2004,
,,2009 - 2010,2.0
,,2012 - 2013,0.71
,,2013 - 2014,1.5
,,2019 - 2020,1.5
,Barabanki,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.93
,,2005 - 2006,1.5
,,2006 - 2007,1.0
,,2007 - 2008,1.61
,,2008 - 2009,2.0
,,2010 - 2011,2.14
,,2011 - 2012,1.71
,,2013 - 2014,1.67
,,2014 - 2015,1.7
,,2015 - 2016,1.5
,,2016 - 2017,1.22
,,2018 - 2019,1.33
,,2021 - 2022,1.29
,Bareilly,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.21
,,2006 - 2007,1.52
,,2007 - 2008,2.81
,,2008 - 2009,1.86
,,2009 - 2010,2.2
,,2010 - 2011,2.13
,,2011 - 2012,1.71
,,2012 - 2013,0.78
,,2013 - 2014,1.61
,,2014 - 2015,2.0
,,2015 - 2016,1.58
,,2016 - 2017,1.17
,,2017 - 2018,1.47
,,2019 - 2020,1.0
,,2020 - 2021,1.35
,,2021 - 2022,1.35
,Basti,2004 - 2005,2.0
,,2007 - 2008,1.64
,,2008 - 2009,1.85
,,2009 - 2010,2.2
,,2010 - 2011,2.0
,,2011 - 2012,1.7
,,2012 - 2013,0.77
,,2015 - 2016,1.62
,,2022 - 2023,1.38
,Bijnor,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.79
,,2005 - 2006,1.5
,,2008 - 2009,2.0
,,2009 - 2010,1.0
,,2020 - 2021,1.37
,Budaun,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.21
,,2006 - 2007,1.52
,,2007 - 2008,2.86
,,2009 - 2010,2.18
,,2010 - 2011,2.0
,,2012 - 2013,1.0
,,2013 - 2014,1.6
,,2015 - 2016,1.5
,,2016 - 2017,1.18
,,2017 - 2018,1.45
,,2018 - 2019,1.37
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.36
,Bulandshahr,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.28
,,2006 - 2007,1.51
,,2007 - 2008,1.65
,,2008 - 2009,1.86
,,2009 - 2010,2.33
,,2010 - 2011,2.16
,,2011 - 2012,1.75
,,2012 - 2013,0.78
,,2013 - 2014,1.5
,,2018 - 2019,1.33
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Chandauli,2003 - 2004,
,,2004 - 2005,2.0
,,2006 - 2007,1.0
,,2012 - 2013,0.83
,,2020 - 2021,1.33
,,2021 - 2022,1.5
,Chitrakoot,2004 - 2005,2.0
,,2006 - 2007,1.0
,Deoria,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Etah,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.21
,,2006 - 2007,1.5
,,2007 - 2008,2.82
,,2008 - 2009,1.77
,,2009 - 2010,2.2
,,2010 - 2011,1.53
,,2011 - 2012,1.7
,,2012 - 2013,0.78
,Etawah,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,2.0
,,2005 - 2006,1.0
,,2006 - 2007,1.25
,,2008 - 2009,1.83
,,2009 - 2010,2.22
,,2010 - 2011,2.21
,,2011 - 2012,2.0
,,2013 - 2014,1.56
,,2014 - 2015,1.65
,,2015 - 2016,1.58
,,2016 - 2017,1.25
,,2017 - 2018,1.44
,,2018 - 2019,1.33
,,2019 - 2020,1.38
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,Faizabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.2
,,2007 - 2008,1.67
,,2008 - 2009,1.8
,,2011 - 2012,1.7
,,2012 - 2013,0.79
,,2015 - 2016,1.6
,,2020 - 2021,1.4
,,2022 - 2023,1.5
,Farrukhabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.95
,,2005 - 2006,1.36
,,2006 - 2007,1.6
,,2007 - 2008,1.67
,,2008 - 2009,1.62
,,2009 - 2010,2.91
,,2010 - 2011,2.6
,,2011 - 2012,1.71
,,2012 - 2013,0.77
,,2013 - 2014,1.6
,,2016 - 2017,1.17
,,2017 - 2018,1.44
,,2018 - 2019,1.36
,,2019 - 2020,1.39
,,2020 - 2021,1.38
,,2021 - 2022,1.37
,,2022 - 2023,1.36
,Fatehpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.25
,,2006 - 2007,1.5
,,2007 - 2008,1.63
,,2008 - 2009,1.86
,,2009 - 2010,2.18
,,2011 - 2012,1.5
,,2012 - 2013,0.67
,,2013 - 2014,1.67
,,2014 - 2015,1.7
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2019 - 2020,1.33
,,2020 - 2021,1.0
,Firozabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.21
,,2006 - 2007,1.5
,,2007 - 2008,2.81
,,2008 - 2009,1.77
,,2009 - 2010,2.19
,,2010 - 2011,2.13
,,2011 - 2012,1.72
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2014 - 2015,1.71
,,2015 - 2016,1.61
,,2016 - 2017,1.18
,,2017 - 2018,1.44
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.37
,Gautam buddha nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.9
,,2008 - 2009,1.86
,Ghaziabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2006 - 2007,1.33
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,Ghazipur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.27
,,2006 - 2007,1.5
,,2007 - 2008,1.6
,,2008 - 2009,1.89
,,2009 - 2010,2.2
,,2010 - 2011,2.12
,,2011 - 2012,1.7
,,2012 - 2013,0.78
,,2013 - 2014,1.61
,,2014 - 2015,1.73
,,2015 - 2016,1.61
,,2016 - 2017,1.21
,,2017 - 2018,1.44
,,2018 - 2019,1.38
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.33
,,2022 - 2023,1.43
,Gonda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.5
,,2007 - 2008,1.67
,,2014 - 2015,1.67
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Gorakhpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.27
,,2007 - 2008,1.67
,,2009 - 2010,2.23
,,2013 - 2014,1.61
,,2015 - 2016,1.61
,,2016 - 2017,1.18
,,2019 - 2020,1.38
,,2022 - 2023,1.36
,Hamirpur,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2019 - 2020,1.5
,Hardoi,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.21
,,2006 - 2007,1.52
,,2007 - 2008,2.82
,,2008 - 2009,1.99
,,2009 - 2010,2.3
,,2010 - 2011,2.11
,,2011 - 2012,1.71
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2015 - 2016,1.62
,,2016 - 2017,1.17
,,2017 - 2018,1.45
,,2018 - 2019,1.37
,,2019 - 2020,1.38
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.0
,Hathras,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.21
,,2006 - 2007,1.5
,,2007 - 2008,2.81
,,2008 - 2009,1.76
,,2009 - 2010,2.19
,,2010 - 2011,1.5
,,2011 - 2012,1.75
,,2012 - 2013,0.75
,,2014 - 2015,1.67
