state,district,year,onion_whole_year_yield_tonne_per_hectare
,,2001 - 2002,29.53
,,2002 - 2003,26.46
,,2003 - 2004,32.59
,,2004 - 2005,30.04
,,2005 - 2006,29.44
,,2006 - 2007,22.82
,,2007 - 2008,29.7
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,28.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kachchh,2000 - 2001,13.0
,,2001 - 2002,27.83
,,2002 - 2003,32.5
,,2003 - 2004,31.0
,,2004 - 2005,34.67
,,2005 - 2006,28.88
,,2006 - 2007,22.7
,,2007 - 2008,30.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,28.94
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kheda,2000 - 2001,21.0
,,2001 - 2002,33.0
,,2002 - 2003,31.17
,,2003 - 2004,28.5
,,2004 - 2005,27.0
,,2005 - 2006,37.0
,,2006 - 2007,22.5
,,2007 - 2008,27.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,24.6
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahesana,2000 - 2001,21.33
,,2001 - 2002,28.4
,,2002 - 2003,27.0
,,2003 - 2004,27.0
,,2004 - 2005,22.0
,,2005 - 2006,24.5
,,2006 - 2007,29.0
,,2007 - 2008,23.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,30.5
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahisagar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Morbi,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narmada,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Navsari,2003 - 2004,44.0
,,2004 - 2005,34.0
,,2005 - 2006,32.0
,,2006 - 2007,24.0
,,2007 - 2008,28.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,19.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panch mahals,2000 - 2001,22.5
,,2001 - 2002,29.33
,,2002 - 2003,28.25
,,2003 - 2004,26.0
,,2004 - 2005,26.67
,,2005 - 2006,32.33
,,2006 - 2007,21.33
,,2007 - 2008,32.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,27.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Patan,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Porbandar,2003 - 2004,32.82
,,2004 - 2005,30.4
,,2005 - 2006,29.77
,,2006 - 2007,22.65
,,2007 - 2008,29.27
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,27.36
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajkot,2000 - 2001,27.0
,,2001 - 2002,34.73
,,2002 - 2003,27.86
,,2003 - 2004,32.24
,,2004 - 2005,29.79
,,2005 - 2006,30.82
,,2006 - 2007,29.62
,,2007 - 2008,32.38
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,29.05
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sabar kantha,2000 - 2001,12.0
,,2001 - 2002,23.33
,,2002 - 2003,38.0
,,2003 - 2004,28.5
,,2004 - 2005,19.0
,,2005 - 2006,30.0
,,2007 - 2008,34.0
,,2008 - 2009,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surat,2000 - 2001,23.67
,,2001 - 2002,28.5
,,2002 - 2003,26.0
,,2003 - 2004,34.4
,,2004 - 2005,28.0
,,2005 - 2006,29.71
,,2006 - 2007,23.5
,,2007 - 2008,32.33
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,31.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surendranagar,2000 - 2001,18.6
,,2001 - 2002,30.67
,,2002 - 2003,25.75
,,2003 - 2004,33.5
,,2004 - 2005,30.88
,,2005 - 2006,33.25
,,2006 - 2007,24.43
,,2007 - 2008,30.33
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,30.71
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tapi,2010 - 2011,25.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vadodara,2000 - 2001,11.0
,,2001 - 2002,28.0
,,2003 - 2004,24.0
,,2004 - 2005,29.0
,,2005 - 2006,37.0
,,2006 - 2007,19.0
,,2007 - 2008,31.75
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,29.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Valsad,2000 - 2001,17.0
,,2001 - 2002,29.5
,,2002 - 2003,35.5
,,2003 - 2004,36.0
,,2004 - 2005,24.0
,,2005 - 2006,13.0
,,2006 - 2007,12.0
,,2007 - 2008,11.0
,,2010 - 2011,7.0
,,2011 - 2012,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2000 - 2001,13.55
,,2001 - 2002,7.51
,,2002 - 2003,27.06
,,2003 - 2004,27.0
,,2004 - 2005,26.99
,,2005 - 2006,27.0
,,2006 - 2007,16.16
,,2007 - 2008,15.69
,,2008 - 2009,1.48
,,2009 - 2010,19.23
,,2010 - 2011,19.76
,,2012 - 2013,31.7
,,2013 - 2014,23.16
,,2014 - 2015,22.3
,,2015 - 2016,23.12
,,2016 - 2017,22.08
,,2017 - 2018,24.53
,,2018 - 2019,23.12
,,2019 - 2020,19.01
,,2021 - 2022,19.15
,Bhiwani,2000 - 2001,11.51
,,2001 - 2002,0.0
,,2003 - 2004,17.24
,,2004 - 2005,16.67
,,2007 - 2008,23.08
,,2008 - 2009,0.0
,,2013 - 2014,23.03
,,2014 - 2015,23.76
,,2015 - 2016,23.54
,,2016 - 2017,23.73
,,2017 - 2018,22.98
,,2018 - 2019,23.35
,,2019 - 2020,37.34
,,2021 - 2022,22.0
,Charki dadri,2018 - 2019,25.46
,,2019 - 2020,20.0
,Faridabad,2001 - 2002,11.11
,,2005 - 2006,16.67
,,2006 - 2007,0.0
,,2013 - 2014,19.14
,,2014 - 2015,22.8
,,2015 - 2016,23.54
,,2016 - 2017,16.97
,,2017 - 2018,23.32
,,2018 - 2019,15.59
,,2019 - 2020,18.17
,Fatehabad,2000 - 2001,22.22
,,2001 - 2002,25.0
,,2002 - 2003,16.67
,,2004 - 2005,0.0
,,2006 - 2007,25.0
,,2010 - 2011,25.0
,,2011 - 2012,19.0
,,2012 - 2013,20.0
,,2013 - 2014,20.76
,,2014 - 2015,22.8
,,2015 - 2016,23.43
,,2016 - 2017,21.58
,,2017 - 2018,23.56
,,2018 - 2019,24.72
,,2019 - 2020,39.89
,,2021 - 2022,21.25
,Gurgaon,2000 - 2001,11.98
,,2001 - 2002,19.01
,,2002 - 2003,23.06
,,2003 - 2004,23.03
,,2004 - 2005,23.02
,,2005 - 2006,23.53
,,2006 - 2007,18.42
,,2007 - 2008,0.0
,,2009 - 2010,50.0
,,2010 - 2011,33.33
,,2011 - 2012,18.75
,,2013 - 2014,23.38
,,2014 - 2015,22.65
,,2015 - 2016,22.89
,,2016 - 2017,22.75
,,2017 - 2018,23.26
,,2018 - 2019,24.68
,,2019 - 2020,8.87
,Hisar,2006 - 2007,25.0
,,2010 - 2011,18.18
,,2013 - 2014,21.36
,,2014 - 2015,22.63
,,2015 - 2016,23.12
,,2016 - 2017,21.98
,,2017 - 2018,23.36
,,2018 - 2019,24.22
,,2019 - 2020,28.65
,Jhajjar,2000 - 2001,22.86
,,2002 - 2003,19.47
,,2003 - 2004,19.4
,,2004 - 2005,18.18
,,2005 - 2006,16.56
,,2006 - 2007,21.21
,,2012 - 2013,17.24
,,2013 - 2014,23.53
,,2014 - 2015,21.87
,,2015 - 2016,23.86
,,2016 - 2017,19.85
,,2017 - 2018,26.2
,,2018 - 2019,29.68
,,2019 - 2020,6.4
,,2021 - 2022,22.35
,Jind,2010 - 2011,23.08
,,2011 - 2012,17.14
,,2012 - 2013,23.53
,,2013 - 2014,25.68
,,2014 - 2015,21.71
,,2015 - 2016,23.23
,,2016 - 2017,21.83
,,2017 - 2018,24.96
,,2018 - 2019,24.72
,,2019 - 2020,29.02
,,2021 - 2022,23.92
,Kaithal,2000 - 2001,13.75
,,2001 - 2002,12.75
,,2002 - 2003,24.83
,,2003 - 2004,24.65
,,2004 - 2005,24.55
,,2006 - 2007,0.0
,,2007 - 2008,33.33
,,2008 - 2009,25.0
,,2009 - 2010,27.27
,,2013 - 2014,28.25
,,2014 - 2015,22.8
,,2015 - 2016,23.52
,,2016 - 2017,28.13
,,2017 - 2018,23.77
,,2018 - 2019,25.46
,,2019 - 2020,23.29
,,2021 - 2022,28.69
,Karnal,2000 - 2001,16.15
,,2003 - 2004,20.0
,,2004 - 2005,25.0
,,2005 - 2006,0.0
,,2007 - 2008,20.0
,,2008 - 2009,
,,2009 - 2010,0.0
,,2010 - 2011,18.18
,,2011 - 2012,14.29
,,2012 - 2013,27.27
,,2013 - 2014,21.23
,,2014 - 2015,20.59
,,2015 - 2016,22.87
,,2016 - 2017,69.77
,,2017 - 2018,23.8
,,2018 - 2019,21.5
,,2019 - 2020,26.26
,,2021 - 2022,19.75
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,14.56
,,2002 - 2003,23.81
,,2003 - 2004,23.63
,,2004 - 2005,23.68
,,2005 - 2006,23.76
,,2006 - 2007,25.07
,,2007 - 2008,23.24
,,2008 - 2009,18.18
,,2009 - 2010,22.34
,,2010 - 2011,0.0
,,2011 - 2012,18.13
,,2012 - 2013,35.29
,,2013 - 2014,22.12
,,2014 - 2015,22.8
,,2015 - 2016,23.7
,,2016 - 2017,25.45
,,2017 - 2018,24.9
,,2018 - 2019,28.45
,,2019 - 2020,25.38
,,2021 - 2022,19.38
,Mahendragarh,2002 - 2003,16.67
,,2003 - 2004,18.18
,,2004 - 2005,33.33
,,2005 - 2006,22.22
,,2006 - 2007,33.33
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,18.75
,,2010 - 2011,16.67
,,2011 - 2012,11.76
,,2013 - 2014,22.31
,,2014 - 2015,22.36
,,2015 - 2016,23.37
,,2016 - 2017,25.14
,,2017 - 2018,23.64
,,2018 - 2019,24.82
,,2019 - 2020,29.09
,Mewat,2005 - 2006,16.01
,,2006 - 2007,21.25
,,2007 - 2008,18.31
,,2008 - 2009,18.54
,,2009 - 2010,20.32
,,2010 - 2011,20.98
,,2013 - 2014,20.99
,,2014 - 2015,21.33
,,2015 - 2016,21.98
,,2016 - 2017,22.71
,,2017 - 2018,22.8
,,2018 - 2019,22.55
,,2019 - 2020,26.0
,,2021 - 2022,20.23
,Palwal,2013 - 2014,22.29
,,2014 - 2015,22.69
,,2015 - 2016,22.76
,,2016 - 2017,21.68
,,2017 - 2018,23.77
,,2018 - 2019,22.56
,,2019 - 2020,3.59
,Panchkula,2000 - 2001,7.93
,,2003 - 2004,21.92
,,2004 - 2005,20.0
,,2006 - 2007,18.89
,,2007 - 2008,19.82
,,2008 - 2009,20.78
,,2009 - 2010,28.81
,,2010 - 2011,23.19
,,2011 - 2012,18.52
,,2012 - 2013,23.4
,,2013 - 2014,22.43
,,2014 - 2015,21.73
,,2015 - 2016,21.22
,,2016 - 2017,21.29
,,2017 - 2018,20.36
,,2018 - 2019,31.25
,,2019 - 2020,32.0
,,2021 - 2022,21.5
,Panipat,2000 - 2001,16.67
,,2001 - 2002,21.05
,,2002 - 2003,15.52
,,2003 - 2004,13.79
,,2004 - 2005,15.56
,,2005 - 2006,24.53
,,2006 - 2007,18.75
,,2007 - 2008,21.05
,,2008 - 2009,28.57
,,2009 - 2010,15.0
,,2010 - 2011,18.75
,,2011 - 2012,17.24
,,2012 - 2013,29.17
,,2013 - 2014,22.44
,,2014 - 2015,22.7
,,2015 - 2016,22.37
,,2016 - 2017,29.23
,,2017 - 2018,24.67
,,2018 - 2019,24.91
,,2019 - 2020,27.75
,,2020 - 2021,0.0
,,2021 - 2022,22.59
,Rewari,2000 - 2001,15.25
,,2001 - 2002,19.05
,,2002 - 2003,14.89
,,2003 - 2004,15.84
,,2004 - 2005,18.18
,,2005 - 2006,16.37
,,2006 - 2007,15.19
,,2007 - 2008,17.71
,,2008 - 2009,17.86
,,2009 - 2010,19.57
,,2010 - 2011,17.86
,,2011 - 2012,11.8
,,2012 - 2013,22.44
,,2013 - 2014,17.79
,,2014 - 2015,22.51
,,2015 - 2016,23.18
,,2016 - 2017,24.51
,,2017 - 2018,23.55
,,2018 - 2019,24.77
,,2019 - 2020,19.83
,,2021 - 2022,21.97
,Rohtak,2000 - 2001,22.22
,,2002 - 2003,21.43
,,2003 - 2004,18.75
,,2004 - 2005,20.0
,,2006 - 2007,16.67
,,2007 - 2008,20.0
,,2009 - 2010,15.38
,,2013 - 2014,22.84
,,2014 - 2015,21.82
,,2015 - 2016,21.21
,,2016 - 2017,22.16
,,2017 - 2018,30.7
,,2018 - 2019,29.82
,,2019 - 2020,30.0
,Sirsa,2000 - 2001,17.65
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,25.0
,,2004 - 2005,20.0
,,2005 - 2006,0.0
,,2006 - 2007,33.33
,,2007 - 2008,16.67
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,25.0
,,2013 - 2014,22.12
,,2014 - 2015,21.72
,,2015 - 2016,23.54
,,2016 - 2017,20.73
,,2017 - 2018,23.77
,,2018 - 2019,25.47
,,2019 - 2020,31.61
,,2021 - 2022,19.69
,Sonipat,2000 - 2001,15.65
,,2001 - 2002,19.23
,,2002 - 2003,23.75
,,2003 - 2004,23.73
,,2004 - 2005,23.73
,,2005 - 2006,23.86
,,2006 - 2007,17.78
,,2007 - 2008,17.39
,,2008 - 2009,21.43
,,2009 - 2010,18.03
,,2010 - 2011,23.33
,,2011 - 2012,10.94
,,2012 - 2013,27.55
,,2013 - 2014,25.63
,,2014 - 2015,25.48
,,2015 - 2016,24.08
,,2016 - 2017,25.63
,,2017 - 2018,25.14
,,2018 - 2019,23.12
,,2019 - 2020,32.63
,,2021 - 2022,27.73
,Yamunanagar,2000 - 2001,16.47
,,2001 - 2002,13.56
,,2002 - 2003,23.7
,,2003 - 2004,24.1
,,2004 - 2005,23.83
,,2005 - 2006,23.89
,,2006 - 2007,16.67
,,2007 - 2008,26.82
,,2008 - 2009,20.65
,,2009 - 2010,16.31
,,2010 - 2011,21.08
,,2011 - 2012,17.92
,,2012 - 2013,28.07
,,2013 - 2014,21.12
,,2014 - 2015,24.72
,,2015 - 2016,25.9
,,2016 - 2017,14.23
,,2017 - 2018,20.47
,,2018 - 2019,24.03
,,2019 - 2020,25.14
,,2021 - 2022,24.78
Himachal Pradesh,Bilaspur,2002 - 2003,6.21
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,7.13
,,2002 - 2003,7.13
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,7.13
,,2002 - 2003,7.14
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,12.79
,,2002 - 2003,7.13
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,7.12
,,2002 - 2003,3.19
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mandi,2001 - 2002,6.47
,,2002 - 2003,7.13
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,3.65
,,2002 - 2003,0.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,10.29
,,2002 - 2003,3.78
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,10.29
,,2002 - 2003,10.29
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,10.71
,,2002 - 2003,1.28
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Anantnag,2001 - 2002,2.13
,,2002 - 2003,1.9
,,2003 - 2004,2.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Badgam,2000 - 2001,2.46
,,2001 - 2002,2.47
,,2002 - 2003,2.47
,,2003 - 2004,2.49
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baramulla,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Doda,2000 - 2001,2.5
,,2001 - 2002,2.59
,,2002 - 2003,2.56
,,2003 - 2004,2.59
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganderbal,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jammu,2002 - 2003,1.82
,,2003 - 2004,1.2
,,2005 - 2006,
,,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Kargil,2011 - 2012,
,,2012 - 2013,
,Kathua,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,3.0
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kishtwar,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,Kulgam,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kupwara,2017 - 2018,
,Leh ladakh,2000 - 2001,0.63
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.67
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2018 - 2019,
,Poonch,2019 - 2020,
,,2020 - 2021,
,Pulwama,2000 - 2001,2.47
,,2001 - 2002,2.47
,,2002 - 2003,2.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramban,2019 - 2020,
,Reasi,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,Samba,2009 - 2010,
,,2018 - 2019,
,,2021 - 2022,
,Shopian,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Srinagar,2000 - 2001,1.71
,,2001 - 2002,1.56
,,2002 - 2003,1.61
,,2003 - 2004,1.63
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udhampur,2001 - 2002,0.8
,,2003 - 2004,0.86
,,2007 - 2008,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
Jharkhand,Bokaro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Chatra,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Deoghar,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Dumka,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,East singhbum,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Garhwa,2003 - 2004,8.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
