feature,H_Cluster,State,District
Odisha_Bhadrak,1,Odisha,Bhadrak
Odisha_Boudh,1,Odisha,Boudh
Odisha_Cuttack,1,Odisha,Cuttack
Odisha_Deogarh,1,Odisha,Deogarh
Odisha_Dhenkanal,1,Odisha,Dhenkanal
Odisha_Gajapati,1,Odisha,Gajapati
Odisha_Ganjam,1,Odisha,Ganjam
Odisha_Jagatsinghapur,1,Odisha,Jagatsinghapur
Odisha_Jajapur,1,Odisha,Jajapur
Odisha_Jharsuguda,1,Odisha,Jharsuguda
Odisha_Kalahandi,1,Odisha,Kalahandi
Odisha_Kandhamal,1,Odisha,Kandhamal
Odisha_Kendrapara,1,Odisha,Kendrapara
Odisha_Kendujhar,1,Odisha,Kendujhar
Odisha_Khordha,1,Odisha,Khordha
Odisha_Koraput,1,Odisha,Koraput
Odisha_Malkangiri,1,Odisha,Malkangiri
Odisha_Mayurbhanj,1,Odisha,Mayurbhanj
Odisha_Nabarangpur,1,Odisha,Nabarangpur
Odisha_Nayagarh,1,Odisha,Nayagarh
Odisha_Nuapada,1,Odisha,Nuapada
Odisha_Puri,1,Odisha,Puri
Odisha_Rayagada,1,Odisha,Rayagada
Odisha_Sambalpur,1,Odisha,Sambalpur
Odisha_Sonepur,1,Odisha,Sonepur
Odisha_Sundargarh,1,Odisha,Sundargarh
Puducherry_Karaikal,3,Puducherry,Karaikal
Puducherry_Pondicherry,3,Puducherry,Pondicherry
Punjab_Amritsar,5,Punjab,Amritsar
Punjab_Barnala,5,Punjab,Barnala
Punjab_Bathinda,5,Punjab,Bathinda
Punjab_Faridkot,5,Punjab,Faridkot
Punjab_Fatehgarh Sahib,5,Punjab,Fatehgarh Sahib
Punjab_Fazilka,5,Punjab,Fazilka
Punjab_Ferozepur,5,Punjab,Ferozepur
Punjab_Gurdaspur,5,Punjab,Gurdaspur
Punjab_Hoshiarpur,5,Punjab,Hoshiarpur
Punjab_Jalandhar,5,Punjab,Jalandhar
Punjab_Kapurthala,5,Punjab,Kapurthala
Punjab_Ludhiana,5,Punjab,Ludhiana
Punjab_Malerkotla,5,Punjab,Malerkotla
Punjab_Mansa,5,Punjab,Mansa
Punjab_Moga,5,Punjab,Moga
Punjab_Pathankot,5,Punjab,Pathankot
Punjab_Patiala,5,Punjab,Patiala
Punjab_Rupnagar,5,Punjab,Rupnagar
Punjab_S.a.s Nagar,5,Punjab,S.a.s Nagar
Punjab_Sangrur,5,Punjab,Sangrur
Punjab_Shahid Bhagat Singh Nagar,5,Punjab,Shahid Bhagat Singh Nagar
Punjab_Sri Muktsar Sahib,5,Punjab,Sri Muktsar Sahib
Punjab_Tarn Taran,5,Punjab,Tarn Taran
Rajasthan_Ajmer,8,Rajasthan,Ajmer
Rajasthan_Alwar,8,Rajasthan,Alwar
Rajasthan_Anoopgarh,12,Rajasthan,Anoopgarh
Rajasthan_Balotra,12,Rajasthan,Balotra
Rajasthan_Banswara,2,Rajasthan,Banswara
Rajasthan_Baran,2,Rajasthan,Baran
Rajasthan_Barmer,12,Rajasthan,Barmer
Rajasthan_Beawar,8,Rajasthan,Beawar
Rajasthan_Bharatpur,5,Rajasthan,Bharatpur
Rajasthan_Bhilwara,8,Rajasthan,Bhilwara
Rajasthan_Bikaner,12,Rajasthan,Bikaner
Rajasthan_Bundi,8,Rajasthan,Bundi
Rajasthan_Chittorgarh,8,Rajasthan,Chittorgarh
Rajasthan_Churu,12,Rajasthan,Churu
Rajasthan_Dausa,8,Rajasthan,Dausa
Rajasthan_Deeg,5,Rajasthan,Deeg
Rajasthan_Dholpur,5,Rajasthan,Dholpur
Rajasthan_Didwana Kuchaman,12,Rajasthan,Didwana Kuchaman
Rajasthan_Dudu,8,Rajasthan,Dudu
Rajasthan_Dungarpur,2,Rajasthan,Dungarpur
Rajasthan_Ganganagar,12,Rajasthan,Ganganagar
Rajasthan_Gangapurcity,8,Rajasthan,Gangapurcity
Rajasthan_Hanumangarh,12,Rajasthan,Hanumangarh
Rajasthan_Jaipur,8,Rajasthan,Jaipur
Rajasthan_Jaipur Gramin,8,Rajasthan,Jaipur Gramin
Rajasthan_Jaisalmer,12,Rajasthan,Jaisalmer
Rajasthan_Jalore,8,Rajasthan,Jalore
Rajasthan_Jhalawar,2,Rajasthan,Jhalawar
Rajasthan_Jhunjhunu,12,Rajasthan,Jhunjhunu
Rajasthan_Jodhpur,12,Rajasthan,Jodhpur
Rajasthan_Jodhpur Gramin,12,Rajasthan,Jodhpur Gramin
Rajasthan_Karauli,8,Rajasthan,Karauli
Rajasthan_Kekri,8,Rajasthan,Kekri
Rajasthan_Khairthal-Tijara,5,Rajasthan,Khairthal-Tijara
Rajasthan_Kota,2,Rajasthan,Kota
Rajasthan_Kotputli-Behror,8,Rajasthan,Kotputli-Behror
Rajasthan_Nagaur,12,Rajasthan,Nagaur
Rajasthan_Neem Ka Thana,8,Rajasthan,Neem Ka Thana
Rajasthan_Pali,8,Rajasthan,Pali
Rajasthan_Phalodi,12,Rajasthan,Phalodi
Rajasthan_Pratapgarh,2,Rajasthan,Pratapgarh
Rajasthan_Rajsamand,8,Rajasthan,Rajsamand
Rajasthan_Salumbar,8,Rajasthan,Salumbar
Rajasthan_Sawai Madhopur,8,Rajasthan,Sawai Madhopur
Rajasthan_Shahpura,8,Rajasthan,Shahpura
Rajasthan_Sikar,12,Rajasthan,Sikar
Rajasthan_Sirohi,8,Rajasthan,Sirohi
Rajasthan_Tonk,8,Rajasthan,Tonk
Rajasthan_Udaipur,8,Rajasthan,Udaipur
Sikkim_Gangtok,4,Sikkim,Gangtok
Sikkim_Gyalshing,4,Sikkim,Gyalshing
Sikkim_Mangan,6,Sikkim,Mangan
Sikkim_Namchi,4,Sikkim,Namchi
Sikkim_Pakyong,4,Sikkim,Pakyong
Sikkim_Soreng,4,Sikkim,Soreng
Tamil Nadu_Ariyalur,11,Tamil Nadu,Ariyalur
Tamil Nadu_Chengalpattu,3,Tamil Nadu,Chengalpattu
Tamil Nadu_Chennai,3,Tamil Nadu,Chennai
Tamil Nadu_Coimbatore,2,Tamil Nadu,Coimbatore
Tamil Nadu_Cuddalore,11,Tamil Nadu,Cuddalore
Tamil Nadu_Dharmapuri,11,Tamil Nadu,Dharmapuri
Tamil Nadu_Dindigul,11,Tamil Nadu,Dindigul
Tamil Nadu_Erode,11,Tamil Nadu,Erode
Tamil Nadu_Kallakurichi,11,Tamil Nadu,Kallakurichi
Tamil Nadu_Kanchipuram,11,Tamil Nadu,Kanchipuram
Tamil Nadu_Kanniyakumari,11,Tamil Nadu,Kanniyakumari
Tamil Nadu_Karur,11,Tamil Nadu,Karur
Tamil Nadu_Krishnagiri,11,Tamil Nadu,Krishnagiri
Tamil Nadu_Madurai,11,Tamil Nadu,Madurai
Tamil Nadu_Mayiladuthurai,3,Tamil Nadu,Mayiladuthurai
Tamil Nadu_Nagapattinam,3,Tamil Nadu,Nagapattinam
Tamil Nadu_Namakkal,11,Tamil Nadu,Namakkal
Tamil Nadu_Perambalur,11,Tamil Nadu,Perambalur
Tamil Nadu_Pudukkottai,11,Tamil Nadu,Pudukkottai
Tamil Nadu_Ramanathapuram,3,Tamil Nadu,Ramanathapuram
Tamil Nadu_Ranipet,11,Tamil Nadu,Ranipet
Tamil Nadu_Salem,11,Tamil Nadu,Salem
Tamil Nadu_Sivaganga,11,Tamil Nadu,Sivaganga
Tamil Nadu_Tenkasi,11,Tamil Nadu,Tenkasi
Tamil Nadu_Thanjavur,11,Tamil Nadu,Thanjavur
Tamil Nadu_The Nilgiris,0,Tamil Nadu,The Nilgiris
Tamil Nadu_Theni,11,Tamil Nadu,Theni
Tamil Nadu_Thiruvallur,11,Tamil Nadu,Thiruvallur
Tamil Nadu_Thiruvarur,3,Tamil Nadu,Thiruvarur
Tamil Nadu_Tiruchirappalli,11,Tamil Nadu,Tiruchirappalli
Tamil Nadu_Tirunelveli,11,Tamil Nadu,Tirunelveli
Tamil Nadu_Tirupathur,11,Tamil Nadu,Tirupathur
Tamil Nadu_Tiruppur,11,Tamil Nadu,Tiruppur
Tamil Nadu_Tiruvannamalai,11,Tamil Nadu,Tiruvannamalai
Tamil Nadu_Tuticorin,11,Tamil Nadu,Tuticorin
Tamil Nadu_Vellore,11,Tamil Nadu,Vellore
Tamil Nadu_Villupuram,11,Tamil Nadu,Villupuram
Tamil Nadu_Virudhunagar,11,Tamil Nadu,Virudhunagar
Telangana_Adilabad,2,Telangana,Adilabad
Telangana_Bhadradri Kothagudem,1,Telangana,Bhadradri Kothagudem
Telangana_Hanumakonda,2,Telangana,Hanumakonda
Telangana_Hyderabad,2,Telangana,Hyderabad
Telangana_Jagitial,2,Telangana,Jagitial
Telangana_Jangoan,2,Telangana,Jangoan
Telangana_Jayashankar Bhupalapally,1,Telangana,Jayashankar Bhupalapally
Telangana_Jogulamba Gadwal,2,Telangana,Jogulamba Gadwal
Telangana_Kamareddy,2,Telangana,Kamareddy
Telangana_Karimnagar,2,Telangana,Karimnagar
Telangana_Khammam,1,Telangana,Khammam
Telangana_Kumuram Bheem Asifabad,1,Telangana,Kumuram Bheem Asifabad
Telangana_Mahabubabad,2,Telangana,Mahabubabad
Telangana_Mahabubnagar,2,Telangana,Mahabubnagar
Telangana_Mancherial,1,Telangana,Mancherial
Telangana_Medak,2,Telangana,Medak
Telangana_Medchal Malkajgiri,2,Telangana,Medchal Malkajgiri
Telangana_Mulugu,1,Telangana,Mulugu
Telangana_Nagarkurnool,2,Telangana,Nagarkurnool
Telangana_Nalgonda,2,Telangana,Nalgonda
Telangana_Narayanpet,2,Telangana,Narayanpet
Telangana_Nirmal,1,Telangana,Nirmal
Telangana_Nizamabad,2,Telangana,Nizamabad
Telangana_Peddapalli,1,Telangana,Peddapalli
Telangana_Rajanna Sircilla,2,Telangana,Rajanna Sircilla
Telangana_Ranga Reddy,2,Telangana,Ranga Reddy
Telangana_Sangareddy,2,Telangana,Sangareddy
Telangana_Siddipet,2,Telangana,Siddipet
Telangana_Suryapet,2,Telangana,Suryapet
Telangana_Vikarabad,2,Telangana,Vikarabad
Telangana_Wanaparthy,2,Telangana,Wanaparthy
Telangana_Warangal,2,Telangana,Warangal
Telangana_Yadadri Bhuvanagiri,2,Telangana,Yadadri Bhuvanagiri
Tripura_Dhalai,0,Tripura,Dhalai
Tripura_Gomati,0,Tripura,Gomati
Tripura_Khowai,0,Tripura,Khowai
Tripura_North Tripura,0,Tripura,North Tripura
Tripura_Sepahijala,0,Tripura,Sepahijala
Tripura_South Tripura,0,Tripura,South Tripura
Tripura_Unakoti,0,Tripura,Unakoti
Tripura_West Tripura,0,Tripura,West Tripura
Uttar Pradesh_Agra,5,Uttar Pradesh,Agra
Uttar Pradesh_Aligarh,5,Uttar Pradesh,Aligarh
Uttar Pradesh_Ambedkar Nagar,14,Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh_Amethi,14,Uttar Pradesh,Amethi
Uttar Pradesh_Amroha,5,Uttar Pradesh,Amroha
Uttar Pradesh_Auraiya,5,Uttar Pradesh,Auraiya
Uttar Pradesh_Ayodhya,14,Uttar Pradesh,Ayodhya
Uttar Pradesh_Azamgarh,14,Uttar Pradesh,Azamgarh
Uttar Pradesh_Baghpat,5,Uttar Pradesh,Baghpat
Uttar Pradesh_Bahraich,14,Uttar Pradesh,Bahraich
Uttar Pradesh_Ballia,14,Uttar Pradesh,Ballia
Uttar Pradesh_Balrampur,14,Uttar Pradesh,Balrampur
Uttar Pradesh_Banda,14,Uttar Pradesh,Banda
Uttar Pradesh_Barabanki,14,Uttar Pradesh,Barabanki
Uttar Pradesh_Bareilly,5,Uttar Pradesh,Bareilly
Uttar Pradesh_Basti,14,Uttar Pradesh,Basti
Uttar Pradesh_Bhadohi,14,Uttar Pradesh,Bhadohi
Uttar Pradesh_Bijnor,5,Uttar Pradesh,Bijnor
Uttar Pradesh_Budaun,5,Uttar Pradesh,Budaun
Uttar Pradesh_Bulandshahr,5,Uttar Pradesh,Bulandshahr
Uttar Pradesh_Chandauli,14,Uttar Pradesh,Chandauli
Uttar Pradesh_Chitrakoot,14,Uttar Pradesh,Chitrakoot
Uttar Pradesh_Deoria,14,Uttar Pradesh,Deoria
Uttar Pradesh_Etah,5,Uttar Pradesh,Etah
Uttar Pradesh_Etawah,5,Uttar Pradesh,Etawah
Uttar Pradesh_Farrukhabad,5,Uttar Pradesh,Farrukhabad
Uttar Pradesh_Fatehpur,14,Uttar Pradesh,Fatehpur
Uttar Pradesh_Firozabad,5,Uttar Pradesh,Firozabad
Uttar Pradesh_Gautam Buddha Nagar,5,Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh_Ghaziabad,5,Uttar Pradesh,Ghaziabad
Uttar Pradesh_Ghazipur,14,Uttar Pradesh,Ghazipur
Uttar Pradesh_Gonda,14,Uttar Pradesh,Gonda
Uttar Pradesh_Gorakhpur,14,Uttar Pradesh,Gorakhpur
Uttar Pradesh_Hamirpur,14,Uttar Pradesh,Hamirpur
Uttar Pradesh_Hapur,5,Uttar Pradesh,Hapur
Uttar Pradesh_Hardoi,5,Uttar Pradesh,Hardoi
Uttar Pradesh_Hathras,5,Uttar Pradesh,Hathras
Uttar Pradesh_Jalaun,14,Uttar Pradesh,Jalaun
Uttar Pradesh_Jaunpur,14,Uttar Pradesh,Jaunpur
Uttar Pradesh_Jhansi,14,Uttar Pradesh,Jhansi
Uttar Pradesh_Kannauj,5,Uttar Pradesh,Kannauj
Uttar Pradesh_Kanpur Dehat,14,Uttar Pradesh,Kanpur Dehat
Uttar Pradesh_Kanpur Nagar,14,Uttar Pradesh,Kanpur Nagar
Uttar Pradesh_Kasganj,5,Uttar Pradesh,Kasganj
Uttar Pradesh_Kaushambi,14,Uttar Pradesh,Kaushambi
Uttar Pradesh_Kheri,14,Uttar Pradesh,Kheri
Uttar Pradesh_Kushi Nagar,14,Uttar Pradesh,Kushi Nagar
Uttar Pradesh_Lalitpur,14,Uttar Pradesh,Lalitpur
Uttar Pradesh_Lucknow,14,Uttar Pradesh,Lucknow
Uttar Pradesh_Maharajganj,14,Uttar Pradesh,Maharajganj
Uttar Pradesh_Mahoba,14,Uttar Pradesh,Mahoba
Uttar Pradesh_Mainpuri,5,Uttar Pradesh,Mainpuri
Uttar Pradesh_Mathura,5,Uttar Pradesh,Mathura
Uttar Pradesh_Mau,14,Uttar Pradesh,Mau
Uttar Pradesh_Meerut,5,Uttar Pradesh,Meerut
Uttar Pradesh_Mirzapur,14,Uttar Pradesh,Mirzapur
Uttar Pradesh_Moradabad,5,Uttar Pradesh,Moradabad
Uttar Pradesh_Muzaffarnagar,5,Uttar Pradesh,Muzaffarnagar
Uttar Pradesh_Pilibhit,14,Uttar Pradesh,Pilibhit
Uttar Pradesh_Pratapgarh,14,Uttar Pradesh,Pratapgarh
Uttar Pradesh_Prayagraj,14,Uttar Pradesh,Prayagraj
Uttar Pradesh_Rae Bareli,14,Uttar Pradesh,Rae Bareli
Uttar Pradesh_Rampur,5,Uttar Pradesh,Rampur
Uttar Pradesh_Saharanpur,5,Uttar Pradesh,Saharanpur
Uttar Pradesh_Sambhal,5,Uttar Pradesh,Sambhal
Uttar Pradesh_Sant Kabeer Nagar,14,Uttar Pradesh,Sant Kabeer Nagar
Uttar Pradesh_Shahjahanpur,5,Uttar Pradesh,Shahjahanpur
Uttar Pradesh_Shamli,5,Uttar Pradesh,Shamli
Uttar Pradesh_Shravasti,14,Uttar Pradesh,Shravasti
Uttar Pradesh_Siddharth Nagar,14,Uttar Pradesh,Siddharth Nagar
Uttar Pradesh_Sitapur,14,Uttar Pradesh,Sitapur
Uttar Pradesh_Sonbhadra,14,Uttar Pradesh,Sonbhadra
Uttar Pradesh_Sultanpur,14,Uttar Pradesh,Sultanpur
Uttar Pradesh_Unnao,14,Uttar Pradesh,Unnao
Uttar Pradesh_Varanasi,14,Uttar Pradesh,Varanasi
Uttarakhand_Almora,10,Uttarakhand,Almora
Uttarakhand_Bageshwar,7,Uttarakhand,Bageshwar
Uttarakhand_Chamoli,6,Uttarakhand,Chamoli
Uttarakhand_Champawat,10,Uttarakhand,Champawat
Uttarakhand_Dehradun,7,Uttarakhand,Dehradun
Uttarakhand_Haridwar,5,Uttarakhand,Haridwar
Uttarakhand_Nainital,7,Uttarakhand,Nainital
Uttarakhand_Pauri Garhwal,7,Uttarakhand,Pauri Garhwal
Uttarakhand_Pithoragarh,6,Uttarakhand,Pithoragarh
Uttarakhand_Rudra Prayag,7,Uttarakhand,Rudra Prayag
Uttarakhand_Tehri Garhwal,7,Uttarakhand,Tehri Garhwal
Uttarakhand_Udam Singh Nagar,5,Uttarakhand,Udam Singh Nagar
Uttarakhand_Uttar Kashi,6,Uttarakhand,Uttar Kashi
West Bengal_24 Paraganas North,1,West Bengal,24 Paraganas North
West Bengal_24 Paraganas South,1,West Bengal,24 Paraganas South
West Bengal_Alipurduar,0,West Bengal,Alipurduar
West Bengal_Bankura,1,West Bengal,Bankura
West Bengal_Birbhum,1,West Bengal,Birbhum
West Bengal_Coochbehar,0,West Bengal,Coochbehar
West Bengal_Darjeeling,0,West Bengal,Darjeeling
West Bengal_Dinajpur Dakshin,1,West Bengal,Dinajpur Dakshin
West Bengal_Dinajpur Uttar,1,West Bengal,Dinajpur Uttar
West Bengal_Hooghly,1,West Bengal,Hooghly
West Bengal_Howrah,1,West Bengal,Howrah
West Bengal_Jalpaiguri,0,West Bengal,Jalpaiguri
West Bengal_Jhargram,1,West Bengal,Jhargram
West Bengal_Kalimpong,0,West Bengal,Kalimpong
West Bengal_Kolkata,1,West Bengal,Kolkata
West Bengal_Maldah,1,West Bengal,Maldah
West Bengal_Medinipur East,1,West Bengal,Medinipur East
West Bengal_Medinipur West,1,West Bengal,Medinipur West
West Bengal_Murshidabad,1,West Bengal,Murshidabad
West Bengal_Nadia,1,West Bengal,Nadia
West Bengal_Paschim Bardhaman,1,West Bengal,Paschim Bardhaman
West Bengal_Purba Bardhaman,1,West Bengal,Purba Bardhaman
West Bengal_Purulia,1,West Bengal,Purulia
