state,district,year,khesari_rabi_area_hectare,khesari_rabi_production_tonne,khesari_rabi_yield_tonne_per_hectare,khesari_whole_year_area_hectare,khesari_whole_year_production_tonne,khesari_whole_year_yield_tonne_per_hectare,khesari_kharif_area_hectare,khesari_kharif_production_tonne,khesari_kharif_yield_tonne_per_hectare
,,2016 - 2017,22.0,12.0,0.55,,,,,,
,,2017 - 2018,18.0,8.0,0.44,,,,,,
,,2018 - 2019,9.0,6.0,0.67,,,,,,
,,2019 - 2020,6.0,5.0,0.83,,,,,,
,,2020 - 2021,7.0,6.0,0.86,,,,,,
,Patna,2000 - 2001,,,1.36,,,,,,
,,2001 - 2002,,,0.98,,,,,,
,,2002 - 2003,,,1.27,,,,,,
,,2003 - 2004,,,1.25,,,,,,
,,2004 - 2005,,,1.07,,,,,,
,,2005 - 2006,,,1.19,,,,,,
,,2006 - 2007,,,0.75,,,,,,
,,2007 - 2008,,,1.01,,,,,,
,,2008 - 2009,,,0.91,,,,,,
,,2009 - 2010,,,1.25,,,,,,
,,2010 - 2011,,,1.43,,,,,,
,,2011 - 2012,,,2.08,,,,,,
,,2012 - 2013,,,1.31,,,,,,
,,2013 - 2014,,,1.77,,,,,,
,,2014 - 2015,,,1.65,,,,,,
,,2015 - 2016,,,1.16,,,,,,
,,2016 - 2017,,,1.37,,,,,,
,,2017 - 2018,,,1.45,,,,,,
,,2018 - 2019,,,1.65,,,,,,
,,2019 - 2020,,,0.86,,,,,,
,,2020 - 2021,,,1.14,,,,,,
,,2021 - 2022,,,1.14,,,,,,
,,2022 - 2023,,,1.11,,,,,,
,Purbi champaran,2000 - 2001,529.0,324.0,0.61,,,,,,
,,2001 - 2002,564.0,461.0,0.82,,,,,,
,,2003 - 2004,267.0,225.0,0.84,,,,,,
,,2004 - 2005,588.0,305.0,0.52,,,,,,
,,2005 - 2006,561.0,270.0,0.48,,,,,,
,,2006 - 2007,,806.0,0.79,,,,,,
,,2007 - 2008,537.0,451.0,0.84,,,,,,
,,2008 - 2009,519.0,426.0,0.82,,,,,,
,,2009 - 2010,588.0,609.0,1.04,,,,,,
,,2010 - 2011,429.0,422.0,0.98,,,,,,
,,2011 - 2012,362.0,274.0,0.76,,,,,,
,,2012 - 2013,,967.0,0.78,,,,,,
,,2013 - 2014,688.0,768.0,1.12,,,,,,
,,2014 - 2015,642.0,636.0,0.99,,,,,,
,,2015 - 2016,316.0,295.0,0.93,,,,,,
,,2016 - 2017,247.0,134.0,0.54,,,,,,
,,2017 - 2018,,969.0,0.44,,,,,,
,,2018 - 2019,,,0.64,,,,,,
,,2019 - 2020,,,0.83,,,,,,
,,2020 - 2021,,,0.86,,,,,,
,,2021 - 2022,,,1.31,,,,,,
,,2022 - 2023,,881.0,0.84,,,,,,
,Purnia,2000 - 2001,,,0.79,,,,,,
,,2001 - 2002,,,0.47,,,,,,
,,2002 - 2003,,771.0,0.46,,,,,,
,,2003 - 2004,,790.0,0.5,,,,,,
,,2004 - 2005,,352.0,0.31,,,,,,
,,2005 - 2006,,774.0,0.62,,,,,,
,,2006 - 2007,,641.0,0.56,,,,,,
,,2007 - 2008,,756.0,0.67,,,,,,
,,2008 - 2009,,834.0,0.72,,,,,,
,,2009 - 2010,,,1.04,,,,,,
,,2010 - 2011,,,0.98,,,,,,
,,2011 - 2012,896.0,,1.26,,,,,,
,,2012 - 2013,,,1.18,,,,,,
,,2013 - 2014,827.0,724.0,0.88,,,,,,
,,2014 - 2015,117.0,116.0,0.99,,,,,,
,,2015 - 2016,113.0,106.0,0.94,,,,,,
,,2016 - 2017,352.0,373.0,1.06,,,,,,
,,2017 - 2018,109.0,115.0,1.06,,,,,,
,Rohtas,2000 - 2001,,,0.76,,,,,,
,,2001 - 2002,,,0.86,,,,,,
,,2002 - 2003,,,0.78,,,,,,
,,2003 - 2004,,,0.6,,,,,,
,,2004 - 2005,,,0.97,,,,,,
,,2005 - 2006,,,0.85,,,,,,
,,2006 - 2007,,,0.72,,,,,,
,,2007 - 2008,,,0.99,,,,,,
,,2008 - 2009,,,0.95,,,,,,
,,2009 - 2010,,,1.65,,,,,,
,,2010 - 2011,,,1.32,,,,,,
,,2011 - 2012,,,1.62,,,,,,
,,2012 - 2013,,,1.37,,,,,,
,,2013 - 2014,,,1.43,,,,,,
,,2014 - 2015,,,1.24,,,,,,
,,2015 - 2016,,,1.58,,,,,,
,,2016 - 2017,,,1.81,,,,,,
,,2017 - 2018,,,0.77,,,,,,
,,2018 - 2019,,,0.95,,,,,,
,,2019 - 2020,,,0.67,,,,,,
,,2020 - 2021,302.0,157.0,0.52,,,,,,
,,2021 - 2022,132.0,94.0,0.71,,,,,,
,,2022 - 2023,338.0,364.0,1.08,,,,,,
,Saharsa,2000 - 2001,,,1.0,,,,,,
,,2001 - 2002,,,0.7,,,,,,
,,2002 - 2003,,,0.47,,,,,,
,,2003 - 2004,,,0.72,,,,,,
,,2004 - 2005,,,0.49,,,,,,
,,2005 - 2006,,,0.48,,,,,,
,,2006 - 2007,,,0.63,,,,,,
,,2007 - 2008,,749.0,0.64,,,,,,
,,2008 - 2009,,,0.95,,,,,,
,,2009 - 2010,,651.0,0.61,,,,,,
,,2010 - 2011,405.0,138.0,0.34,,,,,,
,,2011 - 2012,420.0,248.0,0.59,,,,,,
,,2012 - 2013,108.0,73.0,0.68,,,,,,
,,2014 - 2015,125.0,83.0,0.66,,,,,,
,,2015 - 2016,204.0,181.0,0.89,,,,,,
,,2016 - 2017,208.0,220.0,1.06,,,,,,
,,2017 - 2018,212.0,42.0,0.2,,,,,,
,,2018 - 2019,198.0,106.0,0.54,,,,,,
,,2019 - 2020,171.0,167.0,0.98,,,,,,
,,2020 - 2021,177.0,150.0,0.85,,,,,,
,,2021 - 2022,155.0,212.0,1.37,,,,,,
,,2022 - 2023,137.0,147.0,1.07,,,,,,
,Samastipur,2000 - 2001,754.0,647.0,0.86,,,,,,
,,2001 - 2002,598.0,312.0,0.52,,,,,,
,,2002 - 2003,654.0,379.0,0.58,,,,,,
,,2003 - 2004,620.0,296.0,0.48,,,,,,
,,2004 - 2005,606.0,396.0,0.65,,,,,,
,,2005 - 2006,577.0,339.0,0.59,,,,,,
,,2006 - 2007,554.0,324.0,0.58,,,,,,
,,2007 - 2008,581.0,336.0,0.58,,,,,,
,,2008 - 2009,489.0,401.0,0.82,,,,,,
,,2009 - 2010,236.0,244.0,1.03,,,,,,
,,2010 - 2011,131.0,129.0,0.98,,,,,,
,,2011 - 2012,198.0,250.0,1.26,,,,,,
,,2012 - 2013,198.0,233.0,1.18,,,,,,
,,2013 - 2014,359.0,401.0,1.12,,,,,,
,,2014 - 2015,402.0,398.0,0.99,,,,,,
,,2015 - 2016,156.0,146.0,0.94,,,,,,
,,2016 - 2017,438.0,464.0,1.06,,,,,,
,,2017 - 2018,392.0,443.0,1.13,,,,,,
,,2018 - 2019,412.0,366.0,0.89,,,,,,
,,2019 - 2020,278.0,211.0,0.76,,,,,,
,,2020 - 2021,278.0,301.0,1.08,,,,,,
,,2021 - 2022,286.0,297.0,1.04,,,,,,
,,2022 - 2023,9.0,10.0,1.11,,,,,,
,Saran,2000 - 2001,370.0,339.0,0.92,,,,,,
,,2001 - 2002,293.0,239.0,0.82,,,,,,
,,2002 - 2003,186.0,151.0,0.81,,,,,,
,,2003 - 2004,204.0,188.0,0.92,,,,,,
,,2004 - 2005,215.0,145.0,0.67,,,,,,
,,2005 - 2006,214.0,170.0,0.79,,,,,,
,,2006 - 2007,213.0,168.0,0.79,,,,,,
,,2007 - 2008,180.0,151.0,0.84,,,,,,
,,2008 - 2009,102.0,84.0,0.82,,,,,,
,,2009 - 2010,139.0,144.0,1.04,,,,,,
,,2010 - 2011,83.0,82.0,0.99,,,,,,
,,2011 - 2012,104.0,132.0,1.27,,,,,,
,,2012 - 2013,126.0,148.0,1.17,,,,,,
,,2013 - 2014,117.0,131.0,1.12,,,,,,
,,2014 - 2015,118.0,117.0,0.99,,,,,,
,,2015 - 2016,47.0,44.0,0.94,,,,,,
,,2016 - 2017,10.0,11.0,1.1,,,,,,
,,2017 - 2018,17.0,18.0,1.06,,,,,,
,,2018 - 2019,23.0,23.0,1.0,,,,,,
,,2019 - 2020,22.0,17.0,0.77,,,,,,
,,2020 - 2021,6.0,6.0,1.0,,,,,,
,,2022 - 2023,6.0,7.0,1.17,,,,,,
,Sheikhpura,2000 - 2001,,,0.95,,,,,,
,,2001 - 2002,,,0.75,,,,,,
,,2002 - 2003,,,0.88,,,,,,
,,2003 - 2004,,,1.0,,,,,,
,,2004 - 2005,,,0.51,,,,,,
,,2005 - 2006,,,1.2,,,,,,
,,2006 - 2007,,,1.11,,,,,,
,,2007 - 2008,,,1.0,,,,,,
,,2008 - 2009,,,1.23,,,,,,
,,2009 - 2010,,,1.43,,,,,,
,,2010 - 2011,,,0.84,,,,,,
,,2011 - 2012,,,1.34,,,,,,
,,2012 - 2013,,,1.22,,,,,,
,,2013 - 2014,,,1.16,,,,,,
,,2014 - 2015,,,0.95,,,,,,
,,2015 - 2016,,,1.28,,,,,,
,,2016 - 2017,,,1.21,,,,,,
,,2017 - 2018,,,0.99,,,,,,
,,2018 - 2019,700.0,825.0,1.18,,,,,,
,,2019 - 2020,626.0,624.0,1.0,,,,,,
,,2020 - 2021,663.0,465.0,0.7,,,,,,
,,2021 - 2022,676.0,491.0,0.73,,,,,,
,,2022 - 2023,676.0,561.0,0.83,,,,,,
,Sheohar,2000 - 2001,473.0,290.0,0.61,,,,,,
,,2001 - 2002,203.0,166.0,0.82,,,,,,
,,2002 - 2003,203.0,124.0,0.61,,,,,,
,,2003 - 2004,203.0,171.0,0.84,,,,,,
,,2004 - 2005,198.0,103.0,0.52,,,,,,
,,2005 - 2006,235.0,113.0,0.48,,,,,,
,,2006 - 2007,188.0,148.0,0.79,,,,,,
,,2007 - 2008,189.0,159.0,0.84,,,,,,
,,2008 - 2009,453.0,372.0,0.82,,,,,,
,,2009 - 2010,87.0,90.0,1.03,,,,,,
,,2010 - 2011,232.0,228.0,0.98,,,,,,
,,2011 - 2012,526.0,398.0,0.76,,,,,,
,,2012 - 2013,216.0,170.0,0.79,,,,,,
,,2013 - 2014,197.0,220.0,1.12,,,,,,
,,2014 - 2015,151.0,149.0,0.99,,,,,,
,,2015 - 2016,142.0,133.0,0.94,,,,,,
,,2016 - 2017,142.0,77.0,0.54,,,,,,
,,2017 - 2018,102.0,45.0,0.44,,,,,,
,,2018 - 2019,93.0,59.0,0.63,,,,,,
,,2019 - 2020,35.0,29.0,0.83,,,,,,
,,2020 - 2021,34.0,29.0,0.85,,,,,,
,,2021 - 2022,34.0,44.0,1.29,,,,,,
,,2022 - 2023,33.0,25.0,0.76,,,,,,
,Sitamarhi,2000 - 2001,,,0.61,,,,,,
,,2001 - 2002,,,0.82,,,,,,
,,2002 - 2003,,,0.61,,,,,,
,,2003 - 2004,,,0.84,,,,,,
,,2004 - 2005,,,0.52,,,,,,
,,2005 - 2006,,861.0,0.48,,,,,,
,,2006 - 2007,,,0.79,,,,,,
,,2007 - 2008,,,0.84,,,,,,
,,2008 - 2009,,,0.82,,,,,,
,,2009 - 2010,,,1.04,,,,,,
,,2010 - 2011,,,0.98,,,,,,
,,2011 - 2012,136.0,103.0,0.76,,,,,,
,,2012 - 2013,107.0,84.0,0.79,,,,,,
,,2013 - 2014,109.0,122.0,1.12,,,,,,
,,2014 - 2015,99.0,98.0,0.99,,,,,,
,,2015 - 2016,98.0,92.0,0.94,,,,,,
,,2016 - 2017,98.0,53.0,0.54,,,,,,
,,2017 - 2018,100.0,44.0,0.44,,,,,,
,,2018 - 2019,102.0,65.0,0.64,,,,,,
,,2019 - 2020,103.0,85.0,0.83,,,,,,
,,2020 - 2021,102.0,88.0,0.86,,,,,,
,,2021 - 2022,99.0,129.0,1.3,,,,,,
,,2022 - 2023,98.0,74.0,0.76,,,,,,
,Siwan,2004 - 2005,29.0,20.0,0.69,,,,,,
,,2005 - 2006,15.0,12.0,0.8,,,,,,
,,2006 - 2007,10.0,8.0,0.8,,,,,,
,,2007 - 2008,16.0,13.0,0.81,,,,,,
,,2009 - 2010,16.0,17.0,1.06,,,,,,
,Supaul,2000 - 2001,,,0.57,,,,,,
,,2001 - 2002,,,0.59,,,,,,
,,2002 - 2003,,,0.58,,,,,,
,,2003 - 2004,,,0.64,,,,,,
,,2004 - 2005,,,0.35,,,,,,
,,2005 - 2006,,,0.47,,,,,,
,,2006 - 2007,,,0.72,,,,,,
,,2007 - 2008,,,0.64,,,,,,
,,2008 - 2009,,,0.95,,,,,,
,,2009 - 2010,,971.0,0.33,,,,,,
,,2010 - 2011,,,0.58,,,,,,
,,2011 - 2012,,,0.59,,,,,,
,,2012 - 2013,,,0.68,,,,,,
,,2013 - 2014,,,0.83,,,,,,
,,2014 - 2015,,,0.66,,,,,,
,,2015 - 2016,,,0.89,,,,,,
,,2016 - 2017,,,1.06,,,,,,
,,2017 - 2018,,332.0,0.2,,,,,,
,,2018 - 2019,,991.0,0.54,,,,,,
,,2019 - 2020,,,1.03,,,,,,
,,2020 - 2021,,,0.85,,,,,,
,,2021 - 2022,,,1.37,,,,,,
,,2022 - 2023,,,1.1,,,,,,
,Vaishali,2000 - 2001,545.0,334.0,0.61,,,,,,
,,2001 - 2002,146.0,119.0,0.82,,,,,,
,,2002 - 2003,83.0,51.0,0.61,,,,,,
,,2003 - 2004,60.0,51.0,0.85,,,,,,
,,2004 - 2005,41.0,21.0,0.51,,,,,,
,,2005 - 2006,63.0,30.0,0.48,,,,,,
,,2006 - 2007,46.0,36.0,0.78,,,,,,
,,2007 - 2008,69.0,58.0,0.84,,,,,,
,,2008 - 2009,101.0,83.0,0.82,,,,,,
,,2009 - 2010,64.0,66.0,1.03,,,,,,
,,2010 - 2011,56.0,55.0,0.98,,,,,,
,,2011 - 2012,83.0,63.0,0.76,,,,,,
,,2012 - 2013,79.0,62.0,0.78,,,,,,
,,2013 - 2014,36.0,40.0,1.11,,,,,,
,,2014 - 2015,29.0,29.0,1.0,,,,,,
,,2015 - 2016,27.0,25.0,0.93,,,,,,
,,2016 - 2017,31.0,17.0,0.55,,,,,,
,,2017 - 2018,26.0,11.0,0.42,,,,,,
,,2018 - 2019,24.0,15.0,0.63,,,,,,
,,2019 - 2020,24.0,20.0,0.83,,,,,,
,,2020 - 2021,21.0,18.0,0.86,,,,,,
,,2021 - 2022,26.0,34.0,1.31,,,,,,
,,2022 - 2023,25.0,19.0,0.76,,,,,,
Chhattisgarh,Balod,2011 - 2012,,,0.53,,,,,,
,,2012 - 2013,,,0.42,,,,,,
,,2013 - 2014,,,0.42,,,,,,
,,2014 - 2015,,,0.73,,,,,,
,,2015 - 2016,,,0.4,,,,,,
,,2016 - 2017,,,1.64,,,,,,
,,2017 - 2018,,,0.42,,,,,,
,,2018 - 2019,,,0.57,,,,,,
,,2019 - 2020,,,0.24,,,,,,
,,2020 - 2021,,,0.53,,,,,,
,,2021 - 2022,,,0.45,,,,,,
,,2022 - 2023,,,0.59,,,,,,
,Baloda bazar,2011 - 2012,,,0.46,,,,,,
,,2012 - 2013,,,0.49,,,,,,
,,2013 - 2014,,,0.54,,,,,,
,,2014 - 2015,,,1.07,,,,,,
,,2015 - 2016,,,0.41,,,,,,
,,2016 - 2017,,,2.35,,,,,,
,,2017 - 2018,,,0.41,,,,,,
,,2018 - 2019,,,0.49,,,,,,
,,2019 - 2020,,735.0,0.24,,,,,,
,,2020 - 2021,,,0.47,,,,,,
,,2021 - 2022,,881.0,0.39,,,,,,
,,2022 - 2023,,989.0,0.57,,,,,,
,Balrampur,2016 - 2017,1.0,3.0,3.0,,,,,,
,,2017 - 2018,10.0,4.0,0.4,,,,,,
,,2018 - 2019,45.0,20.0,0.44,,,,,,
,,2019 - 2020,29.0,7.0,0.24,,,,,,
,,2020 - 2021,6.0,3.0,0.5,,,,,,
,,2021 - 2022,9.0,6.0,0.67,,,,,,
,Bastar,2000 - 2001,11.0,6.0,0.55,,,,,,
,,2001 - 2002,16.0,12.0,0.75,,,,,,
,,2002 - 2003,18.0,12.0,0.67,,,,,,
,,2003 - 2004,13.0,10.0,0.77,,,,,,
,,2004 - 2005,12.0,7.0,0.58,,,,,,
,,2005 - 2006,13.0,8.0,0.62,,,,,,
,,2006 - 2007,21.0,14.0,0.67,,,,,,
,,2007 - 2008,20.0,16.0,0.8,,,,,,
,,2008 - 2009,18.0,6.0,0.33,,,,,,
,,2009 - 2010,11.0,8.0,0.73,,,,,,
,,2010 - 2011,12.0,10.0,0.83,,,,,,
,,2012 - 2013,7.0,4.0,0.57,,,,,,
,,2013 - 2014,8.0,5.0,0.63,,,,,,
,,2014 - 2015,8.0,10.0,1.25,,,,,,
,,2015 - 2016,5.0,2.0,0.4,,,,,,
,,2016 - 2017,2.0,5.0,2.5,,,,,,
,,2017 - 2018,10.0,6.0,0.6,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,
,,2021 - 2022,5.0,4.0,0.8,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Bemetara,2011 - 2012,,,0.53,,,,,,
,,2012 - 2013,,,0.39,,,,,,
,,2013 - 2014,,,0.44,,,,,,
,,2014 - 2015,,,0.76,,,,,,
,,2015 - 2016,,,0.37,,,,,,
,,2016 - 2017,,,1.86,,,,,,
,,2017 - 2018,,,0.38,,,,,,
,,2018 - 2019,,,0.49,,,,,,
,,2019 - 2020,,,0.21,,,,,,
,,2020 - 2021,,,0.5,,,,,,
,,2021 - 2022,,,0.45,,,,,,
,,2022 - 2023,,,0.58,,,,,,
,Bilaspur,2000 - 2001,,,0.53,,,,,,
,,2001 - 2002,,,0.61,,,,,,
,,2002 - 2003,,,0.6,,,,,,
,,2003 - 2004,,,0.74,,,,,,
,,2004 - 2005,,,0.58,,,,,,
,,2005 - 2006,,,0.53,,,,,,
,,2006 - 2007,,,0.64,,,,,,
,,2007 - 2008,,,0.72,,,,,,
,,2008 - 2009,,,0.32,,,,,,
,,2009 - 2010,,,0.77,,,,,,
,,2010 - 2011,,,0.79,,,,,,
,,2011 - 2012,,,0.77,,,,,,
,,2012 - 2013,,,0.65,,,,,,
,,2013 - 2014,,,0.73,,,,,,
,,2014 - 2015,,,1.24,,,,,,
,,2015 - 2016,,,0.63,,,,,,
,,2016 - 2017,,,1.08,,,,,,
,,2017 - 2018,,,0.66,,,,,,
,,2018 - 2019,,,0.76,,,,,,
,,2019 - 2020,,,0.34,,,,,,
,,2020 - 2021,,,0.67,,,,,,
,,2021 - 2022,,,0.67,,,,,,
,,2022 - 2023,,,0.78,,,,,,
,Dhamtari,2000 - 2001,,,0.52,,,,,,
,,2001 - 2002,,,0.57,,,,,,
,,2002 - 2003,,,0.61,,,,,,
,,2003 - 2004,,,0.62,,,,,,
,,2004 - 2005,,,0.44,,,,,,
,,2005 - 2006,,,0.47,,,,,,
,,2006 - 2007,,,0.56,,,,,,
,,2007 - 2008,,,1.25,,,,,,
,,2008 - 2009,,,0.55,,,,,,
,,2009 - 2010,,,0.66,,,,,,
,,2010 - 2011,,,0.65,,,,,,
,,2011 - 2012,,,0.64,,,,,,
,,2012 - 2013,,,0.5,,,,,,
,,2013 - 2014,,,0.6,,,,,,
,,2014 - 2015,,,1.01,,,,,,
,,2015 - 2016,,,0.63,,,,,,
,,2016 - 2017,,,1.17,,,,,,
,,2017 - 2018,,,0.66,,,,,,
,,2018 - 2019,,,0.62,,,,,,
,,2019 - 2020,,,0.36,,,,,,
,,2020 - 2021,,,0.75,,,,,,
,,2021 - 2022,,,0.62,,,,,,
,,2022 - 2023,,,0.79,,,,,,
,Durg,2000 - 2001,,,0.37,,,,,,
,,2001 - 2002,,,0.53,,,,,,
,,2002 - 2003,,,0.47,,,,,,
,,2003 - 2004,,,0.56,,,,,,
,,2004 - 2005,,,0.28,,,,,,
,,2005 - 2006,,,0.46,,,,,,
,,2006 - 2007,,,0.51,,,,,,
,,2007 - 2008,,,2.61,,,,,,
,,2008 - 2009,,,1.15,,,,,,
,,2009 - 2010,,,0.49,,,,,,
,,2010 - 2011,,,0.54,,,,,,
,,2011 - 2012,,,0.53,,,,,,
,,2012 - 2013,,,0.42,,,,,,
,,2013 - 2014,,,0.42,,,,,,
,,2014 - 2015,,,0.83,,,,,,
,,2015 - 2016,,,0.51,,,,,,
,,2016 - 2017,,,1.03,,,,,,
,,2017 - 2018,,,0.58,,,,,,
,,2018 - 2019,,,0.76,,,,,,
,,2019 - 2020,,701.0,0.08,,,,,,
,,2020 - 2021,,,0.58,,,,,,
,,2021 - 2022,,,0.48,,,,,,
,,2022 - 2023,,,0.68,,,,,,
,Gariyaband,2011 - 2012,,,0.46,,,,,,
,,2012 - 2013,,,0.42,,,,,,
,,2013 - 2014,,,0.5,,,,,,
,,2014 - 2015,,,0.77,,,,,,
,,2015 - 2016,,,0.47,,,,,,
,,2016 - 2017,,,1.57,,,,,,
,,2017 - 2018,,,0.45,,,,,,
,,2018 - 2019,,,0.62,,,,,,
,,2019 - 2020,,377.0,0.27,,,,,,
,,2020 - 2021,833.0,524.0,0.63,,,,,,
,,2021 - 2022,809.0,424.0,0.52,,,,,,
,,2022 - 2023,,666.0,0.58,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,270.0,91.0,0.34,,,,,,
,,2020 - 2021,682.0,565.0,0.83,,,,,,
,,2021 - 2022,657.0,453.0,0.69,,,,,,
,,2022 - 2023,332.0,266.0,0.8,,,,,,
,Janjgir-champa,2000 - 2001,,,0.56,,,,,,
,,2001 - 2002,,,0.7,,,,,,
,,2002 - 2003,,,0.6,,,,,,
,,2003 - 2004,,,0.73,,,,,,
,,2004 - 2005,,,0.51,,,,,,
,,2005 - 2006,,,0.55,,,,,,
,,2006 - 2007,,,0.67,,,,,,
,,2007 - 2008,,,0.72,,,,,,
,,2008 - 2009,,,0.32,,,,,,
,,2009 - 2010,,,0.77,,,,,,
,,2010 - 2011,,,0.79,,,,,,
,,2011 - 2012,,,0.77,,,,,,
,,2012 - 2013,,,0.58,,,,,,
,,2013 - 2014,,,0.79,,,,,,
,,2014 - 2015,,,1.14,,,,,,
,,2015 - 2016,,,0.64,,,,,,
,,2016 - 2017,,,1.17,,,,,,
,,2017 - 2018,696.0,458.0,0.66,,,,,,
,,2018 - 2019,40.0,31.0,0.78,,,,,,
,,2019 - 2020,29.0,11.0,0.38,,,,,,
,,2020 - 2021,30.0,23.0,0.77,,,,,,
,,2021 - 2022,14.0,10.0,0.71,,,,,,
,,2022 - 2023,18.0,16.0,0.89,,,,,,
,Jashpur,2000 - 2001,185.0,75.0,0.41,,,,,,
,,2001 - 2002,202.0,90.0,0.45,,,,,,
,,2002 - 2003,206.0,102.0,0.5,,,,,,
,,2003 - 2004,227.0,118.0,0.52,,,,,,
,,2004 - 2005,218.0,86.0,0.39,,,,,,
,,2005 - 2006,220.0,76.0,0.35,,,,,,
,,2006 - 2007,323.0,169.0,0.52,,,,,,
,,2007 - 2008,306.0,126.0,0.41,,,,,,
,,2008 - 2009,315.0,57.0,0.18,,,,,,
,,2009 - 2010,319.0,159.0,0.5,,,,,,
,,2010 - 2011,324.0,171.0,0.53,,,,,,
,,2011 - 2012,303.0,132.0,0.44,,,,,,
,,2012 - 2013,267.0,113.0,0.42,,,,,,
,,2013 - 2014,269.0,129.0,0.48,,,,,,
,,2014 - 2015,298.0,254.0,0.85,,,,,,
,,2015 - 2016,276.0,134.0,0.49,,,,,,
,,2016 - 2017,123.0,221.0,1.8,,,,,,
,,2017 - 2018,123.0,52.0,0.42,,,,,,
,,2018 - 2019,11.0,6.0,0.55,,,,,,
,,2019 - 2020,50.0,10.0,0.2,,,,,,
,,2020 - 2021,54.0,28.0,0.52,,,,,,
,,2021 - 2022,89.0,42.0,0.47,,,,,,
,,2022 - 2023,289.0,137.0,0.47,,,,,,
,Kabirdham,2000 - 2001,,,0.26,,,,,,
,,2001 - 2002,,,0.49,,,,,,
,,2002 - 2003,,,0.48,,,,,,
,,2003 - 2004,,,0.5,,,,,,
,,2004 - 2005,,,0.31,,,,,,
,,2005 - 2006,,,0.33,,,,,,
,,2006 - 2007,,,0.39,,,,,,
,,2007 - 2008,,,0.43,,,,,,
,,2008 - 2009,,,0.19,,,,,,
,,2009 - 2010,,,0.4,,,,,,
,,2010 - 2011,,,0.51,,,,,,
,,2011 - 2012,,,0.5,,,,,,
,,2012 - 2013,,8.0,0.0,,,,,,
,,2013 - 2014,,,0.39,,,,,,
,,2014 - 2015,,,0.73,,,,,,
,,2015 - 2016,,,0.35,,,,,,
,,2016 - 2017,,,1.99,,,,,,
,,2017 - 2018,,,0.39,,,,,,
,,2018 - 2019,,,0.36,,,,,,
,,2019 - 2020,,,0.19,,,,,,
,,2020 - 2021,,,0.38,,,,,,
,,2021 - 2022,,,0.4,,,,,,
,,2022 - 2023,,,0.54,,,,,,
,Kanker,2000 - 2001,,777.0,0.54,,,,,,
,,2001 - 2002,,,0.87,,,,,,
,,2002 - 2003,,561.0,0.52,,,,,,
,,2003 - 2004,,,0.96,,,,,,
,,2004 - 2005,,,0.66,,,,,,
,,2005 - 2006,,,0.63,,,,,,
,,2006 - 2007,,,0.74,,,,,,
,,2007 - 2008,,,0.82,,,,,,
,,2008 - 2009,,671.0,0.36,,,,,,
,,2009 - 2010,,,0.8,,,,,,
,,2010 - 2011,,,0.95,,,,,,
,,2011 - 2012,,,0.86,,,,,,
,,2012 - 2013,,917.0,0.67,,,,,,
,,2013 - 2014,,864.0,0.7,,,,,,
,,2014 - 2015,,,1.25,,,,,,
,,2015 - 2016,,694.0,0.61,,,,,,
,,2016 - 2017,890.0,942.0,1.06,,,,,,
,,2017 - 2018,785.0,483.0,0.62,,,,,,
,,2018 - 2019,554.0,405.0,0.73,,,,,,
,,2019 - 2020,408.0,122.0,0.3,,,,,,
,,2020 - 2021,192.0,151.0,0.79,,,,,,
,,2021 - 2022,112.0,64.0,0.57,,,,,,
,,2022 - 2023,84.0,70.0,0.83,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,897.0,473.0,0.53,,,,,,
,Kondagaon,2011 - 2012,28.0,22.0,0.79,,,,,,
,,2012 - 2013,13.0,7.0,0.54,,,,,,
,,2013 - 2014,9.0,6.0,0.67,,,,,,
,,2014 - 2015,9.0,10.0,1.11,,,,,,
,,2015 - 2016,8.0,4.0,0.5,,,,,,
,,2016 - 2017,11.0,13.0,1.18,,,,,,
,,2017 - 2018,13.0,8.0,0.62,,,,,,
,,2018 - 2019,10.0,9.0,0.9,,,,,,
,,2019 - 2020,3.0,1.0,0.33,,,,,,
,,2020 - 2021,4.0,3.0,0.75,,,,,,
,,2021 - 2022,17.0,9.0,0.53,,,,,,
,,2022 - 2023,19.0,16.0,0.84,,,,,,
,Korba,2000 - 2001,,900.0,0.53,,,,,,
,,2001 - 2002,,,0.65,,,,,,
,,2002 - 2003,,,0.59,,,,,,
,,2003 - 2004,,,0.61,,,,,,
,,2004 - 2005,,975.0,0.41,,,,,,
,,2005 - 2006,,,0.55,,,,,,
,,2006 - 2007,,,0.51,,,,,,
,,2007 - 2008,,,0.54,,,,,,
,,2008 - 2009,,683.0,0.24,,,,,,
,,2009 - 2010,,,0.56,,,,,,
,,2010 - 2011,,,0.71,,,,,,
,,2011 - 2012,,,0.55,,,,,,
,,2012 - 2013,,,0.53,,,,,,
,,2013 - 2014,,,0.51,,,,,,
,,2014 - 2015,,,1.03,,,,,,
,,2015 - 2016,,,0.4,,,,,,
,,2016 - 2017,,,1.4,,,,,,
,,2017 - 2018,975.0,535.0,0.55,,,,,,
,,2018 - 2019,663.0,423.0,0.64,,,,,,
,,2019 - 2020,298.0,77.0,0.26,,,,,,
