state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2016 - 2017,51.0,10.0,0.2,,,,,,,,,,,,
,,2017 - 2018,6.0,1.0,0.17,,,,,,,,,,,,
,,2018 - 2019,13.0,3.0,0.23,,,,,,,,,,,,
,,2019 - 2020,4.0,1.0,0.25,,,,,,,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,,,,,,,
,,2021 - 2022,10.0,14.0,1.4,,,,,,,,,,,,
,,2022 - 2023,10.0,4.0,0.4,,,,,,,,,,,,
,Durg,2000 - 2001,,,0.08,,,,,,,,,,,,
,,2001 - 2002,,,0.21,,,,,,,,,,,,
,,2002 - 2003,,,0.12,,,,,,,,,,,,
,,2003 - 2004,,,0.24,,,,,,,,,,,,
,,2004 - 2005,,,0.19,,,,,,,,,,,,
,,2005 - 2006,,,0.17,,,,,,,,,,,,
,,2006 - 2007,,,0.18,,,,,,,,,,,,
,,2007 - 2008,,,0.24,,,,,,,,,,,,
,,2008 - 2009,,605.0,0.15,,,,,,,,,,,,
,,2009 - 2010,,485.0,0.15,,,,,,,,,,,,
,,2010 - 2011,,493.0,0.19,,,,,,,,,,,,
,,2011 - 2012,84.0,11.0,0.13,,,,,,,,,,,,
,,2012 - 2013,43.0,8.0,0.19,,,,,,,,,,,,
,,2013 - 2014,58.0,7.0,0.12,,,,,,,,,,,,
,,2014 - 2015,31.0,6.0,0.19,,,,,,,,,,,,
,,2015 - 2016,91.0,13.0,0.14,,,,,,,,,,,,
,,2016 - 2017,160.0,26.0,0.16,,,,,,,,,,,,
,,2017 - 2018,854.0,182.0,0.21,,,,,,,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,,,,,,,
,,2019 - 2020,765.0,2.0,0.0,,,,,,,,,,,,
,,2020 - 2021,9.0,5.0,0.56,,,,,,,,,,,,
,,2021 - 2022,35.0,20.0,0.57,,,,,,,,,,,,
,,2022 - 2023,191.0,121.0,0.63,,,,,,,,,,,,
,Gariyaband,2011 - 2012,,525.0,0.15,,,,,,,,,,,,
,,2012 - 2013,,442.0,0.26,,,,,,,,,,,,
,,2013 - 2014,460.0,67.0,0.15,,,,,,,,,,,,
,,2014 - 2015,391.0,59.0,0.15,,,,,,,,,,,,
,,2015 - 2016,345.0,50.0,0.14,,,,,,,,,,,,
,,2016 - 2017,198.0,41.0,0.21,,,,,,,,,,,,
,,2017 - 2018,130.0,18.0,0.14,,,,,,,,,,,,
,,2018 - 2019,130.0,32.0,0.25,,,,,,,,,,,,
,,2019 - 2020,149.0,35.0,0.23,,,,,,,,,,,,
,,2020 - 2021,29.0,10.0,0.34,,,,,,,,,,,,
,,2021 - 2022,76.0,29.0,0.38,,,,,,,,,,,,
,,2022 - 2023,142.0,53.0,0.37,,,,,,,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,651.0,253.0,0.39,,,,,,,,,,,,
,,2020 - 2021,433.0,246.0,0.57,,,,,,,,,,,,
,,2021 - 2022,512.0,367.0,0.72,,,,,,,,,,,,
,,2022 - 2023,493.0,349.0,0.71,,,,,,,,,,,,
,Janjgir-champa,2000 - 2001,67.0,14.0,0.21,,,,,,,,,,,,
,,2001 - 2002,48.0,14.0,0.29,,,,,,,,,,,,
,,2002 - 2003,32.0,8.0,0.25,,,,,,,,,,,,
,,2003 - 2004,41.0,15.0,0.37,,,,,,,,,,,,
,,2004 - 2005,30.0,8.0,0.27,,,,,,,,,,,,
,,2005 - 2006,30.0,7.0,0.23,,,,,,,,,,,,
,,2006 - 2007,27.0,7.0,0.26,,,,,,,,,,,,
,,2007 - 2008,25.0,9.0,0.36,,,,,,,,,,,,
,,2008 - 2009,18.0,5.0,0.28,,,,,,,,,,,,
,,2009 - 2010,13.0,4.0,0.31,,,,,,,,,,,,
,,2010 - 2011,21.0,6.0,0.29,,,,,,,,,,,,
,,2011 - 2012,16.0,5.0,0.31,,,,,,,,,,,,
,,2012 - 2013,9.0,3.0,0.33,,,,,,,,,,,,
,,2013 - 2014,12.0,4.0,0.33,,,,,,,,,,,,
,,2014 - 2015,11.0,2.0,0.18,,,,,,,,,,,,
,,2015 - 2016,,,0.18,,,,,,,,,,,,
,,2016 - 2017,28.0,5.0,0.18,,,,,,,,,,,,
,,2017 - 2018,158.0,16.0,0.1,,,,,,,,,,,,
,Jashpur,2000 - 2001,,,0.2,,,,,,,,,,,,
,,2001 - 2002,,,0.28,,,,,,,,,,,,
,,2002 - 2003,,,0.23,,,,,,,,,,,,
,,2003 - 2004,,,0.31,,,,,,,,,,,,
,,2004 - 2005,,,0.28,,,,,,,,,,,,
,,2005 - 2006,,,0.2,,,,,,,,,,,,
,,2006 - 2007,,,0.32,,,,,,,,,,,,
,,2007 - 2008,,,0.3,,,,,,,,,,,,
,,2008 - 2009,,,0.26,,,,,,,,,,,,
,,2009 - 2010,,770.0,0.17,,,,,,,,,,,,
,,2010 - 2011,,942.0,0.26,,,,,,,,,,,,
,,2011 - 2012,,809.0,0.25,,,,,,,,,,,,
,,2012 - 2013,,839.0,0.27,,,,,,,,,,,,
,,2013 - 2014,,930.0,0.27,,,,,,,,,,,,
,,2014 - 2015,,952.0,0.29,,,,,,,,,,,,
,,2015 - 2016,,733.0,0.24,,,,,,,,,,,,
,,2016 - 2017,,,0.37,,,,,,,,,,,,
,,2017 - 2018,,820.0,0.45,,,,,,,,,,,,
,,2018 - 2019,,,0.41,,,,,,,,,,,,
,,2019 - 2020,,955.0,0.36,,,,,,,,,,,,
,,2020 - 2021,,899.0,0.34,,,,,,,,,,,,
,,2021 - 2022,,659.0,0.26,,,,,,,,,,,,
,,2022 - 2023,,,0.39,,,,,,,,,,,,
,Kabirdham,2000 - 2001,,,0.13,,,,,,,,,,,,
,,2001 - 2002,,,0.28,,,,,,,,,,,,
,,2002 - 2003,,,0.18,,,,,,,,,,,,
,,2003 - 2004,,,0.27,,,,,,,,,,,,
,,2004 - 2005,,,0.24,,,,,,,,,,,,
,,2005 - 2006,,,0.2,,,,,,,,,,,,
,,2006 - 2007,,,0.28,,,,,,,,,,,,
,,2007 - 2008,,,0.27,,,,,,,,,,,,
,,2008 - 2009,,,0.22,,,,,,,,,,,,
,,2009 - 2010,,,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.17,,,,,,,,,,,,
,,2011 - 2012,,,0.17,,,,,,,,,,,,
,,2012 - 2013,,,0.23,,,,,,,,,,,,
,,2013 - 2014,,,0.25,,,,,,,,,,,,
,,2014 - 2015,,,0.27,,,,,,,,,,,,
,,2015 - 2016,,,0.22,,,,,,,,,,,,
,,2016 - 2017,,,0.4,,,,,,,,,,,,
,,2017 - 2018,,,0.3,,,,,,,,,,,,
,,2018 - 2019,,,0.32,,,,,,,,,,,,
,,2019 - 2020,,,0.34,,,,,,,,,,,,
,,2020 - 2021,,,0.36,,,,,,,,,,,,
,,2021 - 2022,,,0.52,,,,,,,,,,,,
,,2022 - 2023,,,0.48,,,,,,,,,,,,
,Kanker,2000 - 2001,,,0.13,,,,,,,,,,,,
,,2001 - 2002,,,0.24,,,,,,,,,,,,
,,2002 - 2003,,,0.08,,,,,,,,,,,,
,,2003 - 2004,,,0.25,,,,,,,,,,,,
,,2004 - 2005,,,0.21,,,,,,,,,,,,
,,2005 - 2006,,,0.18,,,,,,,,,,,,
,,2006 - 2007,,,0.11,,,,,,,,,,,,
,,2007 - 2008,,,0.25,,,,,,,,,,,,
,,2008 - 2009,,,0.19,,,,,,,,,,,,
,,2009 - 2010,,,0.28,,,,,,,,,,,,
,,2010 - 2011,,,0.33,,,,,,,,,,,,
,,2011 - 2012,,,0.13,,,,,,,,,,,,
,,2012 - 2013,,,0.19,,,,,,,,,,,,
,,2013 - 2014,,,0.22,,,,,,,,,,,,
,,2014 - 2015,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,0.16,,,,,,,,,,,,
,,2016 - 2017,,,0.51,,,,,,,,,,,,
,,2017 - 2018,,,0.18,,,,,,,,,,,,
,,2018 - 2019,,,0.47,,,,,,,,,,,,
,,2019 - 2020,,,0.43,,,,,,,,,,,,
,,2020 - 2021,,,0.46,,,,,,,,,,,,
,,2021 - 2022,,,0.64,,,,,,,,,,,,
,,2022 - 2023,,,0.55,,,,,,,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,,,0.82,,,,,,,,,,,,
,Kondagaon,2011 - 2012,,247.0,0.2,,,,,,,,,,,,
,,2012 - 2013,,219.0,0.18,,,,,,,,,,,,
,,2013 - 2014,953.0,174.0,0.18,,,,,,,,,,,,
,,2014 - 2015,840.0,172.0,0.2,,,,,,,,,,,,
,,2015 - 2016,784.0,74.0,0.09,,,,,,,,,,,,
,,2016 - 2017,852.0,258.0,0.3,,,,,,,,,,,,
,,2017 - 2018,785.0,173.0,0.22,,,,,,,,,,,,
,,2018 - 2019,698.0,234.0,0.34,,,,,,,,,,,,
,,2019 - 2020,,337.0,0.29,,,,,,,,,,,,
,,2020 - 2021,,,0.88,,,,,,,,,,,,
,,2021 - 2022,,,1.49,,,,,,,,,,,,
,,2022 - 2023,863.0,848.0,0.98,,,,,,,,,,,,
,Korba,2000 - 2001,,707.0,0.18,,,,,,,,,,,,
,,2001 - 2002,,978.0,0.29,,,,,,,,,,,,
,,2002 - 2003,,632.0,0.21,,,,,,,,,,,,
,,2003 - 2004,,727.0,0.27,,,,,,,,,,,,
,,2004 - 2005,,528.0,0.22,,,,,,,,,,,,
,,2005 - 2006,,534.0,0.23,,,,,,,,,,,,
,,2006 - 2007,,543.0,0.24,,,,,,,,,,,,
,,2007 - 2008,,592.0,0.28,,,,,,,,,,,,
,,2008 - 2009,,583.0,0.27,,,,,,,,,,,,
,,2009 - 2010,,448.0,0.21,,,,,,,,,,,,
,,2010 - 2011,,508.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,611.0,0.31,,,,,,,,,,,,
,,2012 - 2013,,418.0,0.24,,,,,,,,,,,,
,,2013 - 2014,,432.0,0.25,,,,,,,,,,,,
,,2014 - 2015,,593.0,0.33,,,,,,,,,,,,
,,2015 - 2016,,361.0,0.22,,,,,,,,,,,,
,,2016 - 2017,,453.0,0.42,,,,,,,,,,,,
,,2017 - 2018,,345.0,0.33,,,,,,,,,,,,
,,2018 - 2019,721.0,303.0,0.42,,,,,,,,,,,,
,,2019 - 2020,670.0,247.0,0.37,,,,,,,,,,,,
,,2020 - 2021,475.0,195.0,0.41,,,,,,,,,,,,
,,2021 - 2022,425.0,211.0,0.5,,,,,,,,,,,,
,,2022 - 2023,502.0,206.0,0.41,,,,,,,,,,,,
,Korea,2000 - 2001,,,0.19,,,,,,,,,,,,
,,2001 - 2002,,,0.26,,,,,,,,,,,,
,,2002 - 2003,,,0.2,,,,,,,,,,,,
,,2003 - 2004,,,0.26,,,,,,,,,,,,
,,2004 - 2005,,,0.15,,,,,,,,,,,,
,,2005 - 2006,,,0.15,,,,,,,,,,,,
,,2006 - 2007,,,0.18,,,,,,,,,,,,
,,2007 - 2008,,,0.23,,,,,,,,,,,,
,,2008 - 2009,,,0.21,,,,,,,,,,,,
,,2009 - 2010,,,0.15,,,,,,,,,,,,
,,2010 - 2011,,,0.21,,,,,,,,,,,,
,,2011 - 2012,,,0.22,,,,,,,,,,,,
,,2012 - 2013,,,0.21,,,,,,,,,,,,
,,2013 - 2014,,,0.18,,,,,,,,,,,,
,,2014 - 2015,,,0.24,,,,,,,,,,,,
,,2015 - 2016,,,0.21,,,,,,,,,,,,
,,2016 - 2017,,,0.29,,,,,,,,,,,,
,,2017 - 2018,,,0.28,,,,,,,,,,,,
,,2018 - 2019,,,0.36,,,,,,,,,,,,
,,2019 - 2020,,,0.29,,,,,,,,,,,,
,,2020 - 2021,,674.0,0.24,,,,,,,,,,,,
,,2021 - 2022,,789.0,0.27,,,,,,,,,,,,
,,2022 - 2023,608.0,210.0,0.35,,,,,,,,,,,,
,Mahasamund,2000 - 2001,,194.0,0.12,,,,,,,,,,,,
,,2001 - 2002,,177.0,0.13,,,,,,,,,,,,
,,2002 - 2003,,91.0,0.08,,,,,,,,,,,,
,,2003 - 2004,945.0,139.0,0.15,,,,,,,,,,,,
,,2004 - 2005,776.0,97.0,0.13,,,,,,,,,,,,
,,2005 - 2006,786.0,83.0,0.11,,,,,,,,,,,,
,,2006 - 2007,610.0,84.0,0.14,,,,,,,,,,,,
,,2007 - 2008,,,0.23,,,,,,,,,,,,
,,2008 - 2009,325.0,37.0,0.11,,,,,,,,,,,,
,,2009 - 2010,255.0,29.0,0.11,,,,,,,,,,,,
,,2010 - 2011,173.0,24.0,0.14,,,,,,,,,,,,
,,2011 - 2012,164.0,23.0,0.14,,,,,,,,,,,,
,,2012 - 2013,140.0,23.0,0.16,,,,,,,,,,,,
,,2013 - 2014,131.0,22.0,0.17,,,,,,,,,,,,
,,2014 - 2015,133.0,26.0,0.2,,,,,,,,,,,,
,,2015 - 2016,127.0,21.0,0.17,,,,,,,,,,,,
,,2016 - 2017,87.0,21.0,0.24,,,,,,,,,,,,
,,2017 - 2018,110.0,19.0,0.17,,,,,,,,,,,,
,,2018 - 2019,70.0,19.0,0.27,,,,,,,,,,,,
,,2019 - 2020,56.0,12.0,0.21,,,,,,,,,,,,
,,2020 - 2021,10.0,2.0,0.2,,,,,,,,,,,,
,,2021 - 2022,21.0,3.0,0.14,,,,,,,,,,,,
,,2022 - 2023,13.0,4.0,0.31,,,,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,,790.0,0.36,,,,,,,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,,,0.69,,,,,,,,,,,,
,Mungeli,2011 - 2012,732.0,211.0,0.29,,,,,,,,,,,,
,,2012 - 2013,668.0,197.0,0.29,,,,,,,,,,,,
,,2013 - 2014,614.0,206.0,0.34,,,,,,,,,,,,
,,2014 - 2015,461.0,173.0,0.38,,,,,,,,,,,,
,,2015 - 2016,340.0,113.0,0.33,,,,,,,,,,,,
,,2016 - 2017,365.0,181.0,0.5,,,,,,,,,,,,
,,2017 - 2018,98.0,27.0,0.28,,,,,,,,,,,,
,,2018 - 2019,16.0,6.0,0.38,,,,,,,,,,,,
,,2019 - 2020,133.0,48.0,0.36,,,,,,,,,,,,
,,2020 - 2021,191.0,84.0,0.44,,,,,,,,,,,,
,,2021 - 2022,637.0,309.0,0.49,,,,,,,,,,,,
,,2022 - 2023,607.0,294.0,0.48,,,,,,,,,,,,
,Narayanpur,2006 - 2007,,1.0,0.0,,,,,,,,,,,,
,,2007 - 2008,,656.0,0.22,,,,,,,,,,,,
,,2008 - 2009,,483.0,0.16,,,,,,,,,,,,
,,2009 - 2010,,457.0,0.15,,,,,,,,,,,,
,,2010 - 2011,,700.0,0.19,,,,,,,,,,,,
,,2011 - 2012,,563.0,0.2,,,,,,,,,,,,
,,2012 - 2013,,460.0,0.17,,,,,,,,,,,,
,,2013 - 2014,,455.0,0.18,,,,,,,,,,,,
,,2014 - 2015,,480.0,0.2,,,,,,,,,,,,
,,2015 - 2016,,196.0,0.09,,,,,,,,,,,,
,,2016 - 2017,,363.0,0.17,,,,,,,,,,,,
,,2017 - 2018,,385.0,0.19,,,,,,,,,,,,
,,2018 - 2019,,772.0,0.35,,,,,,,,,,,,
,,2019 - 2020,,412.0,0.25,,,,,,,,,,,,
,,2020 - 2021,745.0,200.0,0.27,,,,,,,,,,,,
,,2021 - 2022,548.0,192.0,0.35,,,,,,,,,,,,
,,2022 - 2023,660.0,179.0,0.27,,,,,,,,,,,,
,Raigarh,2000 - 2001,,186.0,0.15,,,,,,,,,,,,
,,2001 - 2002,983.0,271.0,0.28,,,,,,,,,,,,
,,2002 - 2003,874.0,152.0,0.17,,,,,,,,,,,,
,,2003 - 2004,736.0,182.0,0.25,,,,,,,,,,,,
,,2004 - 2005,,98.0,0.04,,,,,,,,,,,,
,,2005 - 2006,454.0,95.0,0.21,,,,,,,,,,,,
,,2006 - 2007,362.0,,16.4,,,,,,,,,,,,
,,2007 - 2008,304.0,96.0,0.32,,,,,,,,,,,,
,,2008 - 2009,270.0,70.0,0.26,,,,,,,,,,,,
,,2009 - 2010,254.0,58.0,0.23,,,,,,,,,,,,
,,2010 - 2011,253.0,64.0,0.25,,,,,,,,,,,,
,,2011 - 2012,244.0,60.0,0.25,,,,,,,,,,,,
,,2012 - 2013,227.0,64.0,0.28,,,,,,,,,,,,
,,2013 - 2014,216.0,58.0,0.27,,,,,,,,,,,,
,,2014 - 2015,233.0,79.0,0.34,,,,,,,,,,,,
,,2015 - 2016,235.0,68.0,0.29,,,,,,,,,,,,
,,2016 - 2017,104.0,46.0,0.44,,,,,,,,,,,,
,,2017 - 2018,34.0,11.0,0.32,,,,,,,,,,,,
,,2018 - 2019,324.0,143.0,0.44,,,,,,,,,,,,
,,2019 - 2020,23.0,8.0,0.35,,,,,,,,,,,,
,,2020 - 2021,10.0,4.0,0.4,,,,,,,,,,,,
,,2021 - 2022,16.0,21.0,1.31,,,,,,,,,,,,
,,2022 - 2023,90.0,35.0,0.39,,,,,,,,,,,,
,Raipur,2000 - 2001,,527.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.15,,,,,,,,,,,,
,,2002 - 2003,,738.0,0.1,,,,,,,,,,,,
,,2003 - 2004,,911.0,0.15,,,,,,,,,,,,
,,2004 - 2005,,,0.18,,,,,,,,,,,,
,,2005 - 2006,,878.0,0.14,,,,,,,,,,,,
,,2006 - 2007,,745.0,0.14,,,,,,,,,,,,
,,2007 - 2008,,788.0,0.16,,,,,,,,,,,,
,,2008 - 2009,,640.0,0.14,,,,,,,,,,,,
,,2009 - 2010,,439.0,0.1,,,,,,,,,,,,
,,2010 - 2011,,611.0,0.15,,,,,,,,,,,,
,,2011 - 2012,16.0,2.0,0.13,,,,,,,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,,,,,,,
,,2013 - 2014,8.0,1.0,0.13,,,,,,,,,,,,
,,2014 - 2015,5.0,1.0,0.2,,,,,,,,,,,,
,,2015 - 2016,4.0,0.0,0.0,,,,,,,,,,,,
,,2016 - 2017,2.0,,0.0,,,,,,,,,,,,
,,2017 - 2018,2.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,5.0,1.0,0.2,,,,,,,,,,,,
,,2020 - 2021,10.0,2.0,0.2,,,,,,,,,,,,
,,2021 - 2022,10.0,3.0,0.3,,,,,,,,,,,,
,,2022 - 2023,8.0,4.0,0.5,,,,,,,,,,,,
,Rajnandgaon,2000 - 2001,,,0.17,,,,,,,,,,,,
,,2001 - 2002,,,0.27,,,,,,,,,,,,
,,2002 - 2003,,,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.28,,,,,,,,,,,,
,,2004 - 2005,,,0.25,,,,,,,,,,,,
,,2005 - 2006,,,0.21,,,,,,,,,,,,
,,2006 - 2007,,,0.24,,,,,,,,,,,,
,,2007 - 2008,,,0.31,,,,,,,,,,,,
,,2008 - 2009,,,0.18,,,,,,,,,,,,
,,2009 - 2010,,,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.16,,,,,,,,,,,,
,,2011 - 2012,,,0.16,,,,,,,,,,,,
,,2012 - 2013,,,0.23,,,,,,,,,,,,
,,2013 - 2014,,,0.24,,,,,,,,,,,,
,,2014 - 2015,,,0.29,,,,,,,,,,,,
,,2015 - 2016,,984.0,0.21,,,,,,,,,,,,
,,2016 - 2017,,,0.38,,,,,,,,,,,,
,,2017 - 2018,,886.0,0.22,,,,,,,,,,,,
,,2018 - 2019,,,0.48,,,,,,,,,,,,
,,2019 - 2020,,788.0,0.45,,,,,,,,,,,,
,,2020 - 2021,,,0.72,,,,,,,,,,,,
,,2021 - 2022,,,0.79,,,,,,,,,,,,
,,2022 - 2023,231.0,174.0,0.75,,,,,,,,,,,,
,Sarangarh bilaigarh,2022 - 2023,,23.0,0.0,,,,,,,,,,,,
,Sukma,2011 - 2012,,,0.21,,,,,,,,,,,,
,,2012 - 2013,,,0.22,,,,,,,,,,,,
,,2013 - 2014,,,0.19,,,,,,,,,,,,
,,2014 - 2015,,,0.2,,,,,,,,,,,,
,,2015 - 2016,,,0.19,,,,,,,,,,,,
,,2016 - 2017,,,0.19,,,,,,,,,,,,
,,2017 - 2018,,,0.23,,,,,,,,,,,,
,,2018 - 2019,,,0.34,,,,,,,,,,,,
,,2019 - 2020,,,0.29,,,,,,,,,,,,
,,2020 - 2021,,,0.46,,,,,,,,,,,,
,,2021 - 2022,,838.0,0.46,,,,,,,,,,,,
,,2022 - 2023,,738.0,0.38,,,,,,,,,,,,
,Surajpur,2011 - 2012,,,0.26,,,,,,,,,,,,
,,2012 - 2013,,,0.23,,,,,,,,,,,,
,,2013 - 2014,,,0.24,,,,,,,,,,,,
,,2014 - 2015,,,0.28,,,,,,,,,,,,
,,2015 - 2016,,,0.21,,,,,,,,,,,,
,,2016 - 2017,,,0.24,,,,,,,,,,,,
,,2017 - 2018,,939.0,0.42,,,,,,,,,,,,
,,2018 - 2019,,,0.31,,,,,,,,,,,,
,,2019 - 2020,,988.0,0.28,,,,,,,,,,,,
,,2020 - 2021,,842.0,0.28,,,,,,,,,,,,
,,2021 - 2022,,608.0,0.36,,,,,,,,,,,,
,,2022 - 2023,,486.0,0.3,,,,,,,,,,,,
,Surguja,2000 - 2001,,,0.24,,,,,,,,,,,,
,,2001 - 2002,,,0.28,,,,,,,,,,,,
,,2002 - 2003,,,0.22,,,,,,,,,,,,
,,2003 - 2004,,,0.28,,,,,,,,,,,,
,,2004 - 2005,,,0.65,,,,,,,,,,,,
,,2005 - 2006,,,0.15,,,,,,,,,,,,
,,2006 - 2007,,,0.08,,,,,,,,,,,,
,,2007 - 2008,,,0.25,,,,,,,,,,,,
,,2008 - 2009,,,0.24,,,,,,,,,,,,
,,2009 - 2010,,,0.22,,,,,,,,,,,,
,,2010 - 2011,,,0.19,,,,,,,,,,,,
,,2011 - 2012,,800.0,0.26,,,,,,,,,,,,
,,2012 - 2013,,741.0,0.25,,,,,,,,,,,,
,,2013 - 2014,,658.0,0.24,,,,,,,,,,,,
,,2014 - 2015,,424.0,0.16,,,,,,,,,,,,
,,2015 - 2016,,431.0,0.16,,,,,,,,,,,,
,,2016 - 2017,,805.0,0.22,,,,,,,,,,,,
,,2017 - 2018,23.0,351.0,15.26,,,,,,,,,,,,
,,2018 - 2019,,320.0,0.15,,,,,,,,,,,,
,,2019 - 2020,,408.0,0.21,,,,,,,,,,,,
,,2020 - 2021,,449.0,0.24,,,,,,,,,,,,
,,2021 - 2022,,502.0,0.28,,,,,,,,,,,,
,,2022 - 2023,,523.0,0.28,,,,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,265.0,162.0,0.61,,,,,,,,,,,,
,,2001 - 2002,185.0,215.0,1.16,,,,,,,,,,,,
,,2002 - 2003,193.0,224.0,1.16,,,,,,,,,,,,
,,2003 - 2004,250.0,220.0,0.88,,,,,,,,,,,,
,,2004 - 2005,296.0,260.0,0.88,,,,,,,,,,,,
,,2005 - 2006,207.0,191.0,0.92,,,,,,,,,,,,
,,2006 - 2007,178.0,193.0,1.08,,,,,,,,,,,,
,,2007 - 2008,200.0,200.0,1.0,,,,,,,,,,,,
,,2008 - 2009,200.0,200.0,1.0,,,,,,,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,,,,,,,
,,2010 - 2011,80.0,80.0,1.0,,,,,,,,,,,,
,,2011 - 2012,82.0,78.0,0.95,,,,,,,,,,,,
,,2012 - 2013,231.0,219.0,0.95,,,,,,,,,,,,
,,2013 - 2014,231.0,219.0,0.95,,,,,,,,,,,,
,,2014 - 2015,215.0,203.0,0.94,,,,,,,,,,,,
,,2015 - 2016,160.0,128.0,0.8,,,,,,,,,,,,
,,2017 - 2018,154.0,115.0,0.75,,,,,,,,,,,,
Gujarat,Ahmadabad,2002 - 2003,,,,100.0,0.0,0.0,,,,,,,,,
,Amreli,2001 - 2002,,300.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,,300.0,100.0,0.33,,,,,,,,,
,,2014 - 2015,,,,90.0,134.0,1.49,,,,,,,,,
,,2015 - 2016,,,,75.0,129.0,1.72,,,,,,,,,
,,2018 - 2019,,,,274.0,587.0,2.14,,,,,,,,,
,,2019 - 2020,,,,4.0,8.0,2.0,,,,,,,,,
,,2020 - 2021,,,,927.0,,2.25,,,,,,,,,
,,2021 - 2022,,,,508.0,,2.12,,,,,,,,,
,,2022 - 2023,,,,527.0,738.0,1.4,,,,,,,,,
,Anand,2014 - 2015,,,,584.0,855.0,1.46,,,,,,,,,
,,2015 - 2016,,,,922.0,,1.58,,,,,,,,,
,,2018 - 2019,,,,469.0,687.0,1.46,,,,,,,,,
,,2019 - 2020,,,,381.0,533.0,1.4,,,,,,,,,
,,2020 - 2021,,,,206.0,309.0,1.5,,,,,,,,,
,,2021 - 2022,,,,293.0,404.0,1.38,,,,,,,,,
,,2022 - 2023,,,,327.0,180.0,0.55,,,,,,,,,
,Aravalli,2014 - 2015,,,,70.0,64.0,0.91,,,,,,,,,
,,2015 - 2016,,,,150.0,151.0,1.01,,,,,,,,,
,Banas kantha,2000 - 2001,,300.0,0.18,,,,,,,,,,,,
,,2001 - 2002,,300.0,0.25,,,,,,,,,,,,
,,2002 - 2003,,400.0,0.36,,,,,,,,,,,,
,,2003 - 2004,300.0,100.0,0.33,,,,,,,,,,,,
,,2004 - 2005,,,,300.0,100.0,0.33,,,,,,,,,
,,2014 - 2015,,,,,,1.44,,,,,,,,,
,,2015 - 2016,,,,,,1.44,,,,,,,,,
,,2017 - 2018,,,,,,1.87,,,,,,,,,
,,2018 - 2019,,,,371.0,692.0,1.87,,,,,,,,,
,,2019 - 2020,,,,,,1.65,,,,,,,,,
,,2020 - 2021,,,,,,1.85,,,,,,,,,
,,2021 - 2022,,,,,,1.67,,,,,,,,,
,,2022 - 2023,,,,,,3.06,,,,,,,,,
,Bharuch,2001 - 2002,300.0,100.0,0.33,,,,,,,,,,,,
,,2003 - 2004,,,,600.0,200.0,0.33,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,,,,
,Bhavnagar,2001 - 2002,300.0,,0.0,,,,,,,,,,,,
,,2002 - 2003,200.0,,0.0,700.0,200.0,0.29,,,,,,,,,
,,2003 - 2004,,,,600.0,200.0,0.33,,,,,,,,,
,Chhotaudepur,2014 - 2015,,,,,,0.87,,,,,,,,,
,,2015 - 2016,,,,,842.0,0.79,,,,,,,,,
,,2017 - 2018,,,,,,0.82,,,,,,,,,
,,2018 - 2019,,,,,,0.82,,,,,,,,,
,Dang,2000 - 2001,,,0.25,,,,,,,,,,,,
,,2001 - 2002,,,0.2,,,,,,,,,,,,
,,2002 - 2003,,,0.24,,,,,,,,,,,,
,,2004 - 2005,,,0.23,,,,,,,,,,,,
,Dohad,2003 - 2004,,500.0,0.28,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,800.0,400.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,315.0,263.0,0.83,,,,,,,,,
,,2017 - 2018,,,,50.0,45.0,0.9,,,,,,,,,
,Gandhinagar,2003 - 2004,,200.0,0.18,400.0,100.0,0.25,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,,,,,,,
