state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2015 - 2016,345.0,76.0,0.22,,,,,,,,,,,,,,,
,,2016 - 2017,332.0,68.0,0.2,,,,,,,,,,,,,,,
,,2017 - 2018,328.0,26.0,0.08,,,,,,,,,,,,,,,
,,2018 - 2019,320.0,54.0,0.17,,,,,,,,,,,,,,,
,,2020 - 2021,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2021 - 2022,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2022 - 2023,3.0,1.0,0.33,,,,,,,,,,,,,,,
,Surajpur,2011 - 2012,16.0,73.0,4.56,,,,,,,,,,,,,,,
,,2012 - 2013,393.0,74.0,0.19,,,,,,,,,,,,,,,
,,2013 - 2014,492.0,129.0,0.26,,,,,,,,,,,,,,,
,,2014 - 2015,333.0,88.0,0.26,,,,,,,,,,,,,,,
,,2015 - 2016,300.0,71.0,0.24,,,,,,,,,,,,,,,
,,2016 - 2017,41.0,12.0,0.29,,,,,,,,,,,,,,,
,,2017 - 2018,212.0,57.0,0.27,,,,,,,,,,,,,,,
,,2018 - 2019,280.0,92.0,0.33,,,,,,,,,,,,,,,
,,2019 - 2020,27.0,8.0,0.3,,,,,,,,,,,,,,,
,,2021 - 2022,10.0,3.0,0.3,,,,,,,,,,,,,,,
,Surguja,2000 - 2001,924.0,222.0,0.24,,,,,,,,,,,,,,,
,,2001 - 2002,910.0,230.0,0.25,,,,,,,,,,,,,,,
,,2002 - 2003,733.0,139.0,0.19,,,,,,,,,,,,,,,
,,2003 - 2004,721.0,174.0,0.24,,,,,,,,,,,,,,,
,,2004 - 2005,656.0,130.0,0.2,,,,,,,,,,,,,,,
,,2006 - 2007,541.0,118.0,0.22,,,,,,,,,,,,,,,
,,2007 - 2008,488.0,94.0,0.19,,,,,,,,,,,,,,,
,,2008 - 2009,471.0,98.0,0.21,,,,,,,,,,,,,,,
,,2009 - 2010,495.0,125.0,0.25,,,,,,,,,,,,,,,
,,2010 - 2011,374.0,87.0,0.23,,,,,,,,,,,,,,,
,,2011 - 2012,11.0,3.0,0.27,,,,,,,,,,,,,,,
,,2012 - 2013,19.0,4.0,0.21,,,,,,,,,,,,,,,
,,2013 - 2014,6.0,2.0,0.33,,,,,,,,,,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2015 - 2016,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2016 - 2017,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2017 - 2018,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2022 - 2023,1.0,0.0,0.0,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,1.36,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.1,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.36,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.11,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.43,,,,,,,,,,,,,,,
,,2005 - 2006,,,2.19,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.04,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.4,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.4,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.08,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.64,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.03,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.03,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.03,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.02,,,,,,,,,,,,,,,
,,2016 - 2017,860.0,,1.7,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.04,,,,,,,,,,,,,,,
,,2018 - 2019,890.0,,1.7,,,,,,,,,,,,,,,
,,2019 - 2020,900.0,,1.65,,,,,,,,,,,,,,,
Goa,North goa,2004 - 2005,160.0,165.0,1.03,,,,,,,,,,,,,,,
,,2005 - 2006,223.0,279.0,1.25,,,,,,,,,,,,,,,
,,2006 - 2007,125.0,119.0,0.95,,,,,,,,,,,,,,,
,,2007 - 2008,38.0,34.0,0.89,,,,,,,,,,,,,,,
,,2008 - 2009,39.0,40.0,1.03,,,,,,,,,,,,,,,
,,2009 - 2010,25.0,26.0,1.04,,,,,,,,,,,,,,,
,,2010 - 2011,25.0,23.0,0.92,,,,,,,,,,,,,,,
,,2011 - 2012,26.0,25.0,0.96,,,,,,,,,,,,,,,
,,2012 - 2013,13.0,16.0,1.23,,,,,,,,,,,,,,,
,,2013 - 2014,2.0,2.69,1.34,,,,,,,,,,,,,,,
,,2014 - 2015,0.1,0.08,0.75,,,,,,,,,,,,,,,
,South goa,2004 - 2005,234.0,212.0,0.91,,,,,,,,,,,,,,,
,,2005 - 2006,218.0,184.0,0.84,,,,,,,,,,,,,,,
,,2006 - 2007,155.0,135.0,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,124.0,136.0,1.1,,,,,,,,,,,,,,,
,,2008 - 2009,119.0,151.0,1.27,,,,,,,,,,,,,,,
,,2009 - 2010,129.0,131.0,1.02,,,,,,,,,,,,,,,
,,2010 - 2011,125.0,110.0,0.88,,,,,,,,,,,,,,,
,,2011 - 2012,124.0,112.0,0.9,,,,,,,,,,,,,,,
,,2012 - 2013,35.0,34.0,0.97,,,,,,,,,,,,,,,
,,2013 - 2014,16.0,11.09,0.69,,,,,,,,,,,,,,,
,,2014 - 2015,15.4,10.72,0.7,,,,,,,,,,,,,,,
Gujarat,Banas kantha,2012 - 2013,,,0.97,,,,,,,,,,,,,,,
,Bharuch,2006 - 2007,200.0,200.0,1.0,,,,,,,,,,,,,,,
,Dang,2000 - 2001,,,0.69,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.08,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.67,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.25,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.15,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.24,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.16,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.96,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.14,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.82,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.67,,,,,,,,,,,,,,,
,,2011 - 2012,,,0.89,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.94,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.91,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.82,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.39,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.86,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.9,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.33,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.95,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.84,,,,,,,,,,,,,,,
,Mahesana,2015 - 2016,22.0,18.0,0.82,,,,,,,,,,,,,,,
,Navsari,2003 - 2004,600.0,600.0,1.0,,,,,,,,,,,,,,,
,,2004 - 2005,500.0,500.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,400.0,300.0,0.75,,,,,,,,,,,,,,,
,,2006 - 2007,300.0,300.0,1.0,,,,,,,,,,,,,,,
,,2007 - 2008,400.0,400.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,300.0,400.0,1.33,,,,,,,,,,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,200.0,100.0,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,133.0,130.0,0.98,,,,,,,,,,,,,,,
,,2014 - 2015,84.0,72.0,0.86,,,,,,,,,,,,,,,
,,2016 - 2017,34.0,43.0,1.26,,,,,,,,,,,,,,,
,,2017 - 2018,33.0,30.0,0.91,,,,,,,,,,,,,,,
,,2018 - 2019,44.0,35.0,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,19.0,16.0,0.84,,,,,,,,,,,,,,,
,Panch mahals,2001 - 2002,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2003 - 2004,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2004 - 2005,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,400.0,500.0,1.25,,,,,,,,,,,,,,,
,,2006 - 2007,400.0,400.0,1.0,,,,,,,,,,,,,,,
,,2007 - 2008,400.0,400.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,47.0,41.0,0.87,,,,,,,,,,,,,,,
,,2020 - 2021,13.0,16.0,1.23,,,,,,,,,,,,,,,
,Surat,2000 - 2001,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,,,,,,,,,,
,Vadodara,2011 - 2012,400.0,300.0,0.75,,,,,,,,,,,,,,,
,,2012 - 2013,400.0,400.0,1.0,,,,,,,,,,,,,,,
,Valsad,2000 - 2001,,,0.74,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.94,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.63,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.06,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.92,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.84,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.9,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.71,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.72,,,,,,,,,,,,,,,
,,2011 - 2012,,,0.66,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.97,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.95,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.72,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.66,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.75,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.73,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.7,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.71,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.68,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.68,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.68,,,,,,,,,,,,,,,
Himachal Pradesh,Bilaspur,2007 - 2008,17.0,21.0,1.24,,,,,,,,,,,,,,,
,,2018 - 2019,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,6.0,6.0,1.0,,,,,,,,,,,,,,,
,Chamba,2005 - 2006,18.0,3.0,0.17,,,,,,,,,,,,,,,
,,2006 - 2007,17.0,12.0,0.71,,,,,,,,,,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,7.0,5.0,0.71,,,,,,,,,,,,,,,
,,2009 - 2010,6.0,3.0,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,6.0,3.0,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,11.0,7.0,0.64,,,,,,,,,,,,,,,
,,2012 - 2013,7.0,4.0,0.57,,,,,,,,,,,,,,,
,,2013 - 2014,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2014 - 2015,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2015 - 2016,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2016 - 2017,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2017 - 2018,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2018 - 2019,21.0,16.0,0.76,,,,,,,,,,,,,,,
,,2019 - 2020,22.0,22.0,1.0,,,,,,,,,,,,,,,
,Hamirpur,2005 - 2006,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2006 - 2007,7.0,7.0,1.0,,,,,,,,,,,,,,,
,Kangra,2005 - 2006,20.0,13.0,0.65,,,,,,,,,,,,,,,
,,2006 - 2007,9.0,9.0,1.0,,,,,,,,,,,,,,,
,,2007 - 2008,9.0,9.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,6.0,6.0,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2011 - 2012,7.0,4.0,0.57,,,,,,,,,,,,,,,
,,2012 - 2013,6.0,4.0,0.67,,,,,,,,,,,,,,,
,,2013 - 2014,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2015 - 2016,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2016 - 2017,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2017 - 2018,4.0,4.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,4.0,4.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,67.0,54.0,0.81,,,,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Kinnaur,2005 - 2006,95.0,90.0,0.95,,,,,,,,,,,,,,,
,,2006 - 2007,109.0,115.0,1.06,,,,,,,,,,,,,,,
,,2007 - 2008,3.0,4.0,1.33,,,,,,,,,,,,,,,
,,2008 - 2009,21.0,21.0,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,20.0,16.0,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,20.0,16.0,0.8,,,,,,,,,,,,,,,
,,2011 - 2012,27.0,22.0,0.81,,,,,,,,,,,,,,,
,,2012 - 2013,20.0,19.0,0.95,,,,,,,,,,,,,,,
,,2013 - 2014,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,10.0,8.0,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,10.0,10.0,1.0,,,,,,,,,,,,,,,
,Kullu,2005 - 2006,406.0,308.0,0.76,,,,,,,,,,,,,,,
,,2006 - 2007,408.0,272.0,0.67,,,,,,,,,,,,,,,
,,2007 - 2008,393.0,303.0,0.77,,,,,,,,,,,,,,,
,,2008 - 2009,240.0,201.0,0.84,,,,,,,,,,,,,,,
,,2009 - 2010,231.0,160.0,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,220.0,158.0,0.72,,,,,,,,,,,,,,,
,,2011 - 2012,215.0,201.0,0.93,,,,,,,,,,,,,,,
,,2012 - 2013,245.0,186.0,0.76,,,,,,,,,,,,,,,
,,2013 - 2014,202.0,154.0,0.76,,,,,,,,,,,,,,,
,,2014 - 2015,200.0,148.0,0.74,,,,,,,,,,,,,,,
,,2015 - 2016,197.0,150.0,0.76,,,,,,,,,,,,,,,
,,2016 - 2017,195.0,149.0,0.76,,,,,,,,,,,,,,,
,,2017 - 2018,197.0,159.0,0.81,,,,,,,,,,,,,,,
,,2018 - 2019,219.0,195.0,0.89,,,,,,,,,,,,,,,
,,2019 - 2020,220.0,216.0,0.98,,,,,,,,,,,,,,,
,,2020 - 2021,70.0,70.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,89.0,89.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,82.0,82.0,1.0,,,,,,,,,,,,,,,
,Mandi,2005 - 2006,,825.0,0.7,,,,,,,,,,,,,,,
,,2006 - 2007,,981.0,0.92,,,,,,,,,,,,,,,
,,2008 - 2009,988.0,912.0,0.92,,,,,,,,,,,,,,,
,,2009 - 2010,902.0,802.0,0.89,,,,,,,,,,,,,,,
,,2010 - 2011,860.0,794.0,0.92,,,,,,,,,,,,,,,
,,2011 - 2012,891.0,996.0,1.12,,,,,,,,,,,,,,,
,,2012 - 2013,954.0,934.0,0.98,,,,,,,,,,,,,,,
,,2013 - 2014,787.0,770.0,0.98,,,,,,,,,,,,,,,
,,2014 - 2015,779.0,762.0,0.98,,,,,,,,,,,,,,,
,,2015 - 2016,701.0,654.0,0.93,,,,,,,,,,,,,,,
,,2016 - 2017,763.0,746.0,0.98,,,,,,,,,,,,,,,
,,2017 - 2018,701.0,686.0,0.98,,,,,,,,,,,,,,,
,,2018 - 2019,608.0,710.0,1.17,,,,,,,,,,,,,,,
,,2019 - 2020,615.0,744.0,1.21,,,,,,,,,,,,,,,
,,2021 - 2022,697.0,697.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,683.0,683.0,1.0,,,,,,,,,,,,,,,
,Shimla,2005 - 2006,,,1.5,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.52,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.69,,,,,,,,,,,,,,,
,,2008 - 2009,711.0,,1.52,,,,,,,,,,,,,,,
,,2009 - 2010,748.0,960.0,1.28,,,,,,,,,,,,,,,
,,2010 - 2011,725.0,950.0,1.31,,,,,,,,,,,,,,,
,,2011 - 2012,702.0,946.0,1.35,,,,,,,,,,,,,,,
,,2012 - 2013,792.0,,1.41,,,,,,,,,,,,,,,
,,2013 - 2014,653.0,675.0,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,646.0,812.0,1.26,,,,,,,,,,,,,,,
,,2015 - 2016,639.0,902.0,1.41,,,,,,,,,,,,,,,
,,2016 - 2017,632.0,893.0,1.41,,,,,,,,,,,,,,,
,,2017 - 2018,639.0,900.0,1.41,,,,,,,,,,,,,,,
,,2018 - 2019,453.0,598.0,1.32,,,,,,,,,,,,,,,
,,2019 - 2020,460.0,647.0,1.41,,,,,,,,,,,,,,,
,,2020 - 2021,258.0,232.0,0.9,,,,,,,,,,,,,,,
,,2021 - 2022,133.0,120.0,0.9,,,,,,,,,,,,,,,
,,2022 - 2023,159.0,143.0,0.9,,,,,,,,,,,,,,,
,Sirmaur,2005 - 2006,263.0,166.0,0.63,,,,,,,,,,,,,,,
,,2006 - 2007,333.0,238.0,0.71,,,,,,,,,,,,,,,
,,2007 - 2008,275.0,217.0,0.79,,,,,,,,,,,,,,,
,,2008 - 2009,300.0,217.0,0.72,,,,,,,,,,,,,,,
,,2009 - 2010,297.0,160.0,0.54,,,,,,,,,,,,,,,
,,2010 - 2011,305.0,158.0,0.52,,,,,,,,,,,,,,,
,,2011 - 2012,326.0,270.0,0.83,,,,,,,,,,,,,,,
,,2012 - 2013,314.0,186.0,0.59,,,,,,,,,,,,,,,
,,2013 - 2014,259.0,154.0,0.59,,,,,,,,,,,,,,,
,,2014 - 2015,257.0,152.0,0.59,,,,,,,,,,,,,,,
,,2015 - 2016,254.0,150.0,0.59,,,,,,,,,,,,,,,
,,2016 - 2017,251.0,149.0,0.59,,,,,,,,,,,,,,,
,,2017 - 2018,254.0,150.0,0.59,,,,,,,,,,,,,,,
,,2018 - 2019,402.0,291.0,0.72,,,,,,,,,,,,,,,
,,2019 - 2020,420.0,411.0,0.98,,,,,,,,,,,,,,,
,,2020 - 2021,174.0,127.0,0.73,,,,,,,,,,,,,,,
,,2021 - 2022,202.0,147.0,0.73,,,,,,,,,,,,,,,
,,2022 - 2023,216.0,157.0,0.73,,,,,,,,,,,,,,,
,Solan,2020 - 2021,14.0,10.0,0.71,,,,,,,,,,,,,,,
,,2021 - 2022,9.0,7.0,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,9.0,7.0,0.78,,,,,,,,,,,,,,,
Jammu and Kashmir,Bandipora,2017 - 2018,59.0,35.4,0.6,,,,,,,,,,,,,,,
,,2018 - 2019,36.0,21.6,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,36.0,21.6,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,36.0,21.6,0.6,,,,,,,,,,,,,,,
,Kargil,2017 - 2018,,,,,,0.74,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.74,,,,,,,,,,,,
,Kishtwar,2017 - 2018,178.0,89.6,0.5,,,,,,,,,,,,,,,
,,2018 - 2019,123.0,61.5,0.5,,,,,,,,,,,,,,,
,,2019 - 2020,169.0,84.5,0.5,,,,,,,,,,,,,,,
,,2020 - 2021,160.0,80.0,0.5,,,,,,,,,,,,,,,
,Leh ladakh,2017 - 2018,,,,,,0.4,,,,,,,,,,,,
,,2018 - 2019,,,,63.0,25.0,0.4,,,,,,,,,,,,
,Udhampur,2017 - 2018,1.0,0.6,0.6,,,,,,,,,,,,,,,
Jharkhand,Bokaro,2006 - 2007,,,,,,,223.28,265.0,1.19,,,,,,,,,
,,2007 - 2008,,,,,,,410.65,361.0,0.88,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.71,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.61,,,,,,,,,
,,2011 - 2012,,,,,,,137.0,177.0,1.29,,,,,,,,,
,,2012 - 2013,,,,,,,129.0,111.0,0.86,,,,,,,,,
,,2013 - 2014,,,,,,,116.0,88.0,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,74.0,68.0,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,56.0,69.0,1.23,,,,,,,,,
,,2016 - 2017,,,,,,,121.0,74.0,0.61,,,,,,,,,
,,2019 - 2020,284.0,625.0,2.2,,,,,,,,,,,,,,,
,,2020 - 2021,205.0,451.0,2.2,,,,,,,,,,,,,,,
,,2021 - 2022,245.0,539.0,2.2,,,,,,,,,,,,,,,
,,2022 - 2023,265.0,583.0,2.2,,,,,,,,,,,,,,,
,Chatra,2006 - 2007,,,,,,,240.39,213.0,0.89,,,,,,,,,
,,2007 - 2008,,,,,,,310.21,304.0,0.98,,,,,,,,,
,,2008 - 2009,,,,,,,367.47,300.0,0.82,,,,,,,,,
,,2009 - 2010,,,,,,,353.0,216.0,0.61,,,,,,,,,
,,2011 - 2012,,,,,,,180.0,152.0,0.84,,,,,,,,,
,,2012 - 2013,,,,,,,169.0,121.0,0.72,,,,,,,,,
,,2013 - 2014,,,,,,,151.0,114.0,0.75,,,,,,,,,
,,2014 - 2015,,,,,,,155.0,143.0,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,155.0,70.0,0.45,,,,,,,,,
,,2016 - 2017,,,,,,,130.0,79.0,0.61,,,,,,,,,
,,2017 - 2018,75.0,107.0,1.43,,,,,,,,,,,,,,,
,,2018 - 2019,104.0,149.0,1.43,,,,,,,,,,,,,,,
,,2019 - 2020,732.0,,1.46,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.46,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.46,,,,,,,,,,,,,,,
,Deoghar,2006 - 2007,,,,,,,55.98,44.0,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,19.72,11.0,0.56,,,,,,,,,
,,2008 - 2009,,,,,,,22.51,17.0,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,22.0,6.0,0.27,,,,,,,,,
,,2012 - 2013,,,,,,,9.0,8.0,0.89,,,,,,,,,
,,2014 - 2015,,,,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,35.0,18.0,0.51,,,,,,,,,,,,,,,
,,2020 - 2021,21.0,38.0,1.81,,,,,,,,,,,,,,,
,,2021 - 2022,23.0,18.0,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,23.0,18.0,0.78,,,,,,,,,,,,,,,
,Dhanbad,2006 - 2007,,,,,,,37.59,45.0,1.2,,,,,,,,,
,,2007 - 2008,,,,,,,16.49,4.0,0.24,,,,,,,,,
,,2008 - 2009,,,,,,,11.03,3.0,0.27,,,,,,,,,
,,2009 - 2010,,,,,,,12.0,1.0,0.08,,,,,,,,,
,,2011 - 2012,,,,,,,2.0,,0.0,,,,,,,,,
,,2017 - 2018,292.0,201.0,0.69,,,,,,,,,,,,,,,
,,2018 - 2019,35.0,21.0,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,31.0,22.0,0.71,,,,,,,,,,,,,,,
,,2020 - 2021,33.0,23.0,0.7,,,,,,,,,,,,,,,
,,2021 - 2022,32.0,22.0,0.69,,,,,,,,,,,,,,,
,,2022 - 2023,65.0,39.0,0.6,,,,,,,,,,,,,,,
,Dumka,2006 - 2007,,,,,,,102.85,81.0,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,93.83,51.0,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,83.36,63.0,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,55.0,15.0,0.27,,,,,,,,,
,,2011 - 2012,,,,,,,9.0,7.0,0.78,,,,,,,,,
,,2013 - 2014,,,,,,,6.0,5.0,0.83,,,,,,,,,
,,2014 - 2015,,,,,,,6.0,6.0,1.0,,,,,,,,,
,,2015 - 2016,,,,,,,7.0,5.0,0.71,,,,,,,,,
,,2016 - 2017,,,,,,,25.0,29.0,1.16,,,,,,,,,
,,2017 - 2018,,,0.71,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.72,,,,,,,,,,,,,,,
,,2019 - 2020,,772.0,0.72,,,,,,,,,,,,,,,
,,2020 - 2021,,756.0,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,147.0,96.0,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,,,,,,,,,,
,East singhbum,2006 - 2007,,,,,,,5.85,5.0,0.85,,,,,,,,,
,,2008 - 2009,,,,,,,4.98,4.0,0.8,,,,,,,,,
,,2020 - 2021,29.0,29.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,41.0,41.0,1.0,,,,,,,,,,,,,,,
,Garhwa,2006 - 2007,,,,,,,566.14,437.0,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,493.86,461.0,0.93,,,,,,,,,
,,2008 - 2009,,,,,,,487.04,281.0,0.58,,,,,,,,,
,,2009 - 2010,,,,,,,490.0,203.0,0.41,,,,,,,,,
,,2012 - 2013,,,,,,,485.0,254.0,0.52,,,,,,,,,
,,2013 - 2014,,,,,,,262.0,198.0,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,257.0,237.0,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,240.0,127.0,0.53,,,,,,,,,
,,2016 - 2017,,,,,,,164.0,191.0,1.16,,,,,,,,,
,,2021 - 2022,30.0,38.0,1.27,,,,,,,,,,,,,,,
