state,district,year,ginger_whole_year_area_hectare,ginger_whole_year_production_tonne,ginger_whole_year_yield_tonne_per_hectare,ginger_rabi_area_hectare,ginger_rabi_production_tonne,ginger_rabi_yield_tonne_per_hectare,ginger_kharif_area_hectare,ginger_kharif_production_tonne,ginger_kharif_yield_tonne_per_hectare,ginger_summer_area_hectare,ginger_summer_production_tonne,ginger_summer_yield_tonne_per_hectare
,,2006 - 2007,99.0,124.0,1.25,,,,,,,,,
,,2007 - 2008,112.0,145.0,1.29,,,,,,,,,
,,2008 - 2009,106.0,127.0,1.2,,,,,,,,,
,,2009 - 2010,97.0,125.0,1.29,,,,,,,,,
,,2010 - 2011,124.0,156.0,1.26,,,,,,,,,
,,2011 - 2012,91.0,120.0,1.32,,,,,,,,,
,,2012 - 2013,88.0,115.0,1.31,,,,,,,,,
,,2013 - 2014,87.0,101.0,1.16,,,,,,,,,
,,2014 - 2015,86.0,91.0,1.06,,,,,,,,,
,,2015 - 2016,90.0,95.0,1.06,,,,,,,,,
,,2016 - 2017,93.0,110.0,1.18,,,,,,,,,
,,2017 - 2018,83.0,98.0,1.18,,,,,,,,,
,,2018 - 2019,68.0,80.0,1.18,,,,,,,,,
,,2019 - 2020,25.0,30.0,1.2,,,,,,,,,
,,2020 - 2021,20.0,24.0,1.2,,,,,,,,,
,,2021 - 2022,15.0,17.0,1.13,,,,,,,,,
,,2022 - 2023,19.0,19.0,1.0,,,,,,,,,
,Bemetara,2011 - 2012,60.0,70.0,1.17,,,,,,,,,
,,2012 - 2013,15.0,17.0,1.13,,,,,,,,,
,,2013 - 2014,25.0,27.0,1.08,,,,,,,,,
,,2014 - 2015,25.0,28.0,1.12,,,,,,,,,
,,2015 - 2016,63.0,63.0,1.0,,,,,,,,,
,,2016 - 2017,80.0,84.0,1.05,,,,,,,,,
,,2017 - 2018,106.0,112.0,1.06,,,,,,,,,
,,2018 - 2019,81.0,94.0,1.16,,,,,,,,,
,,2019 - 2020,37.0,39.0,1.05,,,,,,,,,
,,2020 - 2021,72.0,98.0,1.36,,,,,,,,,
,,2021 - 2022,68.0,92.0,1.35,,,,,,,,,
,,2022 - 2023,32.0,40.0,1.25,,,,,,,,,
,Bijapur,2009 - 2010,5.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Bilaspur,2000 - 2001,35.0,38.0,1.09,,,,,,,,,
,,2001 - 2002,39.0,47.0,1.21,,,,,,,,,
,,2002 - 2003,43.0,46.0,1.07,,,,,,,,,
,,2003 - 2004,42.0,50.0,1.19,,,,,,,,,
,,2004 - 2005,48.0,50.0,1.04,,,,,,,,,
,,2005 - 2006,44.0,46.0,1.05,,,,,,,,,
,,2006 - 2007,56.0,67.0,1.2,,,,,,,,,
,,2007 - 2008,53.0,60.0,1.13,,,,,,,,,
,,2008 - 2009,46.0,52.0,1.13,,,,,,,,,
,,2009 - 2010,47.0,59.0,1.26,,,,,,,,,
,,2010 - 2011,58.0,73.0,1.26,,,,,,,,,
,,2011 - 2012,59.0,75.0,1.27,,,,,,,,,
,,2012 - 2013,59.0,77.0,1.31,,,,,,,,,
,,2013 - 2014,59.0,63.0,1.07,,,,,,,,,
,,2014 - 2015,61.0,77.0,1.26,,,,,,,,,
,,2015 - 2016,60.0,75.0,1.25,,,,,,,,,
,,2016 - 2017,50.0,64.0,1.28,,,,,,,,,
,,2017 - 2018,30.0,38.0,1.27,,,,,,,,,
,,2018 - 2019,21.0,27.0,1.29,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,3.0,1.5,,,,,,,,,
,,2021 - 2022,2.0,3.0,1.5,,,,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Dantewada,2000 - 2001,1.0,1.0,1.0,,,,,,,,,
,,2002 - 2003,4.0,4.0,1.0,,,,,,,,,
,,2003 - 2004,2.0,3.0,1.5,,,,,,,,,
,,2004 - 2005,3.0,4.0,1.33,,,,,,,,,
,,2005 - 2006,8.0,9.0,1.13,,,,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,,,,
,,2007 - 2008,4.0,5.0,1.25,,,,,,,,,
,,2008 - 2009,2.0,3.0,1.5,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2010 - 2011,3.0,3.0,1.0,,,,,,,,,
,,2011 - 2012,3.0,5.0,1.67,,,,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,,,,
,,2013 - 2014,6.0,7.0,1.17,,,,,,,,,
,,2014 - 2015,5.0,5.0,1.0,,,,,,,,,
,,2015 - 2016,13.0,14.0,1.08,,,,,,,,,
,,2016 - 2017,5.0,6.0,1.2,,,,,,,,,
,,2017 - 2018,6.0,6.0,1.0,,,,,,,,,
,,2018 - 2019,5.0,,0.0,,,,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,3.0,1.5,,,,,,,,,
,Dhamtari,2001 - 2002,4.0,4.0,1.0,,,,,,,,,
,,2002 - 2003,5.0,6.0,1.2,,,,,,,,,
,,2003 - 2004,3.0,6.0,2.0,,,,,,,,,
,,2004 - 2005,4.0,6.0,1.5,,,,,,,,,
,,2005 - 2006,7.0,9.0,1.29,,,,,,,,,
,,2006 - 2007,3.0,4.0,1.33,,,,,,,,,
,,2007 - 2008,1.0,2.0,2.0,,,,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2015 - 2016,3.0,5.0,1.67,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,,,,
,,2020 - 2021,4.0,6.0,1.5,,,,,,,,,
,,2021 - 2022,4.0,8.0,2.0,,,,,,,,,
,,2022 - 2023,4.0,6.0,1.5,,,,,,,,,
,Durg,2000 - 2001,10.0,10.0,1.0,,,,,,,,,
,,2001 - 2002,12.0,12.0,1.0,,,,,,,,,
,,2002 - 2003,11.0,13.0,1.18,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2004 - 2005,49.0,57.0,1.16,,,,,,,,,
,,2005 - 2006,27.0,31.0,1.15,,,,,,,,,
,,2006 - 2007,31.0,45.0,1.45,,,,,,,,,
,,2007 - 2008,33.0,41.0,1.24,,,,,,,,,
,,2008 - 2009,53.0,61.0,1.15,,,,,,,,,
,,2009 - 2010,41.0,47.0,1.15,,,,,,,,,
,,2010 - 2011,19.0,22.0,1.16,,,,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,,,,
,,2015 - 2016,2.0,3.0,1.5,,,,,,,,,
,,2016 - 2017,6.0,6.0,1.0,,,,,,,,,
,,2018 - 2019,4.0,,0.0,,,,,,,,,
,,2019 - 2020,11.0,20.0,1.82,,,,,,,,,
,,2020 - 2021,45.0,68.0,1.51,,,,,,,,,
,,2021 - 2022,36.0,60.0,1.67,,,,,,,,,
,,2022 - 2023,3.0,4.0,1.33,,,,,,,,,
,Gariyaband,2013 - 2014,1.0,2.0,2.0,,,,,,,,,
,,2014 - 2015,1.0,2.0,2.0,,,,,,,,,
,,2018 - 2019,5.0,,0.0,,,,,,,,,
,,2019 - 2020,3.0,5.0,1.67,,,,,,,,,
,,2020 - 2021,2.0,4.0,2.0,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,3.0,9.0,3.0,,,,,,,,,
,,2020 - 2021,2.0,3.0,1.5,,,,,,,,,
,,2021 - 2022,6.0,11.0,1.83,,,,,,,,,
,,2022 - 2023,4.0,5.0,1.25,,,,,,,,,
,Janjgir-champa,2000 - 2001,1.0,1.0,1.0,,,,,,,,,
,,2001 - 2002,2.0,2.0,1.0,,,,,,,,,
,,2002 - 2003,4.0,4.0,1.0,,,,,,,,,
,,2003 - 2004,12.0,14.0,1.17,,,,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,,,,
,,2005 - 2006,7.0,7.0,1.0,,,,,,,,,
,,2006 - 2007,6.0,8.0,1.33,,,,,,,,,
,,2007 - 2008,6.0,8.0,1.33,,,,,,,,,
,,2008 - 2009,5.0,7.0,1.4,,,,,,,,,
,,2009 - 2010,5.0,6.0,1.2,,,,,,,,,
,,2010 - 2011,4.0,5.0,1.25,,,,,,,,,
,,2011 - 2012,5.0,7.0,1.4,,,,,,,,,
,,2012 - 2013,6.0,8.0,1.33,,,,,,,,,
,,2013 - 2014,5.0,5.0,1.0,,,,,,,,,
,,2014 - 2015,5.0,6.0,1.2,,,,,,,,,
,,2015 - 2016,6.0,6.0,1.0,,,,,,,,,
,,2016 - 2017,4.0,6.0,1.5,,,,,,,,,
,,2017 - 2018,4.0,6.0,1.5,,,,,,,,,
,,2018 - 2019,5.0,5.0,1.0,,,,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,4.0,2.0,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,Jashpur,2000 - 2001,3.0,3.0,1.0,,,,,,,,,
,,2001 - 2002,3.0,3.0,1.0,,,,,,,,,
,,2002 - 2003,3.0,3.0,1.0,,,,,,,,,
,,2003 - 2004,2.0,2.0,1.0,,,,,,,,,
,,2004 - 2005,2.0,2.0,1.0,,,,,,,,,
,,2005 - 2006,4.0,4.0,1.0,,,,,,,,,
,,2006 - 2007,5.0,5.0,1.0,,,,,,,,,
,,2007 - 2008,3.0,3.0,1.0,,,,,,,,,
,,2008 - 2009,9.0,9.0,1.0,,,,,,,,,
,,2009 - 2010,17.0,19.0,1.12,,,,,,,,,
,,2010 - 2011,11.0,10.0,0.91,,,,,,,,,
,,2011 - 2012,18.0,22.0,1.22,,,,,,,,,
,,2012 - 2013,27.0,31.0,1.15,,,,,,,,,
,,2013 - 2014,32.0,38.0,1.19,,,,,,,,,
,,2014 - 2015,25.0,29.0,1.16,,,,,,,,,
,,2015 - 2016,26.0,34.0,1.31,,,,,,,,,
,,2016 - 2017,28.0,34.0,1.21,,,,,,,,,
,,2017 - 2018,21.0,24.0,1.14,,,,,,,,,
,,2018 - 2019,24.0,26.0,1.08,,,,,,,,,
,,2019 - 2020,20.0,24.0,1.2,,,,,,,,,
,,2020 - 2021,22.0,27.0,1.23,,,,,,,,,
,,2021 - 2022,25.0,30.0,1.2,,,,,,,,,
,,2022 - 2023,29.0,36.0,1.24,,,,,,,,,
,Kabirdham,2002 - 2003,17.0,19.0,1.12,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,,,,
,,2006 - 2007,3.0,3.0,1.0,,,,,,,,,
,,2007 - 2008,3.0,3.0,1.0,,,,,,,,,
,,2008 - 2009,3.0,5.0,1.67,,,,,,,,,
,,2010 - 2011,7.0,9.0,1.29,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,7.0,11.0,1.57,,,,,,,,,
,Kanker,2000 - 2001,13.0,16.0,1.23,,,,,,,,,
,,2001 - 2002,5.0,7.0,1.4,,,,,,,,,
,,2002 - 2003,13.0,13.0,1.0,,,,,,,,,
,,2003 - 2004,13.0,20.0,1.54,,,,,,,,,
,,2004 - 2005,13.0,18.0,1.38,,,,,,,,,
,,2005 - 2006,13.0,15.0,1.15,,,,,,,,,
,,2006 - 2007,14.0,21.0,1.5,,,,,,,,,
,,2007 - 2008,14.0,19.0,1.36,,,,,,,,,
,,2008 - 2009,14.0,16.0,1.14,,,,,,,,,
,,2009 - 2010,14.0,17.0,1.21,,,,,,,,,
,,2010 - 2011,19.0,24.0,1.26,,,,,,,,,
,,2011 - 2012,17.0,22.0,1.29,,,,,,,,,
,,2012 - 2013,19.0,19.0,1.0,,,,,,,,,
,,2013 - 2014,34.0,30.0,0.88,,,,,,,,,
,,2014 - 2015,31.0,28.0,0.9,,,,,,,,,
,,2015 - 2016,33.0,29.0,0.88,,,,,,,,,
,,2016 - 2017,23.0,27.0,1.17,,,,,,,,,
,,2017 - 2018,22.0,20.0,0.91,,,,,,,,,
,,2018 - 2019,29.0,29.0,1.0,,,,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,Kondagaon,2011 - 2012,51.0,67.0,1.31,,,,,,,,,
,,2012 - 2013,52.0,60.0,1.15,,,,,,,,,
,,2013 - 2014,33.0,38.0,1.15,,,,,,,,,
,,2014 - 2015,43.0,46.0,1.07,,,,,,,,,
,,2015 - 2016,48.0,51.0,1.06,,,,,,,,,
,,2016 - 2017,62.0,72.0,1.16,,,,,,,,,
,,2017 - 2018,57.0,62.0,1.09,,,,,,,,,
,,2018 - 2019,54.0,63.0,1.17,,,,,,,,,
,,2019 - 2020,44.0,55.0,1.25,,,,,,,,,
,,2020 - 2021,34.0,43.0,1.26,,,,,,,,,
,,2021 - 2022,35.0,41.0,1.17,,,,,,,,,
,,2022 - 2023,35.0,40.0,1.14,,,,,,,,,
,Korba,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,3.0,1.0,0.33,,,,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,,,,
,,2008 - 2009,7.0,10.0,1.43,,,,,,,,,
,,2009 - 2010,5.0,,0.0,,,,,,,,,
,,2010 - 2011,8.0,10.0,1.25,,,,,,,,,
,,2011 - 2012,3.0,4.0,1.33,,,,,,,,,
,,2012 - 2013,2.0,3.0,1.5,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,,2014 - 2015,8.0,12.0,1.5,,,,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,,,,
,,2016 - 2017,2.0,2.0,1.0,,,,,,,,,
,,2017 - 2018,2.0,3.0,1.5,,,,,,,,,
,,2018 - 2019,8.0,8.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Korea,2000 - 2001,11.0,11.0,1.0,,,,,,,,,
,,2001 - 2002,14.0,17.0,1.21,,,,,,,,,
,,2002 - 2003,16.0,18.0,1.13,,,,,,,,,
,,2003 - 2004,12.0,15.0,1.25,,,,,,,,,
,,2004 - 2005,14.0,14.0,1.0,,,,,,,,,
,,2005 - 2006,12.0,11.0,0.92,,,,,,,,,
,,2006 - 2007,8.0,8.0,1.0,,,,,,,,,
,,2007 - 2008,37.0,37.0,1.0,,,,,,,,,
,,2008 - 2009,13.0,16.0,1.23,,,,,,,,,
,,2009 - 2010,15.0,13.0,0.87,,,,,,,,,
,,2010 - 2011,16.0,21.0,1.31,,,,,,,,,
,,2011 - 2012,20.0,23.0,1.15,,,,,,,,,
,,2012 - 2013,25.0,25.0,1.0,,,,,,,,,
,,2013 - 2014,21.0,23.0,1.1,,,,,,,,,
,,2014 - 2015,25.0,27.0,1.08,,,,,,,,,
,,2015 - 2016,28.0,31.0,1.11,,,,,,,,,
,,2016 - 2017,37.0,42.0,1.14,,,,,,,,,
,,2017 - 2018,44.0,50.0,1.14,,,,,,,,,
,,2018 - 2019,31.0,33.0,1.06,,,,,,,,,
,,2019 - 2020,31.0,29.0,0.94,,,,,,,,,
,,2020 - 2021,25.0,27.0,1.08,,,,,,,,,
,,2021 - 2022,22.0,23.0,1.05,,,,,,,,,
,,2022 - 2023,15.0,20.0,1.33,,,,,,,,,
,Mahasamund,2001 - 2002,4.0,3.0,0.75,,,,,,,,,
,,2002 - 2003,6.0,7.0,1.17,,,,,,,,,
,,2003 - 2004,2.0,2.0,1.0,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,4.0,4.0,1.0,,,,,,,,,
,,2006 - 2007,9.0,9.0,1.0,,,,,,,,,
,,2007 - 2008,7.0,7.0,1.0,,,,,,,,,
,,2008 - 2009,8.0,11.0,1.38,,,,,,,,,
,,2012 - 2013,7.0,10.0,1.43,,,,,,,,,
,,2013 - 2014,5.0,7.0,1.4,,,,,,,,,
,,2014 - 2015,5.0,50.0,10.0,,,,,,,,,
,,2016 - 2017,11.0,13.0,1.18,,,,,,,,,
,,2017 - 2018,6.0,8.0,1.33,,,,,,,,,
,,2018 - 2019,14.0,19.0,1.36,,,,,,,,,
,,2019 - 2020,5.0,7.0,1.4,,,,,,,,,
,,2020 - 2021,42.0,121.0,2.88,,,,,,,,,
,,2021 - 2022,39.0,81.0,2.08,,,,,,,,,
,,2022 - 2023,25.0,52.0,2.08,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,3.0,4.0,1.33,,,,,,,,,
,Mungeli,2011 - 2012,105.0,132.0,1.26,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,
,,2020 - 2021,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,7.0,13.0,1.86,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Narayanpur,2007 - 2008,1.0,1.0,1.0,,,,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,,2014 - 2015,2.0,2.0,1.0,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,9.0,10.0,1.11,,,,,,,,,
,,2018 - 2019,7.0,,0.0,,,,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,4.0,7.0,1.75,,,,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,,,,
,Raigarh,2000 - 2001,,941.0,0.81,,,,,,,,,
,,2001 - 2002,,981.0,0.81,,,,,,,,,
,,2002 - 2003,749.0,560.0,0.75,,,,,,,,,
,,2003 - 2004,642.0,575.0,0.9,,,,,,,,,
,,2004 - 2005,653.0,553.0,0.85,,,,,,,,,
,,2005 - 2006,881.0,717.0,0.81,,,,,,,,,
,,2006 - 2007,942.0,920.0,0.98,,,,,,,,,
,,2007 - 2008,786.0,780.0,0.99,,,,,,,,,
,,2008 - 2009,732.0,715.0,0.98,,,,,,,,,
,,2009 - 2010,702.0,812.0,1.16,,,,,,,,,
,,2010 - 2011,686.0,925.0,1.35,,,,,,,,,
,,2011 - 2012,678.0,797.0,1.18,,,,,,,,,
,,2012 - 2013,672.0,803.0,1.19,,,,,,,,,
,,2013 - 2014,569.0,658.0,1.16,,,,,,,,,
,,2014 - 2015,589.0,772.0,1.31,,,,,,,,,
,,2015 - 2016,571.0,786.0,1.38,,,,,,,,,
,,2016 - 2017,606.0,797.0,1.32,,,,,,,,,
,,2017 - 2018,511.0,672.0,1.32,,,,,,,,,
,,2018 - 2019,429.0,565.0,1.32,,,,,,,,,
,,2019 - 2020,226.0,284.0,1.26,,,,,,,,,
,,2020 - 2021,289.0,347.0,1.2,,,,,,,,,
,,2021 - 2022,262.0,314.0,1.2,,,,,,,,,
,,2022 - 2023,23.0,28.0,1.22,,,,,,,,,
,Raipur,2000 - 2001,1.0,1.0,1.0,,,,,,,,,
,,2001 - 2002,12.0,6.0,0.5,,,,,,,,,
,,2002 - 2003,21.0,21.0,1.0,,,,,,,,,
,,2003 - 2004,12.0,13.0,1.08,,,,,,,,,
,,2004 - 2005,8.0,9.0,1.13,,,,,,,,,
,,2005 - 2006,43.0,55.0,1.28,,,,,,,,,
,,2006 - 2007,13.0,14.0,1.08,,,,,,,,,
,,2007 - 2008,21.0,23.0,1.1,,,,,,,,,
,,2008 - 2009,18.0,21.0,1.17,,,,,,,,,
,,2009 - 2010,19.0,23.0,1.21,,,,,,,,,
,,2010 - 2011,37.0,49.0,1.32,,,,,,,,,
,,2011 - 2012,19.0,25.0,1.32,,,,,,,,,
,,2012 - 2013,9.0,12.0,1.33,,,,,,,,,
,,2013 - 2014,5.0,8.0,1.6,,,,,,,,,
,,2014 - 2015,8.0,13.0,1.63,,,,,,,,,
,,2015 - 2016,32.0,48.0,1.5,,,,,,,,,
,,2016 - 2017,13.0,16.0,1.23,,,,,,,,,
,,2017 - 2018,13.0,17.0,1.31,,,,,,,,,
,,2018 - 2019,7.0,,0.0,,,,,,,,,
,,2019 - 2020,16.0,29.0,1.81,,,,,,,,,
,,2020 - 2021,38.0,91.0,2.39,,,,,,,,,
,,2021 - 2022,28.0,67.0,2.39,,,,,,,,,
,,2022 - 2023,25.0,47.0,1.88,,,,,,,,,
,Rajnandgaon,2000 - 2001,13.0,16.0,1.23,,,,,,,,,
,,2001 - 2002,12.0,14.0,1.17,,,,,,,,,
,,2002 - 2003,14.0,14.0,1.0,,,,,,,,,
,,2003 - 2004,37.0,37.0,1.0,,,,,,,,,
,,2004 - 2005,13.0,16.0,1.23,,,,,,,,,
,,2005 - 2006,20.0,24.0,1.2,,,,,,,,,
,,2006 - 2007,11.0,13.0,1.18,,,,,,,,,
,,2007 - 2008,20.0,25.0,1.25,,,,,,,,,
,,2008 - 2009,9.0,12.0,1.33,,,,,,,,,
,,2009 - 2010,7.0,8.0,1.14,,,,,,,,,
,,2010 - 2011,17.0,19.0,1.12,,,,,,,,,
,,2011 - 2012,13.0,15.0,1.15,,,,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,,2014 - 2015,2.0,2.0,1.0,,,,,,,,,
,,2015 - 2016,3.0,3.0,1.0,,,,,,,,,
,,2016 - 2017,8.0,10.0,1.25,,,,,,,,,
,,2017 - 2018,5.0,6.0,1.2,,,,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,,,,
,,2019 - 2020,3.0,4.0,1.33,,,,,,,,,
,,2020 - 2021,15.0,21.0,1.4,,,,,,,,,
,,2021 - 2022,17.0,24.0,1.41,,,,,,,,,
,,2022 - 2023,3.0,4.0,1.33,,,,,,,,,
,Sakti,2022 - 2023,4.0,8.0,2.0,,,,,,,,,
,Sarangarh bilaigarh,2022 - 2023,35.0,63.0,1.8,,,,,,,,,
,Sukma,2014 - 2015,2.0,2.0,1.0,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,3.0,3.0,1.0,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Surajpur,2011 - 2012,364.0,421.0,1.16,,,,,,,,,
,,2012 - 2013,362.0,453.0,1.25,,,,,,,,,
,,2013 - 2014,346.0,334.0,0.97,,,,,,,,,
,,2014 - 2015,256.0,345.0,1.35,,,,,,,,,
,,2015 - 2016,385.0,526.0,1.37,,,,,,,,,
,,2016 - 2017,432.0,490.0,1.13,,,,,,,,,
,,2017 - 2018,436.0,510.0,1.17,,,,,,,,,
,,2018 - 2019,417.0,464.0,1.11,,,,,,,,,
,,2019 - 2020,286.0,391.0,1.37,,,,,,,,,
,,2020 - 2021,203.0,294.0,1.45,,,,,,,,,
,,2021 - 2022,184.0,249.0,1.35,,,,,,,,,
,,2022 - 2023,183.0,230.0,1.26,,,,,,,,,
,Surguja,2000 - 2001,317.0,391.0,1.23,,,,,,,,,
,,2001 - 2002,422.0,512.0,1.21,,,,,,,,,
,,2002 - 2003,398.0,452.0,1.14,,,,,,,,,
,,2003 - 2004,426.0,509.0,1.19,,,,,,,,,
,,2004 - 2005,419.0,460.0,1.1,,,,,,,,,
,,2005 - 2006,560.0,540.0,0.96,,,,,,,,,
,,2006 - 2007,684.0,844.0,1.23,,,,,,,,,
,,2007 - 2008,733.0,876.0,1.2,,,,,,,,,
,,2008 - 2009,831.0,,1.25,,,,,,,,,
,,2009 - 2010,804.0,651.0,0.81,,,,,,,,,
,,2010 - 2011,867.0,,1.35,,,,,,,,,
,,2011 - 2012,259.0,300.0,1.16,,,,,,,,,
,,2012 - 2013,262.0,287.0,1.1,,,,,,,,,
,,2013 - 2014,274.0,328.0,1.2,,,,,,,,,
,,2014 - 2015,269.0,322.0,1.2,,,,,,,,,
,,2015 - 2016,288.0,285.0,0.99,,,,,,,,,
,,2016 - 2017,279.0,319.0,1.14,,,,,,,,,
,,2017 - 2018,292.0,375.0,1.28,,,,,,,,,
,,2018 - 2019,314.0,409.0,1.3,,,,,,,,,
,,2019 - 2020,245.0,349.0,1.42,,,,,,,,,
,,2020 - 2021,259.0,500.0,1.93,,,,,,,,,
,,2021 - 2022,310.0,599.0,1.93,,,,,,,,,
,,2022 - 2023,289.0,533.0,1.84,,,,,,,,,
Haryana,Ambala,2011 - 2012,,,,,,,3.0,,0.0,,,
,,2012 - 2013,,,,,,,3.0,,0.0,,,
,,2013 - 2014,105.0,,14.86,,,,,,,,,
,,2014 - 2015,62.0,650.0,10.48,,,,,,,,,
,,2015 - 2016,52.0,650.0,12.5,,,,,,,,,
,Hisar,2021 - 2022,,,,,,,2.0,0.0,0.0,,,
,Jind,2021 - 2022,,,,,,,10.0,0.0,0.0,,,
,Kaithal,2012 - 2013,,,,,,,2.0,,0.0,,,
,Panchkula,2000 - 2001,,,,,,,63.0,,0.0,,,
,,2010 - 2011,,,,,,,61.0,100.0,1.64,,,
,,2011 - 2012,,,,,,,57.0,100.0,1.75,,,
,,2012 - 2013,,,,,,,62.0,,0.0,,,
,,2013 - 2014,320.0,,13.91,,,,,,,,,
,,2014 - 2015,80.0,,15.38,,,,,,,,,
,,2015 - 2016,90.0,,15.33,,,,,,,,,
,,2016 - 2017,80.0,,18.63,,,,,,,,,
,,2017 - 2018,425.0,,7.5,,,,,,,,,
,,2018 - 2019,82.0,655.0,7.99,,,,,,,,,
,,2019 - 2020,70.0,573.0,8.19,,,,,,,,,
,,2021 - 2022,,,,,,,69.0,0.0,0.0,,,
,Sonipat,2015 - 2016,5.0,70.0,14.0,,,,,,,,,
,,2016 - 2017,6.0,75.0,12.5,,,,,,,,,
,,2017 - 2018,10.0,80.0,8.0,,,,,,,,,
,,2018 - 2019,10.0,65.0,6.5,,,,,,,,,
,,2019 - 2020,4.0,50.0,12.5,,,,,,,,,
,Yamunanagar,2000 - 2001,,,,,,,2.0,,0.0,,,
,,2011 - 2012,,,,,,,4.0,,0.0,,,
,,2013 - 2014,200.0,,14.75,,,,,,,,,
,,2014 - 2015,143.0,,15.94,,,,,,,,,
,,2015 - 2016,142.0,,15.52,,,,,,,,,
,,2016 - 2017,22.0,312.0,14.18,,,,,,,,,
,,2017 - 2018,157.0,,7.64,,,,,,,,,
Himachal Pradesh,Bilaspur,2001 - 2002,,,,,,,164.0,,9.59,,,
,,2002 - 2003,,,,,,,84.0,486.0,5.79,,,
,,2003 - 2004,,,,,,,110.0,689.0,6.26,,,
,,2004 - 2005,,,,,,,117.0,980.0,8.38,,,
,,2005 - 2006,,,,,,,131.0,,8.9,,,
,,2006 - 2007,,,,,,,100.0,328.0,3.28,,,
,,2007 - 2008,,,,,,,103.0,,9.83,,,
,,2009 - 2010,,,,,,,120.0,445.0,3.71,,,
,,2011 - 2012,,,,,,,99.0,309.48,3.13,,,
,,2012 - 2013,,,,,,,167.0,,7.61,,,
,,2014 - 2015,,,,,,,132.0,,7.61,,,
,,2015 - 2016,,,,,,,116.0,882.53,7.61,,,
,,2018 - 2019,,,,,,,90.0,333.0,3.7,,,
