state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2017 - 2018,,,,1.0,,0.0,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,
,,2022 - 2023,,,,5.0,3.0,0.6,,,,,,
,Bilaspur,2000 - 2001,100.0,17.0,0.17,,,,,,,,,
,,2001 - 2002,120.0,38.0,0.32,,,,,,,,,
,,2002 - 2003,108.0,25.0,0.23,,,,,,,,,
,,2003 - 2004,121.0,35.0,0.29,,,,,,,,,
,,2004 - 2005,111.0,32.0,0.29,,,,,,,,,
,,2005 - 2006,101.0,33.0,0.33,,,,,,,,,
,,2006 - 2007,184.0,59.0,0.32,,,,,,,,,
,,2007 - 2008,104.0,34.0,0.33,,,,,,,,,
,,2008 - 2009,94.0,29.0,0.31,,,,,,,,,
,,2009 - 2010,103.0,37.0,0.36,,,,,,,,,
,,2010 - 2011,63.0,22.0,0.35,,,,,,,,,
,,2011 - 2012,150.0,289.0,1.93,,,,,,,,,
,,2012 - 2013,150.0,51.0,0.34,,,,,,,,,
,,2013 - 2014,,,,148.0,56.0,0.38,,,,,,
,,2014 - 2015,,,,103.0,39.0,0.38,,,,,,
,,2015 - 2016,,,,100.0,49.0,0.49,,,,,,
,,2016 - 2017,,,,101.0,45.0,0.45,,,,,,
,,2017 - 2018,,,,53.0,20.0,0.38,,,,,,
,,2018 - 2019,,,,71.0,35.0,0.49,,,,,,
,Dantewada,2000 - 2001,71.0,24.0,0.34,,,,,,,,,
,,2001 - 2002,62.0,22.0,0.35,,,,,,,,,
,,2002 - 2003,55.0,15.0,0.27,,,,,,,,,
,,2003 - 2004,54.0,20.0,0.37,,,,,,,,,
,,2004 - 2005,48.0,13.0,0.27,,,,,,,,,
,,2005 - 2006,36.0,11.0,0.31,,,,,,,,,
,,2006 - 2007,14.0,10.0,0.71,,,,,,,,,
,,2007 - 2008,16.0,5.0,0.31,,,,,,,,,
,,2008 - 2009,9.0,3.0,0.33,,,,,,,,,
,,2009 - 2010,15.0,3.0,0.2,,,,,,,,,
,,2010 - 2011,18.0,6.0,0.33,,,,,,,,,
,,2011 - 2012,17.0,25.0,1.47,,,,,,,,,
,,2012 - 2013,18.0,5.0,0.28,,,,,,,,,
,,2013 - 2014,,,,12.0,4.0,0.33,,,,,,
,,2014 - 2015,,,,19.0,8.0,0.42,,,,,,
,,2015 - 2016,,,,21.0,6.0,0.29,,,,,,
,,2016 - 2017,,,,14.0,6.0,0.43,,,,,,
,,2017 - 2018,,,,8.0,2.0,0.25,,,,,,
,,2018 - 2019,,,,4.0,2.0,0.5,,,,,,
,,2019 - 2020,,,,5.0,1.0,0.2,,,,,,
,,2020 - 2021,,,,3.0,0.0,0.0,,,,,,
,Dhamtari,2000 - 2001,15.0,4.0,0.27,,,,,,,,,
,,2001 - 2002,8.0,3.0,0.38,,,,,,,,,
,,2002 - 2003,6.0,2.0,0.33,,,,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,,,,
,,2004 - 2005,12.0,4.0,0.33,,,,,,,,,
,,2005 - 2006,12.0,4.0,0.33,,,,,,,,,
,,2006 - 2007,4.0,1.0,0.25,,,,,,,,,
,,2007 - 2008,4.0,1.0,0.25,,,,,,,,,
,,2008 - 2009,3.0,1.0,0.33,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2013 - 2014,,,,1.0,,0.0,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2020 - 2021,,,,1.0,6.0,6.0,,,,,,
,Durg,2000 - 2001,69.0,21.0,0.3,,,,,,,,,
,,2001 - 2002,22.0,8.0,0.36,,,,,,,,,
,,2002 - 2003,72.0,25.0,0.35,,,,,,,,,
,,2003 - 2004,34.0,13.0,0.38,,,,,,,,,
,,2004 - 2005,24.0,8.0,0.33,,,,,,,,,
,,2005 - 2006,30.0,11.0,0.37,,,,,,,,,
,,2006 - 2007,32.0,12.0,0.38,,,,,,,,,
,,2007 - 2008,21.0,7.0,0.33,,,,,,,,,
,,2008 - 2009,18.0,6.0,0.33,,,,,,,,,
,,2009 - 2010,28.0,10.0,0.36,,,,,,,,,
,,2010 - 2011,39.0,17.0,0.44,,,,,,,,,
,,2012 - 2013,6.0,2.0,0.33,,,,,,,,,
,,2013 - 2014,,,,31.0,9.0,0.29,,,,,,
,,2015 - 2016,,,,11.0,4.0,0.36,,,,,,
,,2016 - 2017,,,,91.0,32.0,0.35,,,,,,
,,2020 - 2021,,,,16.0,1.0,0.06,,,,,,
,,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Gariyaband,2011 - 2012,21.0,41.0,1.95,,,,,,,,,
,,2012 - 2013,21.0,8.0,0.38,,,,,,,,,
,,2013 - 2014,,,,37.0,11.0,0.3,,,,,,
,,2014 - 2015,,,,21.0,7.0,0.33,,,,,,
,,2015 - 2016,,,,20.0,12.0,0.6,,,,,,
,,2016 - 2017,,,,3.0,2.0,0.67,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,Gaurella-pendra-marwahi,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Janjgir-champa,2000 - 2001,62.0,18.0,0.29,,,,,,,,,
,,2001 - 2002,72.0,26.0,0.36,,,,,,,,,
,,2002 - 2003,84.0,27.0,0.32,,,,,,,,,
,,2003 - 2004,74.0,28.0,0.38,,,,,,,,,
,,2004 - 2005,74.0,25.0,0.34,,,,,,,,,
,,2005 - 2006,72.0,27.0,0.38,,,,,,,,,
,,2006 - 2007,66.0,21.0,0.32,,,,,,,,,
,,2007 - 2008,58.0,21.0,0.36,,,,,,,,,
,,2008 - 2009,50.0,19.0,0.38,,,,,,,,,
,,2009 - 2010,26.0,9.0,0.35,,,,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,,,,
,,2011 - 2012,27.0,56.0,2.07,,,,,,,,,
,,2012 - 2013,27.0,8.0,0.3,,,,,,,,,
,,2013 - 2014,,,,19.0,7.0,0.37,,,,,,
,,2014 - 2015,,,,19.0,7.0,0.37,,,,,,
,,2015 - 2016,,,,18.0,8.0,0.44,,,,,,
,,2016 - 2017,,,,18.0,9.0,0.5,,,,,,
,,2017 - 2018,,,,17.0,7.0,0.41,,,,,,
,,2018 - 2019,,,,17.0,8.0,0.47,,,,,,
,,2019 - 2020,,,,16.0,7.0,0.44,,,,,,
,Jashpur,2000 - 2001,128.0,44.0,0.34,,,,,,,,,
,,2001 - 2002,129.0,46.0,0.36,,,,,,,,,
,,2002 - 2003,129.0,46.0,0.36,,,,,,,,,
,,2003 - 2004,125.0,45.0,0.36,,,,,,,,,
,,2004 - 2005,120.0,39.0,0.33,,,,,,,,,
,,2005 - 2006,120.0,36.0,0.3,,,,,,,,,
,,2006 - 2007,112.0,37.0,0.33,,,,,,,,,
,,2007 - 2008,119.0,41.0,0.34,,,,,,,,,
,,2008 - 2009,103.0,39.0,0.38,,,,,,,,,
,,2009 - 2010,99.0,35.0,0.35,,,,,,,,,
,,2010 - 2011,93.0,31.0,0.33,,,,,,,,,
,,2011 - 2012,124.0,248.0,2.0,,,,,,,,,
,,2012 - 2013,93.0,33.0,0.35,,,,,,,,,
,,2013 - 2014,,,,80.0,29.0,0.36,,,,,,
,,2014 - 2015,,,,97.0,34.0,0.35,,,,,,
,,2015 - 2016,,,,94.0,36.0,0.38,,,,,,
,,2016 - 2017,,,,79.0,30.0,0.38,,,,,,
,,2017 - 2018,,,,77.0,36.0,0.47,,,,,,
,,2018 - 2019,,,,77.0,34.0,0.44,,,,,,
,,2019 - 2020,,,,59.0,26.0,0.44,,,,,,
,,2020 - 2021,,,,58.0,26.0,0.45,,,,,,
,,2021 - 2022,,,,65.0,41.0,0.63,,,,,,
,,2022 - 2023,,,,55.0,25.0,0.45,,,,,,
,Kabirdham,2000 - 2001,6.0,2.0,0.33,,,,,,,,,
,,2001 - 2002,5.0,1.0,0.2,,,,,,,,,
,,2002 - 2003,6.0,2.0,0.33,,,,,,,,,
,,2003 - 2004,1.0,,0.0,,,,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,Kanker,2000 - 2001,98.0,33.0,0.34,,,,,,,,,
,,2001 - 2002,101.0,43.0,0.43,,,,,,,,,
,,2002 - 2003,99.0,16.0,0.16,,,,,,,,,
,,2003 - 2004,121.0,55.0,0.45,,,,,,,,,
,,2004 - 2005,111.0,45.0,0.41,,,,,,,,,
,,2005 - 2006,108.0,46.0,0.43,,,,,,,,,
,,2006 - 2007,82.0,38.0,0.46,,,,,,,,,
,,2007 - 2008,97.0,44.0,0.45,,,,,,,,,
,,2008 - 2009,96.0,31.0,0.32,,,,,,,,,
,,2009 - 2010,97.0,39.0,0.4,,,,,,,,,
,,2010 - 2011,83.0,36.0,0.43,,,,,,,,,
,,2011 - 2012,57.0,82.0,1.44,,,,,,,,,
,,2012 - 2013,33.0,10.0,0.3,,,,,,,,,
,,2013 - 2014,,,,38.0,15.0,0.39,,,,,,
,,2014 - 2015,,,,31.0,10.0,0.32,,,,,,
,,2015 - 2016,,,,19.0,6.0,0.32,,,,,,
,,2016 - 2017,,,,9.0,4.0,0.44,,,,,,
,,2017 - 2018,,,,8.0,3.0,0.38,,,,,,
,,2018 - 2019,,,,5.0,1.0,0.2,,,,,,
,,2019 - 2020,,,,12.0,6.0,0.5,,,,,,
,,2020 - 2021,,,,8.0,2.0,0.25,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,,,,9.0,5.0,0.56,,,,,,
,Kondagaon,2011 - 2012,33.0,79.0,2.39,,,,,,,,,
,,2012 - 2013,33.0,13.0,0.39,,,,,,,,,
,,2013 - 2014,,,,34.0,14.0,0.41,,,,,,
,,2014 - 2015,,,,31.0,9.0,0.29,,,,,,
,,2015 - 2016,,,,28.0,16.0,0.57,,,,,,
,,2016 - 2017,,,,19.0,13.0,0.68,,,,,,
,,2017 - 2018,,,,22.0,14.0,0.64,,,,,,
,,2018 - 2019,,,,9.0,6.0,0.67,,,,,,
,,2019 - 2020,,,,5.0,4.0,0.8,,,,,,
,,2020 - 2021,,,,6.0,0.0,0.0,,,,,,
,,2021 - 2022,,,,5.0,4.0,0.8,,,,,,
,,2022 - 2023,,,,4.0,3.0,0.75,,,,,,
,Korba,2000 - 2001,26.0,7.0,0.27,,,,,,,,,
,,2001 - 2002,29.0,10.0,0.34,,,,,,,,,
,,2002 - 2003,6.0,2.0,0.33,,,,,,,,,
,,2003 - 2004,16.0,5.0,0.31,,,,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,,,,,,,
,,2005 - 2006,33.0,10.0,0.3,,,,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,,,,
,,2007 - 2008,15.0,4.0,0.27,,,,,,,,,
,,2008 - 2009,4.0,1.0,0.25,,,,,,,,,
,,2009 - 2010,16.0,5.0,0.31,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2011 - 2012,17.0,28.0,1.65,,,,,,,,,
,,2012 - 2013,26.0,10.0,0.38,,,,,,,,,
,,2013 - 2014,,,,26.0,8.0,0.31,,,,,,
,,2014 - 2015,,,,16.0,6.0,0.38,,,,,,
,,2015 - 2016,,,,10.0,4.0,0.4,,,,,,
,,2017 - 2018,,,,9.0,4.0,0.44,,,,,,
,,2018 - 2019,,,,7.0,3.0,0.43,,,,,,
,,2019 - 2020,,,,1.0,,0.0,,,,,,
,Korea,2000 - 2001,72.0,23.0,0.32,,,,,,,,,
,,2001 - 2002,61.0,20.0,0.33,,,,,,,,,
,,2002 - 2003,60.0,18.0,0.3,,,,,,,,,
,,2003 - 2004,61.0,17.0,0.28,,,,,,,,,
,,2004 - 2005,58.0,15.0,0.26,,,,,,,,,
,,2005 - 2006,59.0,14.0,0.24,,,,,,,,,
,,2006 - 2007,64.0,17.0,0.27,,,,,,,,,
,,2007 - 2008,91.0,24.0,0.26,,,,,,,,,
,,2008 - 2009,72.0,24.0,0.33,,,,,,,,,
,,2009 - 2010,66.0,16.0,0.24,,,,,,,,,
,,2010 - 2011,71.0,14.0,0.2,,,,,,,,,
,,2011 - 2012,82.0,148.0,1.8,,,,,,,,,
,,2012 - 2013,67.0,18.0,0.27,,,,,,,,,
,,2013 - 2014,,,,64.0,18.0,0.28,,,,,,
,,2014 - 2015,,,,68.0,21.0,0.31,,,,,,
,,2015 - 2016,,,,58.0,20.0,0.34,,,,,,
,,2016 - 2017,,,,71.0,24.0,0.34,,,,,,
,,2017 - 2018,,,,73.0,25.0,0.34,,,,,,
,,2018 - 2019,,,,50.0,13.0,0.26,,,,,,
,,2019 - 2020,,,,22.0,7.0,0.32,,,,,,
,,2020 - 2021,,,,8.0,2.0,0.25,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Mahasamund,2000 - 2001,233.0,55.0,0.24,,,,,,,,,
,,2001 - 2002,224.0,93.0,0.42,,,,,,,,,
,,2002 - 2003,206.0,60.0,0.29,,,,,,,,,
,,2003 - 2004,193.0,56.0,0.29,,,,,,,,,
,,2004 - 2005,192.0,61.0,0.32,,,,,,,,,
,,2005 - 2006,187.0,54.0,0.29,,,,,,,,,
,,2006 - 2007,166.0,51.0,0.31,,,,,,,,,
,,2007 - 2008,191.0,55.0,0.29,,,,,,,,,
,,2008 - 2009,142.0,51.0,0.36,,,,,,,,,
,,2009 - 2010,142.0,41.0,0.29,,,,,,,,,
,,2010 - 2011,139.0,48.0,0.35,,,,,,,,,
,,2011 - 2012,95.0,183.0,1.93,,,,,,,,,
,,2012 - 2013,140.0,48.0,0.34,,,,,,,,,
,,2013 - 2014,,,,127.0,44.0,0.35,,,,,,
,,2014 - 2015,,,,154.0,54.0,0.35,,,,,,
,,2015 - 2016,,,,126.0,48.0,0.38,,,,,,
,,2016 - 2017,,,,104.0,40.0,0.38,,,,,,
,,2017 - 2018,,,,80.0,31.0,0.39,,,,,,
,,2018 - 2019,,,,75.0,23.0,0.31,,,,,,
,,2019 - 2020,,,,9.0,3.0,0.33,,,,,,
,,2020 - 2021,,,,3.0,1.0,0.33,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,14.0,7.0,0.5,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Mungeli,2022 - 2023,,,,32.0,15.0,0.47,,,,,,
,Narayanpur,2010 - 2011,2.0,,0.0,,,,,,,,,
,,2011 - 2012,1.0,3.0,3.0,,,,,,,,,
,Raigarh,2000 - 2001,382.0,94.0,0.25,,,,,,,,,
,,2001 - 2002,358.0,116.0,0.32,,,,,,,,,
,,2002 - 2003,351.0,108.0,0.31,,,,,,,,,
,,2003 - 2004,337.0,110.0,0.33,,,,,,,,,
,,2004 - 2005,338.0,101.0,0.3,,,,,,,,,
,,2005 - 2006,298.0,99.0,0.33,,,,,,,,,
,,2006 - 2007,258.0,87.0,0.34,,,,,,,,,
,,2007 - 2008,248.0,86.0,0.35,,,,,,,,,
,,2008 - 2009,245.0,89.0,0.36,,,,,,,,,
,,2009 - 2010,386.0,135.0,0.35,,,,,,,,,
,,2010 - 2011,261.0,9.0,0.03,,,,,,,,,
,,2011 - 2012,302.0,788.0,2.61,,,,,,,,,
,,2012 - 2013,285.0,103.0,0.36,,,,,,,,,
,,2013 - 2014,,,,256.0,77.0,0.3,,,,,,
,,2014 - 2015,,,,259.0,101.0,0.39,,,,,,
,,2015 - 2016,,,,229.0,118.0,0.52,,,,,,
,,2016 - 2017,,,,213.0,110.0,0.52,,,,,,
,,2017 - 2018,,,,189.0,95.0,0.5,,,,,,
,,2018 - 2019,,,,181.0,119.0,0.66,,,,,,
,,2019 - 2020,,,,138.0,69.0,0.5,,,,,,
,,2020 - 2021,,,,129.0,67.0,0.52,,,,,,
,,2021 - 2022,,,,118.0,56.0,0.47,,,,,,
,,2022 - 2023,,,,97.0,46.0,0.47,,,,,,
,Raipur,2000 - 2001,43.0,10.0,0.23,,,,,,,,,
,,2001 - 2002,87.0,29.0,0.33,,,,,,,,,
,,2002 - 2003,40.0,12.0,0.3,,,,,,,,,
,,2003 - 2004,44.0,14.0,0.32,,,,,,,,,
,,2004 - 2005,71.0,23.0,0.32,,,,,,,,,
,,2005 - 2006,95.0,26.0,0.27,,,,,,,,,
,,2006 - 2007,73.0,21.0,0.29,,,,,,,,,
,,2007 - 2008,60.0,18.0,0.3,,,,,,,,,
,,2008 - 2009,60.0,18.0,0.3,,,,,,,,,
,,2009 - 2010,72.0,21.0,0.29,,,,,,,,,
,,2010 - 2011,31.0,9.0,0.29,,,,,,,,,
,,2011 - 2012,2.0,4.0,2.0,,,,,,,,,
,,2012 - 2013,7.0,4.0,0.57,,,,,,,,,
,,2013 - 2014,,,,7.0,3.0,0.43,,,,,,
,,2014 - 2015,,,,1.0,,0.0,,,,,,
,,2015 - 2016,,,,6.0,2.0,0.33,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,
,,2017 - 2018,,,,2.0,1.0,0.5,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,2.0,,0.0,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,2.0,2.0,1.0,,,,,,
,Rajnandgaon,2000 - 2001,39.0,11.0,0.28,,,,,,,,,
,,2001 - 2002,38.0,14.0,0.37,,,,,,,,,
,,2002 - 2003,43.0,11.0,0.26,,,,,,,,,
,,2003 - 2004,38.0,13.0,0.34,,,,,,,,,
,,2004 - 2005,34.0,12.0,0.35,,,,,,,,,
,,2005 - 2006,42.0,14.0,0.33,,,,,,,,,
,,2006 - 2007,50.0,15.0,0.3,,,,,,,,,
,,2007 - 2008,26.0,8.0,0.31,,,,,,,,,
,,2008 - 2009,30.0,8.0,0.27,,,,,,,,,
,,2009 - 2010,22.0,7.0,0.32,,,,,,,,,
,,2010 - 2011,28.0,7.0,0.25,,,,,,,,,
,,2011 - 2012,22.0,40.0,1.82,,,,,,,,,
,,2012 - 2013,24.0,6.0,0.25,,,,,,,,,
,,2013 - 2014,,,,25.0,7.0,0.28,,,,,,
,,2014 - 2015,,,,9.0,4.0,0.44,,,,,,
,,2015 - 2016,,,,1.0,,0.0,,,,,,
,,2016 - 2017,,,,1.0,,0.0,,,,,,
,,2020 - 2021,,,,1.0,0.0,0.0,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,Sakti,2022 - 2023,,,,12.0,7.0,0.58,,,,,,
,Sarangarh bilaigarh,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Sukma,2011 - 2012,1.0,1.0,1.0,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2013 - 2014,,,,1.0,,0.0,,,,,,
,,2014 - 2015,,,,1.0,,0.0,,,,,,
,,2017 - 2018,,,,1.0,,0.0,,,,,,
,,2018 - 2019,,,,2.0,1.0,0.5,,,,,,
,Surajpur,2011 - 2012,129.0,233.0,1.81,,,,,,,,,
,,2012 - 2013,107.0,35.0,0.33,,,,,,,,,
,,2013 - 2014,,,,183.0,53.0,0.29,,,,,,
,,2014 - 2015,,,,188.0,52.0,0.28,,,,,,
,,2015 - 2016,,,,187.0,97.0,0.52,,,,,,
,,2016 - 2017,,,,146.0,83.0,0.57,,,,,,
,,2017 - 2018,,,,148.0,100.0,0.68,,,,,,
,,2018 - 2019,,,,139.0,94.0,0.68,,,,,,
,,2019 - 2020,,,,115.0,78.0,0.68,,,,,,
,,2020 - 2021,,,,97.0,67.0,0.69,,,,,,
,,2021 - 2022,,,,27.0,18.0,0.67,,,,,,
,,2022 - 2023,,,,23.0,19.0,0.83,,,,,,
,Surguja,2000 - 2001,360.0,107.0,0.3,,,,,,,,,
,,2001 - 2002,341.0,112.0,0.33,,,,,,,,,
,,2002 - 2003,331.0,99.0,0.3,,,,,,,,,
,,2003 - 2004,405.0,136.0,0.34,,,,,,,,,
,,2004 - 2005,372.0,109.0,0.29,,,,,,,,,
,,2005 - 2006,375.0,112.0,0.3,,,,,,,,,
,,2006 - 2007,389.0,127.0,0.33,,,,,,,,,
,,2007 - 2008,460.0,150.0,0.33,,,,,,,,,
,,2008 - 2009,428.0,139.0,0.32,,,,,,,,,
,,2009 - 2010,373.0,101.0,0.27,,,,,,,,,
,,2010 - 2011,374.0,71.0,0.19,,,,,,,,,
,,2011 - 2012,75.0,135.0,1.8,,,,,,,,,
,,2012 - 2013,80.0,24.0,0.3,,,,,,,,,
,,2013 - 2014,,,,91.0,26.0,0.29,,,,,,
,,2014 - 2015,,,,96.0,27.0,0.28,,,,,,
,,2015 - 2016,,,,92.0,28.0,0.3,,,,,,
,,2016 - 2017,,,,79.0,23.0,0.29,,,,,,
,,2017 - 2018,,,,55.0,15.0,0.27,,,,,,
,,2018 - 2019,,,,107.0,37.0,0.35,,,,,,
,,2019 - 2020,,,,49.0,15.0,0.31,,,,,,
,,2020 - 2021,,,,25.0,9.0,0.36,,,,,,
,,2021 - 2022,,,,19.0,6.0,0.32,,,,,,
,,2022 - 2023,,,,16.0,6.0,0.38,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,,29.0,17.0,0.59,,,,,,
,,2001 - 2002,,,,10.0,6.0,0.6,,,,,,
,,2002 - 2003,,,,24.0,14.0,0.58,,,,,,
,,2003 - 2004,,,,12.0,7.0,0.58,,,,,,
,,2004 - 2005,,,,67.0,40.0,0.6,,,,,,
,,2005 - 2006,,,,60.0,36.0,0.6,,,,,,
,,2006 - 2007,,,,57.0,34.0,0.6,,,,,,
,,2010 - 2011,,,,104.0,62.0,0.6,,,,160.0,112.0,0.7
,,2011 - 2012,,,,,,,,,,124.0,90.0,0.73
,,2012 - 2013,,,,,,,,,,100.0,73.0,0.73
Haryana,Ambala,2006 - 2007,2.0,,0.0,,,,,,,,,
,Bhiwani,2000 - 2001,61.0,100.0,1.64,,,,,,,,,
,,2001 - 2002,84.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,22.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,65.0,0.0,0.0,,,,,,,,,
,,2005 - 2006,52.0,,0.0,,,,,,,,,
,,2006 - 2007,52.0,,0.0,,,,,,,,,
,,2007 - 2008,19.0,,0.0,,,,,,,,,
,,2008 - 2009,92.0,,0.0,,,,,,,,,
,,2010 - 2011,27.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,15.0,,0.0,,,,,,
,,2012 - 2013,,,,19.0,9.0,0.47,,,,,,
,,2013 - 2014,,,,13.0,,0.0,,,,,,
,Faridabad,2000 - 2001,1.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,600.0,0.4,,,,,,,,,
,Fatehabad,2000 - 2001,3.0,0.0,0.0,,,,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,,,,
,Gurgaon,2000 - 2001,1.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,2.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,9.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,14.0,,0.0,,,,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,Hisar,2000 - 2001,62.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,4.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,8.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,5.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,5.0,,0.0,,,,,,,,,
,,2005 - 2006,5.0,,0.0,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,
,,2007 - 2008,3.0,,0.0,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,,,,
,Jhajjar,2000 - 2001,122.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,124.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,128.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,122.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,144.0,,0.0,,,,,,,,,
,,2005 - 2006,116.0,,0.0,,,,,,,,,
,,2006 - 2007,85.0,,0.0,,,,,,,,,
,,2007 - 2008,44.0,,0.0,,,,,,,,,
,,2008 - 2009,44.0,,0.0,,,,,,,,,
,,2010 - 2011,16.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,4.0,,0.0,,,,,,
,,2012 - 2013,,,,17.0,6.0,0.35,,,,,,
,,2013 - 2014,,,,5.0,,0.0,,,,,,
,Jind,2000 - 2001,43.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,22.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,28.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,28.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,42.0,,0.0,,,,,,,,,
,,2005 - 2006,15.0,,0.0,,,,,,,,,
,,2006 - 2007,5.0,,0.0,,,,,,,,,
,,2007 - 2008,7.0,,0.0,,,,,,,,,
,,2008 - 2009,3.0,,0.0,,,,,,,,,
,,2010 - 2011,2.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,2.0,,0.0,,,,,,
,,2012 - 2013,,,,4.0,1.0,0.25,,,,,,
,Kaithal,2006 - 2007,294.0,100.0,0.34,,,,,,,,,
,,2007 - 2008,6.0,,0.0,,,,,,,,,
,,2010 - 2011,2.0,,0.0,,,,,,,,,
,Karnal,2000 - 2001,2.0,0.0,0.0,,,,,,,,,
,,2008 - 2009,2.0,,0.0,,,,,,,,,
,Kurukshetra,2007 - 2008,1.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,
,Mahendragarh,2001 - 2002,5.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,8.0,0.0,0.0,,,,,,,,,
,,2007 - 2008,3.0,,0.0,,,,,,,,,
,,2008 - 2009,4.0,,0.0,,,,,,,,,
,,2010 - 2011,3.0,,0.0,,,,,,,,,
,Panchkula,2004 - 2005,75.0,,0.0,,,,,,,,,
,Panipat,2002 - 2003,27.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,28.0,0.0,0.0,,,,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,,,,
,,2006 - 2007,3.0,,0.0,,,,,,,,,
,,2007 - 2008,4.0,,0.0,,,,,,,,,
,,2008 - 2009,5.0,,0.0,,,,,,,,,
,,2013 - 2014,,,,5.0,,0.0,,,,,,
,Rewari,2000 - 2001,3.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,10.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,11.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,11.0,0.0,0.0,,,,,,,,,
