state,district,year,cowpea_rabi_area_hectare,cowpea_rabi_production_tonne,cowpea_rabi_yield_tonne_per_hectare,cowpea_kharif_area_hectare,cowpea_kharif_production_tonne,cowpea_kharif_yield_tonne_per_hectare,cowpea_summer_area_hectare,cowpea_summer_production_tonne,cowpea_summer_yield_tonne_per_hectare,cowpea_whole_year_area_hectare,cowpea_whole_year_production_tonne,cowpea_whole_year_yield_tonne_per_hectare
,,2021 - 2022,208.0,134.0,0.64,45.0,16.0,0.36,34.0,7.0,0.21,,,
,,2022 - 2023,81.0,47.0,0.58,13.0,5.0,0.38,,,,,,
,Gadag,2010 - 2011,617.0,163.0,0.26,995.0,207.0,0.21,,,,,,
,,2011 - 2012,348.0,205.0,0.59,988.0,174.0,0.18,,,,,,
,,2012 - 2013,,,,249.0,64.0,0.26,499.0,271.0,0.54,,,
,,2013 - 2014,1.0,,0.0,425.0,127.0,0.3,442.0,171.0,0.39,,,
,,2014 - 2015,5.0,2.0,0.4,332.0,106.0,0.32,701.0,211.0,0.3,,,
,,2015 - 2016,10.0,4.0,0.4,229.0,64.0,0.28,367.0,112.0,0.31,,,
,,2016 - 2017,7.0,,0.0,340.0,260.0,0.76,294.0,48.0,0.16,,,
,,2017 - 2018,16.0,6.0,0.38,136.0,31.0,0.23,468.0,88.0,0.19,,,
,,2018 - 2019,7.0,2.0,0.29,86.0,33.0,0.38,453.0,59.0,0.13,,,
,,2019 - 2020,404.0,197.0,0.49,158.0,45.0,0.28,,259.0,0.24,,,
,,2020 - 2021,,702.0,0.7,71.0,23.0,0.32,,383.0,0.32,,,
,,2021 - 2022,,,0.64,123.0,44.0,0.36,,363.0,0.21,,,
,,2022 - 2023,,,0.58,382.0,140.0,0.37,807.0,227.0,0.28,,,
,Gulbarga,2010 - 2011,,,,,285.0,0.15,,,,,,
,,2011 - 2012,,,,,404.0,0.35,,,,,,
,,2012 - 2013,,,,266.0,118.0,0.44,,,,,,
,,2013 - 2014,,,,327.0,107.0,0.33,,,,,,
,,2014 - 2015,,,,534.0,221.0,0.41,,,,,,
,,2015 - 2016,,,,54.0,22.0,0.41,,,,,,
,,2016 - 2017,,,,85.0,65.0,0.76,,,,,,
,,2017 - 2018,,,,75.0,17.0,0.23,,,,,,
,,2018 - 2019,,,,13.0,5.0,0.38,,,,,,
,,2019 - 2020,3.0,1.0,0.33,81.0,23.0,0.28,1.0,,0.0,,,
,,2020 - 2021,3.0,2.0,0.67,39.0,13.0,0.33,4.0,1.0,0.25,,,
,,2021 - 2022,24.0,15.0,0.63,50.0,18.0,0.36,43.0,9.0,0.21,,,
,,2022 - 2023,38.0,22.0,0.58,19.0,7.0,0.37,,,,,,
,Hassan,2010 - 2011,,,0.26,,,0.41,,,,,,
,,2011 - 2012,,458.0,0.38,,,0.46,,,,,,
,,2012 - 2013,821.0,250.0,0.3,,,0.14,123.0,44.0,0.36,,,
,,2013 - 2014,474.0,212.0,0.45,,,0.13,18.0,7.0,0.39,,,
,,2014 - 2015,,890.0,0.42,,,0.33,33.0,12.0,0.36,,,
,,2015 - 2016,,549.0,0.53,,,0.39,24.0,7.0,0.29,,,
,,2016 - 2017,579.0,14.0,0.02,,,0.77,13.0,2.0,0.15,,,
,,2017 - 2018,,553.0,0.48,,,0.11,9.0,3.0,0.33,,,
,,2018 - 2019,984.0,277.0,0.28,,,0.32,12.0,2.0,0.17,,,
,,2019 - 2020,991.0,484.0,0.49,,,0.31,11.0,3.0,0.27,,,
,,2020 - 2021,,714.0,0.7,,,0.29,21.0,7.0,0.33,,,
,,2021 - 2022,,702.0,0.64,,,0.3,53.0,11.0,0.21,,,
,,2022 - 2023,,,0.58,,,0.39,,,,,,
,Haveri,2010 - 2011,,324.0,0.26,465.0,240.0,0.52,,,,,,
,,2011 - 2012,664.0,120.0,0.18,301.0,159.0,0.53,,,,,,
,,2012 - 2013,340.0,113.0,0.33,330.0,90.0,0.27,634.0,143.0,0.23,,,
,,2013 - 2014,743.0,314.0,0.42,241.0,90.0,0.37,512.0,148.0,0.29,,,
,,2014 - 2015,571.0,209.0,0.37,108.0,47.0,0.44,487.0,187.0,0.38,,,
,,2015 - 2016,416.0,185.0,0.44,148.0,61.0,0.41,394.0,122.0,0.31,,,
,,2016 - 2017,453.0,11.0,0.02,252.0,193.0,0.77,265.0,50.0,0.19,,,
,,2017 - 2018,519.0,211.0,0.41,149.0,31.0,0.21,341.0,102.0,0.3,,,
,,2018 - 2019,733.0,206.0,0.28,91.0,23.0,0.25,271.0,35.0,0.13,,,
,,2019 - 2020,,652.0,0.49,65.0,18.0,0.28,442.0,106.0,0.24,,,
,,2020 - 2021,,,0.7,44.0,38.0,0.86,590.0,187.0,0.32,,,
,,2021 - 2022,,,0.64,74.0,50.0,0.68,585.0,123.0,0.21,,,
,,2022 - 2023,,,0.58,41.0,11.0,0.27,70.0,20.0,0.29,,,
,Kodagu,2010 - 2011,280.0,74.0,0.26,,,,,,,,,
,,2011 - 2012,36.0,13.0,0.36,,,,,,,,,
,,2012 - 2013,,,,6.0,2.0,0.33,35.0,13.0,0.37,,,
,,2013 - 2014,,,,10.0,4.0,0.4,28.0,11.0,0.39,,,
,,2014 - 2015,,,,,,,12.0,4.0,0.33,,,
,,2015 - 2016,,,,,,,12.0,4.0,0.33,,,
,,2016 - 2017,,,,,,,15.0,3.0,0.2,,,
,,2017 - 2018,,,,,,,8.0,2.0,0.25,,,
,,2018 - 2019,,,,6.0,2.0,0.33,2.0,,0.0,,,
,,2019 - 2020,,,,4.0,1.0,0.25,8.0,2.0,0.25,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,Kolar,2010 - 2011,18.0,5.0,0.28,,,1.15,,,,,,
,,2011 - 2012,19.0,7.0,0.37,,,1.75,,,,,,
,,2012 - 2013,14.0,5.0,0.36,,,1.46,,,,,,
,,2013 - 2014,14.0,6.0,0.43,,941.0,0.75,,,,,,
,,2014 - 2015,14.0,5.0,0.36,928.0,785.0,0.85,,,,,,
,,2015 - 2016,8.0,4.0,0.5,,,1.01,,,,,,
,,2016 - 2017,,,,,829.0,0.77,,,,,,
,,2017 - 2018,,,,,364.0,0.23,,,,,,
,,2018 - 2019,,,,216.0,82.0,0.38,,,,,,
,,2019 - 2020,13.0,6.0,0.46,351.0,100.0,0.28,2.0,,0.0,,,
,,2020 - 2021,40.0,28.0,0.7,164.0,54.0,0.33,,,,,,
,,2021 - 2022,10.0,6.0,0.6,168.0,60.0,0.36,4.0,1.0,0.25,,,
,,2022 - 2023,48.0,28.0,0.58,67.0,24.0,0.36,5.0,1.0,0.2,,,
,Koppal,2010 - 2011,,991.0,0.26,,,0.85,,,,,,
,,2011 - 2012,,744.0,0.35,,694.0,0.39,,,,,,
,,2012 - 2013,,,,,300.0,0.27,,578.0,0.36,,,
,,2013 - 2014,,,,,494.0,0.47,,,0.36,,,
,,2014 - 2015,,,,,733.0,0.37,,705.0,0.29,,,
,,2015 - 2016,,,,,218.0,0.2,,434.0,0.24,,,
,,2016 - 2017,,,,,,0.77,,406.0,0.17,,,
,,2017 - 2018,,,,,266.0,0.23,,470.0,0.3,,,
,,2018 - 2019,,,,,497.0,0.47,,170.0,0.13,,,
,,2019 - 2020,,574.0,0.49,391.0,94.0,0.24,,324.0,0.24,,,
,,2020 - 2021,,,0.7,200.0,124.0,0.62,713.0,226.0,0.32,,,
,,2021 - 2022,,,0.64,639.0,202.0,0.32,563.0,119.0,0.21,,,
,,2022 - 2023,,,0.58,,784.0,0.45,151.0,43.0,0.28,,,
,Mandya,2010 - 2011,,266.0,0.26,,,0.74,,,,,,
,,2011 - 2012,,333.0,0.22,,,0.58,,,,,,
,,2012 - 2013,821.0,161.0,0.2,,,0.52,214.0,64.0,0.3,,,
,,2013 - 2014,363.0,209.0,0.58,,,0.56,341.0,134.0,0.39,,,
,,2014 - 2015,271.0,99.0,0.37,,,0.43,177.0,65.0,0.37,,,
,,2015 - 2016,87.0,39.0,0.45,,,0.51,74.0,22.0,0.3,,,
,,2016 - 2017,2.0,,0.0,,,0.77,,,,,,
,,2017 - 2018,580.0,235.0,0.41,,,0.18,28.0,8.0,0.29,,,
,,2018 - 2019,48.0,13.0,0.27,,,0.37,142.0,18.0,0.13,,,
,,2019 - 2020,34.0,17.0,0.5,,,0.15,5.0,1.0,0.2,,,
,,2020 - 2021,12.0,8.0,0.67,,513.0,0.27,52.0,16.0,0.31,,,
,,2021 - 2022,118.0,76.0,0.64,,,0.37,63.0,13.0,0.21,,,
,,2022 - 2023,95.0,55.0,0.58,,,0.33,17.0,5.0,0.29,,,
,Mysore,2010 - 2011,,,0.26,,,0.41,,,,,,
,,2011 - 2012,,,0.38,,,0.45,,,,,,
,,2012 - 2013,,668.0,0.38,,,0.18,187.0,78.0,0.42,,,
,,2013 - 2014,,,0.39,,,0.45,160.0,63.0,0.39,,,
,,2014 - 2015,,,0.32,,,0.4,211.0,77.0,0.36,,,
,,2015 - 2016,,,0.43,,,0.33,1.0,,0.0,,,
,,2016 - 2017,,31.0,0.02,,,0.77,,,,,,
,,2017 - 2018,,,0.38,,,0.28,1.0,,0.0,,,
,,2018 - 2019,,,0.28,,,0.42,73.0,10.0,0.14,,,
,,2019 - 2020,,992.0,0.49,,,0.32,44.0,11.0,0.25,,,
,,2020 - 2021,,,0.7,,,0.33,18.0,6.0,0.33,,,
,,2021 - 2022,,,0.64,,,0.37,10.0,2.0,0.2,,,
,,2022 - 2023,,,0.54,,,0.37,,,,,,
,Raichur,2010 - 2011,228.0,60.0,0.26,187.0,97.0,0.52,,,,,,
,,2011 - 2012,80.0,28.0,0.35,181.0,96.0,0.53,,,,,,
,,2012 - 2013,,,,62.0,17.0,0.27,77.0,28.0,0.36,,,
,,2013 - 2014,,,,196.0,73.0,0.37,,,,,,
,,2014 - 2015,,,,172.0,75.0,0.44,,,,,,
,,2015 - 2016,,,,31.0,13.0,0.42,15.0,5.0,0.33,,,
,,2016 - 2017,,,,5.0,4.0,0.8,,,,,,
,,2017 - 2018,,,,,,,22.0,7.0,0.32,,,
,,2018 - 2019,,,,83.0,31.0,0.37,,,,,,
,,2019 - 2020,163.0,80.0,0.49,22.0,6.0,0.27,4.0,1.0,0.25,,,
,,2020 - 2021,223.0,155.0,0.7,30.0,10.0,0.33,,,,,,
,,2021 - 2022,328.0,211.0,0.64,18.0,6.0,0.33,16.0,3.0,0.19,,,
,,2022 - 2023,227.0,133.0,0.59,10.0,4.0,0.4,2.0,1.0,0.5,,,
,Ramanagara,2010 - 2011,23.0,6.0,0.26,,,0.53,,,,,,
,,2011 - 2012,12.0,4.0,0.33,,,1.3,,,,,,
,,2012 - 2013,,,,,724.0,0.63,,,,,,
,,2013 - 2014,,,,,495.0,0.37,,,,,,
,,2014 - 2015,,,,,,1.46,,,,,,
,,2015 - 2016,,,,,,1.31,,,,,,
,,2016 - 2017,,,,,,1.3,,,,,,
,,2017 - 2018,4.0,2.0,0.5,,904.0,0.55,,,,,,
,,2018 - 2019,,,,292.0,98.0,0.34,,,,,,
,,2019 - 2020,3.0,1.0,0.33,986.0,739.0,0.75,19.0,5.0,0.26,,,
,,2020 - 2021,1.0,1.0,1.0,325.0,249.0,0.77,14.0,4.0,0.29,,,
,,2021 - 2022,,,,308.0,220.0,0.71,,,,,,
,,2022 - 2023,,,,62.0,32.0,0.52,,,,,,
,Shimoga,2010 - 2011,330.0,87.0,0.26,84.0,43.0,0.51,,,,,,
,,2011 - 2012,276.0,97.0,0.35,114.0,60.0,0.53,,,,,,
,,2012 - 2013,52.0,17.0,0.33,242.0,66.0,0.27,169.0,61.0,0.36,,,
,,2013 - 2014,21.0,9.0,0.43,34.0,13.0,0.38,174.0,68.0,0.39,,,
,,2014 - 2015,4.0,1.0,0.25,146.0,64.0,0.44,126.0,46.0,0.37,,,
,,2015 - 2016,12.0,5.0,0.42,147.0,61.0,0.41,508.0,153.0,0.3,,,
,,2016 - 2017,19.0,,0.0,84.0,64.0,0.76,21.0,4.0,0.19,,,
,,2017 - 2018,17.0,7.0,0.41,209.0,47.0,0.22,69.0,21.0,0.3,,,
,,2018 - 2019,6.0,2.0,0.33,17.0,6.0,0.35,63.0,8.0,0.13,,,
,,2019 - 2020,26.0,13.0,0.5,15.0,4.0,0.27,11.0,3.0,0.27,,,
,,2020 - 2021,68.0,47.0,0.69,26.0,9.0,0.35,144.0,46.0,0.32,,,
,,2021 - 2022,7.0,4.0,0.57,25.0,9.0,0.36,52.0,11.0,0.21,,,
,,2022 - 2023,5.0,3.0,0.6,44.0,16.0,0.36,10.0,3.0,0.3,,,
,Tumkur,2010 - 2011,80.0,21.0,0.26,,,0.58,,,,,,
,,2011 - 2012,92.0,32.0,0.35,,,0.75,,,,,,
,,2012 - 2013,231.0,77.0,0.33,,751.0,0.22,,,,,,
,,2013 - 2014,54.0,23.0,0.43,,,0.43,51.0,20.0,0.39,,,
,,2014 - 2015,95.0,35.0,0.37,,,0.59,19.0,7.0,0.37,,,
,,2015 - 2016,18.0,8.0,0.44,,,0.44,76.0,23.0,0.3,,,
,,2016 - 2017,,,,,700.0,0.25,13.0,2.0,0.15,,,
,,2017 - 2018,87.0,35.0,0.4,,572.0,0.13,,,,,,
,,2018 - 2019,,,,,329.0,0.2,,,,,,
,,2019 - 2020,4.0,2.0,0.5,736.0,179.0,0.24,4.0,1.0,0.25,,,
,,2020 - 2021,22.0,15.0,0.68,,976.0,0.31,,,,,,
,,2021 - 2022,16.0,10.0,0.63,,830.0,0.25,,,,,,
,,2022 - 2023,8.0,5.0,0.63,,,0.35,,,,,,
,Udupi,2010 - 2011,349.0,92.0,0.26,,,,,,,,,
,,2011 - 2012,344.0,121.0,0.35,,,,,,,,,
,,2012 - 2013,159.0,53.0,0.33,,,,117.0,42.0,0.36,,,
,,2013 - 2014,107.0,45.0,0.42,,,,135.0,53.0,0.39,,,
,,2014 - 2015,89.0,33.0,0.37,,,,120.0,44.0,0.37,,,
,,2015 - 2016,115.0,51.0,0.44,,,,118.0,35.0,0.3,,,
,,2016 - 2017,131.0,3.0,0.02,26.0,20.0,0.77,85.0,16.0,0.19,,,
,,2017 - 2018,114.0,46.0,0.4,,,,76.0,23.0,0.3,,,
,,2018 - 2019,119.0,33.0,0.28,3.0,1.0,0.33,37.0,5.0,0.14,,,
,,2019 - 2020,116.0,57.0,0.49,3.0,1.0,0.33,44.0,11.0,0.25,,,
,,2020 - 2021,150.0,105.0,0.7,2.0,1.0,0.5,43.0,14.0,0.33,,,
,,2021 - 2022,148.0,95.0,0.64,1.0,0.35,0.35,30.0,6.0,0.2,,,
,,2022 - 2023,78.0,46.0,0.59,1.0,0.36,0.36,26.0,7.0,0.27,,,
,Uttar kannad,2010 - 2011,334.0,88.0,0.26,,,,,,,,,
,,2011 - 2012,219.0,77.0,0.35,,,,,,,,,
,,2012 - 2013,100.0,33.0,0.33,,,,124.0,45.0,0.36,,,
,,2013 - 2014,165.0,70.0,0.42,,,,117.0,46.0,0.39,,,
,,2014 - 2015,190.0,70.0,0.37,,,,104.0,38.0,0.37,,,
,,2015 - 2016,197.0,87.0,0.44,,,,97.0,29.0,0.3,,,
,,2016 - 2017,170.0,4.0,0.02,,,,72.0,13.0,0.18,,,
,,2017 - 2018,249.0,101.0,0.41,,,,154.0,46.0,0.3,,,
,,2018 - 2019,217.0,61.0,0.28,1.0,,0.0,36.0,5.0,0.14,,,
,,2019 - 2020,179.0,87.0,0.49,2.0,1.0,0.5,46.0,11.0,0.24,,,
,,2020 - 2021,446.0,311.0,0.7,,,,59.0,19.0,0.32,,,
,,2021 - 2022,252.0,162.0,0.64,1.0,0.35,0.35,47.0,10.0,0.21,,,
,,2022 - 2023,219.0,127.0,0.58,1.0,0.36,0.36,5.0,1.0,0.2,,,
,Vijayanagar,2022 - 2023,,,0.65,424.0,155.0,0.37,25.0,7.0,0.28,,,
,Yadgir,2010 - 2011,54.0,14.0,0.26,363.0,83.0,0.23,,,,,,
,,2011 - 2012,13.0,5.0,0.38,263.0,139.0,0.53,,,,,,
,,2012 - 2013,15.0,5.0,0.33,83.0,23.0,0.28,,,,,,
,,2013 - 2014,72.0,30.0,0.42,48.0,18.0,0.38,,,,,,
,,2014 - 2015,38.0,14.0,0.37,68.0,30.0,0.44,12.0,4.0,0.33,,,
,,2015 - 2016,102.0,45.0,0.44,47.0,19.0,0.4,14.0,4.0,0.29,,,
,,2016 - 2017,46.0,1.0,0.02,51.0,39.0,0.76,35.0,6.0,0.17,,,
,,2017 - 2018,20.0,8.0,0.4,26.0,6.0,0.23,15.0,4.0,0.27,,,
,,2018 - 2019,,,,165.0,62.0,0.38,,,,,,
,,2019 - 2020,,,,48.0,14.0,0.29,15.0,4.0,0.27,,,
,,2020 - 2021,21.0,15.0,0.71,13.0,4.0,0.31,36.0,11.0,0.31,,,
,,2021 - 2022,5.0,3.0,0.6,9.0,3.0,0.33,3.0,1.0,0.33,,,
,,2022 - 2023,3.0,2.0,0.67,10.0,4.0,0.4,2.0,1.0,0.5,,,
Kerala,Alappuzha,2012 - 2013,,,,,,,,,,2.0,,0.0
,,2014 - 2015,,,,,,,,,,8.0,,0.0
,Ernakulam,2012 - 2013,,,,,,,,,,156.0,,0.0
,,2013 - 2014,,,,,,,,,,194.0,,0.0
,,2014 - 2015,,,,,,,,,,359.0,,0.0
,Idukki,2014 - 2015,,,,,,,,,,73.0,,0.0
,Kannur,2012 - 2013,,,,,,,,,,79.0,,0.0
,,2013 - 2014,,,,,,,,,,201.0,,0.0
,,2014 - 2015,,,,,,,,,,182.0,,0.0
,Kasaragod,2012 - 2013,,,,,,,,,,20.0,,0.0
,,2013 - 2014,,,,,,,,,,20.0,,0.0
,,2014 - 2015,,,,,,,,,,96.0,,0.0
,Kollam,2012 - 2013,,,,,,,,,,53.0,,0.0
,,2013 - 2014,,,,,,,,,,56.0,,0.0
,,2014 - 2015,,,,,,,,,,60.0,,0.0
,Kottayam,2012 - 2013,,,,,,,,,,12.0,,0.0
,,2013 - 2014,,,,,,,,,,13.0,,0.0
,,2014 - 2015,,,,,,,,,,15.0,,0.0
,Kozhikode,2012 - 2013,,,,,,,,,,8.0,,0.0
,,2013 - 2014,,,,,,,,,,3.0,,0.0
,,2014 - 2015,,,,,,,,,,5.0,,0.0
,Malappuram,2012 - 2013,,,,,,,,,,39.0,,0.0
,,2013 - 2014,,,,,,,,,,37.0,,0.0
,,2014 - 2015,,,,,,,,,,168.0,,0.0
,Palakkad,2012 - 2013,,,,,,,,,,10.0,,0.0
,,2013 - 2014,,,,,,,,,,196.0,,0.0
,,2014 - 2015,,,,,,,,,,24.0,,0.0
,Pathanamthitta,2013 - 2014,,,,,,,,,,14.0,,0.0
,,2014 - 2015,,,,,,,,,,12.0,,0.0
,Thiruvananthapuram,2012 - 2013,,,,,,,,,,21.0,,0.0
,,2013 - 2014,,,,,,,,,,40.0,,0.0
,,2014 - 2015,,,,,,,,,,2.0,,0.0
,Wayanad,2012 - 2013,,,,,,,,,,685.0,,0.0
,,2013 - 2014,,,,,,,,,,1.0,,0.0
Madhya Pradesh,Anuppur,2009 - 2010,30.0,10.0,0.33,78.0,26.0,0.33,,,,,,
,,2010 - 2011,34.0,6.0,0.18,66.0,14.0,0.21,,,,,,
,Balaghat,2009 - 2010,214.0,62.0,0.29,153.0,44.0,0.29,,,,,,
,,2010 - 2011,97.0,19.0,0.2,138.0,27.0,0.2,,,,,,
,Betul,2009 - 2010,30.0,9.0,0.3,257.0,82.0,0.32,,,,,,
,,2010 - 2011,93.0,22.0,0.24,213.0,53.0,0.25,,,,,,
,Bhopal,2009 - 2010,,,,7.0,3.0,0.43,,,,,,
,,2010 - 2011,14.0,3.0,0.21,23.0,6.0,0.26,,,,,,
,Chhatarpur,2009 - 2010,3.0,1.0,0.33,72.0,17.0,0.24,,,,,,
,,2010 - 2011,5.0,1.0,0.2,91.0,14.0,0.15,,,,,,
,Chhindwara,2009 - 2010,61.0,20.0,0.33,937.0,406.0,0.43,,,,,,
,,2010 - 2011,78.0,17.0,0.22,879.0,196.0,0.22,,,,,,
,Damoh,2009 - 2010,9.0,4.0,0.44,7.0,3.0,0.43,,,,,,
,,2010 - 2011,5.0,1.0,0.2,,,,,,,,,
,Datia,2009 - 2010,,,,3.0,1.0,0.33,,,,,,
,Dhar,2009 - 2010,,,,727.0,241.0,0.33,,,,,,
,,2010 - 2011,,,,778.0,198.0,0.25,,,,,,
,Hoshangabad,2009 - 2010,82.0,38.0,0.46,21.0,7.0,0.33,,,,,,
,,2010 - 2011,90.0,33.0,0.37,25.0,7.0,0.28,,,,,,
,Jabalpur,2009 - 2010,8.0,3.0,0.38,36.0,11.0,0.31,,,,,,
,,2010 - 2011,17.0,5.0,0.29,37.0,10.0,0.27,,,,,,
,Jhabua,2009 - 2010,,,,146.0,56.0,0.38,,,,,,
,,2010 - 2011,,,,149.0,41.0,0.28,,,,,,
,Katni,2009 - 2010,30.0,7.0,0.23,24.0,6.0,0.25,,,,,,
,,2010 - 2011,26.0,3.0,0.12,24.0,2.0,0.08,,,,,,
,Khandwa,2009 - 2010,9.0,3.0,0.33,3.0,1.0,0.33,,,,,,
,,2010 - 2011,8.0,2.0,0.25,4.0,1.0,0.25,,,,,,
,Mandla,2009 - 2010,40.0,11.0,0.28,54.0,14.0,0.26,,,,,,
,,2010 - 2011,39.0,8.0,0.21,56.0,12.0,0.21,,,,,,
,Narsinghpur,2009 - 2010,30.0,15.0,0.5,7.0,4.0,0.57,,,,,,
,,2010 - 2011,10.0,4.0,0.4,3.0,1.0,0.33,,,,,,
,Panna,2009 - 2010,,,,9.0,3.0,0.33,,,,,,
,,2010 - 2011,5.0,1.0,0.2,35.0,5.0,0.14,,,,,,
,Raisen,2009 - 2010,8.0,2.0,0.25,24.0,7.0,0.29,,,,,,
,,2010 - 2011,2.0,,0.0,1.0,,0.0,,,,,,
,Rewa,2009 - 2010,9.0,3.0,0.33,1.0,,0.0,,,,,,
,,2010 - 2011,9.0,2.0,0.22,5.0,1.0,0.2,,,,,,
,Sagar,2009 - 2010,41.0,17.0,0.41,2.0,1.0,0.5,,,,,,
,,2010 - 2011,3.0,1.0,0.33,,,,,,,,,
,Satna,2009 - 2010,22.0,7.0,0.32,44.0,14.0,0.32,,,,,,
,,2010 - 2011,35.0,4.0,0.11,24.0,3.0,0.13,,,,,,
,Seoni,2009 - 2010,28.0,10.0,0.36,69.0,25.0,0.36,,,,,,
,,2010 - 2011,21.0,6.0,0.29,38.0,11.0,0.29,,,,,,
,Shahdol,2009 - 2010,2.0,1.0,0.5,100.0,33.0,0.33,,,,,,
,,2010 - 2011,,,,67.0,15.0,0.22,,,,,,
,Shajapur,2009 - 2010,2.0,1.0,0.5,30.0,10.0,0.33,,,,,,
,,2010 - 2011,,,,62.0,16.0,0.26,,,,,,
,Sidhi,2009 - 2010,1.0,,0.0,32.0,10.0,0.31,,,,,,
,,2010 - 2011,,,,21.0,4.0,0.19,,,,,,
,Singrauli,2009 - 2010,,,,79.0,29.0,0.37,,,,,,
,,2010 - 2011,,,,68.0,15.0,0.22,,,,,,
,Tikamgarh,2009 - 2010,19.0,6.0,0.32,13.0,5.0,0.38,,,,,,
,,2010 - 2011,22.0,7.0,0.32,20.0,4.0,0.2,,,,,,
,Umaria,2009 - 2010,2.0,1.0,0.5,57.0,12.0,0.21,,,,,,
,,2010 - 2011,3.0,1.0,0.33,45.0,6.0,0.13,,,,,,
Manipur,Bishnupur,2008 - 2009,,,,97.0,122.0,1.26,,,,,,
,,2009 - 2010,,,,40.0,37.0,0.93,,,,,,
,,2010 - 2011,,,,70.0,92.5,1.32,,,,,,
,,2011 - 2012,,,,97.0,116.0,1.2,,,,,,
,,2012 - 2013,,,,101.0,99.0,0.98,,,,,,
,,2013 - 2014,,,,108.0,118.8,1.1,,,,,,
,,2014 - 2015,,,,80.0,98.0,1.23,,,,,,
,,2015 - 2016,,,,83.0,96.0,1.16,,,,,,
,,2016 - 2017,,,,83.0,98.0,1.18,,,,,,
,,2017 - 2018,,,,83.0,92.0,1.11,,,,,,
,,2018 - 2019,,,,75.0,82.9,1.11,,,,,,
,Chandel,2008 - 2009,,,,218.0,188.0,0.86,,,,,,
,,2010 - 2011,,,,150.0,129.8,0.87,,,,,,
,,2011 - 2012,,,,120.0,108.0,0.9,,,,,,
,,2012 - 2013,,,,120.0,122.0,1.02,,,,,,
,,2013 - 2014,,,,129.0,130.0,1.01,,,,,,
,,2014 - 2015,,,,150.0,160.0,1.07,,,,,,
,,2015 - 2016,,,,150.0,162.0,1.08,,,,,,
,,2016 - 2017,,,,150.0,169.0,1.13,,,,,,
,,2017 - 2018,,,,150.0,158.0,1.05,,,,,,
,,2018 - 2019,,,,153.0,171.0,1.12,,,,,,
,Churachandpur,2008 - 2009,,,,178.0,195.0,1.1,,,,,,
,,2009 - 2010,,,,10.0,6.0,0.6,,,,,,
,,2010 - 2011,,,,230.0,253.0,1.1,,,,,,
,,2011 - 2012,,,,213.0,236.0,1.11,,,,,,
,,2012 - 2013,,,,170.0,160.0,0.94,,,,,,
,,2013 - 2014,,,,180.0,180.0,1.0,,,,,,
,,2014 - 2015,,,,226.0,234.0,1.04,,,,,,
,,2015 - 2016,,,,226.0,249.0,1.1,,,,,,
,,2016 - 2017,,,,226.0,253.0,1.12,,,,,,
,,2017 - 2018,,,,226.0,254.0,1.12,,,,,,
,,2018 - 2019,,,,220.0,175.0,0.8,,,,,,
,Imphal east,2008 - 2009,,,,32.0,38.0,1.19,,,,,,
,,2009 - 2010,,,,21.0,19.0,0.9,,,,,,
,,2010 - 2011,,,,35.0,48.5,1.39,,,,,,
,,2011 - 2012,,,,42.0,50.0,1.19,,,,,,
,,2012 - 2013,,,,42.0,47.0,1.12,,,,,,
,,2013 - 2014,,,,49.0,54.8,1.12,,,,,,
,,2014 - 2015,,,,43.0,52.0,1.21,,,,,,
,,2015 - 2016,,,,43.0,52.0,1.21,,,,,,
,,2016 - 2017,,,,43.0,55.0,1.28,,,,,,
,,2017 - 2018,,,,38.0,48.0,1.26,,,,,,
,,2018 - 2019,,,,42.0,48.3,1.15,,,,,,
,Imphal west,2008 - 2009,,,,26.0,34.0,1.31,,,,,,
,,2009 - 2010,,,,30.0,27.0,0.9,,,,,,
,,2010 - 2011,,,,25.0,33.4,1.34,,,,,,
,,2011 - 2012,,,,54.0,68.0,1.26,,,,,,
,,2012 - 2013,,,,45.0,44.0,0.98,,,,,,
,,2013 - 2014,,,,54.0,57.9,1.07,,,,,,
,,2014 - 2015,,,,54.0,62.0,1.15,,,,,,
,,2015 - 2016,,,,40.0,47.0,1.18,,,,,,
,,2016 - 2017,,,,40.0,48.0,1.2,,,,,,
,,2017 - 2018,,,,40.0,47.0,1.18,,,,,,
,,2018 - 2019,,,,55.0,58.5,1.06,,,,,,
,Senapati,2008 - 2009,,,,113.0,124.0,1.1,,,,,,
,,2009 - 2010,,,,11.0,7.0,0.64,,,,,,
,,2010 - 2011,,,,115.0,118.5,1.03,,,,,,
,,2011 - 2012,,,,100.0,101.0,1.01,,,,,,
,,2012 - 2013,,,,100.0,101.0,1.01,,,,,,
,,2013 - 2014,,,,104.0,106.0,1.02,,,,,,
,,2014 - 2015,,,,135.0,139.0,1.03,,,,,,
,,2015 - 2016,,,,135.0,142.0,1.05,,,,,,
,,2016 - 2017,,,,135.0,150.0,1.11,,,,,,
,,2017 - 2018,,,,137.0,163.0,1.19,,,,,,
,,2018 - 2019,,,,135.0,157.0,1.16,,,,,,
,Tamenglong,2008 - 2009,,,,100.0,104.0,1.04,,,,,,
,,2009 - 2010,,,,10.0,5.0,0.5,,,,,,
,,2010 - 2011,,,,104.0,104.0,1.0,,,,,,
,,2011 - 2012,,,,85.0,85.0,1.0,,,,,,
