state,district,year,coconut_whole_year_area_hectare,coconut_whole_year_production_nuts,coconut_whole_year_yield_tonne_per_hectare,coconut_kharif_area_hectare,coconut_kharif_production_nuts,coconut_kharif_yield_tonne_per_hectare
,,2011 - 2012,400.0,,,,,
,,2012 - 2013,385.0,,,,,
,,2013 - 2014,414.0,,,,,
,,2014 - 2015,427.0,,,,,
,,2015 - 2016,397.0,,,,,
,,2016 - 2017,416.0,,,,,
,,2017 - 2018,416.0,,,,,
,,2018 - 2019,425.0,,,,,
,,2019 - 2020,425.0,,,,,
,,2020 - 2021,422.0,,,,,
,,2021 - 2022,422.0,,,,,
,,2022 - 2023,338.0,,,,,
,Lakhimpur,2000 - 2001,187.0,,,,,
,,2001 - 2002,192.0,,,,,
,,2002 - 2003,200.0,,,,,
,,2003 - 2004,229.0,,,,,
,,2005 - 2006,229.0,,,,,
,,2006 - 2007,312.0,,,,,
,,2007 - 2008,293.0,,,,,
,,2008 - 2009,288.0,,,,,
,,2009 - 2010,298.0,,,,,
,,2010 - 2011,290.0,,,,,
,,2011 - 2012,278.0,,,,,
,,2012 - 2013,292.0,,,,,
,,2013 - 2014,292.0,,,,,
,,2014 - 2015,290.0,,,,,
,,2015 - 2016,287.0,,,,,
,,2016 - 2017,289.0,,,,,
,,2017 - 2018,289.0,,,,,
,,2018 - 2019,283.0,,,,,
,,2019 - 2020,289.0,,,,,
,,2020 - 2021,265.0,,,,,
,,2021 - 2022,265.0,,,,,
,,2022 - 2023,218.0,,,,,
,Majuli,2019 - 2020,135.0,,,,,
,,2020 - 2021,100.0,,,,,
,,2021 - 2022,100.0,,,,,
,,2022 - 2023,100.0,,,,,
,Marigaon,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,790.0,,,,,
,,2011 - 2012,810.0,,,,,
,,2012 - 2013,935.0,,,,,
,,2013 - 2014,750.0,,,,,
,,2014 - 2015,750.0,,,,,
,,2015 - 2016,706.0,,,,,
,,2016 - 2017,706.0,,,,,
,,2017 - 2018,706.0,,,,,
,,2018 - 2019,781.0,,,,,
,,2019 - 2020,781.0,,,,,
,,2020 - 2021,702.0,,,,,
,,2021 - 2022,702.0,,,,,
,,2022 - 2023,653.0,,,,,
,Nagaon,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Nalbari,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Sivasagar,2000 - 2001,575.0,,,,,
,,2001 - 2002,579.0,,,,,
,,2002 - 2003,597.0,,,,,
,,2003 - 2004,581.0,,,,,
,,2005 - 2006,546.0,,,,,
,,2006 - 2007,558.0,,,,,
,,2007 - 2008,506.0,,,,,
,,2008 - 2009,493.0,,,,,
,,2009 - 2010,481.0,,,,,
,,2010 - 2011,503.0,,,,,
,,2011 - 2012,532.0,,,,,
,,2012 - 2013,521.0,,,,,
,,2013 - 2014,489.0,,,,,
,,2014 - 2015,484.0,,,,,
,,2015 - 2016,470.0,,,,,
,,2016 - 2017,466.0,,,,,
,,2017 - 2018,466.0,,,,,
,,2018 - 2019,688.0,,,,,
,,2019 - 2020,215.0,,,,,
,,2020 - 2021,205.0,,,,,
,,2021 - 2022,205.0,,,,,
,,2022 - 2023,210.0,,,,,
,Sonitpur,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,South salmara mancachar,2020 - 2021,116.0,,,,,
,,2021 - 2022,116.0,,,,,
,,2022 - 2023,82.0,,,,,
,Tinsukia,2000 - 2001,69.0,,,,,
,,2001 - 2002,71.0,,,,,
,,2002 - 2003,75.0,,,,,
,,2003 - 2004,74.0,,,,,
,,2005 - 2006,78.0,,,,,
,,2006 - 2007,62.0,,,,,
,,2007 - 2008,63.0,,,,,
,,2008 - 2009,70.0,,942.86,,,
,,2009 - 2010,70.0,,,,,
,,2010 - 2011,53.0,,,,,
,,2011 - 2012,54.0,,,,,
,,2012 - 2013,72.0,,,,,
,,2013 - 2014,76.0,,,,,
,,2014 - 2015,71.0,,,,,
,,2015 - 2016,75.0,,,,,
,,2016 - 2017,76.0,,,,,
,,2017 - 2018,76.0,,,,,
,,2018 - 2019,72.0,,,,,
,,2019 - 2020,71.0,,,,,
,,2020 - 2021,81.0,,,,,
,,2021 - 2022,81.0,,,,,
,,2022 - 2023,79.0,,,,,
,Udalguri,2006 - 2007,514.0,,,,,
,,2007 - 2008,709.0,,,,,
,,2008 - 2009,630.0,,,,,
,,2009 - 2010,678.0,,,,,
,,2010 - 2011,684.0,,,,,
,,2011 - 2012,680.0,,,,,
,,2012 - 2013,670.0,,,,,
,,2013 - 2014,714.0,,,,,
,,2014 - 2015,691.0,,,,,
,,2015 - 2016,700.0,,,,,
,,2016 - 2017,720.0,,,,,
,,2017 - 2018,720.0,,,,,
,,2018 - 2019,723.0,,,,,
,,2019 - 2020,723.0,,,,,
,,2020 - 2021,710.0,,,,,
,,2021 - 2022,710.0,,,,,
,,2022 - 2023,708.0,,,,,
,West karbi anglong,2019 - 2020,75.0,,,,,
,,2020 - 2021,80.0,,,,,
,,2021 - 2022,80.0,,,,,
,,2022 - 2023,151.0,,,,,
Chhattisgarh,Bastar,2008 - 2009,,,,51.0,,0.0
,,2011 - 2012,14.0,,0.0,,,
,,2012 - 2013,11.0,,0.0,,,
,,2013 - 2014,1.0,,0.0,,,
,,2014 - 2015,1.0,,0.0,,,
,Bijapur,2008 - 2009,,,,21.0,,0.0
,,2011 - 2012,21.0,,0.0,,,
,,2012 - 2013,21.0,,0.0,,,
,,2013 - 2014,21.0,,0.0,,,
,,2014 - 2015,21.0,,0.0,,,
,,2015 - 2016,21.0,,0.0,,,
,,2019 - 2020,21.0,,0.0,,,
,,2020 - 2021,21.0,0.0,0.0,,,
,,2021 - 2022,21.0,0.0,0.0,,,
,Dantewada,2008 - 2009,,,,4.0,,0.0
,,2011 - 2012,1.0,,0.0,,,
,,2012 - 2013,1.0,,0.0,,,
,,2013 - 2014,1.0,,0.0,,,
,,2014 - 2015,1.0,,0.0,,,
,,2015 - 2016,1.0,,0.0,,,
,,2021 - 2022,2.0,0.0,0.0,,,
,Kondagaon,2011 - 2012,35.0,,0.0,,,
,,2012 - 2013,65.0,,0.0,,,
,,2014 - 2015,34.0,,0.0,,,
,,2015 - 2016,35.0,,0.0,,,
,,2019 - 2020,34.0,,0.0,,,
,,2020 - 2021,34.0,0.0,0.0,,,
,,2021 - 2022,34.0,0.0,0.0,,,
,Raipur,2008 - 2009,,,,1.0,,0.0
,,2011 - 2012,1.0,,0.0,,,
,Sukma,2011 - 2012,1.0,,0.0,,,
,,2012 - 2013,2.0,,0.0,,,
,,2013 - 2014,2.0,,0.0,,,
,,2014 - 2015,2.0,,0.0,,,
,,2015 - 2016,1.0,,0.0,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,,180.0,,445.0
,,2001 - 2002,,,,180.0,,250.0
,,2002 - 2003,,,,180.0,,250.0
,,2003 - 2004,,,,180.0,,250.0
,,2004 - 2005,,,,185.0,,249.73
,,2005 - 2006,,,,190.0,,250.0
,,2006 - 2007,,,,195.0,,250.0
Goa,North goa,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,308.84,,,
,South goa,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,606.21,,,
Karnataka,Bagalkot,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,877.0,,,,,
,,2003 - 2004,600.0,,,,,
,,2004 - 2005,452.0,,,,,
,,2005 - 2006,413.0,,,,,
,,2006 - 2007,236.0,,,,,
,,2007 - 2008,264.0,,,,,
,,2008 - 2009,410.0,,,,,
,,2009 - 2010,614.0,,,,,
,,2010 - 2011,664.0,,,,,
,,2011 - 2012,695.0,,,,,
,,2012 - 2013,664.0,,,,,
,,2013 - 2014,776.0,,,,,
,,2014 - 2015,743.0,,,,,
,,2015 - 2016,745.0,,,,,
,,2016 - 2017,777.0,,,,,
,,2017 - 2018,585.0,,,,,
,,2018 - 2019,361.0,,,,,
,,2019 - 2020,366.0,,,,,
,,2020 - 2021,351.0,,7.96,,,
,,2021 - 2022,397.0,,,,,
,,2022 - 2023,243.0,,,,,
,Bangalore rural,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Belgaum,2000 - 2001,183.0,,,,,
,,2001 - 2002,200.0,,,,,
,,2002 - 2003,216.0,,,,,
,,2003 - 2004,584.0,,,,,
,,2004 - 2005,599.0,,,,,
,,2005 - 2006,611.0,,,,,
,,2006 - 2007,632.0,,,,,
,,2007 - 2008,318.0,,,,,
,,2008 - 2009,323.0,,,,,
,,2009 - 2010,344.0,,,,,
,,2010 - 2011,336.0,,,,,
,,2011 - 2012,307.0,,,,,
,,2012 - 2013,132.0,,,,,
,,2013 - 2014,106.0,,,,,
,,2014 - 2015,131.0,,,,,
,,2015 - 2016,88.0,,,,,
,,2016 - 2017,86.0,,,,,
,,2017 - 2018,654.0,,,,,
,,2018 - 2019,371.0,,,,,
,,2019 - 2020,359.0,,,,,
,,2020 - 2021,344.0,,7.96,,,
,,2021 - 2022,240.0,,,,,
,,2022 - 2023,239.0,,,,,
,Bellary,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,910.0,,,,,
,,2012 - 2013,702.0,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,555.0,,,,,
,,2015 - 2016,523.0,,,,,
,,2016 - 2017,674.0,,,,,
,,2017 - 2018,579.0,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,876.0,,,,,
,,2020 - 2021,876.0,,7.96,,,
,,2021 - 2022,753.0,,,,,
,,2022 - 2023,95.0,,,,,
,Bengaluru urban,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Bidar,2000 - 2001,3.0,,,,,
,,2001 - 2002,27.0,,,,,
,,2002 - 2003,23.0,,,,,
,,2003 - 2004,23.0,,,,,
,,2004 - 2005,24.0,,,,,
,,2005 - 2006,25.0,,,,,
,,2006 - 2007,26.0,,,,,
,,2007 - 2008,23.0,,,,,
,,2008 - 2009,24.0,,,,,
,,2009 - 2010,19.0,,,,,
,,2010 - 2011,20.0,,,,,
,,2011 - 2012,20.0,,,,,
,,2012 - 2013,21.0,,,,,
,,2013 - 2014,29.0,,,,,
,,2014 - 2015,19.0,,,,,
,,2015 - 2016,8.0,,,,,
,,2017 - 2018,8.0,,,,,
,,2018 - 2019,68.0,,,,,
,,2019 - 2020,41.0,,,,,
,,2020 - 2021,18.0,143.0,7.94,,,
,,2021 - 2022,10.0,,,,,
,,2022 - 2023,6.0,,,,,
,Bijapur,2000 - 2001,158.0,,,,,
,,2001 - 2002,413.0,,,,,
,,2002 - 2003,175.0,,,,,
,,2003 - 2004,206.0,,,,,
,,2004 - 2005,178.0,,,,,
,,2005 - 2006,178.0,,,,,
,,2006 - 2007,189.0,,,,,
,,2007 - 2008,192.0,,,,,
,,2008 - 2009,213.0,,,,,
,,2009 - 2010,268.0,,,,,
,,2010 - 2011,281.0,,,,,
,,2011 - 2012,288.0,,,,,
,,2012 - 2013,284.0,,,,,
,,2013 - 2014,293.0,,,,,
,,2014 - 2015,296.0,,,,,
,,2015 - 2016,374.0,,,,,
,,2016 - 2017,366.0,,,,,
,,2017 - 2018,393.0,,,,,
,,2018 - 2019,80.0,,,,,
,,2019 - 2020,103.0,,,,,
,,2020 - 2021,86.0,685.0,7.97,,,
,,2021 - 2022,83.0,,,,,
,,2022 - 2023,49.0,,,,,
,Chamarajanagar,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,11.8,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Chikballapur,2007 - 2008,630.0,,,,,
,,2008 - 2009,699.0,,,,,
,,2009 - 2010,821.0,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,591.0,,,,,
,,2019 - 2020,549.0,,,,,
,,2020 - 2021,503.0,,7.96,,,
,,2021 - 2022,439.0,,,,,
,,2022 - 2023,453.0,,,,,
,Chikmagalur,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,9.05,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Chitradurga,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,9.6,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Dakshin kannad,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,6.89,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Davangere,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Dharwad,2000 - 2001,394.0,,,,,
,,2001 - 2002,415.0,,,,,
,,2002 - 2003,418.0,,,,,
,,2003 - 2004,437.0,,,,,
,,2004 - 2005,431.0,,,,,
,,2005 - 2006,402.0,,,,,
,,2006 - 2007,445.0,,,,,
,,2007 - 2008,450.0,,,,,
,,2008 - 2009,442.0,,,,,
,,2009 - 2010,472.0,,,,,
,,2010 - 2011,509.0,,,,,
,,2011 - 2012,511.0,,,,,
,,2012 - 2013,451.0,,,,,
,,2013 - 2014,435.0,,,,,
,,2014 - 2015,318.0,,,,,
,,2015 - 2016,298.0,,,,,
,,2016 - 2017,280.0,,,,,
,,2017 - 2018,275.0,,,,,
,,2018 - 2019,417.0,,,,,
,,2019 - 2020,395.0,,,,,
,,2020 - 2021,346.0,,7.96,,,
,,2021 - 2022,284.0,,,,,
,,2022 - 2023,239.0,,,,,
,Gadag,2000 - 2001,373.0,,,,,
,,2001 - 2002,391.0,,,,,
,,2002 - 2003,419.0,,,,,
,,2003 - 2004,522.0,,,,,
,,2004 - 2005,622.0,,,,,
,,2005 - 2006,579.0,,,,,
,,2006 - 2007,592.0,,,,,
,,2007 - 2008,612.0,,,,,
,,2008 - 2009,638.0,,,,,
,,2009 - 2010,664.0,,,,,
,,2010 - 2011,696.0,,,,,
,,2011 - 2012,461.0,,,,,
,,2012 - 2013,192.0,,,,,
,,2013 - 2014,286.0,,,,,
,,2014 - 2015,184.0,,,,,
,,2015 - 2016,91.0,,,,,
,,2016 - 2017,92.0,,,,,
,,2017 - 2018,157.0,,,,,
,,2018 - 2019,276.0,,,,,
,,2019 - 2020,253.0,,,,,
,,2020 - 2021,248.0,,7.96,,,
,,2021 - 2022,259.0,,,,,
,,2022 - 2023,345.0,,,,,
,Gulbarga,2000 - 2001,794.0,,,,,
,,2001 - 2002,866.0,,,,,
,,2002 - 2003,872.0,,,,,
,,2003 - 2004,757.0,,,,,
,,2004 - 2005,734.0,,,,,
,,2005 - 2006,645.0,,,,,
,,2006 - 2007,598.0,,,,,
,,2007 - 2008,567.0,,,,,
,,2008 - 2009,513.0,,,,,
,,2009 - 2010,479.0,,,,,
,,2010 - 2011,238.0,,,,,
,,2011 - 2012,242.0,,,,,
,,2012 - 2013,181.0,,,,,
,,2013 - 2014,119.0,,,,,
,,2014 - 2015,192.0,,,,,
,,2016 - 2017,262.0,,,,,
,,2017 - 2018,262.0,,,,,
,,2018 - 2019,23.0,,,,,
,,2019 - 2020,32.0,,,,,
,,2020 - 2021,27.0,215.0,7.96,,,
,,2021 - 2022,20.0,,,,,
,,2022 - 2023,22.0,,,,,
,Hassan,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,4.86,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Haveri,2000 - 2001,660.0,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,974.0,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Kodagu,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Kolar,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,7.96,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Koppal,2000 - 2001,672.0,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,492.0,,,,,
,,2003 - 2004,204.0,,,,,
,,2004 - 2005,344.0,,,,,
,,2005 - 2006,980.0,,,,,
,,2006 - 2007,628.0,,,,,
,,2007 - 2008,585.0,,,,,
,,2008 - 2009,595.0,,,,,
,,2009 - 2010,618.0,,,,,
,,2010 - 2011,629.0,,,,,
,,2011 - 2012,652.0,,,,,
,,2012 - 2013,652.0,,,,,
,,2013 - 2014,696.0,,,,,
,,2014 - 2015,812.0,,,,,
,,2015 - 2016,813.0,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,142.0,,,,,
,,2019 - 2020,223.0,,,,,
,,2020 - 2021,130.0,,7.96,,,
,,2021 - 2022,141.0,,,,,
,,2022 - 2023,155.0,,,,,
,Mandya,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,8.95,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Mysore,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
