state,district,year,safflower_rabi_area_hectare,safflower_rabi_production_tonne,safflower_rabi_yield_tonne_per_hectare,safflower_kharif_area_hectare,safflower_kharif_production_tonne,safflower_kharif_yield_tonne_per_hectare,safflower_whole_year_area_hectare,safflower_whole_year_production_tonne,safflower_whole_year_yield_tonne_per_hectare
,,2005 - 2006,,,0.45,,,,,,
,,2006 - 2007,,,0.35,,,,,,
,,2007 - 2008,,,0.87,,,,,,
,,2008 - 2009,,,0.63,,,,,,
,,2009 - 2010,,,0.67,,,,,,
,,2010 - 2011,,,0.72,,,,,,
,,2011 - 2012,,,0.89,,,,,,
,,2012 - 2013,,824.0,0.62,,,,,,
,,2013 - 2014,910.0,272.0,0.3,,,,,,
,,2014 - 2015,890.0,348.0,0.39,,,,,,
,,2015 - 2016,,262.0,0.24,,,,,,
,,2016 - 2017,,83.0,0.07,,,,,,
,,2017 - 2018,,707.0,0.54,,,,,,
,,2018 - 2019,260.0,70.0,0.27,,,,,,
,,2019 - 2020,583.0,426.0,0.73,,,,,,
,,2020 - 2021,535.0,315.0,0.59,,,,,,
,,2021 - 2022,437.0,309.0,0.71,,,,,,
,,2022 - 2023,594.0,325.0,0.55,,,,,,
,Bangalore rural,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,,2020 - 2021,8.0,5.0,0.63,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,
,Belgaum,2000 - 2001,,,0.53,,,,,,
,,2001 - 2002,,,0.57,,,,,,
,,2002 - 2003,,,0.55,,,,,,
,,2003 - 2004,,,0.26,,,,,,
,,2004 - 2005,,,0.48,,,,,,
,,2005 - 2006,,,0.72,,,,,,
,,2006 - 2007,,,0.57,,,,,,
,,2007 - 2008,,,0.55,,,,,,
,,2008 - 2009,,,0.75,,,,,,
,,2009 - 2010,,,0.52,,,,,,
,,2010 - 2011,,,1.32,,,,,,
,,2011 - 2012,,,0.43,,,,,,
,,2012 - 2013,,,0.32,,,,,,
,,2013 - 2014,,,0.56,,,,,,
,,2014 - 2015,,,0.77,,,,,,
,,2015 - 2016,,578.0,0.27,,,,,,
,,2016 - 2017,,957.0,0.57,,,,,,
,,2017 - 2018,,,1.08,,,,,,
,,2018 - 2019,,886.0,0.77,,,,,,
,,2019 - 2020,816.0,585.0,0.72,,,,,,
,,2020 - 2021,,653.0,0.56,,,,,,
,,2021 - 2022,,,0.68,,,,,,
,,2022 - 2023,,668.0,0.56,,,,,,
,Bellary,2000 - 2001,,,0.53,,,,,,
,,2001 - 2002,,,0.39,,,,,,
,,2002 - 2003,,594.0,0.26,,,,,,
,,2003 - 2004,,,0.25,,,,,,
,,2004 - 2005,,,0.33,,,,,,
,,2005 - 2006,,,0.33,,,,,,
,,2006 - 2007,,,0.43,,,,,,
,,2007 - 2008,,,0.62,,,,,,
,,2008 - 2009,,472.0,0.37,,,,,,
,,2009 - 2010,,411.0,0.31,,,,,,
,,2010 - 2011,819.0,305.0,0.37,,,,,,
,,2011 - 2012,69.0,16.0,0.23,,,,,,
,,2012 - 2013,371.0,167.0,0.45,,,,,,
,,2013 - 2014,121.0,202.0,1.67,,,,,,
,,2014 - 2015,118.0,34.0,0.29,,,,,,
,,2015 - 2016,144.0,56.0,0.39,,,,,,
,,2016 - 2017,7.0,2.0,0.29,,,,,,
,,2017 - 2018,5.0,5.0,1.0,,,,,,
,,2018 - 2019,917.0,329.0,0.36,,,,,,
,,2019 - 2020,574.0,318.0,0.55,,,,,,
,,2020 - 2021,224.0,229.0,1.02,,,,,,
,,2021 - 2022,181.0,147.0,0.81,,,,,,
,,2022 - 2023,55.0,49.0,0.89,,,,,,
,Bengaluru urban,2019 - 2020,10.0,9.0,0.9,,,,,,
,,2020 - 2021,6.0,4.0,0.67,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,
,Bidar,2000 - 2001,,,1.06,,,,,,
,,2001 - 2002,,,1.45,,,,,,
,,2002 - 2003,,,1.3,,,,,,
,,2003 - 2004,,,1.31,,,,,,
,,2004 - 2005,,,0.81,,,,,,
,,2005 - 2006,,,1.25,,,,,,
,,2006 - 2007,,,1.36,,,,,,
,,2007 - 2008,,,1.46,,,,,,
,,2008 - 2009,,,1.24,,,,,,
,,2009 - 2010,,,1.35,,,,,,
,,2010 - 2011,,,1.28,,,,,,
,,2011 - 2012,,,1.23,,,,,,
,,2012 - 2013,,,0.98,,,,,,
,,2013 - 2014,,,1.02,,,,,,
,,2014 - 2015,,,1.01,,,,,,
,,2015 - 2016,,,0.91,,,,,,
,,2016 - 2017,,,0.96,,,,,,
,,2017 - 2018,,,1.3,,,,,,
,,2018 - 2019,,,0.95,,,,,,
,,2019 - 2020,,,1.31,,,,,,
,,2020 - 2021,,,0.89,,,,,,
,,2021 - 2022,,,1.04,,,,,,
,,2022 - 2023,,,1.19,,,,,,
,Bijapur,2000 - 2001,,,0.64,,,,,,
,,2001 - 2002,,,0.63,,,,,,
,,2002 - 2003,,,0.52,,,,,,
,,2003 - 2004,,,0.18,,,,,,
,,2004 - 2005,,,0.57,,,,,,
,,2005 - 2006,,,0.33,,,,,,
,,2006 - 2007,,,0.41,,,,,,
,,2007 - 2008,,,0.29,,,,,,
,,2008 - 2009,,,0.49,,,,,,
,,2009 - 2010,,,0.46,,,,,,
,,2010 - 2011,,,0.44,,,,,,
,,2011 - 2012,,,0.17,,,,,,
,,2012 - 2013,,,0.29,,,,,,
,,2013 - 2014,,959.0,0.29,,,,,,
,,2014 - 2015,,980.0,0.37,,,,,,
,,2015 - 2016,,,0.08,,,,,,
,,2016 - 2017,199.0,103.0,0.52,,,,,,
,,2017 - 2018,907.0,394.0,0.43,,,,,,
,,2018 - 2019,,692.0,0.41,,,,,,
,,2019 - 2020,,,0.53,,,,,,
,,2020 - 2021,,,0.66,,,,,,
,,2021 - 2022,,,0.63,,,,,,
,,2022 - 2023,,,0.72,,,,,,
,Chamarajanagar,2018 - 2019,13.0,8.0,0.62,,,,,,
,,2019 - 2020,12.0,11.0,0.92,,,,,,
,,2020 - 2021,9.0,6.0,0.67,,,,,,
,,2021 - 2022,5.0,4.0,0.8,,,,,,
,,2022 - 2023,13.0,11.0,0.85,,,,,,
,Chikballapur,2018 - 2019,13.0,8.0,0.62,,,,,,
,,2019 - 2020,6.0,6.0,1.0,,,,,,
,,2020 - 2021,5.0,3.0,0.6,,,,,,
,,2021 - 2022,7.0,6.0,0.86,,,,,,
,,2022 - 2023,8.0,7.0,0.88,,,,,,
,Chikmagalur,2000 - 2001,288.0,222.0,0.77,,,,,,
,,2001 - 2002,80.0,62.0,0.78,,,,,,
,,2002 - 2003,29.0,19.0,0.66,,,,,,
,,2003 - 2004,4.0,2.0,0.5,,,,,,
,,2004 - 2005,10.0,5.0,0.5,,,,,,
,,2005 - 2006,43.0,33.0,0.77,,,,,,
,,2006 - 2007,105.0,78.0,0.74,,,,,,
,,2007 - 2008,52.0,44.0,0.85,,,,,,
,,2008 - 2009,54.0,44.0,0.81,,,,,,
,,2009 - 2010,30.0,23.0,0.77,,,,,,
,,2010 - 2011,32.0,28.0,0.88,,,,,,
,,2011 - 2012,43.0,26.0,0.6,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Chitradurga,2000 - 2001,,567.0,0.56,,,,,,
,,2001 - 2002,,535.0,0.39,,,,,,
,,2002 - 2003,,,0.65,,,,,,
,,2003 - 2004,,,0.36,,,,,,
,,2004 - 2005,,,0.33,,,,,,
,,2005 - 2006,,557.0,0.18,,,,,,
,,2006 - 2007,,,0.86,,,,,,
,,2007 - 2008,,,0.52,,,,,,
,,2008 - 2009,,,0.55,,,,,,
,,2009 - 2010,,,0.3,,,,,,
,,2010 - 2011,523.0,300.0,0.57,,,,,,
,,2011 - 2012,602.0,170.0,0.28,,,,,,
,,2012 - 2013,204.0,76.0,0.37,,,,,,
,,2013 - 2014,825.0,405.0,0.49,,,,,,
,,2014 - 2015,,883.0,0.47,,,,,,
,,2015 - 2016,,,0.51,,,,,,
,,2016 - 2017,6.0,,0.0,,,,,,
,,2017 - 2018,723.0,396.0,0.55,,,,,,
,,2018 - 2019,,594.0,0.53,,,,,,
,,2019 - 2020,,848.0,0.64,,,,,,
,,2020 - 2021,,489.0,0.46,,,,,,
,,2021 - 2022,192.0,38.0,0.2,,,,,,
,,2022 - 2023,428.0,253.0,0.59,,,,,,
,Davangere,2000 - 2001,430.0,332.0,0.77,,,,,,
,,2001 - 2002,58.0,45.0,0.78,,,,,,
,,2002 - 2003,242.0,157.0,0.65,,,,,,
,,2003 - 2004,268.0,113.0,0.42,,,,,,
,,2004 - 2005,151.0,36.0,0.24,,,,,,
,,2005 - 2006,20.0,15.0,0.75,,,,,,
,,2006 - 2007,45.0,33.0,0.73,,,,,,
,,2007 - 2008,161.0,135.0,0.84,,,,,,
,,2008 - 2009,30.0,24.0,0.8,,,,,,
,,2009 - 2010,2.0,2.0,1.0,,,,,,
,,2010 - 2011,67.0,60.0,0.9,,,,,,
,,2011 - 2012,23.0,14.0,0.61,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,
,,2015 - 2016,10.0,4.0,0.4,,,,,,
,,2018 - 2019,18.0,11.0,0.61,,,,,,
,,2019 - 2020,13.0,12.0,0.92,,,,,,
,,2020 - 2021,16.0,11.0,0.69,,,,,,
,,2021 - 2022,53.0,43.0,0.81,,,,,,
,,2022 - 2023,64.0,57.0,0.89,,,,,,
,Dharwad,2000 - 2001,,,0.94,,,,,,
,,2001 - 2002,,,0.55,,,,,,
,,2002 - 2003,,,0.49,,,,,,
,,2003 - 2004,,,0.15,,,,,,
,,2004 - 2005,,,0.66,,,,,,
,,2005 - 2006,,,1.06,,,,,,
,,2006 - 2007,,,1.15,,,,,,
,,2007 - 2008,,,1.14,,,,,,
,,2008 - 2009,,,1.55,,,,,,
,,2009 - 2010,,,0.96,,,,,,
,,2010 - 2011,,,1.18,,,,,,
,,2011 - 2012,,,0.48,,,,,,
,,2012 - 2013,,,0.34,,,,,,
,,2013 - 2014,,,0.56,,,,,,
,,2014 - 2015,,,0.65,,,,,,
,,2015 - 2016,,,0.27,,,,,,
,,2016 - 2017,,657.0,0.13,,,,,,
,,2017 - 2018,,,0.62,,,,,,
,,2018 - 2019,,,0.4,,,,,,
,,2019 - 2020,,,0.99,,,,,,
,,2020 - 2021,,,0.55,,,,,,
,,2021 - 2022,,,0.73,,,,,,
,,2022 - 2023,,,0.79,,,,,,
,Gadag,2000 - 2001,,,0.81,,,,,,
,,2001 - 2002,,,0.78,,,,,,
,,2002 - 2003,,,0.32,,,,,,
,,2003 - 2004,,,0.36,,,,,,
,,2004 - 2005,,,0.57,,,,,,
,,2005 - 2006,,,0.75,,,,,,
,,2006 - 2007,,,0.46,,,,,,
,,2007 - 2008,,,1.06,,,,,,
,,2008 - 2009,,,0.98,,,,,,
,,2009 - 2010,,,0.94,,,,,,
,,2010 - 2011,,,0.78,,,,,,
,,2011 - 2012,,,0.54,,,,,,
,,2012 - 2013,,,0.75,,,,,,
,,2013 - 2014,,,0.64,,,,,,
,,2014 - 2015,,,0.96,,,,,,
,,2015 - 2016,,878.0,0.37,,,,,,
,,2016 - 2017,,327.0,0.13,,,,,,
,,2017 - 2018,,,0.49,,,,,,
,,2018 - 2019,,472.0,0.26,,,,,,
,,2019 - 2020,,,0.6,,,,,,
,,2020 - 2021,,,0.54,,,,,,
,,2021 - 2022,,,0.58,,,,,,
,,2022 - 2023,,,0.54,,,,,,
,Gulbarga,2000 - 2001,,,0.76,,,,,,
,,2001 - 2002,,,0.78,,,,,,
,,2002 - 2003,,,0.72,,,,,,
,,2003 - 2004,,,0.47,,,,,,
,,2004 - 2005,,,0.43,,,,,,
,,2005 - 2006,,,0.7,,,,,,
,,2006 - 2007,,,0.66,,,,,,
,,2007 - 2008,,,0.68,,,,,,
,,2008 - 2009,,,0.63,,,,,,
,,2009 - 2010,,,0.75,,,,,,
,,2010 - 2011,,,0.56,,,,,,
,,2011 - 2012,,,0.67,,,,,,
,,2012 - 2013,,,0.93,,,,,,
,,2013 - 2014,,,1.15,,,,,,
,,2014 - 2015,,,0.75,,,,,,
,,2015 - 2016,,,0.42,,,,,,
,,2016 - 2017,,,0.96,,,,,,
,,2017 - 2018,,,0.9,,,,,,
,,2018 - 2019,465.0,436.0,0.94,,,,,,
,,2019 - 2020,,,0.84,,,,,,
,,2020 - 2021,,,0.68,,,,,,
,,2021 - 2022,,,0.7,,,,,,
,,2022 - 2023,,,0.76,,,,,,
,Hassan,2018 - 2019,4.0,2.0,0.5,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,4.0,3.0,0.75,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,
,Haveri,2000 - 2001,,,0.56,,,,,,
,,2001 - 2002,,922.0,0.54,,,,,,
,,2002 - 2003,,632.0,0.44,,,,,,
,,2003 - 2004,,663.0,0.29,,,,,,
,,2004 - 2005,,,0.9,,,,,,
,,2005 - 2006,,,0.73,,,,,,
,,2006 - 2007,,,0.68,,,,,,
,,2007 - 2008,,,0.85,,,,,,
,,2008 - 2009,,,0.73,,,,,,
,,2009 - 2010,,,0.73,,,,,,
,,2010 - 2011,,595.0,0.41,,,,,,
,,2011 - 2012,,,1.0,,,,,,
,,2012 - 2013,,,0.7,,,,,,
,,2013 - 2014,,926.0,0.86,,,,,,
,,2014 - 2015,674.0,777.0,1.15,,,,,,
,,2015 - 2016,910.0,262.0,0.29,,,,,,
,,2016 - 2017,228.0,114.0,0.5,,,,,,
,,2017 - 2018,386.0,223.0,0.58,,,,,,
,,2018 - 2019,267.0,195.0,0.73,,,,,,
,,2019 - 2020,451.0,288.0,0.64,,,,,,
,,2020 - 2021,550.0,433.0,0.79,,,,,,
,,2021 - 2022,,903.0,0.88,,,,,,
,,2022 - 2023,499.0,248.0,0.5,,,,,,
,Kolar,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,6.0,4.0,0.67,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Koppal,2000 - 2001,,,0.73,,,,,,
,,2001 - 2002,,,0.79,,,,,,
,,2002 - 2003,,,0.34,,,,,,
,,2003 - 2004,,,0.23,,,,,,
,,2004 - 2005,,,0.38,,,,,,
,,2005 - 2006,,,0.44,,,,,,
,,2006 - 2007,,,0.24,,,,,,
,,2007 - 2008,,,0.61,,,,,,
,,2008 - 2009,,,0.52,,,,,,
,,2009 - 2010,,,0.41,,,,,,
,,2010 - 2011,,,0.79,,,,,,
,,2011 - 2012,,616.0,0.58,,,,,,
,,2012 - 2013,,831.0,0.69,,,,,,
,,2013 - 2014,,,0.96,,,,,,
,,2014 - 2015,,,1.26,,,,,,
,,2015 - 2016,,249.0,0.23,,,,,,
,,2016 - 2017,805.0,53.0,0.07,,,,,,
,,2017 - 2018,,732.0,0.55,,,,,,
,,2018 - 2019,551.0,173.0,0.31,,,,,,
,,2019 - 2020,,618.0,0.55,,,,,,
,,2020 - 2021,,670.0,0.48,,,,,,
,,2021 - 2022,854.0,561.0,0.66,,,,,,
,,2022 - 2023,672.0,358.0,0.53,,,,,,
,Mandya,2018 - 2019,3.0,2.0,0.67,,,,,,
,,2019 - 2020,9.0,8.0,0.89,,,,,,
,,2020 - 2021,10.0,7.0,0.7,,,,,,
,,2021 - 2022,7.0,6.0,0.86,,,,,,
,Mysore,2018 - 2019,21.0,12.0,0.57,,,,,,
,,2019 - 2020,10.0,9.0,0.9,,,,,,
,,2020 - 2021,8.0,5.0,0.63,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,,,,
,Raichur,2000 - 2001,,,0.88,,,,,,
,,2001 - 2002,,,0.9,,,,,,
,,2002 - 2003,,,0.61,,,,,,
,,2003 - 2004,,,0.56,,,,,,
,,2004 - 2005,,,0.28,,,,,,
,,2005 - 2006,,,0.92,,,,,,
,,2006 - 2007,,,0.75,,,,,,
,,2007 - 2008,,,1.1,,,,,,
,,2008 - 2009,,,0.77,,,,,,
,,2009 - 2010,,,0.57,,,,,,
,,2010 - 2011,,,0.84,,,,,,
,,2011 - 2012,,,0.66,,,,,,
,,2012 - 2013,,596.0,0.44,,,,,,
,,2013 - 2014,781.0,683.0,0.87,,,,,,
,,2014 - 2015,,979.0,0.84,,,,,,
,,2015 - 2016,584.0,232.0,0.4,,,,,,
,,2016 - 2017,409.0,81.0,0.2,,,,,,
,,2017 - 2018,,703.0,0.56,,,,,,
,,2018 - 2019,265.0,57.0,0.22,,,,,,
,,2019 - 2020,545.0,408.0,0.75,,,,,,
,,2020 - 2021,318.0,211.0,0.66,,,,,,
,,2021 - 2022,346.0,280.0,0.81,,,,,,
,,2022 - 2023,291.0,261.0,0.9,,,,,,
,Ramanagara,2018 - 2019,3.0,2.0,0.67,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,5.0,3.0,0.6,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,Shimoga,2004 - 2005,4.0,2.0,0.5,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,
,,2009 - 2010,3.0,2.0,0.67,,,,,,
,,2011 - 2012,9.0,6.0,0.67,,,,,,
,,2012 - 2013,15.0,9.0,0.6,,,,,,
,,2013 - 2014,8.0,6.0,0.75,,,,,,
,,2014 - 2015,11.0,9.0,0.82,,,,,,
,Tumkur,2001 - 2002,20.0,16.0,0.8,,,,,,
,,2004 - 2005,14.0,7.0,0.5,,,,,,
,,2005 - 2006,15.0,11.0,0.73,,,,,,
,,2006 - 2007,14.0,10.0,0.71,,,,,,
,,2013 - 2014,26.0,21.0,0.81,,,,,,
,,2018 - 2019,43.0,25.0,0.58,,,,,,
,,2019 - 2020,23.0,21.0,0.91,,,,,,
,,2020 - 2021,27.0,18.0,0.67,,,,,,
,,2021 - 2022,17.0,13.0,0.76,,,,,,
,,2022 - 2023,9.0,8.0,0.89,,,,,,
,Udupi,2020 - 2021,1.0,1.0,1.0,,,,,,
,Uttar kannad,2000 - 2001,2.0,2.0,1.0,,,,,,
,Vijayanagar,2022 - 2023,44.0,40.0,0.91,,,,,,
,Yadgir,2010 - 2011,,650.0,0.62,,,,,,
,,2011 - 2012,982.0,343.0,0.35,,,,,,
,,2012 - 2013,881.0,484.0,0.55,,,,,,
,,2013 - 2014,565.0,376.0,0.67,,,,,,
,,2014 - 2015,559.0,311.0,0.56,,,,,,
,,2015 - 2016,485.0,130.0,0.27,,,,,,
,,2016 - 2017,83.0,51.0,0.61,,,,,,
,,2017 - 2018,68.0,47.0,0.69,,,,,,
,,2018 - 2019,112.0,62.0,0.55,,,,,,
,,2019 - 2020,180.0,63.0,0.35,,,,,,
,,2020 - 2021,237.0,122.0,0.51,,,,,,
,,2021 - 2022,305.0,169.0,0.55,,,,,,
,,2022 - 2023,300.0,141.0,0.47,,,,,,
Madhya Pradesh,Anuppur,2015 - 2016,,545.0,0.55,,,,,,
,,2016 - 2017,,,0.6,,,,,,
,Ashoknagar,2004 - 2005,102.0,24.0,0.24,,,,,,
,,2016 - 2017,80.0,50.0,0.63,,,,,,
,Balaghat,2000 - 2001,6.0,1.0,0.17,,,,,,
,,2001 - 2002,12.0,3.0,0.25,,,,,,
,,2002 - 2003,14.0,3.0,0.21,,,,,,
,,2003 - 2004,10.0,2.0,0.2,,,,,,
,,2004 - 2005,12.0,3.0,0.25,,,,,,
,,2007 - 2008,3.0,1.0,0.33,,,,,,
,,2008 - 2009,5.0,1.0,0.2,,,,,,
,,2009 - 2010,,,,,,,16.0,4.0,0.25
,,2010 - 2011,6.0,2.0,0.33,,,,,,
,,2015 - 2016,,500.0,0.5,,,,,,
,,2016 - 2017,,,0.74,,,,,,
,,2017 - 2018,300.0,170.0,0.57,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Barwani,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,,2016 - 2017,60.0,250.0,4.17,,,,,,
,,2017 - 2018,620.0,240.0,0.39,,,,,,
,Betul,2000 - 2001,10.0,2.0,0.2,,,,,,
,,2001 - 2002,21.0,4.0,0.19,,,,,,
,,2002 - 2003,16.0,3.0,0.19,,,,,,
,,2003 - 2004,54.0,12.0,0.22,,,,,,
,,2016 - 2017,,,0.55,,,,,,
,Bhind,2016 - 2017,,940.0,0.65,,,,,,
,Bhopal,2000 - 2001,7.0,1.0,0.14,,,,,,
,,2001 - 2002,6.0,1.0,0.17,,,,,,
,,2002 - 2003,7.0,1.0,0.14,,,,,,
,,2003 - 2004,7.0,1.0,0.14,,,,,,
,,2004 - 2005,6.0,1.0,0.17,,,,,,
,,2016 - 2017,100.0,30.0,0.3,,,,,,
,Burhanpur,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,3.0,1.0,0.33,,,,,,
,,2017 - 2018,90.0,90.0,1.0,,,,,,
,Chhatarpur,2001 - 2002,2.0,0.01,0.01,,,,,,
,,2002 - 2003,1.0,0.01,0.01,,,,,,
,,2014 - 2015,,,0.33,,,,,,
,,2015 - 2016,,595.0,0.6,,,,,,
,,2016 - 2017,,360.0,0.2,,,,,,
,Chhindwara,2001 - 2002,8.0,3.0,0.38,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2007 - 2008,9.0,3.0,0.33,,,,,,
,,2010 - 2011,12.0,4.0,0.33,,,,,,
,,2011 - 2012,10.0,4.0,0.4,,,,,,
,,2012 - 2013,18.0,8.0,0.44,,,,,,
,,2013 - 2014,19.0,10.0,0.53,,,,,,
,,2016 - 2017,,150.0,0.11,,,,,,
,Damoh,2016 - 2017,480.0,350.0,0.73,,,,,,
,Datia,2016 - 2017,60.0,20.0,0.33,,,,,,
,Dewas,2003 - 2004,12.0,4.0,0.33,,,,,,
,,2004 - 2005,327.0,109.0,0.33,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,
,,2016 - 2017,70.0,50.0,0.71,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,,2019 - 2020,3.0,1.0,0.33,,,,,,
,Dhar,2001 - 2002,25.0,7.0,0.28,,,,,,
,,2002 - 2003,3.0,1.0,0.33,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,,,,
,,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,
,,2009 - 2010,,,,,,,106.0,53.0,0.5
,,2010 - 2011,72.0,20.0,0.28,,,,,,
,,2011 - 2012,77.0,15.0,0.19,,,,,,
,,2012 - 2013,70.0,25.0,0.36,,,,,,
,,2016 - 2017,10.0,10.0,1.0,,,,,,
,,2018 - 2019,4.0,1.0,0.25,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,Dindori,2001 - 2002,2.0,0.01,0.01,,,,,,
,,2002 - 2003,1.0,0.01,0.01,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2015 - 2016,,,1.0,,,,,,
,,2016 - 2017,,170.0,0.1,,,,,,
,Guna,2000 - 2001,28.0,7.0,0.25,,,,,,
,,2001 - 2002,169.0,41.0,0.24,,,,,,
,,2002 - 2003,150.0,13.0,0.09,,,,,,
,,2003 - 2004,317.0,74.0,0.23,,,,,,
,,2004 - 2005,508.0,121.0,0.24,,,,,,
,,2006 - 2007,347.0,85.0,0.24,,,,,,
,,2007 - 2008,363.0,67.0,0.18,,,,,,
,,2008 - 2009,226.0,46.0,0.2,,,,,,
,,2009 - 2010,,,,,,,243.0,53.0,0.22
,,2010 - 2011,284.0,57.0,0.2,,,,,,
,,2011 - 2012,66.0,13.0,0.2,,,,,,
,,2012 - 2013,140.0,108.0,0.77,,,,,,
,,2016 - 2017,20.0,10.0,0.5,,,,,,
,Gwalior,2016 - 2017,20.0,4.0,0.2,,,,,,
,Harda,2000 - 2001,9.0,3.0,0.33,,,,,,
,,2002 - 2003,8.0,3.0,0.38,,,,,,
,,2016 - 2017,10.0,3.0,0.3,,,,,,
,Hoshangabad,2000 - 2001,4.0,1.0,0.25,,,,,,
,,2001 - 2002,5.0,2.0,0.4,,,,,,
,,2007 - 2008,41.0,15.0,0.37,,,,,,
,,2009 - 2010,,,,,,,4.0,1.0,0.25
,,2016 - 2017,,,0.63,,,,,,
,Indore,2001 - 2002,10.0,6.0,0.6,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,24.0,15.0,0.63,,,,,,
,,2004 - 2005,34.0,16.0,0.47,,,,,,
,,2006 - 2007,22.0,12.0,0.55,,,,,,
,,2007 - 2008,7.0,4.0,0.57,,,,,,
,,2009 - 2010,,,,,,,6.0,3.0,0.5
,,2010 - 2011,1.0,1.0,1.0,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,
,Jabalpur,2003 - 2004,2.0,0.0,0.0,,,,,,
,,2004 - 2005,2.0,,0.0,,,,,,
,,2016 - 2017,,880.0,0.62,,,,,,
,Katni,2000 - 2001,1.0,0.1,0.1,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,
,,2015 - 2016,,536.0,0.54,,,,,,
,,2016 - 2017,,560.0,0.35,,,,,,
,Khandwa,2001 - 2002,12.0,3.0,0.25,,,,,,
,,2002 - 2003,5.0,1.0,0.2,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,,2007 - 2008,7.0,2.0,0.29,,,,,,
,,2016 - 2017,10.0,10.0,1.0,,,,,,
,Khargone,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2014 - 2015,,,0.9,,,,,,
,Mandla,2016 - 2017,60.0,60.0,1.0,,,,,,
,Mandsaur,2000 - 2001,42.0,17.0,0.4,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,4.0,1.0,0.25,,,,,,
,,2003 - 2004,12.0,5.0,0.42,,,,,,
,,2004 - 2005,15.0,5.0,0.33,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,
,,2016 - 2017,60.0,50.0,0.83,,,,,,
,Morena,2016 - 2017,420.0,290.0,0.69,,,,,,
,Neemuch,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,12.0,5.0,0.42,,,,,,
,,2004 - 2005,17.0,5.0,0.29,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,
,,2016 - 2017,90.0,60.0,0.67,,,,,,
,Panna,2002 - 2003,4.0,1.0,0.25,,,,,,
,,2003 - 2004,4.0,1.0,0.25,,,,,,
,,2016 - 2017,240.0,190.0,0.79,,,,,,
,Raisen,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2016 - 2017,,810.0,0.7,,,,,,
,Rajgarh,2000 - 2001,3.0,1.0,0.33,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,Ratlam,2001 - 2002,6.0,3.0,0.5,,,,,,
,,2002 - 2003,34.0,14.0,0.41,,,,,,
,,2003 - 2004,51.0,22.0,0.43,,,,,,
