state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2014 - 2015,,,,,,,64.0,21.0,0.33
,,2015 - 2016,,,,,,,30.0,10.0,0.33
,,2016 - 2017,,,,,,,30.0,4.0,0.13
,,2017 - 2018,,,,,,,30.0,4.0,0.13
,,2018 - 2019,,,,,,,31.0,4.0,0.13
,,2019 - 2020,,,,,,,30.0,15.0,0.5
,,2020 - 2021,,,,,,,29.0,15.0,0.52
,,2021 - 2022,,,,,,,23.0,12.0,0.52
,Sirmaur,2001 - 2002,118.0,34.0,0.29,,,,,,
,,2002 - 2003,93.0,30.0,0.32,,,,,,
,,2005 - 2006,,,,,,,55.0,2.0,0.04
,,2006 - 2007,,,,,,,56.0,2.0,0.04
,,2007 - 2008,,,,,,,62.0,14.0,0.23
,,2008 - 2009,,,,,,,31.0,2.0,0.06
,,2009 - 2010,,,,,,,35.0,17.0,0.49
,,2010 - 2011,,,,,,,40.0,19.0,0.48
,,2011 - 2012,,,,,,,29.0,10.0,0.34
,,2012 - 2013,,,,,,,41.0,14.0,0.34
,,2013 - 2014,,,,,,,56.0,19.0,0.34
,,2014 - 2015,,,,,,,45.0,15.0,0.33
,,2015 - 2016,,,,,,,38.0,12.0,0.32
,,2016 - 2017,,,,,,,26.0,1.0,0.04
,,2017 - 2018,,,,,,,26.0,1.0,0.04
,,2018 - 2019,,,,,,,38.0,1.0,0.03
,,2019 - 2020,,,,,,,37.0,15.0,0.41
,,2020 - 2021,,,,,,,14.0,19.0,1.36
,,2021 - 2022,,,,,,,21.0,28.0,1.33
,Solan,2009 - 2010,,,,,,,3.0,1.0,0.33
,,2010 - 2011,,,,,,,3.0,1.0,0.33
,,2012 - 2013,,,,,,,3.0,1.0,0.33
,,2015 - 2016,,,,,,,2.0,1.0,0.5
,,2018 - 2019,,,,,,,16.0,8.0,0.5
,,2019 - 2020,,,,,,,16.0,8.0,0.5
,,2020 - 2021,,,,,,,1.0,1.0,1.0
,,2021 - 2022,,,,,,,1.0,1.0,1.0
,Una,2001 - 2002,1.0,3.0,3.0,,,,,,
,,2002 - 2003,25.0,8.0,0.32,,,,,,
,,2008 - 2009,,,,,,,4.0,1.0,0.25
,,2009 - 2010,,,,,,,3.0,2.0,0.67
,,2010 - 2011,,,,,,,4.0,2.0,0.5
,,2011 - 2012,,,,,,,12.0,4.0,0.33
,,2012 - 2013,,,,,,,11.0,4.0,0.36
,,2013 - 2014,,,,,,,3.0,1.0,0.33
,,2014 - 2015,,,,,,,3.0,1.0,0.33
,,2015 - 2016,,,,,,,3.0,1.0,0.33
,,2016 - 2017,,,,,,,2.0,1.0,0.5
,,2017 - 2018,,,,,,,2.0,1.0,0.5
,,2018 - 2019,,,,,,,3.0,1.0,0.33
,,2019 - 2020,,,,,,,3.0,2.0,0.67
,,2020 - 2021,,,,,,,4.0,7.0,1.75
,,2021 - 2022,,,,,,,3.0,5.0,1.67
Jammu and Kashmir,Jammu,2007 - 2008,,,,,,,6.0,0.7,0.12
,Rajauri,2007 - 2008,,,,,,,3.0,0.4,0.13
Karnataka,Bagalkot,2000 - 2001,34.0,3.0,0.09,,,,,,
,,2001 - 2002,30.0,3.0,0.1,,,,,,
,,2002 - 2003,30.0,3.0,0.1,,,,,,
,,2003 - 2004,26.0,2.0,0.08,,,,,,
,,2004 - 2005,31.0,3.0,0.1,,,,,,
,,2005 - 2006,34.0,3.0,0.09,,,,,,
,,2006 - 2007,39.0,4.0,0.1,,,,,,
,,2007 - 2008,40.0,14.0,0.35,,,,,,
,,2008 - 2009,83.0,45.0,0.54,,,,,,
,,2009 - 2010,240.0,118.0,0.49,,,,,,
,,2010 - 2011,229.0,85.0,0.37,,,,,,
,,2011 - 2012,164.0,67.0,0.41,,,,,,
,,2012 - 2013,145.0,57.0,0.39,,,,,,
,,2013 - 2014,94.0,27.0,0.29,,,,,,
,,2014 - 2015,125.0,42.0,0.34,,,,,,
,,2015 - 2016,150.0,64.0,0.43,,,,,,
,,2016 - 2017,10.0,4.0,0.4,,,,,,
,,2018 - 2019,203.0,181.0,0.89,,,,,,
,,2021 - 2022,114.0,62.0,0.54,,,,,,
,,2022 - 2023,62.0,44.0,0.71,,,,,,
,Bangalore rural,2000 - 2001,133.0,14.0,0.11,,,,,,
,,2001 - 2002,7.0,1.0,0.14,,,,,,
,,2005 - 2006,86.0,13.0,0.15,,,,,,
,,2006 - 2007,69.0,11.0,0.16,,,,,,
,,2007 - 2008,94.0,33.0,0.35,,,,,,
,,2008 - 2009,55.0,30.0,0.55,,,,,,
,,2009 - 2010,68.0,33.0,0.49,,,,,,
,,2010 - 2011,81.0,30.0,0.37,,,,,,
,,2011 - 2012,70.0,28.0,0.4,,,,,,
,,2012 - 2013,47.0,19.0,0.4,,,,,,
,,2013 - 2014,40.0,12.0,0.3,,,,,,
,,2014 - 2015,37.0,13.0,0.35,,,,,,
,,2015 - 2016,93.0,40.0,0.43,,,,,,
,,2016 - 2017,41.0,18.0,0.44,,,,,,
,,2017 - 2018,1.0,,0.0,,,,,,
,,2018 - 2019,145.0,130.0,0.9,,,,,,
,,2020 - 2021,8.0,4.0,0.5,,,,,,
,,2022 - 2023,5.0,3.0,0.6,,,,,,
,Belgaum,2000 - 2001,389.0,46.0,0.12,,,,,,
,,2001 - 2002,184.0,22.0,0.12,,,,,,
,,2002 - 2003,274.0,33.0,0.12,,,,,,
,,2003 - 2004,278.0,33.0,0.12,,,,,,
,,2004 - 2005,354.0,42.0,0.12,,,,,,
,,2005 - 2006,522.0,62.0,0.12,,,,,,
,,2006 - 2007,365.0,43.0,0.12,,,,,,
,,2007 - 2008,461.0,161.0,0.35,,,,,,
,,2008 - 2009,612.0,330.0,0.54,,,,,,
,,2009 - 2010,612.0,300.0,0.49,,,,,,
,,2012 - 2013,11.0,4.0,0.36,,,,,,
,,2013 - 2014,348.0,108.0,0.31,,,,,,
,,2014 - 2015,215.0,87.0,0.4,,,,,,
,,2015 - 2016,197.0,126.0,0.64,,,,,,
,,2016 - 2017,234.0,140.0,0.6,,,,,,
,,2018 - 2019,242.0,216.0,0.89,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,
,,2022 - 2023,2.0,16.0,8.0,,,,,,
,Bellary,2000 - 2001,,838.0,0.2,,,,,,
,,2001 - 2002,,,0.2,,,,,,
,,2002 - 2003,,587.0,0.2,,,,,,
,,2003 - 2004,,707.0,0.2,,,,,,
,,2004 - 2005,,874.0,0.2,,,,,,
,,2005 - 2006,,769.0,0.2,,,,,,
,,2006 - 2007,,525.0,0.2,,,,,,
,,2007 - 2008,,,0.38,,,,,,
,,2008 - 2009,,,0.54,,,,,,
,,2009 - 2010,,,0.46,,,,,,
,,2010 - 2011,,677.0,0.32,,,,,,
,,2011 - 2012,597.0,242.0,0.41,,,,,,
,,2012 - 2013,,,0.39,,,,,,
,,2013 - 2014,838.0,260.0,0.31,,,,,,
,,2014 - 2015,,420.0,0.34,,,,,,
,,2015 - 2016,,897.0,0.43,,,,,,
,,2016 - 2017,232.0,101.0,0.44,,,,,,
,,2017 - 2018,23.0,8.0,0.35,,,,,,
,,2018 - 2019,315.0,282.0,0.9,,,,,,
,,2020 - 2021,235.0,126.0,0.54,,,,,,
,,2021 - 2022,95.0,49.0,0.52,,,,,,
,,2022 - 2023,80.0,56.0,0.7,,,,,,
,Bengaluru urban,2000 - 2001,24.0,4.0,0.17,,,,,,
,,2001 - 2002,29.0,5.0,0.17,,,,,,
,,2002 - 2003,24.0,4.0,0.17,,,,,,
,,2003 - 2004,33.0,5.0,0.15,,,,,,
,,2004 - 2005,32.0,5.0,0.16,,,,,,
,,2005 - 2006,30.0,5.0,0.17,,,,,,
,,2006 - 2007,24.0,4.0,0.17,,,,,,
,,2007 - 2008,21.0,7.0,0.33,,,,,,
,,2008 - 2009,17.0,9.0,0.53,,,,,,
,,2009 - 2010,16.0,8.0,0.5,,,,,,
,,2010 - 2011,16.0,6.0,0.38,,,,,,
,,2011 - 2012,18.0,7.0,0.39,,,,,,
,,2012 - 2013,41.0,16.0,0.39,,,,,,
,,2013 - 2014,9.0,3.0,0.33,,,,,,
,,2014 - 2015,22.0,7.0,0.32,,,,,,
,,2015 - 2016,105.0,45.0,0.43,,,,,,
,,2017 - 2018,4.0,1.0,0.25,,,,,,
,,2018 - 2019,153.0,137.0,0.9,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,
,Bidar,2000 - 2001,661.0,70.0,0.11,,,,,,
,,2001 - 2002,788.0,83.0,0.11,,,,,,
,,2002 - 2003,729.0,77.0,0.11,,,,,,
,,2003 - 2004,687.0,73.0,0.11,,,,,,
,,2004 - 2005,674.0,71.0,0.11,,,,,,
,,2005 - 2006,532.0,56.0,0.11,,,,,,
,,2006 - 2007,331.0,35.0,0.11,,,,,,
,,2007 - 2008,287.0,100.0,0.35,,,,,,
,,2008 - 2009,272.0,147.0,0.54,,,,,,
,,2009 - 2010,285.0,140.0,0.49,,,,,,
,,2010 - 2011,223.0,83.0,0.37,,,,,,
,,2011 - 2012,276.0,73.0,0.26,,,,,,
,,2012 - 2013,64.0,17.0,0.27,,,,,,
,,2013 - 2014,55.0,17.0,0.31,,,,,,
,,2014 - 2015,76.0,26.0,0.34,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,
,,2018 - 2019,17.0,15.0,0.88,,,,,,
,,2020 - 2021,17.0,9.0,0.53,,,,,,
,,2021 - 2022,34.0,19.0,0.56,,,,,,
,,2022 - 2023,54.0,32.0,0.59,,,,,,
,Bijapur,2000 - 2001,506.0,48.0,0.09,,,,,,
,,2001 - 2002,130.0,12.0,0.09,,,,,,
,,2002 - 2003,325.0,31.0,0.1,,,,,,
,,2003 - 2004,26.0,2.0,0.08,,,,,,
,,2004 - 2005,130.0,12.0,0.09,,,,,,
,,2005 - 2006,74.0,7.0,0.09,,,,,,
,,2006 - 2007,88.0,8.0,0.09,,,,,,
,,2007 - 2008,80.0,28.0,0.35,,,,,,
,,2008 - 2009,75.0,40.0,0.53,,,,,,
,,2009 - 2010,199.0,98.0,0.49,,,,,,
,,2010 - 2011,226.0,82.0,0.36,,,,,,
,,2011 - 2012,101.0,27.0,0.27,,,,,,
,,2012 - 2013,99.0,26.0,0.26,,,,,,
,,2013 - 2014,58.0,18.0,0.31,,,,,,
,,2014 - 2015,112.0,38.0,0.34,,,,,,
,,2015 - 2016,151.0,65.0,0.43,,,,,,
,,2018 - 2019,123.0,110.0,0.89,,,,,,
,,2019 - 2020,99.0,49.0,0.49,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,
,Chamarajanagar,2000 - 2001,119.0,12.0,0.1,,,,,,
,,2001 - 2002,18.0,2.0,0.11,,,,,,
,,2002 - 2003,26.0,3.0,0.12,,,,,,
,,2003 - 2004,137.0,14.0,0.1,,,,,,
,,2004 - 2005,118.0,12.0,0.1,,,,,,
,,2005 - 2006,583.0,58.0,0.1,,,,,,
,,2006 - 2007,205.0,20.0,0.1,,,,,,
,,2007 - 2008,157.0,50.0,0.32,,,,,,
,,2008 - 2009,238.0,128.0,0.54,,,,,,
,,2009 - 2010,328.0,161.0,0.49,,,,,,
,,2010 - 2011,248.0,93.0,0.38,,,,,,
,,2011 - 2012,478.0,194.0,0.41,,,,,,
,,2012 - 2013,134.0,53.0,0.4,,,,,,
,,2013 - 2014,516.0,160.0,0.31,,,,,,
,,2014 - 2015,468.0,146.0,0.31,,,,,,
,,2015 - 2016,586.0,266.0,0.45,,,,,,
,,2016 - 2017,24.0,10.0,0.42,,,,,,
,,2017 - 2018,175.0,65.0,0.37,,,,,,
,,2018 - 2019,117.0,155.0,1.32,,,,,,
,,2020 - 2021,57.0,31.0,0.54,,,,,,
,,2021 - 2022,6.0,3.0,0.5,,,,,,
,,2022 - 2023,23.0,11.0,0.48,,,,,,
,Chikballapur,2007 - 2008,37.0,13.0,0.35,,,,,,
,,2008 - 2009,12.0,6.0,0.5,,,,,,
,,2009 - 2010,15.0,7.0,0.47,,,,,,
,,2010 - 2011,14.0,5.0,0.36,,,,,,
,,2012 - 2013,142.0,56.0,0.39,,,,,,
,,2014 - 2015,136.0,46.0,0.34,,,,,,
,,2015 - 2016,131.0,56.0,0.43,,,,,,
,,2016 - 2017,206.0,135.0,0.66,,,,,,
,,2017 - 2018,253.0,91.0,0.36,,,,,,
,,2018 - 2019,168.0,165.0,0.98,,,,,,
,,2020 - 2021,52.0,28.0,0.54,,,,,,
,,2021 - 2022,122.0,66.0,0.54,,,,,,
,,2022 - 2023,19.0,14.0,0.74,,,,,,
,Chikmagalur,2000 - 2001,,123.0,0.1,,,,,,
,,2001 - 2002,,163.0,0.1,,,,,,
,,2002 - 2003,,133.0,0.1,,,,,,
,,2003 - 2004,,136.0,0.1,,,,,,
,,2004 - 2005,,149.0,0.1,,,,,,
,,2005 - 2006,,126.0,0.1,,,,,,
,,2006 - 2007,784.0,80.0,0.1,,,,,,
,,2007 - 2008,609.0,174.0,0.29,,,,,,
,,2008 - 2009,595.0,180.0,0.3,,,,,,
,,2009 - 2010,477.0,144.0,0.3,,,,,,
,,2010 - 2011,406.0,155.0,0.38,,,,,,
,,2011 - 2012,387.0,166.0,0.43,,,,,,
,,2012 - 2013,364.0,156.0,0.43,,,,,,
,,2013 - 2014,326.0,103.0,0.32,,,,,,
,,2014 - 2015,269.0,87.0,0.32,,,,,,
,,2015 - 2016,251.0,71.0,0.28,,,,,,
,,2016 - 2017,441.0,123.0,0.28,,,,,,
,,2017 - 2018,161.0,54.0,0.34,,,,,,
,,2018 - 2019,52.0,24.0,0.46,,,,,,
,,2020 - 2021,31.0,17.0,0.55,,,,,,
,,2021 - 2022,31.0,17.0,0.55,,,,,,
,Chitradurga,2000 - 2001,391.0,39.0,0.1,,,,,,
,,2001 - 2002,127.0,13.0,0.1,,,,,,
,,2002 - 2003,267.0,27.0,0.1,,,,,,
,,2003 - 2004,245.0,25.0,0.1,,,,,,
,,2004 - 2005,270.0,27.0,0.1,,,,,,
,,2005 - 2006,108.0,11.0,0.1,,,,,,
,,2006 - 2007,161.0,16.0,0.1,,,,,,
,,2007 - 2008,215.0,75.0,0.35,,,,,,
,,2008 - 2009,413.0,265.0,0.64,,,,,,
,,2009 - 2010,205.0,120.0,0.59,,,,,,
,,2010 - 2011,88.0,33.0,0.38,,,,,,
,,2011 - 2012,67.0,27.0,0.4,,,,,,
,,2012 - 2013,48.0,19.0,0.4,,,,,,
,,2013 - 2014,78.0,24.0,0.31,,,,,,
,,2014 - 2015,104.0,35.0,0.34,,,,,,
,,2015 - 2016,166.0,60.0,0.36,,,,,,
,,2016 - 2017,175.0,60.0,0.34,,,,,,
,,2017 - 2018,99.0,45.0,0.45,,,,,,
,,2018 - 2019,35.0,31.0,0.89,,,,,,
,,2019 - 2020,70.0,35.0,0.5,,,,,,
,,2020 - 2021,49.0,26.0,0.53,,,,,,
,,2021 - 2022,15.0,8.0,0.53,,,,,,
,,2022 - 2023,54.0,3.0,0.06,,,,,,
,Dakshin kannad,2018 - 2019,3.0,3.0,1.0,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Davangere,2000 - 2001,104.0,11.0,0.11,,,,,,
,,2001 - 2002,53.0,5.0,0.09,,,,,,
,,2002 - 2003,41.0,4.0,0.1,,,,,,
,,2003 - 2004,26.0,3.0,0.12,,,,,,
,,2004 - 2005,19.0,2.0,0.11,,,,,,
,,2005 - 2006,18.0,2.0,0.11,,,,,,
,,2006 - 2007,26.0,3.0,0.12,,,,,,
,,2007 - 2008,13.0,5.0,0.38,,,,,,
,,2008 - 2009,71.0,38.0,0.54,,,,,,
,,2009 - 2010,41.0,20.0,0.49,,,,,,
,,2010 - 2011,22.0,8.0,0.36,,,,,,
,,2011 - 2012,40.0,16.0,0.4,,,,,,
,,2012 - 2013,14.0,6.0,0.43,,,,,,
,,2013 - 2014,4.0,1.0,0.25,,,,,,
,,2014 - 2015,15.0,5.0,0.33,,,,,,
,,2015 - 2016,56.0,24.0,0.43,,,,,,
,,2017 - 2018,43.0,16.0,0.37,,,,,,
,,2018 - 2019,63.0,56.0,0.89,,,,,,
,,2020 - 2021,12.0,6.0,0.5,,,,,,
,,2021 - 2022,6.0,3.0,0.5,,,,,,
,Dharwad,2000 - 2001,637.0,66.0,0.1,,,,,,
,,2001 - 2002,374.0,39.0,0.1,,,,,,
,,2002 - 2003,498.0,51.0,0.1,,,,,,
,,2003 - 2004,329.0,34.0,0.1,,,,,,
,,2004 - 2005,390.0,40.0,0.1,,,,,,
,,2005 - 2006,582.0,60.0,0.1,,,,,,
,,2006 - 2007,566.0,58.0,0.1,,,,,,
,,2007 - 2008,492.0,119.0,0.24,,,,,,
,,2008 - 2009,314.0,281.0,0.89,,,,,,
,,2009 - 2010,345.0,332.0,0.96,,,,,,
,,2010 - 2011,363.0,235.0,0.65,,,,,,
,,2011 - 2012,331.0,179.0,0.54,,,,,,
,,2012 - 2013,60.0,32.0,0.53,,,,,,
,,2013 - 2014,144.0,45.0,0.31,,,,,,
,,2014 - 2015,76.0,27.0,0.36,,,,,,
,,2015 - 2016,46.0,16.0,0.35,,,,,,
,,2016 - 2017,144.0,62.0,0.43,,,,,,
,,2017 - 2018,17.0,6.0,0.35,,,,,,
,,2018 - 2019,19.0,17.0,0.89,,,,,,
,,2019 - 2020,415.0,205.0,0.49,,,,,,
,,2020 - 2021,59.0,31.0,0.53,,,,,,
,,2021 - 2022,12.0,7.0,0.58,,,,,,
,Gadag,2000 - 2001,103.0,11.0,0.11,,,,,,
,,2001 - 2002,147.0,15.0,0.1,,,,,,
,,2002 - 2003,148.0,15.0,0.1,,,,,,
,,2003 - 2004,227.0,23.0,0.1,,,,,,
,,2004 - 2005,387.0,40.0,0.1,,,,,,
,,2005 - 2006,253.0,26.0,0.1,,,,,,
,,2006 - 2007,205.0,21.0,0.1,,,,,,
,,2007 - 2008,213.0,74.0,0.35,,,,,,
,,2008 - 2009,82.0,44.0,0.54,,,,,,
,,2009 - 2010,113.0,55.0,0.49,,,,,,
,,2010 - 2011,64.0,24.0,0.38,,,,,,
,,2011 - 2012,234.0,95.0,0.41,,,,,,
,,2012 - 2013,20.0,8.0,0.4,,,,,,
,,2013 - 2014,20.0,6.0,0.3,,,,,,
,,2014 - 2015,41.0,14.0,0.34,,,,,,
,,2015 - 2016,202.0,87.0,0.43,,,,,,
,,2016 - 2017,149.0,65.0,0.44,,,,,,
,,2017 - 2018,65.0,24.0,0.37,,,,,,
,,2018 - 2019,35.0,31.0,0.89,,,,,,
,,2019 - 2020,13.0,6.0,0.46,,,,,,
,,2020 - 2021,305.0,165.0,0.54,,,,,,
,,2021 - 2022,217.0,119.0,0.55,,,,,,
,,2022 - 2023,261.0,157.0,0.6,,,,,,
,Gulbarga,2000 - 2001,63.0,10.0,0.16,,,,,,
,,2001 - 2002,63.0,10.0,0.16,,,,,,
,,2002 - 2003,63.0,10.0,0.16,,,,,,
,,2003 - 2004,73.0,11.0,0.15,,,,,,
,,2004 - 2005,88.0,13.0,0.15,,,,,,
,,2005 - 2006,125.0,19.0,0.15,,,,,,
,,2006 - 2007,36.0,5.0,0.14,,,,,,
,,2007 - 2008,9.0,3.0,0.33,,,,,,
,,2008 - 2009,18.0,10.0,0.56,,,,,,
,,2009 - 2010,13.0,6.0,0.46,,,,,,
,,2010 - 2011,10.0,4.0,0.4,,,,,,
,,2011 - 2012,10.0,4.0,0.4,,,,,,
,,2012 - 2013,17.0,7.0,0.41,,,,,,
,,2013 - 2014,21.0,7.0,0.33,,,,,,
,,2014 - 2015,44.0,15.0,0.34,,,,,,
,,2018 - 2019,27.0,24.0,0.89,,,,,,
,,2020 - 2021,16.0,9.0,0.56,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,
,Hassan,2000 - 2001,138.0,17.0,0.12,,,,,,
,,2001 - 2002,282.0,35.0,0.12,,,,,,
,,2002 - 2003,473.0,59.0,0.12,,,,,,
,,2003 - 2004,54.0,7.0,0.13,,,,,,
,,2004 - 2005,171.0,21.0,0.12,,,,,,
,,2005 - 2006,153.0,19.0,0.12,,,,,,
,,2006 - 2007,172.0,22.0,0.13,,,,,,
,,2007 - 2008,121.0,42.0,0.35,,,,,,
,,2008 - 2009,185.0,100.0,0.54,,,,,,
,,2009 - 2010,147.0,72.0,0.49,,,,,,
,,2010 - 2011,188.0,70.0,0.37,,,,,,
,,2011 - 2012,95.0,39.0,0.41,,,,,,
,,2012 - 2013,22.0,9.0,0.41,,,,,,
,,2013 - 2014,8.0,2.0,0.25,,,,,,
,,2014 - 2015,64.0,22.0,0.34,,,,,,
,,2015 - 2016,88.0,38.0,0.43,,,,,,
,,2016 - 2017,98.0,42.0,0.43,,,,,,
,,2017 - 2018,116.0,43.0,0.37,,,,,,
,,2018 - 2019,104.0,50.0,0.48,,,,,,
,,2020 - 2021,36.0,19.0,0.53,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Haveri,2000 - 2001,494.0,51.0,0.1,,,,,,
,,2001 - 2002,322.0,33.0,0.1,,,,,,
,,2002 - 2003,222.0,23.0,0.1,,,,,,
,,2003 - 2004,237.0,24.0,0.1,,,,,,
,,2004 - 2005,177.0,18.0,0.1,,,,,,
,,2005 - 2006,92.0,9.0,0.1,,,,,,
,,2006 - 2007,215.0,22.0,0.1,,,,,,
,,2007 - 2008,71.0,25.0,0.35,,,,,,
,,2008 - 2009,64.0,35.0,0.55,,,,,,
,,2009 - 2010,45.0,22.0,0.49,,,,,,
,,2010 - 2011,26.0,10.0,0.38,,,,,,
,,2011 - 2012,81.0,33.0,0.41,,,,,,
,,2012 - 2013,33.0,13.0,0.39,,,,,,
,,2013 - 2014,31.0,10.0,0.32,,,,,,
,,2014 - 2015,34.0,12.0,0.35,,,,,,
,,2015 - 2016,30.0,13.0,0.43,,,,,,
,,2017 - 2018,58.0,21.0,0.36,,,,,,
,,2018 - 2019,26.0,23.0,0.88,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Kodagu,2018 - 2019,1.0,1.0,1.0,,,,,,
,Kolar,2000 - 2001,120.0,12.0,0.1,,,,,,
,,2001 - 2002,56.0,6.0,0.11,,,,,,
,,2002 - 2003,57.0,6.0,0.11,,,,,,
,,2003 - 2004,88.0,9.0,0.1,,,,,,
,,2004 - 2005,108.0,11.0,0.1,,,,,,
,,2005 - 2006,78.0,8.0,0.1,,,,,,
,,2006 - 2007,66.0,7.0,0.11,,,,,,
,,2007 - 2008,5.0,2.0,0.4,,,,,,
,,2008 - 2009,5.0,3.0,0.6,,,,,,
,,2009 - 2010,5.0,2.0,0.4,,,,,,
,,2010 - 2011,5.0,2.0,0.4,,,,,,
,,2011 - 2012,5.0,2.0,0.4,,,,,,
,,2012 - 2013,5.0,2.0,0.4,,,,,,
,,2013 - 2014,5.0,2.0,0.4,,,,,,
,,2014 - 2015,5.0,2.0,0.4,,,,,,
,,2015 - 2016,5.0,2.0,0.4,,,,,,
,,2016 - 2017,5.0,2.0,0.4,,,,,,
,,2017 - 2018,5.0,2.0,0.4,,,,,,
,,2018 - 2019,761.0,680.0,0.89,,,,,,
,Koppal,2000 - 2001,463.0,81.0,0.17,,,,,,
,,2001 - 2002,170.0,30.0,0.18,,,,,,
,,2002 - 2003,150.0,26.0,0.17,,,,,,
,,2003 - 2004,388.0,68.0,0.18,,,,,,
,,2004 - 2005,824.0,144.0,0.17,,,,,,
,,2005 - 2006,812.0,141.0,0.17,,,,,,
,,2007 - 2008,174.0,61.0,0.35,,,,,,
,,2008 - 2009,452.0,244.0,0.54,,,,,,
,,2014 - 2015,,415.0,0.34,,,,,,
,,2015 - 2016,118.0,46.0,0.39,,,,,,
,,2018 - 2019,84.0,75.0,0.89,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,Mandya,2001 - 2002,1.0,,0.0,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,6.0,3.0,0.5,,,,,,
,,2009 - 2010,7.0,3.0,0.43,,,,,,
,,2012 - 2013,42.0,17.0,0.4,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2014 - 2015,12.0,4.0,0.33,,,,,,
,,2015 - 2016,1.0,,0.0,,,,,,
,,2016 - 2017,15.0,7.0,0.47,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,52.0,46.0,0.88,,,,,,
,,2020 - 2021,23.0,12.0,0.52,,,,,,
,,2021 - 2022,12.0,6.0,0.5,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Mysore,2000 - 2001,15.0,1.0,0.07,,,,,,
,,2001 - 2002,217.0,21.0,0.1,,,,,,
,,2002 - 2003,34.0,3.0,0.09,,,,,,
,,2003 - 2004,75.0,7.0,0.09,,,,,,
,,2004 - 2005,24.0,2.0,0.08,,,,,,
,,2005 - 2006,25.0,2.0,0.08,,,,,,
,,2006 - 2007,42.0,4.0,0.1,,,,,,
,,2007 - 2008,26.0,9.0,0.35,,,,,,
,,2008 - 2009,63.0,34.0,0.54,,,,,,
,,2009 - 2010,61.0,30.0,0.49,,,,,,
,,2010 - 2011,46.0,17.0,0.37,,,,,,
,,2011 - 2012,19.0,8.0,0.42,,,,,,
,,2012 - 2013,34.0,13.0,0.38,,,,,,
,,2013 - 2014,51.0,16.0,0.31,,,,,,
,,2014 - 2015,9.0,3.0,0.33,,,,,,
,,2015 - 2016,6.0,3.0,0.5,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,
,,2018 - 2019,74.0,66.0,0.89,,,,,,
,Raichur,2000 - 2001,23.0,4.0,0.17,,,,,,
,,2001 - 2002,275.0,48.0,0.17,,,,,,
,,2002 - 2003,103.0,18.0,0.17,,,,,,
,,2003 - 2004,18.0,3.0,0.17,,,,,,
,,2004 - 2005,18.0,3.0,0.17,,,,,,
,,2005 - 2006,4.0,1.0,0.25,,,,,,
,,2018 - 2019,28.0,25.0,0.89,,,,,,
,Ramanagara,2011 - 2012,9.0,4.0,0.44,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,
,,2014 - 2015,2.0,1.0,0.5,,,,,,
,,2015 - 2016,1.0,,0.0,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,
,Shimoga,2012 - 2013,2.0,1.0,0.5,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,
,,2015 - 2016,9.0,4.0,0.44,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,26.0,23.0,0.88,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,
,,2021 - 2022,4.0,2.0,0.5,,,,,,
,Tumkur,2000 - 2001,58.0,6.0,0.1,,,,,,
,,2001 - 2002,20.0,2.0,0.1,,,,,,
,,2002 - 2003,8.0,1.0,0.13,,,,,,
,,2003 - 2004,9.0,1.0,0.11,,,,,,
,,2004 - 2005,21.0,2.0,0.1,,,,,,
,,2005 - 2006,8.0,1.0,0.13,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,
,,2007 - 2008,16.0,6.0,0.38,,,,,,
,,2008 - 2009,28.0,15.0,0.54,,,,,,
,,2009 - 2010,4.0,2.0,0.5,,,,,,
