state,district,year,black_pepper_whole_year_area_hectare,black_pepper_whole_year_production_tonne,black_pepper_whole_year_yield_tonne_per_hectare,black_pepper_rabi_area_hectare,black_pepper_rabi_production_tonne,black_pepper_rabi_yield_tonne_per_hectare,black_pepper_kharif_area_hectare,black_pepper_kharif_production_tonne,black_pepper_kharif_yield_tonne_per_hectare
,,2014 - 2015,288.0,345.0,1.2,,,,,,
,,2015 - 2016,289.0,353.0,1.22,,,,,,
,,2016 - 2017,239.0,362.0,1.51,,,,,,
,,2017 - 2018,272.0,418.0,1.54,,,,,,
,,2018 - 2019,267.0,413.0,1.55,,,,,,
,,2019 - 2020,255.0,399.0,1.56,,,,,,
,,2020 - 2021,257.0,433.0,1.68,,,,,,
,,2021 - 2022,258.0,434.0,1.68,,,,,,
,,2022 - 2023,246.0,447.0,1.82,,,,,,
,Udalguri,2007 - 2008,172.0,273.0,1.59,,,,,,
,,2008 - 2009,54.0,107.0,1.98,,,,,,
,,2009 - 2010,63.0,113.0,1.79,,,,,,
,,2010 - 2011,59.0,101.0,1.71,,,,,,
,,2011 - 2012,55.0,95.0,1.73,,,,,,
,,2012 - 2013,56.0,97.0,1.73,,,,,,
,,2013 - 2014,70.0,121.0,1.73,,,,,,
,,2014 - 2015,70.0,121.0,1.73,,,,,,
,,2015 - 2016,60.0,105.0,1.75,,,,,,
,,2016 - 2017,63.0,117.0,1.86,,,,,,
,,2017 - 2018,64.0,124.0,1.94,,,,,,
,,2018 - 2019,62.0,123.0,1.98,,,,,,
,,2019 - 2020,62.0,127.0,2.05,,,,,,
,,2020 - 2021,65.0,133.0,2.05,,,,,,
,,2021 - 2022,223.0,456.0,2.04,,,,,,
,,2022 - 2023,217.0,480.0,2.21,,,,,,
,West karbi anglong,2020 - 2021,34.0,125.0,3.68,,,,,,
,,2021 - 2022,40.0,140.0,3.5,,,,,,
,,2022 - 2023,43.0,151.0,3.51,,,,,,
Goa,North goa,2004 - 2005,334.0,55.0,0.16,,,,,,
,,2005 - 2006,355.0,77.0,0.22,,,,,,
,,2006 - 2007,370.0,96.0,0.26,,,,,,
,,2007 - 2008,383.0,119.0,0.31,,,,,,
,,2013 - 2014,421.0,135.0,0.32,,,,,,
,,2014 - 2015,443.0,146.0,0.33,,,,,,
,,2015 - 2016,284.0,91.0,0.32,,,,,,
,,2016 - 2017,251.0,92.0,0.37,,,,,,
,,2017 - 2018,259.0,106.0,0.41,,,,,,
,,2018 - 2019,288.0,116.0,0.4,,,,,,
,,2019 - 2020,292.0,106.0,0.36,,,,,,
,,2020 - 2021,298.0,101.0,0.34,,,,,,
,,2021 - 2022,298.0,106.0,0.36,,,,,,
,,2022 - 2023,300.0,114.0,0.38,,,,,,
,South goa,2004 - 2005,255.0,43.0,0.17,,,,,,
,,2005 - 2006,271.0,60.0,0.22,,,,,,
,,2006 - 2007,278.0,73.0,0.26,,,,,,
,,2007 - 2008,283.0,89.0,0.31,,,,,,
,,2013 - 2014,316.0,99.0,0.31,,,,,,
,,2014 - 2015,321.0,98.0,0.31,,,,,,
,,2015 - 2016,499.0,167.0,0.33,,,,,,
,,2016 - 2017,526.0,190.0,0.36,,,,,,
,,2017 - 2018,535.0,218.0,0.41,,,,,,
,,2018 - 2019,561.0,230.0,0.41,,,,,,
,,2019 - 2020,551.0,209.0,0.38,,,,,,
,,2020 - 2021,550.0,279.0,0.51,,,,,,
,,2021 - 2022,560.0,298.0,0.53,,,,,,
,,2022 - 2023,561.0,304.0,0.54,,,,,,
Karnataka,Bagalkot,2013 - 2014,6.0,15.0,2.5,,,,,,
,,2021 - 2022,62.0,33.8,0.55,,,,,,
,,2022 - 2023,7.0,2.67,0.38,,,,,,
,Bangalore rural,2000 - 2001,8.0,19.0,2.38,,,,,,
,,2001 - 2002,5.0,12.0,2.4,,,,,,
,,2002 - 2003,2.0,5.0,2.5,,,,,,
,,2003 - 2004,3.0,7.0,2.33,,,,,,
,,2004 - 2005,26.0,63.0,2.42,,,,,,
,,2005 - 2006,1.0,2.0,2.0,,,,,,
,,2007 - 2008,1.0,3.0,3.0,,,,,,
,,2008 - 2009,1.0,4.0,4.0,,,,,,
,,2009 - 2010,1.0,4.0,4.0,,,,,,
,,2010 - 2011,1.0,0.6,0.6,,,,,,
,,2012 - 2013,1.0,3.0,3.0,,,,,,
,,2013 - 2014,1.0,2.0,2.0,,,,,,
,,2014 - 2015,1.0,0.6,0.6,,,,,,
,,2015 - 2016,2.0,1.5,0.75,,,,,,
,,2020 - 2021,12.0,5.7,0.48,,,,,,
,,2021 - 2022,11.0,5.9,0.54,,,,,,
,,2022 - 2023,6.0,3.4,0.57,,,,,,
,Belgaum,2012 - 2013,5.0,14.0,2.8,,,,,,
,,2013 - 2014,5.0,12.0,2.4,,,,,,
,,2015 - 2016,3.0,2.3,0.77,,,,,,
,,2016 - 2017,6.0,3.6,0.6,,,,,,
,,2020 - 2021,15.0,7.1,0.47,,,,,,
,,2021 - 2022,46.0,25.2,0.55,,,,,,
,,2022 - 2023,19.0,9.9,0.52,,,,,,
,Bellary,2020 - 2021,28.0,13.2,0.47,,,,,,
,,2021 - 2022,25.0,14.0,0.56,,,,,,
,,2022 - 2023,1.0,0.4,0.4,,,,,,
,Bengaluru urban,2009 - 2010,17.0,63.0,3.71,,,,,,
,,2010 - 2011,16.0,9.7,0.61,,,,,,
,,2011 - 2012,15.0,4.2,0.28,,,,,,
,,2012 - 2013,2.0,6.0,3.0,,,,,,
,,2013 - 2014,2.0,5.0,2.5,,,,,,
,,2014 - 2015,2.0,1.2,0.6,,,,,,
,,2015 - 2016,11.0,8.4,0.76,,,,,,
,,2016 - 2017,2.0,1.2,0.6,,,,,,
,,2017 - 2018,1.0,0.7,0.7,,,,,,
,,2019 - 2020,8.0,3.1,0.39,,,,,,
,,2020 - 2021,2.0,0.9,0.45,,,,,,
,,2021 - 2022,8.0,4.3,0.54,,,,,,
,,2022 - 2023,5.0,34.35,6.87,,,,,,
,Bidar,2008 - 2009,1.0,4.0,4.0,,,,,,
,,2015 - 2016,2.0,1.5,0.75,,,,,,
,,2020 - 2021,7.0,3.3,0.47,,,,,,
,,2021 - 2022,3.0,1.6,0.53,,,,,,
,Bijapur,2022 - 2023,94.0,36.6,0.39,,,,,,
,Chamarajanagar,2007 - 2008,2.0,6.0,3.0,,,,,,
,,2008 - 2009,8.0,34.0,4.25,,,,,,
,,2009 - 2010,24.0,89.0,3.71,,,,,,
,,2010 - 2011,23.0,13.9,0.6,,,,,,
,,2011 - 2012,28.0,7.9,0.28,,,,,,
,,2012 - 2013,28.0,79.0,2.82,,,,,,
,,2013 - 2014,50.0,124.0,2.48,,,,,,
,,2014 - 2015,37.0,21.7,0.59,,,,,,
,,2015 - 2016,141.0,107.9,0.77,,,,,,
,,2016 - 2017,141.0,85.4,0.61,,,,,,
,,2017 - 2018,142.0,93.2,0.66,,,,,,
,,2018 - 2019,37.0,23.5,0.64,,,,,,
,,2019 - 2020,34.0,13.3,0.39,,,,,,
,,2020 - 2021,28.0,13.2,0.47,,,,,,
,,2021 - 2022,29.0,16.1,0.56,,,,,,
,,2022 - 2023,31.0,6.9,0.22,,,,,,
,Chikballapur,2020 - 2021,12.0,5.7,0.48,,,,,,
,,2021 - 2022,12.0,6.4,0.53,,,,,,
,,2022 - 2023,5.0,1.57,0.31,,,,,,
,Chikmagalur,2000 - 2001,926.0,,1.1,,,,,,
,,2001 - 2002,,,1.1,,,,,,
,,2002 - 2003,,,1.1,,,,,,
,,2003 - 2004,,,1.1,,,,,,
,,2004 - 2005,,,1.1,,,,,,
,,2005 - 2006,,,1.1,,,,,,
,,2006 - 2007,,,1.1,,,,,,
,,2007 - 2008,,,3.12,,,,,,
,,2008 - 2009,,,4.24,,,,,,
,,2009 - 2010,,,3.68,,,,,,
,,2010 - 2011,,,0.98,,,,,,
,,2011 - 2012,,,0.28,,,,,,
,,2012 - 2013,,,2.83,,,,,,
,,2013 - 2014,,,2.48,,,,,,
,,2014 - 2015,,,1.0,,,,,,
,,2015 - 2016,,,1.05,,,,,,
,,2016 - 2017,,,0.87,,,,,,
,,2017 - 2018,,,0.93,,,,,,
,,2018 - 2019,,,0.76,,,,,,
,,2019 - 2020,,,0.3,,,,,,
,,2020 - 2021,,,0.54,,,,,,
,,2021 - 2022,,,0.55,,,,,,
,,2022 - 2023,,,0.39,,,,,,
,Chitradurga,2013 - 2014,8.0,20.0,2.5,,,,,,
,,2014 - 2015,48.0,28.2,0.59,,,,,,
,,2015 - 2016,75.0,57.4,0.77,,,,,,
,,2016 - 2017,1.0,0.6,0.6,,,,,,
,,2017 - 2018,24.0,15.8,0.66,,,,,,
,,2018 - 2019,24.0,15.2,0.63,,,,,,
,,2019 - 2020,24.0,9.4,0.39,,,,,,
,,2020 - 2021,56.0,26.4,0.47,,,,,,
,,2021 - 2022,40.0,22.0,0.55,,,,,,
,,2022 - 2023,31.0,27.91,0.9,,,,,,
,Dakshin kannad,2000 - 2001,912.0,,2.32,,,,,,
,,2001 - 2002,,,2.32,,,,,,
,,2002 - 2003,,,2.32,,,,,,
,,2003 - 2004,,,2.32,,,,,,
,,2004 - 2005,,,2.32,,,,,,
,,2005 - 2006,,,2.32,,,,,,
,,2006 - 2007,,,2.32,,,,,,
,,2007 - 2008,,,2.01,,,,,,
,,2008 - 2009,,,4.24,,,,,,
,,2009 - 2010,,,3.55,,,,,,
,,2010 - 2011,,,0.51,,,,,,
,,2011 - 2012,,,0.52,,,,,,
,,2012 - 2013,,,5.18,,,,,,
,,2013 - 2014,,,4.86,,,,,,
,,2014 - 2015,,,0.52,,,,,,
,,2015 - 2016,,,0.38,,,,,,
,,2016 - 2017,,831.4,0.27,,,,,,
,,2017 - 2018,,,0.57,,,,,,
,,2018 - 2019,,,0.2,,,,,,
,,2019 - 2020,,,0.42,,,,,,
,,2020 - 2021,,,0.42,,,,,,
,,2021 - 2022,,,0.55,,,,,,
,,2022 - 2023,,,0.2,,,,,,
,Davangere,2000 - 2001,2.0,5.0,2.5,,,,,,
,,2001 - 2002,19.0,45.0,2.37,,,,,,
,,2002 - 2003,1.0,2.0,2.0,,,,,,
,,2003 - 2004,1.0,2.0,2.0,,,,,,
,,2004 - 2005,36.0,85.0,2.36,,,,,,
,,2005 - 2006,12.0,28.0,2.33,,,,,,
,,2006 - 2007,13.0,31.0,2.38,,,,,,
,,2007 - 2008,10.0,31.0,3.1,,,,,,
,,2008 - 2009,11.0,47.0,4.27,,,,,,
,,2009 - 2010,14.0,52.0,3.71,,,,,,
,,2010 - 2011,9.0,5.4,0.6,,,,,,
,,2011 - 2012,18.0,5.1,0.28,,,,,,
,,2012 - 2013,2.0,6.0,3.0,,,,,,
,,2013 - 2014,45.0,112.0,2.49,,,,,,
,,2014 - 2015,25.0,14.7,0.59,,,,,,
,,2015 - 2016,487.0,372.7,0.77,,,,,,
,,2016 - 2017,115.0,69.7,0.61,,,,,,
,,2017 - 2018,205.0,134.6,0.66,,,,,,
,,2018 - 2019,420.0,266.5,0.63,,,,,,
,,2019 - 2020,429.0,168.2,0.39,,,,,,
,,2020 - 2021,341.0,160.6,0.47,,,,,,
,,2021 - 2022,273.0,149.8,0.55,,,,,,
,,2022 - 2023,282.0,115.72,0.41,,,,,,
,Dharwad,2004 - 2005,3.0,7.0,2.33,,,,,,
,,2005 - 2006,1.0,2.0,2.0,,,,,,
,,2008 - 2009,9.0,38.0,4.22,,,,,,
,,2017 - 2018,1.0,0.7,0.7,,,,,,
,,2019 - 2020,8.0,3.1,0.39,,,,,,
,,2020 - 2021,33.0,15.5,0.47,,,,,,
,,2021 - 2022,12.0,6.4,0.53,,,,,,
,,2022 - 2023,9.0,2.56,0.28,,,,,,
,Gadag,2015 - 2016,20.0,15.3,0.77,,,,,,
,,2016 - 2017,8.0,4.8,0.6,,,,,,
,,2019 - 2020,23.0,9.0,0.39,,,,,,
,,2020 - 2021,2.0,0.9,0.45,,,,,,
,Gulbarga,2001 - 2002,1.0,2.0,2.0,,,,,,
,,2002 - 2003,1.0,2.0,2.0,,,,,,
,,2020 - 2021,51.0,24.0,0.47,,,,,,
,,2021 - 2022,25.0,14.0,0.56,,,,,,
,,2022 - 2023,42.0,16.4,0.39,,,,,,
,Hassan,2000 - 2001,414.0,455.0,1.1,,,,,,
,,2001 - 2002,802.0,881.0,1.1,,,,,,
,,2002 - 2003,,,1.1,,,,,,
,,2003 - 2004,,,1.1,,,,,,
,,2004 - 2005,,,1.1,,,,,,
,,2005 - 2006,,,1.1,,,,,,
,,2006 - 2007,,,1.1,,,,,,
,,2007 - 2008,,,3.69,,,,,,
,,2008 - 2009,,,3.84,,,,,,
,,2009 - 2010,,,3.84,,,,,,
,,2010 - 2011,,,0.36,,,,,,
,,2011 - 2012,,,0.29,,,,,,
,,2012 - 2013,,,2.91,,,,,,
,,2013 - 2014,,,1.57,,,,,,
,,2014 - 2015,,,0.44,,,,,,
,,2015 - 2016,,,1.33,,,,,,
,,2016 - 2017,,,0.8,,,,,,
,,2017 - 2018,,,0.79,,,,,,
,,2018 - 2019,,,1.05,,,,,,
,,2019 - 2020,,,0.49,,,,,,
,,2020 - 2021,,,0.82,,,,,,
,,2021 - 2022,,,0.83,,,,,,
,,2022 - 2023,,,0.38,,,,,,
,Haveri,2014 - 2015,21.0,12.3,0.59,,,,,,
,,2015 - 2016,10.0,7.7,0.77,,,,,,
,,2016 - 2017,7.0,4.2,0.6,,,,,,
,,2017 - 2018,15.0,9.8,0.65,,,,,,
,,2018 - 2019,36.0,22.8,0.63,,,,,,
,,2019 - 2020,66.0,25.9,0.39,,,,,,
,,2020 - 2021,66.0,31.1,0.47,,,,,,
,,2021 - 2022,39.0,21.5,0.55,,,,,,
,,2022 - 2023,32.0,11.01,0.34,,,,,,
,Kodagu,2000 - 2001,,,2.84,,,,,,
,,2001 - 2002,,,2.84,,,,,,
,,2002 - 2003,,,2.84,,,,,,
,,2003 - 2004,,,2.84,,,,,,
,,2004 - 2005,,,2.84,,,,,,
,,2005 - 2006,,,2.84,,,,,,
,,2006 - 2007,,,2.84,,,,,,
,,2007 - 2008,,,3.13,,,,,,
,,2008 - 2009,,,4.44,,,,,,
,,2009 - 2010,,,3.74,,,,,,
,,2010 - 2011,,,0.59,,,,,,
,,2011 - 2012,,,0.23,,,,,,
,,2012 - 2013,,,2.35,,,,,,
,,2013 - 2014,,,2.35,,,,,,
,,2014 - 2015,,,0.45,,,,,,
,,2015 - 2016,,,0.44,,,,,,
,,2016 - 2017,,,0.41,,,,,,
,,2017 - 2018,,,0.44,,,,,,
,,2018 - 2019,,,0.41,,,,,,
,,2019 - 2020,,,0.4,,,,,,
,,2020 - 2021,,,0.31,,,,,,
,,2021 - 2022,,,0.45,,,,,,
,,2022 - 2023,,,0.41,,,,,,
,Kolar,2020 - 2021,3.0,1.4,0.47,,,,,,
,,2022 - 2023,1.0,0.38,0.38,,,,,,
,Koppal,2020 - 2021,44.0,20.7,0.47,,,,,,
,,2021 - 2022,35.0,19.3,0.55,,,,,,
,,2022 - 2023,25.0,196.01,7.84,,,,,,
,Mandya,2000 - 2001,4.0,10.0,2.5,,,,,,
,,2001 - 2002,4.0,10.0,2.5,,,,,,
,,2002 - 2003,2.0,5.0,2.5,,,,,,
,,2003 - 2004,2.0,5.0,2.5,,,,,,
,,2004 - 2005,2.0,5.0,2.5,,,,,,
,,2005 - 2006,2.0,5.0,2.5,,,,,,
,,2015 - 2016,27.0,20.7,0.77,,,,,,
,,2019 - 2020,11.0,4.3,0.39,,,,,,
,,2020 - 2021,19.0,8.9,0.47,,,,,,
,,2021 - 2022,4.0,2.1,0.53,,,,,,
,,2022 - 2023,5.0,0.9,0.18,,,,,,
,Mysore,2000 - 2001,14.0,36.0,2.57,,,,,,
,,2001 - 2002,20.0,51.0,2.55,,,,,,
,,2002 - 2003,124.0,317.0,2.56,,,,,,
,,2003 - 2004,25.0,64.0,2.56,,,,,,
,,2004 - 2005,28.0,72.0,2.57,,,,,,
,,2005 - 2006,25.0,64.0,2.56,,,,,,
,,2006 - 2007,26.0,66.0,2.54,,,,,,
,,2007 - 2008,59.0,184.0,3.12,,,,,,
,,2008 - 2009,62.0,263.0,4.24,,,,,,
,,2009 - 2010,166.0,616.0,3.71,,,,,,
,,2010 - 2011,63.0,38.0,0.6,,,,,,
,,2011 - 2012,73.0,20.7,0.28,,,,,,
,,2012 - 2013,46.0,130.0,2.83,,,,,,
,,2013 - 2014,21.0,52.0,2.48,,,,,,
,,2014 - 2015,52.0,30.5,0.59,,,,,,
,,2015 - 2016,42.0,32.1,0.76,,,,,,
,,2016 - 2017,73.0,44.2,0.61,,,,,,
,,2017 - 2018,39.0,25.6,0.66,,,,,,
,,2018 - 2019,39.0,24.7,0.63,,,,,,
,,2019 - 2020,98.0,38.4,0.39,,,,,,
,,2020 - 2021,249.0,117.3,0.47,,,,,,
,,2021 - 2022,73.0,39.7,0.54,,,,,,
,,2022 - 2023,129.0,38.8,0.3,,,,,,
,Raichur,2020 - 2021,125.0,58.9,0.47,,,,,,
,,2021 - 2022,80.0,44.0,0.55,,,,,,
,,2022 - 2023,27.0,8.5,0.31,,,,,,
,Ramanagara,2011 - 2012,2.0,0.6,0.3,,,,,,
,,2012 - 2013,19.0,54.0,2.84,,,,,,
,,2013 - 2014,10.0,25.0,2.5,,,,,,
,,2014 - 2015,11.0,6.5,0.59,,,,,,
,,2015 - 2016,10.0,7.7,0.77,,,,,,
,,2016 - 2017,6.0,3.6,0.6,,,,,,
,,2017 - 2018,6.0,3.9,0.65,,,,,,
,,2020 - 2021,11.0,5.2,0.47,,,,,,
,,2021 - 2022,7.0,3.8,0.54,,,,,,
,,2022 - 2023,7.0,1.85,0.26,,,,,,
,Shimoga,2000 - 2001,839.0,,2.83,,,,,,
,,2001 - 2002,818.0,,2.83,,,,,,
,,2002 - 2003,814.0,,2.83,,,,,,
,,2003 - 2004,853.0,,2.83,,,,,,
,,2004 - 2005,814.0,,2.83,,,,,,
,,2005 - 2006,744.0,,2.83,,,,,,
,,2006 - 2007,705.0,,2.83,,,,,,
,,2007 - 2008,696.0,,3.82,,,,,,
,,2008 - 2009,725.0,,3.36,,,,,,
,,2009 - 2010,700.0,,3.36,,,,,,
,,2010 - 2011,742.0,492.2,0.66,,,,,,
,,2011 - 2012,838.0,237.3,0.28,,,,,,
,,2012 - 2013,973.0,,2.83,,,,,,
,,2013 - 2014,,,2.48,,,,,,
,,2014 - 2015,,529.3,0.42,,,,,,
,,2015 - 2016,,,1.24,,,,,,
,,2016 - 2017,,803.5,0.58,,,,,,
,,2017 - 2018,,,0.6,,,,,,
,,2018 - 2019,,,0.53,,,,,,
,,2019 - 2020,,,0.31,,,,,,
,,2020 - 2021,,,0.48,,,,,,
,,2021 - 2022,,,0.5,,,,,,
,,2022 - 2023,,,0.32,,,,,,
,Tumkur,2001 - 2002,1.0,2.0,2.0,,,,,,
,,2002 - 2003,8.0,18.0,2.25,,,,,,
,,2003 - 2004,10.0,23.0,2.3,,,,,,
,,2004 - 2005,12.0,27.0,2.25,,,,,,
,,2005 - 2006,12.0,27.0,2.25,,,,,,
,,2006 - 2007,7.0,16.0,2.29,,,,,,
,,2007 - 2008,12.0,37.0,3.08,,,,,,
,,2008 - 2009,7.0,30.0,4.29,,,,,,
,,2009 - 2010,16.0,59.0,3.69,,,,,,
,,2010 - 2011,11.0,6.6,0.6,,,,,,
,,2011 - 2012,1.0,0.3,0.3,,,,,,
,,2012 - 2013,1.0,3.0,3.0,,,,,,
,,2013 - 2014,1.0,2.0,2.0,,,,,,
,,2014 - 2015,31.0,18.2,0.59,,,,,,
,,2015 - 2016,36.0,27.5,0.76,,,,,,
,,2016 - 2017,71.0,43.0,0.61,,,,,,
,,2019 - 2020,44.0,17.2,0.39,,,,,,
,,2020 - 2021,75.0,35.3,0.47,,,,,,
,,2021 - 2022,98.0,53.7,0.55,,,,,,
,,2022 - 2023,57.0,14.21,0.25,,,,,,
,Udupi,2000 - 2001,243.0,563.0,2.32,,,,,,
,,2001 - 2002,258.0,598.0,2.32,,,,,,
,,2002 - 2003,259.0,600.0,2.32,,,,,,
,,2003 - 2004,260.0,602.0,2.32,,,,,,
,,2004 - 2005,271.0,628.0,2.32,,,,,,
,,2005 - 2006,280.0,649.0,2.32,,,,,,
,,2006 - 2007,287.0,665.0,2.32,,,,,,
,,2007 - 2008,293.0,914.0,3.12,,,,,,
,,2008 - 2009,297.0,,4.24,,,,,,
,,2009 - 2010,294.0,,3.71,,,,,,
,,2010 - 2011,343.0,207.1,0.6,,,,,,
,,2011 - 2012,347.0,98.2,0.28,,,,,,
,,2012 - 2013,339.0,960.0,2.83,,,,,,
,,2013 - 2014,350.0,,2.9,,,,,,
,,2014 - 2015,352.0,206.6,0.59,,,,,,
,,2015 - 2016,389.0,297.7,0.77,,,,,,
,,2016 - 2017,420.0,254.5,0.61,,,,,,
,,2017 - 2018,477.0,313.1,0.66,,,,,,
,,2018 - 2019,747.0,474.0,0.63,,,,,,
,,2019 - 2020,,490.4,0.39,,,,,,
,,2020 - 2021,,830.8,0.47,,,,,,
,,2021 - 2022,879.0,414.0,0.47,,,,,,
,,2022 - 2023,726.0,290.47,0.4,,,,,,
,Uttar kannad,2000 - 2001,135.0,330.0,2.44,,,,,,
,,2001 - 2002,159.0,389.0,2.45,,,,,,
,,2002 - 2003,134.0,328.0,2.45,,,,,,
,,2003 - 2004,164.0,401.0,2.45,,,,,,
,,2004 - 2005,176.0,430.0,2.44,,,,,,
,,2005 - 2006,234.0,572.0,2.44,,,,,,
,,2006 - 2007,254.0,621.0,2.44,,,,,,
,,2007 - 2008,247.0,814.0,3.3,,,,,,
,,2008 - 2009,323.0,,4.24,,,,,,
,,2009 - 2010,400.0,,3.71,,,,,,
,,2010 - 2011,408.0,96.1,0.24,,,,,,
,,2011 - 2012,431.0,110.9,0.26,,,,,,
,,2012 - 2013,627.0,,2.57,,,,,,
,,2013 - 2014,624.0,,3.05,,,,,,
,,2014 - 2015,772.0,453.2,0.59,,,,,,
,,2015 - 2016,,857.9,0.77,,,,,,
,,2016 - 2017,,,0.94,,,,,,
,,2017 - 2018,,,0.93,,,,,,
,,2018 - 2019,,,0.43,,,,,,
,,2019 - 2020,,,0.5,,,,,,
,,2020 - 2021,,,0.62,,,,,,
,,2021 - 2022,,,0.65,,,,,,
,,2022 - 2023,,,0.78,,,,,,
,Vijayanagar,2022 - 2023,24.0,17.2,0.72,,,,,,
,Yadgir,2020 - 2021,93.0,43.8,0.47,,,,,,
,,2021 - 2022,10.0,5.4,0.54,,,,,,
Kerala,Alappuzha,2000 - 2001,,297.0,0.14,,,,,,
,,2001 - 2002,,196.0,0.1,,,,,,
,,2002 - 2003,,174.0,0.09,,,,,,
,,2003 - 2004,,167.0,0.08,,,,,,
,,2004 - 2005,,181.0,0.09,,,,,,
,,2005 - 2006,,177.0,0.09,,,,,,
,,2006 - 2007,,232.0,0.12,,,,,,
,,2007 - 2008,,207.0,0.12,,,,,,
,,2008 - 2009,,126.0,0.09,,,,,,
,,2009 - 2010,,134.0,0.1,,,,,,
,,2010 - 2011,,150.73,0.1,,,,,,
,,2011 - 2012,724.76,136.22,0.19,,,,,,
,,2012 - 2013,639.0,148.0,0.23,,,,,,
,,2013 - 2014,663.0,158.0,0.24,,,,,,
,,2014 - 2015,614.0,147.0,0.24,,,,,,
,,2015 - 2016,615.66,134.36,0.22,,,,,,
,,2016 - 2017,605.0,135.0,0.22,,,,,,
,,2017 - 2018,619.0,125.0,0.2,,,,,,
,,2018 - 2019,609.1,116.73,0.19,,,,,,
,,2019 - 2020,690.0,133.0,0.19,,,,,,
,,2020 - 2021,594.6,108.74,0.18,,,,,,
,,2021 - 2022,605.0,101.0,0.17,,,,,,
,,2022 - 2023,615.22,117.16,0.19,,,,,,
,Ernakulam,2000 - 2001,,918.0,0.13,,,,,,
,,2001 - 2002,,,0.15,,,,,,
,,2002 - 2003,,,0.16,,,,,,
,,2003 - 2004,,,0.16,,,,,,
,,2004 - 2005,,,0.15,,,,,,
,,2005 - 2006,,,0.19,,,,,,
,,2006 - 2007,,,0.17,,,,,,
,,2007 - 2008,,995.0,0.16,,,,,,
,,2008 - 2009,,928.0,0.17,,,,,,
,,2009 - 2010,,798.0,0.15,,,,,,
,,2010 - 2011,,717.77,0.14,,,,,,
,,2011 - 2012,,619.85,0.25,,,,,,
,,2012 - 2013,,631.0,0.3,,,,,,
,,2013 - 2014,,599.0,0.3,,,,,,
,,2014 - 2015,,539.0,0.28,,,,,,
,,2015 - 2016,,527.44,0.28,,,,,,
,,2016 - 2017,,467.0,0.25,,,,,,
,,2017 - 2018,,454.0,0.26,,,,,,
,,2018 - 2019,,440.89,0.24,,,,,,
,,2019 - 2020,,426.0,0.22,,,,,,
,,2020 - 2021,,402.46,0.23,,,,,,
,,2021 - 2022,,357.0,0.22,,,,,,
,,2022 - 2023,,378.26,0.23,,,,,,
,Idukki,2000 - 2001,,,0.4,,,,,,
,,2001 - 2002,,,0.41,,,,,,
,,2002 - 2003,,,0.55,,,,,,
,,2003 - 2004,,,0.53,,,,,,
,,2004 - 2005,,,0.47,,,,,,
,,2005 - 2006,,,0.62,,,,,,
,,2006 - 2007,,,0.42,,,,,,
,,2007 - 2008,,,0.36,,,,,,
,,2008 - 2009,,,0.29,,,,,,
,,2009 - 2010,,,0.3,,,,,,
,,2010 - 2011,,,0.35,,,,,,
,,2011 - 2012,,,0.52,,,,,,
,,2012 - 2013,,,0.7,,,,,,
,,2013 - 2014,,,0.35,,,,,,
,,2014 - 2015,,,0.55,,,,,,
,,2015 - 2016,,,0.6,,,,,,
,,2016 - 2017,,,0.43,,,,,,
,,2017 - 2018,,,0.56,,,,,,
,,2018 - 2019,,,0.56,,,,,,
,,2019 - 2020,,,0.48,,,,,,
,,2020 - 2021,,,0.45,,,,,,
,,2021 - 2022,,,0.5,,,,,,
,,2022 - 2023,,,0.44,,,,,,
,Kannur,2000 - 2001,,,0.21,,,,,,
,,2001 - 2002,,,0.19,,,,,,
,,2002 - 2003,,,0.19,,,,,,
,,2003 - 2004,,,0.18,,,,,,
,,2004 - 2005,,,0.21,,,,,,
,,2005 - 2006,,,0.24,,,,,,
,,2006 - 2007,,,0.21,,,,,,
,,2007 - 2008,,,0.15,,,,,,
,,2008 - 2009,,,0.2,,,,,,
,,2009 - 2010,,,0.26,,,,,,
,,2010 - 2011,,,0.18,,,,,,
,,2011 - 2012,,,0.39,,,,,,
,,2012 - 2013,,,0.47,,,,,,
,,2013 - 2014,,,0.39,,,,,,
,,2014 - 2015,,,0.46,,,,,,
,,2015 - 2016,,,0.36,,,,,,
,,2016 - 2017,,,0.56,,,,,,
,,2017 - 2018,,,0.34,,,,,,
,,2018 - 2019,,,0.33,,,,,,
,,2019 - 2020,,,0.45,,,,,,
,,2020 - 2021,,,0.39,,,,,,
,,2021 - 2022,,,0.33,,,,,,
,,2022 - 2023,,,0.28,,,,,,
,Kasaragod,2000 - 2001,,,0.2,,,,,,
,,2001 - 2002,,,0.21,,,,,,
,,2002 - 2003,,,0.3,,,,,,
,,2003 - 2004,,,0.29,,,,,,
,,2004 - 2005,,,0.29,,,,,,
,,2005 - 2006,,,0.29,,,,,,
,,2006 - 2007,,,0.29,,,,,,
,,2007 - 2008,,,0.24,,,,,,
,,2008 - 2009,,,0.26,,,,,,
,,2009 - 2010,,,0.23,,,,,,
,,2010 - 2011,,,0.37,,,,,,
,,2011 - 2012,,,0.8,,,,,,
,,2012 - 2013,,,0.59,,,,,,
,,2013 - 2014,,,0.62,,,,,,
,,2014 - 2015,,,0.67,,,,,,
,,2015 - 2016,,,0.43,,,,,,
,,2016 - 2017,,,0.6,,,,,,
,,2017 - 2018,,,0.54,,,,,,
