state,district,year,maize_rabi_area_hectare,maize_rabi_production_tonne,maize_rabi_yield_tonne_per_hectare,maize_kharif_area_hectare,maize_kharif_production_tonne,maize_kharif_yield_tonne_per_hectare,maize_summer_area_hectare,maize_summer_production_tonne,maize_summer_yield_tonne_per_hectare,maize_autumn_area_hectare,maize_autumn_production_tonne,maize_autumn_yield_tonne_per_hectare,maize_winter_area_hectare,maize_winter_production_tonne,maize_winter_yield_tonne_per_hectare,maize_whole_year_area_hectare,maize_whole_year_production_tonne,maize_whole_year_yield_tonne_per_hectare
,,2020 - 2021,,,,613.0,,3.68,37.0,107.0,2.89,,,,,,,,,
,,2021 - 2022,,,,152.0,493.0,3.24,42.0,115.0,2.74,,,,,,,,,
,,2022 - 2023,,,,152.0,326.0,2.14,217.0,625.0,2.88,,,,,,,,,
,Mau,2000 - 2001,28.0,45.0,1.61,617.0,,1.65,,,,,,,,,,,,
,,2001 - 2002,43.0,70.0,1.63,585.0,844.0,1.44,,,,,,,,,,,,
,,2002 - 2003,143.0,158.0,1.1,711.0,969.0,1.36,,,,,,,,,,,,
,,2003 - 2004,107.0,146.0,1.36,631.0,520.0,0.82,185.0,253.0,1.37,,,,,,,,,
,,2004 - 2005,106.0,449.0,4.24,368.0,439.0,1.19,,,,,,,,,,,,
,,2005 - 2006,,,,623.0,509.0,0.82,,,,,,,,,,,,
,,2006 - 2007,102.0,296.0,2.9,421.0,437.0,1.04,189.0,250.0,1.32,,,,,,,,,
,,2007 - 2008,,,,91.0,75.0,0.82,189.0,272.0,1.44,,,,,,,,,
,,2008 - 2009,,,,242.0,109.0,0.45,179.0,268.0,1.5,,,,,,,,,
,,2009 - 2010,,,,274.0,414.0,1.51,180.0,262.0,1.46,,,,,,,,,
,,2010 - 2011,,,,263.0,387.0,1.47,173.0,254.0,1.47,,,,,,,,,
,,2011 - 2012,2.0,4.0,2.0,310.0,531.0,1.71,146.0,241.0,1.65,,,,,,,,,
,,2012 - 2013,,,,275.0,488.0,1.77,183.0,338.0,1.85,,,,,,,,,
,,2013 - 2014,39.0,139.0,3.56,245.0,344.0,1.4,192.0,353.0,1.84,,,,,,,,,
,,2014 - 2015,8.0,12.0,1.5,316.0,493.0,1.56,199.0,354.0,1.78,,,,,,,,,
,,2015 - 2016,,,,235.0,282.0,1.2,121.0,224.0,1.85,,,,,,,,,
,,2016 - 2017,55.0,93.0,1.69,292.0,302.0,1.03,181.0,340.0,1.88,,,,,,,,,
,,2017 - 2018,9.0,18.0,2.0,298.0,552.0,1.85,174.0,381.0,2.19,,,,,,,,,
,,2018 - 2019,2.0,4.0,2.0,269.0,554.0,2.06,184.0,380.0,2.07,,,,,,,,,
,,2019 - 2020,14.0,28.0,2.0,292.0,395.0,1.35,177.0,437.0,2.47,,,,,,,,,
,,2020 - 2021,7.0,18.0,2.57,290.0,349.0,1.2,168.0,486.0,2.89,,,,,,,,,
,,2021 - 2022,,,,387.0,446.0,1.15,178.0,485.0,2.72,,,,,,,,,
,,2022 - 2023,121.0,341.0,2.82,,,1.3,216.0,622.0,2.88,,,,,,,,,
,Meerut,2000 - 2001,679.0,,1.62,,,2.08,,,,,,,,,,,,
,,2001 - 2002,597.0,973.0,1.63,,,2.4,,,,,,,,,,,,
,,2002 - 2003,472.0,523.0,1.11,,,1.33,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.36,436.0,596.0,1.37,,,,,,,,,
,,2004 - 2005,,,,,,1.1,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.56,,,,,,,,,,,,
,,2006 - 2007,,,,279.0,524.0,1.88,221.0,293.0,1.33,,,,,,,,,
,,2007 - 2008,,,,449.0,883.0,1.97,90.0,129.0,1.43,,,,,,,,,
,,2008 - 2009,,,,702.0,,2.2,208.0,311.0,1.5,,,,,,,,,
,,2009 - 2010,,,,339.0,645.0,1.9,130.0,189.0,1.45,,,,,,,,,
,,2010 - 2011,,,,237.0,464.0,1.96,143.0,210.0,1.47,,,,,,,,,
,,2011 - 2012,,,,347.0,750.0,2.16,232.0,383.0,1.65,,,,,,,,,
,,2012 - 2013,1.0,3.0,3.0,244.0,579.0,2.37,119.0,220.0,1.85,,,,,,,,,
,,2013 - 2014,,,,677.0,,2.39,146.0,268.0,1.84,,,,,,,,,
,,2014 - 2015,16.0,38.0,2.38,167.0,393.0,2.35,67.0,119.0,1.78,,,,,,,,,
,,2015 - 2016,,,,587.0,,2.42,119.0,220.0,1.85,,,,,,,,,
,,2016 - 2017,,,,564.0,,2.33,114.0,214.0,1.88,,,,,,,,,
,,2017 - 2018,123.0,369.0,3.0,196.0,490.0,2.5,138.0,302.0,2.19,,,,,,,,,
,,2018 - 2019,,,,186.0,306.0,1.65,127.0,263.0,2.07,,,,,,,,,
,,2019 - 2020,,,,271.0,560.0,2.07,104.0,257.0,2.47,,,,,,,,,
,,2020 - 2021,,,,210.0,416.0,1.98,92.0,266.0,2.89,,,,,,,,,
,,2021 - 2022,,,,323.0,641.0,1.98,94.0,256.0,2.72,,,,,,,,,
,,2022 - 2023,2.0,6.0,3.0,323.0,787.0,2.44,94.0,55.0,0.59,,,,,,,,,
,Mirzapur,2000 - 2001,3.0,5.0,1.67,,,0.96,,,,,,,,,,,,
,,2001 - 2002,3.0,5.0,1.67,,,0.52,,,,,,,,,,,,
,,2002 - 2003,1.0,1.0,1.0,,,0.87,,,,,,,,,,,,
,,2003 - 2004,6.0,8.0,1.33,,,1.14,3.0,4.0,1.33,,,,,,,,,
,,2004 - 2005,32.0,148.0,4.63,,,0.59,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.07,,,,,,,,,,,,
,,2006 - 2007,37.0,117.0,3.16,,,0.63,,,,,,,,,,,,
,,2007 - 2008,24.0,67.0,2.79,,,0.79,,,,,,,,,,,,
,,2008 - 2009,16.0,42.0,2.63,,771.0,0.58,,,,,,,,,,,,
,,2009 - 2010,34.0,104.0,3.06,,,0.68,2.0,3.0,1.5,,,,,,,,,
,,2010 - 2011,55.0,165.0,3.0,,702.0,0.52,,,,,,,,,,,,
,,2011 - 2012,222.0,529.0,2.38,,755.0,0.62,,,,,,,,,,,,
,,2012 - 2013,17.0,53.0,3.12,,,0.96,3.0,5.0,1.67,,,,,,,,,
,,2013 - 2014,76.0,270.0,3.55,,971.0,0.82,,,,,,,,,,,,
,,2014 - 2015,11.0,26.0,2.36,,,1.14,,,,,,,,,,,,
,,2015 - 2016,55.0,121.0,2.2,,,1.49,3.0,5.0,1.67,,,,,,,,,
,,2016 - 2017,10.0,28.0,2.8,,902.0,0.41,2.0,4.0,2.0,,,,,,,,,
,,2017 - 2018,148.0,444.0,3.0,,,1.5,2.0,4.0,2.0,,,,,,,,,
,,2018 - 2019,394.0,,2.8,,,1.41,2.0,4.0,2.0,,,,,,,,,
,,2019 - 2020,18.0,51.0,2.83,,,0.87,,,,,,,,,,,,
,,2020 - 2021,66.0,54.0,0.82,,,1.24,1.0,3.0,3.0,,,,,,,,,
,,2021 - 2022,18.0,50.0,2.78,,,1.24,2.0,5.0,2.5,,,,,,,,,
,,2022 - 2023,,,2.82,,,1.1,,,,,,,,,,,,
,Moradabad,2000 - 2001,391.0,634.0,1.62,,,1.31,,,,,,,,,,,,
,,2001 - 2002,708.0,,1.63,,,1.5,,,,,,,,,,,,
,,2002 - 2003,674.0,746.0,1.11,,,0.98,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.55,,,1.37,,,,,,,,,
,,2004 - 2005,,,,,,1.18,,,,,,,,,,,,
,,2005 - 2006,,,,855.0,909.0,1.06,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.96,905.0,,1.33,,,,,,,,,
,,2007 - 2008,,,,,,1.33,,,1.44,,,,,,,,,
,,2008 - 2009,,,,,,1.31,,,1.5,,,,,,,,,
,,2009 - 2010,,,,,,1.49,,,1.45,,,,,,,,,
,,2010 - 2011,,,,,,1.15,,,1.47,,,,,,,,,
,,2011 - 2012,43.0,103.0,2.4,,,1.43,,,1.65,,,,,,,,,
,,2012 - 2013,,,,135.0,121.0,0.9,51.0,94.0,1.84,,,,,,,,,
,,2013 - 2014,,,,52.0,81.0,1.56,20.0,37.0,1.85,,,,,,,,,
,,2014 - 2015,4.0,9.0,2.25,173.0,327.0,1.89,49.0,87.0,1.78,,,,,,,,,
,,2015 - 2016,,,,88.0,187.0,2.13,256.0,473.0,1.85,,,,,,,,,
,,2016 - 2017,,,,83.0,178.0,2.14,41.0,77.0,1.88,,,,,,,,,
,,2017 - 2018,,,,52.0,110.0,2.12,17.0,37.0,2.18,,,,,,,,,
,,2018 - 2019,,,,90.0,192.0,2.13,21.0,43.0,2.05,,,,,,,,,
,,2019 - 2020,,,,142.0,228.0,1.61,23.0,57.0,2.48,,,,,,,,,
,,2020 - 2021,,,,34.0,99.0,2.91,18.0,52.0,2.89,,,,,,,,,
,,2021 - 2022,,,,42.0,118.0,2.81,21.0,57.0,2.71,,,,,,,,,
,,2022 - 2023,,,,42.0,93.0,2.21,21.0,60.0,2.86,,,,,,,,,
,Muzaffarnagar,2000 - 2001,81.0,131.0,1.62,823.0,,1.66,,,,,,,,,,,,
,,2001 - 2002,97.0,158.0,1.63,953.0,,1.72,,,,,,,,,,,,
,,2002 - 2003,107.0,119.0,1.11,,,1.12,,,,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,544.0,625.0,1.15,88.0,120.0,1.36,,,,,,,,,
,,2004 - 2005,6.0,28.0,4.67,448.0,659.0,1.47,,,,,,,,,,,,
,,2005 - 2006,,,,525.0,777.0,1.48,,,,,,,,,,,,
,,2006 - 2007,,,,328.0,463.0,1.41,97.0,128.0,1.32,,,,,,,,,
,,2007 - 2008,,,,200.0,254.0,1.27,19.0,27.0,1.42,,,,,,,,,
,,2008 - 2009,,,,137.0,193.0,1.41,11.0,16.0,1.45,,,,,,,,,
,,2009 - 2010,,,,279.0,283.0,1.01,17.0,25.0,1.47,,,,,,,,,
,,2010 - 2011,,,,117.0,155.0,1.32,10.0,15.0,1.5,,,,,,,,,
,,2011 - 2012,,,,517.0,750.0,1.45,15.0,25.0,1.67,,,,,,,,,
,,2012 - 2013,,,,18.0,24.0,1.33,5.0,9.0,1.8,,,,,,,,,
,,2013 - 2014,,,,24.0,29.0,1.21,1.0,2.0,2.0,,,,,,,,,
,,2014 - 2015,,,,31.0,44.0,1.42,4.0,7.0,1.75,,,,,,,,,
,,2015 - 2016,,,,85.0,140.0,1.65,3.0,6.0,2.0,,,,,,,,,
,,2016 - 2017,,,,25.0,39.0,1.56,3.0,6.0,2.0,,,,,,,,,
,,2017 - 2018,,,,36.0,57.0,1.58,3.0,7.0,2.33,,,,,,,,,
,,2018 - 2019,,,,36.0,86.0,2.39,3.0,6.0,2.0,,,,,,,,,
,,2019 - 2020,,,,36.0,92.0,2.56,4.0,10.0,2.5,,,,,,,,,
,,2020 - 2021,33.0,87.0,2.64,36.0,98.0,2.72,3.0,9.0,3.0,,,,,,,,,
,,2021 - 2022,,,,43.0,79.0,1.84,3.0,8.0,2.67,,,,,,,,,
,,2022 - 2023,,,,43.0,79.0,1.84,1.0,3.0,3.0,,,,,,,,,
,Pilibhit,2000 - 2001,107.0,173.0,1.62,152.0,280.0,1.84,,,,,,,,,,,,
,,2001 - 2002,86.0,140.0,1.63,255.0,374.0,1.47,,,,,,,,,,,,
,,2002 - 2003,106.0,117.0,1.1,312.0,332.0,1.06,,,,,,,,,,,,
,,2003 - 2004,,,,232.0,442.0,1.91,87.0,119.0,1.37,,,,,,,,,
,,2004 - 2005,,,,372.0,570.0,1.53,,,,,,,,,,,,
,,2005 - 2006,,,,200.0,299.0,1.5,,,,,,,,,,,,
,,2006 - 2007,,,,519.0,875.0,1.69,169.0,224.0,1.33,,,,,,,,,
,,2007 - 2008,,,,303.0,500.0,1.65,74.0,106.0,1.43,,,,,,,,,
,,2008 - 2009,,,,256.0,494.0,1.93,87.0,130.0,1.49,,,,,,,,,
,,2009 - 2010,,,,302.0,565.0,1.87,85.0,124.0,1.46,,,,,,,,,
,,2010 - 2011,,,,176.0,287.0,1.63,33.0,48.0,1.45,,,,,,,,,
,,2011 - 2012,1.0,2.0,2.0,256.0,488.0,1.91,97.0,160.0,1.65,,,,,,,,,
,,2012 - 2013,,,,117.0,245.0,2.09,80.0,148.0,1.85,,,,,,,,,
,,2013 - 2014,,,,281.0,570.0,2.03,49.0,90.0,1.84,,,,,,,,,
,,2014 - 2015,,,,476.0,935.0,1.96,108.0,192.0,1.78,,,,,,,,,
,,2015 - 2016,1.0,2.0,2.0,,,1.72,538.0,995.0,1.85,,,,,,,,,
,,2016 - 2017,,,,291.0,609.0,2.09,58.0,109.0,1.88,,,,,,,,,
,,2017 - 2018,,,,166.0,367.0,2.21,18.0,40.0,2.22,,,,,,,,,
,,2018 - 2019,,,,241.0,494.0,2.05,34.0,70.0,2.06,,,,,,,,,
,,2019 - 2020,2.0,6.0,3.0,241.0,542.0,2.25,,,2.47,,,,,,,,,
,,2020 - 2021,2.0,5.0,2.5,241.0,767.0,3.18,51.0,147.0,2.88,,,,,,,,,
,,2021 - 2022,2.0,6.0,3.0,289.0,917.0,3.17,69.0,188.0,2.72,,,,,,,,,
,,2022 - 2023,,,,289.0,650.0,2.25,87.0,235.0,2.7,,,,,,,,,
,Pratapgarh,2000 - 2001,48.0,78.0,1.63,,,2.12,,,,,,,,,,,,
,,2001 - 2002,49.0,80.0,1.63,,,1.93,,,,,,,,,,,,
,,2002 - 2003,49.0,54.0,1.1,866.0,,1.38,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.14,43.0,59.0,1.37,,,,,,,,,
,,2004 - 2005,5.0,23.0,4.6,,858.0,0.85,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.28,,,,,,,,,,,,
,,2006 - 2007,,,,965.0,,1.33,73.0,97.0,1.33,,,,,,,,,
,,2007 - 2008,1.0,2.0,2.0,,,1.44,64.0,92.0,1.44,,,,,,,,,
,,2008 - 2009,,,,823.0,,1.5,49.0,73.0,1.49,,,,,,,,,
,,2009 - 2010,,,,660.0,960.0,1.45,20.0,29.0,1.45,,,,,,,,,
,,2010 - 2011,,,,578.0,,1.76,21.0,31.0,1.48,,,,,,,,,
,,2011 - 2012,,,,853.0,854.0,1.0,17.0,28.0,1.65,,,,,,,,,
,,2012 - 2013,,,,766.0,872.0,1.14,19.0,35.0,1.84,,,,,,,,,
,,2013 - 2014,3.0,11.0,3.67,538.0,582.0,1.08,22.0,40.0,1.82,,,,,,,,,
,,2014 - 2015,,,,572.0,,1.78,35.0,62.0,1.77,,,,,,,,,
,,2015 - 2016,53.0,116.0,2.19,486.0,354.0,0.73,13.0,24.0,1.85,,,,,,,,,
,,2016 - 2017,36.0,101.0,2.81,569.0,,1.88,28.0,53.0,1.89,,,,,,,,,
,,2017 - 2018,44.0,132.0,3.0,536.0,,2.19,21.0,46.0,2.19,,,,,,,,,
,,2018 - 2019,27.0,76.0,2.81,537.0,938.0,1.75,43.0,89.0,2.07,,,,,,,,,
,,2019 - 2020,,,,528.0,965.0,1.83,21.0,52.0,2.48,,,,,,,,,
,,2020 - 2021,16.0,42.0,2.63,678.0,,2.31,21.0,61.0,2.9,,,,,,,,,
,,2021 - 2022,,,,682.0,,2.12,26.0,71.0,2.73,,,,,,,,,
,,2022 - 2023,1.0,3.0,3.0,782.0,,2.85,167.0,481.0,2.88,,,,,,,,,
,Rae bareli,2000 - 2001,,,,130.0,105.0,0.81,,,,,,,,,,,,
,,2001 - 2002,17.0,28.0,1.65,128.0,206.0,1.61,,,,,,,,,,,,
,,2002 - 2003,4.0,4.0,1.0,197.0,205.0,1.04,,,,,,,,,,,,
,,2003 - 2004,2.0,3.0,1.5,187.0,256.0,1.37,45.0,61.0,1.36,,,,,,,,,
,,2004 - 2005,37.0,171.0,4.62,153.0,216.0,1.41,,,,,,,,,,,,
,,2005 - 2006,,,,181.0,159.0,0.88,,,,,,,,,,,,
,,2006 - 2007,37.0,116.0,3.14,200.0,255.0,1.28,1.0,1.0,1.0,,,,,,,,,
,,2007 - 2008,1.0,3.0,3.0,119.0,104.0,0.87,1.0,1.0,1.0,,,,,,,,,
,,2008 - 2009,2.0,5.0,2.5,11.0,13.0,1.18,2.0,3.0,1.5,,,,,,,,,
,,2009 - 2010,,,,80.0,96.0,1.2,1.0,2.0,2.0,,,,,,,,,
,,2010 - 2011,1.0,3.0,3.0,46.0,50.0,1.09,1.0,1.0,1.0,,,,,,,,,
,,2011 - 2012,13.0,31.0,2.38,63.0,69.0,1.1,1.0,2.0,2.0,,,,,,,,,
,,2012 - 2013,,,,51.0,74.0,1.45,1.0,2.0,2.0,,,,,,,,,
,,2013 - 2014,1.0,4.0,4.0,36.0,61.0,1.69,,,,,,,,,,,,
,,2014 - 2015,139.0,333.0,2.4,21.0,30.0,1.43,,,,,,,,,,,,
,,2015 - 2016,,,,36.0,61.0,1.69,,,,,,,,,,,,
,,2016 - 2017,75.0,210.0,2.8,116.0,220.0,1.9,,,,,,,,,,,,
,,2017 - 2018,39.0,117.0,3.0,58.0,120.0,2.07,,,,,,,,,,,,
,,2018 - 2019,,,,29.0,52.0,1.79,,,,,,,,,,,,
,,2019 - 2020,119.0,337.0,2.83,57.0,112.0,1.96,,,,,,,,,,,,
,,2020 - 2021,,,,45.0,91.0,2.02,,,,,,,,,,,,
,,2021 - 2022,,,,50.0,85.0,1.7,,,,,,,,,,,,
,,2022 - 2023,,,,50.0,98.0,1.96,,,,,,,,,,,,
,Rampur,2000 - 2001,26.0,42.0,1.62,189.0,248.0,1.31,,,,,,,,,,,,
,,2001 - 2002,51.0,83.0,1.63,255.0,384.0,1.51,,,,,,,,,,,,
,,2002 - 2003,87.0,96.0,1.1,223.0,247.0,1.11,,,,,,,,,,,,
,,2003 - 2004,,,,120.0,11.0,0.09,40.0,55.0,1.38,,,,,,,,,
,,2004 - 2005,,,,99.0,117.0,1.18,,,,,,,,,,,,
,,2005 - 2006,,,,225.0,239.0,1.06,,,,,,,,,,,,
,,2006 - 2007,,,,57.0,55.0,0.96,47.0,62.0,1.32,,,,,,,,,
,,2007 - 2008,,,,174.0,231.0,1.33,26.0,38.0,1.46,,,,,,,,,
,,2008 - 2009,,,,134.0,175.0,1.31,38.0,57.0,1.5,,,,,,,,,
,,2009 - 2010,,,,485.0,724.0,1.49,74.0,108.0,1.46,,,,,,,,,
,,2010 - 2011,,,,187.0,216.0,1.16,14.0,20.0,1.43,,,,,,,,,
,,2011 - 2012,10.0,24.0,2.4,80.0,114.0,1.43,36.0,59.0,1.64,,,,,,,,,
,,2012 - 2013,,,,75.0,67.0,0.89,91.0,168.0,1.85,,,,,,,,,
,,2013 - 2014,299.0,,3.56,101.0,157.0,1.55,12.0,22.0,1.83,,,,,,,,,
,,2014 - 2015,2.0,5.0,2.5,45.0,85.0,1.89,42.0,75.0,1.79,,,,,,,,,
,,2015 - 2016,,,,43.0,92.0,2.14,9.0,17.0,1.89,,,,,,,,,
,,2016 - 2017,3.0,8.0,2.67,158.0,339.0,2.15,55.0,103.0,1.87,,,,,,,,,
,,2017 - 2018,189.0,567.0,3.0,49.0,103.0,2.1,38.0,83.0,2.18,,,,,,,,,
,,2018 - 2019,,,,6.0,13.0,2.17,12.0,25.0,2.08,,,,,,,,,
,,2019 - 2020,,,,91.0,146.0,1.6,29.0,72.0,2.48,,,,,,,,,
,,2020 - 2021,81.0,214.0,2.64,91.0,265.0,2.91,69.0,200.0,2.9,,,,,,,,,
,,2021 - 2022,,,,109.0,306.0,2.81,12.0,33.0,2.75,,,,,,,,,
,,2022 - 2023,,,,109.0,307.0,2.82,186.0,535.0,2.88,,,,,,,,,
,Saharanpur,2000 - 2001,87.0,141.0,1.62,,,1.51,,,,,,,,,,,,
,,2001 - 2002,82.0,134.0,1.63,,,1.72,,,,,,,,,,,,
,,2002 - 2003,66.0,73.0,1.11,,,1.12,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.15,83.0,114.0,1.37,,,,,,,,,
,,2004 - 2005,,,,,,1.47,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.48,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.41,91.0,121.0,1.33,,,,,,,,,
,,2007 - 2008,,,,,,1.27,70.0,101.0,1.44,,,,,,,,,
,,2008 - 2009,,,,,,1.41,24.0,36.0,1.5,,,,,,,,,
,,2009 - 2010,,,,,,1.01,7.0,10.0,1.43,,,,,,,,,
,,2010 - 2011,,,,,,1.32,12.0,17.0,1.42,,,,,,,,,
,,2011 - 2012,,,,,,1.45,22.0,36.0,1.64,,,,,,,,,
,,2012 - 2013,,,,,,1.32,20.0,37.0,1.85,,,,,,,,,
,,2013 - 2014,,,,,,1.19,6.0,11.0,1.83,,,,,,,,,
,,2014 - 2015,,,,,,1.41,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.65,,,,,,,,,,,,
,,2016 - 2017,90.0,252.0,2.8,,,1.57,2.0,4.0,2.0,,,,,,,,,
,,2017 - 2018,3.0,9.0,3.0,,,1.59,5.0,11.0,2.2,,,,,,,,,
,,2018 - 2019,,,,,,2.39,4.0,8.0,2.0,,,,,,,,,
,,2019 - 2020,,,,,,2.55,6.0,15.0,2.5,,,,,,,,,
,,2020 - 2021,,,,,,1.98,5.0,14.0,2.8,,,,,,,,,
,,2021 - 2022,,,,,,1.85,12.0,33.0,2.75,,,,,,,,,
,,2022 - 2023,,,,,,1.84,106.0,305.0,2.88,,,,,,,,,
,Sambhal,2012 - 2013,,,,,,0.9,,,1.85,,,,,,,,,
,,2013 - 2014,,,,,,1.73,,,1.84,,,,,,,,,
,,2014 - 2015,222.0,531.0,2.39,,,2.12,,,1.78,,,,,,,,,
,,2015 - 2016,,,,,,2.2,,,1.85,,,,,,,,,
,,2016 - 2017,34.0,95.0,2.79,,,2.37,,,1.88,,,,,,,,,
,,2017 - 2018,192.0,576.0,3.0,,,2.3,,,2.19,,,,,,,,,
,,2018 - 2019,,,,,,2.44,,,2.07,,,,,,,,,
,,2019 - 2020,70.0,198.0,2.83,,,1.49,,,2.47,,,,,,,,,
,,2020 - 2021,,,,,,3.13,,,2.89,,,,,,,,,
,,2021 - 2022,,,,,,3.03,,,2.73,,,,,,,,,
,,2022 - 2023,247.0,697.0,2.82,,,2.1,,,2.88,,,,,,,,,
,Sant kabeer nagar,2000 - 2001,3.0,5.0,1.67,,616.0,0.45,,,,,,,,,,,,
,,2001 - 2002,30.0,49.0,1.63,,,0.72,,,,,,,,,,,,
,,2002 - 2003,46.0,51.0,1.11,,,0.87,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.2,35.0,48.0,1.37,,,,,,,,,
,,2004 - 2005,,,,,,1.54,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.28,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.33,14.0,19.0,1.36,,,,,,,,,
,,2007 - 2008,3.0,8.0,2.67,,,1.44,69.0,99.0,1.43,,,,,,,,,
,,2008 - 2009,16.0,42.0,2.63,,,1.5,41.0,61.0,1.49,,,,,,,,,
,,2009 - 2010,1.0,3.0,3.0,,,1.46,37.0,54.0,1.46,,,,,,,,,
,,2010 - 2011,1.0,3.0,3.0,,,1.15,45.0,66.0,1.47,,,,,,,,,
,,2011 - 2012,6.0,14.0,2.33,,,1.76,34.0,56.0,1.65,,,,,,,,,
,,2012 - 2013,,,,,,1.85,19.0,35.0,1.84,,,,,,,,,
,,2013 - 2014,151.0,536.0,3.55,,,1.84,34.0,63.0,1.85,,,,,,,,,
,,2014 - 2015,,,,,,1.78,22.0,39.0,1.77,,,,,,,,,
,,2015 - 2016,42.0,92.0,2.19,,,1.85,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.9,37.0,69.0,1.86,,,,,,,,,
,,2017 - 2018,9.0,27.0,3.0,,,0.88,39.0,86.0,2.21,,,,,,,,,
,,2018 - 2019,39.0,109.0,2.79,,,0.77,42.0,87.0,2.07,,,,,,,,,
,,2019 - 2020,16.0,45.0,2.81,,,0.7,51.0,126.0,2.47,,,,,,,,,
,,2020 - 2021,135.0,357.0,2.64,,775.0,0.64,33.0,96.0,2.91,,,,,,,,,
,,2021 - 2022,,,,,,0.64,34.0,93.0,2.74,,,,,,,,,
,,2022 - 2023,6.0,17.0,2.83,,,2.14,26.0,75.0,2.88,,,,,,,,,
,Sant ravidas nagar,2000 - 2001,,,,969.0,926.0,0.96,,,,,,,,,,,,
,,2001 - 2002,,,,929.0,484.0,0.52,,,,,,,,,,,,
,,2002 - 2003,,,,699.0,520.0,0.74,,,,,,,,,,,,
,,2003 - 2004,,,,658.0,751.0,1.14,,,,,,,,,,,,
,,2004 - 2005,,,,622.0,364.0,0.59,,,,,,,,,,,,
,,2005 - 2006,,,,630.0,495.0,0.79,,,,,,,,,,,,
,,2006 - 2007,,,,135.0,88.0,0.65,,,,,,,,,,,,
,,2007 - 2008,,,,649.0,513.0,0.79,,,,,,,,,,,,
,,2008 - 2009,,,,514.0,298.0,0.58,,,,,,,,,,,,
,,2009 - 2010,,,,524.0,358.0,0.68,,,,,,,,,,,,
,,2010 - 2011,,,,571.0,505.0,0.88,,,,,,,,,,,,
,,2011 - 2012,30.0,72.0,2.4,624.0,523.0,0.84,,,,,,,,,,,,
,,2012 - 2013,,,,746.0,716.0,0.96,,,,,,,,,,,,
,,2013 - 2014,4.0,14.0,3.5,651.0,739.0,1.14,,,,,,,,,,,,
,,2014 - 2015,6.0,15.0,2.5,501.0,530.0,1.06,,,,,,,,,,,,
,,2015 - 2016,1.0,2.0,2.0,566.0,503.0,0.89,,,,,,,,,,,,
,,2016 - 2017,13.0,36.0,2.77,647.0,545.0,0.84,,,,,,,,,,,,
,,2017 - 2018,53.0,159.0,3.0,345.0,337.0,0.98,,,,,,,,,,,,
,,2018 - 2019,,,,607.0,688.0,1.13,,,,,,,,,,,,
,,2019 - 2020,,,,614.0,787.0,1.28,,,,,,,,,,,,
,,2020 - 2021,43.0,35.0,0.81,638.0,833.0,1.31,,,,,,,,,,,,
,,2021 - 2022,,,,733.0,956.0,1.3,,,,,,,,,,,,
,,2022 - 2023,1.0,3.0,3.0,733.0,895.0,1.22,74.0,213.0,2.88,,,,,,,,,
,Shahjahanpur,2000 - 2001,125.0,203.0,1.62,,,1.85,,,,,,,,,,,,
,,2001 - 2002,126.0,205.0,1.63,,,1.27,,,,,,,,,,,,
,,2002 - 2003,84.0,93.0,1.11,,,1.33,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.43,84.0,115.0,1.37,,,,,,,,,
,,2004 - 2005,,,,,,1.63,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.51,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.89,55.0,73.0,1.33,,,,,,,,,
,,2007 - 2008,4.0,11.0,2.75,,,1.66,128.0,184.0,1.44,,,,,,,,,
,,2008 - 2009,2.0,5.0,2.5,,,1.94,126.0,189.0,1.5,,,,,,,,,
,,2009 - 2010,,,,,,1.9,207.0,301.0,1.45,,,,,,,,,
,,2010 - 2011,,,,,,0.0,15.0,22.0,1.47,,,,,,,,,
,,2011 - 2012,26.0,62.0,2.38,,,1.38,88.0,146.0,1.66,,,,,,,,,
,,2012 - 2013,,,,,,1.89,83.0,153.0,1.84,,,,,,,,,
,,2013 - 2014,,,,,,1.11,272.0,500.0,1.84,,,,,,,,,
,,2014 - 2015,10.0,24.0,2.4,,,1.07,165.0,293.0,1.78,,,,,,,,,
,,2015 - 2016,221.0,486.0,2.2,,,1.1,182.0,337.0,1.85,,,,,,,,,
,,2016 - 2017,146.0,409.0,2.8,,,1.84,277.0,520.0,1.88,,,,,,,,,
,,2017 - 2018,40.0,120.0,3.0,,,2.11,131.0,287.0,2.19,,,,,,,,,
