state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
,,2011 - 2012,140.0,758.0,5.41,,,,,,
,,2012 - 2013,84.0,455.0,5.42,,,,,,
,,2013 - 2014,83.0,540.0,6.51,,,,,,
,,2014 - 2015,76.0,494.0,6.5,,,,,,
,,2015 - 2016,84.0,546.0,6.5,,,,,,
,,2016 - 2017,98.0,637.0,6.5,,,,,,
,,2017 - 2018,60.0,390.0,6.5,,,,,,
,,2018 - 2019,43.0,279.0,6.49,,,,,,
,,2019 - 2020,26.0,169.0,6.5,,,,,,
,,2020 - 2021,9.0,58.0,6.44,,,,,,
,,2021 - 2022,7.0,45.0,6.43,,,,,,
,,2022 - 2023,2.0,13.0,6.5,,,,,,
,Korea,2000 - 2001,100.0,542.0,5.42,,,,,,
,,2001 - 2002,77.0,418.0,5.43,,,,,,
,,2002 - 2003,71.0,436.0,6.14,,,,,,
,,2003 - 2004,75.0,420.0,5.6,,,,,,
,,2004 - 2005,86.0,459.0,5.34,,,,,,
,,2005 - 2006,90.0,455.0,5.06,,,,,,
,,2006 - 2007,80.0,412.0,5.15,,,,,,
,,2007 - 2008,59.0,309.0,5.24,,,,,,
,,2008 - 2009,87.0,472.0,5.43,,,,,,
,,2009 - 2010,103.0,531.0,5.16,,,,,,
,,2010 - 2011,100.0,434.0,4.34,,,,,,
,,2011 - 2012,85.0,423.0,4.98,,,,,,
,,2012 - 2013,101.0,529.0,5.24,,,,,,
,,2013 - 2014,109.0,601.0,5.51,,,,,,
,,2014 - 2015,120.0,629.0,5.24,,,,,,
,,2015 - 2016,113.0,511.0,4.52,,,,,,
,,2016 - 2017,174.0,645.0,3.71,,,,,,
,,2017 - 2018,141.0,777.0,5.51,,,,,,
,,2018 - 2019,121.0,667.0,5.51,,,,,,
,,2019 - 2020,64.0,255.0,3.98,,,,,,
,,2020 - 2021,34.0,166.0,4.88,,,,,,
,,2021 - 2022,30.0,156.0,5.2,,,,,,
,,2022 - 2023,16.0,101.0,6.31,,,,,,
,Mahasamund,2000 - 2001,4.0,21.0,5.25,,,,,,
,,2001 - 2002,4.0,18.0,4.5,,,,,,
,,2002 - 2003,3.0,12.0,4.0,,,,,,
,,2003 - 2004,3.0,12.0,4.0,,,,,,
,,2004 - 2005,2.0,6.0,3.0,,,,,,
,,2005 - 2006,3.0,15.0,5.0,,,,,,
,,2006 - 2007,2.0,11.0,5.5,,,,,,
,,2007 - 2008,2.0,11.0,5.5,,,,,,
,,2008 - 2009,2.0,10.0,5.0,,,,,,
,,2011 - 2012,4.0,20.0,5.0,,,,,,
,,2012 - 2013,3.0,15.0,5.0,,,,,,
,,2013 - 2014,3.0,16.0,5.33,,,,,,
,,2014 - 2015,3.0,,0.0,,,,,,
,,2015 - 2016,8.0,50.0,6.25,,,,,,
,,2017 - 2018,3.0,16.0,5.33,,,,,,
,,2019 - 2020,2.0,15.0,7.5,,,,,,
,,2020 - 2021,3.0,22.0,7.33,,,,,,
,,2021 - 2022,3.0,0.0,0.0,,,,,,
,,2022 - 2023,6.0,44.0,7.33,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,6.0,35.0,5.83,,,,,,
,Mungeli,2011 - 2012,16.0,104.0,6.5,,,,,,
,,2012 - 2013,16.0,104.0,6.5,,,,,,
,,2013 - 2014,14.0,91.0,6.5,,,,,,
,,2014 - 2015,14.0,91.0,6.5,,,,,,
,,2015 - 2016,18.0,117.0,6.5,,,,,,
,,2016 - 2017,15.0,111.0,7.4,,,,,,
,,2017 - 2018,15.0,85.0,5.67,,,,,,
,,2018 - 2019,8.0,61.0,7.63,,,,,,
,,2020 - 2021,1.0,7.0,7.0,,,,,,
,,2021 - 2022,2.0,18.0,9.0,,,,,,
,,2022 - 2023,4.0,27.0,6.75,,,,,,
,Narayanpur,2006 - 2007,18.0,,0.0,,,,,,
,,2007 - 2008,15.0,85.0,5.67,,,,,,
,,2008 - 2009,15.0,89.0,5.93,,,,,,
,,2009 - 2010,17.0,99.0,5.82,,,,,,
,,2010 - 2011,18.0,105.0,5.83,,,,,,
,,2011 - 2012,13.0,62.0,4.77,,,,,,
,,2012 - 2013,12.0,40.0,3.33,,,,,,
,,2013 - 2014,10.0,58.0,5.8,,,,,,
,,2014 - 2015,10.0,58.0,5.8,,,,,,
,,2015 - 2016,9.0,39.0,4.33,,,,,,
,,2016 - 2017,8.0,34.0,4.25,,,,,,
,,2017 - 2018,10.0,52.0,5.2,,,,,,
,,2018 - 2019,12.0,,0.0,,,,,,
,,2019 - 2020,6.0,43.0,7.17,,,,,,
,,2020 - 2021,5.0,20.0,4.0,,,,,,
,,2021 - 2022,4.0,29.0,7.25,,,,,,
,,2022 - 2023,2.0,9.0,4.5,,,,,,
,Raigarh,2000 - 2001,125.0,735.0,5.88,,,,,,
,,2001 - 2002,119.0,665.0,5.59,,,,,,
,,2002 - 2003,110.0,562.0,5.11,,,,,,
,,2003 - 2004,106.0,623.0,5.88,,,,,,
,,2004 - 2005,116.0,604.0,5.21,,,,,,
,,2005 - 2006,93.0,493.0,5.3,,,,,,
,,2006 - 2007,107.0,619.0,5.79,,,,,,
,,2007 - 2008,103.0,596.0,5.79,,,,,,
,,2008 - 2009,96.0,555.0,5.78,,,,,,
,,2009 - 2010,87.0,503.0,5.78,,,,,,
,,2010 - 2011,88.0,509.0,5.78,,,,,,
,,2011 - 2012,102.0,570.0,5.59,,,,,,
,,2012 - 2013,108.0,604.0,5.59,,,,,,
,,2013 - 2014,100.0,597.0,5.97,,,,,,
,,2014 - 2015,80.0,478.0,5.98,,,,,,
,,2015 - 2016,110.0,657.0,5.97,,,,,,
,,2016 - 2017,91.0,527.0,5.79,,,,,,
,,2017 - 2018,87.0,528.0,6.07,,,,,,
,,2018 - 2019,90.0,503.0,5.59,,,,,,
,,2019 - 2020,73.0,387.0,5.3,,,,,,
,,2020 - 2021,56.0,292.0,5.21,,,,,,
,,2021 - 2022,35.0,189.0,5.4,,,,,,
,,2022 - 2023,33.0,178.0,5.39,,,,,,
,Raipur,2000 - 2001,128.0,682.0,5.33,,,,,,
,,2001 - 2002,121.0,644.0,5.32,,,,,,
,,2002 - 2003,122.0,639.0,5.24,,,,,,
,,2003 - 2004,150.0,772.0,5.15,,,,,,
,,2004 - 2005,233.0,,5.15,,,,,,
,,2005 - 2006,142.0,731.0,5.15,,,,,,
,,2006 - 2007,126.0,671.0,5.33,,,,,,
,,2007 - 2008,135.0,719.0,5.33,,,,,,
,,2008 - 2009,94.0,459.0,4.88,,,,,,
,,2009 - 2010,95.0,422.0,4.44,,,,,,
,,2010 - 2011,119.0,634.0,5.33,,,,,,
,,2011 - 2012,9.0,44.0,4.89,,,,,,
,,2012 - 2013,7.0,34.0,4.86,,,,,,
,,2013 - 2014,6.0,35.0,5.83,,,,,,
,,2014 - 2015,6.0,36.0,6.0,,,,,,
,,2015 - 2016,7.0,44.0,6.29,,,,,,
,,2016 - 2017,5.0,29.0,5.8,,,,,,
,,2017 - 2018,2.0,12.0,6.0,,,,,,
,,2018 - 2019,2.0,12.0,6.0,,,,,,
,,2020 - 2021,2.0,11.0,5.5,,,,,,
,,2021 - 2022,2.0,10.0,5.0,,,,,,
,,2022 - 2023,5.0,25.0,5.0,,,,,,
,Rajnandgaon,2000 - 2001,63.0,406.0,6.44,,,,,,
,,2001 - 2002,59.0,374.0,6.34,,,,,,
,,2002 - 2003,58.0,316.0,5.45,,,,,,
,,2003 - 2004,46.0,310.0,6.74,,,,,,
,,2004 - 2005,55.0,332.0,6.04,,,,,,
,,2005 - 2006,61.0,322.0,5.28,,,,,,
,,2006 - 2007,51.0,289.0,5.67,,,,,,
,,2007 - 2008,52.0,356.0,6.85,,,,,,
,,2008 - 2009,44.0,236.0,5.36,,,,,,
,,2009 - 2010,39.0,221.0,5.67,,,,,,
,,2010 - 2011,40.0,23.0,0.58,,,,,,
,,2011 - 2012,35.0,188.0,5.37,,,,,,
,,2012 - 2013,30.0,167.0,5.57,,,,,,
,,2013 - 2014,38.0,241.0,6.34,,,,,,
,,2014 - 2015,29.0,170.0,5.86,,,,,,
,,2015 - 2016,15.0,110.0,7.33,,,,,,
,,2016 - 2017,30.0,205.0,6.83,,,,,,
,,2017 - 2018,23.0,157.0,6.83,,,,,,
,,2018 - 2019,21.0,137.0,6.52,,,,,,
,,2019 - 2020,13.0,99.0,7.62,,,,,,
,,2020 - 2021,11.0,78.0,7.09,,,,,,
,,2021 - 2022,8.0,52.0,6.5,,,,,,
,,2022 - 2023,2.0,13.0,6.5,,,,,,
,Sakti,2022 - 2023,3.0,27.0,9.0,,,,,,
,Sukma,2011 - 2012,68.0,237.0,3.49,,,,,,
,,2012 - 2013,31.0,162.0,5.23,,,,,,
,,2013 - 2014,29.0,151.0,5.21,,,,,,
,,2014 - 2015,45.0,208.0,4.62,,,,,,
,,2015 - 2016,40.0,205.0,5.13,,,,,,
,,2016 - 2017,46.0,228.0,4.96,,,,,,
,,2017 - 2018,46.0,184.0,4.0,,,,,,
,,2018 - 2019,52.0,285.0,5.48,,,,,,
,,2019 - 2020,24.0,125.0,5.21,,,,,,
,,2020 - 2021,17.0,122.0,7.18,,,,,,
,,2021 - 2022,14.0,78.0,5.57,,,,,,
,,2022 - 2023,14.0,74.0,5.29,,,,,,
,Surajpur,2011 - 2012,384.0,,4.52,,,,,,
,,2012 - 2013,320.0,,5.42,,,,,,
,,2013 - 2014,333.0,,4.7,,,,,,
,,2014 - 2015,394.0,,5.42,,,,,,
,,2015 - 2016,433.0,,5.42,,,,,,
,,2016 - 2017,424.0,,5.42,,,,,,
,,2017 - 2018,419.0,,6.32,,,,,,
,,2018 - 2019,464.0,,6.33,,,,,,
,,2019 - 2020,338.0,,6.35,,,,,,
,,2020 - 2021,198.0,,6.53,,,,,,
,,2021 - 2022,166.0,902.0,5.43,,,,,,
,,2022 - 2023,151.0,822.0,5.44,,,,,,
,Surguja,2000 - 2001,896.0,,5.87,,,,,,
,,2001 - 2002,489.0,,5.51,,,,,,
,,2002 - 2003,801.0,,6.14,,,,,,
,,2003 - 2004,869.0,,5.6,,,,,,
,,2004 - 2005,901.0,,5.06,,,,,,
,,2005 - 2006,940.0,,5.78,,,,,,
,,2006 - 2007,972.0,,5.96,,,,,,
,,2007 - 2008,,,5.87,,,,,,
,,2008 - 2009,,,4.52,,,,,,
,,2009 - 2010,,,5.15,,,,,,
,,2010 - 2011,,,4.34,,,,,,
,,2011 - 2012,334.0,,4.52,,,,,,
,,2012 - 2013,285.0,,6.33,,,,,,
,,2013 - 2014,295.0,,5.51,,,,,,
,,2014 - 2015,252.0,,5.69,,,,,,
,,2015 - 2016,300.0,,4.97,,,,,,
,,2016 - 2017,267.0,,5.06,,,,,,
,,2017 - 2018,235.0,,5.78,,,,,,
,,2018 - 2019,258.0,,5.78,,,,,,
,,2019 - 2020,195.0,,5.9,,,,,,
,,2020 - 2021,154.0,894.0,5.81,,,,,,
,,2021 - 2022,134.0,778.0,5.81,,,,,,
,,2022 - 2023,143.0,804.0,5.62,,,,,,
Goa,North goa,2016 - 2017,38.0,118.0,3.11,,,,,,
,,2017 - 2018,40.0,70.0,1.75,,,,,,
,,2018 - 2019,40.0,76.0,1.9,,,,,,
,,2019 - 2020,46.0,111.0,2.41,,,,,,
,,2020 - 2021,48.0,114.0,2.38,,,,,,
,,2021 - 2022,49.0,117.0,2.39,,,,,,
,,2022 - 2023,49.0,162.0,3.31,,,,,,
,South goa,2016 - 2017,14.0,46.0,3.29,,,,,,
,,2017 - 2018,15.0,46.0,3.07,,,,,,
,,2018 - 2019,15.0,40.0,2.67,,,,,,
,,2019 - 2020,20.0,53.0,2.65,,,,,,
,,2020 - 2021,30.0,109.0,3.63,,,,,,
,,2021 - 2022,31.0,114.0,3.68,,,,,,
,,2022 - 2023,32.0,92.0,2.88,,,,,,
Haryana,Ambala,2001 - 2002,2.0,0.0,0.0,,,,,,
,Faridabad,2000 - 2001,9.0,100.0,11.11,,,,,,
,,2001 - 2002,19.0,0.0,0.0,,,,,,
,,2002 - 2003,2.0,0.0,0.0,,,,,,
,,2005 - 2006,11.0,200.0,18.18,,,,,,
,,2010 - 2011,4.0,,0.0,,,,,,
,Gurgaon,2001 - 2002,12.0,0.0,0.0,,,,,,
,,2002 - 2003,12.0,200.0,16.67,,,,,,
,,2003 - 2004,15.0,200.0,13.33,,,,,,
,,2004 - 2005,32.0,700.0,21.88,,,,,,
,,2005 - 2006,7.0,100.0,14.29,,,,,,
,,2006 - 2007,7.0,200.0,28.57,,,,,,
,,2007 - 2008,50.0,,20.0,,,,,,
,,2008 - 2009,61.0,,19.67,,,,,,
,,2009 - 2010,39.0,800.0,20.51,,,,,,
,,2010 - 2011,37.0,,0.0,,,,,,
,,2011 - 2012,18.0,,0.0,,,,,,
,,2012 - 2013,9.0,200.0,22.22,,,,,,
,Hisar,2012 - 2013,8.0,100.0,12.5,,,,,,
,Jhajjar,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,
,,2021 - 2022,11.0,33.0,3.0,,,,,,
,Kaithal,2012 - 2013,6.0,100.0,16.67,,,,,,
,Karnal,2000 - 2001,14.0,300.0,21.43,,,,,,
,,2001 - 2002,7.0,0.0,0.0,,,,,,
,,2002 - 2003,4.0,100.0,25.0,,,,,,
,,2003 - 2004,23.0,500.0,21.74,,,,,,
,,2004 - 2005,3.0,,0.0,,,,,,
,,2005 - 2006,7.0,100.0,14.29,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,
,,2008 - 2009,14.0,200.0,14.29,,,,,,
,,2010 - 2011,8.0,,0.0,,,,,,
,,2011 - 2012,12.0,,0.0,,,,,,
,,2012 - 2013,8.0,100.0,12.5,,,,,,
,Kurukshetra,2012 - 2013,144.0,,11.81,,,,,,
,Mahendragarh,2009 - 2010,5.0,100.0,20.0,,,,,,
,Mewat,2005 - 2006,1.0,,0.0,,,,,,
,,2021 - 2022,3.0,0.0,0.0,,,,,,
,Palwal,2011 - 2012,1.0,,0.0,,,,,,
,Panipat,2000 - 2001,35.0,700.0,20.0,,,,,,
,,2001 - 2002,29.0,0.0,0.0,,,,,,
,,2002 - 2003,18.0,400.0,22.22,,,,,,
,,2003 - 2004,17.0,400.0,23.53,,,,,,
,,2004 - 2005,16.0,300.0,18.75,,,,,,
,,2005 - 2006,12.0,300.0,25.0,,,,,,
,,2006 - 2007,9.0,200.0,22.22,,,,,,
,,2007 - 2008,9.0,100.0,11.11,,,,,,
,,2008 - 2009,7.0,100.0,14.29,,,,,,
,,2009 - 2010,14.0,200.0,14.29,,,,,,
,,2010 - 2011,12.0,,0.0,,,,,,
,,2011 - 2012,5.0,,0.0,,,,,,
,,2012 - 2013,4.0,100.0,25.0,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,
,Rewari,2000 - 2001,9.0,200.0,22.22,,,,,,
,,2001 - 2002,2.0,0.0,0.0,,,,,,
,,2002 - 2003,1.0,0.0,0.0,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,
,,2004 - 2005,3.0,100.0,33.33,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
,Sonipat,2000 - 2001,53.0,,22.64,,,,,,
,,2001 - 2002,18.0,0.0,0.0,,,,,,
,,2002 - 2003,10.0,200.0,20.0,,,,,,
,,2003 - 2004,21.0,500.0,23.81,,,,,,
,,2004 - 2005,21.0,400.0,19.05,,,,,,
,,2005 - 2006,89.0,,19.1,,,,,,
,,2007 - 2008,5.0,100.0,20.0,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,
,,2010 - 2011,3.0,,0.0,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,
Himachal Pradesh,Bilaspur,2001 - 2002,67.0,,0.0,,,,,,
,Kangra,2001 - 2002,35.0,,0.0,,,,,,
Karnataka,Bagalkot,2000 - 2001,51.0,162.0,3.18,,,,,,
,,2002 - 2003,20.0,63.0,3.15,,,,,,
,,2003 - 2004,42.0,133.0,3.17,,,,,,
,,2004 - 2005,57.0,181.0,3.18,,,,,,
,,2005 - 2006,50.0,158.0,3.16,,,,,,
,,2006 - 2007,46.0,146.0,3.17,,,,,,
,,2007 - 2008,28.0,89.0,3.18,,,,,,
,,2008 - 2009,20.0,202.0,10.1,,,,,,
,,2009 - 2010,15.0,99.0,6.6,,,,,,
,,2010 - 2011,13.0,107.0,8.23,,,,,,
,,2011 - 2012,31.0,452.0,14.58,,,,,,
,,2012 - 2013,12.0,186.0,15.5,,,,,,
,,2017 - 2018,1.0,13.0,13.0,,,,,,
,,2018 - 2019,8.0,116.0,14.5,,,,,,
,,2019 - 2020,10.0,193.0,19.3,,,,,,
,,2020 - 2021,1.0,20.0,20.0,,,,,,
,,2021 - 2022,6.0,106.0,17.67,,,,,,
,Bangalore rural,2000 - 2001,47.0,298.0,6.34,,,,,,
,,2002 - 2003,16.0,101.0,6.31,,,,,,
,,2003 - 2004,14.0,89.0,6.36,,,,,,
,,2004 - 2005,20.0,127.0,6.35,,,,,,
,,2005 - 2006,22.0,139.0,6.32,,,,,,
,,2006 - 2007,18.0,114.0,6.33,,,,,,
,,2007 - 2008,5.0,32.0,6.4,,,,,,
,,2008 - 2009,9.0,91.0,10.11,,,,,,
,,2009 - 2010,8.0,53.0,6.63,,,,,,
,,2010 - 2011,5.0,41.0,8.2,,,,,,
,,2011 - 2012,10.0,146.0,14.6,,,,,,
,,2012 - 2013,13.0,202.0,15.54,,,,,,
,,2013 - 2014,18.0,264.0,14.67,,,,,,
,,2014 - 2015,19.0,322.0,16.95,,,,,,
,,2015 - 2016,16.0,254.0,15.88,,,,,,
,,2016 - 2017,7.0,84.0,12.0,,,,,,
,,2017 - 2018,3.0,39.0,13.0,,,,,,
,,2018 - 2019,23.0,334.0,14.52,,,,,,
,,2019 - 2020,35.0,675.0,19.29,,,,,,
,,2020 - 2021,11.0,219.0,19.91,,,,,,
,,2021 - 2022,1.0,18.0,18.0,,,,,,
,,2022 - 2023,10.0,211.0,21.1,,,,,,
,Belgaum,2000 - 2001,,,9.48,,,,,,
,,2002 - 2003,,,9.48,,,,,,
,,2003 - 2004,,,9.48,,,,,,
,,2004 - 2005,,,9.48,,,,,,
,,2005 - 2006,,,9.48,,,,,,
,,2006 - 2007,,,9.48,,,,,,
,,2007 - 2008,,,9.48,,,,,,
,,2008 - 2009,,,10.21,,,,,,
,,2009 - 2010,,,6.27,,,,,,
,,2010 - 2011,,,8.24,,,,,,
,,2011 - 2012,,,16.33,,,,,,
,,2012 - 2013,,,16.34,,,,,,
,,2013 - 2014,,,15.75,,,,,,
,,2014 - 2015,,,18.21,,,,,,
,,2015 - 2016,,,18.45,,,,,,
,,2016 - 2017,,,12.93,,,,,,
,,2017 - 2018,,,14.65,,,,,,
,,2018 - 2019,,,14.6,,,,,,
,,2019 - 2020,,,20.52,,,,,,
,,2020 - 2021,,,20.59,,,,,,
,,2021 - 2022,,,18.69,,,,,,
,,2022 - 2023,,,10.29,,,,,,
,Bellary,2018 - 2019,2.0,29.0,14.5,,,,,,
,,2019 - 2020,1.0,19.0,19.0,,,,,,
,Bengaluru urban,2003 - 2004,29.0,184.0,6.34,,,,,,
,,2004 - 2005,13.0,82.0,6.31,,,,,,
,,2015 - 2016,6.0,95.0,15.83,,,,,,
,,2018 - 2019,3.0,44.0,14.67,,,,,,
,,2019 - 2020,22.0,424.0,19.27,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2021 - 2022,2.0,35.0,17.5,,,,,,
,Bidar,2002 - 2003,2.0,15.0,7.5,,,,,,
,,2003 - 2004,1.0,8.0,8.0,,,,,,
,,2018 - 2019,1.0,15.0,15.0,,,,,,
,,2019 - 2020,7.0,135.0,19.29,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2021 - 2022,2.0,35.0,17.5,,,,,,
,Bijapur,2000 - 2001,275.0,871.0,3.17,,,,,,
,,2002 - 2003,8.0,25.0,3.13,,,,,,
,,2003 - 2004,3.0,10.0,3.33,,,,,,
,,2004 - 2005,5.0,16.0,3.2,,,,,,
,,2005 - 2006,5.0,16.0,3.2,,,,,,
,,2006 - 2007,7.0,22.0,3.14,,,,,,
,,2007 - 2008,19.0,60.0,3.16,,,,,,
,,2008 - 2009,4.0,40.0,10.0,,,,,,
,,2009 - 2010,5.0,33.0,6.6,,,,,,
,,2010 - 2011,7.0,58.0,8.29,,,,,,
,,2016 - 2017,4.0,48.0,12.0,,,,,,
,,2017 - 2018,61.0,792.0,12.98,,,,,,
,,2018 - 2019,11.0,160.0,14.55,,,,,,
,,2019 - 2020,2.0,39.0,19.5,,,,,,
,,2020 - 2021,3.0,60.0,20.0,,,,,,
,,2021 - 2022,4.0,71.0,17.75,,,,,,
,,2022 - 2023,1.0,12.0,12.0,,,,,,
,Chamarajanagar,2018 - 2019,23.0,334.0,14.52,,,,,,
,,2019 - 2020,8.0,154.0,19.25,,,,,,
,,2020 - 2021,6.0,120.0,20.0,,,,,,
,Chikballapur,2010 - 2011,1.0,8.0,8.0,,,,,,
,,2011 - 2012,10.0,146.0,14.6,,,,,,
,,2012 - 2013,10.0,155.0,15.5,,,,,,
,,2013 - 2014,6.0,88.0,14.67,,,,,,
,,2014 - 2015,9.0,153.0,17.0,,,,,,
,,2015 - 2016,10.0,159.0,15.9,,,,,,
,,2016 - 2017,12.0,144.0,12.0,,,,,,
,,2017 - 2018,14.0,182.0,13.0,,,,,,
,,2018 - 2019,3.0,44.0,14.67,,,,,,
,,2019 - 2020,1.0,19.0,19.0,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2021 - 2022,4.0,71.0,17.75,,,,,,
,,2022 - 2023,7.0,86.0,12.29,,,,,,
,Chikmagalur,2000 - 2001,35.0,229.0,6.54,,,,,,
,,2002 - 2003,76.0,499.0,6.57,,,,,,
,,2003 - 2004,109.0,715.0,6.56,,,,,,
,,2004 - 2005,177.0,,6.56,,,,,,
,,2005 - 2006,173.0,,6.57,,,,,,
,,2006 - 2007,28.0,184.0,6.57,,,,,,
,,2007 - 2008,31.0,203.0,6.55,,,,,,
,,2008 - 2009,28.0,283.0,10.11,,,,,,
,,2009 - 2010,39.0,256.0,6.56,,,,,,
,,2010 - 2011,42.0,346.0,8.24,,,,,,
,,2011 - 2012,36.0,525.0,14.58,,,,,,
,,2012 - 2013,128.0,,15.51,,,,,,
,,2013 - 2014,128.0,,10.15,,,,,,
,,2014 - 2015,141.0,,9.15,,,,,,
,,2015 - 2016,131.0,,9.63,,,,,,
,,2016 - 2017,84.0,713.0,8.49,,,,,,
,,2017 - 2018,70.0,551.0,7.87,,,,,,
,,2018 - 2019,17.0,163.0,9.59,,,,,,
,,2019 - 2020,89.0,,19.29,,,,,,
,,2020 - 2021,4.0,80.0,20.0,,,,,,
,,2021 - 2022,3.0,53.0,17.67,,,,,,
,,2022 - 2023,1.0,13.0,13.0,,,,,,
,Chitradurga,2018 - 2019,23.0,334.0,14.52,,,,,,
,,2019 - 2020,2.0,39.0,19.5,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2021 - 2022,5.0,89.0,17.8,,,,,,
,,2022 - 2023,2.0,22.0,11.0,,,,,,
,Dakshin kannad,2000 - 2001,608.0,,6.19,,,,,,
,,2002 - 2003,592.0,,6.19,,,,,,
,,2003 - 2004,577.0,,6.19,,,,,,
,,2004 - 2005,537.0,,6.19,,,,,,
,,2005 - 2006,426.0,,6.19,,,,,,
,,2006 - 2007,340.0,,6.19,,,,,,
,,2007 - 2008,203.0,,6.19,,,,,,
,,2008 - 2009,211.0,,7.75,,,,,,
,,2009 - 2010,211.0,,6.57,,,,,,
,,2010 - 2011,202.0,,8.24,,,,,,
,,2011 - 2012,192.0,,14.57,,,,,,
,,2012 - 2013,187.0,,15.51,,,,,,
,,2013 - 2014,180.0,,14.68,,,,,,
,,2014 - 2015,288.0,,16.96,,,,,,
,,2015 - 2016,319.0,,3.73,,,,,,
,,2016 - 2017,276.0,,5.13,,,,,,
,,2017 - 2018,311.0,,3.94,,,,,,
,,2018 - 2019,29.0,312.0,10.76,,,,,,
,,2019 - 2020,1.0,19.0,19.0,,,,,,
,,2020 - 2021,1.0,20.0,20.0,,,,,,
,Davangere,2002 - 2003,16.0,127.0,7.94,,,,,,
,,2012 - 2013,2.0,31.0,15.5,,,,,,
,,2018 - 2019,1.0,15.0,15.0,,,,,,
,Dharwad,2013 - 2014,2.0,29.0,14.5,,,,,,
,,2017 - 2018,5.0,65.0,13.0,,,,,,
,,2019 - 2020,4.0,77.0,19.25,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2022 - 2023,3.0,37.0,12.33,,,,,,
,Gadag,2000 - 2001,1.0,7.0,7.0,,,,,,
,,2006 - 2007,3.0,25.0,8.33,,,,,,
,,2007 - 2008,2.0,17.0,8.5,,,,,,
,,2019 - 2020,2.0,39.0,19.5,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2021 - 2022,3.0,53.0,17.67,,,,,,
,,2022 - 2023,4.0,47.0,11.75,,,,,,
,Gulbarga,2000 - 2001,31.0,205.0,6.61,,,,,,
,,2002 - 2003,22.0,146.0,6.64,,,,,,
,,2003 - 2004,22.0,146.0,6.64,,,,,,
,,2004 - 2005,31.0,206.0,6.65,,,,,,
,,2005 - 2006,19.0,126.0,6.63,,,,,,
,,2006 - 2007,6.0,40.0,6.67,,,,,,
,,2007 - 2008,2.0,13.0,6.5,,,,,,
,,2008 - 2009,14.0,142.0,10.14,,,,,,
,,2009 - 2010,10.0,66.0,6.6,,,,,,
,,2012 - 2013,5.0,78.0,15.6,,,,,,
,,2018 - 2019,10.0,145.0,14.5,,,,,,
,,2019 - 2020,5.0,96.0,19.2,,,,,,
,,2020 - 2021,2.0,40.0,20.0,,,,,,
,,2022 - 2023,2.0,25.0,12.5,,,,,,
,Hassan,2000 - 2001,240.0,,6.1,,,,,,
,,2002 - 2003,209.0,,6.09,,,,,,
,,2003 - 2004,199.0,,6.1,,,,,,
,,2004 - 2005,68.0,414.0,6.09,,,,,,
,,2005 - 2006,58.0,353.0,6.09,,,,,,
,,2006 - 2007,63.0,384.0,6.1,,,,,,
,,2007 - 2008,67.0,408.0,6.09,,,,,,
,,2008 - 2009,60.0,607.0,10.12,,,,,,
,,2009 - 2010,77.0,506.0,6.57,,,,,,
,,2010 - 2011,95.0,783.0,8.24,,,,,,
,,2011 - 2012,13.0,189.0,14.54,,,,,,
,,2012 - 2013,25.0,388.0,15.52,,,,,,
,,2013 - 2014,46.0,675.0,14.67,,,,,,
,,2014 - 2015,51.0,865.0,16.96,,,,,,
,,2015 - 2016,87.0,,15.9,,,,,,
,,2016 - 2017,91.0,,11.99,,,,,,
,,2017 - 2018,101.0,,12.98,,,,,,
,,2018 - 2019,153.0,,13.48,,,,,,
,,2019 - 2020,378.0,,12.92,,,,,,
,,2020 - 2021,157.0,,13.33,,,,,,
,,2021 - 2022,347.0,,16.65,,,,,,
,,2022 - 2023,607.0,,11.69,,,,,,
,Haveri,2013 - 2014,15.0,220.0,14.67,,,,,,
,,2014 - 2015,1.0,17.0,17.0,,,,,,
,,2015 - 2016,5.0,80.0,16.0,,,,,,
,,2017 - 2018,8.0,104.0,13.0,,,,,,
,,2018 - 2019,4.0,58.0,14.5,,,,,,
,,2019 - 2020,6.0,116.0,19.33,,,,,,
,,2021 - 2022,4.0,71.0,17.75,,,,,,
