state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,,2011 - 2012,,,19.41,,,,,,,,,
,,2012 - 2013,,,16.11,,,,,,,,,
,,2013 - 2014,,,19.49,,,,,,,,,
,,2014 - 2015,,,19.49,,,,,,,,,
,,2015 - 2016,,,21.67,,,,,,,,,
,,2016 - 2017,,,21.79,,,,,,,,,
,,2017 - 2018,,,21.79,,,,,,,,,
,,2018 - 2019,,,22.06,,,,,,,,,
,,2019 - 2020,,,14.92,,,,,,,,,
,,2020 - 2021,,,16.32,,,,,,,,,
,,2021 - 2022,,,18.46,,,,,,,,,
,,2022 - 2023,,,18.56,,,,,,,,,
,Golaghat,2000 - 2001,,,13.86,,,,,,,,,
,,2001 - 2002,,,13.86,,,,,,,,,
,,2002 - 2003,,,13.86,,,,,,,,,
,,2003 - 2004,,,13.86,,,,,,,,,
,,2005 - 2006,,,13.85,,,,,,,,,
,,2006 - 2007,,,13.85,,,,,,,,,
,,2007 - 2008,,,13.86,,,,,,,,,
,,2008 - 2009,,,13.85,,,,,,,,,
,,2009 - 2010,,,13.86,,,,,,,,,
,,2010 - 2011,,,13.86,,,,,,,,,
,,2011 - 2012,,,13.22,,,,,,,,,
,,2012 - 2013,,,18.86,,,,,,,,,
,,2013 - 2014,,,23.04,,,,,,,,,
,,2014 - 2015,,,23.04,,,,,,,,,
,,2015 - 2016,,,19.52,,,,,,,,,
,,2016 - 2017,,,19.7,,,,,,,,,
,,2017 - 2018,,,19.76,,,,,,,,,
,,2018 - 2019,,,20.1,,,,,,,,,
,,2019 - 2020,,,20.15,,,,,,,,,
,,2020 - 2021,,,22.15,,,,,,,,,
,,2021 - 2022,,,22.72,,,,,,,,,
,,2022 - 2023,,,24.76,,,,,,,,,
,Hailakandi,2000 - 2001,,,12.41,,,,,,,,,
,,2001 - 2002,,,12.41,,,,,,,,,
,,2002 - 2003,,,12.41,,,,,,,,,
,,2003 - 2004,,,12.42,,,,,,,,,
,,2005 - 2006,,,12.41,,,,,,,,,
,,2006 - 2007,,,12.41,,,,,,,,,
,,2007 - 2008,,,12.41,,,,,,,,,
,,2008 - 2009,,,12.6,,,,,,,,,
,,2009 - 2010,,,12.47,,,,,,,,,
,,2010 - 2011,,,12.5,,,,,,,,,
,,2011 - 2012,,,19.85,,,,,,,,,
,,2012 - 2013,,,11.42,,,,,,,,,
,,2013 - 2014,,,11.42,,,,,,,,,
,,2014 - 2015,,,11.42,,,,,,,,,
,,2015 - 2016,,,11.44,,,,,,,,,
,,2016 - 2017,,,11.87,,,,,,,,,
,,2017 - 2018,,,11.87,,,,,,,,,
,,2018 - 2019,,,13.22,,,,,,,,,
,,2019 - 2020,,,13.4,,,,,,,,,
,,2020 - 2021,,,13.2,,,,,,,,,
,,2021 - 2022,,,14.47,,,,,,,,,
,,2022 - 2023,,,14.48,,,,,,,,,
,Hojai,2020 - 2021,285.0,,22.05,,,,,,,,,
,,2021 - 2022,281.0,,21.5,,,,,,,,,
,,2022 - 2023,281.0,,12.63,,,,,,,,,
,Jorhat,2000 - 2001,,,13.46,,,,,,,,,
,,2001 - 2002,,,13.46,,,,,,,,,
,,2002 - 2003,,,13.46,,,,,,,,,
,,2003 - 2004,,,13.46,,,,,,,,,
,,2005 - 2006,,,13.46,,,,,,,,,
,,2006 - 2007,,,13.46,,,,,,,,,
,,2007 - 2008,,,13.46,,,,,,,,,
,,2008 - 2009,,,14.29,,,,,,,,,
,,2009 - 2010,,,13.73,,,,,,,,,
,,2010 - 2011,,,13.81,,,,,,,,,
,,2011 - 2012,,,14.5,,,,,,,,,
,,2012 - 2013,,,15.49,,,,,,,,,
,,2013 - 2014,,,15.49,,,,,,,,,
,,2014 - 2015,,,15.49,,,,,,,,,
,,2015 - 2016,,,15.58,,,,,,,,,
,,2016 - 2017,,,15.85,,,,,,,,,
,,2017 - 2018,,,15.88,,,,,,,,,
,,2018 - 2019,,,16.53,,,,,,,,,
,,2019 - 2020,,,16.62,,,,,,,,,
,,2020 - 2021,,,19.26,,,,,,,,,
,,2021 - 2022,,,19.45,,,,,,,,,
,,2022 - 2023,,,19.45,,,,,,,,,
,Kamrup,2000 - 2001,,,12.92,,,,,,,,,
,,2001 - 2002,,,12.92,,,,,,,,,
,,2002 - 2003,,,12.92,,,,,,,,,
,,2003 - 2004,,,12.92,,,,,,,,,
,,2005 - 2006,,,12.91,,,,,,,,,
,,2006 - 2007,,,12.92,,,,,,,,,
,,2007 - 2008,,,12.92,,,,,,,,,
,,2008 - 2009,,,13.45,,,,,,,,,
,,2009 - 2010,,,13.08,,,,,,,,,
,,2010 - 2011,,,13.16,,,,,,,,,
,,2011 - 2012,,,14.43,,,,,,,,,
,,2012 - 2013,,,14.54,,,,,,,,,
,,2013 - 2014,,,14.54,,,,,,,,,
,,2014 - 2015,,,14.54,,,,,,,,,
,,2015 - 2016,,,14.54,,,,,,,,,
,,2016 - 2017,,,14.75,,,,,,,,,
,,2017 - 2018,,,14.76,,,,,,,,,
,,2018 - 2019,,,15.45,,,,,,,,,
,,2019 - 2020,,,21.04,,,,,,,,,
,,2020 - 2021,,,13.84,,,,,,,,,
,,2021 - 2022,,,14.45,,,,,,,,,
,,2022 - 2023,,,14.47,,,,,,,,,
,Kamrup metro,2005 - 2006,380.0,,12.91,,,,,,,,,
,,2006 - 2007,500.0,,12.92,,,,,,,,,
,,2007 - 2008,420.0,,12.92,,,,,,,,,
,,2008 - 2009,455.0,,13.92,,,,,,,,,
,,2009 - 2010,500.0,,13.26,,,,,,,,,
,,2010 - 2011,563.0,,13.37,,,,,,,,,
,,2011 - 2012,551.0,,14.36,,,,,,,,,
,,2012 - 2013,558.0,,15.63,,,,,,,,,
,,2013 - 2014,610.0,,15.63,,,,,,,,,
,,2014 - 2015,715.0,,15.63,,,,,,,,,
,,2015 - 2016,727.0,,15.64,,,,,,,,,
,,2016 - 2017,643.0,,16.48,,,,,,,,,
,,2017 - 2018,640.0,,16.49,,,,,,,,,
,,2018 - 2019,624.0,,15.5,,,,,,,,,
,,2019 - 2020,621.0,,18.73,,,,,,,,,
,,2020 - 2021,619.0,,18.25,,,,,,,,,
,,2021 - 2022,689.0,,19.27,,,,,,,,,
,,2022 - 2023,593.0,,19.28,,,,,,,,,
,Karbi anglong,2000 - 2001,,,13.42,,,,,,,,,
,,2001 - 2002,,,13.43,,,,,,,,,
,,2002 - 2003,,,13.91,,,,,,,,,
,,2003 - 2004,,,13.98,,,,,,,,,
,,2005 - 2006,,,13.92,,,,,,,,,
,,2006 - 2007,,,14.2,,,,,,,,,
,,2007 - 2008,,,14.0,,,,,,,,,
,,2008 - 2009,,,14.04,,,,,,,,,
,,2009 - 2010,,,14.11,,,,,,,,,
,,2010 - 2011,,,14.09,,,,,,,,,
,,2011 - 2012,,,15.72,,,,,,,,,
,,2012 - 2013,,,16.31,,,,,,,,,
,,2013 - 2014,,,16.31,,,,,,,,,
,,2014 - 2015,,,16.31,,,,,,,,,
,,2015 - 2016,,,18.54,,,,,,,,,
,,2016 - 2017,,,18.83,,,,,,,,,
,,2017 - 2018,,,17.5,,,,,,,,,
,,2018 - 2019,,,18.2,,,,,,,,,
,,2019 - 2020,,,20.03,,,,,,,,,
,,2020 - 2021,,,19.75,,,,,,,,,
,,2021 - 2022,,,19.92,,,,,,,,,
,,2022 - 2023,,,19.97,,,,,,,,,
,Karimganj,2000 - 2001,950.0,,12.68,,,,,,,,,
,,2001 - 2002,950.0,,12.68,,,,,,,,,
,,2002 - 2003,952.0,,12.68,,,,,,,,,
,,2003 - 2004,965.0,,12.68,,,,,,,,,
,,2005 - 2006,970.0,,12.68,,,,,,,,,
,,2006 - 2007,,,12.68,,,,,,,,,
,,2007 - 2008,,,12.68,,,,,,,,,
,,2008 - 2009,,,12.8,,,,,,,,,
,,2009 - 2010,,,12.72,,,,,,,,,
,,2010 - 2011,,,12.74,,,,,,,,,
,,2011 - 2012,,,12.96,,,,,,,,,
,,2012 - 2013,,,13.63,,,,,,,,,
,,2013 - 2014,,,13.63,,,,,,,,,
,,2014 - 2015,,,13.64,,,,,,,,,
,,2015 - 2016,,,13.73,,,,,,,,,
,,2016 - 2017,,,14.2,,,,,,,,,
,,2017 - 2018,,,14.21,,,,,,,,,
,,2018 - 2019,,,15.52,,,,,,,,,
,,2019 - 2020,,,15.69,,,,,,,,,
,,2020 - 2021,,,15.46,,,,,,,,,
,,2021 - 2022,,,16.38,,,,,,,,,
,,2022 - 2023,,,16.48,,,,,,,,,
,Kokrajhar,2000 - 2001,935.0,,16.44,,,,,,,,,
,,2001 - 2002,,,16.49,,,,,,,,,
,,2002 - 2003,945.0,,16.41,,,,,,,,,
,,2003 - 2004,848.0,,16.14,,,,,,,,,
,,2005 - 2006,846.0,,17.07,,,,,,,,,
,,2006 - 2007,,,16.17,,,,,,,,,
,,2007 - 2008,,,15.87,,,,,,,,,
,,2008 - 2009,,,14.81,,,,,,,,,
,,2009 - 2010,,,15.45,,,,,,,,,
,,2010 - 2011,,,14.96,,,,,,,,,
,,2011 - 2012,,,16.98,,,,,,,,,
,,2012 - 2013,,,17.98,,,,,,,,,
,,2013 - 2014,,,17.98,,,,,,,,,
,,2014 - 2015,,,17.98,,,,,,,,,
,,2015 - 2016,,,17.79,,,,,,,,,
,,2016 - 2017,,,18.18,,,,,,,,,
,,2017 - 2018,,,18.19,,,,,,,,,
,,2018 - 2019,,,19.13,,,,,,,,,
,,2019 - 2020,,,18.13,,,,,,,,,
,,2020 - 2021,,,17.88,,,,,,,,,
,,2021 - 2022,,,18.38,,,,,,,,,
,,2022 - 2023,,,18.39,,,,,,,,,
,Lakhimpur,2000 - 2001,,,13.0,,,,,,,,,
,,2001 - 2002,,,13.0,,,,,,,,,
,,2002 - 2003,,,13.0,,,,,,,,,
,,2003 - 2004,,,13.0,,,,,,,,,
,,2005 - 2006,,,13.0,,,,,,,,,
,,2006 - 2007,,,13.0,,,,,,,,,
,,2007 - 2008,,,13.0,,,,,,,,,
,,2008 - 2009,,,13.8,,,,,,,,,
,,2009 - 2010,,,13.27,,,,,,,,,
,,2010 - 2011,,,13.35,,,,,,,,,
,,2011 - 2012,,,14.44,,,,,,,,,
,,2012 - 2013,,,16.45,,,,,,,,,
,,2013 - 2014,,,16.44,,,,,,,,,
,,2014 - 2015,,,16.44,,,,,,,,,
,,2015 - 2016,,,16.45,,,,,,,,,
,,2016 - 2017,,,16.65,,,,,,,,,
,,2017 - 2018,,,17.79,,,,,,,,,
,,2018 - 2019,,,18.41,,,,,,,,,
,,2019 - 2020,,,18.73,,,,,,,,,
,,2020 - 2021,,,26.99,,,,,,,,,
,,2021 - 2022,,,25.91,,,,,,,,,
,,2022 - 2023,872.0,,25.96,,,,,,,,,
,Majuli,2020 - 2021,353.0,,19.26,,,,,,,,,
,,2021 - 2022,286.0,,19.94,,,,,,,,,
,,2022 - 2023,286.0,,19.98,,,,,,,,,
,Marigaon,2000 - 2001,500.0,,12.0,,,,,,,,,
,,2001 - 2002,460.0,,12.0,,,,,,,,,
,,2002 - 2003,460.0,,12.1,,,,,,,,,
,,2003 - 2004,460.0,,12.1,,,,,,,,,
,,2005 - 2006,460.0,,12.1,,,,,,,,,
,,2006 - 2007,500.0,,12.1,,,,,,,,,
,,2007 - 2008,700.0,,12.1,,,,,,,,,
,,2008 - 2009,838.0,,13.3,,,,,,,,,
,,2009 - 2010,,,12.5,,,,,,,,,
,,2010 - 2011,,,12.64,,,,,,,,,
,,2011 - 2012,,,15.32,,,,,,,,,
,,2012 - 2013,,,16.32,,,,,,,,,
,,2013 - 2014,,,19.83,,,,,,,,,
,,2014 - 2015,,,19.83,,,,,,,,,
,,2015 - 2016,,,19.83,,,,,,,,,
,,2016 - 2017,,,20.12,,,,,,,,,
,,2017 - 2018,,,20.13,,,,,,,,,
,,2018 - 2019,,,20.7,,,,,,,,,
,,2019 - 2020,,,19.58,,,,,,,,,
,,2020 - 2021,,,19.38,,,,,,,,,
,,2021 - 2022,,,19.58,,,,,,,,,
,,2022 - 2023,,,19.58,,,,,,,,,
,Nagaon,2000 - 2001,,,14.93,,,,,,,,,
,,2001 - 2002,,,14.93,,,,,,,,,
,,2002 - 2003,,,14.94,,,,,,,,,
,,2003 - 2004,,,14.93,,,,,,,,,
,,2005 - 2006,,,14.83,,,,,,,,,
,,2006 - 2007,,,14.83,,,,,,,,,
,,2007 - 2008,,,14.85,,,,,,,,,
,,2008 - 2009,,,13.75,,,,,,,,,
,,2009 - 2010,,,14.48,,,,,,,,,
,,2010 - 2011,,,14.37,,,,,,,,,
,,2011 - 2012,,,13.26,,,,,,,,,
,,2012 - 2013,,,17.87,,,,,,,,,
,,2013 - 2014,,,17.87,,,,,,,,,
,,2014 - 2015,,,17.87,,,,,,,,,
,,2015 - 2016,,,17.88,,,,,,,,,
,,2016 - 2017,,,18.05,,,,,,,,,
,,2017 - 2018,,,15.65,,,,,,,,,
,,2018 - 2019,,,16.01,,,,,,,,,
,,2019 - 2020,,,16.06,,,,,,,,,
,,2020 - 2021,,,22.05,,,,,,,,,
,,2021 - 2022,,,21.93,,,,,,,,,
,,2022 - 2023,,,21.97,,,,,,,,,
,Nalbari,2000 - 2001,,,14.64,,,,,,,,,
,,2001 - 2002,,,14.64,,,,,,,,,
,,2002 - 2003,,,14.64,,,,,,,,,
,,2003 - 2004,,,14.64,,,,,,,,,
,,2005 - 2006,,,14.64,,,,,,,,,
,,2006 - 2007,,,14.64,,,,,,,,,
,,2007 - 2008,,,14.64,,,,,,,,,
,,2008 - 2009,,,13.85,,,,,,,,,
,,2009 - 2010,,,14.38,,,,,,,,,
,,2010 - 2011,,,14.29,,,,,,,,,
,,2011 - 2012,,,14.98,,,,,,,,,
,,2012 - 2013,,,15.98,,,,,,,,,
,,2013 - 2014,,,15.98,,,,,,,,,
,,2014 - 2015,,,15.97,,,,,,,,,
,,2015 - 2016,,,15.88,,,,,,,,,
,,2016 - 2017,,,16.29,,,,,,,,,
,,2017 - 2018,,,16.3,,,,,,,,,
,,2018 - 2019,,,17.37,,,,,,,,,
,,2019 - 2020,,,17.4,,,,,,,,,
,,2020 - 2021,,,17.16,,,,,,,,,
,,2021 - 2022,,,17.77,,,,,,,,,
,,2022 - 2023,,,17.78,,,,,,,,,
,Sivasagar,2000 - 2001,,,13.62,,,,,,,,,
,,2001 - 2002,,,14.03,,,,,,,,,
,,2002 - 2003,,,13.62,,,,,,,,,
,,2003 - 2004,,,13.59,,,,,,,,,
,,2005 - 2006,,,13.27,,,,,,,,,
,,2006 - 2007,,,13.25,,,,,,,,,
,,2007 - 2008,,,13.38,,,,,,,,,
,,2008 - 2009,,,14.08,,,,,,,,,
,,2009 - 2010,,,13.55,,,,,,,,,
,,2010 - 2011,,,13.79,,,,,,,,,
,,2011 - 2012,,,15.38,,,,,,,,,
,,2012 - 2013,,,16.38,,,,,,,,,
,,2013 - 2014,,,16.38,,,,,,,,,
,,2014 - 2015,,,16.38,,,,,,,,,
,,2015 - 2016,,,16.39,,,,,,,,,
,,2016 - 2017,,,16.78,,,,,,,,,
,,2017 - 2018,,,15.94,,,,,,,,,
,,2018 - 2019,,,17.02,,,,,,,,,
,,2019 - 2020,,,17.16,,,,,,,,,
,,2020 - 2021,858.0,,21.49,,,,,,,,,
,,2021 - 2022,873.0,,21.31,,,,,,,,,
,,2022 - 2023,806.0,,21.6,,,,,,,,,
,Sonitpur,2000 - 2001,,,12.8,,,,,,,,,
,,2001 - 2002,,,13.29,,,,,,,,,
,,2002 - 2003,,,13.23,,,,,,,,,
,,2003 - 2004,,,13.72,,,,,,,,,
,,2005 - 2006,,,13.46,,,,,,,,,
,,2006 - 2007,,,13.92,,,,,,,,,
,,2007 - 2008,,,13.82,,,,,,,,,
,,2008 - 2009,,,12.53,,,,,,,,,
,,2009 - 2010,,,13.38,,,,,,,,,
,,2010 - 2011,,,12.77,,,,,,,,,
,,2011 - 2012,,,17.4,,,,,,,,,
,,2012 - 2013,,,17.98,,,,,,,,,
,,2013 - 2014,,,17.98,,,,,,,,,
,,2014 - 2015,,,17.98,,,,,,,,,
,,2015 - 2016,,,21.97,,,,,,,,,
,,2016 - 2017,,,22.1,,,,,,,,,
,,2017 - 2018,,,20.38,,,,,,,,,
,,2018 - 2019,,,20.64,,,,,,,,,
,,2019 - 2020,,,22.87,,,,,,,,,
,,2020 - 2021,,,18.64,,,,,,,,,
,,2021 - 2022,,,19.03,,,,,,,,,
,,2022 - 2023,,,19.04,,,,,,,,,
,South salmara mancachar,2020 - 2021,255.0,,17.13,,,,,,,,,
,,2021 - 2022,252.0,,19.07,,,,,,,,,
,,2022 - 2023,255.0,,19.09,,,,,,,,,
,Tinsukia,2000 - 2001,,,13.72,,,,,,,,,
,,2001 - 2002,,,13.71,,,,,,,,,
,,2002 - 2003,,,13.72,,,,,,,,,
,,2003 - 2004,,,13.69,,,,,,,,,
,,2005 - 2006,,,13.72,,,,,,,,,
,,2006 - 2007,,,13.71,,,,,,,,,
,,2007 - 2008,,,13.7,,,,,,,,,
,,2008 - 2009,,,13.7,,,,,,,,,
,,2009 - 2010,,,13.71,,,,,,,,,
,,2010 - 2011,,,13.72,,,,,,,,,
,,2011 - 2012,,,13.74,,,,,,,,,
,,2012 - 2013,,,14.47,,,,,,,,,
,,2013 - 2014,,,14.47,,,,,,,,,
,,2014 - 2015,,,14.47,,,,,,,,,
,,2015 - 2016,,,14.48,,,,,,,,,
,,2016 - 2017,,,14.75,,,,,,,,,
,,2017 - 2018,,,14.76,,,,,,,,,
,,2018 - 2019,,,15.54,,,,,,,,,
,,2019 - 2020,,,20.5,,,,,,,,,
,,2020 - 2021,,,20.26,,,,,,,,,
,,2021 - 2022,,,20.32,,,,,,,,,
,,2022 - 2023,,,20.42,,,,,,,,,
,Udalguri,2005 - 2006,550.0,,12.9,,,,,,,,,
,,2006 - 2007,718.0,,12.9,,,,,,,,,
,,2007 - 2008,,,12.9,,,,,,,,,
,,2008 - 2009,,,13.99,,,,,,,,,
,,2009 - 2010,541.0,,13.26,,,,,,,,,
,,2010 - 2011,592.0,,13.41,,,,,,,,,
,,2011 - 2012,600.0,,14.54,,,,,,,,,
,,2012 - 2013,608.0,,15.35,,,,,,,,,
,,2013 - 2014,604.0,,15.35,,,,,,,,,
,,2014 - 2015,668.0,,15.35,,,,,,,,,
,,2015 - 2016,980.0,,15.36,,,,,,,,,
,,2016 - 2017,,,16.23,,,,,,,,,
,,2017 - 2018,,,16.23,,,,,,,,,
,,2018 - 2019,,,17.62,,,,,,,,,
,,2019 - 2020,,,17.8,,,,,,,,,
,,2020 - 2021,,,18.71,,,,,,,,,
,,2021 - 2022,952.0,,19.17,,,,,,,,,
,,2022 - 2023,984.0,,19.18,,,,,,,,,
,West karbi anglong,2020 - 2021,458.0,,19.75,,,,,,,,,
,,2021 - 2022,460.0,,20.15,,,,,,,,,
,,2022 - 2023,460.0,,20.35,,,,,,,,,
Bihar,Araria,2000 - 2001,615.0,,4.05,,,,,,,,,
,,2001 - 2002,504.0,,28.43,,,,,,,,,
,,2002 - 2003,431.0,,8.68,,,,,,,,,
,,2003 - 2004,516.0,,9.56,,,,,,,,,
,,2004 - 2005,484.0,,8.19,,,,,,,,,
,,2005 - 2006,401.0,,14.29,,,,,,,,,
,,2007 - 2008,375.0,,11.71,,,,,,,,,
,Arwal,2003 - 2004,7.0,116.0,16.57,,,,,,,,,
,Begusarai,2000 - 2001,280.0,,24.41,,,,,,,,,
,,2001 - 2002,278.0,,85.56,,,,,,,,,
,,2002 - 2003,306.0,,80.26,,,,,,,,,
,,2003 - 2004,323.0,,77.52,,,,,,,,,
,,2004 - 2005,282.0,,12.82,,,,,,,,,
,,2005 - 2006,295.0,,36.71,,,,,,,,,
,,2007 - 2008,299.0,,13.07,,,,,,,,,
,Bhagalpur,2000 - 2001,,,9.34,,,,,,,,,
,,2001 - 2002,875.0,,8.26,,,,,,,,,
,,2002 - 2003,998.0,,2.24,,,,,,,,,
,,2003 - 2004,840.0,,2.43,,,,,,,,,
,,2004 - 2005,851.0,,2.22,,,,,,,,,
,,2005 - 2006,,,2.35,,,,,,,,,
,,2007 - 2008,851.0,,2.29,,,,,,,,,
,Darbhanga,2000 - 2001,86.0,825.0,9.59,,,,,,,,,
,,2001 - 2002,88.0,717.0,8.15,,,,,,,,,
,,2002 - 2003,352.0,,18.55,,,,,,,,,
,,2003 - 2004,91.0,894.0,9.82,,,,,,,,,
,,2004 - 2005,100.0,,23.72,,,,,,,,,
,,2005 - 2006,90.0,863.0,9.59,,,,,,,,,
,,2007 - 2008,84.0,,21.43,,,,,,,,,
,Gaya,2000 - 2001,30.0,630.0,21.0,,,,,,,,,
,,2001 - 2002,29.0,651.0,22.45,,,,,,,,,
,,2002 - 2003,3.0,59.0,19.67,,,,,,,,,
,,2003 - 2004,2.0,33.0,16.5,,,,,,,,,
,Gopalganj,2000 - 2001,18.0,378.0,21.0,,,,,,,,,
,,2001 - 2002,53.0,,22.45,,,,,,,,,
,,2002 - 2003,15.0,295.0,19.67,,,,,,,,,
,,2003 - 2004,13.0,215.0,16.54,,,,,,,,,
,,2004 - 2005,13.0,167.0,12.85,,,,,,,,,
,,2005 - 2006,19.0,291.0,15.32,,,,,,,,,
,,2007 - 2008,23.0,301.0,13.09,,,,,,,,,
,Kaimur (bhabua),2000 - 2001,5.0,105.0,21.0,,,,,,,,,
,Katihar,2000 - 2001,,,46.96,,,,,,,,,
,,2001 - 2002,,,48.59,,,,,,,,,
,,2002 - 2003,,,26.45,,,,,,,,,
,,2003 - 2004,,,19.68,,,,,,,,,
,,2004 - 2005,,,6.83,,,,,,,,,
,,2005 - 2006,,,13.54,,,,,,,,,
,,2007 - 2008,,,9.72,,,,,,,,,
,Khagaria,2000 - 2001,428.0,,24.41,,,,,,,,,
,,2001 - 2002,142.0,,15.14,,,,,,,,,
,,2002 - 2003,55.0,,80.25,,,,,,,,,
,,2003 - 2004,317.0,,77.52,,,,,,,,,
,,2004 - 2005,344.0,,12.82,,,,,,,,,
,,2005 - 2006,855.0,,36.71,,,,,,,,,
,,2007 - 2008,719.0,,13.07,,,,,,,,,
,Kishanganj,2000 - 2001,561.0,,31.97,,,,,,,,,
,,2001 - 2002,570.0,,28.43,,,,,,,,,
,,2002 - 2003,464.0,,19.19,,,,,,,,,
,,2003 - 2004,427.0,,8.16,,,,,,,,,
,,2004 - 2005,415.0,,8.16,,,,,,,,,
,,2005 - 2006,422.0,,17.81,,,,,,,,,
,,2007 - 2008,507.0,,12.3,,,,,,,,,
,Madhepura,2000 - 2001,327.0,,42.37,,,,,,,,,
,,2001 - 2002,436.0,,13.23,,,,,,,,,
,,2002 - 2003,491.0,,6.45,,,,,,,,,
,,2003 - 2004,551.0,,15.74,,,,,,,,,
,,2004 - 2005,439.0,,37.12,,,,,,,,,
,,2005 - 2006,409.0,,34.74,,,,,,,,,
,,2007 - 2008,457.0,,35.93,,,,,,,,,
,Madhubani,2000 - 2001,549.0,,9.59,,,,,,,,,
,,2001 - 2002,379.0,,8.15,,,,,,,,,
,,2002 - 2003,222.0,,9.81,,,,,,,,,
,,2003 - 2004,209.0,,8.36,,,,,,,,,
,,2004 - 2005,232.0,,8.02,,,,,,,,,
,,2005 - 2006,290.0,,9.59,,,,,,,,,
,,2007 - 2008,250.0,,8.02,,,,,,,,,
,Muzaffarpur,2000 - 2001,753.0,,4.67,,,,,,,,,
,,2002 - 2003,605.0,,9.87,,,,,,,,,
,,2003 - 2004,673.0,,5.96,,,,,,,,,
,,2004 - 2005,553.0,,9.07,,,,,,,,,
,,2005 - 2006,329.0,,6.41,,,,,,,,,
,,2007 - 2008,446.0,,6.72,,,,,,,,,
,Nawada,2007 - 2008,1.0,13.0,13.0,,,,,,,,,
,Pashchim champaran,2000 - 2001,296.0,,4.21,,,,,,,,,
,,2001 - 2002,194.0,,14.08,,,,,,,,,
,,2002 - 2003,170.0,,14.51,,,,,,,,,
,,2003 - 2004,171.0,,12.3,,,,,,,,,
,,2004 - 2005,175.0,,9.1,,,,,,,,,
,,2005 - 2006,216.0,,8.12,,,,,,,,,
,,2007 - 2008,188.0,,8.44,,,,,,,,,
,Purbi champaran,2000 - 2001,359.0,,3.19,,,,,,,,,
,,2001 - 2002,346.0,,14.08,,,,,,,,,
,,2002 - 2003,393.0,,12.06,,,,,,,,,
,,2003 - 2004,392.0,,12.3,,,,,,,,,
,,2004 - 2005,377.0,980.0,2.6,,,,,,,,,
,,2005 - 2006,415.0,,14.86,,,,,,,,,
,,2007 - 2008,414.0,,16.9,,,,,,,,,
,Purnia,2000 - 2001,,,2.82,,,,,,,,,
,,2001 - 2002,,,2.08,,,,,,,,,
,,2002 - 2003,,,7.78,,,,,,,,,
,,2003 - 2004,,,10.54,,,,,,,,,
,,2004 - 2005,,,10.62,,,,,,,,,
,,2005 - 2006,,,26.11,,,,,,,,,
,,2007 - 2008,,,18.37,,,,,,,,,
,Saharsa,2000 - 2001,139.0,,43.74,,,,,,,,,
,,2001 - 2002,42.0,,28.05,,,,,,,,,
,,2002 - 2003,52.0,,30.75,,,,,,,,,
,,2003 - 2004,38.0,,27.95,,,,,,,,,
,,2004 - 2005,11.0,408.0,37.09,,,,,,,,,
,,2005 - 2006,11.0,382.0,34.73,,,,,,,,,
,,2007 - 2008,11.0,395.0,35.91,,,,,,,,,
,Samastipur,2000 - 2001,,,9.59,,,,,,,,,
,,2001 - 2002,,,8.15,,,,,,,,,
,,2002 - 2003,,,19.74,,,,,,,,,
,,2003 - 2004,,,10.01,,,,,,,,,
,,2004 - 2005,,,25.93,,,,,,,,,
,,2005 - 2006,,,9.59,,,,,,,,,
,,2007 - 2008,,,23.45,,,,,,,,,
,Saran,2000 - 2001,55.0,,21.0,,,,,,,,,
,,2001 - 2002,56.0,,22.45,,,,,,,,,
,,2002 - 2003,88.0,,19.66,,,,,,,,,
,,2003 - 2004,26.0,430.0,16.54,,,,,,,,,
,,2004 - 2005,57.0,731.0,12.82,,,,,,,,,
,,2005 - 2006,45.0,690.0,15.33,,,,,,,,,
,,2007 - 2008,91.0,,13.07,,,,,,,,,
,Sheohar,2000 - 2001,148.0,623.0,4.21,,,,,,,,,
,,2001 - 2002,138.0,,14.08,,,,,,,,,
,,2002 - 2003,134.0,,14.51,,,,,,,,,
,,2003 - 2004,139.0,,12.3,,,,,,,,,
,,2004 - 2005,147.0,,9.05,,,,,,,,,
,,2005 - 2006,95.0,771.0,8.12,,,,,,,,,
,,2007 - 2008,60.0,506.0,8.43,,,,,,,,,
,Sitamarhi,2000 - 2001,194.0,817.0,4.21,,,,,,,,,
,,2001 - 2002,172.0,,14.08,,,,,,,,,
,,2002 - 2003,171.0,,14.51,,,,,,,,,
,,2003 - 2004,204.0,,12.3,,,,,,,,,
,,2004 - 2005,345.0,,9.05,,,,,,,,,
,,2005 - 2006,201.0,,8.12,,,,,,,,,
,,2007 - 2008,249.0,,8.44,,,,,,,,,
,Siwan,2000 - 2001,318.0,,21.0,,,,,,,,,
,,2001 - 2002,941.0,,14.9,,,,,,,,,
,,2002 - 2003,100.0,,19.66,,,,,,,,,
,,2003 - 2004,92.0,,16.55,,,,,,,,,
,,2004 - 2005,87.0,,12.82,,,,,,,,,
,,2005 - 2006,68.0,,15.34,,,,,,,,,
,,2007 - 2008,66.0,863.0,13.08,,,,,,,,,
,Supaul,2000 - 2001,,,42.22,,,,,,,,,
,,2001 - 2002,,,33.87,,,,,,,,,
