state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
,,2006 - 2007,,,1.61,,,,,,,,,
,,2007 - 2008,,,2.61,,,,,,,,,
,,2008 - 2009,952.0,,1.48,,,,,,,,,
,,2009 - 2010,823.0,,1.31,,,,,,,,,
,,2010 - 2011,832.0,,2.09,,,,,,,,,
,,2011 - 2012,827.0,,1.7,,,,,,,,,
,,2012 - 2013,815.0,,2.94,,,,,,,,,
,,2013 - 2014,806.0,,1.55,,,,,,,,,
,,2014 - 2015,798.0,,3.05,,,,,,,,,
,,2015 - 2016,990.0,,1.84,,,,,,,,,
,,2016 - 2017,781.0,,1.55,,,,,,,,,
,,2017 - 2018,990.0,,1.88,,,,,,,,,
,,2018 - 2019,695.0,,1.88,,,,,,,,,
,,2019 - 2020,705.0,,1.88,,,,,,,,,
,,2020 - 2021,834.0,,1.75,,,,,,,,,
,,2021 - 2022,789.0,,1.48,,,,,,,,,
,,2022 - 2023,794.0,478.0,0.6,,,,,,,,,
,Kullu,2000 - 2001,,,1.3,,,,,,,,,
,,2001 - 2002,,,1.42,,,,,,,,,
,,2002 - 2003,,,1.32,,,,,,,,,
,,2003 - 2004,,,1.2,,,,,,,,,
,,2004 - 2005,,,1.36,,,,,,,,,
,,2005 - 2006,,,1.08,,,,,,,,,
,,2006 - 2007,,,1.84,,,,,,,,,
,,2007 - 2008,,,1.43,,,,,,,,,
,,2008 - 2009,,,1.01,,,,,,,,,
,,2009 - 2010,,,0.86,,,,,,,,,
,,2010 - 2011,,,1.37,,,,,,,,,
,,2011 - 2012,,,1.52,,,,,,,,,
,,2012 - 2013,,,1.93,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,2.0,,,,,,,,,
,,2015 - 2016,,,1.88,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.88,,,,,,,,,
,,2018 - 2019,,,1.88,,,,,,,,,
,,2019 - 2020,,,1.88,,,,,,,,,
,,2020 - 2021,,,1.62,,,,,,,,,
,,2021 - 2022,,,1.65,,,,,,,,,
,,2022 - 2023,,,1.83,,,,,,,,,
,Lahul and spiti,2000 - 2001,616.0,514.0,0.83,,,,,,,,,
,,2001 - 2002,576.0,799.0,1.39,,,,,,,,,
,,2002 - 2003,573.0,743.0,1.3,,,,,,,,,
,,2003 - 2004,473.0,547.0,1.16,,,,,,,,,
,,2004 - 2005,592.0,852.0,1.44,,,,,,,,,
,,2005 - 2006,608.0,707.0,1.16,,,,,,,,,
,,2006 - 2007,599.0,842.0,1.41,,,,,,,,,
,,2007 - 2008,554.0,658.0,1.19,,,,,,,,,
,,2008 - 2009,574.0,519.0,0.9,,,,,,,,,
,,2009 - 2010,461.0,349.0,0.76,,,,,,,,,
,,2010 - 2011,465.0,562.0,1.21,,,,,,,,,
,,2011 - 2012,463.0,614.0,1.33,,,,,,,,,
,,2012 - 2013,456.0,773.0,1.7,,,,,,,,,
,,2013 - 2014,451.0,403.0,0.89,,,,,,,,,
,,2014 - 2015,447.0,786.0,1.76,,,,,,,,,
,,2015 - 2016,442.0,395.0,0.89,,,,,,,,,
,,2016 - 2017,437.0,391.0,0.89,,,,,,,,,
,,2017 - 2018,442.0,395.0,0.89,,,,,,,,,
,,2018 - 2019,571.0,,1.78,,,,,,,,,
,,2019 - 2020,555.0,988.0,1.78,,,,,,,,,
,,2020 - 2021,636.0,850.0,1.34,,,,,,,,,
,,2021 - 2022,410.0,687.0,1.68,,,,,,,,,
,,2022 - 2023,410.0,647.0,1.58,,,,,,,,,
,Mandi,2000 - 2001,,,0.95,,,,,,,,,
,,2001 - 2002,,,1.86,,,,,,,,,
,,2002 - 2003,,,2.1,,,,,,,,,
,,2003 - 2004,,,1.18,,,,,,,,,
,,2004 - 2005,,,1.82,,,,,,,,,
,,2005 - 2006,,,1.63,,,,,,,,,
,,2006 - 2007,,,1.49,,,,,,,,,
,,2007 - 2008,,,1.34,,,,,,,,,
,,2008 - 2009,,,0.91,,,,,,,,,
,,2009 - 2010,,,0.77,,,,,,,,,
,,2010 - 2011,,,1.23,,,,,,,,,
,,2011 - 2012,,,1.59,,,,,,,,,
,,2012 - 2013,,,1.74,,,,,,,,,
,,2013 - 2014,,,0.91,,,,,,,,,
,,2014 - 2015,,,1.8,,,,,,,,,
,,2015 - 2016,,,1.79,,,,,,,,,
,,2016 - 2017,,,0.91,,,,,,,,,
,,2017 - 2018,,,1.8,,,,,,,,,
,,2018 - 2019,,,1.61,,,,,,,,,
,,2019 - 2020,,,1.78,,,,,,,,,
,,2020 - 2021,,,1.46,,,,,,,,,
,,2021 - 2022,,,1.93,,,,,,,,,
,,2022 - 2023,,,1.34,,,,,,,,,
,Shimla,2000 - 2001,,,0.61,,,,,,,,,
,,2001 - 2002,,,1.07,,,,,,,,,
,,2002 - 2003,,,0.84,,,,,,,,,
,,2003 - 2004,,,1.19,,,,,,,,,
,,2004 - 2005,,,1.22,,,,,,,,,
,,2005 - 2006,,,1.27,,,,,,,,,
,,2006 - 2007,,,1.18,,,,,,,,,
,,2007 - 2008,,,1.47,,,,,,,,,
,,2008 - 2009,,,0.59,,,,,,,,,
,,2009 - 2010,,,0.49,,,,,,,,,
,,2010 - 2011,,,0.78,,,,,,,,,
,,2011 - 2012,,,1.07,,,,,,,,,
,,2012 - 2013,,,1.09,,,,,,,,,
,,2013 - 2014,,,0.58,,,,,,,,,
,,2014 - 2015,,,1.13,,,,,,,,,
,,2015 - 2016,,,1.76,,,,,,,,,
,,2016 - 2017,,,0.57,,,,,,,,,
,,2017 - 2018,,,1.76,,,,,,,,,
,,2018 - 2019,,,1.7,,,,,,,,,
,,2019 - 2020,,,1.76,,,,,,,,,
,,2020 - 2021,,,1.17,,,,,,,,,
,,2021 - 2022,,,2.55,,,,,,,,,
,,2022 - 2023,,,1.47,,,,,,,,,
,Sirmaur,2000 - 2001,,,0.54,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,1.59,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,
,,2004 - 2005,,,1.56,,,,,,,,,
,,2005 - 2006,,,0.96,,,,,,,,,
,,2006 - 2007,,,0.94,,,,,,,,,
,,2007 - 2008,,,0.94,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.59,,,,,,,,,
,,2010 - 2011,,,0.94,,,,,,,,,
,,2011 - 2012,,,1.31,,,,,,,,,
,,2012 - 2013,,,1.33,,,,,,,,,
,,2013 - 2014,,,0.7,,,,,,,,,
,,2014 - 2015,,,1.38,,,,,,,,,
,,2015 - 2016,,,1.44,,,,,,,,,
,,2016 - 2017,,,0.7,,,,,,,,,
,,2017 - 2018,,,1.44,,,,,,,,,
,,2018 - 2019,,,1.71,,,,,,,,,
,,2019 - 2020,,,1.71,,,,,,,,,
,,2020 - 2021,,,1.38,,,,,,,,,
,,2021 - 2022,,,1.9,,,,,,,,,
,,2022 - 2023,,,2.49,,,,,,,,,
,Solan,2000 - 2001,,719.0,0.46,,,,,,,,,
,,2001 - 2002,,,1.14,,,,,,,,,
,,2002 - 2003,,,0.83,,,,,,,,,
,,2003 - 2004,,,0.72,,,,,,,,,
,,2004 - 2005,,,1.14,,,,,,,,,
,,2005 - 2006,,945.0,0.6,,,,,,,,,
,,2006 - 2007,,,1.27,,,,,,,,,
,,2007 - 2008,,,0.86,,,,,,,,,
,,2008 - 2009,,,0.6,,,,,,,,,
,,2009 - 2010,,822.0,0.49,,,,,,,,,
,,2010 - 2011,,343.0,0.2,,,,,,,,,
,,2011 - 2012,,,1.76,,,,,,,,,
,,2012 - 2013,,,1.1,,,,,,,,,
,,2013 - 2014,,950.0,0.58,,,,,,,,,
,,2014 - 2015,,,1.14,,,,,,,,,
,,2015 - 2016,,,1.47,,,,,,,,,
,,2016 - 2017,,921.0,0.58,,,,,,,,,
,,2017 - 2018,,,1.47,,,,,,,,,
,,2018 - 2019,,,1.47,,,,,,,,,
,,2019 - 2020,,,1.57,,,,,,,,,
,,2020 - 2021,,749.0,0.62,,,,,,,,,
,,2021 - 2022,,,0.91,,,,,,,,,
,,2022 - 2023,,,1.34,,,,,,,,,
,Una,2000 - 2001,1.0,1.0,1.0,,,,,,,,,
Jammu and Kashmir,Bandipora,2012 - 2013,,,0.9,,,,,,,,,
,,2013 - 2014,,,0.9,,,,,,,,,
,Doda,2000 - 2001,,,0.32,34.0,9.0,0.26,,,,,,
,,2001 - 2002,,,0.32,27.0,7.0,0.26,,,,,,
,,2002 - 2003,,,0.32,,,,,,,,,
,,2003 - 2004,,,0.32,,,,,,,,,
,,2004 - 2005,,,0.32,,,,,,,,,
,,2005 - 2006,,,,37.0,9.7,0.26,,,,,,
,,2006 - 2007,,,0.32,19.0,11.4,0.6,,,,,,
,,2007 - 2008,,779.7,0.32,,,,,,,,,
,,2008 - 2009,,818.9,0.32,,,,,,,,,
,,2009 - 2010,,977.8,0.32,,,,,,,,,
,,2010 - 2011,,648.2,0.32,,,,,,,,,
,,2011 - 2012,,713.4,0.32,,,,,,,,,
,,2012 - 2013,,715.0,0.32,,,,,,,,,
,,2013 - 2014,,715.0,0.32,,,,,,,,,
,,2015 - 2016,,448.1,0.32,,,,,,,,,
,,2016 - 2017,,464.5,0.32,,,,,,,,,
,,2017 - 2018,,459.0,0.32,4.0,1.4,0.35,,,,,,
,,2018 - 2019,,486.3,0.32,,,,,,,,,
,,2019 - 2020,,494.01,0.32,,,,,,,,,
,,2020 - 2021,,472.5,0.32,,,,,,,,,
,,2021 - 2022,,539.3,0.32,,,,,,,,,
,,2022 - 2023,,468.65,0.32,,,,,,,,,
,Ganderbal,2010 - 2011,,,,20.0,8.1,0.41,,,,,,
,,2011 - 2012,,,,16.0,6.5,0.41,,,,,,
,,2012 - 2013,,,,16.0,6.5,0.41,,,,,,
,,2015 - 2016,,,,22.0,7.7,0.35,,,,,,
,,2016 - 2017,,,,22.0,7.7,0.35,,,,,,
,,2017 - 2018,,,,22.0,7.7,0.35,,,,,,
,,2019 - 2020,,,,23.0,8.1,0.35,,,,,,
,,2020 - 2021,,,,21.0,7.4,0.35,,,,,,
,Jammu,2000 - 2001,89.0,44.0,0.49,,,,,,,,,
,,2001 - 2002,126.0,62.0,0.49,,,,,,,,,
,,2002 - 2003,229.0,114.0,0.5,,,,,,,,,
,,2003 - 2004,416.0,207.0,0.5,,,,,,,,,
,,2004 - 2005,293.0,146.0,0.5,,,,,,,,,
,,2006 - 2007,427.0,212.6,0.5,,,,,,,,,
,,2007 - 2008,255.0,127.0,0.5,,,,,,,,,
,,2008 - 2009,293.0,145.9,0.5,,,,,,,,,
,,2009 - 2010,333.0,166.0,0.5,,,,,,,,,
,,2010 - 2011,380.0,563.4,1.48,,,,,,,,,
,,2011 - 2012,255.0,378.1,1.48,,,,,,,,,
,,2012 - 2013,77.0,114.2,1.48,,,,,,,,,
,,2013 - 2014,77.0,114.2,1.48,,,,,,,,,
,,2015 - 2016,392.0,579.4,1.48,,,,,,,,,
,,2016 - 2017,422.0,623.7,1.48,,,,,,,,,
,,2017 - 2018,58.0,85.7,1.48,,,,,,,,,
,,2018 - 2019,422.0,623.5,1.48,,,,,,,,,
,,2019 - 2020,610.0,901.27,1.48,124.0,43.7,0.35,,,,,,
,,2020 - 2021,610.0,901.27,1.48,,807.4,0.35,,,,,,
,,2021 - 2022,724.0,,1.48,,,,,,,,,
,,2022 - 2023,704.0,,1.48,,,,,,,,,
,Kargil,2003 - 2004,,,0.81,,,,,,,,,
,,2008 - 2009,,,0.87,,,,,,,,,
,,2009 - 2010,,,0.87,,,,,,,,,
,,2010 - 2011,,,0.87,,,,,,,,,
,Kathua,2000 - 2001,,,0.89,,,,,,,,,
,,2001 - 2002,,,0.88,,,,,,,,,
,,2002 - 2003,,,0.88,,,,,,,,,
,,2003 - 2004,,,0.88,,,,,,,,,
,,2004 - 2005,,,0.88,,,,,,,,,
,,2006 - 2007,,,0.88,,,,,,,,,
,,2007 - 2008,,,0.88,,,,,,,,,
,,2008 - 2009,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,0.88,,,,,,,,,
,,2011 - 2012,,,0.88,,,,,,,,,
,,2012 - 2013,,,0.88,,,,,,,,,
,,2013 - 2014,,,0.88,,,,,,,,,
,,2015 - 2016,,,0.88,,,,,,,,,
,,2016 - 2017,,,0.88,,,,,,,,,
,,2017 - 2018,,,0.88,6.0,2.2,0.37,,,,,,
,,2018 - 2019,,,0.88,,,,,,,,,
,,2019 - 2020,,,0.88,48.0,16.9,0.35,,,,,,
,,2020 - 2021,,,0.88,,,,,,,,,
,,2021 - 2022,,,0.88,,,,,,,,,
,,2022 - 2023,,,0.88,,,,,,,,,
,Kishtwar,2007 - 2008,,728.0,0.32,16.0,4.2,0.26,,,,,,
,,2008 - 2009,,695.0,0.32,,,,,,,,,
,,2009 - 2010,,646.5,0.32,49.0,12.9,0.26,,,,,,
,,2010 - 2011,,646.5,0.32,71.0,18.7,0.26,,,,,,
,,2011 - 2012,,536.3,0.32,13.0,3.5,0.27,,,,,,
,,2012 - 2013,,751.5,0.32,12.0,3.2,0.27,,,,,,
,,2013 - 2014,,751.5,0.32,,,,,,,,,
,,2014 - 2015,,,,27.0,9.5,0.35,,,,,,
,,2015 - 2016,,449.3,0.32,25.0,8.8,0.35,,,,,,
,,2016 - 2017,,496.5,0.32,51.0,17.9,0.35,,,,,,
,,2017 - 2018,,490.7,0.32,53.0,18.6,0.35,,,,,,
,,2018 - 2019,,382.2,0.32,8.0,2.8,0.35,,,,,,
,,2019 - 2020,,532.19,0.32,67.0,23.5,0.35,,,,,,
,,2020 - 2021,,498.1,0.32,67.0,23.5,0.35,,,,,,
,,2021 - 2022,,500.3,0.32,,,,,,,,,
,,2022 - 2023,,498.1,0.32,,,,,,,,,
,Leh ladakh,2000 - 2001,162.0,143.0,0.88,,,,,,,,,
,,2001 - 2002,159.0,138.0,0.87,,,,,,,,,
,,2002 - 2003,159.0,138.0,0.87,,,,,,,,,
,,2003 - 2004,132.0,115.0,0.87,,,,,,,,,
,,2004 - 2005,76.0,66.0,0.87,,,,,,,,,
,,2006 - 2007,144.0,125.2,0.87,,,,,,,,,
,,2007 - 2008,144.0,125.2,0.87,,,,,,,,,
,,2008 - 2009,94.0,81.7,0.87,,,,,,,,,
,,2009 - 2010,40.0,35.1,0.88,,,,,,,,,
,,2010 - 2011,33.0,30.1,0.91,,,,,,,,,
,,2011 - 2012,85.0,77.5,0.91,,,,,,,,,
,,2012 - 2013,4.0,3.6,0.9,,,,,,,,,
,,2013 - 2014,4.0,3.6,0.9,,,,,,,,,
,,2015 - 2016,154.0,138.6,0.9,,,,,,,,,
,,2016 - 2017,5.0,4.5,0.9,,,,,,,,,
,,2017 - 2018,4.0,3.6,0.9,,,,,,,,,
,,2018 - 2019,4.0,3.6,0.9,,,,,,,,,
,Rajauri,2002 - 2003,1.0,0.1,0.1,,,,,,,,,
,,2003 - 2004,2.0,6.0,3.0,,,,,,,,,
,,2004 - 2005,20.0,6.0,0.3,,,,,,,,,
,,2006 - 2007,15.0,4.5,0.3,,,,,,,,,
,,2007 - 2008,15.0,4.5,0.3,,,,,,,,,
,,2015 - 2016,67.0,40.4,0.6,,,,,,,,,
,,2016 - 2017,,,,97.0,34.0,0.35,,,,,,
,,2017 - 2018,4.0,3.7,0.93,,,,,,,,,
,,2018 - 2019,,,,414.0,144.9,0.35,,,,,,
,Ramban,2007 - 2008,,613.4,0.32,,,,,,,,,
,,2008 - 2009,,613.1,0.32,,,,,,,,,
,,2009 - 2010,,892.8,0.32,,,,,,,,,
,,2010 - 2011,,519.8,0.32,,,,,,,,,
,,2011 - 2012,263.0,84.4,0.32,,,,,,,,,
,,2012 - 2013,,608.8,0.32,,,,,,,,,
,,2013 - 2014,,608.8,0.32,,,,,,,,,
,,2015 - 2016,112.0,36.0,0.32,,,,,,,,,
,,2017 - 2018,40.0,12.8,0.32,,,,,,,,,
,,2018 - 2019,50.0,16.0,0.32,,,,,,,,,
,,2019 - 2020,51.0,16.32,0.32,,,,,,,,,
,,2020 - 2021,91.0,29.1,0.32,,,,,,,,,
,,2021 - 2022,10.0,3.2,0.32,,,,,,,,,
,,2022 - 2023,102.0,32.62,0.32,,,,,,,,,
,Reasi,2007 - 2008,392.0,359.3,0.92,,,,,,,,,
,,2008 - 2009,233.0,213.6,0.92,,,,,,,,,
,,2009 - 2010,243.0,223.2,0.92,47.0,12.3,0.26,,,,,,
,,2010 - 2011,337.0,309.5,0.92,11.0,2.9,0.26,,,,,,
,,2011 - 2012,91.0,83.6,0.92,,,,,,,,,
,,2012 - 2013,138.0,126.8,0.92,8.0,2.2,0.28,,,,,,
,,2013 - 2014,138.0,126.8,0.92,,,,,,,,,
,,2015 - 2016,174.0,159.3,0.92,,,,,,,,,
,,2016 - 2017,87.0,79.6,0.91,19.0,6.7,0.35,,,,,,
,,2017 - 2018,79.0,72.3,0.92,8.0,2.8,0.35,,,,,,
,,2018 - 2019,345.0,315.7,0.92,19.0,6.7,0.35,,,,,,
,,2019 - 2020,30.0,27.45,0.92,12.0,4.2,0.35,,,,,,
,,2020 - 2021,30.0,27.5,0.92,12.0,4.2,0.35,,,,,,
,,2021 - 2022,9.0,8.3,0.92,,,,,,,,,
,Samba,2007 - 2008,172.0,85.6,0.5,544.0,142.6,0.26,,,,,,
,,2008 - 2009,180.0,89.6,0.5,,,,,,,,,
,,2009 - 2010,172.0,85.8,0.5,57.0,15.0,0.26,,,,,,
,,2010 - 2011,140.0,69.8,0.5,,,,,,,,,
,,2011 - 2012,136.0,67.8,0.5,,,,,,,,,
,,2012 - 2013,131.0,65.3,0.5,,,,,,,,,
,,2013 - 2014,131.0,65.3,0.5,,,,,,,,,
,,2015 - 2016,745.0,371.3,0.5,,,,,,,,,
,,2016 - 2017,512.0,255.2,0.5,,,,,,,,,
,,2017 - 2018,187.0,93.2,0.5,,,,,,,,,
,,2018 - 2019,401.0,199.9,0.5,,,,,,,,,
,,2019 - 2020,379.0,188.93,0.5,16.0,5.6,0.35,,,,,,
,,2020 - 2021,393.0,195.91,0.5,,,,,,,,,
,,2021 - 2022,394.0,196.4,0.5,,,,,,,,,
,,2022 - 2023,419.0,208.87,0.5,,,,,,,,,
,Srinagar,2003 - 2004,20.0,5.0,0.25,,,,,,,,,
,Udhampur,2000 - 2001,975.0,895.0,0.92,,,,,,,,,
,,2001 - 2002,,,0.92,,,,,,,,,
,,2002 - 2003,,,0.92,,,,,,,,,
,,2003 - 2004,,962.0,0.92,,,,,,,,,
,,2004 - 2005,,,0.92,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,
,,2007 - 2008,799.0,732.4,0.92,,,,,,,,,
,,2008 - 2009,593.0,543.6,0.92,,,,,,,,,
,,2009 - 2010,597.0,548.0,0.92,,,,,,,,,
,,2010 - 2011,551.0,505.8,0.92,,,,,,,,,
,,2011 - 2012,629.0,577.4,0.92,,,,,,,,,
,,2012 - 2013,,985.0,0.92,,,,,,,,,
,,2013 - 2014,,985.0,0.92,,,,,,,,,
,,2015 - 2016,895.0,821.5,0.92,80.0,28.1,0.35,,,,,,
,,2016 - 2017,855.0,784.8,0.92,,,,,,,,,
,,2017 - 2018,702.0,644.4,0.92,,,,,,,,,
,,2018 - 2019,853.0,783.0,0.92,,,,,,,,,
,,2019 - 2020,855.0,784.84,0.92,643.0,226.7,0.35,,,,,,
,,2020 - 2021,785.0,720.6,0.92,32.0,11.3,0.35,,,,,,
,,2021 - 2022,790.0,725.2,0.92,,,,,,,,,
,,2022 - 2023,785.0,720.6,0.92,,,,,,,,,
Jharkhand,Garhwa,2004 - 2005,,,0.61,,,,,,,,,
,Godda,2003 - 2004,,,1.19,,,,,,,,,
,Hazaribagh,2003 - 2004,43.2,36.76,0.85,,,,,,,,,
,Palamu,2003 - 2004,,,0.79,,,,,,,,,
Karnataka,Bagalkot,2022 - 2023,,,,30.0,0.0,0.0,,,,,,
,Bangalore rural,2022 - 2023,1.0,0.0,0.0,12.0,0.0,0.0,,,,,,
,Belgaum,2022 - 2023,229.0,0.0,0.0,152.0,0.0,0.0,10.0,0.0,0.0,,,
,Bellary,2022 - 2023,24.0,0.0,0.0,10.0,0.0,0.0,,,,,,
,Bengaluru urban,2022 - 2023,,,,13.0,0.0,0.0,,,,,,
,Bijapur,2022 - 2023,14.0,0.0,0.0,7.0,0.0,0.0,,,,,,
,Chamarajanagar,2022 - 2023,6.0,0.0,0.0,32.0,0.0,0.0,9.0,0.0,0.0,,,
,Chikballapur,2022 - 2023,2.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,,,
,Chikmagalur,2022 - 2023,4.0,0.0,0.0,17.0,0.0,0.0,,,,,,
,Chitradurga,2022 - 2023,24.0,0.0,0.0,40.0,0.0,0.0,4.0,0.0,0.0,,,
,Davangere,2022 - 2023,3.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,,,
,Dharwad,2022 - 2023,6.0,0.0,0.0,25.0,0.0,0.0,,,,,,
,Gadag,2022 - 2023,,,,16.0,0.0,0.0,,,,,,
,Gulbarga,2022 - 2023,3.0,0.0,0.0,,,,,,,,,
,Hassan,2022 - 2023,8.0,0.0,0.0,76.0,0.0,0.0,1.0,0.0,0.0,,,
,Haveri,2022 - 2023,32.0,0.0,0.0,112.0,0.0,0.0,9.0,0.0,0.0,,,
,Kolar,2022 - 2023,2.0,0.0,0.0,,,,,,,,,
,Koppal,2022 - 2023,7.0,0.0,0.0,63.0,0.0,0.0,,,,,,
,Mysore,2022 - 2023,,,,4.0,0.0,0.0,,,,,,
,Raichur,2022 - 2023,,,,4.0,0.0,0.0,,,,,,
,Ramanagara,2022 - 2023,,,,14.0,0.0,0.0,,,,,,
,Shimoga,2022 - 2023,1.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,,,
,Tumkur,2022 - 2023,6.0,0.0,0.0,9.0,0.0,0.0,,,,,,
,Uttar kannad,2022 - 2023,,,,,,,1.0,0.0,0.0,,,
,Yadgir,2022 - 2023,9.0,0.0,0.0,70.0,0.0,0.0,,,,,,
Ladakh,Kargil,2022 - 2023,,,2.0,,,,,,,,,
,Leh ladakh,2020 - 2021,,,1.77,,,,,,,,,
,,2021 - 2022,,,1.86,,,,,,,,,
,,2022 - 2023,,,1.69,,,,,,,,,
Madhya Pradesh,Agar malwa,2013 - 2014,,,,286.0,466.0,1.63,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,
,,2018 - 2019,,,,48.0,45.0,0.94,,,,,,
,,2019 - 2020,34.0,80.0,2.35,,,,,,,,,
,,2020 - 2021,40.0,90.0,2.25,,,,,,,,,
,,2021 - 2022,3.0,5.0,1.67,,,,,,,,,
,Alirajpur,2008 - 2009,11.0,11.0,1.0,,,,,,,,,
,,2010 - 2011,3.0,3.0,1.0,,,,,,,,,
,,2011 - 2012,,,,10.0,12.0,1.2,,,,,,
,,2012 - 2013,,,,48.0,48.0,1.0,,,,,,
,,2013 - 2014,,,,49.0,61.0,1.24,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,
,,2015 - 2016,,,,,,2.5,,,,,,
,,2016 - 2017,,,,,,3.0,,,,,,
,,2017 - 2018,,,,,,1.6,,,,,,
,Anuppur,2003 - 2004,57.0,35.0,0.61,,,,,,,,,
,,2004 - 2005,65.0,36.0,0.55,,,,,,,,,
,,2005 - 2006,61.0,42.0,0.69,,,,,,,,,
,,2007 - 2008,527.0,363.0,0.69,,,,,,,,,
,,2008 - 2009,59.0,40.0,0.68,,,,,,,,,
,,2009 - 2010,,,,,,,,,,89.0,54.0,0.61
,,2010 - 2011,85.0,48.0,0.56,,,,,,,,,
,,2011 - 2012,,,,68.0,61.0,0.9,,,,,,
,,2012 - 2013,,,,64.0,53.0,0.83,,,,,,
,,2013 - 2014,,,,59.0,48.0,0.81,,,,,,
,,2014 - 2015,,,,,,2.0,,,,,,
,,2016 - 2017,,,,10.0,20.0,2.0,,,,,,
,,2017 - 2018,,,,100.0,80.0,0.8,,,,,,
,,2018 - 2019,,,,21.0,13.0,0.62,,,,,,
,,2019 - 2020,40.0,46.0,1.15,,,,,,,,,
,,2020 - 2021,67.0,53.0,0.79,,,,,,,,,
,,2021 - 2022,16.0,14.0,0.88,,,,,,,,,
,,2022 - 2023,50.0,41.0,0.82,,,,,,,,,
,Ashoknagar,2003 - 2004,253.0,411.0,1.62,,,,,,,,,
,,2004 - 2005,253.0,401.0,1.58,,,,,,,,,
,,2005 - 2006,368.0,750.0,2.04,,,,,,,,,
,,2007 - 2008,374.0,754.0,2.02,,,,,,,,,
,,2008 - 2009,374.0,800.0,2.14,,,,,,,,,
,,2009 - 2010,,,,,,,,,,658.0,,2.03
,,2010 - 2011,725.0,,2.82,,,,,,,,,
,,2011 - 2012,,,,808.0,,3.2,,,,,,
,,2012 - 2013,,,,681.0,,2.22,,,,,,
,,2013 - 2014,,,,669.0,,2.57,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,
,,2016 - 2017,,,,600.0,,3.33,,,,,,
,,2017 - 2018,,,,500.0,,2.22,,,,,,
,,2018 - 2019,,,,59.0,156.0,2.64,,,,,,
,,2019 - 2020,67.0,199.0,2.97,,,,,,,,,
,,2020 - 2021,64.0,205.0,3.2,,,,,,,,,
,,2021 - 2022,87.0,188.0,2.16,,,,,,,,,
,,2022 - 2023,110.0,177.0,1.61,,,,,,,,,
,Balaghat,2000 - 2001,1.0,2.0,2.0,,,,,,,,,
,,2002 - 2003,1.0,2.0,2.0,,,,,,,,,
,,2014 - 2015,,,,,,1.5,,,,,,
,,2017 - 2018,,,,300.0,480.0,1.6,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,11.0,20.0,1.82,,,,,,,,,
,,2022 - 2023,33.0,36.0,1.09,,,,,,,,,
,Barwani,2015 - 2016,,,,,,3.25,,,,,,
,,2016 - 2017,,,,,,3.2,,,,,,
,,2017 - 2018,,,,,,1.56,,,,,,
,,2019 - 2020,28.0,90.0,3.21,,,,,,,,,
,Betul,2001 - 2002,10.0,10.0,1.0,,,,,,,,,
,,2021 - 2022,3.0,5.0,1.67,,,,,,,,,
,Bhind,2000 - 2001,,,1.03,,,,,,,,,
,,2001 - 2002,,,1.67,,,,,,,,,
,,2002 - 2003,,,1.51,,,,,,,,,
,,2003 - 2004,,,2.13,,,,,,,,,
,,2004 - 2005,,,1.92,,,,,,,,,
,,2005 - 2006,,,2.0,,,,,,,,,
,,2007 - 2008,,,1.35,,,,,,,,,
,,2008 - 2009,,,2.01,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.82
,,2010 - 2011,,,2.12,,,,,,,,,
,,2011 - 2012,,,,,,2.7,,,,,,
,,2012 - 2013,,,,,,1.51,,,,,,
,,2013 - 2014,,,,,,3.83,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,
,,2015 - 2016,,,,,,2.67,,,,,,
,,2016 - 2017,,,,,,3.12,,,,,,
,,2017 - 2018,,,,,,3.95,,,,,,
,,2018 - 2019,,,,412.0,,3.55,,,,,,
,,2019 - 2020,236.0,677.0,2.87,,,,,,,,,
,,2020 - 2021,271.0,444.0,1.64,,,,,,,,,
,,2021 - 2022,91.0,245.0,2.69,,,,,,,,,
,,2022 - 2023,230.0,474.0,2.06,,,,,,,,,
