state,district,year,moth_kharif_area_hectare,moth_kharif_production_tonne,moth_kharif_yield_tonne_per_hectare,moth_rabi_area_hectare,moth_rabi_production_tonne,moth_rabi_yield_tonne_per_hectare
,,2018 - 2019,104.0,83.2,0.8,,,
,,2019 - 2020,147.0,117.6,0.8,,,
,,2020 - 2021,148.0,118.4,0.8,,,
,Bandipora,2009 - 2010,622.0,312.3,0.5,,,
,,2010 - 2011,622.0,312.3,0.5,,,
,,2011 - 2012,485.0,243.5,0.5,,,
,,2012 - 2013,571.0,286.7,0.5,,,
,,2015 - 2016,576.0,289.2,0.5,,,
,,2016 - 2017,575.0,288.7,0.5,,,
,,2017 - 2018,575.0,288.8,0.5,,,
,,2018 - 2019,575.0,288.8,0.5,,,
,,2019 - 2020,575.0,288.8,0.5,,,
,,2020 - 2021,575.0,288.8,0.5,,,
,Baramulla,2002 - 2003,,718.0,0.5,,,
,,2006 - 2007,,583.8,0.5,,,
,,2009 - 2010,361.0,181.2,0.5,,,
,,2010 - 2011,652.0,327.3,0.5,,,
,,2011 - 2012,611.0,306.7,0.5,,,
,,2012 - 2013,611.0,306.7,0.5,,,
,,2015 - 2016,152.0,266.5,1.75,,,
,,2016 - 2017,152.0,266.5,1.75,,,
,,2017 - 2018,173.0,303.3,1.75,,,
,,2018 - 2019,173.0,303.3,1.75,,,
,,2019 - 2020,173.0,303.3,1.75,,,
,,2020 - 2021,141.0,247.2,1.75,,,
,Doda,2011 - 2012,3.0,2.1,0.7,,,
,,2016 - 2017,5.0,2.5,0.5,,,
,Ganderbal,2010 - 2011,32.0,21.6,0.68,,,
,,2011 - 2012,32.0,21.6,0.68,,,
,,2012 - 2013,38.0,25.6,0.67,,,
,,2020 - 2021,1.0,0.8,0.8,,,
,Jammu,2002 - 2003,264.0,145.0,0.55,,,
,,2006 - 2007,122.0,67.0,0.55,,,
,,2009 - 2010,6.0,3.3,0.55,,,
,,2010 - 2011,746.0,410.3,0.55,,,
,,2011 - 2012,54.0,41.4,0.77,,,
,,2012 - 2013,49.0,37.6,0.77,,,
,,2020 - 2021,2.0,1.0,0.5,,,
,Kathua,2002 - 2003,3.0,2.0,0.67,,,
,,2006 - 2007,2.0,1.4,0.7,378.0,207.6,0.55
,,2009 - 2010,2.0,1.5,0.75,,,
,,2010 - 2011,3.0,2.3,0.77,,,
,,2011 - 2012,2.0,1.6,0.8,,,
,Kulgam,2009 - 2010,154.0,80.5,0.52,,,
,,2010 - 2011,19.0,10.0,0.53,,,
,,2011 - 2012,120.0,63.3,0.53,,,
,,2012 - 2013,116.0,61.2,0.53,,,
,,2015 - 2016,14.0,7.4,0.53,,,
,,2016 - 2017,14.0,7.4,0.53,,,
,,2018 - 2019,14.0,7.3,0.52,,,
,,2019 - 2020,14.0,7.3,0.52,,,
,,2020 - 2021,14.0,7.3,0.52,,,
,Kupwara,2011 - 2012,14.0,7.1,0.51,,,
,,2012 - 2013,14.0,7.1,0.51,,,
,Leh ladakh,2010 - 2011,,,,1.0,0.4,0.4
,,2011 - 2012,,,,13.0,5.2,0.4
,Poonch,2010 - 2011,25.0,17.5,0.7,,,
,,2016 - 2017,22.0,11.0,0.5,,,
,,2017 - 2018,35.0,17.5,0.5,,,
,,2018 - 2019,32.0,16.0,0.5,,,
,,2019 - 2020,18.0,9.0,0.5,,,
,,2020 - 2021,18.0,9.0,0.5,,,
,Pulwama,2006 - 2007,326.0,267.5,0.82,,,
,,2009 - 2010,164.0,134.7,0.82,,,
,,2010 - 2011,135.0,110.9,0.82,,,
,,2011 - 2012,150.0,123.3,0.82,,,
,,2012 - 2013,152.0,124.9,0.82,,,
,,2015 - 2016,23.0,18.9,0.82,,,
,,2016 - 2017,21.0,17.3,0.82,,,
,,2017 - 2018,16.0,13.2,0.83,,,
,,2018 - 2019,21.0,17.3,0.82,,,
,,2019 - 2020,14.0,11.5,0.82,,,
,,2020 - 2021,39.0,32.0,0.82,,,
,Rajauri,2006 - 2007,,,,395.0,216.9,0.55
,,2012 - 2013,1.0,0.8,0.8,,,
,,2015 - 2016,3.0,1.5,0.5,,,
,,2016 - 2017,3.0,1.5,0.5,,,
,,2019 - 2020,68.0,34.0,0.5,,,
,Reasi,2009 - 2010,18.0,12.6,0.7,,,
,,2017 - 2018,8.0,4.0,0.5,,,
,,2018 - 2019,49.0,24.5,0.5,,,
,,2019 - 2020,4.0,2.0,0.5,,,
,,2020 - 2021,4.0,2.0,0.5,,,
,Shopian,2009 - 2010,149.0,122.4,0.82,,,
,,2010 - 2011,149.0,122.4,0.82,,,
,,2011 - 2012,149.0,122.4,0.82,,,
,,2012 - 2013,149.0,122.4,0.82,,,
,Srinagar,2002 - 2003,214.0,144.0,0.67,,,
,,2006 - 2007,18.0,12.1,0.67,,,
,,2009 - 2010,8.0,5.4,0.68,,,
,,2010 - 2011,8.0,5.4,0.68,,,
,,2011 - 2012,16.0,10.8,0.68,,,
,,2012 - 2013,16.0,10.8,0.68,,,
,Udhampur,2002 - 2003,15.0,10.0,0.67,,,
,,2006 - 2007,6.0,4.1,0.68,,,
,,2016 - 2017,1.0,0.5,0.5,,,
,,2017 - 2018,1.0,0.5,0.5,,,
,,2019 - 2020,1.0,0.5,0.5,,,
,,2020 - 2021,4.0,2.0,0.5,,,
Punjab,Bathinda,2000 - 2001,100.0,100.0,1.0,,,
,,2001 - 2002,100.0,100.0,1.0,,,
,,2003 - 2004,100.0,100.0,1.0,,,
,,2004 - 2005,100.0,100.0,1.0,,,
,,2005 - 2006,100.0,100.0,1.0,,,
,,2006 - 2007,100.0,100.0,1.0,,,
,Firozepur,2002 - 2003,200.0,100.0,0.5,,,
,,2003 - 2004,400.0,200.0,0.5,,,
,,2004 - 2005,100.0,100.0,1.0,,,
,,2005 - 2006,100.0,100.0,1.0,,,
,Gurdaspur,2004 - 2005,100.0,0.0,0.0,,,
,Ludhiana,2005 - 2006,100.0,100.0,1.0,,,
,Muktsar,2002 - 2003,100.0,100.0,1.0,,,
,Sangrur,2000 - 2001,200.0,200.0,1.0,,,
,,2001 - 2002,200.0,200.0,1.0,,,
,,2003 - 2004,100.0,100.0,1.0,,,
Rajasthan,Ajmer,2000 - 2001,,91.0,0.04,,,
,,2001 - 2002,,225.0,0.13,,,
,,2002 - 2003,,9.0,0.01,,,
,,2003 - 2004,,956.0,0.44,,,
,,2004 - 2005,,173.0,0.09,,,
,,2005 - 2006,,357.0,0.14,,,
,,2006 - 2007,,316.0,0.11,,,
,,2007 - 2008,,495.0,0.21,,,
,,2008 - 2009,,570.0,0.39,,,
,,2009 - 2010,,,0.0,,,
,,2010 - 2011,,816.0,0.55,,,
,,2011 - 2012,,350.0,0.31,,,
,,2012 - 2013,,195.0,0.17,,,
,,2013 - 2014,603.0,104.0,0.17,,,
,,2014 - 2015,494.0,94.0,0.19,,,
,,2015 - 2016,188.0,59.0,0.31,,,
,,2016 - 2017,140.0,44.0,0.31,,,
,,2017 - 2018,103.0,32.0,0.31,,,
,,2018 - 2019,76.0,17.0,0.22,,,
,,2019 - 2020,23.0,8.0,0.35,,,
,,2020 - 2021,177.0,60.0,0.34,,,
,,2021 - 2022,22.0,4.0,0.18,,,
,,2022 - 2023,12.0,6.0,0.5,,,
,Alwar,2000 - 2001,3.0,,0.0,,,
,,2001 - 2002,4.0,1.0,0.25,,,
,,2002 - 2003,1.0,,0.0,,,
,,2003 - 2004,7.0,4.0,0.57,,,
,,2004 - 2005,17.0,2.0,0.12,,,
,,2005 - 2006,20.0,3.0,0.15,,,
,,2006 - 2007,13.0,2.0,0.15,,,
,,2007 - 2008,18.0,6.0,0.33,,,
,,2008 - 2009,26.0,7.0,0.27,,,
,,2009 - 2010,13.0,,0.0,,,
,,2010 - 2011,23.0,11.0,0.48,,,
,,2011 - 2012,5.0,2.0,0.4,,,
,,2012 - 2013,4.0,1.0,0.25,,,
,,2013 - 2014,36.0,10.0,0.28,,,
,,2014 - 2015,10.0,4.0,0.4,,,
,,2015 - 2016,1.0,,0.0,,,
,,2016 - 2017,2.0,1.0,0.5,,,
,,2018 - 2019,2.0,,0.0,,,
,Banswara,2000 - 2001,20.0,3.0,0.15,,,
,,2001 - 2002,21.0,5.0,0.24,,,
,,2002 - 2003,3.0,,0.0,,,
,,2004 - 2005,5.0,1.0,0.2,,,
,,2005 - 2006,8.0,1.0,0.13,,,
,,2006 - 2007,4.0,1.0,0.25,,,
,,2011 - 2012,2.0,1.0,0.5,,,
,,2012 - 2013,5.0,1.0,0.2,,,
,,2013 - 2014,10.0,3.0,0.3,,,
,,2015 - 2016,2.0,,0.0,,,
,,2016 - 2017,10.0,3.0,0.3,,,
,,2017 - 2018,72.0,22.0,0.31,,,
,,2018 - 2019,41.0,9.0,0.22,,,
,Baran,2005 - 2006,3.0,,0.0,,,
,,2006 - 2007,2.0,,0.0,,,
,,2008 - 2009,2.0,1.0,0.5,,,
,,2014 - 2015,1.0,,0.0,,,
,Barmer,2000 - 2001,,,0.4,,,
,,2001 - 2002,,,0.31,,,
,,2002 - 2003,,,0.0,,,
,,2003 - 2004,,,0.88,,,
,,2004 - 2005,,,0.1,,,
,,2005 - 2006,,,0.05,,,
,,2006 - 2007,,,0.16,,,
,,2007 - 2008,,,0.19,,,
,,2008 - 2009,,,0.13,,,
,,2009 - 2010,,,0.02,,,
,,2010 - 2011,,,0.53,,,
,,2011 - 2012,,,0.37,,,
,,2012 - 2013,,,0.44,,,
,,2013 - 2014,,,0.34,,,
,,2014 - 2015,,,0.27,,,
,,2015 - 2016,,,0.16,,,
,,2016 - 2017,,,0.09,,,
,,2017 - 2018,,,0.17,,,
,,2018 - 2019,,,0.04,,,
,,2019 - 2020,,,0.54,,,
,,2020 - 2021,,,0.6,,,
,,2021 - 2022,,,0.1,,,
,,2022 - 2023,,,0.86,,,
,Bharatpur,2000 - 2001,89.0,13.0,0.15,,,
,,2001 - 2002,60.0,14.0,0.23,,,
,,2002 - 2003,15.0,,0.0,,,
,,2003 - 2004,74.0,39.0,0.53,,,
,,2004 - 2005,65.0,9.0,0.14,,,
,,2005 - 2006,60.0,7.0,0.12,,,
,,2006 - 2007,209.0,35.0,0.17,,,
,,2007 - 2008,147.0,46.0,0.31,,,
,,2008 - 2009,90.0,24.0,0.27,,,
,,2009 - 2010,73.0,2.0,0.03,,,
,,2010 - 2011,53.0,26.0,0.49,,,
,,2011 - 2012,30.0,9.0,0.3,,,
,,2012 - 2013,17.0,5.0,0.29,,,
,,2013 - 2014,3.0,1.0,0.33,,,
,,2014 - 2015,10.0,4.0,0.4,,,
,,2016 - 2017,1.0,,0.0,,,
,,2019 - 2020,30.0,10.0,0.33,,,
,,2020 - 2021,2.0,1.0,0.5,,,
,Bhilwara,2001 - 2002,3.0,1.0,0.33,,,
,,2003 - 2004,9.0,5.0,0.56,,,
,,2004 - 2005,3.0,,0.0,,,
,,2005 - 2006,32.0,4.0,0.13,,,
,,2006 - 2007,27.0,5.0,0.19,,,
,,2012 - 2013,3.0,1.0,0.33,,,
,,2014 - 2015,4.0,2.0,0.5,,,
,,2015 - 2016,5.0,1.0,0.2,,,
,,2017 - 2018,1.0,,0.0,,,
,,2018 - 2019,3.0,1.0,0.33,,,
,,2019 - 2020,10.0,3.0,0.3,,,
,,2020 - 2021,1.0,0.0,0.0,,,
,,2022 - 2023,148.0,74.0,0.5,,,
,Bikaner,2000 - 2001,,,0.09,,,
,,2001 - 2002,,,0.17,,,
,,2002 - 2003,,,0.04,,,
,,2003 - 2004,,,0.52,,,
,,2004 - 2005,,,0.09,,,
,,2005 - 2006,,,0.09,,,
,,2006 - 2007,,,0.16,,,
,,2007 - 2008,,,0.24,,,
,,2008 - 2009,,,0.19,,,
,,2009 - 2010,,,0.04,,,
,,2010 - 2011,,,0.66,,,
,,2011 - 2012,,,0.28,,,
,,2012 - 2013,,,0.15,,,
,,2013 - 2014,,,0.25,,,
,,2014 - 2015,,,0.39,,,
,,2015 - 2016,,,0.28,,,
,,2016 - 2017,,,0.46,,,
,,2017 - 2018,,,0.38,,,
,,2018 - 2019,,,0.28,,,
,,2019 - 2020,,,0.22,,,
,,2020 - 2021,,,0.18,,,
,,2021 - 2022,,,0.28,,,
,,2022 - 2023,,,0.46,,,
,Bundi,2000 - 2001,416.0,61.0,0.15,,,
,,2005 - 2006,14.0,2.0,0.14,,,
,,2006 - 2007,6.0,1.0,0.17,,,
,,2016 - 2017,1.0,,0.0,,,
,Chittorgarh,2000 - 2001,2.0,,0.0,,,
,,2001 - 2002,7.0,2.0,0.29,,,
,,2005 - 2006,1.0,,0.0,,,
,,2007 - 2008,33.0,10.0,0.3,,,
,,2015 - 2016,2.0,1.0,0.5,,,
,Churu,2000 - 2001,,,0.04,,,
,,2001 - 2002,,,0.27,,,
,,2002 - 2003,,,0.0,,,
,,2003 - 2004,,,0.45,,,
,,2004 - 2005,,,0.09,,,
,,2005 - 2006,,,0.06,,,
,,2006 - 2007,,,0.11,,,
,,2007 - 2008,,,0.47,,,
,,2008 - 2009,,,0.31,,,
,,2009 - 2010,,,0.01,,,
,,2010 - 2011,,,0.34,,,
,,2011 - 2012,,,0.25,,,
,,2012 - 2013,,,0.28,,,
,,2013 - 2014,,,0.27,,,
,,2014 - 2015,,,0.4,,,
,,2015 - 2016,,,0.29,,,
,,2016 - 2017,,,0.3,,,
,,2017 - 2018,,,0.28,,,
,,2018 - 2019,,,0.25,,,
,,2019 - 2020,,,0.26,,,
,,2020 - 2021,,,0.31,,,
,,2021 - 2022,,,0.11,,,
,,2022 - 2023,,,0.34,,,
,Dausa,2000 - 2001,145.0,10.0,0.07,,,
,,2001 - 2002,109.0,26.0,0.24,,,
,,2002 - 2003,77.0,3.0,0.04,,,
,,2003 - 2004,91.0,48.0,0.53,,,
,,2004 - 2005,73.0,10.0,0.14,,,
,,2005 - 2006,228.0,28.0,0.12,,,
,,2006 - 2007,120.0,20.0,0.17,,,
,,2007 - 2008,106.0,33.0,0.31,,,
,,2008 - 2009,117.0,31.0,0.26,,,
,,2009 - 2010,94.0,3.0,0.03,,,
,,2010 - 2011,141.0,69.0,0.49,,,
,,2011 - 2012,149.0,51.0,0.34,,,
,,2012 - 2013,89.0,24.0,0.27,,,
,,2013 - 2014,83.0,23.0,0.28,,,
,,2014 - 2015,15.0,6.0,0.4,,,
,,2015 - 2016,35.0,10.0,0.29,,,
,,2016 - 2017,36.0,11.0,0.31,,,
,,2017 - 2018,23.0,7.0,0.3,,,
,,2018 - 2019,23.0,5.0,0.22,,,
,,2019 - 2020,3.0,1.0,0.33,,,
,,2020 - 2021,2.0,1.0,0.5,,,
,Dholpur,2000 - 2001,15.0,2.0,0.13,,,
,,2001 - 2002,12.0,3.0,0.25,,,
,,2002 - 2003,11.0,1.0,0.09,,,
,,2003 - 2004,9.0,5.0,0.56,,,
,,2004 - 2005,2.0,,0.0,,,
,,2005 - 2006,10.0,1.0,0.1,,,
,,2006 - 2007,10.0,2.0,0.2,,,
,,2007 - 2008,16.0,5.0,0.31,,,
,,2008 - 2009,12.0,3.0,0.25,,,
,,2009 - 2010,3.0,,0.0,,,
,,2010 - 2011,8.0,4.0,0.5,,,
,,2011 - 2012,4.0,1.0,0.25,,,
,,2012 - 2013,2.0,1.0,0.5,,,
,,2013 - 2014,1.0,,0.0,,,
,,2016 - 2017,112.0,35.0,0.31,,,
,,2018 - 2019,13.0,3.0,0.23,,,
,,2020 - 2021,3.0,1.0,0.33,,,
,Dungarpur,2003 - 2004,18.0,10.0,0.56,,,
,,2012 - 2013,2.0,1.0,0.5,,,
,,2014 - 2015,5.0,2.0,0.4,,,
,,2016 - 2017,13.0,4.0,0.31,,,
,,2017 - 2018,8.0,2.0,0.25,,,
,,2018 - 2019,3.0,1.0,0.33,,,
,,2019 - 2020,40.0,13.0,0.33,,,
,,2020 - 2021,9.0,3.0,0.33,,,
,,2021 - 2022,9.0,2.0,0.22,,,
,,2022 - 2023,1.0,1.0,1.0,,,
,Ganganagar,2000 - 2001,279.0,41.0,0.15,,,
,,2001 - 2002,,,0.24,,,
,,2002 - 2003,,257.0,0.04,,,
,,2003 - 2004,,,0.46,,,
,,2004 - 2005,,373.0,0.24,,,
,,2005 - 2006,,209.0,0.18,,,
,,2006 - 2007,,616.0,0.39,,,
,,2007 - 2008,,,0.45,,,
,,2008 - 2009,,853.0,0.48,,,
,,2009 - 2010,,560.0,0.31,,,
,,2010 - 2011,,,0.49,,,
,,2011 - 2012,,,0.6,,,
,,2012 - 2013,576.0,434.0,0.75,,,
,,2013 - 2014,309.0,128.0,0.41,,,
,,2014 - 2015,,929.0,0.51,,,
,,2015 - 2016,351.0,131.0,0.37,,,
,,2016 - 2017,,620.0,0.31,,,
,,2017 - 2018,,734.0,0.5,,,
,,2018 - 2019,,511.0,0.33,,,
,,2019 - 2020,,,0.31,,,
,,2020 - 2021,,751.0,0.28,,,
,,2021 - 2022,,613.0,0.32,,,
,,2022 - 2023,,,0.63,,,
,Hanumangarh,2000 - 2001,,,0.12,,,
,,2001 - 2002,,,0.41,,,
,,2002 - 2003,,,0.16,,,
,,2003 - 2004,,,0.54,,,
,,2004 - 2005,,,0.14,,,
,,2005 - 2006,,,0.16,,,
,,2006 - 2007,,,0.27,,,
,,2007 - 2008,,,0.42,,,
,,2008 - 2009,,,0.45,,,
,,2009 - 2010,,,0.14,,,
,,2010 - 2011,,,0.43,,,
,,2011 - 2012,,,0.35,,,
,,2012 - 2013,,,0.99,,,
,,2013 - 2014,,,0.42,,,
,,2014 - 2015,,,0.52,,,
,,2015 - 2016,,,0.37,,,
,,2016 - 2017,,,0.27,,,
,,2017 - 2018,,,0.37,,,
,,2018 - 2019,,,0.26,,,
,,2019 - 2020,,,0.16,,,
,,2020 - 2021,,,0.24,,,
,,2021 - 2022,,,0.21,,,
,,2022 - 2023,,,0.26,,,
,Jaipur,2000 - 2001,,133.0,0.09,,,
,,2001 - 2002,,435.0,0.24,,,
,,2002 - 2003,,,0.0,,,
,,2003 - 2004,967.0,425.0,0.44,,,
,,2004 - 2005,675.0,88.0,0.13,,,
,,2005 - 2006,668.0,81.0,0.12,,,
,,2006 - 2007,,183.0,0.17,,,
,,2007 - 2008,457.0,143.0,0.31,,,
,,2008 - 2009,405.0,108.0,0.27,,,
,,2009 - 2010,731.0,22.0,0.03,,,
,,2010 - 2011,580.0,282.0,0.49,,,
,,2011 - 2012,387.0,131.0,0.34,,,
,,2012 - 2013,822.0,225.0,0.27,,,
,,2013 - 2014,205.0,59.0,0.29,,,
,,2014 - 2015,538.0,211.0,0.39,,,
,,2015 - 2016,124.0,34.0,0.27,,,
,,2016 - 2017,178.0,56.0,0.31,,,
,,2017 - 2018,89.0,28.0,0.31,,,
,,2018 - 2019,57.0,13.0,0.23,,,
,,2019 - 2020,45.0,15.0,0.33,,,
,,2020 - 2021,118.0,39.0,0.33,,,
,,2021 - 2022,48.0,10.0,0.21,,,
,,2022 - 2023,27.0,13.0,0.48,,,
,Jaisalmer,2000 - 2001,142.0,21.0,0.15,,,
,,2001 - 2002,,541.0,0.24,,,
,,2002 - 2003,,66.0,0.04,,,
,,2003 - 2004,,,0.53,,,
,,2004 - 2005,,163.0,0.13,,,
,,2005 - 2006,636.0,77.0,0.12,,,
,,2006 - 2007,577.0,96.0,0.17,,,
,,2007 - 2008,360.0,113.0,0.31,,,
,,2008 - 2009,273.0,73.0,0.27,,,
,,2009 - 2010,469.0,15.0,0.03,,,
,,2010 - 2011,,,0.49,,,
,,2011 - 2012,,,0.34,,,
,,2012 - 2013,786.0,215.0,0.27,,,
,,2013 - 2014,136.0,39.0,0.29,,,
,,2014 - 2015,350.0,59.0,0.17,,,
,,2015 - 2016,,205.0,0.16,,,
,,2016 - 2017,,,0.37,,,
,,2017 - 2018,,,0.17,,,
,,2018 - 2019,,,0.25,,,
,,2019 - 2020,,,0.38,,,
,,2020 - 2021,,,0.36,,,
,,2021 - 2022,,,0.36,,,
,,2022 - 2023,,,0.38,,,
,Jalore,2000 - 2001,,,0.06,,,
,,2001 - 2002,,,0.11,,,
,,2002 - 2003,,,0.0,,,
,,2003 - 2004,,,0.55,,,
,,2004 - 2005,,297.0,0.02,,,
,,2005 - 2006,,,0.73,,,
,,2006 - 2007,,,0.75,,,
,,2007 - 2008,,,0.47,,,
,,2008 - 2009,,,0.38,,,
,,2009 - 2010,,,0.03,,,
,,2010 - 2011,,,0.71,,,
,,2011 - 2012,,,0.83,,,
,,2012 - 2013,,,0.83,,,
,,2013 - 2014,,,0.34,,,
,,2014 - 2015,,,0.38,,,
,,2015 - 2016,,240.0,0.02,,,
,,2016 - 2017,,,0.09,,,
,,2017 - 2018,,,0.18,,,
,,2018 - 2019,,3.0,0.0,,,
,,2019 - 2020,521.0,299.0,0.57,,,
,,2020 - 2021,320.0,199.0,0.62,,,
,,2021 - 2022,573.0,74.0,0.13,,,
,,2022 - 2023,78.0,67.0,0.86,,,
,Jhalawar,2003 - 2004,15.0,8.0,0.53,,,
,Jhunjhunu,2000 - 2001,,69.0,0.07,,,
,,2001 - 2002,426.0,58.0,0.14,,,
,,2002 - 2003,250.0,,0.0,,,
,,2003 - 2004,,775.0,0.53,,,
,,2004 - 2005,,148.0,0.13,,,
,,2005 - 2006,961.0,117.0,0.12,,,
,,2006 - 2007,960.0,84.0,0.09,,,
,,2007 - 2008,,348.0,0.18,,,
,,2008 - 2009,,557.0,0.28,,,
,,2009 - 2010,,30.0,0.01,,,
,,2010 - 2011,,,0.49,,,
,,2011 - 2012,,552.0,0.29,,,
,,2012 - 2013,870.0,170.0,0.2,,,
,,2013 - 2014,305.0,101.0,0.33,,,
,,2014 - 2015,511.0,200.0,0.39,,,
,,2015 - 2016,499.0,137.0,0.27,,,
,,2016 - 2017,781.0,245.0,0.31,,,
,,2017 - 2018,271.0,28.0,0.1,,,
,,2018 - 2019,575.0,142.0,0.25,,,
,,2019 - 2020,111.0,37.0,0.33,,,
,,2020 - 2021,88.0,29.0,0.33,,,
,,2021 - 2022,109.0,22.0,0.2,,,
,,2022 - 2023,43.0,21.0,0.49,,,
,Jodhpur,2000 - 2001,,,0.06,,,
,,2001 - 2002,,,0.22,,,
,,2002 - 2003,,237.0,0.02,,,
,,2003 - 2004,,,0.28,,,
,,2004 - 2005,,,0.28,,,
,,2005 - 2006,,,0.07,,,
,,2006 - 2007,,,0.06,,,
,,2007 - 2008,,,0.25,,,
,,2008 - 2009,,,0.25,,,
,,2009 - 2010,,,0.01,,,
,,2010 - 2011,,,0.53,,,
,,2011 - 2012,,,0.5,,,
,,2012 - 2013,,,0.21,,,
,,2013 - 2014,,,0.43,,,
,,2014 - 2015,,,0.59,,,
,,2015 - 2016,,,0.38,,,
,,2016 - 2017,,,0.37,,,
,,2017 - 2018,,,0.48,,,
,,2018 - 2019,,,0.31,,,
,,2019 - 2020,,,0.58,,,
,,2020 - 2021,,,0.53,,,
,,2021 - 2022,,,0.36,,,
,,2022 - 2023,,,0.46,,,
,Karauli,2000 - 2001,52.0,8.0,0.15,,,
,,2001 - 2002,42.0,10.0,0.24,,,
,,2002 - 2003,16.0,1.0,0.06,,,
,,2003 - 2004,23.0,12.0,0.52,,,
,,2004 - 2005,52.0,7.0,0.13,,,
,,2005 - 2006,97.0,12.0,0.12,,,
,,2006 - 2007,94.0,16.0,0.17,,,
,,2007 - 2008,64.0,20.0,0.31,,,
,,2008 - 2009,63.0,17.0,0.27,,,
,,2009 - 2010,56.0,2.0,0.04,,,
,,2010 - 2011,85.0,41.0,0.48,,,
,,2011 - 2012,60.0,20.0,0.33,,,
,,2012 - 2013,65.0,18.0,0.28,,,
,,2013 - 2014,32.0,9.0,0.28,,,
,,2014 - 2015,23.0,9.0,0.39,,,
,,2015 - 2016,11.0,3.0,0.27,,,
,,2016 - 2017,2.0,1.0,0.5,,,
,,2017 - 2018,3.0,1.0,0.33,,,
,,2021 - 2022,20.0,4.0,0.2,,,
,Kota,2000 - 2001,7.0,1.0,0.14,,,
,,2003 - 2004,4.0,2.0,0.5,,,
,,2015 - 2016,1.0,,0.0,,,
,,2016 - 2017,1.0,,0.0,,,
,,2018 - 2019,1.0,,0.0,,,
,Nagaur,2000 - 2001,,,0.15,,,
,,2001 - 2002,,,0.21,,,
,,2002 - 2003,,,0.15,,,
,,2003 - 2004,,,0.5,,,
,,2004 - 2005,,,0.14,,,
,,2005 - 2006,,,0.27,,,
,,2006 - 2007,,,0.21,,,
,,2007 - 2008,,,0.32,,,
,,2008 - 2009,,,0.37,,,
,,2009 - 2010,,,0.05,,,
,,2010 - 2011,,,0.42,,,
,,2011 - 2012,,,0.31,,,
,,2012 - 2013,,,0.07,,,
,,2013 - 2014,,,0.17,,,
,,2014 - 2015,,,0.35,,,
,,2015 - 2016,,,0.31,,,
,,2016 - 2017,,,0.39,,,
,,2017 - 2018,,,0.3,,,
,,2018 - 2019,,,0.43,,,
,,2019 - 2020,,,0.41,,,
,,2020 - 2021,,,0.39,,,
,,2021 - 2022,,,0.3,,,
,,2022 - 2023,,,0.31,,,
,Pali,2000 - 2001,,259.0,0.08,,,
,,2001 - 2002,,634.0,0.18,,,
,,2002 - 2003,760.0,,0.0,,,
,,2003 - 2004,,921.0,0.25,,,
,,2004 - 2005,,439.0,0.17,,,
,,2005 - 2006,,308.0,0.1,,,
,,2006 - 2007,,761.0,0.26,,,
,,2007 - 2008,,782.0,0.24,,,
,,2008 - 2009,,294.0,0.1,,,
,,2009 - 2010,,50.0,0.02,,,
,,2010 - 2011,,938.0,0.26,,,
,,2011 - 2012,,449.0,0.23,,,
,,2012 - 2013,559.0,103.0,0.18,,,
,,2013 - 2014,568.0,25.0,0.04,,,
,,2014 - 2015,929.0,331.0,0.36,,,
,,2015 - 2016,524.0,153.0,0.29,,,
,,2016 - 2017,497.0,156.0,0.31,,,
,,2017 - 2018,311.0,96.0,0.31,,,
,,2018 - 2019,214.0,49.0,0.23,,,
,,2019 - 2020,384.0,127.0,0.33,,,
,,2020 - 2021,202.0,67.0,0.33,,,
,,2021 - 2022,91.0,18.0,0.2,,,
,,2022 - 2023,86.0,43.0,0.5,,,
,Pratapgarh,2013 - 2014,1.0,,0.0,,,
,,2015 - 2016,59.0,16.0,0.27,,,
,Rajsamand,2000 - 2001,17.0,2.0,0.12,,,
,,2001 - 2002,22.0,5.0,0.23,,,
,,2002 - 2003,9.0,,0.0,,,
,,2003 - 2004,17.0,9.0,0.53,,,
,,2004 - 2005,2.0,,0.0,,,
,,2005 - 2006,20.0,2.0,0.1,,,
,,2006 - 2007,7.0,1.0,0.14,,,
,,2007 - 2008,34.0,11.0,0.32,,,
,,2008 - 2009,6.0,2.0,0.33,,,
,,2009 - 2010,12.0,,0.0,,,
,,2010 - 2011,26.0,13.0,0.5,,,
,,2011 - 2012,4.0,1.0,0.25,,,
,,2012 - 2013,8.0,2.0,0.25,,,
,,2013 - 2014,11.0,3.0,0.27,,,
,,2014 - 2015,5.0,2.0,0.4,,,
,,2015 - 2016,25.0,7.0,0.28,,,
,,2016 - 2017,14.0,4.0,0.29,,,
,,2017 - 2018,3.0,1.0,0.33,,,
,,2018 - 2019,6.0,1.0,0.17,,,
,,2019 - 2020,16.0,5.0,0.31,,,
,,2020 - 2021,1.0,0.0,0.0,,,
,,2022 - 2023,1.0,1.0,1.0,,,
,Sawai madhopur,2000 - 2001,136.0,20.0,0.15,,,
,,2001 - 2002,174.0,41.0,0.24,,,
,,2002 - 2003,74.0,3.0,0.04,,,
,,2003 - 2004,30.0,16.0,0.53,,,
,,2004 - 2005,39.0,5.0,0.13,,,
,,2005 - 2006,72.0,9.0,0.13,,,
,,2006 - 2007,59.0,10.0,0.17,,,
,,2007 - 2008,83.0,26.0,0.31,,,
,,2008 - 2009,175.0,47.0,0.27,,,
,,2009 - 2010,94.0,3.0,0.03,,,
