state,district,year,arecanut_kharif_area_hectare,arecanut_kharif_production_tonne,arecanut_kharif_yield_tonne_per_hectare,arecanut_whole_year_area_hectare,arecanut_whole_year_production_tonne,arecanut_whole_year_yield_tonne_per_hectare,arecanut_rabi_area_hectare,arecanut_rabi_production_tonne,arecanut_rabi_yield_tonne_per_hectare
,,2018 - 2019,,,,,,,,,0.53
,,2019 - 2020,,,,,,,,555.0,0.26
,,2020 - 2021,,,,,,,,999.0,0.49
,,2021 - 2022,,,,,,,,999.0,0.49
,,2022 - 2023,,,,,,,,555.0,0.39
,Majuli,2019 - 2020,,,,,,,380.0,174.0,0.46
,,2020 - 2021,,,,,,,315.0,148.0,0.47
,,2021 - 2022,,,,,,,315.0,148.0,0.47
,,2022 - 2023,,,,,,,330.0,155.0,0.47
,Marigaon,2000 - 2001,,,,,478.0,0.34,,,
,,2001 - 2002,,,,,,0.82,,,
,,2002 - 2003,,,,,734.0,0.52,,,
,,2003 - 2004,,,,,,0.97,,,
,,2005 - 2006,,,,,,1.04,,,
,,2006 - 2007,,,,,848.0,0.68,,,
,,2007 - 2008,,,,,945.0,0.76,,,
,,2008 - 2009,,,,,,1.14,,,
,,2009 - 2010,,,,,,1.01,,,
,,2010 - 2011,,,,,,,,,1.01
,,2011 - 2012,,,,,,,,,0.73
,,2012 - 2013,,,,,,,,856.0,0.6
,,2013 - 2014,,,,,,,,,0.74
,,2014 - 2015,,,,,,,,,0.97
,,2015 - 2016,,,,,,,,938.0,0.71
,,2016 - 2017,,,,,,,,,0.77
,,2017 - 2018,,,,,,,,,0.82
,,2018 - 2019,,,,,,,,,0.76
,,2019 - 2020,,,,,,,,,0.75
,,2020 - 2021,,,,,,,,,0.72
,,2021 - 2022,,,,,,,,,0.72
,,2022 - 2023,,,,,,,,,0.72
,Nagaon,2000 - 2001,,,,,,1.0,,,
,,2001 - 2002,,,,,,1.42,,,
,,2002 - 2003,,,,,,0.78,,,
,,2003 - 2004,,,,,,1.24,,,
,,2005 - 2006,,,,,,1.32,,,
,,2006 - 2007,,,,,,0.93,,,
,,2007 - 2008,,,,,,0.99,,,
,,2008 - 2009,,,,,,1.39,,,
,,2009 - 2010,,,,,,1.24,,,
,,2010 - 2011,,,,,,,,,1.24
,,2011 - 2012,,,,,,,,,1.33
,,2012 - 2013,,,,,,,,,0.97
,,2013 - 2014,,,,,,,,,1.61
,,2014 - 2015,,,,,,,,,1.81
,,2015 - 2016,,,,,,,,,0.93
,,2016 - 2017,,,,,,,,,0.55
,,2017 - 2018,,,,,,,,,0.56
,,2018 - 2019,,,,,,,,,0.47
,,2019 - 2020,,,,,,,,,0.67
,,2020 - 2021,,,,,,,,,0.27
,,2021 - 2022,,,,,,,,,0.27
,,2022 - 2023,,,,,,,,956.0,0.22
,Nalbari,2000 - 2001,,,,,,1.14,,,
,,2001 - 2002,,,,,,0.95,,,
,,2002 - 2003,,,,,,0.99,,,
,,2003 - 2004,,,,,,1.54,,,
,,2005 - 2006,,,,,,1.04,,,
,,2006 - 2007,,,,,,0.98,,,
,,2007 - 2008,,,,,,1.01,,,
,,2008 - 2009,,,,,,0.93,,,
,,2009 - 2010,,,,,,1.08,,,
,,2010 - 2011,,,,,,,,,1.08
,,2011 - 2012,,,,,,,,,0.8
,,2012 - 2013,,,,,,,,,0.99
,,2013 - 2014,,,,,,,,,1.02
,,2014 - 2015,,,,,,,,,1.26
,,2015 - 2016,,,,,,,,,1.09
,,2016 - 2017,,,,,,,,,0.9
,,2017 - 2018,,,,,,,,,0.96
,,2018 - 2019,,,,,,,,,0.84
,,2019 - 2020,,,,,,,,,0.9
,,2020 - 2021,,,,,,,,,0.75
,,2021 - 2022,,,,,,,,,0.75
,,2022 - 2023,,,,,,,,32.0,0.02
,Sivasagar,2000 - 2001,,,,,,1.7,,,
,,2001 - 2002,,,,,,1.1,,,
,,2002 - 2003,,,,,,0.63,,,
,,2003 - 2004,,,,,,0.84,,,
,,2005 - 2006,,,,,,0.82,,,
,,2006 - 2007,,,,,,0.66,,,
,,2007 - 2008,,,,,,0.75,,,
,,2008 - 2009,,,,,,0.77,,,
,,2009 - 2010,,,,,,0.73,,,
,,2010 - 2011,,,,,,,,,0.73
,,2011 - 2012,,,,,,,,,0.56
,,2012 - 2013,,,,,,,,,0.74
,,2013 - 2014,,,,,,,,,0.79
,,2014 - 2015,,,,,,,,,0.57
,,2015 - 2016,,,,,,,,,0.57
,,2016 - 2017,,,,,,,,,0.59
,,2017 - 2018,,,,,,,,,0.71
,,2018 - 2019,,,,,,,,,0.62
,,2019 - 2020,,,,,,,795.0,363.0,0.46
,,2020 - 2021,,,,,,,810.0,415.0,0.51
,,2021 - 2022,,,,,,,810.0,415.0,0.51
,,2022 - 2023,,,,,,,738.0,379.0,0.51
,Sonitpur,2000 - 2001,,,,,,0.65,,,
,,2001 - 2002,,,,,,1.2,,,
,,2002 - 2003,,,,,,0.92,,,
,,2003 - 2004,,,,,,0.74,,,
,,2005 - 2006,,,,,,0.89,,,
,,2006 - 2007,,,,,,1.25,,,
,,2007 - 2008,,,,,,0.73,,,
,,2008 - 2009,,,,,,1.13,,,
,,2009 - 2010,,,,,,1.31,,,
,,2010 - 2011,,,,,,,,,1.31
,,2011 - 2012,,,,,,,,,0.69
,,2012 - 2013,,,,,,,,,1.18
,,2013 - 2014,,,,,,,,,0.65
,,2014 - 2015,,,,,,,,,0.8
,,2015 - 2016,,,,,,,,,0.39
,,2016 - 2017,,,,,,,,,0.6
,,2017 - 2018,,,,,,,,,0.55
,,2018 - 2019,,,,,,,,,0.64
,,2019 - 2020,,,,,,,,,0.63
,,2020 - 2021,,,,,,,,849.0,0.32
,,2021 - 2022,,,,,,,,849.0,0.32
,,2022 - 2023,,,,,,,,975.0,0.32
,South salmara mancachar,2019 - 2020,,,,,,,227.0,108.0,0.48
,,2020 - 2021,,,,,,,226.0,188.0,0.83
,,2021 - 2022,,,,,,,226.0,188.0,0.83
,,2022 - 2023,,,,,,,225.0,184.0,0.82
,Tinsukia,2000 - 2001,,,,,,0.8,,,
,,2001 - 2002,,,,,,1.23,,,
,,2002 - 2003,,,,,,1.07,,,
,,2003 - 2004,,,,,,1.39,,,
,,2005 - 2006,,,,,,0.5,,,
,,2006 - 2007,,,,,,0.67,,,
,,2007 - 2008,,,,,,0.75,,,
,,2008 - 2009,,,,,,0.62,,,
,,2009 - 2010,,,,,,0.49,,,
,,2010 - 2011,,,,,,,,,0.49
,,2011 - 2012,,,,,,,,,0.83
,,2012 - 2013,,,,,,,,,0.9
,,2013 - 2014,,,,,,,,,0.94
,,2014 - 2015,,,,,,,,,3.01
,,2015 - 2016,,,,,,,,,4.44
,,2016 - 2017,,,,,,,,,1.83
,,2017 - 2018,,,,,,,,,1.8
,,2018 - 2019,,,,,,,,,1.19
,,2019 - 2020,,,,,,,,,2.78
,,2020 - 2021,,,,,,,,,1.82
,,2021 - 2022,,,,,,,,,1.82
,,2022 - 2023,,,,,,,,,1.82
,Udalguri,2006 - 2007,,,,,,0.52,,,
,,2007 - 2008,,,,,,0.84,,,
,,2008 - 2009,,,,,,0.96,,,
,,2009 - 2010,,,,,,0.84,,,
,,2010 - 2011,,,,,,,,,0.84
,,2011 - 2012,,,,,,,,,0.6
,,2012 - 2013,,,,,,,,,0.88
,,2013 - 2014,,,,,,,,,0.68
,,2014 - 2015,,,,,,,,,0.93
,,2015 - 2016,,,,,,,,,0.76
,,2016 - 2017,,,,,,,,,0.68
,,2017 - 2018,,,,,,,,,0.81
,,2018 - 2019,,,,,,,,,0.7
,,2019 - 2020,,,,,,,,,0.71
,,2020 - 2021,,,,,,,,,0.74
,,2021 - 2022,,,,,,,,,0.74
,,2022 - 2023,,,,,,,,,0.74
,West karbi anglong,2019 - 2020,,,,,,,580.0,342.0,0.59
,,2020 - 2021,,,,,,,699.0,357.0,0.51
,,2021 - 2022,,,,,,,699.0,357.0,0.51
,,2022 - 2023,,,,,,,699.0,357.0,0.51
Goa,North goa,2013 - 2014,,,,,,1.67,,,
,,2014 - 2015,,,,,,1.66,,,
,,2015 - 2016,,,,496.0,830.0,1.67,,,
,,2016 - 2017,,,,514.0,897.0,1.75,,,
,,2017 - 2018,,,,526.0,,2.2,,,
,,2018 - 2019,,,,526.0,,2.13,,,
,,2019 - 2020,,,,557.0,,2.16,,,
,,2020 - 2021,,,,559.0,,2.34,,,
,,2021 - 2022,,,,562.0,,2.35,,,
,,2022 - 2023,,,,565.0,,1.96,,,
,South goa,2013 - 2014,,,,272.0,437.0,1.61,,,
,,2014 - 2015,,,,278.0,452.0,1.63,,,
,,2015 - 2016,,,,,,1.66,,,
,,2016 - 2017,,,,,,1.7,,,
,,2017 - 2018,,,,,,1.64,,,
,,2018 - 2019,,,,,,1.66,,,
,,2019 - 2020,,,,,,1.77,,,
,,2020 - 2021,,,,,,1.82,,,
,,2021 - 2022,,,,,,1.86,,,
,,2022 - 2023,,,,,,1.89,,,
Karnataka,Bagalkot,2000 - 2001,,,,4.0,6.0,1.5,,,
,,2001 - 2002,,,,4.0,6.0,1.5,,,
,,2003 - 2004,,,,6.0,8.0,1.33,,,
,,2004 - 2005,,,,2.0,3.0,1.5,,,
,,2019 - 2020,,,,4.0,43.0,10.75,,,
,,2020 - 2021,,,,5.0,56.0,11.2,,,
,,2021 - 2022,,,,2.0,22.0,11.0,,,
,,2022 - 2023,,,,1.0,7.0,7.0,,,
,Bangalore rural,2000 - 2001,,,,514.0,719.0,1.4,,,
,,2001 - 2002,,,,,,1.4,,,
,,2003 - 2004,,,,,,1.4,,,
,,2004 - 2005,,,,,,1.4,,,
,,2005 - 2006,,,,,,6.74,,,
,,2006 - 2007,,,,,,1.4,,,
,,2007 - 2008,,,,,,6.73,,,
,,2008 - 2009,,,,,,6.73,,,
,,2009 - 2010,,,,,,6.73,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.18,,,
,,2022 - 2023,,,,,,9.45,,,
,Belgaum,2003 - 2004,,,,2.0,3.0,1.5,,,
,,2004 - 2005,,,,8.0,11.0,1.38,,,
,,2005 - 2006,,,,9.0,58.0,6.44,,,
,,2006 - 2007,,,,9.0,12.0,1.33,,,
,,2007 - 2008,,,,7.0,45.0,6.43,,,
,,2008 - 2009,,,,7.0,45.0,6.43,,,
,,2009 - 2010,,,,7.0,45.0,6.43,,,
,,2010 - 2011,,,,1.0,11.0,11.0,,,
,,2011 - 2012,,,,4.0,32.0,8.0,,,
,,2013 - 2014,,,,2.0,22.0,11.0,,,
,,2014 - 2015,,,,7.0,65.0,9.29,,,
,,2015 - 2016,,,,4.0,39.0,9.75,,,
,,2016 - 2017,,,,3.0,30.0,10.0,,,
,,2018 - 2019,,,,12.0,107.0,8.92,,,
,,2019 - 2020,,,,9.0,97.0,10.78,,,
,,2020 - 2021,,,,14.0,158.0,11.29,,,
,,2021 - 2022,,,,22.0,241.0,10.95,,,
,,2022 - 2023,,,,38.0,371.0,9.76,,,
,Bellary,2000 - 2001,,,,19.0,27.0,1.42,,,
,,2001 - 2002,,,,26.0,37.0,1.42,,,
,,2003 - 2004,,,,30.0,43.0,1.43,,,
,,2004 - 2005,,,,32.0,46.0,1.44,,,
,,2005 - 2006,,,,58.0,389.0,6.71,,,
,,2006 - 2007,,,,62.0,89.0,1.44,,,
,,2007 - 2008,,,,62.0,416.0,6.71,,,
,,2008 - 2009,,,,62.0,416.0,6.71,,,
,,2009 - 2010,,,,74.0,496.0,6.7,,,
,,2010 - 2011,,,,103.0,,10.82,,,
,,2011 - 2012,,,,108.0,875.0,8.1,,,
,,2012 - 2013,,,,132.0,,8.02,,,
,,2013 - 2014,,,,10.0,111.0,11.1,,,
,,2014 - 2015,,,,1.0,9.0,9.0,,,
,,2016 - 2017,,,,11.0,112.0,10.18,,,
,,2017 - 2018,,,,14.0,152.0,10.86,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.19,,,
,,2022 - 2023,,,,134.0,806.0,6.01,,,
,Bengaluru urban,2000 - 2001,,,,81.0,113.0,1.4,,,
,,2001 - 2002,,,,81.0,113.0,1.4,,,
,,2003 - 2004,,,,216.0,302.0,1.4,,,
,,2004 - 2005,,,,233.0,326.0,1.4,,,
,,2005 - 2006,,,,274.0,,6.73,,,
,,2006 - 2007,,,,247.0,346.0,1.4,,,
,,2007 - 2008,,,,326.0,,6.74,,,
,,2008 - 2009,,,,315.0,,6.74,,,
,,2009 - 2010,,,,384.0,,6.73,,,
,,2010 - 2011,,,,383.0,,10.81,,,
,,2011 - 2012,,,,401.0,,8.1,,,
,,2012 - 2013,,,,346.0,,8.03,,,
,,2013 - 2014,,,,464.0,,11.14,,,
,,2014 - 2015,,,,231.0,,9.25,,,
,,2015 - 2016,,,,222.0,,9.8,,,
,,2016 - 2017,,,,264.0,,10.16,,,
,,2017 - 2018,,,,297.0,,10.85,,,
,,2018 - 2019,,,,401.0,,8.93,,,
,,2019 - 2020,,,,651.0,,10.81,,,
,,2020 - 2021,,,,834.0,,11.26,,,
,,2021 - 2022,,,,836.0,,11.18,,,
,,2022 - 2023,,,,901.0,,7.15,,,
,Bijapur,2018 - 2019,,,,3.0,27.0,9.0,,,
,,2019 - 2020,,,,3.0,32.0,10.67,,,
,,2020 - 2021,,,,7.0,79.0,11.29,,,
,,2022 - 2023,,,,1.0,7.0,7.0,,,
,Chamarajanagar,2000 - 2001,,,,329.0,234.0,0.71,,,
,,2001 - 2002,,,,279.0,198.0,0.71,,,
,,2003 - 2004,,,,309.0,219.0,0.71,,,
,,2004 - 2005,,,,309.0,219.0,0.71,,,
,,2005 - 2006,,,,311.0,,3.51,,,
,,2006 - 2007,,,,311.0,221.0,0.71,,,
,,2007 - 2008,,,,317.0,,3.51,,,
,,2008 - 2009,,,,317.0,,3.51,,,
,,2009 - 2010,,,,331.0,,3.51,,,
,,2010 - 2011,,,,332.0,,10.81,,,
,,2011 - 2012,,,,332.0,,8.1,,,
,,2012 - 2013,,,,332.0,,8.03,,,
,,2013 - 2014,,,,297.0,,11.14,,,
,,2014 - 2015,,,,300.0,,9.25,,,
,,2015 - 2016,,,,301.0,,9.8,,,
,,2016 - 2017,,,,347.0,,10.16,,,
,,2017 - 2018,,,,351.0,,10.85,,,
,,2018 - 2019,,,,703.0,,8.93,,,
,,2019 - 2020,,,,793.0,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,992.0,,11.18,,,
,,2022 - 2023,,,,,,6.25,,,
,Chikballapur,2010 - 2011,,,,296.0,,10.81,,,
,,2011 - 2012,,,,159.0,,8.1,,,
,,2012 - 2013,,,,159.0,,8.03,,,
,,2013 - 2014,,,,159.0,,11.14,,,
,,2014 - 2015,,,,140.0,,9.25,,,
,,2015 - 2016,,,,182.0,,9.8,,,
,,2016 - 2017,,,,108.0,,10.16,,,
,,2017 - 2018,,,,110.0,,10.85,,,
,,2018 - 2019,,,,422.0,,8.93,,,
,,2019 - 2020,,,,413.0,,10.81,,,
,,2020 - 2021,,,,469.0,,11.26,,,
,,2021 - 2022,,,,618.0,,11.19,,,
,,2022 - 2023,,,,746.0,,7.65,,,
,Chikmagalur,2000 - 2001,,,,,,1.15,,,
,,2001 - 2002,,,,,,1.15,,,
,,2003 - 2004,,,,,,1.15,,,
,,2004 - 2005,,,,,,1.15,,,
,,2005 - 2006,,,,,,6.08,,,
,,2006 - 2007,,,,,,1.15,,,
,,2007 - 2008,,,,,,6.08,,,
,,2008 - 2009,,,,,,6.08,,,
,,2009 - 2010,,,,,,6.08,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,5.21,,,
,,2012 - 2013,,,,,,5.21,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,5.33,,,
,,2015 - 2016,,,,,,5.21,,,
,,2016 - 2017,,,,,,5.72,,,
,,2017 - 2018,,,,,,6.76,,,
,,2018 - 2019,,,,,,5.53,,,
,,2019 - 2020,,,,,,10.24,,,
,,2020 - 2021,,,,,,5.93,,,
,,2021 - 2022,,,,,,6.08,,,
,,2022 - 2023,,,,,,7.95,,,
,Chitradurga,2000 - 2001,,,,,,0.96,,,
,,2001 - 2002,,,,,,0.96,,,
,,2003 - 2004,,,,,,0.96,,,
,,2004 - 2005,,,,,,0.96,,,
,,2005 - 2006,,,,,,4.68,,,
,,2006 - 2007,,,,,,0.96,,,
,,2007 - 2008,,,,,,4.68,,,
,,2008 - 2009,,,,,,4.68,,,
,,2009 - 2010,,,,,,4.68,,,
,,2010 - 2011,,,,,,9.9,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,12.89,,,
,,2014 - 2015,,,,,,11.29,,,
,,2015 - 2016,,,,,,10.25,,,
,,2016 - 2017,,,,,,9.11,,,
,,2017 - 2018,,,,,,10.73,,,
,,2018 - 2019,,,,,,11.04,,,
,,2019 - 2020,,,,,,10.4,,,
,,2020 - 2021,,,,,,10.83,,,
,,2021 - 2022,,,,,,10.83,,,
,,2022 - 2023,,,,,,8.3,,,
,Dakshin kannad,2000 - 2001,,,,,,1.78,,,
,,2001 - 2002,,,,,,1.78,,,
,,2003 - 2004,,,,,,1.78,,,
,,2004 - 2005,,,,,,1.78,,,
,,2005 - 2006,,,,,,8.37,,,
,,2006 - 2007,,,,,,1.78,,,
,,2007 - 2008,,,,,,8.37,,,
,,2008 - 2009,,,,,,8.37,,,
,,2009 - 2010,,,,,,8.37,,,
,,2010 - 2011,,,,,,12.29,,,
,,2011 - 2012,,,,,,12.37,,,
,,2012 - 2013,,,,,,12.37,,,
,,2013 - 2014,,,,,,12.67,,,
,,2014 - 2015,,,,,,12.73,,,
,,2015 - 2016,,,,,,10.45,,,
,,2016 - 2017,,,,,,12.26,,,
,,2017 - 2018,,,,,,10.8,,,
,,2018 - 2019,,,,,,8.32,,,
,,2019 - 2020,,,,,,13.45,,,
,,2020 - 2021,,,,,,13.55,,,
,,2021 - 2022,,,,,,13.5,,,
,,2022 - 2023,,,,,,6.75,,,
,Davangere,2000 - 2001,,,,,,0.96,,,
,,2001 - 2002,,,,,,0.96,,,
,,2003 - 2004,,,,,,0.96,,,
,,2004 - 2005,,,,,,0.96,,,
,,2005 - 2006,,,,,,4.68,,,
,,2006 - 2007,,,,,,0.96,,,
,,2007 - 2008,,,,,,4.68,,,
,,2008 - 2009,,,,,,4.68,,,
,,2009 - 2010,,,,,,4.68,,,
,,2010 - 2011,,,,,,12.68,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,13.16,,,
,,2014 - 2015,,,,,,7.19,,,
,,2015 - 2016,,,,,,8.82,,,
,,2016 - 2017,,,,,,11.35,,,
,,2017 - 2018,,,,,,14.52,,,
,,2018 - 2019,,,,,,9.32,,,
,,2019 - 2020,,,,,,8.32,,,
,,2020 - 2021,,,,,,10.83,,,
,,2021 - 2022,,,,,,11.85,,,
,,2022 - 2023,,,,,,8.4,,,
,Dharwad,2000 - 2001,,,,17.0,24.0,1.41,,,
,,2001 - 2002,,,,10.0,14.0,1.4,,,
,,2003 - 2004,,,,8.0,11.0,1.38,,,
,,2004 - 2005,,,,11.0,15.0,1.36,,,
,,2005 - 2006,,,,15.0,101.0,6.73,,,
,,2006 - 2007,,,,18.0,25.0,1.39,,,
,,2007 - 2008,,,,17.0,114.0,6.71,,,
,,2008 - 2009,,,,9.0,61.0,6.78,,,
,,2009 - 2010,,,,15.0,101.0,6.73,,,
,,2010 - 2011,,,,16.0,173.0,10.81,,,
,,2011 - 2012,,,,16.0,130.0,8.13,,,
,,2012 - 2013,,,,4.0,32.0,8.0,,,
,,2013 - 2014,,,,17.0,189.0,11.12,,,
,,2014 - 2015,,,,14.0,130.0,9.29,,,
,,2015 - 2016,,,,18.0,176.0,9.78,,,
,,2016 - 2017,,,,29.0,295.0,10.17,,,
,,2017 - 2018,,,,32.0,347.0,10.84,,,
,,2018 - 2019,,,,101.0,902.0,8.93,,,
,,2019 - 2020,,,,110.0,,10.81,,,
,,2020 - 2021,,,,167.0,,11.26,,,
,,2021 - 2022,,,,156.0,,11.17,,,
,,2022 - 2023,,,,185.0,,8.11,,,
,Gadag,2003 - 2004,,,,2.0,3.0,1.5,,,
,,2004 - 2005,,,,3.0,4.0,1.33,,,
,,2005 - 2006,,,,3.0,19.0,6.33,,,
,,2006 - 2007,,,,3.0,4.0,1.33,,,
,,2007 - 2008,,,,3.0,19.0,6.33,,,
,,2008 - 2009,,,,3.0,19.0,6.33,,,
,,2009 - 2010,,,,3.0,19.0,6.33,,,
,,2010 - 2011,,,,3.0,32.0,10.67,,,
,,2014 - 2015,,,,5.0,46.0,9.2,,,
,,2015 - 2016,,,,2.0,20.0,10.0,,,
,,2016 - 2017,,,,2.0,20.0,10.0,,,
,,2017 - 2018,,,,3.0,33.0,11.0,,,
,,2018 - 2019,,,,9.0,80.0,8.89,,,
,,2019 - 2020,,,,17.0,184.0,10.82,,,
,,2020 - 2021,,,,20.0,225.0,11.25,,,
,,2021 - 2022,,,,38.0,427.0,11.24,,,
,,2022 - 2023,,,,145.0,907.0,6.26,,,
,Gulbarga,2018 - 2019,,,,1.0,9.0,9.0,,,
,Hassan,2000 - 2001,,,,,,0.98,,,
,,2001 - 2002,,,,,,0.98,,,
,,2003 - 2004,,,,,,0.98,,,
,,2004 - 2005,,,,,,0.98,,,
,,2005 - 2006,,,,,,5.35,,,
,,2006 - 2007,,,,,,0.98,,,
,,2007 - 2008,,,,,,5.35,,,
,,2008 - 2009,,,,,,5.35,,,
,,2009 - 2010,,,,,,5.35,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,7.21,,,
,,2012 - 2013,,,,,,7.21,,,
,,2013 - 2014,,,,,,7.82,,,
,,2014 - 2015,,,,32.0,296.0,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.5,,,
,,2022 - 2023,,,,,,6.45,,,
,Haveri,2000 - 2001,,,,360.0,503.0,1.4,,,
,,2001 - 2002,,,,507.0,708.0,1.4,,,
,,2003 - 2004,,,,634.0,886.0,1.4,,,
,,2004 - 2005,,,,717.0,,1.4,,,
,,2005 - 2006,,,,715.0,,6.74,,,
,,2006 - 2007,,,,794.0,,1.4,,,
,,2007 - 2008,,,,922.0,,6.74,,,
,,2008 - 2009,,,,,,6.74,,,
,,2009 - 2010,,,,,,6.74,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.18,,,
,,2022 - 2023,,,,,,8.7,,,
,Kodagu,2000 - 2001,,,,,,1.4,,,
,,2001 - 2002,,,,,,1.4,,,
,,2003 - 2004,,,,,,1.4,,,
,,2004 - 2005,,,,,,1.4,,,
,,2005 - 2006,,,,,,6.73,,,
,,2006 - 2007,,,,,,1.4,,,
,,2007 - 2008,,,,,,6.73,,,
,,2008 - 2009,,,,,,6.73,,,
,,2009 - 2010,,,,,,6.73,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,8.55,,,
,,2022 - 2023,,,,,,8.2,,,
,Kolar,2000 - 2001,,,,86.0,120.0,1.4,,,
,,2001 - 2002,,,,81.0,113.0,1.4,,,
,,2003 - 2004,,,,67.0,94.0,1.4,,,
,,2004 - 2005,,,,54.0,76.0,1.41,,,
,,2005 - 2006,,,,54.0,364.0,6.74,,,
,,2006 - 2007,,,,54.0,76.0,1.41,,,
,,2018 - 2019,,,,5.0,45.0,9.0,,,
,,2019 - 2020,,,,8.0,86.0,10.75,,,
,,2020 - 2021,,,,4.0,45.0,11.25,,,
,,2021 - 2022,,,,12.0,132.0,11.0,,,
,,2022 - 2023,,,,15.0,74.0,4.93,,,
,Koppal,2020 - 2021,,,,8.0,90.0,11.25,,,
,,2021 - 2022,,,,4.0,44.0,11.0,,,
,,2022 - 2023,,,,11.0,56.0,5.09,,,
,Mandya,2000 - 2001,,,,700.0,979.0,1.4,,,
,,2001 - 2002,,,,732.0,,1.4,,,
,,2003 - 2004,,,,816.0,,1.4,,,
,,2004 - 2005,,,,879.0,,1.4,,,
,,2005 - 2006,,,,833.0,,6.73,,,
,,2006 - 2007,,,,868.0,,1.4,,,
,,2007 - 2008,,,,620.0,,6.74,,,
,,2008 - 2009,,,,653.0,,6.74,,,
,,2009 - 2010,,,,851.0,,6.73,,,
,,2010 - 2011,,,,873.0,,10.81,,,
,,2011 - 2012,,,,883.0,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,986.0,,11.14,,,
,,2014 - 2015,,,,674.0,,9.25,,,
,,2015 - 2016,,,,873.0,,9.8,,,
,,2016 - 2017,,,,565.0,,10.16,,,
,,2017 - 2018,,,,370.0,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.18,,,
,,2022 - 2023,,,,,,5.75,,,
,Mysore,2000 - 2001,,,,400.0,284.0,0.71,,,
,,2001 - 2002,,,,798.0,566.0,0.71,,,
,,2003 - 2004,,,,645.0,458.0,0.71,,,
,,2004 - 2005,,,,676.0,480.0,0.71,,,
,,2005 - 2006,,,,556.0,,3.51,,,
,,2006 - 2007,,,,,728.0,0.71,,,
,,2007 - 2008,,,,911.0,,3.51,,,
,,2008 - 2009,,,,,,3.51,,,
,,2009 - 2010,,,,,,3.51,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.18,,,
,,2022 - 2023,,,,,,6.5,,,
,Ramanagara,2007 - 2008,,,,868.0,,6.74,,,
,,2008 - 2009,,,,,,6.73,,,
