state,district,year,garlic_rabi_yield_tonne_per_hectare
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jodhpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Kota,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sawai madhopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sikar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tonk,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Coimbatore,2002 - 2003,
,,2006 - 2007,
,,2021 - 2022,
,Cuddalore,2006 - 2007,
,Dharmapuri,2006 - 2007,
,,2009 - 2010,
,,2013 - 2014,
,Dindigul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanchipuram,2006 - 2007,
,,2015 - 2016,
,,2016 - 2017,
,Karur,2016 - 2017,
,,2018 - 2019,
,Krishnagiri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Madurai,2013 - 2014,
,Namakkal,2003 - 2004,
,,2006 - 2007,
,,2011 - 2012,
,,2013 - 2014,
,,2022 - 2023,
,Perambalur,2014 - 2015,
,Pudukkottai,2022 - 2023,
,Ramanathapuram,2014 - 2015,
,Ranipet,2021 - 2022,
,Salem,2006 - 2007,
,,2022 - 2023,
,Sivaganga,2003 - 2004,
,,2017 - 2018,
,Thanjavur,2022 - 2023,
,The nilgiris,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Thiruvallur,2013 - 2014,
,Thoothukudi,2014 - 2015,
,Tirunelveli,2018 - 2019,
,Tiruvannamalai,2005 - 2006,
,,2015 - 2016,
,Vellore,2003 - 2004,
,,2009 - 2010,
,Villupuram,2004 - 2005,
Telangana,Adilabad,2004 - 2005,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,1.96
,,2016 - 2017,0.88
,,2017 - 2018,1.33
,,2018 - 2019,2.6
,,2019 - 2020,5.0
,,2020 - 2021,0.0
,,2021 - 2022,
,Jagitial,2021 - 2022,4.0
,,2022 - 2023,3.0
,Kamareddy,2019 - 2020,4.5
,,2020 - 2021,0.0
,Karimnagar,2004 - 2005,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,3.5
,,2021 - 2022,4.0
,Khammam,2020 - 2021,0.0
,Mahbubnagar,2021 - 2022,4.0
,Mancherial,2021 - 2022,4.0
,Medak,2004 - 2005,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,5.09
,,2019 - 2020,4.5
,Narayanapet,2021 - 2022,4.0
,Nirmal,2016 - 2017,0.85
,,2017 - 2018,1.41
,,2018 - 2019,2.55
,,2019 - 2020,4.8
,,2020 - 2021,0.0
,Nizamabad,2004 - 2005,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,3.54
,,2016 - 2017,6.38
,,2017 - 2018,1.41
,,2018 - 2019,2.56
,,2019 - 2020,3.67
,,2020 - 2021,0.0
,,2021 - 2022,4.0
,Peddapalli,2021 - 2022,4.0
,Rajanna,2020 - 2021,0.0
,,2021 - 2022,4.0
,Rangareddi,2020 - 2021,
,Sangareddy,2016 - 2017,2.79
,,2017 - 2018,1.4
,,2018 - 2019,2.5
,,2020 - 2021,0.0
,,2021 - 2022,3.25
,,2022 - 2023,3.0
,Siddipet,2016 - 2017,2.8
,,2017 - 2018,1.39
,,2018 - 2019,2.57
,,2019 - 2020,5.0
,,2020 - 2021,0.0
,,2021 - 2022,5.27
,Vikarabad,2020 - 2021,0.0
,,2021 - 2022,4.0
,Wanaparthy,2020 - 2021,
,Warangal,2020 - 2021,0.0
,Warangal urban,2017 - 2018,1.41
,,2018 - 2019,2.0
Uttar Pradesh,Agra,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.38
,,2008 - 2009,5.89
,,2009 - 2010,5.35
,,2011 - 2012,5.16
,,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.78
,,2015 - 2016,5.8
,,2016 - 2017,6.33
,,2017 - 2018,5.35
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.9
,,2021 - 2022,6.18
,,2022 - 2023,6.08
,Aligarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Allahabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.88
,,2009 - 2010,5.31
,,2011 - 2012,5.2
,,2012 - 2013,5.2
,,2013 - 2014,5.83
,,2014 - 2015,5.82
,,2015 - 2016,6.0
,,2016 - 2017,6.38
,,2017 - 2018,5.38
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.91
,,2021 - 2022,6.15
,,2022 - 2023,6.07
,Ambedkar nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,10.63
,,2008 - 2009,5.88
,,2009 - 2010,5.31
,,2011 - 2012,5.18
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.67
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Amethi,2012 - 2013,5.2
,,2013 - 2014,5.87
,,2014 - 2015,5.78
,,2015 - 2016,6.0
,,2016 - 2017,6.37
,,2017 - 2018,5.36
,,2018 - 2019,6.61
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.16
,,2022 - 2023,6.06
,Amroha,2008 - 2009,6.0
,,2009 - 2010,5.5
,Auraiya,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,7.5
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Azamgarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.32
,,2011 - 2012,5.18
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.79
,,2016 - 2017,6.35
,,2017 - 2018,5.35
,,2018 - 2019,6.64
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.14
,,2022 - 2023,6.07
,Bahraich,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.63
,,2019 - 2020,6.01
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Ballia,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.35
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.16
,,2022 - 2023,6.06
,Balrampur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.41
,,2008 - 2009,5.9
,,2009 - 2010,5.32
,,2011 - 2012,5.16
,,2012 - 2013,5.2
,,2013 - 2014,5.85
,,2014 - 2015,5.8
,,2016 - 2017,6.35
,,2017 - 2018,5.34
,,2018 - 2019,6.64
,,2019 - 2020,6.0
,,2020 - 2021,5.92
,,2021 - 2022,6.14
,,2022 - 2023,6.07
,Banda,2005 - 2006,
,,2008 - 2009,5.9
,,2009 - 2010,5.27
,,2011 - 2012,5.33
,,2012 - 2013,5.33
,,2013 - 2014,6.0
,,2015 - 2016,5.77
,,2016 - 2017,6.0
,,2017 - 2018,5.33
,,2018 - 2019,6.67
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Barabanki,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Bareilly,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Basti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.88
,,2009 - 2010,5.32
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.85
,,2014 - 2015,5.79
,,2015 - 2016,5.77
,,2016 - 2017,6.37
,,2017 - 2018,5.34
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.17
,,2022 - 2023,6.06
,Bijnor,2006 - 2007,4.0
,,2008 - 2009,6.0
,,2009 - 2010,5.5
,Budaun,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Bulandshahr,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.87
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.21
,,2013 - 2014,5.87
,,2014 - 2015,5.78
,,2015 - 2016,5.77
,,2016 - 2017,6.37
,,2017 - 2018,5.34
,,2018 - 2019,6.61
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.08
,Chandauli,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2014 - 2015,6.0
,,2015 - 2016,6.0
,,2017 - 2018,5.0
,,2018 - 2019,7.0
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Chitrakoot,2009 - 2010,5.0
,,2011 - 2012,5.0
,Deoria,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.88
,,2009 - 2010,5.3
,,2011 - 2012,5.14
,,2012 - 2013,5.2
,,2013 - 2014,5.83
,,2014 - 2015,5.79
,,2015 - 2016,5.75
,,2016 - 2017,6.38
,,2017 - 2018,5.29
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.88
,,2021 - 2022,6.14
,,2022 - 2023,6.0
,Etah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Etawah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.12
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Faizabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.63
,,2008 - 2009,5.89
,,2009 - 2010,5.33
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.83
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Farrukhabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Fatehpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Firozabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Gautam buddha nagar,2005 - 2006,
,,2008 - 2009,6.0
,,2009 - 2010,5.5
,Ghaziabad,2005 - 2006,
,,2006 - 2007,4.0
,,2008 - 2009,5.9
,,2009 - 2010,5.33
,,2011 - 2012,5.0
,Ghazipur,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.91
,,2009 - 2010,5.33
,,2011 - 2012,5.2
,,2012 - 2013,5.13
,,2013 - 2014,5.85
,,2014 - 2015,5.86
,,2015 - 2016,5.75
,,2016 - 2017,6.33
,,2017 - 2018,5.4
,,2018 - 2019,6.67
,,2019 - 2020,6.0
,,2020 - 2021,5.92
,,2021 - 2022,6.2
,,2022 - 2023,6.06
,Gonda,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.38
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.87
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.07
,Gorakhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.33
,,2008 - 2009,6.0
,,2009 - 2010,5.33
,,2011 - 2012,5.15
,,2012 - 2013,5.5
,,2013 - 2014,6.0
,,2014 - 2015,6.0
,,2015 - 2016,6.0
,,2016 - 2017,6.0
,,2017 - 2018,5.0
,,2018 - 2019,7.0
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Hamirpur,2005 - 2006,
,,2008 - 2009,5.9
,,2009 - 2010,5.43
,,2011 - 2012,5.2
,,2012 - 2013,5.17
,,2013 - 2014,5.83
,,2014 - 2015,5.8
,,2016 - 2017,6.4
,,2017 - 2018,5.4
,,2018 - 2019,6.5
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.25
,,2022 - 2023,6.0
,Hapur,2013 - 2014,5.86
,,2016 - 2017,6.0
,Hardoi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Hathras,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.16
,,2022 - 2023,6.06
,Jalaun,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2011 - 2012,5.0
,,2014 - 2015,6.0
,,2015 - 2016,6.0
,,2017 - 2018,5.0
,,2018 - 2019,7.0
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,Jaunpur,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.91
,,2009 - 2010,5.32
,,2011 - 2012,5.19
,,2012 - 2013,5.2
,,2013 - 2014,5.85
,,2014 - 2015,5.77
,,2015 - 2016,5.75
,,2016 - 2017,6.37
,,2017 - 2018,5.37
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.96
,,2021 - 2022,6.15
,,2022 - 2023,6.05
,Jhansi,2004 - 2005,
,,2006 - 2007,4.5
,,2008 - 2009,5.8
,,2009 - 2010,5.5
,,2011 - 2012,5.11
,,2012 - 2013,5.33
,,2013 - 2014,5.89
,,2016 - 2017,6.5
,,2017 - 2018,5.33
,,2018 - 2019,6.67
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Kannauj,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Kanpur dehat,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.77
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Kanpur nagar,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.88
,,2009 - 2010,5.32
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.85
,,2014 - 2015,5.79
,,2015 - 2016,5.75
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.07
,Kasganj,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Kaushambi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.89
,,2009 - 2010,5.33
,,2011 - 2012,5.17
,,2012 - 2013,5.18
