state,district,corrected_state,corrected_district
Rajasthan,Banswara,Rajasthan,Banswara
Rajasthan,Baran,Rajasthan,Baran
Rajasthan,Barmer,Rajasthan,Barmer
Rajasthan,Bharatpur,Rajasthan,Bharatpur
Rajasthan,Bhilwara,Rajasthan,Bhilwara
Rajasthan,Bikaner,Rajasthan,Bikaner
Rajasthan,Bundi,Rajasthan,Bundi
Rajasthan,Chittorgarh,Rajasthan,Chittorgarh
Rajasthan,Churu,Rajasthan,Churu
Rajasthan,Dausa,Rajasthan,Dausa
Rajasthan,Dholpur,Rajasthan,Dholpur
Rajasthan,Dungarpur,Rajasthan,Dungarpur
Rajasthan,Ganganagar,Rajasthan,Ganganagar
Rajasthan,Hanumangarh,Rajasthan,Hanumangarh
Rajasthan,Jaipur,Rajasthan,Jaipur
Rajasthan,Jaisalmer,Rajasthan,Jaisalmer
Rajasthan,Jalore,Rajasthan,Jalore
Rajasthan,Jhalawar,Rajasthan,Jhalawar
Rajasthan,Jhunjhunu,Rajasthan,Jhunjhunu
Rajasthan,Jodhpur,Rajasthan,Jodhpur
Rajasthan,Karauli,Rajasthan,Karauli
Rajasthan,Kota,Rajasthan,Kota
Rajasthan,Nagaur,Rajasthan,Nagaur
Rajasthan,Pali,Rajasthan,Pali
Rajasthan,Pratapgarh,Rajasthan,Pratapgarh
Rajasthan,Rajsamand,Rajasthan,Rajsamand
Rajasthan,Sawai madhopur,Rajasthan,Sawai Madhopur
Rajasthan,Sikar,Rajasthan,Sikar
Rajasthan,Sirohi,Rajasthan,Sirohi
Rajasthan,Tonk,Rajasthan,Tonk
Rajasthan,Udaipur,Rajasthan,Udaipur
Sikkim,Gangtok,Sikkim,Gangtok
Sikkim,Geyzing,Sikkim,Gyalshing
Sikkim,Mangan,Sikkim,Mangan
Sikkim,Namchi,Sikkim,Namchi
Sikkim,Pakyong,Sikkim,Pakyong
Sikkim,Soreng,Sikkim,Soreng
Tamil Nadu,Ariyalur,Tamil Nadu,Ariyalur
Tamil Nadu,Chengalpattu,Tamil Nadu,Chengalpattu
Tamil Nadu,Chennai,Tamil Nadu,Chennai
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore
Tamil Nadu,Cuddalore,Tamil Nadu,Cuddalore
Tamil Nadu,Dharmapuri,Tamil Nadu,Dharmapuri
Tamil Nadu,Dindigul,Tamil Nadu,Dindigul
Tamil Nadu,Erode,Tamil Nadu,Erode
Tamil Nadu,Kallakurichi,Tamil Nadu,Kallakurichi
Tamil Nadu,Kanchipuram,Tamil Nadu,Kanchipuram
Tamil Nadu,Kanniyakumari,Tamil Nadu,Kanniyakumari
Tamil Nadu,Karur,Tamil Nadu,Karur
Tamil Nadu,Krishnagiri,Tamil Nadu,Krishnagiri
Tamil Nadu,Madurai,Tamil Nadu,Madurai
Tamil Nadu,Mayiladuthurai,Tamil Nadu,Mayiladuthurai
Tamil Nadu,Nagapattinam,Tamil Nadu,Nagapattinam
Tamil Nadu,Namakkal,Tamil Nadu,Namakkal
Tamil Nadu,Perambalur,Tamil Nadu,Perambalur
Tamil Nadu,Pudukkottai,Tamil Nadu,Pudukkottai
Tamil Nadu,Ramanathapuram,Tamil Nadu,Ramanathapuram
Tamil Nadu,Ranipet,Tamil Nadu,Ranipet
Tamil Nadu,Salem,Tamil Nadu,Salem
Tamil Nadu,Sivaganga,Tamil Nadu,Sivaganga
Tamil Nadu,Thanjavur,Tamil Nadu,Thanjavur
Tamil Nadu,The nilgiris,Tamil Nadu,The Nilgiris
Tamil Nadu,Theni,Tamil Nadu,Theni
Tamil Nadu,Thenkasi,Tamil Nadu,Tenkasi
Tamil Nadu,Thiruvallur,Tamil Nadu,Thiruvallur
Tamil Nadu,Thiruvarur,Tamil Nadu,Thiruvarur
Tamil Nadu,Thoothukudi,Tamil Nadu,Tuticorin
Tamil Nadu,Tiruchirappalli,Tamil Nadu,Tiruchirappalli
Tamil Nadu,Tirunelveli,Tamil Nadu,Tirunelveli
Tamil Nadu,Tirupathur,Tamil Nadu,Tirupathur
Tamil Nadu,Tiruppur,Tamil Nadu,Tiruppur
Tamil Nadu,Tiruvannamalai,Tamil Nadu,Tiruvannamalai
Tamil Nadu,Vellore,Tamil Nadu,Vellore
Tamil Nadu,Villupuram,Tamil Nadu,Villupuram
Tamil Nadu,Virudhunagar,Tamil Nadu,Virudhunagar
Telangana,Adilabad,Telangana,Adilabad
Telangana,Bhadradri,Telangana,Bhadradri Kothagudem
Telangana,Hyderabad,Telangana,Hyderabad
Telangana,Jagitial,Telangana,Jagitial
Telangana,Jangoan,Telangana,Jangoan
Telangana,Jayashankar,Telangana,Jayashankar Bhupalapally
Telangana,Jogulamba,Telangana,Jogulamba Gadwal
Telangana,Kamareddy,Telangana,Kamareddy
Telangana,Karimnagar,Telangana,Karimnagar
Telangana,Khammam,Telangana,Khammam
Telangana,Komaram bheem asifabad,Telangana,Kumuram Bheem Asifabad
Telangana,Mahabubabad,Telangana,Mahabubabad
Telangana,Mahbubnagar,Telangana,Mahabubnagar
Telangana,Mancherial,Telangana,Mancherial
Telangana,Medak,Telangana,Medak
Telangana,Medchal,Telangana,Medchal Malkajgiri
Telangana,Mulugu,Telangana,Mulugu
Telangana,Nagarkurnool,Telangana,Nagarkurnool
Telangana,Nalgonda,Telangana,Nalgonda
Telangana,Narayanapet,Telangana,Narayanpet
Telangana,Nirmal,Telangana,Nirmal
Telangana,Nizamabad,Telangana,Nizamabad
Telangana,Peddapalli,Telangana,Peddapalli
Telangana,Rajanna,Telangana,Rajanna Sircilla
Telangana,Rangareddi,Telangana,Ranga Reddy
Telangana,Sangareddy,Telangana,Sangareddy
Telangana,Siddipet,Telangana,Siddipet
Telangana,Suryapet,Telangana,Suryapet
Telangana,Vikarabad,Telangana,Vikarabad
Telangana,Wanaparthy,Telangana,Wanaparthy
Telangana,Warangal,Telangana,Warangal
Telangana,Warangal urban,Telangana,Warangal
Telangana,Yadadri,Telangana,Yadadri Bhuvanagiri
Tripura,Dhalai,Tripura,Dhalai
Tripura,Gomati,Tripura,Gomati
Tripura,Khowai,Tripura,Khowai
Tripura,North tripura,Tripura,North Tripura
Tripura,Sepahijala,Tripura,Sepahijala
Tripura,South tripura,Tripura,South Tripura
Tripura,Unakoti,Tripura,Unakoti
Tripura,West tripura,Tripura,West Tripura
Uttar Pradesh,Agra,Uttar Pradesh,Agra
Uttar Pradesh,Aligarh,Uttar Pradesh,Aligarh
Uttar Pradesh,Allahabad,Uttar Pradesh,Prayagraj
Uttar Pradesh,Ambedkar nagar,Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Amethi,Uttar Pradesh,Amethi
Uttar Pradesh,Amroha,Uttar Pradesh,Amroha
Uttar Pradesh,Auraiya,Uttar Pradesh,Auraiya
Uttar Pradesh,Azamgarh,Uttar Pradesh,Azamgarh
Uttar Pradesh,Baghpat,Uttar Pradesh,Baghpat
Uttar Pradesh,Bahraich,Uttar Pradesh,Bahraich
Uttar Pradesh,Ballia,Uttar Pradesh,Ballia
Uttar Pradesh,Balrampur,Uttar Pradesh,Balrampur
Uttar Pradesh,Banda,Uttar Pradesh,Banda
Uttar Pradesh,Barabanki,Uttar Pradesh,Barabanki
Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly
Uttar Pradesh,Basti,Uttar Pradesh,Basti
Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor
Uttar Pradesh,Budaun,Uttar Pradesh,Budaun
Uttar Pradesh,Bulandshahr,Uttar Pradesh,Bulandshahr
Uttar Pradesh,Chandauli,Uttar Pradesh,Chandauli
Uttar Pradesh,Chitrakoot,Uttar Pradesh,Chitrakoot
Uttar Pradesh,Deoria,Uttar Pradesh,Deoria
Uttar Pradesh,Etah,Uttar Pradesh,Etah
Uttar Pradesh,Etawah,Uttar Pradesh,Etawah
Uttar Pradesh,Faizabad,Uttar Pradesh,Ayodhya
Uttar Pradesh,Farrukhabad,Uttar Pradesh,Farrukhabad
Uttar Pradesh,Fatehpur,Uttar Pradesh,Fatehpur
Uttar Pradesh,Firozabad,Uttar Pradesh,Firozabad
Uttar Pradesh,Gautam buddha nagar,Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad
Uttar Pradesh,Ghazipur,Uttar Pradesh,Ghazipur
Uttar Pradesh,Gonda,Uttar Pradesh,Gonda
Uttar Pradesh,Gorakhpur,Uttar Pradesh,Gorakhpur
Uttar Pradesh,Hamirpur,Uttar Pradesh,Hamirpur
Uttar Pradesh,Hapur,Uttar Pradesh,Hapur
Uttar Pradesh,Hardoi,Uttar Pradesh,Hardoi
Uttar Pradesh,Hathras,Uttar Pradesh,Hathras
Uttar Pradesh,Jalaun,Uttar Pradesh,Jalaun
Uttar Pradesh,Jaunpur,Uttar Pradesh,Jaunpur
Uttar Pradesh,Jhansi,Uttar Pradesh,Jhansi
Uttar Pradesh,Kannauj,Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur dehat,Uttar Pradesh,Kanpur Dehat
Uttar Pradesh,Kanpur nagar,Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Kasganj,Uttar Pradesh,Kasganj
Uttar Pradesh,Kaushambi,Uttar Pradesh,Kaushambi
Uttar Pradesh,Kheri,Uttar Pradesh,Kheri
Uttar Pradesh,Kushi nagar,Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Lalitpur,Uttar Pradesh,Lalitpur
Uttar Pradesh,Lucknow,Uttar Pradesh,Lucknow
Uttar Pradesh,Maharajganj,Uttar Pradesh,Maharajganj
Uttar Pradesh,Mahoba,Uttar Pradesh,Mahoba
Uttar Pradesh,Mainpuri,Uttar Pradesh,Mainpuri
Uttar Pradesh,Mathura,Uttar Pradesh,Mathura
Uttar Pradesh,Mau,Uttar Pradesh,Mau
Uttar Pradesh,Meerut,Uttar Pradesh,Meerut
Uttar Pradesh,Mirzapur,Uttar Pradesh,Mirzapur
Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad
Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Pilibhit,Uttar Pradesh,Pilibhit
Uttar Pradesh,Pratapgarh,Uttar Pradesh,Pratapgarh
Uttar Pradesh,Rae bareli,Uttar Pradesh,Rae Bareli
Uttar Pradesh,Rampur,Uttar Pradesh,Rampur
Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur
Uttar Pradesh,Sambhal,Uttar Pradesh,Sambhal
Uttar Pradesh,Sant kabeer nagar,Uttar Pradesh,Sant Kabeer Nagar
Uttar Pradesh,Sant ravidas nagar,Uttar Pradesh,Bhadohi
Uttar Pradesh,Shahjahanpur,Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Shamli,Uttar Pradesh,Shamli
Uttar Pradesh,Shravasti,Uttar Pradesh,Shravasti
Uttar Pradesh,Siddharth nagar,Uttar Pradesh,Siddharth Nagar
Uttar Pradesh,Sitapur,Uttar Pradesh,Sitapur
Uttar Pradesh,Sonbhadra,Uttar Pradesh,Sonbhadra
Uttar Pradesh,Sultanpur,Uttar Pradesh,Sultanpur
Uttar Pradesh,Unnao,Uttar Pradesh,Unnao
Uttar Pradesh,Varanasi,Uttar Pradesh,Varanasi
Uttarakhand,Almora,Uttarakhand,Almora
Uttarakhand,Bageshwar,Uttarakhand,Bageshwar
Uttarakhand,Chamoli,Uttarakhand,Chamoli
Uttarakhand,Champawat,Uttarakhand,Champawat
Uttarakhand,Dehradun,Uttarakhand,Dehradun
Uttarakhand,Haridwar,Uttarakhand,Haridwar
Uttarakhand,Nainital,Uttarakhand,Nainital
Uttarakhand,Pauri garhwal,Uttarakhand,Pauri Garhwal
Uttarakhand,Pithoragarh,Uttarakhand,Pithoragarh
Uttarakhand,Rudra prayag,Uttarakhand,Rudra Prayag
Uttarakhand,Tehri garhwal,Uttarakhand,Tehri Garhwal
Uttarakhand,Udam singh nagar,Uttarakhand,Udam Singh Nagar
Uttarakhand,Uttar kashi,Uttarakhand,Uttar Kashi
West Bengal,24 paraganas north,West Bengal,24 Paraganas North
West Bengal,24 paraganas south,West Bengal,24 Paraganas South
West Bengal,Alipurduar,West Bengal,Alipurduar
West Bengal,Bankura,West Bengal,Bankura
West Bengal,Birbhum,West Bengal,Birbhum
West Bengal,Coochbehar,West Bengal,Coochbehar
West Bengal,Darjeeling,West Bengal,Darjeeling
West Bengal,Dinajpur dakshin,West Bengal,Dinajpur Dakshin
West Bengal,Dinajpur uttar,West Bengal,Dinajpur Uttar
West Bengal,Hooghly,West Bengal,Hooghly
West Bengal,Howrah,West Bengal,Howrah
West Bengal,Jalpaiguri,West Bengal,Jalpaiguri
West Bengal,Jhargram,West Bengal,Jhargram
West Bengal,Kalimpong,West Bengal,Kalimpong
West Bengal,Maldah,West Bengal,Maldah
West Bengal,Medinipur east,West Bengal,Medinipur East
West Bengal,Medinipur west,West Bengal,Medinipur West
West Bengal,Murshidabad,West Bengal,Murshidabad
West Bengal,Nadia,West Bengal,Nadia
West Bengal,Paschim bardhaman,West Bengal,Paschim Bardhaman
West Bengal,Purba bardhaman,West Bengal,Purba Bardhaman
West Bengal,Purulia,West Bengal,Purulia
