state,district,year,rice_kharif_yield_tonne_per_hectare
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,3.59
,,2001 - 2002,2.64
,,2002 - 2003,2.07
,,2003 - 2004,1.84
,,2004 - 2005,2.95
,,2005 - 2006,2.42
,,2006 - 2007,3.04
,,2007 - 2008,1.8
,,2008 - 2009,1.87
,,2009 - 2010,1.98
,,2010 - 2011,2.25
,,2011 - 2012,3.61
,,2012 - 2013,2.88
,,2013 - 2014,1.65
,,2014 - 2015,4.15
,,2015 - 2016,3.52
,,2016 - 2017,1.07
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,0.7
,,2001 - 2002,1.36
,,2002 - 2003,1.27
,,2003 - 2004,0.17
,,2004 - 2005,2.01
,,2005 - 2006,1.94
,,2006 - 2007,1.71
,,2007 - 2008,0.24
,,2008 - 2009,1.58
,,2009 - 2010,1.75
,,2010 - 2011,1.93
,,2011 - 2012,3.4
,,2012 - 2013,0.59
,,2013 - 2014,0.3
,,2014 - 2015,3.62
,,2015 - 2016,2.6
,,2016 - 2017,0.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranipet,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,4.24
,,2001 - 2002,4.42
,,2002 - 2003,3.58
,,2003 - 2004,3.21
,,2004 - 2005,3.54
,,2005 - 2006,3.68
,,2006 - 2007,3.63
,,2007 - 2008,3.32
,,2008 - 2009,4.02
,,2009 - 2010,4.37
,,2010 - 2011,4.44
,,2011 - 2012,4.52
,,2012 - 2013,4.1
,,2013 - 2014,4.82
,,2014 - 2015,5.31
,,2015 - 2016,4.96
,,2016 - 2017,3.67
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2000 - 2001,2.07
,,2001 - 2002,2.07
,,2002 - 2003,1.75
,,2003 - 2004,0.69
,,2004 - 2005,2.11
,,2005 - 2006,2.14
,,2006 - 2007,1.34
,,2007 - 2008,1.03
,,2008 - 2009,1.63
,,2009 - 2010,1.79
,,2010 - 2011,2.25
,,2011 - 2012,3.7
,,2012 - 2013,1.84
,,2013 - 2014,0.7
,,2014 - 2015,3.46
,,2015 - 2016,2.82
,,2016 - 2017,0.66
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2000 - 2001,3.44
,,2001 - 2002,2.92
,,2002 - 2003,2.29
,,2003 - 2004,2.88
,,2004 - 2005,2.74
,,2005 - 2006,2.58
,,2006 - 2007,3.64
,,2007 - 2008,3.19
,,2008 - 2009,2.02
,,2009 - 2010,2.62
,,2010 - 2011,2.87
,,2011 - 2012,4.0
,,2012 - 2013,2.93
,,2013 - 2014,4.97
,,2014 - 2015,3.92
,,2015 - 2016,3.59
,,2016 - 2017,2.79
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2000 - 2001,2.64
,,2001 - 2002,3.92
,,2002 - 2003,3.37
,,2003 - 2004,3.31
,,2004 - 2005,3.3
,,2005 - 2006,3.3
,,2006 - 2007,3.2
,,2007 - 2008,3.86
,,2008 - 2009,3.93
,,2009 - 2010,3.5
,,2010 - 2011,3.57
,,2011 - 2012,4.13
,,2012 - 2013,3.97
,,2013 - 2014,4.33
,,2014 - 2015,4.69
,,2015 - 2016,4.46
,,2016 - 2017,4.29
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,3.63
,,2001 - 2002,4.47
,,2002 - 2003,3.99
,,2003 - 2004,3.88
,,2004 - 2005,4.03
,,2005 - 2006,4.16
,,2006 - 2007,4.3
,,2007 - 2008,4.28
,,2008 - 2009,5.15
,,2009 - 2010,5.06
,,2010 - 2011,4.82
,,2011 - 2012,5.37
,,2012 - 2013,4.62
,,2013 - 2014,4.07
,,2014 - 2015,5.19
,,2015 - 2016,5.43
,,2016 - 2017,6.03
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2000 - 2001,3.86
,,2001 - 2002,3.41
,,2002 - 2003,3.19
,,2003 - 2004,2.61
,,2004 - 2005,3.0
,,2005 - 2006,2.8
,,2006 - 2007,3.55
,,2007 - 2008,3.63
,,2008 - 2009,3.84
,,2009 - 2010,3.17
,,2010 - 2011,3.01
,,2011 - 2012,3.95
,,2012 - 2013,3.84
,,2013 - 2014,4.71
,,2014 - 2015,4.42
,,2015 - 2016,3.29
,,2016 - 2017,3.06
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2000 - 2001,3.06
,,2001 - 2002,2.63
,,2002 - 2003,0.86
,,2003 - 2004,1.4
,,2004 - 2005,1.61
,,2005 - 2006,1.56
,,2006 - 2007,3.31
,,2007 - 2008,2.05
,,2008 - 2009,1.16
,,2009 - 2010,2.91
,,2010 - 2011,1.78
,,2011 - 2012,4.24
,,2012 - 2013,1.21
,,2013 - 2014,4.71
,,2014 - 2015,4.43
,,2015 - 2016,3.42
,,2016 - 2017,1.78
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,3.99
,,2001 - 2002,4.19
,,2002 - 2003,4.38
,,2003 - 2004,4.2
,,2004 - 2005,4.14
,,2005 - 2006,4.1
,,2006 - 2007,4.4
,,2007 - 2008,3.59
,,2008 - 2009,4.83
,,2009 - 2010,4.95
,,2010 - 2011,4.47
,,2011 - 2012,4.85
,,2012 - 2013,3.91
,,2013 - 2014,4.73
,,2014 - 2015,5.17
,,2015 - 2016,4.02
,,2016 - 2017,3.26
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,4.34
,,2001 - 2002,4.1
,,2002 - 2003,2.99
,,2003 - 2004,2.94
,,2004 - 2005,3.3
,,2005 - 2006,2.98
,,2006 - 2007,3.94
,,2007 - 2008,3.71
,,2008 - 2009,3.62
,,2009 - 2010,4.14
,,2010 - 2011,3.99
,,2011 - 2012,4.73
,,2012 - 2013,3.05
,,2013 - 2014,4.72
,,2014 - 2015,4.68
,,2015 - 2016,4.17
,,2016 - 2017,2.83
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,4.24
,,2001 - 2002,4.03
,,2002 - 2003,4.02
,,2003 - 2004,3.77
,,2004 - 2005,4.13
,,2005 - 2006,3.58
,,2006 - 2007,4.19
,,2007 - 2008,3.87
,,2008 - 2009,4.1
,,2009 - 2010,4.14
,,2010 - 2011,4.41
,,2011 - 2012,5.3
,,2012 - 2013,4.02
,,2013 - 2014,5.83
,,2014 - 2015,5.11
,,2015 - 2016,4.96
,,2016 - 2017,3.52
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,4.2
,,2010 - 2011,3.98
,,2011 - 2012,4.61
,,2012 - 2013,2.47
,,2013 - 2014,5.78
,,2014 - 2015,5.75
,,2015 - 2016,4.52
,,2016 - 2017,3.77
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,3.09
,,2001 - 2002,3.02
,,2002 - 2003,2.63
,,2003 - 2004,2.81
,,2004 - 2005,2.83
,,2005 - 2006,2.76
,,2006 - 2007,3.28
,,2007 - 2008,3.44
,,2008 - 2009,3.12
,,2009 - 2010,3.09
,,2010 - 2011,2.85
,,2011 - 2012,3.43
,,2012 - 2013,3.55
,,2013 - 2014,4.35
,,2014 - 2015,4.72
,,2015 - 2016,3.97
,,2016 - 2017,3.73
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,3.12
,,2001 - 2002,3.89
,,2002 - 2003,3.42
,,2003 - 2004,3.5
,,2004 - 2005,3.07
,,2005 - 2006,2.88
,,2006 - 2007,3.1
,,2007 - 2008,3.35
,,2008 - 2009,3.62
,,2009 - 2010,3.42
,,2010 - 2011,3.54
,,2011 - 2012,3.98
,,2012 - 2013,4.28
,,2013 - 2014,4.89
,,2014 - 2015,5.32
,,2015 - 2016,3.91
,,2016 - 2017,4.2
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,3.52
,,2001 - 2002,3.61
,,2002 - 2003,2.99
,,2003 - 2004,3.12
,,2004 - 2005,3.21
,,2005 - 2006,3.04
,,2006 - 2007,3.43
,,2007 - 2008,3.3
,,2008 - 2009,3.08
,,2009 - 2010,3.15
,,2010 - 2011,3.42
,,2011 - 2012,3.63
,,2012 - 2013,3.43
,,2013 - 2014,4.67
,,2014 - 2015,4.86
,,2015 - 2016,4.24
,,2016 - 2017,3.71
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,4.0
,,2001 - 2002,3.14
,,2002 - 2003,2.74
,,2003 - 2004,1.82
,,2004 - 2005,2.93
,,2005 - 2006,3.2
,,2006 - 2007,4.83
,,2007 - 2008,3.3
,,2008 - 2009,3.22
,,2009 - 2010,2.43
,,2010 - 2011,3.09
,,2011 - 2012,3.99
,,2012 - 2013,1.76
,,2013 - 2014,4.14
,,2014 - 2015,4.15
,,2015 - 2016,3.52
,,2016 - 2017,1.15
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,2.07
,,2001 - 2002,2.23
,,2002 - 2003,1.54
,,2003 - 2004,2.47
,,2004 - 2005,1.52
,,2005 - 2006,2.57
,,2006 - 2007,2.4
,,2007 - 2008,2.4
,,2008 - 2009,2.44
,,2009 - 2010,1.99
,,2010 - 2011,2.79
,,2011 - 2012,2.49
,,2012 - 2013,2.59
,,2013 - 2014,2.68
,,2014 - 2015,2.24
,,2015 - 2016,2.55
,,2016 - 2017,2.58
,,2017 - 2018,2.4
,,2018 - 2019,3.17
,,2019 - 2020,3.63
,,2020 - 2021,2.95
,,2021 - 2022,3.3
,,2022 - 2023,3.5
,Bhadradri,2016 - 2017,3.51
,,2017 - 2018,3.08
,,2018 - 2019,3.28
,,2019 - 2020,3.67
,,2020 - 2021,3.16
,,2021 - 2022,3.18
,,2022 - 2023,3.47
,Hyderabad,2000 - 2001,2.88
,Jagitial,2016 - 2017,3.79
,,2017 - 2018,2.72
,,2018 - 2019,4.25
,,2019 - 2020,4.46
,,2020 - 2021,3.17
,,2021 - 2022,3.53
,,2022 - 2023,3.61
,Jangoan,2016 - 2017,3.44
,,2017 - 2018,2.51
,,2018 - 2019,3.1
,,2019 - 2020,3.2
,,2020 - 2021,2.8
,,2021 - 2022,3.21
,,2022 - 2023,2.9
,Jayashankar,2016 - 2017,3.39
,,2017 - 2018,2.47
,,2018 - 2019,3.65
,,2019 - 2020,3.21
,,2020 - 2021,2.71
,,2021 - 2022,2.94
,,2022 - 2023,3.25
,Jogulamba,2016 - 2017,2.52
,,2017 - 2018,2.28
,,2018 - 2019,2.57
,,2019 - 2020,3.18
,,2020 - 2021,2.85
,,2021 - 2022,2.54
,,2022 - 2023,3.4
,Kamareddy,2016 - 2017,3.94
,,2017 - 2018,3.03
,,2018 - 2019,4.25
,,2019 - 2020,4.51
,,2020 - 2021,3.3
,,2021 - 2022,3.8
,,2022 - 2023,4.29
,Karimnagar,2000 - 2001,3.13
,,2001 - 2002,3.04
,,2002 - 2003,2.59
,,2003 - 2004,3.22
,,2004 - 2005,2.26
,,2005 - 2006,3.41
,,2006 - 2007,3.13
,,2007 - 2008,3.39
,,2008 - 2009,3.39
,,2009 - 2010,3.23
,,2010 - 2011,3.28
,,2011 - 2012,3.24
,,2012 - 2013,3.52
,,2013 - 2014,3.5
,,2014 - 2015,3.53
,,2015 - 2016,3.28
,,2016 - 2017,3.79
,,2017 - 2018,2.91
,,2018 - 2019,3.79
,,2019 - 2020,3.36
,,2020 - 2021,3.01
,,2021 - 2022,3.12
,,2022 - 2023,3.26
,Khammam,2000 - 2001,2.73
,,2001 - 2002,2.58
,,2002 - 2003,1.71
,,2003 - 2004,2.9
,,2004 - 2005,2.84
,,2005 - 2006,2.57
,,2006 - 2007,2.46
,,2007 - 2008,3.08
,,2008 - 2009,3.02
,,2009 - 2010,2.26
,,2010 - 2011,3.13
,,2011 - 2012,2.44
,,2012 - 2013,3.1
,,2013 - 2014,2.92
,,2014 - 2015,2.97
,,2015 - 2016,3.08
,,2016 - 2017,3.57
,,2017 - 2018,2.73
,,2018 - 2019,3.59
,,2019 - 2020,3.64
,,2020 - 2021,3.05
,,2021 - 2022,2.91
,,2022 - 2023,3.51
,Komaram bheem asifabad,2016 - 2017,2.72
,,2017 - 2018,1.79
,,2018 - 2019,2.09
,,2019 - 2020,2.8
,,2020 - 2021,2.75
,,2021 - 2022,2.46
,,2022 - 2023,2.8
,Mahabubabad,2016 - 2017,3.42
,,2017 - 2018,2.36
,,2018 - 2019,3.13
,,2019 - 2020,3.36
,,2020 - 2021,2.75
,,2021 - 2022,2.81
,,2022 - 2023,3.38
,Mahbubnagar,2000 - 2001,2.49
,,2001 - 2002,2.42
,,2002 - 2003,2.03
,,2003 - 2004,2.43
,,2004 - 2005,2.27
,,2005 - 2006,2.46
,,2006 - 2007,2.44
,,2007 - 2008,2.91
,,2008 - 2009,2.96
,,2009 - 2010,2.27
,,2010 - 2011,2.76
,,2011 - 2012,2.21
,,2012 - 2013,2.65
,,2013 - 2014,2.91
,,2014 - 2015,2.54
,,2015 - 2016,2.26
,,2016 - 2017,2.82
,,2017 - 2018,1.93
,,2018 - 2019,2.44
,,2019 - 2020,3.46
,,2020 - 2021,3.01
,,2021 - 2022,3.36
,,2022 - 2023,3.37
,Mancherial,2016 - 2017,3.11
,,2017 - 2018,1.9
,,2018 - 2019,3.23
,,2019 - 2020,2.67
,,2020 - 2021,2.43
,,2021 - 2022,2.57
,,2022 - 2023,3.05
,Medak,2000 - 2001,2.51
,,2001 - 2002,2.51
,,2002 - 2003,2.11
,,2003 - 2004,2.57
,,2004 - 2005,1.94
,,2005 - 2006,2.88
,,2006 - 2007,2.61
,,2007 - 2008,2.83
,,2008 - 2009,2.62
,,2009 - 2010,2.69
,,2010 - 2011,3.49
,,2011 - 2012,3.16
,,2012 - 2013,3.55
,,2013 - 2014,3.63
,,2014 - 2015,3.17
,,2015 - 2016,2.84
,,2016 - 2017,3.06
,,2017 - 2018,2.88
,,2018 - 2019,3.48
,,2019 - 2020,4.38
,,2020 - 2021,2.56
,,2021 - 2022,3.75
,,2022 - 2023,3.65
,Medchal,2016 - 2017,2.63
,,2017 - 2018,3.3
,,2018 - 2019,4.16
,,2019 - 2020,3.93
,,2020 - 2021,2.89
,,2021 - 2022,3.65
,,2022 - 2023,4.0
,Mulugu,2018 - 2019,3.65
,,2019 - 2020,3.42
,,2020 - 2021,2.78
,,2021 - 2022,2.99
,,2022 - 2023,3.02
,Nagarkurnool,2016 - 2017,2.79
,,2017 - 2018,2.18
,,2018 - 2019,2.38
,,2019 - 2020,3.33
,,2020 - 2021,2.68
,,2021 - 2022,3.1
,,2022 - 2023,3.3
,Nalgonda,2000 - 2001,3.17
,,2001 - 2002,2.77
,,2002 - 2003,2.24
,,2003 - 2004,2.99
,,2004 - 2005,2.82
,,2005 - 2006,2.85
,,2006 - 2007,2.59
,,2007 - 2008,3.17
,,2008 - 2009,3.11
,,2009 - 2010,3.23
,,2010 - 2011,3.12
,,2011 - 2012,2.93
,,2012 - 2013,3.26
,,2013 - 2014,2.84
,,2014 - 2015,3.1
,,2015 - 2016,3.05
,,2016 - 2017,3.37
,,2017 - 2018,2.68
,,2018 - 2019,3.11
,,2019 - 2020,3.45
,,2020 - 2021,3.35
,,2021 - 2022,3.44
,,2022 - 2023,3.35
,Narayanapet,2018 - 2019,2.44
,,2019 - 2020,3.17
,,2020 - 2021,3.17
,,2021 - 2022,3.18
,,2022 - 2023,3.35
,Nirmal,2016 - 2017,3.12
,,2017 - 2018,2.38
,,2018 - 2019,3.24
,,2019 - 2020,3.65
,,2020 - 2021,2.85
,,2021 - 2022,3.2
,,2022 - 2023,3.24
,Nizamabad,2000 - 2001,2.56
,,2001 - 2002,2.48
,,2002 - 2003,1.56
,,2003 - 2004,3.11
,,2004 - 2005,2.25
,,2005 - 2006,3.48
,,2006 - 2007,3.16
,,2007 - 2008,3.58
,,2008 - 2009,3.65
,,2009 - 2010,3.25
,,2010 - 2011,3.66
,,2011 - 2012,3.91
,,2012 - 2013,4.0
,,2013 - 2014,4.09
,,2014 - 2015,3.6
,,2015 - 2016,2.59
,,2016 - 2017,3.94
,,2017 - 2018,3.51
,,2018 - 2019,4.2
,,2019 - 2020,4.15
,,2020 - 2021,3.55
,,2021 - 2022,3.78
,,2022 - 2023,4.0
,Peddapalli,2016 - 2017,3.79
,,2017 - 2018,2.92
,,2018 - 2019,4.0
,,2019 - 2020,3.83
,,2020 - 2021,2.84
,,2021 - 2022,2.97
,,2022 - 2023,3.48
,Rajanna,2016 - 2017,3.79
,,2017 - 2018,3.1
,,2018 - 2019,3.7
,,2019 - 2020,4.34
,,2020 - 2021,2.99
,,2021 - 2022,3.6
,,2022 - 2023,3.57
,Rangareddi,2000 - 2001,2.57
,,2001 - 2002,2.65
,,2002 - 2003,1.79
,,2003 - 2004,2.32
,,2004 - 2005,2.59
,,2005 - 2006,2.79
,,2006 - 2007,2.74
,,2007 - 2008,2.42
,,2008 - 2009,2.94
,,2009 - 2010,2.6
,,2010 - 2011,2.54
,,2011 - 2012,2.31
,,2012 - 2013,2.34
,,2013 - 2014,2.32
,,2014 - 2015,2.53
,,2015 - 2016,2.59
,,2016 - 2017,2.63
,,2017 - 2018,2.49
,,2018 - 2019,3.09
,,2019 - 2020,3.3
,,2020 - 2021,3.04
,,2021 - 2022,3.4
,,2022 - 2023,3.56
,Sangareddy,2016 - 2017,3.06
,,2017 - 2018,3.17
,,2018 - 2019,3.03
,,2019 - 2020,3.88
,,2020 - 2021,2.95
,,2021 - 2022,3.79
,,2022 - 2023,4.12
,Siddipet,2016 - 2017,3.06
,,2017 - 2018,3.28
,,2018 - 2019,3.3
,,2019 - 2020,3.74
,,2020 - 2021,3.27
,,2021 - 2022,3.46
,,2022 - 2023,3.42
,Suryapet,2016 - 2017,3.37
,,2017 - 2018,3.42
,,2018 - 2019,3.31
,,2019 - 2020,3.53
,,2020 - 2021,3.17
,,2021 - 2022,3.29
,,2022 - 2023,3.53
,Vikarabad,2016 - 2017,2.63
,,2017 - 2018,2.48
,,2018 - 2019,2.96
,,2019 - 2020,3.19
,,2020 - 2021,2.91
,,2021 - 2022,2.92
,,2022 - 2023,3.26
,Wanaparthy,2016 - 2017,2.8
,,2017 - 2018,2.02
,,2018 - 2019,3.0
,,2019 - 2020,3.29
,,2020 - 2021,2.64
,,2021 - 2022,3.6
,,2022 - 2023,3.7
,Warangal,2000 - 2001,2.85
,,2001 - 2002,2.84
,,2002 - 2003,2.08
,,2003 - 2004,3.07
,,2004 - 2005,2.69
,,2005 - 2006,3.16
,,2006 - 2007,2.91
,,2007 - 2008,3.08
,,2008 - 2009,3.01
,,2009 - 2010,2.48
,,2010 - 2011,3.07
,,2011 - 2012,2.52
,,2012 - 2013,3.15
,,2013 - 2014,3.15
,,2014 - 2015,2.95
,,2015 - 2016,3.16
,,2016 - 2017,3.44
,,2017 - 2018,2.48
,,2018 - 2019,3.34
,,2019 - 2020,3.43
,,2020 - 2021,2.84
,,2021 - 2022,3.13
,,2022 - 2023,3.28
,Warangal urban,2016 - 2017,3.44
,,2017 - 2018,2.46
,,2018 - 2019,3.5
,,2019 - 2020,3.5
,,2020 - 2021,2.89
,,2021 - 2022,3.3
,,2022 - 2023,3.59
,Yadadri,2016 - 2017,3.37
,,2017 - 2018,3.31
,,2018 - 2019,3.38
,,2019 - 2020,3.76
,,2020 - 2021,2.83
,,2021 - 2022,3.28
,,2022 - 2023,3.45
The Dadra & Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2021 - 2022,2.07
,,2022 - 2023,2.08
,Daman,2021 - 2022,1.94
,,2022 - 2023,1.95
Tripura,Dhalai,2000 - 2001,1.99
,,2001 - 2002,1.87
,,2002 - 2003,1.89
,,2003 - 2004,1.97
,,2004 - 2005,1.85
,,2005 - 2006,1.82
,,2006 - 2007,2.16
,,2007 - 2008,2.23
,,2008 - 2009,2.28
,,2009 - 2010,2.29
,,2010 - 2011,2.26
,,2011 - 2012,2.41
,,2012 - 2013,2.41
,,2013 - 2014,2.47
,,2014 - 2015,2.57
,,2015 - 2016,2.47
,,2016 - 2017,1.1
,,2017 - 2018,1.12
,,2018 - 2019,1.03
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2021 - 2022,1.01
,,2022 - 2023,1.06
,Gomati,2012 - 2013,2.9
,,2013 - 2014,2.89
,,2014 - 2015,3.07
,,2015 - 2016,2.8
,,2016 - 2017,1.05
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,1.1
,,2021 - 2022,1.05
,,2022 - 2023,1.05
,Khowai,2012 - 2013,2.82
,,2013 - 2014,2.78
,,2014 - 2015,2.87
,,2015 - 2016,2.95
,,2016 - 2017,1.07
,,2017 - 2018,1.0
,,2018 - 2019,1.11
,,2019 - 2020,1.14
,,2020 - 2021,1.15
,,2021 - 2022,1.15
,,2022 - 2023,1.15
,North tripura,2000 - 2001,2.09
,,2001 - 2002,2.25
,,2002 - 2003,2.12
,,2003 - 2004,2.26
,,2004 - 2005,2.12
,,2005 - 2006,2.47
,,2006 - 2007,2.31
,,2007 - 2008,2.21
,,2008 - 2009,2.54
,,2009 - 2010,2.38
,,2010 - 2011,2.49
,,2011 - 2012,2.51
,,2012 - 2013,2.52
,,2013 - 2014,2.42
,,2014 - 2015,2.55
,,2015 - 2016,2.66
,,2016 - 2017,1.13
,,2017 - 2018,1.09
,,2018 - 2019,1.13
,,2019 - 2020,1.2
,,2020 - 2021,1.21
,,2021 - 2022,1.17
,,2022 - 2023,1.17
,Sepahijala,2012 - 2013,3.05
,,2013 - 2014,3.03
,,2014 - 2015,3.13
,,2015 - 2016,3.26
,,2016 - 2017,1.07
,,2017 - 2018,1.0
,,2018 - 2019,1.01
,,2019 - 2020,1.02
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.02
,South tripura,2000 - 2001,2.32
,,2001 - 2002,2.45
,,2002 - 2003,2.46
,,2003 - 2004,2.5
,,2004 - 2005,2.47
,,2005 - 2006,2.62
,,2006 - 2007,2.68
,,2007 - 2008,2.67
,,2008 - 2009,2.73
,,2009 - 2010,2.75
,,2010 - 2011,2.78
,,2011 - 2012,2.8
,,2012 - 2013,2.87
,,2013 - 2014,3.01
,,2014 - 2015,3.0
,,2015 - 2016,2.99
,,2016 - 2017,1.03
,,2017 - 2018,1.01
,,2018 - 2019,1.03
,,2019 - 2020,1.04
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.05
,Unakoti,2012 - 2013,2.8
,,2013 - 2014,2.73
,,2014 - 2015,2.93
,,2015 - 2016,3.01
,,2016 - 2017,1.03
,,2017 - 2018,0.99
,,2018 - 2019,1.03
,,2019 - 2020,1.04
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.04
,West tripura,2000 - 2001,2.34
,,2001 - 2002,2.55
,,2002 - 2003,2.55
,,2003 - 2004,2.51
,,2004 - 2005,2.52
,,2005 - 2006,2.31
,,2006 - 2007,2.54
,,2007 - 2008,2.64
,,2008 - 2009,2.55
,,2009 - 2010,2.67
,,2010 - 2011,2.76
,,2011 - 2012,2.8
,,2012 - 2013,2.87
,,2013 - 2014,2.87
,,2014 - 2015,2.96
,,2015 - 2016,3.02
,,2016 - 2017,0.99
,,2017 - 2018,1.0
,,2018 - 2019,1.09
,,2019 - 2020,1.08
,,2020 - 2021,1.08
,,2021 - 2022,1.07
,,2022 - 2023,1.09
Uttar Pradesh,Agra,2000 - 2001,1.89
,,2001 - 2002,1.88
,,2002 - 2003,1.68
,,2003 - 2004,1.74
,,2004 - 2005,2.35
,,2005 - 2006,2.27
,,2006 - 2007,1.89
,,2007 - 2008,1.98
,,2008 - 2009,2.2
,,2009 - 2010,1.76
,,2010 - 2011,2.17
,,2011 - 2012,2.5
,,2012 - 2013,2.52
,,2013 - 2014,2.59
,,2014 - 2015,2.38
,,2015 - 2016,2.4
,,2016 - 2017,2.73
,,2017 - 2018,2.5
,,2018 - 2019,2.46
,,2019 - 2020,2.58
,,2020 - 2021,2.72
,,2021 - 2022,2.56
,,2022 - 2023,2.69
,Aligarh,2000 - 2001,1.97
,,2001 - 2002,1.94
,,2002 - 2003,1.76
,,2003 - 2004,2.06
,,2004 - 2005,2.25
,,2005 - 2006,2.09
,,2006 - 2007,2.06
,,2007 - 2008,2.01
,,2008 - 2009,2.15
,,2009 - 2010,1.73
,,2010 - 2011,2.04
,,2011 - 2012,2.2
,,2012 - 2013,2.46
,,2013 - 2014,2.24
,,2014 - 2015,2.23
,,2015 - 2016,2.35
,,2016 - 2017,2.54
,,2017 - 2018,2.67
,,2018 - 2019,2.41
,,2019 - 2020,2.61
,,2020 - 2021,2.63
,,2021 - 2022,2.49
,,2022 - 2023,2.5
,Allahabad,2000 - 2001,1.83
,,2001 - 2002,2.0
,,2002 - 2003,1.9
,,2003 - 2004,2.33
,,2004 - 2005,1.79
,,2005 - 2006,2.02
,,2006 - 2007,2.12
,,2007 - 2008,2.15
,,2008 - 2009,2.44
,,2009 - 2010,2.17
,,2010 - 2011,2.33
,,2011 - 2012,2.56
,,2012 - 2013,2.87
,,2013 - 2014,2.64
,,2014 - 2015,2.1
,,2015 - 2016,1.83
,,2016 - 2017,2.76
,,2017 - 2018,2.74
,,2018 - 2019,3.12
,,2019 - 2020,3.12
,,2020 - 2021,3.14
,,2021 - 2022,2.98
,,2022 - 2023,3.02
,Ambedkar nagar,2000 - 2001,2.47
,,2001 - 2002,2.42
,,2002 - 2003,2.14
,,2003 - 2004,2.62
,,2004 - 2005,2.01
,,2005 - 2006,2.38
,,2006 - 2007,1.8
,,2007 - 2008,2.55
,,2008 - 2009,2.7
,,2009 - 2010,2.59
,,2010 - 2011,2.64
,,2011 - 2012,2.69
,,2012 - 2013,2.76
,,2013 - 2014,2.73
,,2014 - 2015,2.45
,,2015 - 2016,2.11
,,2016 - 2017,2.54
,,2017 - 2018,3.21
,,2018 - 2019,3.03
,,2019 - 2020,3.07
,,2020 - 2021,3.03
,,2021 - 2022,2.75
,,2022 - 2023,2.72
