state,district,year,moong_summer_yield_tonne_per_hectare
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.35
,Kolhapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.48
,,2022 - 2023,0.5
,Latur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.18
,Nagpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.2
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Nanded,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.18
,Nandurbar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Nashik,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.18
,Palghar,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Parbhani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Pune,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Raigad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,0.18
,Ratnagiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Sangli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sindhudurg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Solapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Thane,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Washim,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.18
,,2022 - 2023,0.18
Manipur,Bishnupur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Mizoram,Aizawl,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Kolasib,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Lawngtlai,2004 - 2005,
,Lunglei,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Mamit,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Saiha,2003 - 2004,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2009 - 2010,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2009 - 2010,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.24
,,2005 - 2006,0.27
,,2006 - 2007,0.23
,,2007 - 2008,0.26
,,2008 - 2009,0.24
,,2009 - 2010,0.23
,,2010 - 2011,0.25
,,2011 - 2012,0.28
,,2012 - 2013,0.31
,,2013 - 2014,0.35
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.43
,,2017 - 2018,0.39
,,2018 - 2019,0.41
,,2019 - 2020,0.48
,,2020 - 2021,0.35
,,2021 - 2022,0.67
,,2022 - 2023,0.38
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.18
,,2005 - 2006,0.24
,,2006 - 2007,0.22
,,2007 - 2008,0.26
,,2008 - 2009,0.26
,,2009 - 2010,0.32
,,2010 - 2011,0.27
,,2011 - 2012,0.22
,,2012 - 2013,0.52
,,2013 - 2014,0.56
,,2014 - 2015,0.44
,,2015 - 2016,0.32
,,2016 - 2017,0.38
,,2017 - 2018,0.35
,,2018 - 2019,0.27
,,2019 - 2020,0.36
,,2020 - 2021,0.55
,,2021 - 2022,0.36
,,2022 - 2023,0.41
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.32
,,2006 - 2007,0.31
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.33
,,2010 - 2011,0.34
,,2011 - 2012,0.4
,,2012 - 2013,0.43
,,2013 - 2014,0.45
,,2014 - 2015,0.4
,,2015 - 2016,0.5
,,2016 - 2017,0.41
,,2017 - 2018,0.52
,,2018 - 2019,0.42
,,2019 - 2020,0.36
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.47
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.35
,,2005 - 2006,0.36
,,2006 - 2007,0.35
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.33
,,2010 - 2011,0.35
,,2011 - 2012,0.36
,,2012 - 2013,0.38
,,2013 - 2014,0.38
,,2014 - 2015,0.38
,,2015 - 2016,0.3
,,2016 - 2017,0.4
,,2017 - 2018,0.38
,,2018 - 2019,0.35
,,2019 - 2020,0.34
,,2020 - 2021,0.38
,,2021 - 2022,0.29
,,2022 - 2023,0.35
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.31
,,2007 - 2008,0.3
,,2008 - 2009,0.29
,,2009 - 2010,0.38
,,2010 - 2011,0.42
,,2011 - 2012,0.31
,,2012 - 2013,0.36
,,2013 - 2014,0.56
,,2014 - 2015,0.51
,,2015 - 2016,0.51
,,2016 - 2017,0.61
,,2017 - 2018,0.51
,,2018 - 2019,0.51
,,2019 - 2020,0.55
,,2020 - 2021,0.32
,,2021 - 2022,0.36
,,2022 - 2023,0.44
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.19
,,2006 - 2007,0.27
,,2007 - 2008,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.21
,,2010 - 2011,0.26
,,2011 - 2012,0.14
,,2012 - 2013,0.19
,,2013 - 2014,0.21
,,2014 - 2015,0.2
,,2015 - 2016,0.18
,,2016 - 2017,0.3
,,2017 - 2018,0.21
,,2018 - 2019,0.31
,,2019 - 2020,0.31
,,2020 - 2021,0.3
,,2021 - 2022,0.3
,,2022 - 2023,0.29
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.35
,,2005 - 2006,0.37
,,2006 - 2007,0.27
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.34
,,2010 - 2011,0.4
,,2011 - 2012,0.35
,,2012 - 2013,0.35
,,2013 - 2014,0.36
,,2014 - 2015,0.45
,,2015 - 2016,0.33
,,2016 - 2017,0.6
,,2017 - 2018,0.55
,,2018 - 2019,0.47
,,2019 - 2020,0.33
,,2020 - 2021,0.2
,,2021 - 2022,0.48
,,2022 - 2023,0.43
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.35
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.34
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.32
,,2011 - 2012,0.25
,,2012 - 2013,0.4
,,2013 - 2014,0.33
,,2014 - 2015,0.4
,,2015 - 2016,0.29
,,2016 - 2017,0.43
,,2017 - 2018,0.46
,,2018 - 2019,0.25
,,2019 - 2020,0.31
,,2020 - 2021,0.24
,,2021 - 2022,0.32
,,2022 - 2023,0.3
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.32
,,2005 - 2006,0.36
,,2006 - 2007,0.27
,,2007 - 2008,0.38
,,2008 - 2009,0.37
,,2009 - 2010,0.37
,,2010 - 2011,0.29
,,2011 - 2012,0.34
,,2012 - 2013,0.4
,,2013 - 2014,0.46
,,2014 - 2015,0.47
,,2015 - 2016,0.48
,,2016 - 2017,0.45
,,2017 - 2018,0.4
,,2018 - 2019,0.38
,,2019 - 2020,0.44
,,2020 - 2021,0.38
,,2021 - 2022,0.42
,,2022 - 2023,0.4
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.16
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.2
,,2008 - 2009,0.13
,,2009 - 2010,0.2
,,2010 - 2011,0.16
,,2011 - 2012,
,,2012 - 2013,0.25
,,2013 - 2014,0.1
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.16
,,2005 - 2006,0.34
,,2006 - 2007,0.3
,,2007 - 2008,0.49
,,2008 - 2009,0.21
,,2009 - 2010,0.34
,,2010 - 2011,0.27
,,2011 - 2012,0.29
,,2012 - 2013,0.25
,,2013 - 2014,0.43
,,2014 - 2015,0.28
,,2015 - 2016,0.19
,,2016 - 2017,0.26
,,2017 - 2018,
,,2018 - 2019,0.28
,,2019 - 2020,
,,2020 - 2021,0.21
,,2021 - 2022,0.21
,,2022 - 2023,0.27
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.36
,,2005 - 2006,0.37
,,2006 - 2007,0.32
,,2007 - 2008,0.25
,,2008 - 2009,0.34
,,2009 - 2010,0.36
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.39
,,2013 - 2014,0.54
,,2014 - 2015,0.45
,,2015 - 2016,0.36
,,2016 - 2017,0.45
,,2017 - 2018,0.46
,,2018 - 2019,0.29
,,2019 - 2020,0.17
,,2020 - 2021,0.06
,,2021 - 2022,0.24
,,2022 - 2023,0.35
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.3
,,2006 - 2007,0.25
,,2007 - 2008,0.2
,,2008 - 2009,0.24
,,2009 - 2010,0.3
,,2010 - 2011,0.26
,,2011 - 2012,0.24
,,2012 - 2013,0.25
,,2013 - 2014,0.29
,,2014 - 2015,0.27
,,2015 - 2016,0.23
,,2016 - 2017,0.41
,,2017 - 2018,0.4
,,2018 - 2019,0.21
,,2019 - 2020,0.25
,,2020 - 2021,0.15
,,2021 - 2022,0.2
,,2022 - 2023,0.24
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.41
,,2006 - 2007,0.43
,,2007 - 2008,0.38
,,2008 - 2009,0.45
,,2009 - 2010,0.34
,,2010 - 2011,0.24
,,2011 - 2012,0.3
,,2012 - 2013,0.4
,,2013 - 2014,0.37
,,2014 - 2015,0.34
,,2015 - 2016,0.35
,,2016 - 2017,0.59
,,2017 - 2018,0.5
,,2018 - 2019,0.33
,,2019 - 2020,0.32
,,2020 - 2021,0.23
,,2021 - 2022,0.5
,,2022 - 2023,0.58
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.26
,,2005 - 2006,0.17
,,2006 - 2007,0.22
,,2007 - 2008,0.22
,,2008 - 2009,0.21
,,2009 - 2010,0.28
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.4
,,2013 - 2014,0.38
,,2014 - 2015,0.36
,,2015 - 2016,0.27
,,2016 - 2017,0.4
,,2017 - 2018,0.38
,,2018 - 2019,0.43
,,2019 - 2020,0.59
,,2020 - 2021,0.46
,,2021 - 2022,0.74
,,2022 - 2023,0.8
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.01
,,2006 - 2007,0.3
,,2007 - 2008,
,,2008 - 2009,0.1
,,2009 - 2010,0.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.2
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.29
,,2007 - 2008,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.32
,,2010 - 2011,0.31
,,2011 - 2012,0.31
,,2012 - 2013,0.33
,,2013 - 2014,0.39
,,2014 - 2015,0.44
,,2015 - 2016,0.37
,,2016 - 2017,0.49
,,2017 - 2018,0.43
,,2018 - 2019,0.47
,,2019 - 2020,0.31
,,2020 - 2021,0.16
,,2021 - 2022,0.37
,,2022 - 2023,0.43
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.33
,,2005 - 2006,0.39
,,2006 - 2007,0.55
,,2007 - 2008,0.39
,,2008 - 2009,0.29
,,2009 - 2010,0.34
,,2010 - 2011,0.26
,,2011 - 2012,0.29
,,2012 - 2013,0.29
,,2013 - 2014,0.23
,,2014 - 2015,0.32
,,2015 - 2016,0.34
,,2016 - 2017,0.54
,,2017 - 2018,0.45
,,2018 - 2019,0.43
,,2019 - 2020,0.66
,,2020 - 2021,0.49
,,2021 - 2022,0.49
,,2022 - 2023,0.6
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.21
,,2005 - 2006,0.16
,,2006 - 2007,0.15
,,2007 - 2008,0.16
,,2008 - 2009,0.16
,,2009 - 2010,0.18
,,2010 - 2011,0.22
,,2011 - 2012,0.23
,,2012 - 2013,0.22
,,2013 - 2014,0.3
,,2014 - 2015,0.23
