state,district,year,maize_autumn_yield_tonne_per_hectare
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalbari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivasagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonitpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South salmara mancachar,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tinsukia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udalguri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West karbi anglong,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Bihar,Araria,2000 - 2001,
,,2001 - 2002,1.71
,,2002 - 2003,1.82
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.24
,,2008 - 2009,3.34
,,2009 - 2010,4.19
,,2010 - 2011,3.53
,,2011 - 2012,3.6
,,2012 - 2013,6.48
,,2013 - 2014,5.63
,,2014 - 2015,4.52
,,2015 - 2016,3.88
,,2016 - 2017,
,,2017 - 2018,2.81
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,1.35
,,2008 - 2009,1.15
,,2009 - 2010,1.46
,,2010 - 2011,1.81
,,2011 - 2012,2.05
,,2012 - 2013,3.52
,,2013 - 2014,2.63
,,2014 - 2015,2.51
,,2015 - 2016,4.06
,,2016 - 2017,2.66
,,2017 - 2018,2.63
,,2018 - 2019,1.55
,,2019 - 2020,2.52
,,2020 - 2021,1.58
,,2021 - 2022,1.53
,,2022 - 2023,
,Aurangabad,2000 - 2001,
,,2001 - 2002,1.19
,,2002 - 2003,1.09
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.46
,,2008 - 2009,1.14
,,2009 - 2010,1.31
,,2010 - 2011,1.75
,,2011 - 2012,1.81
,,2012 - 2013,3.34
,,2013 - 2014,2.31
,,2014 - 2015,1.98
,,2015 - 2016,3.82
,,2016 - 2017,2.41
,,2017 - 2018,2.66
,,2018 - 2019,1.37
,,2019 - 2020,2.73
,,2020 - 2021,2.17
,,2021 - 2022,3.19
,Banka,2000 - 2001,
,,2001 - 2002,1.64
,,2002 - 2003,1.23
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.38
,,2008 - 2009,1.61
,,2009 - 2010,2.81
,,2010 - 2011,2.43
,,2011 - 2012,2.76
,,2012 - 2013,3.1
,,2013 - 2014,2.77
,,2014 - 2015,2.93
,,2015 - 2016,3.96
,,2016 - 2017,2.72
,,2017 - 2018,2.85
,,2018 - 2019,2.1
,,2019 - 2020,2.67
,,2020 - 2021,3.16
,,2021 - 2022,2.17
,,2022 - 2023,3.51
,Begusarai,2000 - 2001,
,,2001 - 2002,1.61
,,2002 - 2003,1.33
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.99
,,2008 - 2009,1.15
,,2009 - 2010,0.84
,,2010 - 2011,1.84
,,2011 - 2012,0.69
,,2012 - 2013,2.76
,,2013 - 2014,1.34
,,2014 - 2015,2.0
,,2015 - 2016,1.54
,,2016 - 2017,0.93
,,2017 - 2018,0.41
,,2018 - 2019,1.79
,,2019 - 2020,1.41
,,2020 - 2021,1.24
,,2021 - 2022,1.38
,,2022 - 2023,1.4
,Bhagalpur,2000 - 2001,
,,2001 - 2002,2.35
,,2002 - 2003,1.84
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.85
,,2008 - 2009,0.94
,,2009 - 2010,1.43
,,2010 - 2011,2.27
,,2011 - 2012,2.84
,,2012 - 2013,5.72
,,2013 - 2014,4.92
,,2014 - 2015,3.95
,,2015 - 2016,3.86
,,2016 - 2017,1.73
,,2017 - 2018,4.21
,,2018 - 2019,2.78
,,2019 - 2020,2.64
,,2020 - 2021,3.59
,,2021 - 2022,1.38
,,2022 - 2023,2.11
,Bhojpur,2000 - 2001,
,,2001 - 2002,1.23
,,2002 - 2003,1.85
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.14
,,2008 - 2009,0.59
,,2009 - 2010,2.12
,,2010 - 2011,2.44
,,2011 - 2012,1.38
,,2012 - 2013,2.59
,,2013 - 2014,1.52
,,2014 - 2015,1.98
,,2015 - 2016,2.45
,,2016 - 2017,1.22
,,2017 - 2018,1.99
,,2018 - 2019,1.23
,,2019 - 2020,1.43
,,2020 - 2021,1.44
,,2021 - 2022,
,,2022 - 2023,1.94
,Buxar,2000 - 2001,
,,2001 - 2002,1.69
,,2002 - 2003,1.56
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.09
,,2008 - 2009,1.32
,,2009 - 2010,0.96
,,2010 - 2011,1.49
,,2011 - 2012,2.16
,,2012 - 2013,3.09
,,2013 - 2014,1.33
,,2014 - 2015,1.42
,,2015 - 2016,1.36
,,2016 - 2017,1.6
,,2017 - 2018,2.16
,,2018 - 2019,1.89
,,2019 - 2020,1.55
,,2020 - 2021,2.67
,,2021 - 2022,1.9
,,2022 - 2023,2.53
,Darbhanga,2000 - 2001,
,,2001 - 2002,1.75
,,2002 - 2003,1.53
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.3
,,2008 - 2009,1.08
,,2009 - 2010,1.45
,,2010 - 2011,2.13
,,2011 - 2012,2.39
,,2012 - 2013,4.54
,,2013 - 2014,3.23
,,2014 - 2015,2.65
,,2015 - 2016,3.14
,,2016 - 2017,3.49
,,2017 - 2018,2.2
,,2018 - 2019,1.75
,,2019 - 2020,0.79
,,2020 - 2021,0.4
,,2021 - 2022,1.34
,,2022 - 2023,1.31
,Gaya,2000 - 2001,
,,2001 - 2002,1.21
,,2002 - 2003,1.23
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.43
,,2008 - 2009,1.19
,,2009 - 2010,1.45
,,2010 - 2011,2.12
,,2011 - 2012,2.04
,,2012 - 2013,3.8
,,2013 - 2014,2.6
,,2014 - 2015,1.95
,,2015 - 2016,4.61
,,2016 - 2017,2.78
,,2017 - 2018,2.47
,,2018 - 2019,
,,2019 - 2020,2.32
,,2020 - 2021,2.79
,,2021 - 2022,1.95
,,2022 - 2023,3.29
,Gopalganj,2000 - 2001,
,,2001 - 2002,1.7
,,2002 - 2003,1.25
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.52
,,2008 - 2009,1.25
,,2009 - 2010,1.16
,,2010 - 2011,0.51
,,2011 - 2012,1.95
,,2012 - 2013,3.3
,,2013 - 2014,2.61
,,2014 - 2015,2.45
,,2015 - 2016,2.69
,,2016 - 2017,2.29
,,2017 - 2018,2.15
,,2018 - 2019,2.74
,,2019 - 2020,2.62
,,2020 - 2021,0.66
,,2021 - 2022,2.18
,,2022 - 2023,3.87
,Jamui,2000 - 2001,
,,2001 - 2002,1.85
,,2002 - 2003,1.06
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.42
,,2008 - 2009,1.51
,,2009 - 2010,1.68
,,2010 - 2011,2.55
,,2011 - 2012,2.45
,,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,1.74
,,2015 - 2016,2.23
,,2016 - 2017,1.44
,,2017 - 2018,2.57
,,2018 - 2019,2.36
,,2019 - 2020,2.39
,,2020 - 2021,1.92
,,2021 - 2022,1.97
,,2022 - 2023,2.24
,Jehanabad,2000 - 2001,
,,2001 - 2002,10.11
,,2002 - 2003,1.15
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.27
,,2008 - 2009,1.15
,,2009 - 2010,1.46
,,2010 - 2011,1.81
,,2011 - 2012,2.03
,,2012 - 2013,3.51
,,2013 - 2014,2.75
,,2014 - 2015,2.31
,,2015 - 2016,4.06
,,2016 - 2017,2.67
,,2017 - 2018,2.63
,,2018 - 2019,1.6
,,2019 - 2020,2.37
,,2020 - 2021,2.5
,,2021 - 2022,1.78
,,2022 - 2023,1.79
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,1.68
,,2002 - 2003,1.57
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.51
,,2008 - 2009,0.55
,,2009 - 2010,1.05
,,2010 - 2011,1.12
,,2011 - 2012,2.21
,,2012 - 2013,2.18
,,2013 - 2014,2.57
,,2014 - 2015,0.78
,,2015 - 2016,1.74
,,2016 - 2017,1.55
,,2017 - 2018,3.61
,,2018 - 2019,2.4
,,2019 - 2020,1.7
,,2020 - 2021,2.01
,,2021 - 2022,1.91
,,2022 - 2023,2.41
,Katihar,2000 - 2001,
,,2001 - 2002,1.7
,,2002 - 2003,2.14
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,1.64
,,2009 - 2010,1.68
,,2010 - 2011,3.41
,,2011 - 2012,3.35
,,2012 - 2013,7.07
,,2013 - 2014,7.43
,,2014 - 2015,4.56
,,2015 - 2016,6.95
,,2016 - 2017,9.51
,,2017 - 2018,8.03
,,2018 - 2019,2.81
,,2019 - 2020,3.59
,,2020 - 2021,3.78
,,2021 - 2022,2.58
,,2022 - 2023,4.24
,Khagaria,2000 - 2001,
,,2001 - 2002,1.41
,,2002 - 2003,0.81
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.35
,,2008 - 2009,0.98
,,2009 - 2010,1.08
,,2010 - 2011,1.86
,,2011 - 2012,1.61
,,2012 - 2013,2.05
,,2013 - 2014,0.45
,,2014 - 2015,3.47
,,2015 - 2016,0.61
,,2016 - 2017,0.49
,,2017 - 2018,0.61
,,2018 - 2019,1.16
,,2019 - 2020,1.43
,,2020 - 2021,0.7
,,2021 - 2022,0.9
,,2022 - 2023,1.41
,Kishanganj,2000 - 2001,
,,2001 - 2002,1.71
,,2002 - 2003,1.98
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.03
,,2008 - 2009,2.52
,,2009 - 2010,2.79
,,2010 - 2011,3.43
,,2011 - 2012,2.42
,,2012 - 2013,7.55
,,2013 - 2014,4.03
,,2014 - 2015,1.94
,,2015 - 2016,4.14
,,2016 - 2017,4.31
,,2017 - 2018,6.57
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lakhisarai,2000 - 2001,
,,2001 - 2002,2.02
,,2002 - 2003,2.01
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.61
,,2008 - 2009,0.68
,,2009 - 2010,1.14
,,2010 - 2011,1.87
,,2011 - 2012,3.25
,,2012 - 2013,0.89
,,2013 - 2014,2.06
,,2014 - 2015,2.28
,,2015 - 2016,1.52
,,2016 - 2017,0.42
,,2017 - 2018,2.03
,,2018 - 2019,1.76
,,2019 - 2020,1.35
,,2020 - 2021,2.06
,,2021 - 2022,1.17
,,2022 - 2023,1.36
,Madhepura,2000 - 2001,
,,2001 - 2002,1.33
,,2002 - 2003,2.64
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.97
,,2008 - 2009,2.58
,,2009 - 2010,2.77
,,2010 - 2011,1.84
,,2011 - 2012,3.9
,,2012 - 2013,7.96
,,2013 - 2014,4.24
,,2014 - 2015,3.49
,,2015 - 2016,3.81
,,2016 - 2017,3.3
,,2017 - 2018,2.51
,,2018 - 2019,2.45
,,2019 - 2020,4.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,5.73
,Madhubani,2000 - 2001,
,,2001 - 2002,1.83
,,2002 - 2003,1.77
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.33
,,2008 - 2009,2.59
,,2009 - 2010,1.72
,,2010 - 2011,1.76
,,2011 - 2012,2.33
,,2012 - 2013,6.77
,,2013 - 2014,
,,2014 - 2015,2.46
,,2015 - 2016,2.92
,,2016 - 2017,3.1
,,2017 - 2018,2.06
,,2018 - 2019,1.68
,,2019 - 2020,2.65
,,2020 - 2021,0.02
,,2021 - 2022,0.5
,,2022 - 2023,3.0
,Munger,2000 - 2001,
,,2001 - 2002,1.55
,,2002 - 2003,1.54
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.06
,,2008 - 2009,0.97
,,2009 - 2010,1.82
,,2010 - 2011,1.37
,,2011 - 2012,0.85
,,2012 - 2013,1.99
,,2013 - 2014,1.63
,,2014 - 2015,2.47
,,2015 - 2016,2.03
,,2016 - 2017,1.51
,,2017 - 2018,0.95
,,2018 - 2019,1.47
,,2019 - 2020,2.43
,,2020 - 2021,0.89
,,2021 - 2022,2.92
,,2022 - 2023,2.05
,Muzaffarpur,2000 - 2001,
,,2001 - 2002,0.99
,,2002 - 2003,1.79
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.06
,,2008 - 2009,1.49
,,2009 - 2010,2.05
,,2010 - 2011,1.37
,,2011 - 2012,2.28
,,2012 - 2013,2.07
,,2013 - 2014,2.82
,,2014 - 2015,4.61
,,2015 - 2016,2.37
,,2016 - 2017,1.57
,,2017 - 2018,0.71
,,2018 - 2019,3.32
,,2019 - 2020,3.01
,,2020 - 2021,0.34
,,2021 - 2022,0.56
,,2022 - 2023,2.84
,Nalanda,2000 - 2001,
,,2001 - 2002,2.34
,,2002 - 2003,1.23
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.71
,,2008 - 2009,0.45
,,2009 - 2010,1.5
,,2010 - 2011,1.31
,,2011 - 2012,3.59
,,2012 - 2013,2.46
,,2013 - 2014,2.67
,,2014 - 2015,2.23
,,2015 - 2016,2.57
,,2016 - 2017,1.86
,,2017 - 2018,2.82
,,2018 - 2019,3.25
,,2019 - 2020,1.67
,,2020 - 2021,3.64
,,2021 - 2022,2.79
,,2022 - 2023,3.6
,Nawada,2000 - 2001,
,,2001 - 2002,1.21
,,2002 - 2003,1.1
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.28
,,2008 - 2009,1.12
,,2009 - 2010,1.55
,,2010 - 2011,1.11
,,2011 - 2012,1.78
,,2012 - 2013,1.74
,,2013 - 2014,1.97
,,2014 - 2015,2.14
,,2015 - 2016,2.3
,,2016 - 2017,2.35
,,2017 - 2018,3.09
,,2018 - 2019,1.41
,,2019 - 2020,2.35
,,2020 - 2021,1.98
,,2021 - 2022,3.37
,,2022 - 2023,2.32
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,1.44
,,2002 - 2003,4.52
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.08
,,2008 - 2009,6.11
,,2009 - 2010,0.92
,,2010 - 2011,1.45
,,2011 - 2012,3.24
,,2012 - 2013,3.55
,,2013 - 2014,2.88
,,2014 - 2015,2.35
,,2015 - 2016,3.5
,,2016 - 2017,2.93
,,2017 - 2018,1.19
,,2018 - 2019,2.65
,,2019 - 2020,3.9
,,2020 - 2021,0.94
,,2021 - 2022,3.62
,,2022 - 2023,1.0
,Patna,2000 - 2001,
,,2001 - 2002,1.66
,,2002 - 2003,1.59
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.35
,,2008 - 2009,0.68
,,2009 - 2010,1.01
,,2010 - 2011,0.82
,,2011 - 2012,1.6
,,2012 - 2013,2.46
,,2013 - 2014,3.75
,,2014 - 2015,3.06
,,2015 - 2016,2.11
,,2016 - 2017,1.44
,,2017 - 2018,4.1
,,2018 - 2019,3.45
,,2019 - 2020,1.94
,,2020 - 2021,1.62
,,2021 - 2022,1.52
,,2022 - 2023,2.35
,Purbi champaran,2000 - 2001,
,,2001 - 2002,0.07
,,2002 - 2003,2.55
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.38
,,2008 - 2009,1.28
,,2009 - 2010,0.93
,,2010 - 2011,0.87
,,2011 - 2012,3.54
,,2012 - 2013,3.33
,,2013 - 2014,1.68
,,2014 - 2015,1.98
,,2015 - 2016,1.5
,,2016 - 2017,2.45
,,2017 - 2018,2.49
,,2018 - 2019,1.65
,,2019 - 2020,2.07
,,2020 - 2021,0.7
,,2021 - 2022,1.18
,,2022 - 2023,3.41
,Purnia,2000 - 2001,
,,2001 - 2002,1.73
,,2002 - 2003,1.88
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.13
,,2008 - 2009,2.38
,,2009 - 2010,3.71
,,2010 - 2011,3.34
,,2011 - 2012,1.64
,,2012 - 2013,4.41
,,2013 - 2014,2.7
,,2014 - 2015,2.66
,,2015 - 2016,2.73
,,2016 - 2017,2.61
,,2017 - 2018,3.73
,,2018 - 2019,3.58
,,2019 - 2020,3.49
,,2020 - 2021,1.93
,,2021 - 2022,2.08
,,2022 - 2023,3.81
,Rohtas,2000 - 2001,
,,2001 - 2002,1.69
,,2002 - 2003,1.57
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.43
,,2008 - 2009,0.56
,,2009 - 2010,1.05
,,2010 - 2011,1.56
,,2011 - 2012,2.25
,,2012 - 2013,2.52
,,2013 - 2014,2.49
,,2014 - 2015,2.43
,,2015 - 2016,2.43
,,2016 - 2017,1.49
,,2017 - 2018,3.03
,Saharsa,2000 - 2001,
,,2001 - 2002,1.39
,,2002 - 2003,1.72
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.61
,,2008 - 2009,3.22
,,2009 - 2010,2.62
,,2010 - 2011,3.54
,,2011 - 2012,4.34
,,2012 - 2013,5.21
,,2013 - 2014,4.84
,,2014 - 2015,4.45
,,2015 - 2016,1.56
,,2016 - 2017,4.03
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,
,,2001 - 2002,1.7
,,2002 - 2003,1.32
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.32
,,2008 - 2009,2.88
,,2009 - 2010,1.95
,,2010 - 2011,1.77
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.14
,,2014 - 2015,2.43
,,2015 - 2016,2.66
,,2016 - 2017,3.01
,,2017 - 2018,2.02
,,2018 - 2019,2.17
,,2019 - 2020,1.79
,,2020 - 2021,0.66
,,2021 - 2022,0.57
,,2022 - 2023,2.52
,Saran,2000 - 2001,
,,2001 - 2002,1.57
,,2002 - 2003,1.9
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.02
,,2008 - 2009,0.47
,,2009 - 2010,1.47
,,2010 - 2011,1.44
,,2011 - 2012,1.66
,,2012 - 2013,2.08
,,2013 - 2014,2.77
,,2014 - 2015,2.6
,,2015 - 2016,2.86
,,2016 - 2017,3.85
,,2017 - 2018,2.89
,,2018 - 2019,1.83
,,2019 - 2020,2.36
,,2020 - 2021,1.85
,,2021 - 2022,2.8
,,2022 - 2023,3.48
,Sheikhpura,2000 - 2001,
,,2001 - 2002,1.65
,,2002 - 2003,1.21
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.52
,,2008 - 2009,1.25
,,2009 - 2010,1.32
,,2010 - 2011,1.13
,,2011 - 2012,1.35
,,2012 - 2013,2.27
,,2013 - 2014,1.05
,,2014 - 2015,1.22
,,2015 - 2016,1.32
,,2016 - 2017,0.68
,,2017 - 2018,0.69
,,2018 - 2019,1.42
,,2019 - 2020,2.28
,,2020 - 2021,2.12
,,2021 - 2022,2.06
,,2022 - 2023,1.68
,Sheohar,2000 - 2001,
,,2001 - 2002,1.62
,,2002 - 2003,2.67
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.29
,,2008 - 2009,1.4
,,2009 - 2010,1.78
,,2010 - 2011,2.14
,,2011 - 2012,2.67
,,2012 - 2013,3.72
,,2013 - 2014,5.75
,,2014 - 2015,4.33
,,2015 - 2016,1.72
,,2016 - 2017,2.6
,,2017 - 2018,2.26
,,2018 - 2019,2.29
,,2019 - 2020,3.19
,,2020 - 2021,0.94
,,2021 - 2022,
,,2022 - 2023,3.26
,Sitamarhi,2000 - 2001,
,,2001 - 2002,1.07
,,2002 - 2003,2.16
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.51
,,2008 - 2009,1.8
,,2009 - 2010,0.99
,,2010 - 2011,1.13
,,2011 - 2012,2.87
,,2012 - 2013,5.04
,,2013 - 2014,2.44
,,2014 - 2015,3.92
,,2015 - 2016,2.27
,,2016 - 2017,2.6
,,2017 - 2018,2.16
,,2018 - 2019,3.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siwan,2000 - 2001,
,,2001 - 2002,1.64
,,2002 - 2003,2.15
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.61
,,2008 - 2009,0.38
,,2009 - 2010,3.28
,,2010 - 2011,1.78
,,2011 - 2012,2.41
,,2012 - 2013,2.51
,,2013 - 2014,2.6
,,2014 - 2015,2.53
,,2015 - 2016,1.89
,,2016 - 2017,2.76
,,2017 - 2018,2.21
,,2018 - 2019,1.96
,,2019 - 2020,1.66
,,2020 - 2021,0.71
,,2021 - 2022,1.59
,,2022 - 2023,2.98
,Supaul,2000 - 2001,
,,2001 - 2002,1.45
,,2002 - 2003,2.41
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.25
,,2009 - 2010,2.7
,,2010 - 2011,2.53
,,2011 - 2012,4.02
,,2012 - 2013,5.86
,,2013 - 2014,3.82
,,2014 - 2015,2.62
,,2015 - 2016,3.95
,,2016 - 2017,5.25
,,2017 - 2018,3.22
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2000 - 2001,
,,2001 - 2002,0.93
,,2002 - 2003,1.86
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.63
,,2008 - 2009,1.87
,,2009 - 2010,1.7
,,2010 - 2011,1.98
,,2011 - 2012,1.58
,,2012 - 2013,3.16
,,2013 - 2014,3.64
,,2014 - 2015,3.86
,,2015 - 2016,3.1
,,2016 - 2017,3.83
,,2017 - 2018,2.93
,,2018 - 2019,2.07
,,2019 - 2020,1.82
,,2020 - 2021,1.41
,,2021 - 2022,1.45
,,2022 - 2023,2.57
Chandigarh,Chandigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Chhattisgarh,Balod,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baloda bazar,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2011 - 2012,
