state,district,year,maize_kharif_yield_tonne_per_hectare
,Kanchipuram,2003 - 2004,1.58
,,2004 - 2005,1.56
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,3.8
,,2011 - 2012,5.7
,,2012 - 2013,3.57
,,2013 - 2014,6.52
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,4.56
,,2018 - 2019,8.5
,,2019 - 2020,8.0
,,2021 - 2022,8.5
,,2022 - 2023,7.0
,Kanniyakumari,2014 - 2015,8.75
,,2015 - 2016,7.36
,,2016 - 2017,4.57
,,2017 - 2018,9.0
,,2018 - 2019,8.33
,,2019 - 2020,8.17
,Karur,2000 - 2001,1.61
,,2002 - 2003,3.0
,,2003 - 2004,2.45
,,2004 - 2005,2.45
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.86
,,2011 - 2012,5.68
,,2012 - 2013,3.51
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.62
,,2019 - 2020,8.9
,,2020 - 2021,7.29
,,2021 - 2022,8.09
,,2022 - 2023,7.78
,Krishnagiri,2004 - 2005,1.1
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.93
,,2011 - 2012,5.68
,,2012 - 2013,3.48
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.6
,,2019 - 2020,8.32
,,2020 - 2021,6.25
,,2021 - 2022,6.52
,,2022 - 2023,8.24
,Madurai,2000 - 2001,2.01
,,2002 - 2003,2.01
,,2003 - 2004,2.0
,,2004 - 2005,2.01
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.96
,,2011 - 2012,3.86
,,2012 - 2013,2.1
,,2013 - 2014,4.06
,,2014 - 2015,5.02
,,2015 - 2016,6.83
,,2016 - 2017,2.29
,,2017 - 2018,6.79
,,2018 - 2019,6.34
,,2019 - 2020,6.02
,,2020 - 2021,4.31
,,2021 - 2022,5.52
,,2022 - 2023,4.5
,Mayiladuthurai,2020 - 2021,7.18
,,2021 - 2022,8.0
,,2022 - 2023,8.25
,Nagapattinam,2002 - 2003,2.5
,,2003 - 2004,2.65
,,2004 - 2005,2.59
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.88
,,2011 - 2012,5.71
,,2012 - 2013,3.47
,,2013 - 2014,6.53
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,9.0
,,2018 - 2019,
,,2019 - 2020,9.08
,Namakkal,2000 - 2001,1.61
,,2002 - 2003,1.86
,,2003 - 2004,1.86
,,2004 - 2005,1.86
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,7.18
,,2011 - 2012,5.68
,,2012 - 2013,4.19
,,2013 - 2014,8.33
,,2014 - 2015,7.49
,,2015 - 2016,10.05
,,2016 - 2017,8.06
,,2017 - 2018,7.02
,,2018 - 2019,7.6
,,2019 - 2020,8.94
,,2020 - 2021,7.28
,,2021 - 2022,8.05
,,2022 - 2023,7.8
,Perambalur,2000 - 2001,1.61
,,2002 - 2003,1.18
,,2003 - 2004,1.18
,,2004 - 2005,1.18
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.77
,,2011 - 2012,5.75
,,2012 - 2013,1.94
,,2013 - 2014,7.77
,,2014 - 2015,11.29
,,2015 - 2016,5.93
,,2016 - 2017,2.59
,,2017 - 2018,11.5
,,2018 - 2019,7.6
,,2019 - 2020,10.06
,,2020 - 2021,8.33
,,2021 - 2022,9.07
,,2022 - 2023,9.12
,Pudukkottai,2000 - 2001,2.07
,,2002 - 2003,2.06
,,2003 - 2004,2.05
,,2004 - 2005,2.05
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,7.18
,,2011 - 2012,8.1
,,2012 - 2013,5.75
,,2013 - 2014,7.2
,,2014 - 2015,8.08
,,2015 - 2016,9.62
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,6.37
,,2019 - 2020,8.94
,,2020 - 2021,7.28
,,2021 - 2022,8.05
,,2022 - 2023,7.8
,Ramanathapuram,2002 - 2003,1.15
,,2003 - 2004,1.18
,,2004 - 2005,1.17
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.45
,,2011 - 2012,
,,2012 - 2013,2.82
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,7.8
,Ranipet,2020 - 2021,7.0
,,2021 - 2022,8.0
,,2022 - 2023,8.0
,Salem,2000 - 2001,1.86
,,2002 - 2003,1.86
,,2003 - 2004,1.86
,,2004 - 2005,1.86
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.09
,,2011 - 2012,5.32
,,2012 - 2013,5.67
,,2013 - 2014,7.52
,,2014 - 2015,10.19
,,2015 - 2016,11.16
,,2016 - 2017,8.24
,,2017 - 2018,9.5
,,2018 - 2019,10.64
,,2019 - 2020,8.96
,,2020 - 2021,9.63
,,2021 - 2022,7.78
,,2022 - 2023,8.14
,Sivaganga,2000 - 2001,1.5
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.0
,,2011 - 2012,5.68
,,2012 - 2013,3.47
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.36
,,2016 - 2017,4.56
,,2017 - 2018,9.21
,,2018 - 2019,7.7
,,2019 - 2020,8.92
,,2020 - 2021,7.5
,,2021 - 2022,8.06
,,2022 - 2023,7.75
,Thanjavur,2000 - 2001,2.67
,,2002 - 2003,2.67
,,2003 - 2004,2.67
,,2004 - 2005,2.67
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.73
,,2011 - 2012,5.68
,,2012 - 2013,3.39
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.6
,,2019 - 2020,8.93
,,2020 - 2021,7.28
,,2021 - 2022,8.07
,,2022 - 2023,7.8
,The nilgiris,2000 - 2001,1.62
,,2019 - 2020,11.0
,,2020 - 2021,9.0
,,2021 - 2022,10.67
,,2022 - 2023,6.0
,Theni,2000 - 2001,1.61
,,2002 - 2003,2.01
,,2003 - 2004,2.0
,,2004 - 2005,2.01
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,6.48
,,2011 - 2012,6.74
,,2012 - 2013,6.19
,,2013 - 2014,8.58
,,2014 - 2015,10.3
,,2015 - 2016,8.49
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.6
,,2019 - 2020,8.94
,,2020 - 2021,7.28
,,2021 - 2022,8.05
,,2022 - 2023,7.8
,Thenkasi,2020 - 2021,7.3
,,2021 - 2022,8.0
,,2022 - 2023,7.84
,Thiruvallur,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,4.0
,,2012 - 2013,3.5
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.4
,,2016 - 2017,4.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,9.5
,,2020 - 2021,
,,2021 - 2022,7.25
,,2022 - 2023,7.79
,Thiruvarur,2002 - 2003,2.86
,,2003 - 2004,2.93
,,2004 - 2005,3.0
,,2005 - 2006,0.0
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,8.71
,,2020 - 2021,7.33
,,2021 - 2022,8.0
,,2022 - 2023,7.77
,Thoothukudi,2000 - 2001,0.45
,,2002 - 2003,0.69
,,2003 - 2004,0.74
,,2004 - 2005,0.79
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.53
,,2011 - 2012,5.7
,,2012 - 2013,1.03
,,2013 - 2014,0.0
,,2014 - 2015,8.75
,,2015 - 2016,
,,2016 - 2017,4.5
,,2017 - 2018,
,,2018 - 2019,7.0
,,2019 - 2020,
,,2020 - 2021,7.67
,,2021 - 2022,8.6
,,2022 - 2023,9.5
,Tiruchirappalli,2000 - 2001,1.2
,,2002 - 2003,1.38
,,2003 - 2004,1.33
,,2004 - 2005,1.31
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.96
,,2011 - 2012,5.25
,,2012 - 2013,2.47
,,2013 - 2014,4.13
,,2014 - 2015,7.87
,,2015 - 2016,6.91
,,2016 - 2017,3.23
,,2017 - 2018,10.38
,,2018 - 2019,7.6
,,2019 - 2020,9.66
,,2020 - 2021,5.26
,,2021 - 2022,9.03
,,2022 - 2023,8.75
,Tirunelveli,2000 - 2001,0.54
,,2002 - 2003,0.78
,,2003 - 2004,0.83
,,2004 - 2005,0.89
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.18
,,2011 - 2012,5.68
,,2012 - 2013,3.17
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,10.47
,,2019 - 2020,8.84
,,2020 - 2021,7.32
,,2021 - 2022,8.03
,,2022 - 2023,7.77
,Tirupathur,2020 - 2021,7.27
,,2021 - 2022,8.05
,,2022 - 2023,7.8
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.95
,,2011 - 2012,8.14
,,2012 - 2013,6.16
,,2013 - 2014,7.75
,,2014 - 2015,9.14
,,2015 - 2016,11.98
,,2016 - 2017,4.15
,,2017 - 2018,10.72
,,2018 - 2019,7.6
,,2019 - 2020,7.91
,,2020 - 2021,10.67
,,2021 - 2022,9.78
,,2022 - 2023,9.27
,Tiruvannamalai,2000 - 2001,1.67
,,2002 - 2003,1.69
,,2003 - 2004,1.67
,,2004 - 2005,1.67
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.74
,,2011 - 2012,5.68
,,2012 - 2013,3.3
,,2013 - 2014,6.54
,,2014 - 2015,8.72
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.58
,,2019 - 2020,8.94
,,2020 - 2021,7.27
,,2021 - 2022,8.06
,,2022 - 2023,7.8
,Vellore,2000 - 2001,1.61
,,2002 - 2003,1.66
,,2003 - 2004,1.66
,,2004 - 2005,1.66
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.74
,,2011 - 2012,5.68
,,2012 - 2013,3.31
,,2013 - 2014,6.54
,,2014 - 2015,8.71
,,2015 - 2016,7.35
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,7.6
,,2019 - 2020,8.93
,,2020 - 2021,7.25
,,2021 - 2022,8.05
,,2022 - 2023,7.78
,Villupuram,2000 - 2001,1.67
,,2002 - 2003,1.45
,,2003 - 2004,1.45
,,2004 - 2005,1.45
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.72
,,2011 - 2012,6.99
,,2012 - 2013,4.0
,,2013 - 2014,6.71
,,2014 - 2015,7.75
,,2015 - 2016,8.49
,,2016 - 2017,10.76
,,2017 - 2018,9.1
,,2018 - 2019,7.6
,,2019 - 2020,9.03
,,2020 - 2021,7.27
,,2021 - 2022,8.06
,,2022 - 2023,7.8
,Virudhunagar,2000 - 2001,2.03
,,2002 - 2003,2.02
,,2003 - 2004,2.03
,,2004 - 2005,2.03
,,2005 - 2006,0.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.15
,,2011 - 2012,6.96
,,2012 - 2013,2.23
,,2013 - 2014,4.43
,,2014 - 2015,7.32
,,2015 - 2016,7.32
,,2016 - 2017,4.55
,,2017 - 2018,9.22
,,2018 - 2019,10.07
,,2019 - 2020,6.32
,,2020 - 2021,5.2
,,2021 - 2022,5.67
,,2022 - 2023,4.23
Telangana,Adilabad,2000 - 2001,2.87
,,2001 - 2002,3.8
,,2002 - 2003,2.12
,,2003 - 2004,4.0
,,2004 - 2005,2.97
,,2005 - 2006,3.56
,,2006 - 2007,3.03
,,2007 - 2008,3.39
,,2008 - 2009,4.73
,,2009 - 2010,3.82
,,2010 - 2011,4.21
,,2011 - 2012,2.14
,,2012 - 2013,3.0
,,2013 - 2014,3.42
,,2014 - 2015,2.62
,,2015 - 2016,3.12
,,2016 - 2017,3.46
,,2017 - 2018,3.45
,,2018 - 2019,3.1
,,2019 - 2020,4.84
,,2020 - 2021,4.59
,,2021 - 2022,4.57
,,2022 - 2023,4.55
,Bhadradri,2016 - 2017,4.17
,,2017 - 2018,4.13
,,2018 - 2019,2.51
,,2019 - 2020,5.24
,,2020 - 2021,3.79
,,2021 - 2022,4.85
,,2022 - 2023,4.83
,Jagitial,2016 - 2017,4.54
,,2017 - 2018,4.46
,,2018 - 2019,6.35
,,2019 - 2020,5.84
,,2020 - 2021,6.56
,,2021 - 2022,5.99
,,2022 - 2023,6.42
,Jangoan,2016 - 2017,4.25
,,2017 - 2018,4.88
,,2018 - 2019,5.71
,,2019 - 2020,5.5
,,2020 - 2021,5.04
,,2021 - 2022,4.5
,,2022 - 2023,5.0
,Jayashankar,2016 - 2017,4.25
,,2017 - 2018,7.0
,,2018 - 2019,6.8
,,2019 - 2020,4.85
,,2020 - 2021,4.71
,,2021 - 2022,4.55
,,2022 - 2023,4.55
,Jogulamba,2016 - 2017,1.09
,,2017 - 2018,5.64
,,2018 - 2019,2.7
,,2019 - 2020,4.93
,,2020 - 2021,2.44
,,2021 - 2022,5.25
,,2022 - 2023,4.14
,Kamareddy,2016 - 2017,5.27
,,2017 - 2018,5.35
,,2018 - 2019,6.17
,,2019 - 2020,6.13
,,2020 - 2021,5.22
,,2021 - 2022,5.56
,,2022 - 2023,4.42
,Karimnagar,2000 - 2001,3.21
,,2001 - 2002,3.52
,,2002 - 2003,3.08
,,2003 - 2004,3.87
,,2004 - 2005,2.28
,,2005 - 2006,3.92
,,2006 - 2007,3.28
,,2007 - 2008,5.82
,,2008 - 2009,4.42
,,2009 - 2010,2.55
,,2010 - 2011,4.66
,,2011 - 2012,3.17
,,2012 - 2013,4.8
,,2013 - 2014,5.13
,,2014 - 2015,4.58
,,2015 - 2016,4.1
,,2016 - 2017,4.54
,,2017 - 2018,4.68
,,2018 - 2019,5.67
,,2019 - 2020,6.23
,,2020 - 2021,4.58
,,2021 - 2022,5.09
,,2022 - 2023,4.63
,Khammam,2000 - 2001,2.98
,,2001 - 2002,3.33
,,2002 - 2003,0.95
,,2003 - 2004,4.38
,,2004 - 2005,2.62
,,2005 - 2006,2.82
,,2006 - 2007,4.43
,,2007 - 2008,6.13
,,2008 - 2009,5.09
,,2009 - 2010,3.29
,,2010 - 2011,3.67
,,2011 - 2012,4.25
,,2012 - 2013,5.08
,,2013 - 2014,4.8
,,2014 - 2015,3.36
,,2015 - 2016,3.65
,,2016 - 2017,4.17
,,2017 - 2018,4.82
,,2018 - 2019,5.36
,,2019 - 2020,5.47
,,2020 - 2021,5.24
,,2021 - 2022,4.83
,,2022 - 2023,4.96
,Komaram bheem asifabad,2016 - 2017,3.46
,,2017 - 2018,3.45
,,2018 - 2019,4.64
,,2019 - 2020,3.28
,,2020 - 2021,1.41
,,2021 - 2022,4.57
,,2022 - 2023,4.55
,Mahabubabad,2016 - 2017,4.25
,,2017 - 2018,5.33
,,2018 - 2019,3.43
,,2019 - 2020,5.68
,,2020 - 2021,3.8
,,2021 - 2022,3.77
,,2022 - 2023,4.12
,Mahbubnagar,2000 - 2001,1.51
,,2001 - 2002,1.89
,,2002 - 2003,1.17
,,2003 - 2004,2.16
,,2004 - 2005,1.51
,,2005 - 2006,3.36
,,2006 - 2007,1.46
,,2007 - 2008,3.82
,,2008 - 2009,1.51
,,2009 - 2010,0.98
,,2010 - 2011,3.14
,,2011 - 2012,1.36
,,2012 - 2013,3.02
,,2013 - 2014,4.73
,,2014 - 2015,1.8
,,2015 - 2016,1.27
,,2016 - 2017,1.09
,,2017 - 2018,1.45
,,2018 - 2019,1.2
,,2019 - 2020,3.11
,,2020 - 2021,2.47
,,2021 - 2022,2.96
,,2022 - 2023,3.25
,Mancherial,2016 - 2017,3.46
,,2017 - 2018,3.45
,,2018 - 2019,3.93
,,2019 - 2020,4.84
,,2020 - 2021,4.65
,,2021 - 2022,4.56
,,2022 - 2023,4.56
,Medak,2000 - 2001,1.88
,,2001 - 2002,2.31
,,2002 - 2003,2.29
,,2003 - 2004,1.86
,,2004 - 2005,2.0
,,2005 - 2006,2.84
,,2006 - 2007,1.52
,,2007 - 2008,4.27
,,2008 - 2009,2.34
,,2009 - 2010,0.96
,,2010 - 2011,3.53
,,2011 - 2012,2.79
,,2012 - 2013,4.44
,,2013 - 2014,3.66
,,2014 - 2015,1.54
,,2015 - 2016,2.12
,,2016 - 2017,2.52
,,2017 - 2018,3.71
,,2018 - 2019,2.67
,,2019 - 2020,4.3
,,2020 - 2021,3.76
,,2021 - 2022,2.79
,,2022 - 2023,2.5
,Medchal,2016 - 2017,3.14
,,2017 - 2018,3.45
,,2018 - 2019,2.48
,,2019 - 2020,4.07
,,2020 - 2021,3.52
,,2021 - 2022,4.56
,,2022 - 2023,1.32
,Mulugu,2018 - 2019,6.8
,,2019 - 2020,6.59
,,2020 - 2021,4.61
,,2021 - 2022,4.78
,,2022 - 2023,3.12
,Nagarkurnool,2016 - 2017,1.09
,,2017 - 2018,2.01
,,2018 - 2019,0.64
,,2019 - 2020,2.56
,,2020 - 2021,2.98
,,2021 - 2022,2.67
,,2022 - 2023,4.43
,Nalgonda,2000 - 2001,2.57
,,2001 - 2002,2.94
,,2002 - 2003,2.31
,,2003 - 2004,3.11
,,2004 - 2005,2.4
,,2005 - 2006,3.49
,,2006 - 2007,2.34
,,2007 - 2008,1.67
,,2008 - 2009,1.48
,,2009 - 2010,1.55
,,2010 - 2011,2.45
,,2011 - 2012,1.74
,,2012 - 2013,1.33
,,2013 - 2014,1.23
,,2014 - 2015,0.75
,,2015 - 2016,0.7
,,2016 - 2017,1.89
,,2017 - 2018,3.45
,,2018 - 2019,3.07
,,2019 - 2020,4.87
,,2020 - 2021,4.45
,,2021 - 2022,4.56
,,2022 - 2023,4.56
,Narayanapet,2018 - 2019,1.2
,,2019 - 2020,4.84
,,2020 - 2021,6.0
,,2021 - 2022,4.56
,,2022 - 2023,4.56
,Nirmal,2016 - 2017,3.46
,,2017 - 2018,5.72
,,2018 - 2019,6.11
,,2019 - 2020,8.19
,,2020 - 2021,6.7
,,2021 - 2022,6.3
,,2022 - 2023,4.7
,Nizamabad,2000 - 2001,4.03
,,2001 - 2002,3.93
,,2002 - 2003,3.35
,,2003 - 2004,3.74
,,2004 - 2005,3.52
,,2005 - 2006,3.96
,,2006 - 2007,2.56
,,2007 - 2008,5.36
,,2008 - 2009,4.49
,,2009 - 2010,3.26
,,2010 - 2011,5.06
,,2011 - 2012,5.06
,,2012 - 2013,6.16
,,2013 - 2014,4.97
,,2014 - 2015,4.9
,,2015 - 2016,4.44
,,2016 - 2017,5.27
,,2017 - 2018,5.03
,,2018 - 2019,5.7
,,2019 - 2020,6.41
,,2020 - 2021,5.51
,,2021 - 2022,6.44
,,2022 - 2023,5.9
,Peddapalli,2016 - 2017,4.54
,,2017 - 2018,6.92
,,2018 - 2019,6.61
,,2019 - 2020,8.28
,,2020 - 2021,4.87
,,2021 - 2022,4.76
,,2022 - 2023,6.07
,Rajanna,2016 - 2017,4.54
,,2017 - 2018,2.85
,,2018 - 2019,5.15
,,2019 - 2020,7.03
,,2020 - 2021,5.41
,,2021 - 2022,4.57
,,2022 - 2023,5.61
,Rangareddi,2000 - 2001,1.96
,,2001 - 2002,2.03
,,2002 - 2003,2.62
,,2003 - 2004,4.23
,,2004 - 2005,2.62
,,2005 - 2006,3.58
,,2006 - 2007,2.78
,,2007 - 2008,4.42
,,2008 - 2009,2.47
,,2009 - 2010,1.84
,,2010 - 2011,1.93
,,2011 - 2012,1.73
,,2012 - 2013,3.83
,,2013 - 2014,3.46
,,2014 - 2015,2.88
,,2015 - 2016,3.79
,,2016 - 2017,3.14
,,2017 - 2018,2.16
,,2018 - 2019,0.71
,,2019 - 2020,3.32
,,2020 - 2021,3.24
,,2021 - 2022,3.58
,,2022 - 2023,3.47
,Sangareddy,2016 - 2017,2.52
,,2017 - 2018,3.55
,,2018 - 2019,3.15
,,2019 - 2020,4.49
,,2020 - 2021,3.65
,,2021 - 2022,3.45
,,2022 - 2023,3.95
,Siddipet,2016 - 2017,2.52
,,2017 - 2018,2.88
,,2018 - 2019,2.59
,,2019 - 2020,4.31
,,2020 - 2021,4.48
,,2021 - 2022,3.82
,,2022 - 2023,5.06
,Suryapet,2016 - 2017,1.88
,,2017 - 2018,3.47
,,2018 - 2019,3.12
,,2019 - 2020,4.82
,,2020 - 2021,4.65
,,2021 - 2022,4.55
,,2022 - 2023,4.6
,Vikarabad,2016 - 2017,3.14
,,2017 - 2018,3.17
,,2018 - 2019,3.25
,,2019 - 2020,5.2
,,2020 - 2021,4.39
,,2021 - 2022,4.54
,,2022 - 2023,4.24
,Wanaparthy,2016 - 2017,1.09
,,2017 - 2018,3.17
,,2018 - 2019,2.95
,,2019 - 2020,5.25
,,2020 - 2021,3.61
,,2021 - 2022,3.93
,,2022 - 2023,4.94
,Warangal,2000 - 2001,2.27
,,2001 - 2002,3.01
,,2002 - 2003,2.35
,,2003 - 2004,3.55
,,2004 - 2005,3.65
,,2005 - 2006,3.85
,,2006 - 2007,2.98
,,2007 - 2008,4.22
,,2008 - 2009,3.69
,,2009 - 2010,2.15
,,2010 - 2011,2.78
,,2011 - 2012,4.06
,,2012 - 2013,4.1
,,2013 - 2014,4.8
,,2014 - 2015,3.99
,,2015 - 2016,3.66
,,2016 - 2017,4.25
,,2017 - 2018,6.97
,,2018 - 2019,6.42
,,2019 - 2020,5.8
,,2020 - 2021,4.0
,,2021 - 2022,6.38
,,2022 - 2023,5.45
,Warangal urban,2016 - 2017,4.25
,,2017 - 2018,5.53
,,2018 - 2019,4.3
,,2019 - 2020,5.48
,,2020 - 2021,6.98
,,2021 - 2022,5.72
,,2022 - 2023,5.29
,Yadadri,2016 - 2017,1.89
,,2017 - 2018,2.95
,,2018 - 2019,2.11
,,2019 - 2020,2.13
,,2020 - 2021,4.7
,,2021 - 2022,4.55
,,2022 - 2023,4.56
Tripura,Dhalai,2000 - 2001,1.03
,,2001 - 2002,1.05
,,2002 - 2003,0.99
,,2003 - 2004,1.03
,,2004 - 2005,1.15
,,2005 - 2006,1.01
,,2006 - 2007,1.07
,,2007 - 2008,0.98
,,2008 - 2009,0.99
,,2009 - 2010,1.06
,,2010 - 2011,1.35
,,2011 - 2012,1.2
,,2012 - 2013,1.34
,,2013 - 2014,1.17
,,2014 - 2015,1.18
,,2015 - 2016,1.27
,,2016 - 2017,1.26
,,2017 - 2018,1.3
,,2018 - 2019,1.26
,,2019 - 2020,1.37
,,2020 - 2021,1.49
,,2021 - 2022,1.84
,,2022 - 2023,2.07
,Gomati,2012 - 2013,1.34
,,2013 - 2014,1.13
,,2014 - 2015,1.27
,,2015 - 2016,1.42
,,2016 - 2017,1.42
,,2017 - 2018,1.49
,,2018 - 2019,1.29
,,2019 - 2020,1.5
,,2020 - 2021,1.61
,,2021 - 2022,1.84
,,2022 - 2023,1.86
,Khowai,2012 - 2013,1.32
,,2013 - 2014,1.54
,,2014 - 2015,1.48
,,2015 - 2016,1.39
,,2016 - 2017,1.39
,,2017 - 2018,1.44
,,2018 - 2019,1.24
,,2019 - 2020,1.31
,,2020 - 2021,1.83
,,2021 - 2022,1.82
,,2022 - 2023,1.91
,North tripura,2000 - 2001,0.98
,,2001 - 2002,0.96
,,2002 - 2003,0.91
,,2003 - 2004,0.93
,,2004 - 2005,1.18
,,2005 - 2006,1.0
,,2006 - 2007,1.01
,,2007 - 2008,1.01
,,2008 - 2009,1.07
,,2009 - 2010,1.02
,,2010 - 2011,1.4
,,2011 - 2012,1.24
,,2012 - 2013,1.26
,,2013 - 2014,1.3
,,2014 - 2015,1.39
,,2015 - 2016,1.36
,,2016 - 2017,1.33
,,2017 - 2018,1.29
,,2018 - 2019,1.26
,,2019 - 2020,1.47
,,2020 - 2021,1.72
,,2021 - 2022,1.77
,,2022 - 2023,1.78
,Sepahijala,2012 - 2013,1.19
,,2013 - 2014,1.19
,,2014 - 2015,1.23
,,2015 - 2016,1.46
,,2016 - 2017,1.52
,,2017 - 2018,1.48
,,2018 - 2019,1.48
,,2019 - 2020,1.51
,,2020 - 2021,2.04
,,2021 - 2022,2.02
,,2022 - 2023,2.13
,South tripura,2000 - 2001,1.02
,,2001 - 2002,1.01
,,2002 - 2003,0.97
,,2003 - 2004,0.98
,,2004 - 2005,0.98
,,2005 - 2006,0.98
,,2006 - 2007,1.01
,,2007 - 2008,1.06
,,2008 - 2009,0.97
,,2009 - 2010,1.02
,,2010 - 2011,1.27
,,2011 - 2012,1.17
,,2012 - 2013,1.24
,,2013 - 2014,1.15
,,2014 - 2015,1.3
,,2015 - 2016,1.47
,,2016 - 2017,1.47
,,2017 - 2018,1.52
,,2018 - 2019,1.37
,,2019 - 2020,1.46
,,2020 - 2021,2.03
,,2021 - 2022,1.87
,,2022 - 2023,2.13
,Unakoti,2012 - 2013,1.44
,,2013 - 2014,1.25
,,2014 - 2015,1.28
,,2015 - 2016,1.36
,,2016 - 2017,1.35
,,2017 - 2018,1.5
,,2018 - 2019,1.26
,,2019 - 2020,1.35
,,2020 - 2021,1.71
,,2021 - 2022,1.95
,,2022 - 2023,1.97
,West tripura,2000 - 2001,0.97
,,2001 - 2002,0.94
,,2002 - 2003,0.94
,,2003 - 2004,0.89
,,2004 - 2005,0.9
,,2005 - 2006,0.94
,,2006 - 2007,0.88
,,2007 - 2008,0.93
,,2008 - 2009,0.93
,,2009 - 2010,0.9
,,2010 - 2011,1.31
,,2011 - 2012,1.74
,,2012 - 2013,1.41
,,2013 - 2014,1.62
,,2014 - 2015,1.34
,,2015 - 2016,1.35
,,2016 - 2017,1.33
,,2017 - 2018,1.4
,,2018 - 2019,1.3
,,2019 - 2020,1.39
,,2020 - 2021,1.42
,,2021 - 2022,1.78
,,2022 - 2023,1.83
Uttar Pradesh,Agra,2000 - 2001,1.99
,,2001 - 2002,1.95
