state,district,year,maize_summer_yield_tonne_per_hectare
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalbari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivasagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonitpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South salmara mancachar,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tinsukia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udalguri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West karbi anglong,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Bihar,Araria,2000 - 2001,2.55
,,2001 - 2002,2.77
,,2002 - 2003,1.9
,,2003 - 2004,2.26
,,2004 - 2005,2.72
,,2005 - 2006,2.99
,,2006 - 2007,4.8
,,2007 - 2008,3.86
,,2008 - 2009,3.56
,,2009 - 2010,2.99
,,2010 - 2011,5.25
,,2011 - 2012,4.27
,,2012 - 2013,3.86
,,2013 - 2014,5.34
,,2014 - 2015,4.01
,,2015 - 2016,3.98
,,2016 - 2017,7.13
,,2017 - 2018,3.74
,,2018 - 2019,3.62
,,2019 - 2020,3.5
,,2020 - 2021,7.29
,,2021 - 2022,3.91
,,2022 - 2023,
,Arwal,2003 - 2004,2.88
,,2004 - 2005,2.83
,,2005 - 2006,2.37
,,2007 - 2008,3.52
,,2008 - 2009,3.22
,,2009 - 2010,3.09
,,2010 - 2011,3.99
,,2011 - 2012,4.47
,,2012 - 2013,5.45
,,2013 - 2014,4.82
,,2014 - 2015,4.21
,,2015 - 2016,3.95
,,2016 - 2017,5.87
,,2017 - 2018,4.2
,,2018 - 2019,3.58
,,2019 - 2020,3.97
,,2020 - 2021,5.18
,,2021 - 2022,4.53
,,2022 - 2023,6.66
,Aurangabad,2000 - 2001,3.0
,,2001 - 2002,2.5
,,2002 - 2003,3.0
,,2003 - 2004,2.75
,,2004 - 2005,3.33
,,2005 - 2006,
,,2006 - 2007,3.25
,,2007 - 2008,3.38
,,2008 - 2009,3.33
,,2009 - 2010,3.11
,,2010 - 2011,4.0
,,2011 - 2012,
,,2012 - 2013,3.8
,,2013 - 2014,4.8
,,2014 - 2015,4.5
,,2015 - 2016,3.83
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Banka,2000 - 2001,3.44
,,2001 - 2002,3.22
,,2002 - 2003,2.61
,,2003 - 2004,2.72
,,2004 - 2005,3.24
,,2005 - 2006,2.76
,,2006 - 2007,3.52
,,2007 - 2008,3.83
,,2008 - 2009,1.82
,,2009 - 2010,2.85
,,2010 - 2011,4.8
,,2011 - 2012,5.55
,,2012 - 2013,6.16
,,2013 - 2014,5.22
,,2014 - 2015,4.14
,,2015 - 2016,5.4
,,2016 - 2017,4.54
,,2017 - 2018,6.32
,,2018 - 2019,4.93
,,2019 - 2020,5.05
,,2020 - 2021,6.17
,,2021 - 2022,5.23
,,2022 - 2023,2.62
,Begusarai,2000 - 2001,2.85
,,2001 - 2002,2.43
,,2002 - 2003,2.72
,,2003 - 2004,3.01
,,2004 - 2005,2.18
,,2005 - 2006,2.15
,,2006 - 2007,3.44
,,2007 - 2008,3.55
,,2008 - 2009,3.23
,,2009 - 2010,2.42
,,2010 - 2011,3.07
,,2011 - 2012,3.33
,,2012 - 2013,5.0
,,2013 - 2014,2.8
,,2014 - 2015,4.25
,,2015 - 2016,2.78
,,2016 - 2017,2.24
,,2017 - 2018,3.9
,,2018 - 2019,2.36
,,2019 - 2020,3.54
,,2020 - 2021,5.36
,,2021 - 2022,3.89
,,2022 - 2023,3.68
,Bhagalpur,2000 - 2001,3.21
,,2001 - 2002,3.23
,,2002 - 2003,2.59
,,2003 - 2004,2.76
,,2004 - 2005,3.12
,,2005 - 2006,2.77
,,2006 - 2007,3.42
,,2007 - 2008,3.69
,,2008 - 2009,1.8
,,2009 - 2010,2.88
,,2010 - 2011,4.88
,,2011 - 2012,5.34
,,2012 - 2013,5.67
,,2013 - 2014,5.21
,,2014 - 2015,4.09
,,2015 - 2016,5.25
,,2016 - 2017,4.57
,,2017 - 2018,6.59
,,2018 - 2019,5.05
,,2019 - 2020,5.14
,,2020 - 2021,6.31
,,2021 - 2022,5.32
,,2022 - 2023,2.87
,Bhojpur,2000 - 2001,2.57
,,2001 - 2002,2.06
,,2002 - 2003,2.85
,,2003 - 2004,2.86
,,2004 - 2005,2.87
,,2005 - 2006,2.51
,,2006 - 2007,3.28
,,2007 - 2008,3.33
,,2008 - 2009,3.23
,,2009 - 2010,3.09
,,2010 - 2011,4.03
,,2011 - 2012,4.43
,,2012 - 2013,5.18
,,2013 - 2014,4.82
,,2014 - 2015,4.16
,,2015 - 2016,3.87
,,2016 - 2017,4.92
,,2017 - 2018,4.67
,,2018 - 2019,2.59
,,2019 - 2020,4.51
,,2020 - 2021,4.91
,,2021 - 2022,4.59
,,2022 - 2023,4.38
,Buxar,2000 - 2001,2.53
,,2001 - 2002,2.06
,,2002 - 2003,2.31
,,2003 - 2004,2.91
,,2004 - 2005,2.67
,,2005 - 2006,2.37
,,2006 - 2007,3.01
,,2007 - 2008,2.91
,,2008 - 2009,3.2
,,2009 - 2010,3.12
,,2010 - 2011,4.0
,,2011 - 2012,4.41
,,2012 - 2013,6.26
,,2013 - 2014,4.81
,,2014 - 2015,3.88
,,2015 - 2016,3.76
,,2016 - 2017,5.39
,,2017 - 2018,4.9
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,4.62
,,2022 - 2023,5.42
,Darbhanga,2000 - 2001,3.02
,,2001 - 2002,1.6
,,2002 - 2003,2.31
,,2003 - 2004,1.92
,,2004 - 2005,2.06
,,2005 - 2006,2.54
,,2006 - 2007,3.14
,,2007 - 2008,3.03
,,2008 - 2009,3.23
,,2009 - 2010,3.08
,,2010 - 2011,4.45
,,2011 - 2012,3.46
,,2012 - 2013,4.93
,,2013 - 2014,4.82
,,2014 - 2015,2.94
,,2015 - 2016,2.93
,,2016 - 2017,5.73
,,2017 - 2018,6.03
,,2018 - 2019,3.16
,,2019 - 2020,5.0
,,2020 - 2021,6.14
,,2021 - 2022,
,,2022 - 2023,
,Gaya,2000 - 2001,2.74
,,2001 - 2002,2.31
,,2002 - 2003,3.23
,,2003 - 2004,2.78
,,2004 - 2005,3.01
,,2005 - 2006,2.46
,,2006 - 2007,3.41
,,2007 - 2008,3.6
,,2008 - 2009,3.24
,,2009 - 2010,3.1
,,2010 - 2011,4.21
,,2011 - 2012,4.46
,,2012 - 2013,5.42
,,2013 - 2014,4.82
,,2014 - 2015,4.1
,,2015 - 2016,3.66
,,2016 - 2017,4.05
,,2017 - 2018,4.24
,,2018 - 2019,3.57
,,2019 - 2020,4.05
,,2020 - 2021,5.27
,,2021 - 2022,4.77
,,2022 - 2023,5.81
,Gopalganj,2000 - 2001,2.01
,,2001 - 2002,2.43
,,2002 - 2003,2.61
,,2003 - 2004,3.88
,,2004 - 2005,3.26
,,2005 - 2006,1.67
,,2006 - 2007,3.29
,,2007 - 2008,1.83
,,2008 - 2009,3.26
,,2009 - 2010,1.72
,,2010 - 2011,2.95
,,2011 - 2012,3.7
,,2012 - 2013,2.84
,,2013 - 2014,4.82
,,2014 - 2015,3.47
,,2015 - 2016,3.94
,,2016 - 2017,6.08
,,2017 - 2018,2.89
,,2018 - 2019,2.84
,,2019 - 2020,2.97
,,2020 - 2021,3.58
,,2021 - 2022,4.29
,,2022 - 2023,2.69
,Jamui,2000 - 2001,2.77
,,2001 - 2002,2.35
,,2002 - 2003,1.97
,,2003 - 2004,3.33
,,2004 - 2005,2.21
,,2005 - 2006,2.09
,,2006 - 2007,3.06
,,2007 - 2008,2.95
,,2008 - 2009,3.2
,,2009 - 2010,1.5
,,2010 - 2011,2.32
,,2011 - 2012,3.65
,,2012 - 2013,6.03
,,2013 - 2014,1.96
,,2014 - 2015,3.89
,,2015 - 2016,2.29
,,2016 - 2017,1.91
,,2017 - 2018,3.39
,,2018 - 2019,2.19
,,2019 - 2020,3.38
,,2020 - 2021,4.92
,,2021 - 2022,3.66
,,2022 - 2023,4.06
,Jehanabad,2000 - 2001,2.72
,,2001 - 2002,2.49
,,2002 - 2003,2.75
,,2003 - 2004,2.79
,,2004 - 2005,3.12
,,2005 - 2006,2.45
,,2006 - 2007,3.55
,,2007 - 2008,3.56
,,2008 - 2009,3.24
,,2009 - 2010,3.11
,,2010 - 2011,3.9
,,2011 - 2012,4.53
,,2012 - 2013,6.01
,,2013 - 2014,4.82
,,2014 - 2015,4.21
,,2015 - 2016,3.95
,,2016 - 2017,5.84
,,2017 - 2018,4.9
,,2018 - 2019,3.88
,,2019 - 2020,4.89
,,2020 - 2021,5.83
,,2021 - 2022,5.73
,,2022 - 2023,6.66
,Kaimur (bhabua),2000 - 2001,2.89
,,2001 - 2002,2.06
,,2002 - 2003,2.84
,,2003 - 2004,2.68
,,2004 - 2005,3.42
,,2005 - 2006,2.38
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,4.58
,,2012 - 2013,6.29
,,2013 - 2014,4.83
,,2014 - 2015,4.24
,,2015 - 2016,4.0
,,2016 - 2017,6.07
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,4.11
,,2020 - 2021,5.17
,,2021 - 2022,4.54
,,2022 - 2023,
,Katihar,2000 - 2001,2.64
,,2001 - 2002,2.32
,,2002 - 2003,1.76
,,2003 - 2004,2.4
,,2004 - 2005,2.61
,,2005 - 2006,2.05
,,2006 - 2007,4.8
,,2007 - 2008,3.56
,,2008 - 2009,3.04
,,2009 - 2010,3.47
,,2010 - 2011,4.0
,,2011 - 2012,3.24
,,2012 - 2013,6.3
,,2013 - 2014,4.88
,,2014 - 2015,5.45
,,2015 - 2016,7.11
,,2016 - 2017,8.49
,,2017 - 2018,8.04
,,2018 - 2019,5.3
,,2019 - 2020,7.04
,,2020 - 2021,7.37
,,2021 - 2022,7.77
,,2022 - 2023,9.33
,Khagaria,2000 - 2001,2.81
,,2001 - 2002,2.4
,,2002 - 2003,2.37
,,2003 - 2004,3.21
,,2004 - 2005,2.2
,,2005 - 2006,2.01
,,2006 - 2007,3.35
,,2007 - 2008,3.58
,,2008 - 2009,3.23
,,2009 - 2010,2.4
,,2010 - 2011,3.19
,,2011 - 2012,3.41
,,2012 - 2013,4.83
,,2013 - 2014,3.15
,,2014 - 2015,4.1
,,2015 - 2016,2.57
,,2016 - 2017,2.08
,,2017 - 2018,3.66
,,2018 - 2019,2.27
,,2019 - 2020,3.46
,,2020 - 2021,5.12
,,2021 - 2022,3.75
,,2022 - 2023,4.98
,Kishanganj,2000 - 2001,2.53
,,2001 - 2002,2.45
,,2002 - 2003,2.11
,,2003 - 2004,2.22
,,2004 - 2005,2.78
,,2005 - 2006,2.0
,,2006 - 2007,5.04
,,2007 - 2008,4.05
,,2008 - 2009,3.63
,,2009 - 2010,3.72
,,2010 - 2011,3.54
,,2011 - 2012,3.82
,,2012 - 2013,4.27
,,2013 - 2014,4.69
,,2014 - 2015,4.12
,,2015 - 2016,4.73
,,2016 - 2017,6.31
,,2017 - 2018,4.9
,,2018 - 2019,3.91
,,2019 - 2020,3.94
,,2020 - 2021,6.81
,,2021 - 2022,7.58
,,2022 - 2023,7.83
,Lakhisarai,2000 - 2001,2.55
,,2001 - 2002,2.06
,,2002 - 2003,1.97
,,2003 - 2004,3.63
,,2004 - 2005,2.24
,,2005 - 2006,
,,2006 - 2007,3.4
,,2007 - 2008,2.75
,,2008 - 2009,
,,2009 - 2010,1.33
,,2010 - 2011,2.2
,,2011 - 2012,
,,2012 - 2013,6.27
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,3.59
,,2022 - 2023,3.98
,Madhepura,2000 - 2001,3.95
,,2001 - 2002,2.99
,,2002 - 2003,4.01
,,2003 - 2004,3.5
,,2004 - 2005,4.64
,,2005 - 2006,2.84
,,2006 - 2007,2.93
,,2007 - 2008,4.9
,,2008 - 2009,3.11
,,2009 - 2010,2.71
,,2010 - 2011,3.14
,,2011 - 2012,6.68
,,2012 - 2013,7.81
,,2013 - 2014,5.64
,,2014 - 2015,5.39
,,2015 - 2016,2.65
,,2016 - 2017,3.48
,,2017 - 2018,3.7
,,2018 - 2019,5.37
,,2019 - 2020,5.72
,,2020 - 2021,6.12
,,2021 - 2022,6.13
,,2022 - 2023,5.78
,Madhubani,2000 - 2001,2.76
,,2001 - 2002,2.03
,,2002 - 2003,2.31
,,2003 - 2004,1.81
,,2004 - 2005,2.22
,,2005 - 2006,2.32
,,2006 - 2007,3.7
,,2007 - 2008,3.43
,,2008 - 2009,3.23
,,2009 - 2010,3.08
,,2010 - 2011,4.5
,,2011 - 2012,3.72
,,2012 - 2013,4.24
,,2013 - 2014,4.82
,,2014 - 2015,2.86
,,2015 - 2016,3.49
,,2016 - 2017,4.12
,,2017 - 2018,4.47
,,2018 - 2019,3.4
,,2019 - 2020,5.3
,,2020 - 2021,6.22
,,2021 - 2022,5.08
,,2022 - 2023,5.05
,Munger,2000 - 2001,2.84
,,2001 - 2002,2.44
,,2002 - 2003,2.46
,,2003 - 2004,3.14
,,2004 - 2005,2.21
,,2005 - 2006,1.75
,,2006 - 2007,3.28
,,2007 - 2008,3.25
,,2008 - 2009,3.22
,,2009 - 2010,1.86
,,2010 - 2011,2.53
,,2011 - 2012,3.58
,,2012 - 2013,3.68
,,2013 - 2014,4.34
,,2014 - 2015,3.95
,,2015 - 2016,2.38
,,2016 - 2017,1.97
,,2017 - 2018,3.49
,,2018 - 2019,2.22
,,2019 - 2020,3.4
,,2020 - 2021,4.88
,,2021 - 2022,3.64
,,2022 - 2023,4.24
,Muzaffarpur,2000 - 2001,2.05
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.23
,,2004 - 2005,4.07
,,2005 - 2006,1.99
,,2006 - 2007,2.03
,,2007 - 2008,1.09
,,2008 - 2009,3.27
,,2009 - 2010,1.82
,,2010 - 2011,2.63
,,2011 - 2012,3.79
,,2012 - 2013,6.02
,,2013 - 2014,4.94
,,2014 - 2015,4.09
,,2015 - 2016,2.22
,,2016 - 2017,2.06
,,2017 - 2018,1.64
,,2018 - 2019,2.87
,,2019 - 2020,2.98
,,2020 - 2021,3.42
,,2021 - 2022,3.31
,,2022 - 2023,5.78
,Nalanda,2000 - 2001,3.14
,,2001 - 2002,2.8
,,2002 - 2003,2.81
,,2003 - 2004,2.67
,,2004 - 2005,3.4
,,2005 - 2006,2.38
,,2006 - 2007,3.66
,,2007 - 2008,3.99
,,2008 - 2009,3.26
,,2009 - 2010,3.1
,,2010 - 2011,3.89
,,2011 - 2012,4.56
,,2012 - 2013,5.82
,,2013 - 2014,4.82
,,2014 - 2015,4.18
,,2015 - 2016,3.97
,,2016 - 2017,6.02
,,2017 - 2018,5.21
,,2018 - 2019,2.37
,,2019 - 2020,4.45
,,2020 - 2021,4.65
,,2021 - 2022,4.64
,,2022 - 2023,5.89
,Nawada,2000 - 2001,2.85
,,2001 - 2002,2.48
,,2002 - 2003,2.74
,,2003 - 2004,2.82
,,2004 - 2005,2.96
,,2005 - 2006,2.5
,,2006 - 2007,3.27
,,2007 - 2008,3.3
,,2008 - 2009,3.22
,,2009 - 2010,3.08
,,2010 - 2011,4.13
,,2011 - 2012,4.34
,,2012 - 2013,3.86
,,2013 - 2014,4.82
,,2014 - 2015,4.14
,,2015 - 2016,3.87
,,2016 - 2017,4.5
,,2017 - 2018,4.77
,,2018 - 2019,3.65
,,2019 - 2020,4.28
,,2020 - 2021,5.38
,,2021 - 2022,4.89
,,2022 - 2023,5.92
,Pashchim champaran,2000 - 2001,2.55
,,2001 - 2002,2.67
,,2002 - 2003,2.87
,,2003 - 2004,2.1
,,2004 - 2005,3.69
,,2005 - 2006,3.15
,,2006 - 2007,2.13
,,2007 - 2008,2.2
,,2008 - 2009,3.27
,,2009 - 2010,2.45
,,2010 - 2011,2.96
,,2011 - 2012,3.24
,,2012 - 2013,4.99
,,2013 - 2014,3.4
,,2014 - 2015,3.33
,,2015 - 2016,2.82
,,2016 - 2017,3.1
,,2017 - 2018,3.34
,,2018 - 2019,3.14
,,2019 - 2020,3.47
,,2020 - 2021,5.13
,,2021 - 2022,4.18
,,2022 - 2023,4.57
,Patna,2000 - 2001,2.7
,,2001 - 2002,2.24
,,2002 - 2003,2.45
,,2003 - 2004,2.86
,,2004 - 2005,2.88
,,2005 - 2006,2.44
,,2006 - 2007,3.44
,,2007 - 2008,3.65
,,2008 - 2009,3.25
,,2009 - 2010,3.1
,,2010 - 2011,4.05
,,2011 - 2012,4.35
,,2012 - 2013,4.41
,,2013 - 2014,4.82
,,2014 - 2015,3.99
,,2015 - 2016,3.72
,,2016 - 2017,4.53
,,2017 - 2018,4.67
,,2018 - 2019,2.99
,,2019 - 2020,4.11
,,2020 - 2021,5.03
,,2021 - 2022,4.56
,,2022 - 2023,3.43
,Purbi champaran,2000 - 2001,2.83
,,2001 - 2002,2.61
,,2002 - 2003,3.07
,,2003 - 2004,2.25
,,2004 - 2005,3.69
,,2005 - 2006,2.48
,,2006 - 2007,2.11
,,2007 - 2008,2.22
,,2008 - 2009,3.28
,,2009 - 2010,2.47
,,2010 - 2011,2.86
,,2011 - 2012,3.85
,,2012 - 2013,5.87
,,2013 - 2014,4.93
,,2014 - 2015,3.88
,,2015 - 2016,1.75
,,2016 - 2017,3.34
,,2017 - 2018,1.94
,,2018 - 2019,2.69
,,2019 - 2020,3.09
,,2020 - 2021,3.71
,,2021 - 2022,2.91
,,2022 - 2023,4.47
,Purnia,2000 - 2001,2.9
,,2001 - 2002,2.56
,,2002 - 2003,2.18
,,2003 - 2004,2.32
,,2004 - 2005,2.75
,,2005 - 2006,1.66
,,2006 - 2007,4.88
,,2007 - 2008,4.49
,,2008 - 2009,4.02
,,2009 - 2010,4.66
,,2010 - 2011,2.51
,,2011 - 2012,3.16
,,2012 - 2013,2.86
,,2013 - 2014,2.95
,,2014 - 2015,2.2
,,2015 - 2016,5.75
,,2016 - 2017,8.8
,,2017 - 2018,6.46
,,2018 - 2019,5.63
,,2019 - 2020,5.35
,,2020 - 2021,6.5
,,2021 - 2022,5.34
,,2022 - 2023,5.96
,Rohtas,2000 - 2001,3.16
,,2001 - 2002,2.83
,,2002 - 2003,2.83
,,2003 - 2004,2.89
,,2004 - 2005,2.73
,,2005 - 2006,2.38
,,2006 - 2007,3.53
,,2007 - 2008,
,,2008 - 2009,3.22
,,2009 - 2010,3.11
,,2010 - 2011,4.0
,,2011 - 2012,4.67
,,2012 - 2013,4.67
,,2013 - 2014,4.86
,,2014 - 2015,4.0
,,2015 - 2016,3.5
,,2016 - 2017,3.8
,,2017 - 2018,
,Saharsa,2000 - 2001,3.58
,,2001 - 2002,2.65
,,2002 - 2003,2.53
,,2003 - 2004,2.93
,,2004 - 2005,2.68
,,2005 - 2006,3.21
,,2006 - 2007,3.34
,,2007 - 2008,4.17
,,2008 - 2009,3.31
,,2009 - 2010,3.49
,,2010 - 2011,6.41
,,2011 - 2012,5.27
,,2012 - 2013,6.54
,,2013 - 2014,5.32
,,2014 - 2015,4.78
,,2015 - 2016,3.15
,,2016 - 2017,4.86
,,2017 - 2018,4.83
,,2018 - 2019,4.76
,,2019 - 2020,5.03
,,2020 - 2021,4.84
,,2021 - 2022,4.82
,,2022 - 2023,5.4
,Samastipur,2000 - 2001,3.0
,,2001 - 2002,2.0
,,2002 - 2003,2.31
,,2003 - 2004,1.73
,,2004 - 2005,1.91
,,2005 - 2006,2.08
,,2006 - 2007,4.32
,,2007 - 2008,3.84
,,2008 - 2009,3.25
,,2009 - 2010,3.1
,,2010 - 2011,4.54
,,2011 - 2012,4.0
,,2012 - 2013,5.48
,,2013 - 2014,4.82
,,2014 - 2015,2.97
,,2015 - 2016,2.95
,,2016 - 2017,6.22
,,2017 - 2018,6.59
,,2018 - 2019,3.08
,,2019 - 2020,4.95
,,2020 - 2021,5.96
,,2021 - 2022,4.75
,,2022 - 2023,5.12
,Saran,2000 - 2001,1.87
,,2001 - 2002,2.53
,,2002 - 2003,2.63
,,2003 - 2004,4.04
,,2004 - 2005,3.35
,,2005 - 2006,1.51
,,2006 - 2007,3.32
,,2007 - 2008,1.81
,,2008 - 2009,3.27
,,2009 - 2010,1.64
,,2010 - 2011,2.78
,,2011 - 2012,3.75
,,2012 - 2013,2.93
,,2013 - 2014,4.82
,,2014 - 2015,3.48
,,2015 - 2016,3.93
,,2016 - 2017,5.9
,,2017 - 2018,2.95
,,2018 - 2019,2.86
,,2019 - 2020,3.04
,,2020 - 2021,3.7
,,2021 - 2022,4.31
,,2022 - 2023,4.27
,Sheikhpura,2000 - 2001,2.54
,,2001 - 2002,2.83
,,2002 - 2003,1.98
,,2003 - 2004,3.67
,,2004 - 2005,2.24
,,2005 - 2006,2.26
,,2006 - 2007,3.68
,,2007 - 2008,3.68
,,2008 - 2009,3.27
,,2009 - 2010,3.11
,,2010 - 2011,3.86
,,2011 - 2012,3.24
,,2012 - 2013,
,,2013 - 2014,1.97
,,2014 - 2015,4.24
,,2015 - 2016,2.54
,,2016 - 2017,2.14
,,2017 - 2018,3.67
,,2018 - 2019,2.28
,,2019 - 2020,3.46
,,2020 - 2021,5.07
,,2021 - 2022,3.74
,,2022 - 2023,4.66
,Sheohar,2000 - 2001,2.58
,,2001 - 2002,2.66
,,2002 - 2003,3.13
,,2003 - 2004,2.26
,,2004 - 2005,3.74
,,2005 - 2006,2.48
,,2006 - 2007,2.28
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.22
,,2011 - 2012,4.27
,,2012 - 2013,3.86
,,2013 - 2014,4.83
,,2014 - 2015,3.89
,,2015 - 2016,3.51
,,2016 - 2017,3.57
,,2017 - 2018,3.17
,,2018 - 2019,3.01
,,2019 - 2020,3.31
,,2020 - 2021,4.71
,,2021 - 2022,
,,2022 - 2023,
,Sitamarhi,2000 - 2001,2.48
,,2001 - 2002,2.63
,,2002 - 2003,3.1
,,2003 - 2004,2.24
,,2004 - 2005,3.12
,,2005 - 2006,2.48
,,2006 - 2007,2.13
,,2007 - 2008,2.21
,,2008 - 2009,3.28
,,2009 - 2010,2.46
,,2010 - 2011,2.86
,,2011 - 2012,3.91
,,2012 - 2013,5.61
,,2013 - 2014,4.95
,,2014 - 2015,3.88
,,2015 - 2016,1.93
,,2016 - 2017,2.28
,,2017 - 2018,2.37
,,2018 - 2019,2.62
,,2019 - 2020,2.81
,,2020 - 2021,3.08
,,2021 - 2022,3.76
,,2022 - 2023,5.89
,Siwan,2000 - 2001,2.19
,,2001 - 2002,2.35
,,2002 - 2003,2.67
,,2003 - 2004,4.04
,,2004 - 2005,3.34
,,2005 - 2006,1.61
,,2006 - 2007,3.31
,,2007 - 2008,1.76
,,2008 - 2009,3.27
,,2009 - 2010,1.58
,,2010 - 2011,2.75
,,2011 - 2012,3.74
,,2012 - 2013,2.87
,,2013 - 2014,4.82
,,2014 - 2015,3.56
,,2015 - 2016,3.88
,,2016 - 2017,5.58
,,2017 - 2018,3.16
,,2018 - 2019,2.99
,,2019 - 2020,3.19
,,2020 - 2021,3.93
,,2021 - 2022,4.35
,,2022 - 2023,3.64
,Supaul,2000 - 2001,2.99
,,2001 - 2002,2.2
,,2002 - 2003,2.19
,,2003 - 2004,2.59
,,2004 - 2005,3.77
,,2005 - 2006,3.29
,,2006 - 2007,4.75
,,2007 - 2008,2.14
,,2008 - 2009,3.38
,,2009 - 2010,4.36
,,2010 - 2011,5.68
,,2011 - 2012,3.75
,,2012 - 2013,6.82
,,2013 - 2014,5.35
,,2014 - 2015,5.12
,,2015 - 2016,3.45
,,2016 - 2017,4.08
,,2017 - 2018,5.7
,,2018 - 2019,4.93
,,2019 - 2020,8.77
,,2020 - 2021,7.04
,,2021 - 2022,5.77
,,2022 - 2023,9.01
,Vaishali,2000 - 2001,2.7
,,2001 - 2002,2.55
,,2002 - 2003,4.05
,,2003 - 2004,2.37
,,2004 - 2005,2.93
,,2005 - 2006,2.71
,,2006 - 2007,2.17
,,2007 - 2008,3.14
,,2008 - 2009,3.29
,,2009 - 2010,2.91
,,2010 - 2011,2.75
,,2011 - 2012,4.13
,,2012 - 2013,5.67
,,2013 - 2014,5.38
,,2014 - 2015,3.88
,,2015 - 2016,2.37
,,2016 - 2017,2.65
,,2017 - 2018,3.56
,,2018 - 2019,2.59
,,2019 - 2020,2.83
,,2020 - 2021,3.01
,,2021 - 2022,4.56
,,2022 - 2023,4.38
Chandigarh,Chandigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Chhattisgarh,Balod,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
