state,district,year,groundnut_kharif_yield_tonne_per_hectare
,,2015 - 2016,1.08
,,2016 - 2017,0.75
,,2017 - 2018,0.93
,,2018 - 2019,1.6
,,2019 - 2020,1.23
,,2020 - 2021,1.8
,,2021 - 2022,2.76
,,2022 - 2023,2.15
,Betul,2000 - 2001,0.92
,,2001 - 2002,1.15
,,2002 - 2003,0.87
,,2003 - 2004,1.18
,,2004 - 2005,1.11
,,2005 - 2006,1.07
,,2006 - 2007,0.94
,,2007 - 2008,1.08
,,2008 - 2009,1.06
,,2009 - 2010,
,,2010 - 2011,1.46
,,2011 - 2012,1.4
,,2012 - 2013,1.39
,,2013 - 2014,1.71
,,2014 - 2015,4.0
,,2015 - 2016,0.83
,,2016 - 2017,1.67
,,2017 - 2018,1.34
,,2018 - 2019,1.21
,,2019 - 2020,1.06
,,2020 - 2021,2.72
,,2021 - 2022,1.9
,,2022 - 2023,2.03
,Bhind,2000 - 2001,0.63
,,2001 - 2002,0.88
,,2002 - 2003,0.86
,,2003 - 2004,0.86
,,2004 - 2005,1.5
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2018 - 2019,0.73
,,2019 - 2020,1.86
,,2020 - 2021,0.97
,,2021 - 2022,1.32
,,2022 - 2023,2.22
,Bhopal,2000 - 2001,1.52
,,2001 - 2002,1.14
,,2002 - 2003,0.9
,,2003 - 2004,1.06
,,2004 - 2005,1.03
,,2005 - 2006,1.1
,,2006 - 2007,1.01
,,2007 - 2008,1.14
,,2008 - 2009,1.18
,,2009 - 2010,
,,2010 - 2011,1.5
,,2011 - 2012,1.6
,,2012 - 2013,1.95
,,2013 - 2014,1.03
,,2016 - 2017,1.0
,,2017 - 2018,1.06
,,2018 - 2019,1.51
,,2019 - 2020,2.18
,,2020 - 2021,0.62
,,2021 - 2022,1.74
,,2022 - 2023,2.07
,Burhanpur,2003 - 2004,1.05
,,2004 - 2005,1.18
,,2005 - 2006,0.97
,,2006 - 2007,0.99
,,2007 - 2008,1.12
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,1.64
,,2011 - 2012,1.67
,,2012 - 2013,2.19
,,2013 - 2014,1.25
,,2014 - 2015,1.0
,,2017 - 2018,1.72
,,2018 - 2019,1.97
,,2019 - 2020,2.34
,,2020 - 2021,2.29
,,2021 - 2022,1.87
,,2022 - 2023,1.59
,Chhatarpur,2000 - 2001,0.59
,,2001 - 2002,0.74
,,2002 - 2003,0.38
,,2003 - 2004,0.7
,,2004 - 2005,0.65
,,2005 - 2006,0.57
,,2006 - 2007,0.49
,,2007 - 2008,0.52
,,2008 - 2009,0.66
,,2009 - 2010,
,,2010 - 2011,0.78
,,2011 - 2012,0.78
,,2012 - 2013,1.39
,,2013 - 2014,1.11
,,2014 - 2015,2.0
,,2015 - 2016,0.6
,,2016 - 2017,1.77
,,2017 - 2018,1.43
,,2018 - 2019,1.34
,,2019 - 2020,1.26
,,2020 - 2021,1.59
,,2021 - 2022,1.17
,,2022 - 2023,1.52
,Chhindwara,2000 - 2001,1.14
,,2001 - 2002,0.99
,,2002 - 2003,0.69
,,2003 - 2004,1.55
,,2004 - 2005,1.63
,,2005 - 2006,1.18
,,2006 - 2007,1.33
,,2007 - 2008,1.34
,,2008 - 2009,1.28
,,2009 - 2010,
,,2010 - 2011,1.67
,,2011 - 2012,2.65
,,2012 - 2013,1.7
,,2013 - 2014,2.48
,,2014 - 2015,1.67
,,2015 - 2016,1.84
,,2016 - 2017,1.85
,,2017 - 2018,1.4
,,2018 - 2019,1.47
,,2019 - 2020,2.63
,,2020 - 2021,5.54
,,2021 - 2022,2.32
,,2022 - 2023,2.28
,Damoh,2000 - 2001,1.02
,,2001 - 2002,0.95
,,2002 - 2003,0.55
,,2003 - 2004,0.86
,,2004 - 2005,1.1
,,2005 - 2006,1.12
,,2006 - 2007,0.76
,,2007 - 2008,0.73
,,2008 - 2009,0.84
,,2009 - 2010,
,,2010 - 2011,1.36
,,2011 - 2012,1.31
,,2012 - 2013,1.38
,,2013 - 2014,0.78
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.5
,,2017 - 2018,1.45
,,2018 - 2019,1.31
,,2019 - 2020,0.74
,,2020 - 2021,2.41
,,2021 - 2022,2.39
,,2022 - 2023,2.25
,Datia,2000 - 2001,1.07
,,2001 - 2002,1.12
,,2002 - 2003,0.61
,,2003 - 2004,0.98
,,2004 - 2005,0.77
,,2005 - 2006,0.91
,,2006 - 2007,0.68
,,2007 - 2008,0.65
,,2008 - 2009,0.96
,,2009 - 2010,
,,2010 - 2011,1.12
,,2011 - 2012,1.07
,,2012 - 2013,1.4
,,2013 - 2014,1.19
,,2014 - 2015,1.43
,,2015 - 2016,1.0
,,2016 - 2017,0.75
,,2017 - 2018,0.71
,,2018 - 2019,1.27
,,2019 - 2020,1.58
,,2020 - 2021,1.68
,,2021 - 2022,1.88
,,2022 - 2023,2.57
,Dewas,2000 - 2001,1.01
,,2001 - 2002,1.39
,,2002 - 2003,0.9
,,2003 - 2004,1.06
,,2004 - 2005,1.43
,,2005 - 2006,1.18
,,2006 - 2007,1.1
,,2007 - 2008,1.09
,,2008 - 2009,1.15
,,2009 - 2010,
,,2010 - 2011,1.46
,,2011 - 2012,1.41
,,2012 - 2013,1.96
,,2013 - 2014,1.53
,,2014 - 2015,1.0
,,2017 - 2018,1.16
,,2018 - 2019,1.59
,,2019 - 2020,1.81
,,2020 - 2021,1.68
,,2021 - 2022,1.89
,,2022 - 2023,1.9
,Dhar,2000 - 2001,0.57
,,2001 - 2002,0.82
,,2002 - 2003,0.82
,,2003 - 2004,1.02
,,2004 - 2005,1.06
,,2005 - 2006,0.84
,,2006 - 2007,0.82
,,2007 - 2008,0.88
,,2008 - 2009,0.94
,,2009 - 2010,
,,2010 - 2011,1.17
,,2011 - 2012,1.23
,,2012 - 2013,1.22
,,2013 - 2014,1.83
,,2014 - 2015,1.75
,,2015 - 2016,1.0
,,2016 - 2017,2.33
,,2017 - 2018,2.75
,,2018 - 2019,2.21
,,2019 - 2020,1.94
,,2020 - 2021,2.54
,,2021 - 2022,1.89
,,2022 - 2023,1.89
,Dindori,2000 - 2001,0.64
,,2001 - 2002,1.13
,,2002 - 2003,0.67
,,2003 - 2004,0.69
,,2004 - 2005,1.22
,,2005 - 2006,0.75
,,2006 - 2007,0.8
,,2007 - 2008,0.85
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,1.1
,,2011 - 2012,1.5
,,2012 - 2013,1.43
,,2013 - 2014,1.0
,,2018 - 2019,1.38
,,2019 - 2020,1.4
,,2020 - 2021,1.75
,,2021 - 2022,1.78
,,2022 - 2023,1.8
,Guna,2000 - 2001,1.64
,,2001 - 2002,1.52
,,2002 - 2003,1.04
,,2003 - 2004,1.43
,,2004 - 2005,1.62
,,2005 - 2006,1.36
,,2006 - 2007,1.24
,,2007 - 2008,1.2
,,2008 - 2009,1.4
,,2009 - 2010,
,,2010 - 2011,1.67
,,2011 - 2012,1.64
,,2012 - 2013,2.2
,,2013 - 2014,2.09
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.2
,,2018 - 2019,2.18
,,2019 - 2020,2.33
,,2020 - 2021,2.74
,,2021 - 2022,2.22
,,2022 - 2023,1.79
,Gwalior,2000 - 2001,1.23
,,2001 - 2002,1.21
,,2002 - 2003,0.79
,,2003 - 2004,1.17
,,2004 - 2005,1.24
,,2005 - 2006,1.09
,,2006 - 2007,0.58
,,2007 - 2008,0.5
,,2008 - 2009,0.78
,,2009 - 2010,
,,2010 - 2011,1.41
,,2011 - 2012,1.1
,,2012 - 2013,1.2
,,2013 - 2014,1.5
,,2015 - 2016,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.6
,,2019 - 2020,1.46
,,2020 - 2021,2.07
,,2021 - 2022,2.18
,,2022 - 2023,2.45
,Harda,2000 - 2001,1.33
,,2001 - 2002,0.75
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2013 - 2014,0.5
,,2018 - 2019,0.97
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Hoshangabad,2000 - 2001,0.95
,,2001 - 2002,1.02
,,2002 - 2003,0.74
,,2003 - 2004,0.95
,,2004 - 2005,1.0
,,2005 - 2006,1.01
,,2006 - 2007,0.78
,,2007 - 2008,0.97
,,2008 - 2009,0.86
,,2009 - 2010,
,,2010 - 2011,1.12
,,2011 - 2012,1.19
,,2012 - 2013,1.44
,,2013 - 2014,0.87
,,2017 - 2018,2.0
,,2018 - 2019,1.47
,,2019 - 2020,1.8
,,2020 - 2021,0.82
,,2021 - 2022,2.13
,Indore,2000 - 2001,1.49
,,2001 - 2002,1.07
,,2002 - 2003,0.86
,,2003 - 2004,1.1
,,2004 - 2005,1.28
,,2005 - 2006,1.05
,,2006 - 2007,0.89
,,2007 - 2008,0.98
,,2008 - 2009,1.07
,,2009 - 2010,
,,2010 - 2011,1.31
,,2011 - 2012,1.37
,,2012 - 2013,1.26
,,2013 - 2014,1.06
,,2018 - 2019,1.44
,,2019 - 2020,1.1
,,2020 - 2021,3.15
,,2021 - 2022,2.11
,,2022 - 2023,2.11
,Jabalpur,2000 - 2001,1.15
,,2001 - 2002,1.05
,,2002 - 2003,0.85
,,2003 - 2004,1.21
,,2004 - 2005,1.59
,,2005 - 2006,1.26
,,2006 - 2007,1.15
,,2007 - 2008,0.79
,,2008 - 2009,1.28
,,2009 - 2010,
,,2010 - 2011,1.42
,,2011 - 2012,1.27
,,2012 - 2013,2.05
,,2013 - 2014,1.63
,,2017 - 2018,0.93
,,2018 - 2019,1.67
,,2019 - 2020,1.94
,,2020 - 2021,1.97
,,2021 - 2022,1.8
,,2022 - 2023,2.11
,Jhabua,2000 - 2001,0.47
,,2001 - 2002,0.86
,,2002 - 2003,0.76
,,2003 - 2004,0.95
,,2004 - 2005,0.92
,,2005 - 2006,0.96
,,2006 - 2007,0.77
,,2007 - 2008,1.03
,,2008 - 2009,1.01
,,2009 - 2010,
,,2010 - 2011,1.28
,,2011 - 2012,1.16
,,2012 - 2013,0.7
,,2013 - 2014,1.98
,,2014 - 2015,1.29
,,2015 - 2016,0.8
,,2016 - 2017,2.14
,,2017 - 2018,1.8
,,2018 - 2019,1.27
,,2019 - 2020,1.23
,,2020 - 2021,1.72
,,2021 - 2022,2.2
,,2022 - 2023,2.26
,Katni,2000 - 2001,0.5
,,2001 - 2002,0.77
,,2002 - 2003,0.6
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,0.86
,,2006 - 2007,0.44
,,2007 - 2008,0.6
,,2008 - 2009,0.78
,,2009 - 2010,
,,2010 - 2011,0.9
,,2011 - 2012,1.0
,,2012 - 2013,0.91
,,2013 - 2014,1.83
,,2017 - 2018,0.5
,,2018 - 2019,1.15
,,2019 - 2020,1.43
,,2020 - 2021,2.21
,,2021 - 2022,2.25
,Khandwa,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.95
,,2003 - 2004,1.05
,,2004 - 2005,1.09
,,2005 - 2006,0.97
,,2006 - 2007,0.9
,,2007 - 2008,1.12
,,2008 - 2009,1.17
,,2009 - 2010,
,,2010 - 2011,1.44
,,2011 - 2012,0.99
,,2012 - 2013,1.18
,,2013 - 2014,2.32
,,2014 - 2015,2.0
,,2015 - 2016,1.33
,,2016 - 2017,1.2
,,2017 - 2018,1.3
,,2018 - 2019,1.83
,,2019 - 2020,1.35
,,2020 - 2021,2.21
,,2021 - 2022,1.57
,,2022 - 2023,1.87
,Khargone,2000 - 2001,0.62
,,2001 - 2002,0.76
,,2002 - 2003,0.65
,,2003 - 2004,1.0
,,2004 - 2005,0.74
,,2005 - 2006,0.68
,,2006 - 2007,0.83
,,2007 - 2008,0.91
,,2008 - 2009,0.87
,,2009 - 2010,
,,2010 - 2011,1.15
,,2011 - 2012,1.39
,,2012 - 2013,1.11
,,2013 - 2014,1.44
,,2014 - 2015,1.71
,,2015 - 2016,1.43
,,2016 - 2017,1.5
,,2017 - 2018,1.48
,,2018 - 2019,1.69
,,2019 - 2020,1.33
,,2020 - 2021,3.71
,,2021 - 2022,2.4
,,2022 - 2023,2.41
,Mandla,2000 - 2001,0.67
,,2001 - 2002,0.83
,,2002 - 2003,0.67
,,2003 - 2004,0.85
,,2004 - 2005,0.94
,,2005 - 2006,0.78
,,2006 - 2007,0.69
,,2007 - 2008,0.73
,,2008 - 2009,0.75
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.67
,,2013 - 2014,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.33
,Mandsaur,2000 - 2001,0.67
,,2001 - 2002,0.99
,,2002 - 2003,0.5
,,2003 - 2004,0.96
,,2004 - 2005,0.89
,,2005 - 2006,0.61
,,2006 - 2007,0.74
,,2007 - 2008,0.82
,,2008 - 2009,0.89
,,2009 - 2010,
,,2010 - 2011,1.27
,,2011 - 2012,1.23
,,2012 - 2013,1.69
,,2013 - 2014,1.25
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,0.8
,,2018 - 2019,1.52
,,2019 - 2020,1.34
,,2020 - 2021,2.86
,,2021 - 2022,1.23
,,2022 - 2023,2.41
,Morena,2000 - 2001,1.12
,,2001 - 2002,1.05
,,2002 - 2003,0.56
,,2003 - 2004,0.98
,,2004 - 2005,1.13
,,2005 - 2006,0.96
,,2006 - 2007,0.73
,,2007 - 2008,0.78
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,1.01
,,2011 - 2012,1.02
,,2012 - 2013,1.08
,,2013 - 2014,0.81
,,2017 - 2018,1.5
,,2018 - 2019,1.27
,,2019 - 2020,1.42
,,2020 - 2021,2.18
,,2021 - 2022,1.53
,,2022 - 2023,1.22
,Narsinghpur,2000 - 2001,1.73
,,2001 - 2002,1.64
,,2002 - 2003,0.92
,,2003 - 2004,1.48
,,2004 - 2005,1.7
,,2005 - 2006,2.31
,,2006 - 2007,2.02
,,2007 - 2008,2.14
,,2008 - 2009,2.21
,,2009 - 2010,
,,2010 - 2011,2.66
,,2011 - 2012,2.64
,,2012 - 2013,3.7
,,2013 - 2014,1.8
,,2017 - 2018,2.0
,,2018 - 2019,2.7
,,2019 - 2020,2.39
,,2020 - 2021,2.43
,Neemuch,2000 - 2001,0.77
,,2001 - 2002,0.99
,,2002 - 2003,0.47
,,2003 - 2004,1.1
,,2004 - 2005,0.94
,,2005 - 2006,1.07
,,2006 - 2007,0.85
,,2007 - 2008,0.8
,,2008 - 2009,1.12
,,2009 - 2010,
,,2010 - 2011,1.5
,,2011 - 2012,1.34
,,2012 - 2013,1.41
,,2013 - 2014,1.2
,,2014 - 2015,1.0
,,2015 - 2016,1.25
,,2016 - 2017,1.6
,,2017 - 2018,2.59
,,2018 - 2019,1.16
,,2019 - 2020,0.98
,,2020 - 2021,2.25
,,2021 - 2022,1.64
,,2022 - 2023,1.91
,Niwari,2020 - 2021,1.62
,,2021 - 2022,1.98
,,2022 - 2023,1.85
,Panna,2000 - 2001,0.7
,,2001 - 2002,0.99
,,2002 - 2003,0.52
,,2003 - 2004,0.7
,,2004 - 2005,0.91
,,2005 - 2006,0.73
,,2006 - 2007,0.64
,,2007 - 2008,0.55
,,2008 - 2009,0.77
,,2009 - 2010,
,,2010 - 2011,1.14
,,2011 - 2012,1.19
,,2012 - 2013,1.25
,,2013 - 2014,0.96
,,2018 - 2019,1.16
,,2019 - 2020,0.97
,,2020 - 2021,1.84
,,2021 - 2022,1.95
,,2022 - 2023,2.08
,Raisen,2000 - 2001,1.32
,,2001 - 2002,1.22
,,2002 - 2003,0.98
,,2003 - 2004,1.25
,,2004 - 2005,1.35
,,2005 - 2006,1.11
,,2006 - 2007,1.03
,,2007 - 2008,1.09
,,2008 - 2009,1.14
,,2009 - 2010,
,,2010 - 2011,1.41
,,2011 - 2012,1.35
,,2012 - 2013,1.27
,,2013 - 2014,1.49
,,2018 - 2019,1.56
,,2019 - 2020,1.35
,,2020 - 2021,1.61
,,2021 - 2022,1.38
,,2022 - 2023,2.45
,Rajgarh,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.39
,,2003 - 2004,1.06
,,2004 - 2005,1.05
,,2005 - 2006,0.87
,,2006 - 2007,0.82
,,2007 - 2008,1.04
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,1.16
,,2011 - 2012,1.18
,,2012 - 2013,1.5
,,2013 - 2014,0.53
,,2015 - 2016,1.0
,,2017 - 2018,0.94
,,2018 - 2019,0.56
,,2019 - 2020,1.07
,,2020 - 2021,1.94
,,2021 - 2022,1.94
,,2022 - 2023,2.38
,Ratlam,2000 - 2001,1.23
,,2001 - 2002,1.13
,,2002 - 2003,0.65
,,2003 - 2004,1.22
,,2004 - 2005,1.06
,,2005 - 2006,1.15
,,2006 - 2007,1.0
,,2007 - 2008,1.1
,,2008 - 2009,1.11
,,2009 - 2010,
,,2010 - 2011,1.4
,,2011 - 2012,1.53
,,2012 - 2013,1.74
,,2013 - 2014,1.35
,,2017 - 2018,1.15
,,2018 - 2019,1.94
,,2019 - 2020,0.81
,,2020 - 2021,1.78
,,2021 - 2022,1.77
,,2022 - 2023,2.03
,Rewa,2000 - 2001,0.84
,,2001 - 2002,0.64
,,2002 - 2003,0.33
,,2003 - 2004,0.75
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,
,,2010 - 2011,2.0
,,2012 - 2013,0.7
,,2013 - 2014,1.33
,Sagar,2000 - 2001,0.99
,,2001 - 2002,0.83
,,2002 - 2003,0.33
,,2003 - 2004,0.91
,,2004 - 2005,1.0
,,2005 - 2006,0.83
,,2006 - 2007,0.72
,,2007 - 2008,0.77
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,1.63
,,2011 - 2012,1.14
,,2012 - 2013,1.1
,,2013 - 2014,0.59
,,2014 - 2015,2.0
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.94
,,2018 - 2019,1.75
,,2019 - 2020,1.31
,,2020 - 2021,2.29
,,2021 - 2022,1.57
,,2022 - 2023,1.77
,Satna,2000 - 2001,1.13
,,2001 - 2002,1.21
,,2002 - 2003,0.71
,,2003 - 2004,1.07
,,2004 - 2005,1.1
,,2005 - 2006,1.12
,,2006 - 2007,0.8
,,2007 - 2008,0.81
,,2008 - 2009,0.93
,,2009 - 2010,
,,2010 - 2011,1.46
,,2011 - 2012,1.53
,,2012 - 2013,2.0
,,2013 - 2014,1.11
,,2018 - 2019,1.33
,,2019 - 2020,1.5
,,2020 - 2021,1.69
,,2021 - 2022,1.67
,Sehore,2000 - 2001,0.98
,,2001 - 2002,0.84
,,2002 - 2003,0.91
,,2003 - 2004,1.07
,,2004 - 2005,1.24
,,2005 - 2006,1.04
,,2006 - 2007,0.92
,,2007 - 2008,0.87
,,2008 - 2009,0.88
,,2009 - 2010,
,,2010 - 2011,1.52
,,2011 - 2012,1.46
,,2012 - 2013,1.75
,,2013 - 2014,0.9
,,2015 - 2016,1.0
,,2017 - 2018,0.98
,,2018 - 2019,1.63
,,2019 - 2020,1.92
,,2020 - 2021,1.89
,,2021 - 2022,1.42
,,2022 - 2023,1.81
,Seoni,2000 - 2001,0.67
,,2001 - 2002,1.35
,,2002 - 2003,1.08
,,2003 - 2004,1.37
,,2004 - 2005,1.34
,,2005 - 2006,1.11
,,2006 - 2007,1.04
,,2007 - 2008,1.1
,,2008 - 2009,1.07
,,2009 - 2010,
,,2010 - 2011,1.32
,,2011 - 2012,1.27
,,2012 - 2013,1.27
,,2013 - 2014,0.98
,,2014 - 2015,1.6
,,2015 - 2016,0.83
,,2016 - 2017,1.17
,,2017 - 2018,0.88
,,2018 - 2019,1.22
,,2019 - 2020,1.06
,,2020 - 2021,3.79
,,2021 - 2022,1.52
,,2022 - 2023,2.23
,Shahdol,2000 - 2001,0.95
,,2001 - 2002,0.83
,,2002 - 2003,0.54
,,2003 - 2004,0.78
,,2004 - 2005,0.77
,,2005 - 2006,0.83
,,2006 - 2007,0.67
,,2007 - 2008,0.7
,,2008 - 2009,0.84
,,2009 - 2010,
,,2010 - 2011,0.85
,,2011 - 2012,1.07
,,2012 - 2013,0.88
,,2013 - 2014,1.33
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,0.79
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,1.18
,,2021 - 2022,1.86
,,2022 - 2023,1.69
,Shajapur,2000 - 2001,1.41
,,2001 - 2002,1.0
,,2002 - 2003,0.69
,,2003 - 2004,1.16
,,2004 - 2005,1.34
,,2005 - 2006,1.0
,,2006 - 2007,0.81
,,2007 - 2008,0.86
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,1.29
,,2011 - 2012,1.34
,,2012 - 2013,1.7
,,2013 - 2014,1.03
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.34
,,2018 - 2019,1.0
,,2019 - 2020,1.03
,,2020 - 2021,1.11
,,2021 - 2022,1.33
,,2022 - 2023,1.69
,Sheopur,2000 - 2001,1.48
,,2001 - 2002,0.96
,,2002 - 2003,0.28
,,2003 - 2004,1.36
,,2004 - 2005,1.68
,,2005 - 2006,0.93
,,2006 - 2007,0.95
,,2007 - 2008,0.94
,,2008 - 2009,1.03
,,2009 - 2010,
,,2010 - 2011,1.19
,,2011 - 2012,1.26
,,2012 - 2013,1.69
,,2013 - 2014,1.63
,,2018 - 2019,3.03
,,2019 - 2020,2.33
,,2020 - 2021,1.68
,,2021 - 2022,1.44
,,2022 - 2023,1.95
,Shivpuri,2000 - 2001,1.41
,,2001 - 2002,1.32
,,2002 - 2003,0.42
,,2003 - 2004,1.16
,,2004 - 2005,1.34
,,2005 - 2006,1.49
,,2006 - 2007,1.11
,,2007 - 2008,0.88
,,2008 - 2009,1.41
,,2009 - 2010,
,,2010 - 2011,1.76
,,2011 - 2012,1.83
,,2012 - 2013,1.8
,,2013 - 2014,1.88
,,2014 - 2015,1.8
,,2015 - 2016,1.07
,,2016 - 2017,1.52
,,2017 - 2018,1.74
,,2018 - 2019,2.22
,,2019 - 2020,1.87
,,2020 - 2021,1.56
,,2021 - 2022,1.71
,,2022 - 2023,2.31
,Sidhi,2000 - 2001,1.0
,,2001 - 2002,0.81
,,2002 - 2003,0.68
,,2003 - 2004,0.91
,,2004 - 2005,1.06
,,2005 - 2006,0.83
,,2006 - 2007,0.74
,,2007 - 2008,0.78
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.33
,,2012 - 2013,1.0
,,2013 - 2014,1.5
,Singrauli,2008 - 2009,0.82
,,2009 - 2010,
,,2010 - 2011,1.42
,,2011 - 2012,1.36
,,2012 - 2013,2.04
,,2013 - 2014,1.59
,,2018 - 2019,1.28
,,2019 - 2020,1.44
,,2020 - 2021,1.25
,,2021 - 2022,2.13
,,2022 - 2023,1.22
,Tikamgarh,2000 - 2001,1.72
,,2001 - 2002,1.77
,,2002 - 2003,0.61
,,2003 - 2004,1.43
,,2004 - 2005,1.11
,,2005 - 2006,1.01
,,2006 - 2007,0.68
,,2007 - 2008,0.75
,,2008 - 2009,1.19
,,2009 - 2010,
,,2010 - 2011,1.33
,,2011 - 2012,1.29
,,2012 - 2013,1.53
,,2013 - 2014,1.29
,,2014 - 2015,1.12
,,2015 - 2016,1.05
,,2016 - 2017,1.52
,,2017 - 2018,1.27
,,2018 - 2019,1.51
,,2019 - 2020,1.39
,,2020 - 2021,1.57
,,2021 - 2022,1.88
,,2022 - 2023,1.87
,Ujjain,2000 - 2001,0.82
,,2001 - 2002,0.97
,,2002 - 2003,0.61
,,2003 - 2004,1.34
,,2004 - 2005,1.2
,,2005 - 2006,0.91
,,2006 - 2007,1.15
,,2007 - 2008,1.38
,,2008 - 2009,1.41
,,2009 - 2010,
,,2010 - 2011,1.78
,,2011 - 2012,1.56
,,2012 - 2013,2.21
,,2013 - 2014,1.06
,,2014 - 2015,1.0
,,2017 - 2018,1.16
,,2018 - 2019,1.77
,,2019 - 2020,1.33
,,2020 - 2021,2.45
,,2021 - 2022,1.87
,,2022 - 2023,2.44
,Umaria,2000 - 2001,1.1
,,2001 - 2002,0.78
,,2002 - 2003,0.5
,,2003 - 2004,0.83
,,2004 - 2005,0.87
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.63
,,2008 - 2009,0.76
,,2009 - 2010,
,,2010 - 2011,0.89
,,2011 - 2012,0.95
,,2012 - 2013,1.04
,,2013 - 2014,0.76
,,2017 - 2018,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.33
,,2020 - 2021,1.75
,Vidisha,2000 - 2001,1.61
,,2001 - 2002,1.46
,,2002 - 2003,1.06
,,2003 - 2004,1.4
,,2004 - 2005,1.6
,,2005 - 2006,1.34
,,2006 - 2007,1.18
,,2007 - 2008,1.21
,,2008 - 2009,1.29
,,2009 - 2010,
,,2010 - 2011,1.63
,,2011 - 2012,1.74
,,2012 - 2013,1.92
,,2013 - 2014,1.49
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2017 - 2018,1.86
,,2018 - 2019,1.18
,,2019 - 2020,1.31
,,2020 - 2021,1.83
,,2021 - 2022,2.0
,,2022 - 2023,1.96
Maharashtra,Ahilyanagar,2000 - 2001,0.9
,,2001 - 2002,0.79
,,2002 - 2003,0.69
,,2003 - 2004,0.62
,,2004 - 2005,0.74
,,2005 - 2006,0.49
,,2006 - 2007,0.79
,,2007 - 2008,0.89
,,2008 - 2009,0.85
,,2009 - 2010,0.75
,,2010 - 2011,0.86
,,2011 - 2012,0.73
,,2012 - 2013,0.57
,,2013 - 2014,0.79
,,2014 - 2015,0.65
,,2015 - 2016,0.41
,,2016 - 2017,0.8
,,2017 - 2018,0.97
,,2018 - 2019,0.51
,,2019 - 2020,0.59
,,2020 - 2021,0.84
,,2021 - 2022,0.87
,,2022 - 2023,1.05
,Akola,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.68
,,2020 - 2021,0.91
,,2021 - 2022,1.26
,,2022 - 2023,
,Amravati,2000 - 2001,0.71
,,2001 - 2002,1.0
,,2002 - 2003,0.58
,,2003 - 2004,0.76
,,2004 - 2005,0.79
,,2005 - 2006,0.77
,,2006 - 2007,0.69
,,2007 - 2008,0.88
,,2008 - 2009,0.38
,,2009 - 2010,0.63
,,2010 - 2011,0.75
,,2011 - 2012,1.0
,,2012 - 2013,1.11
,,2013 - 2014,1.2
,,2014 - 2015,0.45
,,2015 - 2016,0.55
,,2016 - 2017,1.0
,,2017 - 2018,1.2
,,2018 - 2019,0.42
,,2019 - 2020,0.33
,,2020 - 2021,0.91
,,2021 - 2022,1.88
,,2022 - 2023,0.49
,Beed,2000 - 2001,0.58
,,2001 - 2002,0.48
,,2002 - 2003,0.51
,,2003 - 2004,0.39
,,2004 - 2005,0.55
,,2005 - 2006,0.58
,,2006 - 2007,0.59
,,2007 - 2008,0.6
,,2008 - 2009,0.53
,,2009 - 2010,0.63
,,2010 - 2011,0.61
,,2011 - 2012,0.68
,,2012 - 2013,0.46
